source_headword	SV	example_SV
donor	en donator	Donatorn gav blod idag.
dose	en dos	Ta en dos efter frukost.
drain	rinna av	Vatten kommer att rinna av ut i floden.
drift	driva	Rök började driva över vägen.
driving	drivande	Regn var den drivande faktorn bakom förseningarna.
drown	dränka	Simma aldrig där strömmar kan dränka dig.
dual	dubbel	Enheten har en dubbel funktion.
dub	kalla	Kritiker kallar staden en kulturhuvudstad.
dumb	dum	Det var ett dumt misstag.
duo	en duo	Komediduon turnerade i Europa.
eager	ivrig	Studenterna var ivriga att börja.
earnings	inkomster	Företagets inkomster steg kraftigt.
ease	underlätta	Den nya vägen kommer att underlätta trafiken.
echo	eka	Hennes röst ekade i hallen.
ecological	ekologisk	Den ekologiska effekten är fortfarande osäker.
educator	en pedagog	Pedagogen utformade en ny kurs.
effectiveness	en effektivitet	Studien mätte vaccinets effektivitet.
efficiency	en effektivitet	Bättre mjukvara förbättrade effektiviteten.
ego	ett ego	Hans ego orsakade problem på jobbet.
elaborate	komplicerad	Den komplicerade dräkten tog veckor.
electoral	val-	Valsystemet ändrades förra året.
elevate	höja	Utmärkelsen kommer att höja hennes profil.
eligible	berättigad	Endast invånare är berättigade till rabatter.
elite	en elit	Eliten tränade på en privat akademi.
embark	påbörja	De kommer att påbörja en lång resa.
embarrassment	en förlägenhet	Han skrattade för att dölja sin förlägenhet.
embassy	en ambassad	Ambassaden utfärdade nya reseråd.
embed	ansluta	Journalisten kommer att ansluta till enheten.
embody	förkroppsliga	Statyn verkar förkroppsliga mod.
emergence	en framväxt	Telefonernas framväxt förändrade det dagliga livet.
empirical	empirisk	Uppsatsen bygger på empiriska bevis.
empower	stärka	Utbildning kan stärka lokalsamhällen.
enact	anta	Parlamentet röstade för att anta reformen.
encompass	omfatta	Kursen kommer att omfatta modern historia.
encouragement	en uppmuntran	Hennes uppmuntran hjälpte honom att fortsätta.
encouraging	uppmuntrande	De tidiga resultaten ser uppmuntrande ut.
endeavour	en ansträngning	Räddningen var en svår ansträngning.
endless	oändlig	Öknen verkade oändlig.
endorse	stödja	Facket vägrade att stödja kandidaten.
endorsement	ett stöd	Hans stöd gynnade hennes kampanj.
endure	tåla	Växter kan tåla hårda vintrar.
enforce	upprätthålla	Polisen upprätthåller hastighetsgränsen.
enforcement	ett upprätthållande	Striktare upprätthållande minskade olaglig dumpning.
engagement	ett engagemang	Studenternas engagemang förbättrades den här terminen.
engaging	engagerande	Talaren höll ett engagerande föredrag.
enquire	fråga	Vänligen fråga i receptionen.
enrich	berika	Resor kan berika din förståelse.
enrol	registrera sig	Studenter måste registrera sig före september.
ensue	uppstå	Kaos kan uppstå efter tillkännagivandet.
enterprise	ett företag	Företaget anställer lokala konstnärer.
enthusiast	en entusiast	Varje cykelentusiast känner till denna rutt.
entitle	berättiga	Biljetten kommer att berättiga dig till inträde.
entity	en enhet	Företaget är en separat juridisk enhet.
epidemic	en epidemi	Epidemin spreds över flera regioner.
equality	en jämlikhet	Rörelsen kämpade för jämlikhet.
equation	en ekvation	Ekvationen innehåller två obekanta.
erect	resa	Arbetarna kommer att resa ett nytt staket.
escalate	eskalera	Konflikten skulle kunna eskalera snabbt.
essence	en essens	Dikten fångar barndomens essens.
establishment	ett etablissemang	Etablissemanget motsatte sig reformen.
eternal	evig	De lovade varandra evig vänskap.
evacuate	evakuera	Brandmän hjälpte invånare att evakuera säkert.
evoke	framkalla	Låten kan framkalla starka minnen.
evolutionary	evolutionär	Fossilet visar en evolutionär förändring.
exaggerate	överdriva	Överdriv inte din erfarenhet.
excellence	en förträfflighet	Skolan belönar akademisk förträfflighet.
exceptional	exceptionell	Hon visade exceptionell skicklighet.
excess	ett överskott	Överskottsvattnet översvämmade källaren.
exclusion	ett utanförskap	Socialt utanförskap skadar unga människor.
exclusive	exklusiv	Klubben erbjuder exklusiv tillgång.
exclusively	uteslutande	Det här rummet används uteslutande av personal.
execute	utföra	Teamet kommer att utföra planen noggrant.
execution	ett genomförande	Genomförandet av strategin tog månader.
exert	utöva	Du måste utöva mer tryck.
exile	en exil	Författaren levde i exil.
expenditure	en utgift	De offentliga utgifterna ökade förra året.
experimental	experimentell	Behandlingen är fortfarande experimentell.
expire	löpa ut	Mitt pass kommer snart att löpa ut.
explicit	tydlig	Instruktionerna var tydliga.
explicitly	uttryckligen	Reglerna förbjuder uttryckligen rökning.
exploitation	en exploatering	Rapporten avslöjade exploatering av arbetare.
explosive	explosiv	Den explosiva enheten togs bort på ett säkert sätt.
extremist	en extremist	Extremistgruppen förlorade stöd.
facilitate	underlätta	Appen kommer att underlätta distansundervisning.
faction	en fraktion	En fraktion motsatte sig ledaren.
faculty	en fakultet	Fakulteten godkände förslaget.
fade	blekna	Färgen kommer att blekna i solljus.
fairness	en rättvisa	Rättvisa är viktigt i varje tävling.
fatal	dödlig	Olyckan orsakade dödliga skador.
fate	ett öde	Ingen kände till hans öde.
favourable	gynnsam	Recensionen var gynnsam.
feat	en bedrift	Att bestiga den toppen var en bedrift.
feminist	feministisk	Den feministiska rörelsen förändrade den offentliga debatten.
fibre	en fiber	Det här brödet innehåller extra fiber.
fierce	våldsam	Den våldsamma stormen skadade tak.
film-maker	en filmskapare	Filmskaparen svarade på frågor efteråt.
filter	ett filter	Filtret tar bort damm från luften.
fine	en böter	Företaget betalade en böter.
firearm	ett skjutvapen	Polisen återfann ett stulet skjutvapen.
fit	en passform	De nya skorna har en perfekt passform.
fixture	en fast inredning	Lampan är en fast inredning.
flaw	en brist	Designen har en allvarlig brist.
flawed	bristfällig	Den bristfälliga studien gav falska resultat.
flee	fly	Familjer var tvungna att fly striderna.
fleet	en flotta	Flygbolaget förnyade sin flotta.
flesh	ett kött	Törnen trängde genom hans kött.
flexibility	en flexibilitet	Distansarbete erbjuder mer flexibilitet.
flourish	blomstra	Småföretag kan blomstra här.
fluid	en vätska	Drick mycket vätska efter träningen.
footage	ett bildmaterial	Bildmaterialet visade kraschen.
foreigner	en utlänning	Blanketten frågar om du är en utlänning.
forge	skapa	De försökte skapa en ny allians.
formula	en formel	Formeln löste problemet.
formulate	formulera	Forskare formulerar en ny teori.
forth	framåt	Floden förde båten framåt.
forthcoming	kommande	Den kommande rapporten kommer att förklara allt.
foster	främja	Programmet hjälper till att främja självständighet.
fragile	ömtålig	Den ömtåliga vasen behöver hanteras försiktigt.
franchise	en franchise	Restaurangen blev en global franchise.
frankly	ärligt talat	Ärligt talat behöver vi mer tid.
frustrated	frustrerad	Arbetarna kände sig frustrerade över förseningen.
frustrating	frustrerande	Den långsamma uppkopplingen var frustrerande.
frustration	en frustration	Frustrationen växte under mötet.
functional	funktionell	Det gamla köket är fortfarande funktionellt.
fundraising	en insamling	Insamlingen börjar nästa vecka.
funeral	en begravning	Begravningen ägde rum i fredags.
gallon	en gallon	Tanken rymmer en gallon.
gambling	ett hasardspel	Spel om pengar är begränsat i lag.
gathering	en sammankomst	Sammankomsten avslutades fridfullt.
gaze	en blick	Hon mötte hans blick en kort stund.
gear	en utrustning	Packa säkerhetsutrustningen före klättringen.
generic	generisk	Den generiska versionen kostar mindre.
genocide	ett folkmord	Folkmordet lämnade ett djupt nationellt trauma.
glance	en blick	Han kastade en snabb blick.
glimpse	en skymt	Jag fick en skymt av havet.
glorious	ärorik	Laget njöt av en härlig seger.
glory	en ära	Hon drömde om olympisk ära.
governance	en styrning	God styrning kräver transparens.
grace	en värdighet	Hon accepterade förlusten med värdighet.
grasp	fatta	Han misslyckades med att fatta konceptet.
grave (for dead person)	en grav	Graven var täckt med blommor.
grave (serious)	allvarlig	Situationen förblir allvarlig.
gravity	en tyngdkraft	Tyngdkraften drar föremål mot jorden.
grid	ett rutnät	Kartan använder ett enkelt rutnät.
grief	en sorg	Sorgen förändrade hela hans familj.
grin	ett flin	Pojken gav ett brett flin.
grind	mala	Arbetarna maler bönorna varje morgon.
grip	ett grepp	Håll ett fast grepp om repet.
gross	brutto	Bruttoinkomsten steg kraftigt.
guerrilla	en gerilla	Gerillakrigare gömde sig i bergen.
guidance	en vägledning	Guiden ger praktisk vägledning.
guilt	en skuld	Hon kände skuld efter att ha ljugit.
gut	en magkänsla	Lita på din magkänsla vid svåra val.
hail	hylla	Byborna hyllar läkaren som en hjälte.
halfway	halvvägs	Vi stannade halvvägs upp för kullen.
halt	ett stopp	Tåget kom till ett plötsligt stopp.
handful	en handfull	En handfull volontärer stannade kvar sent.
handling	en hantering	Korrekt hantering förhindrar skador.
handy	praktisk	Detta verktyg är praktiskt för reparationer.
harassment	ett trakasseri	Företaget utredde klagomål om trakasserier.
hardware	en hårdvara	Butiken säljer datorhårdvara.
harmony	en harmoni	Kören sjöng i perfekt harmoni.
harsh	sträng	Domaren gav en sträng dom.
harvest	en skörd	Skörden börjar i september.
haunt	hemsöka	Minnet fortsatte att hemsöka honom.
hazard	en fara	Is är en allvarlig trafikfara.
heighten	öka	Talet kan öka spänningarna.
heritage	ett kulturarv	Slottet är en del av det lokala kulturarvet.
hierarchy	en hierarki	Kontorshierarkin är tydligt definierad.
high-profile	högprofilerad	Den högprofilerade rättegången lockade reportrar.
hint	en ledtråd	Hon gav mig en användbar ledtråd.
homeland	ett hemland	Han återvände till sitt hemland.
hopeful	hoppfull	Läkarna är hoppfulla angående återhämtningen.
horizon	en horisont	Solen försvann under horisonten.
horn	en tuta	Biltutan väckte alla.
hostage	en gisslan	Gisslan återvände hem.
hostile	fientlig	Folkmassan blev fientlig.
hostility	en fientlighet	Öppen fientlighet avslutade samtalen.
humanitarian	humanitär	Den humanitära insatsen levererade mat.
humanity	en mänsklighet	Mänskligheten står inför gemensamma utmaningar.
humble	ödmjuk	Hon förblev ödmjuk efter framgången.
hydrogen	ett väte	Väte brinner väldigt lätt.
identification	en legitimation	Legitimation krävs vid ingången.
ideological	ideologisk	Tvisten hade ideologiska rötter.
ideology	en ideologi	Hans ideologi formade varje tal.
idiot	en idiot	Kalla inte någon för en idiot.
ignorance	en okunnighet	Okunnighet kan sprida rädsla.
imagery	ett bildspråk	Dikten använder ett levande bildspråk.
immense	enorm	Projektet krävde en enorm ansträngning.
imminent	överhängande	En storm verkade överhängande.
implementation	en implementering	Implementeringen av lagen var långsam.
imprison	fängsla	Regimen försökte fängsla kritiker.
imprisonment	ett fängelsestraff	Hans fängelsestraff varade i fem år.
inability	en oförmåga	Hennes oförmåga att fokusera oroade lärarna.
inadequate	otillräcklig	Skyddsrummet hade otillräcklig uppvärmning.
inappropriate	opassande	Hans skämt var opassande.
incidence	en förekomst	Förekomsten av influensa ökade.
inclined	benägen	Hon är benägen att hålla med.
inclusion	en inkludering	Skolan främjar inkludering.
