source_headword	HU	example_HU
lip	ajak	Megharapta az ajkát.
liquid	folyadék	A víz tiszta folyadék.
literature	irodalom	Francia irodalmat tanul.
live2	élőben	A zenekar tegnap este élőben játszott.
living	élő	Az élő növényeknek fény kell.
locate	megtalálni	Meg tudod találni a fájlt?
located	található	Az iroda a belvárosban található.
location	helyszín	Ez jó helyszín.
lonely	magányos	Költözés után magányosnak érezte magát.
loss	veszteség	A veszteség mindenkinek nehéz volt.
luxury	luxus	A hotel valódi luxust kínál.
mad	mérges	Mérges volt a késés miatt.
magic	varázslat	Az előadás tele volt varázslattal.
mainly	főleg	A csoport főleg diákokból áll.
mall	bevásárlóközpont	A bevásárlóközpontban találkoztunk.
management	vezetés	A jó vezetés időt takarít meg.
marketing	marketing	A marketing segít eladni a terméket.
marriage	házasság	A házasságuk harminc évig tartott.
meanwhile	közben	Közben vacsorát főztem.
measure	megmérni	Gondosan mérd meg az asztalt.
medium	közepes	Közepes pizzát rendeltem.
mental	mentális	A stressz hat a mentális egészségre.
mess	rendetlenség	Takarítsd fel ezt a rendetlenséget.
mild	enyhe	A levesnek enyhe íze van.
mine (hole in the ground)	bánya	A bánya tavaly bezárt.
mix	keverni	Keverd össze a tojást tejjel.
mixture	keverék	A keverék sűrű lett.
mood	hangulat	A zene megváltoztatta a hangulatát.
mud	sár	A cipőjét sár borította.
murder	gyilkosság	A gyilkosság éjjel történt.
muscle	izom	A mozgás izmokat épít.
mystery	rejtély	A régi ház rejtély.
nail	köröm	Letört egy körmöm.
narrative	elbeszélés	A regénynek világos elbeszélése van.
nation	nemzet	Az egész nemzet ünnepelt.
native	anyanyelv	A spanyol az anyanyelve.
naturally	természetesen	A gyerekek természetesen tanulnak játék közben.
necessarily	feltétlenül	A drága étel nem feltétlenül jobb.
needle	tű	A tű nagyon éles.
neighbourhood	környék	Csendes környéken élnek.
net	háló	A halász megjavította a hálóját.
nor	sem	Nem mosolygott, és nem is beszélt.
northern	északi	Meglátogatták az északi partot.
nuclear	nukleáris	A vita a nukleáris energiáról szólt.
obvious	nyilvánvaló	A válasz nyilvánvaló volt.
obviously	nyilvánvalóan	Nyilvánvalóan több időre van szükségünk.
occasion	alkalom	Ez különleges alkalom.
occur	történni	Balesetek bárhol történhetnek.
odd	furcsa	Ez furcsa kérdés volt.
official	hivatalos	A hivatalos eredmény ma érkezett.
old-fashioned	régimódi	A telefonja régimódinak tűnik.
operation	műtét	A műtét két óráig tartott.
organized	szervezett	Az íróasztala nagyon szervezett.
organizer	szervező	A szervező üdvözölte a vendégeket.
originally	eredetileg	Eredetileg Kanadából jött.
ought modal	kellene	Pihenned kellene.
ours	a miénk	Ez az asztal a miénk.
outdoor	kültéri	Kültéri bútorokat vettünk.
outdoors	kint	A gyerekeknek kint kellene játszaniuk.
package	csomag	A csomag ma reggel érkezett.
painful	fájdalmas	A vágás fájdalmas volt.
pale	sápadt	Az arca sápadtnak tűnt.
pan	serpenyő	Először melegítsd fel a serpenyőt.
participate	részt venni	Mindenki részt vehet.
particularly	különösen	Különösen tetszik ez a dal.
passion	szenvedély	A zene a szenvedélye.
path	ösvény	Kövesd az ösvényt a parkon át.
payment	fizetés	A fizetés holnap esedékes.
peaceful	békés	A kert békés.
percentage	százalék	Egy kis százalék egyetértett.
perfectly	tökéletesen	A terv tökéletesen működött.
performance	teljesítmény	A teljesítménye kiváló volt.
personally	személyesen	Én személyesen a teát részesítem előnyben.
persuade	meggyőzni	Meg tudod győzni, hogy csatlakozzon?
photographer	fotós	A fotós sok képet készített.
photography	fényképezés	A fényképezés a kedvenc hobbija.
pin	tű	Tegyél egy tűt a térképre.
pipe	cső	A cső vizet szállít.
planning	tervezés	A tervezés időt vesz igénybe.
pleasant	kellemes	Kellemes esténk volt.
pleasure	öröm	Öröm volt találkozni veled.
plenty	sok	Sok időnk van.
plot	cselekmény	A cselekményt könnyű volt követni.
plus1	plusz	Kettő plusz három az öt.
poem	vers	Rövid verset írt.
poet	költő	A költő hangosan olvasott.
poetry	költészet	Szereti a modern költészetet.
poison	méreg	Tartsd távol a mérget a gyerekektől.
poisonous	mérgező	Néhány gomba mérgező.
policy	szabályzat	A vállalat megváltoztatta a szabályzatát.
political	politikai	A beszéd politikai volt.
politician	politikus	A politikus válaszolt a kérdésekre.
politics	politika	A politika bonyolult lehet.
port	kikötő	A hajó belépett a kikötőbe.
portrait	portré	A portré az előcsarnokban lóg.
possibly	talán	Talán későn érkezik.
pot	cserép	A növénynek nagyobb cserép kell.
pour	önteni	Lassan öntsd a tejet.
poverty	szegénység	Sok család szegénységben él.
powder	por	Add hozzá a port a vízhez.
powerful	erős	A motor erős.
practical	gyakorlati	Ez gyakorlati megoldás.
pray	imádkozni	Minden reggel imádkoznak.
prayer	ima	Csendes imát mondott.
prediction	előrejelzés	Az előrejelzése helyes volt.
prepared	felkészült	Felkészültem a vizsgára.
presentation	bemutató	A bemutatója világos volt.
press	megnyomni	Nyomd meg egyszer a gombot.
pressure	nyomás	A nyomás hatással lehet az egészségedre.
pretend	úgy tenni	Ne tegyél úgy, mintha aludnál.
previous	előző	Az előző lecke könnyebb volt.
previously	korábban	Korábban Rómában éltünk.
priest	pap	A pap halkan beszélt.
primary	fő	Az egészség a fő gondunk.
prince	herceg	A herceg meglátogatta az iskolát.
princess	hercegnő	A hercegnő kék ruhát viselt.
printing	nyomtatás	A jelentés nyomtatása néhány percig tartott.
prisoner	fogoly	A fogoly éjjel megszökött.
private	magán	Ez magánbeszélgetés.
producer	producer	A producernek tetszett a film.
production	termelés	A termelés jövő héten kezdődik.
profession	szakma	A tanítás megbecsült szakma.
profit	nyereség	A bolt nyereséget ért el.
promote	támogatni	Támogatják az egészséges étkezést.
proper	megfelelő	Viselj megfelelő cipőt túrázáshoz.
properly	rendesen	Rendesen csukd be az ajtót.
property	ingatlan	Ingatlant vettek a folyó közelében.
protest	tiltakozás	A tiltakozás békésen véget ért.
proud	büszke	Büszke volt a fiára.
prove	bizonyítani	Be tudod bizonyítani a válaszodat?
punish	megbüntetni	A tanár nem büntette meg.
punishment	büntetés	A büntetés igazságosnak tűnt.
qualification	képesítés	Ehhez a munkához képesítés kell.
qualified	képzett	Képzett ápolónő.
qualify	bejutni	A csapatunk bejuthat.
queue	sor	Hosszú sorban vártunk.
quit	abbahagyni	Úgy döntött, abbahagyja a dohányzást.
quotation	idézet	Az esszé egy idézettel kezdődik.
quote	idézni	Idézhetem a szavaidat?
race (people)	etnikum	Az űrlap az etnikumra kérdez rá.
racing	lóversenyzés	A lóversenyzés ott népszerű.
range	választék	A bolt széles választékot árul.
rare	ritka	Ez a madár ritka.
rarely	ritkán	Ritkán eszünk étteremben.
reaction	reakció	A reakciója meglepett.
reality	valóság	A valóság más volt, mint az álma.
receipt	nyugta	Őrizd meg a nyugtát.
recommendation	ajánlás	Köszönöm az ajánlást.
reference	hivatkozás	Adj hozzá egy hivatkozást a végén.
reflect	visszaverni	A tükör visszaverheti a fényt.
regularly	rendszeresen	Rendszeresen edz.
reject	elutasítani	Elutasíthatják az ajánlatot.
relate	azonosulni	Tudok azonosulni azzal a történettel.
related	kapcsolódó	A két probléma kapcsolódik egymáshoz.
relation	kapcsolat	Kapcsolat van közöttük.
relative	relatív	A sebesség relatív.
relaxed	nyugodt	Vacsora után nyugodtnak érezte magát.
relaxing	pihentető	A zene pihentető volt.
release	kiadni	Hamarosan kiadják a filmet.
reliable	megbízható	Ez a busz általában megbízható.
religion	vallás	A vallás fontos neki.
religious	vallási	Vallási épületet látogattak meg.
remain	maradni	Kérlek, maradj nyugodt.
remind	emlékeztetni	Emlékeztess holnap.
remote	távoli	Egy távoli faluban élnek.
rent	bérleti díj	A bérleti díj ma esedékes.
repeated	ismételt	Az ismételt hibák lassították a munkát.
represent	jelképezni	A csillag a reményt jelképezi.
require	igényelni	Ez a munka képzést igényel.
reservation	foglalás	Foglalást készítettem.
resource	erőforrás	A könyvtár hasznos erőforrás.
respect	tisztelni	Tiszteld az osztálytársaidat.
responsibility	felelősség	A gyermekgondozás nagy felelősség.
responsible	felelős	Ő felelős a jegyekért.
retire	nyugdíjba vonulni	Apám hamarosan nyugdíjba vonul.
retired	nyugdíjas	Ő nyugdíjas tanár.
revise	átdolgozni	Dolgozd át az esszédet ma este.
risk	kockázat	Eső kockázata van.
robot	robot	A robot megtisztította a padlót.
roll	gurítani	Gurítsd hozzám a labdát.
romantic	romantikus	Romantikus vacsorájuk volt.
rope	kötél	Szorosan kösd meg a kötelet.
rough	egyenetlen	Az út egyenetlen volt.
row1	sor	Ülj az első sorba.
royal	királyi	A királyi család megérkezett.
rugby	rögbi	Rögbit néztünk a televízióban.
safety	biztonság	A biztonság fontos a munkahelyen.
sailor	tengerész	A tengerész megjavította a hajót.
sample	minta	A nővér vérmintát vett.
sand	homok	Homok borította a cipőmet.
scan	beszkennelni	Először szkenneld be a dokumentumot.
scientific	tudományos	Ez tudományos módszer.
script	forgatókönyv	A színész olvasta a forgatókönyvet.
sculpture	szobor	A szobor kint áll.
secondary	másodlagos	Ez másodlagos probléma.
security	biztonság	A biztonságiak ellenőrizték a táskáinkat.
seed	mag	Ültesd a magot a talajba.
sensible	ésszerű	Ez ésszerű ötlet.
seriously	komolyan	Vedd komolyan ezt a problémát.
servant	szolga	A szolga kinyitotta az ajtót.
set (put)	tenni	Tedd a poharat az asztalra.
set (group)	készlet	Ez a készlet hat csészét tartalmaz.
setting	környezet	A történetnek városi környezete van.
sex	nem	Az űrlap életkort és nemet kér.
sexual	szexuális	Az osztály a szexuális egészségről beszélt.
sharp	éles	Ez a kés éles.
shelf	polc	Tedd a könyvet a polcra.
shell	héj	A héj üres volt.
shift	műszak	A műszakom nyolckor kezdődik.
shine	ragyogni	A csillagok éjjel ragyognak.
shiny	fényes	A cipője fényes.
shoot	fotózni	A fotós lefotózza a jelenetet.
shy	félénk	Idegenekkel félénk.
sight	látvány	A hegy gyönyörű látvány volt.
signal	jel	A jel gyenge volt.
silent	csendes	A szoba csendes lett.
silly	buta	Ez buta hiba volt.
similarity	hasonlóság	Van egyértelmű hasonlóság.
similarly	hasonlóan	A második terv hasonlóan működik.
simply	egyszerűen	Egyszerűen nyomd meg ezt a gombot.
sink	elsüllyedni	A nehéz kövek gyorsan elsüllyednek.
slice	szelet	Ettem egy szelet tortát.
slightly	kissé	A szoba kissé melegebb.
smart	elegáns	Elegáns zakót viselt.
smooth	sima	Az út sima.
software	szoftver	A szoftvernek frissítés kell.
soil	talaj	A talaj száraz.
solid	szilárd	A fal szilárd.
southern	déli	A déli parton élnek.
specifically	kifejezetten	Kifejezetten teát kértem.
spending	kiadások	Az állami kiadások nőttek.
spicy	fűszeres	Ez a curry fűszeres.
spirit	csapatszellem	A csapat nagy csapatszellemet mutatott.
spoken	beszélt	A beszélt angol gyakorlással javul.
spot	hely	Ez a hely tökéletes.
spread	kenni	Kend a vajat a kenyérre.
stadium	stadion	A stadion tele volt.
staff	személyzet	A személyzet segítőkész volt.
standard	színvonal	A színvonal magas volt.
statistic	statisztika	Ez a statisztika meglepő.
statue	szobor	A szobor a téren áll.
stick (push into/attach)	ragasztani	Ragaszd a címkét a dobozra.
stick (piece of wood)	bot	Felvett egy botot.
