source_headword	SK	example_SK
novel	novátorský	Navrhli novátorské riešenie.
nursery	jasle	Jasle sa starajú o dojčatá.
objection	námietka	Právnik vzniesol námietku.
oblige	zaviazať	Pravidlá zaväzujú vodičov zastaviť.
obsess	byť posadnutý	Nebuďte posadnutí malými chybami.
obsession	posadnutosť	Jeho posadnutosť poškodila jeho prácu.
occasional	občasný	Očakávajú sa občasné meškania.
occurrence	výskyt	Takýto výskyt je zriedkavý.
odds	šance	Šance na úspech sa zlepšili.
offering	ponuka	Univerzita rozšírila svoju ponuku.
offspring	potomok	Líška chránila svojho potomka.
operational	funkčný	Nový systém je funkčný.
opt	zvoliť si	Mnoho študentov sa rozhodne pre online kurzy.
optical	optický	Optická šošovka potrebuje vyčistiť.
optimism	optimizmus	Po oznámení sa vrátil optimizmus.
oral	ústny	Ústna skúška začína zajtra.
organizational	organizačný	Organizačné zmeny začali okamžite.
orientation	orientácia	Workshop zahŕňal orientáciu zamestnancov.
originate	pochádzať	Mnoho tradícií pochádza z vidieckych dedín.
outbreak	vypuknutie	Vypuknutie sa rozšírilo po celom meste.
outing	výlet	Trieda si užila výlet do múzea.
outlet	predajňa	Predajňa predáva zľavnené oblečenie.
outlook	vyhliadka	Ekonomická vyhliadka zostáva neistá.
outrage	pobúrenie	Rozhodnutie vyvolalo verejné pobúrenie.
outsider	outsider	Ako outsider si všimla problémy.
overlook	prehliadnuť	Neprehliadnite menšie detaily.
overly	príliš	Pokyny boli príliš zložité.
oversee	dohliadať	Bude dohliadať na projekt.
overturn	zvrátiť	Súd môže zvrátiť rozsudok.
overwhelm	zahltiť	Príliš veľa informácií môže zahltiť učiaciach sa.
overwhelming	ohromujúci	Dôkazy boli ohromujúce.
pad	podložka	Použite podložku na ochranu kolien.
parameter	parameter	Upravujte vždy len jeden parameter.
parental	rodičovský	Rodičovská podpora zlepšila dochádzku.
parish	farnosť	Farnosť zorganizovala charitatívnu večeru.
parliamentary	parlamentný	Parlamentná debata trvala hodiny.
partial	čiastočný	Správa poskytla čiastočnú odpoveď.
partially	čiastočne	Okno bolo čiastočne otvorené.
passing	úmrtie	Jej úmrtie bolo náhle.
passive	pasívny	Pasívni investori prijali stabilné výnosy.
pastor	farár	Farár navštívil rodinu.
patch	záplata	Bunda potrebuje malú záplatu.
patent	patent	Spoločnosť prihlásila patent.
pathway	cesta	Táto cesta vedie k certifikácii.
patrol	hliadkovať	Polícia hliadkuje v oblasti v noci.
patron	mecénáš	Múzeum sa poďakovalo svojmu mecénášovi.
peak	vrchol	Dopyt dosiahol zimný vrchol.
peasant	roľník	Roľník vlastnil málo pôdy.
peculiar	zvláštny	Miestnosť mala zvláštny zápach.
persist	pretrvávať	Príznaky môžu pretrvávať dni.
persistent	pretrvávajúci	Pretrvávajúci kašeľ potrebuje pozornosť.
personnel	personál	Personálne záznamy sú dôverné.
petition	petícia	Petícia zhromaždila tisíce podpisov.
philosopher	filozof	Filozof spochybnil bežné predpoklady.
philosophical	filozofický	Diskusia sa stala filozofickou.
physician	lekár	Lekár nariadil krvné testy.
pioneer	priekopník	Stala sa priekopníčkou v medicíne.
pipeline	potrubie	Potrubie prepravuje plyn pod zemou.
pirate	pirát	Pirátska loď sa objavila pri pobreží.
pit	jama	Pracovníci vykopali hlbokú jamu.
plea	prosba	Jeho prosba o pomoc bola ignorovaná.
plead	vyhlásiť	Podozrivý sa vyhlási za vinného.
pledge	prisľúbiť	Prisľúbili podporu reformám.
plug	zapojiť	Zapojte kábel do zásuvky.
plunge	prudko klesnúť	Ceny môžu po škandále prudko klesnúť.
pole	tyč	Vlajka visela z tyče.
poll	prieskum	Prieskum ukázal meniace sa názory.
pond	rybník	Kačice prešli cez zamrznutý rybník.
pop	prasknúť	Balóny praskajú v blízkosti ostrých predmetov.
portfolio	portfólio	Jej portfólio zahŕňa niekoľko startupov.
portray	zobraziť	Film zobrazí vidiecky život.
postpone	odložiť	Rozhodli sa odložiť pojednávanie.
post-war	povojnový	Povojnové bývanie bolo naliehavo potrebné.
practitioner	odborník	Odborník vysvetlil liečbu.
preach	kázať	Pastor bude v nedeľu kázať.
precedent	precedens	Rozhodnutie vytvorilo dôležitý precedens.
precision	presnosť	Stroj reže s presnosťou.
predator	dravec	Dravec čakal pri rieke.
predecessor	predchodca	Jej predchodca zanechal podrobné poznámky.
predominantly	prevažne	Oblasť je prevažne obytná.
pregnancy	tehotenstvo	Tehotenstvo si vyžaduje pravidelnú lekársku starostlivosť.
prejudice	predsudok	Kampaň spochybnila rasové predsudky.
preliminary	predbežný	Predbežné výsledky vyzerajú sľubne.
premier	premiér	Premiér dnes prehovoril v parlamente.
premise	predpoklad	Argument spočíva na nepravdivom predpoklade.
premium	prirážka	Zákazníci zaplatili prirážku za rýchlosť.
prescribe	predpísať	Lekári predpisujú antibiotiká opatrne.
prescription	recept	Recept vyprší budúci mesiac.
presently	v súčasnosti	V súčasnosti je nedostupná.
preservation	zachovanie	Zachovanie chráni historické budovy.
preside	predsedať	Sudca bude predsedať súdnemu procesu.
presidency	prezidentstvo	Jeho prezidentstvo trvalo osem rokov.
presidential	prezidentský	Prezidentské voľby pritiahli pozornosť.
prestigious	prestížny	Vyhrala prestížne štipendium.
presumably	pravdepodobne	Kancelária je dnes pravdepodobne zatvorená.
presume	predpokladať	Predpokladáme, že dokumenty sú pravé.
prevail	zvíťaziť	Zdravý rozum by mal zvíťaziť.
prevalence	výskyt	Výskyt astmy sa zvýšil.
prevention	prevencia	Prevencia je lacnejšia ako oprava.
