simplified	KN	example_KN	ML	example_ML
半	ಅರ್ಧ	ನಾನು ಅರ್ಧ ಗಂಟೆ ಕಾಯಿದೆ.	അര; പകുതി	ഞാൻ അരമണിക്കൂർ കാത്തിരുന്നു.
帮忙	ಸಹಾಯ ಮಾಡುವುದು	ನೀವು ಸಹಾಯ ಮಾಡಬಹುದೇ?	സഹായിക്കുക	നിങ്ങൾക്ക് സഹായിക്കാമോ?
包	ಚೀಲ; ಹೊದಿಸುವುದು	ಅವಳು ಹೊಸ ಚೀಲ ಖರೀದಿಸಿದಳು.	ബാഗ്; പൊതിയുക	അവൾ പുതിയ ബാഗ് വാങ്ങി.
饱	ಹೊಟ್ಟೆ ತುಂಬಿದ; ತೃಪ್ತಿಯಾದ	ನನಗೆ ಈಗಾಗಲೇ ಹೊಟ್ಟೆ ತುಂಬಿದೆ.	വയറുനിറഞ്ഞ	എനിക്ക് ഇതിനകം വയറുനിറഞ്ഞു.
北方	ಉತ್ತರ; ಉತ್ತರ ಭಾಗ	ಉತ್ತರದಲ್ಲಿ ಚಳಿಗಾಲ ತುಂಬಾ ಚಳಿಯಾಗಿರುತ್ತದೆ.	വടക്ക്; വടക്കൻ ഭാഗം	വടക്കിൽ ശീതകാലം വളരെ തണുപ്പായിരിക്കും.
被	ಕರ್ಮಣಿ ಸೂಚಕ ಕಣ; ಮೂಲಕ	ನನ್ನ ಸೈಕಲ್ ಅನ್ನು ನನ್ನ ಸ್ನೇಹಿತ ತೆಗೆದುಕೊಂಡು ಹೋದನು.	കർമ്മണി കണം; വഴി	എന്റെ സൈക്കിൾ എന്റെ സുഹൃത്ത് കൊണ്ടുപോയി.
鼻子	ಮೂಗು	ಅವನ ಮೂಗು ಸ್ವಲ್ಪ ಕೆಂಪಾಗಿದೆ.	മൂക്ക്	അവന്റെ മൂക്ക് അല്പം ചുവന്നിരിക്കുന്നു.
比较	ಹೋಲಿಸುವುದು; ಸ್ವಲ್ಪ	ಇಂದು ಸ್ವಲ್ಪ ಬಿಸಿಯಾಗಿದೆ.	താരതമ്യം ചെയ്യുക; അല്പം	ഇന്ന് അല്പം ചൂടാണ്.
比赛	ಸ್ಪರ್ಧೆ	ಈ ಸ್ಪರ್ಧೆ ತುಂಬಾ ಮುಖ್ಯವಾಗಿದೆ.	മത്സരം	ഈ മത്സരം വളരെ പ്രധാനമാണ്.
笔记本	ನೋಟ್ ಪುಸ್ತಕ	ನಾನು ನೋಟ್ ಪುಸ್ತಕವನ್ನು ಮೇಜಿನ ಮೇಲೆ ಇಟ್ಟೆ.	നോട്ട് പുസ്തകം	ഞാൻ നോട്ട് പുസ്തകം മേശപ്പുറത്ത് വെച്ചു.
必须	ಕಡ್ಡಾಯವಾಗಿ; ಬೇಕು	ನೀನು ಕಡ್ಡಾಯವಾಗಿ ಚೆನ್ನಾಗಿ ಮರುಅಧ್ಯಯನ ಮಾಡಬೇಕು.	നിർബന്ധമായി; വേണം	നീ നിർബന്ധമായി നന്നായി ആവർത്തിച്ചു പഠിക്കണം.
变化	ಬದಲಾವಣೆ; ಬದಲಾಗುವುದು	ಈ ನಗರ ತುಂಬಾ ಬದಲಾಗಿದೆ.	മാറ്റം; മാറുക	ഈ നഗരം വളരെ മാറിയിട്ടുണ്ട്.
别人	ಇತರರು	ಇತರರ ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಡ.	മറ്റുള്ളവർ	മറ്റുള്ളവരുടെ സാധനങ്ങൾ എടുക്കരുത്.
冰箱	ಫ್ರಿಜ್	ಹಣ್ಣುಗಳು ಫ್ರಿಜ್‌ನಲ್ಲಿ ಇವೆ.	ഫ്രിഡ്ജ്	പഴങ്ങൾ ഫ്രിഡ്ജിലാണ്.
不但…而且…	ಮಾತ್ರವಲ್ಲ... ಜೊತೆಗೆ...	ಅವಳು ಬುದ್ಧಿವಂತಳಷ್ಟೇ ಅಲ್ಲ, ತುಂಬಾ ಪರಿಶ್ರಮಿಯೂ ಹೌದು.	മാത്രമല്ല... കൂടാതെ...	അവൾ ബുദ്ധിമതിയുമാത്രമല്ല, വളരെ പരിശ്രമശീലയുമാണ്.
菜单	ಆಹಾರ ಪಟ್ಟಿ	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ಆಹಾರ ಪಟ್ಟಿ ಕೊಡಿ.	മെനു; ഭക്ഷണപ്പട്ടിക	ദയവായി എനിക്ക് ഒരു മെനു തരൂ.
参加	ಭಾಗವಹಿಸುವುದು	ನಾನು ಈ ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಲು ಬಯಸುತ್ತೇನೆ.	പങ്കെടുക്കുക	എനിക്ക് ഈ യോഗത്തിൽ പങ്കെടുക്കണം.
草	ಹುಲ್ಲು	ಚಿಕ್ಕ ನಾಯಿ ಹುಲ್ಲಿನ ಮೇಲೆ ಓಡುತ್ತಿದೆ.	പുല്ല്	ചെറിയ നായ പുല്ലിന് മുകളിൽ ഓടുന്നു.
层	ಮಹಡಿ; ಪದರ	ಈ ಕಟ್ಟಡಕ್ಕೆ ಮೂರು ಮಹಡಿಗಳು ಇವೆ.	നില; പാളി	ഈ കെട്ടിടത്തിന് മൂന്ന് നിലകളുണ്ട്.
差	ಕೆಟ್ಟ; ವ್ಯತ್ಯಾಸ; ಕಡಿಮೆ	ಇಂದಿನ ಹವಾಮಾನ ಕೆಟ್ಟಾಗಿದೆ.	മോശം; വ്യത്യാസം; കുറവ്	ഇന്നത്തെ കാലാവസ്ഥ മോശമാണ്.
超市	ಸೂಪರ್ ಮಾರ್ಕೆಟ್	ನಾನು ರೊಟ್ಟಿ ಖರೀದಿಸಲು ಸೂಪರ್ ಮಾರ್ಕೆಟ್‌ಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.	സൂപ്പർ മാർക്കറ്റ്	ഞാൻ അപ്പം വാങ്ങാൻ സൂപ്പർ മാർക്കറ്റിലേക്ക് പോകുന്നു.
衬衫	ಶರ್ಟ್	ಈ ಶರ್ಟ್ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.	ഷർട്ട്	ഈ ഷർട്ട് വളരെ വൃത്തിയുള്ളതാണ്.
城市	ನಗರ	ಬೀಜಿಂಗ್ ದೊಡ್ಡ ನಗರ.	നഗരം	ബെയ്ജിംഗ് ഒരു വലിയ നഗരമാണ്.
成绩	ಅಂಕ; ಫಲಿತಾಂಶ	ಅವನ ಗಣಿತ ಅಂಕಗಳು ತುಂಬಾ ಚೆನ್ನಾಗಿವೆ.	മാർക്ക്; ഫലം	അവന്റെ ഗണിത മാർക്കുകൾ വളരെ നല്ലതാണ്.
迟到	ತಡವಾಗಿ ಬರುವುದು	ತರಗತಿಗೆ ತಡವಾಗಿ ಬರಬೇಡ.	വൈകി വരുക	ക്ലാസിന് വൈകി വരരുത്.
除了	ಹೊರತು; ಜೊತೆಗೆ	ಕಾಫಿಯ ಜೊತೆಗೆ ನನಗೆ ಚಹಾವೂ ಬೇಕು.	ഒഴികെ; കൂടാതെ	കാപ്പിക്കുപുറമെ എനിക്ക് ചായയും വേണം.
船	ದೋಣಿ; ಹಡಗು	ನಾವು ದೋಣಿಯಲ್ಲಿ ಆ ನಗರಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇವೆ.	വഞ്ചി; കപ്പൽ	ഞങ്ങൾ വഞ്ചിയിൽ ആ നഗരത്തിലേക്ക് പോകുന്നു.
春	ವಸಂತಕಾಲ	ವಸಂತಕಾಲದಲ್ಲಿ ಅನೇಕ ಹೂಗಳು ಇರುತ್ತವೆ.	വസന്തകാലം	വസന്തത്തിൽ ധാരാളം പൂക്കൾ ഉണ്ടാകും.
词典	ನಿಘಂಟು	ಈ ನಿಘಂಟು ತುಂಬಾ ಉಪಯುಕ್ತವಾಗಿದೆ.	നിഘണ്ടു	ഈ നിഘണ്ടു വളരെ ഉപകാരപ്രദമാണ്.
聪明	ಬುದ್ಧಿವಂತ	ಈ ಮಗು ತುಂಬಾ ಬುದ್ಧಿವಂತ.	ബുദ്ധിമാൻ	ഈ കുട്ടി വളരെ ബുദ്ധിമാനാണ്.
打扫	ಸ್ವಚ್ಛ ಮಾಡುವುದು	ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾನು ಕೊಠಡಿಯನ್ನು ಸ್ವಚ್ಛ ಮಾಡುತ್ತೇನೆ.	വൃത്തിയാക്കുക	വാരാന്ത്യത്തിൽ ഞാൻ മുറി വൃത്തിയാക്കുന്നു.
打算	ಯೋಜನೆ; ಯೋಜಿಸುವುದು	ನಾಳೆಗೆ ನಿನ್ನ ಯೋಜನೆ ಏನು?	പദ്ധതി; പദ്ധതിയിടുക	നാളെക്കുള്ള നിന്റെ പദ്ധതി എന്താണ്?
带	ತೆಗೆದುಕೊಂಡು ಬರುವುದು; ಜೊತೆಗೆ ಕೊಂಡೊಯ್ಯುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪಾಸ್‌ಪೋರ್ಟ್ ತೆಗೆದುಕೊಂಡು ಬನ್ನಿ.	കൊണ്ടുവരുക; കൊണ്ടുപോകുക	ദയവായി നിങ്ങളുടെ പാസ്‌പോർട്ട് കൊണ്ടുവരൂ.
担心	ಚಿಂತಿಸುವುದು	ಚಿಂತಿಸಬೇಡಿ, ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತೇನೆ.	ആശങ്കപ്പെടുക	ആശങ്കപ്പെടേണ്ട, ഞാൻ നിങ്ങളെ സഹായിക്കും.
蛋糕	ಕೇಕ್	ಈ ಕೇಕ್ ತುಂಬಾ ಸಿಹಿಯಾಗಿದೆ.	കേക്ക്	ഈ കേക്ക് വളരെ മധുരമാണ്.
当然	ಖಂಡಿತವಾಗಿ	ಖಂಡಿತವಾಗಿ ಸಾಧ್ಯ.	തീർച്ചയായും	തീർച്ചയായും കഴിയും.
地	ಕ್ರಿಯಾವಿಶೇಷಣ ಕಣ	ಅವಳು ಸಂತೋಷವಾಗಿ ನಕ್ಕಳು.	ക്രിയാവിശേഷണ കണം	അവൾ സന്തോഷത്തോടെ ചിരിച്ചു.
灯	ದೀಪ; ಬೆಳಕು	ದಯವಿಟ್ಟು ದೀಪವನ್ನು ಹಚ್ಚಿ.	വിളക്ക്; വെളിച്ചം	ദയവായി വിളക്ക് ഓൺ ചെയ്യൂ.
地方	ಸ್ಥಳ	ಈ ಸ್ಥಳ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.	സ്ഥലം	ഈ സ്ഥലം വളരെ ശാന്തമാണ്.
地铁	ಮೆಟ್ರೋ	ನಾನು ಪ್ರತಿದಿನ ಮೆಟ್ರೋದಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.	മെട്രോ	ഞാൻ ദിവസവും മെട്രോയിൽ ജോലിക്ക് പോകുന്നു.
地图	ನಕ್ಷೆ	ನಾನು ನಕ್ಷೆಯಲ್ಲಿ ಶಾಲೆಯನ್ನು ಹುಡುಕುತ್ತಿದ್ದೇನೆ.	ഭൂപടം	ഞാൻ ഭൂപടത്തിൽ സ്കൂൾ തിരയുന്നു.
电梯	ಲಿಫ್ಟ್	ಲಿಫ್ಟ್ ಎಡಬದಿಯಲ್ಲಿ ಇದೆ.	ലിഫ്റ്റ്	ലിഫ്റ്റ് ഇടത് വശത്താണ്.
电子邮件	ಇಮೇಲ್	ನಾನು ಶಿಕ್ಷಕರಿಗೆ ಇಮೇಲ್ ಕಳುಹಿಸುತ್ತೇನೆ.	ഇമെയിൽ	ഞാൻ അധ്യാപകനു ഇമെയിൽ അയയ്ക്കുന്നു.
东	ಪೂರ್ವ	ಸೂರ್ಯ ಪೂರ್ವದಲ್ಲಿ ಉದಯಿಸುತ್ತಾನೆ.	കിഴക്ക്	സൂര്യൻ കിഴക്കിൽ ഉദിക്കുന്നു.
冬	ಚಳಿಗಾಲ	ಚಳಿಗಾಲದಲ್ಲಿ ನನಗೆ ಬಿಸಿ ಚಹಾ ಕುಡಿಯುವುದು ಇಷ್ಟ.	ശീതകാലം	ശീതകാലത്ത് എനിക്ക് ചൂട് ചായ കുടിക്കാൻ ഇഷ്ടമാണ്.
动物	ಪ್ರಾಣಿ	ಪಾಂಡಾ ಚೀನಾದಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಪ್ರಾಣಿ.	മൃഗം	പാണ്ട ചൈനയിൽ പ്രശസ്തമായ മൃഗമാണ്.
短	ಚಿಕ್ಕ; ಕಡಿಮೆ	ಈ ಪ್ಯಾಂಟ್ ತುಂಬಾ ಚಿಕ್ಕದಾಗಿದೆ.	ചെറിയ; കുറിയ	ഈ പാന്റ് വളരെ ചെറുതാണ്.
段	ಪ್ಯಾರಾಗ್ರಾಫ್; ಭಾಗ	ದಯವಿಟ್ಟು ಈ ಪ್ಯಾರಾಗ್ರಾಫ್ ಓದಿ.	ഖണ്ഡിക; ഭാഗം	ദയവായി ഈ ഖണ്ഡിക വായിക്കൂ.
锻炼	ವ್ಯಾಯಾಮ ಮಾಡುವುದು	ನಾನು ಪ್ರತಿ ಬೆಳಿಗ್ಗೆ ವ್ಯಾಯಾಮ ಮಾಡುತ್ತೇನೆ.	വ്യായാമം ചെയ്യുക	ഞാൻ ഓരോ രാവിലെയും വ്യായാമം ചെയ്യുന്നു.
多么	ಎಷ್ಟು; ಎಷ್ಟೋ	ಇಲ್ಲಿನ ಪರಿಸರ ಎಷ್ಟು ಚೆನ್ನಾಗಿದೆ!	എത്ര; എത്രത്തോളം	ഇവിടത്തെ അന്തരീക്ഷം എത്ര നല്ലതാണ്!
饿	ಹಸಿವು	ನನಗೆ ಹಸಿವಾಗಿದೆ, ರೊಟ್ಟಿ ತಿನ್ನಬೇಕು.	വിശപ്പ്	എനിക്ക് വിശക്കുന്നു, അപ്പം കഴിക്കണം.
耳朵	ಕಿವಿ	ನನ್ನ ಕಿವಿ ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.	ചെവി	എന്റെ ചെവി അല്പം വേദനിക്കുന്നു.
发	ಕಳುಹಿಸುವುದು; ಹೊರಡಿಸುವುದು	ಸಂಜೆ ನಾನು ಇಮೇಲ್ ಕಳುಹಿಸುತ್ತೇನೆ.	അയയ്ക്കുക; പുറപ്പെടുവിക്കുക	വൈകുന്നേരം ഞാൻ ഇമെയിൽ അയയ്ക്കുന്നു.
发烧	ಜ್ವರ ಬರುವುದು	ಅವಳಿಗೆ ಜ್ವರ ಇದೆ, ಆದ್ದರಿಂದ ಶಾಲೆಗೆ ಹೋಗಲು ಆಗುವುದಿಲ್ಲ.	പനി വരുക	അവൾക്ക് പനിയുണ്ട്, അതിനാൽ സ്കൂളിൽ പോകാൻ കഴിയില്ല.
发现	ಕಂಡುಹಿಡಿಯುವುದು	ಈ ವಿಧಾನ ಒಳ್ಳೆಯದು ಎಂದು ನಾನು ಕಂಡುಹಿಡಿದೆ.	കണ്ടെത്തുക	ഈ രീതി നല്ലതാണെന്ന് ഞാൻ കണ്ടെത്തി.
方便	ಸೌಕರ್ಯಕರ	ಮೆಟ್ರೋದಲ್ಲಿ ಹೋಗುವುದು ತುಂಬಾ ಸೌಕರ್ಯಕರವಾಗಿದೆ.	സൗകര്യപ്രദം	മെട്രോയിൽ പോകുന്നത് വളരെ സൗകര്യപ്രദമാണ്.
放	ಇಡುವುದು; ಬಿಡುವುದು	ದಯವಿಟ್ಟು ಪುಸ್ತಕವನ್ನು ಮೇಜಿನ ಮೇಲೆ ಇಡಿ.	വെക്കുക; വിടുക	ദയവായി പുസ്തകം മേശപ്പുറത്ത് വെക്കൂ.
放心	ಚಿಂತೆ ಇಲ್ಲದೆ ಇರುವುದು	ಚಿಂತಿಸಬೇಡಿ, ನಾನು ಸಮಯಕ್ಕೆ ಬರುತ್ತೇನೆ.	മനസ്സമാധാനം ഉണ്ടാകുക	ആശങ്കപ്പെടേണ്ട, ഞാൻ സമയത്ത് എത്തും.
分	ಹಂಚುವುದು; ಭಾಗಿಸುವುದು	ದಯವಿಟ್ಟು ಕೇಕ್ ಅನ್ನು ಎಲ್ಲರಿಗೂ ಹಂಚಿ.	പങ്കിടുക; വിഭജിക്കുക	ദയവായി കേക്ക് എല്ലാവർക്കും പങ്കിടൂ.
复习	ಮರುಅಧ್ಯಯನ ಮಾಡುವುದು	ಪರೀಕ್ಷೆಗೆ ಮೊದಲು ನಾನು ಪಾಠಗಳನ್ನು ಮರುಅಧ್ಯಯನ ಮಾಡಬೇಕು.	ആവർത്തിച്ചു പഠിക്കുക	പരീക്ഷയ്ക്ക് മുമ്പ് ഞാൻ പാഠങ്ങൾ ആവർത്തിച്ചു പഠിക്കണം.
附近	ಹತ್ತಿರ; ಸಮೀಪ	ಹತ್ತಿರ ಒಂದು ರೆಸ್ಟೋರೆಂಟ್ ಇದೆ.	അടുത്ത്; സമീപം	അടുത്ത് ഒരു ഭക്ഷണശാലയുണ്ട്.
干净	ಸ್ವಚ್ಛ	ಈ ಕೊಠಡಿ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.	വൃത്തിയുള്ള	ഈ മുറി വളരെ വൃത്തിയുള്ളതാണ്.
感冒	ಜಲದೋಷ ಬರುವುದು	ನನಗೆ ಜಲದೋಷ ಬಂದಿದೆ, ವಿಶ್ರಾಂತಿ ಬೇಕು.	ജലദോഷം പിടിക്കുക	എനിക്ക് ജലദോഷം പിടിച്ചു, വിശ്രമിക്കണം.
感兴趣	ಆಸಕ್ತಿ ಹೊಂದುವುದು	ನನಗೆ ಚೈನೀಸ್ ಭಾಷೆಯಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.	താൽപ്പര്യം കാണിക്കുക	എനിക്ക് ചൈനീസ് ഭാഷയിൽ വളരെ താൽപ്പര്യമുണ്ട്.
刚才	ಇಷ್ಟೇ ಹಿಂದೆ	ಇಷ್ಟೇ ಹಿಂದೆ ನಿನಗೆ ಯಾರು ಫೋನ್ ಮಾಡಿದರು?	ഇപ്പോഴേ; അല്പം മുമ്പ്	അൽപ്പം മുമ്പ് നിന്നെ ആരാണ് ഫോൺ ചെയ്തത്?
个子	ಎತ್ತರ; ದೇಹದಾಕೃತಿ	ಅವನು ಎತ್ತರವಾಗಿದ್ದಾನೆ.	ഉയരം; ശരീരഘടന	അവൻ ഉയരമുള്ളവനാണ്.
根据	ಪ್ರಕಾರ; ಆಧಾರವಾಗಿ	ನಕ್ಷೆಯ ಪ್ರಕಾರ ಶಾಲೆ ಪೂರ್ವದಲ್ಲಿದೆ.	പ്രകാരം; അടിസ്ഥാനമാക്കി	ഭൂപടപ്രകാരം സ്കൂൾ കിഴക്കിലാണ്.
跟	ಜೊತೆ; ಅನುಸರಿಸುವುದು	ನಾನು ಸ್ನೇಹಿತನೊಂದಿಗೆ ಉದ್ಯಾನಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.	കൂടെ; പിന്തുടരുക	ഞാൻ സുഹൃത്തിനൊപ്പം പാർക്കിലേക്ക് പോകുന്നു.
更	ಇನ್ನೂ; ಹೆಚ್ಚು	ಇಂದು ನಿನ್ನೆಗಿಂತ ಇನ್ನೂ ಚಳಿಯಾಗಿದೆ.	ഇനിയും; കൂടുതൽ	ഇന്ന് ഇന്നലത്തേക്കാൾ കൂടുതൽ തണുപ്പാണ്.
公斤	ಕಿಲೋಗ್ರಾಂ	ಈ ಸೇಬುಗಳು ಒಂದು ಕಿಲೋಗ್ರಾಂ.	കിലോഗ്രാം	ഈ ആപ്പിളുകൾ ഒരു കിലോഗ്രാമാണ്.
公园	ಉದ್ಯಾನ	ಮಕ್ಕಳು ಉದ್ಯಾನದಲ್ಲಿ ಆಡುತ್ತಿದ್ದಾರೆ.	പാർക്ക്	കുട്ടികൾ പാർക്കിൽ കളിക്കുന്നു.
故事	ಕಥೆ	ತಾತ ನನಗೆ ಕಥೆ ಹೇಳುತ್ತಾರೆ.	കഥ	മുത്തശ്ശൻ എനിക്ക് കഥ പറയുന്നു.
刮风	ಗಾಳಿ ಬೀಸುವುದು	ಇಂದು ಗಾಳಿ ಬೀಸುತ್ತಿದೆ, ಸೈಕಲ್‌ನಲ್ಲಿ ಹೋಗಬೇಡ.	കാറ്റ് വീശുക	ഇന്ന് കാറ്റുണ്ട്, സൈക്കിളിൽ പോകരുത്.
关	ಮುಚ್ಚುವುದು; ಆರಿಸುವುದು	ದಯವಿಟ್ಟು ಬಾಗಿಲು ಮುಚ್ಚಿ.	അടയ്ക്കുക; ഓഫ് ചെയ്യുക	ദയവായി വാതിൽ അടയ്ക്കൂ.
关系	ಸಂಬಂಧ; ಸಂಪರ್ಕ	ನನ್ನ ಸಹೋದ್ಯೋಗಿಯೊಂದಿಗೆ ನನಗೆ ಒಳ್ಳೆಯ ಸಂಬಂಧ ಇದೆ.	ബന്ധം	എന്റെ സഹപ്രവർത്തകനുമായി എനിക്ക് നല്ല ബന്ധമുണ്ട്.
关心	ಕಾಳಜಿ ವಹಿಸುವುದು	ಅಮ್ಮ ನನ್ನ ಆರೋಗ್ಯದ ಬಗ್ಗೆ ತುಂಬಾ ಕಾಳಜಿ ವಹಿಸುತ್ತಾರೆ.	ശ്രദ്ധിക്കുക; കരുതൽ കാണിക്കുക	അമ്മ എന്റെ ആരോഗ്യത്തെക്കുറിച്ച് വളരെ ശ്രദ്ധിക്കുന്നു.
关于	ಬಗ್ಗೆ	ಈ ಪುಸ್ತಕ ಚೀನೀ ಸಂಸ್ಕೃತಿಯ ಬಗ್ಗೆ.	കുറിച്ച്	ഈ പുസ്തകം ചൈനീസ് സംസ്കാരത്തെക്കുറിച്ചാണ്.
国家	ದೇಶ; ರಾಜ್ಯ	ಚೀನಾ ತುಂಬಾ ದೊಡ್ಡ ದೇಶ.	രാജ്യം	ചൈന വളരെ വലിയ രാജ്യമാണ്.
过	ಅನುಭವ ಕಣ; ಮೊದಲು ಮಾಡಿರುವುದು	ನಾನು ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗಿ ಬಂದಿದ್ದೇನೆ.	അനുഭവകണം; മുമ്പ് ചെയ്തിരിക്കുക	ഞാൻ ബെയ്ജിംഗിൽ പോയിട്ടുണ്ട്.
过去	ಭೂತಕಾಲ; ಹಿಂದೆ	ಹಿಂದೆ ಇಲ್ಲಿ ಮೆಟ್ರೋ ಇರಲಿಲ್ಲ.	ഭൂതകാലം; മുമ്പ്	മുമ്പ് ഇവിടെ മെട്രോ ഉണ്ടായിരുന്നില്ല.
还是	ಅಥವಾ	ನೀನು ಚಹಾ ಕುಡಿಯುತ್ತೀಯಾ, ಅಥವಾ ಕಾಫಿಯಾ?	അല്ലെങ്കിൽ	നീ ചായ കുടിക്കുമോ, അല്ലെങ്കിൽ കാപ്പിയോ?
害怕	ಭಯಪಡುವುದು	ನನಗೆ ಪರೀಕ್ಷೆಗೆ ಭಯವಿಲ್ಲ.	ഭയപ്പെടുക	എനിക്ക് പരീക്ഷയെ ഭയമില്ല.
黑板	ಕರಿ ಫಲಕ	ಶಿಕ್ಷಕರು ಕರಿ ಫಲಕದ ಮೇಲೆ ಚೀನೀ ಅಕ್ಷರಗಳನ್ನು ಬರೆಯುತ್ತಾರೆ.	ബ്ലാക്ക്ബോർഡ്	അധ്യാപകൻ ബ്ലാക്ക്ബോർഡിൽ ചൈനീസ് അക്ഷരങ്ങൾ എഴുതുന്നു.
后来	ನಂತರ	ನಂತರ ನಾವು ಉದ್ಯಾನಕ್ಕೆ ಹೋದೆವು.	പിന്നീട്	പിന്നീട് ഞങ്ങൾ പാർക്കിലേക്ക് പോയി.
护照	ಪಾಸ್‌ಪೋರ್ಟ್	ದಯವಿಟ್ಟು ಪಾಸ್‌ಪೋರ್ಟ್ ತೆಗೆದುಕೊಂಡು ಬನ್ನಿ.	പാസ്‌പോർട്ട്	ദയവായി പാസ്‌പോർട്ട് കൊണ്ടുവരൂ.
96:花	ಖರ್ಚು ಮಾಡುವುದು; ಖರ್ಚಾಗುವುದು	ಫೋನ್ ಖರೀದಿಸಲು ಎರಡು ಸಾವಿರ ಯುವಾನ್ ಖರ್ಚಾಯಿತು.	ചെലവഴിക്കുക; ചെലവാകുക	ഫോൺ വാങ്ങാൻ രണ്ടായിരം യുവാൻ ചെലവായി.
97:花	ಹೂವು	ಮೇಜಿನ ಮೇಲೆ ಒಂದು ಹೂವು ಇದೆ.	പൂവ്	മേശപ്പുറത്ത് ഒരു പൂവുണ്ട്.
