hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
1107:村	村	村	गांव	दादी एक छोटे गांव में रहती हैं।	গ্রাম	দিদিমা একটি ছোট গ্রামে থাকেন।	nayon	Nakatira si Lola sa isang maliit na nayon.
1109:错过	错过	错过	चूक जाना	कल का मैच मत चूकना।	মিস করা	আগামীকালের ম্যাচটি মিস করো না।	hindi maabutan; makaligtaan	Huwag palampasin ang laban bukas.
1112:答	答	答	उत्तर देना	उसने जल्दी ही इस प्रश्न का उत्तर दे दिया।	উত্তর দেওয়া	সে দ্রুত এই প্রশ্নের উত্তর দিয়েছে।	sumagot	Mabilis niyang nasagot ang tanong na ito.
1116:打败	打败	打败	हराना	उन्होंने आखिरकार मजबूत टीम को हरा दिया।	পরাজিত করা	তারা অবশেষে শক্তিশালী দলটিকে পরাজিত করেছে।	talunin	Sa wakas ay natalo nila ang malakas na koponan.
1120:打印机	打印机	打印机	छापने की मशीन	कार्यालय की छापने की मशीन खराब हो गई है।	প্রিন্টার	অফিসের প্রিন্টারটি নষ্ট হয়ে গেছে।	makinang pang-imprenta	Sira ang makinang pang-imprenta sa opisina.
1123:大巴	大巴	大巴	बड़ी बस	हम बड़ी बस से हवाई अड्डे जा रहे हैं।	বড় বাস	আমরা বড় বাসে বিমানবন্দরে যাচ্ছি।	malaking bus	Sasakay kami ng malaking bus papunta sa paliparan.
1124:大大	大大	大大	बहुत अधिक	इस गतिविधि ने रुचि बहुत बढ़ा दी।	অনেক বেশি	এই কার্যক্রম আগ্রহ অনেক বাড়িয়েছে।	nang malaki	Ang gawaing ito ay lubhang nagpalaki ng interes.
1126:大量	大量	大量	बड़ी मात्रा	सुपरमार्केट में बड़ी मात्रा में ताज़े फल हैं।	বড় পরিমাণ	সুপারমার্কেটে প্রচুর তাজা ফল আছে।	maraming dami	Maraming sariwang prutas sa supermarket.
1127:大赛	大赛	大赛	बड़ी प्रतियोगिता	स्कूल अगले सप्ताह चीनी भाषा प्रतियोगिता आयोजित करेगा।	বড় প্রতিযোগিতা	স্কুল আগামী সপ্তাহে চীনা ভাষার বড় প্রতিযোগিতা করবে।	malaking paligsahan	Magdaraos ang paaralan ng paligsahan sa wikang Tsino sa susunod na linggo.
1128:大厅	大厅	大厅	बड़ा हॉल; लॉबी	मेहमान लॉबी में गाड़ी का इंतज़ार कर रहे हैं।	বড় হল; লবি	অতিথিরা লবিতে গাড়ির জন্য অপেক্ষা করছেন।	malaking bulwagan; pasukan	Naghihintay ang mga bisita ng sasakyan sa malaking bulwagan.
1130:大自然	大自然	大自然	प्रकृति	बच्चों को प्रकृति में खेलना पसंद है।	প্রকৃতি	শিশুরা প্রকৃতির মধ্যে খেলতে ভালোবাসে।	kalikasan	Gustong maglaro ng mga bata sa kalikasan.
1131:待	待	待	ठहरना; रहना	वह घर पर पूरा दिन रहा।	থাকা	সে বাড়িতে এক দিন ছিল।	manatili	Nanatili siya sa bahay nang isang araw.
1133:袋子	袋子	袋子	थैला	कृपया फल थैले में रख दीजिए।	ব্যাগ; থলি	দয়া করে ফলগুলো ব্যাগে রাখুন।	supot; bag	Ilagay mo ang prutas sa supot.
1140:道	道	道	प्रश्नों का माप शब्द; रास्ता	यह प्रश्न कठिन नहीं है।	প্রশ্নের গণক; রাস্তা	এই প্রশ্নটি কঠিন নয়।	pantukoy sa tanong; daan	Hindi mahirap ang tanong na ito.
1142:到来	到来	到来	आगमन	वसंत का आगमन लोगों को खुश करता है।	আগমন	বসন্তের আগমন মানুষকে আনন্দ দেয়।	pagdating	Nagpapasaya sa mga tao ang pagdating ng tagsibol.
1143:道路	道路	道路	सड़क	यह सड़क गांव की ओर जाती है।	রাস্তা	এই রাস্তা গ্রামে যায়।	daan; kalsada	Patungo sa nayon ang daang ito.
1146:登机	登机	登机	विमान में चढ़ना	कृपया आधा घंटा पहले विमान में चढ़िए।	বিমানে ওঠা	দয়া করে আধা ঘণ্টা আগে বিমানে উঠুন।	sumakay sa eroplano	Sumakay sa eroplano nang kalahating oras nang mas maaga.
1148:等到	等到	等到	इंतज़ार करना जब तक	बारिश रुकने तक इंतज़ार करेंगे, फिर चलेंगे।	অপেক্ষা করা যতক্ষণ না	বৃষ্টি থামা পর্যন্ত অপেক্ষা করে তারপর যাব।	maghintay hanggang	Maghintay tayo hanggang tumigil ang ulan bago umalis.
1150:低价	低价	低价	कम कीमत	यह दुकान अक्सर कम कीमत वाली हवाई टिकट बेचती है।	কম দাম	এই দোকান প্রায়ই কম দামের বিমান টিকিট বিক্রি করে।	mababang presyo	Madalas magbenta ang tindahang ito ng murang tiket sa eroplano.
1151:低温	低温	低温	कम तापमान	कम तापमान वाले मौसम में ज़्यादा कपड़े पहनने चाहिए।	কম তাপমাত্রা	কম তাপমাত্রার আবহাওয়ায় বেশি কাপড় পরা উচিত।	mababang temperatura	Kapag mababa ang temperatura, magsuot ng mas maraming damit.
1152:低于	低于	低于	से कम होना	आज का तापमान कल से कम है।	এর চেয়ে কম হওয়া	আজকের তাপমাত্রা গতকালের চেয়ে কম।	mas mababa kaysa	Mas mababa ang temperatura ngayon kaysa kahapon.
1154:底下	底下	底下	नीचे	मेज़ के नीचे एक बैग है।	নিচে	টেবিলের নিচে একটি ব্যাগ আছে।	sa ilalim	May isang bag sa ilalim ng mesa.
1157:点名	点名	点名	नाम पुकारना	शिक्षक कक्षा से पहले नाम पुकारेंगे।	নাম ডাকা	শিক্ষক ক্লাসের আগে নাম ডাকবেন।	tumawag ng pangalan	Tatawag ng pangalan ang guro bago magsimula ang klase.
1158:点头	点头	点头	सिर हिलाकर हां कहना	उसने सहमति दिखाने के लिए सिर हिलाया।	মাথা নাড়া	সে সম্মতি জানাতে মাথা নাড়ল।	tumango	Tumango siya para ipakitang sang-ayon siya.
1159:电动车	电动车	电动车	बिजली से चलने वाला वाहन	वह बिजली से चलने वाले वाहन पर काम पर जाता है।	বিদ্যুৎচালিত যান	সে বিদ্যুৎচালিত যান চালিয়ে কাজে যায়।	de-kuryenteng sasakyan	Sumasakay siya ng de-kuryenteng sasakyan papunta sa trabaho.
1160:电视剧	电视剧	电视剧	टीवी धारावाहिक	मेरी मां टीवी धारावाहिक देखना पसंद करती हैं।	টিভি ধারাবাহিক	আমার মা টিভি ধারাবাহিক দেখতে ভালোবাসেন।	serye sa telebisyon	Mahilig manood ng serye sa telebisyon ang nanay ko.
1163:订	订	订	बुक करना; ऑर्डर देना	मैंने एक हवाई टिकट पहले ही बुक कर ली है।	বুক করা; অর্ডার করা	আমি ইতিমধ্যে একটি বিমান টিকিট বুক করেছি।	magpareserba; umorder	Nakapagpareserba na ako ng isang tiket sa eroplano.
1164:定	定	定	तय करना	बैठक का समय पहले ही तय हो गया है।	নির্ধারণ করা	সভার সময় ইতিমধ্যে নির্ধারিত হয়েছে।	itakda; magpasya	Naitakda na ang oras ng pagpupulong.
1165:东部	东部	东部	पूर्वी भाग	शहर के पूर्वी भाग में एक नया पार्क है।	পূর্ব অংশ	শহরের পূর্ব অংশে একটি নতুন পার্ক আছে।	silangang bahagi	May bagong parke sa silangang bahagi ng lungsod.
1166:动车	动车	动车	तेज़ रेलगाड़ी	हम तेज़ रेलगाड़ी से शंघाई जा रहे हैं।	দ্রুতগামী ট্রেন	আমরা দ্রুতগামী ট্রেনে সাংহাই যাচ্ছি।	mabilis na tren	Sasakay kami ng mabilis na tren papuntang Shanghai.
1168:读者	读者	读者	पाठक	इस किताब के कई युवा पाठक हैं।	পাঠক	এই বইটির অনেক তরুণ পাঠক আছে।	mambabasa	Maraming batang mambabasa ang aklat na ito.
1170:度假	度假	度假	छुट्टी मनाना	वे समुद्र किनारे छुट्टी मनाने गए।	ছুটি কাটানো	তারা সমুদ্রতীরে ছুটি কাটাতে গেছে।	magbakasyon	Nagbakasyon sila sa tabing-dagat.
1173:队	队	队	टीम; कतार	दरवाजे पर लोगों की एक कतार लगी है।	দল; সারি	দরজার সামনে মানুষের একটি সারি আছে।	koponan; pila	May pila ng mga tao sa may pinto.
1177:队员	队员	队员	टीम का सदस्य	हर टीम सदस्य बहुत मेहनत करता है।	দলের সদস্য	প্রতিটি দলের সদস্য খুব চেষ্টা করে।	miyembro ng koponan	Masipag ang bawat miyembro ng koponan.
1178:队长	队长	队长	टीम नेता; कप्तान	कप्तान अभ्यास की व्यवस्था कर रहा है।	দলনেতা; অধিনায়ক	অধিনায়ক অনুশীলনের ব্যবস্থা করছেন।	pinuno ng koponan; kapitan	Inaayos ng kapitan ang pagsasanay.
1181:多数	多数	多数	बहुमत; ज़्यादातर	ज़्यादातर छात्रों ने चीनी भाषा की कक्षा चुनी।	অধিকাংশ	অধিকাংশ ছাত্র চীনা ভাষার ক্লাস বেছে নিয়েছে।	karamihan	Karamihan sa mga estudyante ay pumili ng klase sa wikang Tsino.
1182:多样	多样	多样	विविध	यहां गतिविधियों के रूप बहुत विविध हैं।	বৈচিত্র্যময়	এখানকার কার্যক্রমের ধরন খুব বৈচিত্র্যময়।	iba-iba	Iba-iba ang anyo ng mga gawain dito.
1185:发出	发出	发出	निकालना; भेजना	मोबाइल फोन से आवाज़ निकली।	বের করা; পাঠানো	মোবাইল ফোনটি শব্দ করল।	maglabas; magpadala	Naglabas ng tunog ang cellphone.
1186:发送	发送	发送	भेजना	कृपया ईमेल मुझे भेज दीजिए।	পাঠানো	দয়া করে ইমেলটি আমাকে পাঠান।	ipadala	Pakiipadala sa akin ang email.
1187:法	法	法	कानून; तरीका	यह तरीका अपेक्षाकृत सरल है।	আইন; পদ্ধতি	এই পদ্ধতিটি তুলনামূলকভাবে সহজ।	batas; paraan	Medyo simple ang paraang ito.
1190:烦	烦	烦	परेशान; झंझटभरा	इस बात ने उसे बहुत परेशान कर दिया।	বিরক্ত; ঝামেলাপূর্ণ	এই বিষয়টি তাকে খুব বিরক্ত করেছে।	naiinis; abala	Nainis siya nang husto dahil sa bagay na ito.
1196:房租	房租	房租	मकान किराया	इस महीने मकान किराया बढ़ गया।	বাড়িভাড়া	এই মাসে বাড়িভাড়া বেড়েছে।	upang-bahay	Tumaas ang upa sa bahay ngayong buwan.
1199:费	费	费	शुल्क; खर्च होना	पंजीकरण शुल्क पहले ही दे दिया गया है।	ফি; খরচ হওয়া	নিবন্ধন ফি ইতিমধ্যে দেওয়া হয়েছে।	bayad; gumastos	Nabayaran na ang bayad sa pagpaparehistro.
1200:费用	费用	费用	खर्च	यात्रा का खर्च ज़्यादा नहीं है।	খরচ	ভ্রমণের খরচ খুব বেশি নয়।	gastos	Hindi mataas ang gastos sa biyahe.
1201:分数	分数	分数	अंक; ग्रेड	उसके परीक्षा अंक बहुत ऊंचे हैं।	নম্বর; গ্রেড	তার পরীক্ষার নম্বর খুব বেশি।	marka; grado	Mataas ang marka niya sa pagsusulit.
1202:分为	分为	分为	में बांटना	यह कक्षा तीन समूहों में बांटी गई है।	ভাগ করা	এই ক্লাসটি তিনটি দলে ভাগ করা হয়েছে।	hatiin sa	Nahahati ang klaseng ito sa tatlong pangkat.
1209:付	付	付	भुगतान करना	मैंने मोबाइल फोन से पैसे दिए।	পরিশোধ করা	আমি মোবাইল ফোন দিয়ে টাকা পরিশোধ করেছি।	magbayad	Nagbayad ako gamit ang cellphone.
1210:父母	父母	父母	माता-पिता	उसके माता-पिता उत्तर में रहते हैं।	মা-বাবা	তার মা-বাবা উত্তরে থাকেন।	mga magulang	Nakatira sa hilaga ang mga magulang niya.
1211:父女	父女	父女	पिता और बेटी	यह पिता और बेटी साथ यात्रा कर रहे हैं।	বাবা ও মেয়ে	এই বাবা ও মেয়ে একসঙ্গে ভ্রমণ করছে।	ama at anak na babae	Magkasamang naglalakbay ang ama at anak na babae.
1216:负责人	负责人	负责人	ज़िम्मेदार व्यक्ति	ज़िम्मेदार व्यक्ति सबको सूचना भेजेगा।	দায়িত্বপ্রাপ্ত ব্যক্তি	দায়িত্বপ্রাপ্ত ব্যক্তি সবাইকে নোটিশ পাঠাবেন।	taong namamahala	Magpapadala ng abiso sa lahat ang taong namamahala.
1217:父子	父子	父子	पिता और बेटा	यह पिता और बेटा अक्सर पार्क में दौड़ने जाते हैं।	বাবা ও ছেলে	এই বাবা ও ছেলে প্রায়ই পার্কে দৌড়াতে যায়।	ama at anak na lalaki	Madalas tumakbo sa parke ang ama at anak na lalaki.
1218:改	改	改	बदलना; सुधारना	कृपया गलती सुधार दीजिए।	বদলানো; সংশোধন করা	দয়া করে ভুলটি সংশোধন করুন।	baguhin; itama	Pakiitama ang pagkakamali.
1224:感	感	感	भावना; एहसास	यह कमरा सुरक्षा का गहरा एहसास देता है।	অনুভূতি	এই ঘরটি নিরাপত্তার শক্ত অনুভূতি দেয়।	pakiramdam	Nagbibigay ang silid na ito ng malakas na pakiramdam ng seguridad.
1230:感人	感人	感人	भावुक कर देने वाला	यह कहानी बहुत भावुक कर देने वाली है।	স্পর্শকাতর	এই গল্পটি খুব স্পর্শকাতর।	nakaaantig	Nakaaantig ang kuwentong ito.
1231:赶上	赶上	赶上	पकड़ लेना; समय पर पहुंचना	वह आखिरकार आखिरी बस पकड़ पाया।	ধরা; সময়মতো পৌঁছানো	সে অবশেষে শেষ বাসটি ধরতে পেরেছে।	maabutan; makahabol	Naabutan niya sa wakas ang huling bus.
1235:钢琴	钢琴	钢琴	पियानो	वह हर दिन पियानो का अभ्यास करती है।	পিয়ানো	সে প্রতিদিন পিয়ানো অনুশীলন করে।	piyano	Araw-araw siyang nagsasanay tumugtog ng piyano.
1236:高价	高价	高价	ऊंची कीमत	वह महंगी टिकट नहीं खरीदना चाहता।	উচ্চ দাম	সে বেশি দামের টিকিট কিনতে চায় না।	mataas na presyo	Ayaw niyang bumili ng tiket na mataas ang presyo.
1237:高考	高考	高考	चीन की कॉलेज प्रवेश परीक्षा	कई छात्र चीन की कॉलेज प्रवेश परीक्षा की तैयारी कर रहे हैं।	চীনের কলেজ ভর্তি পরীক্ষা	অনেক ছাত্র চীনের কলেজ ভর্তি পরীক্ষার প্রস্তুতি নিচ্ছে।	pambansang pagsusulit sa kolehiyo ng Tsina	Maraming estudyante ang naghahanda para sa pambansang pagsusulit sa kolehiyo ng Tsina.
1238:高速	高速	高速	तेज़ गति; एक्सप्रेसवे	यह एक्सप्रेसवे बहुत चौड़ा है।	উচ্চ গতি; এক্সপ্রেসওয়ে	এই এক্সপ্রেসওয়েটি খুব চওড়া।	mataas na bilis; mabilisang daan	Malapad ang mabilisang daang ito.
1239:高温	高温	高温	उच्च तापमान	उच्च तापमान वाले मौसम में लंबी दौड़ ठीक नहीं है।	উচ্চ তাপমাত্রা	উচ্চ তাপমাত্রার আবহাওয়ায় দীর্ঘ দৌড় উপযুক্ত নয়।	mataas na temperatura	Hindi angkop ang mataas na temperatura para sa mahabang takbo.
1240:高于	高于	高于	से ऊंचा होना	इस साल की कीमत पिछले साल से ऊंची है।	এর চেয়ে বেশি হওয়া	এ বছরের দাম গত বছরের চেয়ে বেশি।	mas mataas kaysa	Mas mataas ang presyo ngayong taon kaysa noong nakaraang taon.
1242:歌声	歌声	歌声	गाने की आवाज़	दूर से सुंदर गाने की आवाज़ आई।	গানের কণ্ঠ	দূর থেকে সুন্দর গানের কণ্ঠ ভেসে এল।	tinig ng pag-awit	May magandang tinig ng pag-awit na narinig mula sa malayo.
1243:歌手	歌手	歌手	गायक	यह गायक बहुत लोकप्रिय है।	গায়ক	এই গায়ক খুব জনপ্রিয়।	mang-aawit	Sikat na sikat ang mang-aawit na ito.
1245:各地	各地	各地	विभिन्न स्थान	विभिन्न स्थानों के पर्यटक यहां आते हैं।	বিভিন্ন জায়গা	বিভিন্ন জায়গার পর্যটকেরা এখানে আসে।	iba't ibang lugar	Dumarating dito ang mga turista mula sa iba't ibang lugar.
1246:各个	各个	各个	हर एक	हर कक्षा ने गतिविधि में भाग लिया।	প্রত্যেক	প্রত্যেক ক্লাস কার্যক্রমে অংশ নিয়েছে।	bawat isa; bawat	Bawat klase ay sumali sa gawain.
1247:各位	各位	各位	आप सभी	आदरणीय शिक्षकों, कृपया पहले थोड़ा आराम कीजिए।	আপনারা সবাই	শিক্ষকবৃন্দ, দয়া করে আগে একটু বিশ্রাম নিন।	kayong lahat	Mga guro, magpahinga muna kayo sandali.
1248:各种	各种	各种	कई प्रकार के	सुपरमार्केट में कई प्रकार के फल हैं।	বিভিন্ন ধরনের	সুপারমার্কেটে বিভিন্ন ধরনের ফল আছে।	iba't ibang uri	May iba't ibang uri ng prutas sa supermarket.
1249:更加	更加	更加	और अधिक	पढ़ाई के बाद वह और अधिक आत्मविश्वासी हो गया।	আরও বেশি	পড়াশোনার পর সে আরও বেশি আত্মবিশ্বাসী হয়েছে।	lalong higit	Pagkatapos mag-aral, lalo siyang naging tiwala sa sarili.
1252:公共	公共	公共	सार्वजनिक	बस स्टॉप आगे है।	সার্বজনীন	বাসস্টপ সামনে।	pampubliko	Nasa unahan ang hintuan ng bus.
1253:功课	功课	功课	स्कूल का काम; पाठ	वह शाम को घर पर स्कूल का काम करता है।	পাঠের কাজ	সে সন্ধ্যায় বাড়িতে পাঠের কাজ করে।	gawaing-aralin; leksiyon	Ginagawa niya ang gawaing-aralin sa bahay tuwing gabi.
1255:公路	公路	公路	सड़क; राजमार्ग	यह सड़क बहुत लंबी है।	সড়ক; মহাসড়ক	এই সড়কটি খুব দীর্ঘ।	kalsada; lansangan	Mahaba ang kalsadang ito.
1258:共	共	共	कुल मिलाकर	हमने कुल तीन टिकट खरीदे।	মোট	আমরা মোট তিনটি টিকিট কিনেছি।	kabuuan	Bumili kami ng kabuuang tatlong tiket.
1261:购买	购买	购买	खरीदना	कृपया टिकट ऑनलाइन खरीदिए।	কেনা	দয়া করে অনলাইনে টিকিট কিনুন।	bumili	Pakibilhin ang mga tiket sa internet.
