source_headword	FI	example_FI
nuclear	ydin-	Keskustelu koski ydinvoimaa.
obvious	ilmeinen	Vastaus oli ilmeinen.
obviously	ilmeisesti	Ilmeisesti tarvitsemme lisää aikaa.
occasion	tilaisuus	Tämä on erityinen tilaisuus.
occur	tapahtua	Onnettomuuksia voi tapahtua missä tahansa.
odd	outo	Se oli outo kysymys.
official	virallinen	Virallinen tulos saapui tänään.
old-fashioned	vanhanaikainen	Hänen puhelimensa näyttää vanhanaikaiselta.
operation	leikkaus	Leikkaus kesti kaksi tuntia.
organized	järjestelmällinen	Hänen työpöytänsä on hyvin järjestelmällinen.
organizer	järjestäjä	Järjestäjä toivotti vieraat tervetulleiksi.
originally	alun perin	Hän tuli alun perin Kanadasta.
ought modal	pitäisi	Sinun pitäisi levätä.
ours	meidän	Tämä pöytä on meidän.
outdoor	ulko-	Ostimme ulkokalusteita.
outdoors	ulkona	Lasten pitäisi leikkiä ulkona.
package	paketti	Paketti saapui tänä aamuna.
painful	kivulias	Haava oli kivulias.
pale	kalpea	Hänen kasvonsa näyttivät kalpeilta.
pan	pannu	Kuumenna pannu ensin.
participate	osallistua	Kaikki voivat osallistua.
particularly	erityisesti	Pidän erityisesti tästä laulusta.
passion	intohimo	Musiikki on hänen intohimonsa.
path	polku	Seuraa polkua puiston läpi.
payment	maksu	Maksu erääntyy huomenna.
peaceful	rauhallinen	Puutarha on rauhallinen.
percentage	prosenttiosuus	Pieni prosenttiosuus oli samaa mieltä.
perfectly	täydellisesti	Suunnitelma toimi täydellisesti.
performance	suoritus	Hänen suorituksensa oli erinomainen.
personally	henkilökohtaisesti	Pidän henkilökohtaisesti teestä enemmän.
persuade	suostutella	Voitko suostutella hänet liittymään mukaan?
photographer	valokuvaaja	Valokuvaaja otti monta kuvaa.
photography	valokuvaus	Valokuvaus on hänen lempiharrastuksensa.
pin	neula	Laita neula kartalle.
pipe	putki	Putki kuljettaa vettä.
planning	suunnittelu	Suunnittelu vie aikaa.
pleasant	miellyttävä	Meillä oli miellyttävä ilta.
pleasure	ilo	Oli ilo tavata sinut.
plenty	runsaasti	Meillä on runsaasti aikaa.
plot	juoni	Juonta oli helppo seurata.
plus1	plus	Kaksi plus kolme on viisi.
poem	runo	Hän kirjoitti lyhyen runon.
poet	runoilija	Runoilija luki ääneen.
poetry	runous	Hän nauttii modernista runoudesta.
poison	myrkky	Pidä myrkky poissa lasten ulottuvilta.
poisonous	myrkyllinen	Jotkut sienet ovat myrkyllisiä.
policy	käytäntö	Yritys muutti käytäntöään.
political	poliittinen	Puhe oli poliittinen.
politician	poliitikko	Poliitikko vastasi kysymyksiin.
politics	politiikka	Politiikka voi olla monimutkaista.
port	satama	Laiva saapui satamaan.
portrait	muotokuva	Muotokuva roikkuu käytävässä.
possibly	ehkä	Hän saapuu ehkä myöhässä.
pot	ruukku	Kasvi tarvitsee suuremman ruukun.
pour	kaataa	Kaada maito hitaasti.
poverty	köyhyys	Monet perheet elävät köyhyydessä.
powder	jauhe	Lisää jauhe veteen.
powerful	voimakas	Moottori on voimakas.
practical	käytännöllinen	Tämä on käytännöllinen ratkaisu.
pray	rukoilla	He rukoilevat joka aamu.
prayer	rukous	Hän sanoi hiljaisen rukouksen.
prediction	ennuste	Hänen ennusteensa oli oikea.
prepared	valmistautunut	Olen valmistautunut kokeeseen.
presentation	esitys	Hänen esityksensä oli selkeä.
press	painaa	Paina nappia kerran.
pressure	paine	Paine voi vaikuttaa terveyteesi.
pretend	teeskennellä	Älä teeskentele nukkuvasi.
previous	edellinen	Edellinen oppitunti oli helpompi.
previously	aiemmin	Asuimme aiemmin Roomassa.
priest	pappi	Pappi puhui hiljaa.
primary	tärkein	Terveys on tärkein huolemme.
prince	prinssi	Prinssi vieraili koulussa.
princess	prinsessa	Prinsessa käytti sinistä mekkoa.
printing	tulostaminen	Raportin tulostaminen kesti muutaman minuutin.
prisoner	vanki	Vanki pakeni yöllä.
private	yksityinen	Tämä on yksityinen keskustelu.
producer	tuottaja	Tuottaja piti elokuvasta.
production	tuotanto	Tuotanto alkaa ensi viikolla.
profession	ammatti	Opettaminen on arvostettu ammatti.
profit	voitto	Kauppa teki voittoa.
promote	edistää	He edistävät terveellistä syömistä.
proper	sopiva	Käytä sopivia kenkiä vaellukselle.
properly	kunnolla	Sulje ovi kunnolla.
property	kiinteistö	He ostivat kiinteistön joen läheltä.
protest	mielenosoitus	Mielenosoitus päättyi rauhallisesti.
proud	ylpeä	Hän oli ylpeä pojastaan.
prove	todistaa	Voitko todistaa vastauksesi?
punish	rangaista	Opettaja ei rangaissut häntä.
punishment	rangaistus	Rangaistus vaikutti reilulta.
qualification	pätevyys	Tarvitset pätevyyden tähän työhön.
qualified	pätevä	Hän on pätevä sairaanhoitaja.
qualify	päästä jatkoon	Joukkueemme voi päästä jatkoon.
queue	jono	Odotimme pitkässä jonossa.
quit	lopettaa	Hän päätti lopettaa tupakoinnin.
quotation	lainaus	Essee alkaa lainauksella.
quote	lainata	Voinko lainata sanojasi?
race (people)	etnisyys	Lomake kysyy etnisyyttä.
racing	hevoskilpailut	Hevoskilpailut ovat siellä suosittuja.
range	valikoima	Kauppa myy laajan valikoiman.
rare	harvinainen	Tämä lintu on harvinainen.
rarely	harvoin	Syömme harvoin ulkona.
reaction	reaktio	Hänen reaktionsa yllätti minut.
reality	todellisuus	Todellisuus oli erilainen kuin hänen unensa.
receipt	kuitti	Säilytä kuitti.
recommendation	suositus	Kiitos suosituksesta.
reference	viite	Lisää viite loppuun.
reflect	heijastaa	Peili voi heijastaa valoa.
regularly	säännöllisesti	Hän kuntoilee säännöllisesti.
reject	hylätä	He voivat hylätä tarjouksen.
relate	samaistua	Voin samaistua siihen tarinaan.
related	liittyvä	Nämä kaksi ongelmaa liittyvät toisiinsa.
relation	suhde	Heidän välillään on suhde.
relative	suhteellinen	Nopeus on suhteellista.
relaxed	rentoutunut	Hän tunsi olonsa rentoutuneeksi illallisen jälkeen.
relaxing	rentouttava	Musiikki oli rentouttavaa.
release	julkaista	He julkaisevat elokuvan pian.
reliable	luotettava	Tämä bussi on yleensä luotettava.
religion	uskonto	Uskonto on hänelle tärkeä.
religious	uskonnollinen	He vierailivat uskonnollisessa rakennuksessa.
remain	pysyä	Pysy rauhallisena, kiitos.
remind	muistuttaa	Muistuta minua huomenna.
remote	syrjäinen	He asuvat syrjäisessä kylässä.
rent	vuokra	Vuokra erääntyy tänään.
repeated	toistuva	Toistuvat virheet hidastivat työtä.
represent	symboloida	Tähti symboloi toivoa.
require	vaatia	Tämä työ vaatii koulutusta.
reservation	varaus	Tein varauksen.
resource	resurssi	Kirjasto on hyödyllinen resurssi.
respect	kunnioittaa	Kunnioita luokkatovereitasi.
responsibility	vastuu	Lastenhoito on suuri vastuu.
responsible	vastuussa	Hän on vastuussa lipuista.
retire	jäädä eläkkeelle	Isäni jää pian eläkkeelle.
retired	eläkeläinen	Hän on eläkeläinen opettaja.
revise	muokata	Muokkaa esseesi tänä iltana.
risk	riski	On olemassa sateen riski.
robot	robotti	Robotti puhdisti lattian.
roll	vierittää	Vieritä pallo minulle.
romantic	romanttinen	Heillä oli romanttinen illallinen.
rope	köysi	Sido köysi tiukasti.
rough	epätasainen	Tie oli epätasainen.
row1	rivi	Istu eturivissä.
royal	kuninkaallinen	Kuninkaallinen perhe saapui.
rugby	rugby	Katsoimme rugbya televisiosta.
safety	turvallisuus	Turvallisuus on tärkeää työssä.
sailor	merimies	Merimies korjasi veneen.
sample	näyte	Sairaanhoitaja otti verinäytteen.
sand	hiekka	Hiekka peitti kenkäni.
scan	skannata	Skannaa asiakirja ensin.
scientific	tieteellinen	Tämä on tieteellinen menetelmä.
script	käsikirjoitus	Näyttelijä luki käsikirjoituksen.
sculpture	veistos	Veistos seisoo ulkona.
secondary	toissijainen	Tämä on toissijainen ongelma.
security	turvallisuus	Turvallisuus tarkisti laukkumme.
seed	siemen	Istuta siemen maahan.
sensible	järkevä	Se on järkevä ajatus.
seriously	vakavasti	Ota tämä ongelma vakavasti.
servant	palvelija	Palvelija avasi oven.
set (put)	asettaa	Aseta lasi pöydälle.
set (group)	setti	Tämä setti sisältää kuusi kuppia.
setting	ympäristö	Tarinalla on kaupunkiympäristö.
sex	sukupuoli	Lomake kysyy ikää ja sukupuolta.
sexual	seksuaalinen	Luokka keskusteli seksuaaliterveydestä.
sharp	terävä	Tämä veitsi on terävä.
shelf	hylly	Laita kirja hyllylle.
shell	kuori	Kuori oli tyhjä.
shift	vuoro	Vuoroni alkaa kahdeksalta.
shine	loistaa	Tähdet loistavat yöllä.
shiny	kiiltävä	Hänen kenkänsä ovat kiiltävät.
shoot	kuvata	Valokuvaaja kuvaa kohtauksen.
shy	ujo	Hän on ujo vieraiden kanssa.
sight	näky	Vuori oli kaunis näky.
signal	signaali	Signaali oli heikko.
silent	hiljainen	Huone muuttui hiljaiseksi.
silly	typerä	Se oli typerä virhe.
similarity	samankaltaisuus	Siinä on selvä samankaltaisuus.
similarly	samoin	Toinen suunnitelma toimii samoin.
simply	vain	Paina vain tätä nappia.
sink	upota	Raskaat kivet uppoavat nopeasti.
slice	viipale	Söin viipaleen kakkua.
slightly	hieman	Huone on hieman lämpimämpi.
smart	tyylikäs	Hän käytti tyylikästä takkia.
smooth	tasainen	Tie on tasainen.
software	ohjelmisto	Ohjelmisto tarvitsee päivityksen.
soil	maaperä	Maaperä on kuiva.
solid	vankka	Seinä on vankka.
southern	eteläinen	He asuvat eteläisellä rannikolla.
specifically	nimenomaan	Pyysin nimenomaan teetä.
spending	menot	Valtion menot kasvoivat.
spicy	mausteinen	Tämä curry on mausteinen.
spirit	henki	Joukkue osoitti hyvää henkeä.
spoken	puhuttu	Puhuttu englanti paranee harjoittelulla.
spot	paikka	Tämä paikka on täydellinen.
spread	levittää	Levitä voita leivälle.
stadium	stadion	Stadion oli täynnä.
staff	henkilökunta	Henkilökunta oli avulias.
standard	taso	Taso oli korkea.
statistic	tilasto	Tämä tilasto on yllättävä.
statue	patsas	Patsas seisoo torilla.
stick (push into/attach)	liimata	Liimaa etiketti laatikkoon.
stick (piece of wood)	keppi	Hän poimi kepin.
