hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
2041:本地	本地	本地	പ്രാദേശിക	ഈ കടയിൽ പ്രധാനമായി പ്രാദേശിക പഴങ്ങൾ വിൽക്കുന്നു.	жергілікті	Бұл дүкен негізінен жергілікті жеміс сатады.
2046:比分	比分	比分	പോയിന്റ് നില	മത്സരം അവസാനിക്കുമ്പോൾ പോയിന്റ് നില മൂന്ന് രണ്ടു ആയിരുന്നു.	есеп	Ойын аяқталғанда есеп үшке екі болды.
2049:必	必	必	തീർച്ചയായും; നിർബന്ധമായി	പ്രധാന രേഖകളിൽ ബന്ധപ്പെട്ട വ്യക്തി നിർബന്ധമായി ഒപ്പിടണം.	міндетті түрде; сөзсіз	Маңызды құжаттарға тиісті адамның өзі міндетті түрде қол қоюы керек.
2052:闭幕式	闭幕式	闭幕式	സമാപന ചടങ്ങ്	കായികമേളയുടെ സമാപന ചടങ്ങ് വൈകുന്നേരം നടക്കും.	жабылу салтанаты	Спорт жарысының жабылу салтанаты кешке өтеді.
2054:必需	必需	必需	അത്യാവശ്യമായ; അനിവാര്യമായ	യാത്രയിൽ വെള്ളവും ഭക്ഷണവും അനിവാര്യമാണ്.	қажетті; міндетті	Су мен тамақ сапарда қажетті заттар.
2057:变动	变动	变动	മാറ്റം; വ്യത്യാസം	ഈ മാസത്തെ ജോലി ക്രമീകരണത്തിൽ മാറ്റമുണ്ട്.	өзгеріс	Осы айдың жұмыс кестесінде өзгеріс бар.
2059:便利店	便利店	便利店	സൗകര്യ കട	താഴത്തെ നിലയിലെ സൗകര്യ കട ഇരുപത്തിനാലു മണിക്കൂറും തുറന്നിരിക്കും.	ыңғайлы дүкен	Төменгі қабаттағы ыңғайлы дүкен тәулік бойы ашық.
2067:饼	饼	饼	അപ്പം; പാൻകേക്ക്	രാവിലെ അമ്മ എനിക്ക് മുട്ട അപ്പം ഉണ്ടാക്കി.	шелпек; бәліш	Анам таңертең маған жұмыртқалы шелпек пісірді.
2068:病房	病房	病房	ആശുപത്രി വാർഡ്	നഴ്‌സ് രോഗിയെ ആശുപത്രി വാർഡിലേക്ക് കൊണ്ടുപോയി.	аурухана палатасы	Мейірбике науқасты аурухана палатасына апарды.
2069:病情	病情	病情	രോഗാവസ്ഥ	അവന്റെ രോഗാവസ്ഥ ഇതിനകം മെച്ചപ്പെട്ടുവെന്ന് ഡോക്ടർ പറഞ്ഞു.	ауру жағдайы	Дәрігер оның жағдайы жақсарғанын айтты.
2070:拨打	拨打	拨打	നമ്പർ വിളിക്കുക; ഫോൺ ചെയ്യുക	തീപ്പിടിത്തം ഉണ്ടായാൽ അടിയന്തര നമ്പർ വിളിക്കുക.	нөмір теру; қоңырау шалу	Өрт болса, төтенше қызмет нөміріне қоңырау шалыңыз.
2073:不利	不利	不利	അനുകൂലമല്ലാത്ത	ശക്തമായ കാറ്റ് മത്സരത്തിന് അനുകൂലമല്ല.	қолайсыз	Қатты жел жарысқа қолайсыз.
2074:不幸	不幸	不幸	ദുരഭാഗ്യകരമായ; ദുരഭാഗ്യം	അവന്റെ ബാല്യത്തിൽ ഒരു ദുരഭാഗ്യകരമായ അനുഭവം ഉണ്ടായിരുന്നു.	бақытсыз; сәтсіздік	Оның балалық шағында бақытсыз бір оқиға болған.
2078:不符	不符	不符	പൊരുത്തപ്പെടാത്ത	ടിക്കറ്റിലെ പേര് തിരിച്ചറിയൽ രേഖയുമായി പൊരുത്തപ്പെടുന്നില്ല.	сәйкес келмеу	Билеттегі аты құжатпен сәйкес келмейді.
2079:不良	不良	不良	ചീത്ത; ഹാനികരമായ	നീണ്ടകാലം വൈകി ഉറങ്ങുന്നത് ഒരു ചീത്ത ശീലമാണ്.	жаман; зиянды	Ұзақ уақыт түнде ұйықтамау жаман әдет.
2081:步行	步行	步行	നടക്കുക	ഇവിടെ നിന്ന് സ്കൂളിലേക്ക് നടക്കാം.	жаяу жүру	Бұл жерден мектепке жаяу баруға болады.
2083:才2	才2	才	പ്രതിഭ; കഴിവ്	ചെറുപ്പം മുതൽ അവൻ സംഗീത പ്രതിഭ കാണിച്ചു.	дарын; қабілет	Ол кішкентайынан музыкаға дарын көрсетті.
2087:彩色	彩色	彩色	നിറമുള്ള; വർണ്ണാഭമായ	കുട്ടികൾ ഒരു നിറമുള്ള ഭൂപടം വരച്ചു.	түсті; түрлі түсті	Балалар түрлі түсті карта салды.
2088:采用	采用	采用	സ്വീകരിക്കുക; ഉപയോഗിക്കുക	കമ്പനി പുതിയ മാനേജ്മെന്റ് രീതി സ്വീകരിക്കാൻ തീരുമാനിച്ചു.	қабылдау; қолдану	Компания жаңа басқару әдісін қолдануға шешім қабылдады.
2090:餐饮	餐饮	餐饮	ഭക്ഷണ സേവനം; ഭക്ഷണപാനീയ മേഖല	ഈ മാളിലെ ഭക്ഷണ മേഖല അഞ്ചാം നിലയിലാണ്.	тамақтану қызметі	Бұл сауда орталығының тамақтану аймағы бесінші қабатта.
2092:藏	藏	藏	മറയ്ക്കുക; സൂക്ഷിക്കുക	അവൾ സമ്മാനം അലമാരയിൽ മറച്ചു.	жасыру; сақтау	Ол сыйлықты шкафқа жасырып қойды.
2095:测	测	测	അളക്കുക; പരിശോധിക്കുക	അധ്യാപകൻ വെള്ളത്തിന്റെ ചൂട് അളക്കാൻ പറഞ്ഞു.	өлшеу; тексеру	Мұғалім бізден судың температурасын өлшеуді сұрады.
2096:测试	测试	测试	പരിശോധിക്കുക; പരീക്ഷിക്കുക	പുതിയ സോഫ്റ്റ്‌വെയർ നാളെ പരീക്ഷണം തുടങ്ങും.	сынақтан өткізу; тексеру	Жаңа бағдарламаны сынақтан өткізу ертең басталады.
2097:曾	曾	曾	ഒരിക്കൽ; മുമ്പ്	അവൻ മുമ്പ് ബെയ്ജിംഗിൽ മൂന്ന് വർഷം ജോലി ചെയ്തു.	бір кезде; бұрын	Ол бұрын Бейжіңде үш жыл жұмыс істеген.
2104:产	产	产	ഉൽപാദിപ്പിക്കുക; പ്രസവിക്കുക	ഈ തോട്ടത്തിൽ പ്രധാനമായി ആപ്പിൾ ഉൽപാദിപ്പിക്കുന്നു.	өндіру; туу	Бұл бақ негізінен алма өндіреді.
2105:产量	产量	产量	ഉൽപാദന അളവ്; വിളവ്	ഈ വർഷത്തെ ധാന്യ വിളവ് വർധിച്ചു.	өнім көлемі; түсім	Биыл астық түсімі артты.
2108:长处	长处	长处	ശക്തി; നല്ല വശം	ക്ഷമയാണ് അവന്റെ ശക്തി.	артықшылық; мықты жағы	Сабырлылық оның мықты жағы.
2109:长度	长度	长度	നീളം	ഈ കയറിന്റെ നീളം തികച്ചും യോജിക്കുന്നു.	ұзындық	Бұл арқанның ұзындығы дәл келеді.
2110:长久	长久	长久	ദീർഘകാലം നിലനിൽക്കുന്ന	യഥാർത്ഥ സൗഹൃദം ദീർഘകാലം നിലനിൽക്കും.	ұзаққа созылатын	Шынайы достық ұзаққа созылады.
2111:长期	长期	长期	ദീർഘകാല	ദീർഘകാല വ്യായാമം ശരീരത്തിന് നല്ലതാണ്.	ұзақ мерзімді	Ұзақ мерзімді жаттығу денеге пайдалы.
2115:长远	长远	长远	ദീർഘകാല; ദൂരദർശിയായ	തീരുമാനം എടുക്കുമ്പോൾ ദീർഘകാല സ്വാധീനം പരിഗണിക്കണം.	ұзақ мерзімді; алысты көздейтін	Шешім қабылдағанда ұзақ мерзімді әсерін ескеру керек.
2117:超	超	超	കവിയുക; അതിക്രമിക്കുക	ഈ മാസത്തെ ചെലവ് ബജറ്റ് കവിഞ്ഞു.	асу; асып түсу	Бұл айдағы шығын бюджеттен асып кетті.
2118:超出	超出	超出	കവിയുക; അതിരുകടക്കുക	യഥാർത്ഥ ചെലവ് നമ്മുടെ പദ്ധതിയെ കവിഞ്ഞു.	асып кету; шектен шығу	Нақты шығын біздің жоспардан асып кетті.
2120:超速	超速	超速	അമിതവേഗത്തിൽ പോകുക	അമിതവേഗം കാരണം ഈ കാറിന് പിഴ ചുമത്തി.	жылдамдықты асыру	Бұл көлік жылдамдықты асырғаны үшін айыппұл төледі.
2124:车祸	车祸	车祸	വാഹനാപകടം	ആ വാഹനാപകടത്തിൽ ഗുരുതര പരിക്ക് ഉണ്ടായില്ല.	жол апаты	Сол жол апаты ауыр жарақатқа әкелмеді.
2126:车辆	车辆	车辆	വാഹനം	താമസസമുച്ചയത്തിന്റെ കവാടത്തിൽ പുറത്തുനിന്നുള്ള വാഹനങ്ങൾക്ക് പ്രവേശനം അനുവദനീയമല്ല.	көлік	Тұрғын аудан қақпасына сыртқы көліктерге кіруге болмайды.
2128:车主	车主	车主	കാർ ഉടമ	കാർ ഉടമ ഇതിനകം ഇൻഷുറൻസ് കമ്പനിയുമായി ബന്ധപ്പെട്ടു.	көлік иесі	Көлік иесі сақтандыру компаниясымен хабарласып қойды.
2130:沉	沉	沉	മുങ്ങുക; ഭാരമുള്ള	കല്ല് വെള്ളത്തിൽ വീണ് വേഗത്തിൽ മുങ്ങി.	бату; ауыр	Тас суға түсіп, тез батып кетті.
2134:称为	称为	称为	എന്ന് വിളിക്കപ്പെടുക	ഈ ചായയെ പ്രാദേശികമായി വസന്ത ചായ എന്ന് വിളിക്കുന്നു.	деп аталу	Бұл шай жергілікті жерде көктем шайы деп аталады.
2143:成年1	成年1	成年	പ്രായപൂർത്തിയാകുക	അവൻ ഈ വർഷം മാത്രമാണ് പ്രായപൂർത്തിയായത്, നടപടികൾ ഒറ്റയ്ക്ക് ചെയ്യാം.	кәмелетке толу	Ол биыл ғана кәмелетке толды, рәсімдерді өзі орындай алады.
2144:城区	城区	城区	നഗരപ്രദേശം	പഴയ നഗരപ്രദേശത്തിലെ വഴികൾ താരതമ്യേന ഇടുങ്ങിയതാണ്.	қала ауданы	Ескі қала ауданындағы көшелер салыстырмалы түрде тар.
2149:乘务员	乘务员	乘务员	സേവന ജീവനക്കാരൻ; സംഘം അംഗം	സേവന ജീവനക്കാരൻ എല്ലാവരോടും സുരക്ഷാ ബെൽറ്റ് കെട്ടാൻ ഓർമ്മിപ്പിച്ചു.	жолсерік; экипаж мүшесі	Жолсерік бәріне қауіпсіздік белдігін тағуды ескертті.
2153:橙子	橙子	橙子	ഓറഞ്ച്	ഈ ഓറഞ്ച് മധുരമാണ്, രസവും കൂടുതലുണ്ട്.	апельсин	Бұл апельсин тәтті әрі шырыны көп.
2154:池	池	池	കുളം	മുറ്റത്ത് ഒരു ചെറിയ കുളം ഉണ്ട്.	тоған; бассейн	Аулада кішкентай тоған бар.
2159:充电	充电	充电	ചാർജ് ചെയ്യുക	മൊബൈൽ ഫോൺ ചാർജ് തീരാറായി, ചാർജ് ചെയ്യണം.	зарядтау	Телефонның қуаты таусылуға жақын, оны зарядтау керек.
2162:充值	充值	充值	റീചാർജ് ചെയ്യുക; തുക ചേർക്കുക	ഞാൻ ബസ് കാർഡിൽ നൂറ് യുവാൻ ചേർത്തു.	толықтыру; қайта зарядтау	Мен автобус картасын жүз юаньға толықтырдым.
2165:虫子	虫子	虫子	കീടം; പുഴു	പൂച്ചട്ടിയിൽ ചില ചെറിയ കീടങ്ങൾ ഉണ്ട്.	жәндік; қоңыз	Гүл құмырасында бірнеше кішкентай жәндік бар.
2167:抽	抽	抽	പുറത്തെടുക്കുക; പുകവലിക്കുക; പമ്പ് ചെയ്യുക	അവൻ പെട്ടിയിൽ നിന്ന് ഒരു കടലാസ് പുറത്തെടുത്തു.	шығарып алу; темекі шегу; сорып алу	Ол қораптан бір парақ қағаз шығарып алды.
2170:初	初	初	തുടക്കം; ആദ്യ	യോഗം അടുത്ത മാസത്തിന്റെ തുടക്കത്തിൽ നടത്താനാണ് നിശ്ചയിച്ചത്.	басы; алғашқы	Жиналыс келесі айдың басына белгіленді.
2173:初期	初期	初期	പ്രാരംഭ ഘട്ടം	പ്രോജക്റ്റിന്റെ പ്രാരംഭ ഘട്ടത്തിൽ കൂടുതൽ ഫണ്ട് വേണം.	бастапқы кезең	Жобаның бастапқы кезеңінде көбірек қаржы керек.
2175:出售	出售	出售	വിൽക്കുക; വിൽപ്പനയ്ക്ക് നൽകുക	ഈ വീട് ഇപ്പോൾ വിൽപ്പനയ്ക്കുണ്ട്.	сату; сатуға шығару	Бұл пәтер қазір сатуға шығарылған.
2177:出自	出自	出自	നിന്ന് വരുക; ഉദ്ഭവിക്കുക	ഈ വാക്യം ഒരു പഴയ പുസ്തകത്തിൽ നിന്നാണ് വന്നത്.	шығу; бастау алу	Бұл сөйлем көне кітаптан алынған.
2179:处	处	处	കൈകാര്യം ചെയ്യുക	അവൻ ഈ സങ്കീർണ്ണ പ്രശ്നം കൈകാര്യം ചെയ്യുകയാണ്.	шешу; айналысу	Ол осы күрделі мәселемен айналысып жатыр.
2181:处于	处于	处于	നിലകൊള്ളുക; ഉള്ളത്	കമ്പനി ഇപ്പോൾ വേഗത്തിലുള്ള വികസന ഘട്ടത്തിലാണ്.	болу; орналасу	Компания қазір жылдам даму кезеңінде тұр.
2182:处	处	处	സ്ഥലം; ഇടം	ഈ പഴയ വീട് ഇതിനകം ശരിയാക്കി.	орын; жер	Бұл ескі үй жөнделіп болды.
2183:传	传	传	കൈമാറുക; പ്രചരിക്കുക	ദയവായി ഈ രേഖ എല്ലാവർക്കും കൈമാറുക.	жеткізу; тарату	Мына материалды бәріне жеткізіңіз.
2185:传递	传递	传递	കൈമാറുക; പകരുക	ഒരു പുഞ്ചിരിക്ക് സൗഹൃദ സന്ദേശം പകരാൻ കഴിയും.	жеткізу; беру	Күлімдеу достық хабарды жеткізе алады.
2188:窗台	窗台	窗台	ജാലകപ്പടി	ജാലകപ്പടിയിൽ രണ്ട് പൂച്ചട്ടികൾ വെച്ചിരിക്കുന്നു.	терезе алды	Терезе алдында екі құмыра гүл тұр.
2196:此后	此后	此后	അതിനുശേഷം	അതിനുശേഷം അവൻ ഒരിക്കലും വൈകിയിട്ടില്ല.	содан кейін	Содан кейін ол ешқашан кешіккен жоқ.
2197:此前	此前	此前	ഇതിന് മുമ്പ്	ഇതിന് മുമ്പ് ഞങ്ങൾ ഈ വിഷയം ഇതിനകം ചർച്ച ചെയ്തിരുന്നു.	бұған дейін	Бұған дейін біз бұл мәселені талқылап қойғанбыз.
2198:此时	此时	此时	ഈ സമയത്ത്	ഈ സമയത്ത് പുറത്തുള്ള മഴ കൂടുതൽ ശക്തമായി.	осы сәтте	Осы сәтте сырттағы жаңбыр күшейе түсті.
2200:从不	从不	从不	ഒരിക്കലും ഇല്ല	അവൻ ജോലി ചെയ്യുമ്പോൾ ഒരിക്കലും ഫോൺ കളിക്കാറില്ല.	ешқашан	Ол жұмыс кезінде телефонымен ешқашан ойнамайды.
2206:促销	促销	促销	വിൽപ്പന പ്രചാരം; വിലക്കുറവ് പരിപാടി	സൂപ്പർമാർക്കറ്റിൽ വാരാന്ത്യത്തിൽ പ്രചാരണ പരിപാടിയുണ്ട്.	акция; сатылымды ынталандыру	Супермаркетте осы демалыста акция болады.
2208:存放	存放	存放	സൂക്ഷിക്കുക; വെക്കുക	ദയവായി ചരക്ക് മുന്നിലെ കൗണ്ടറിൽ സൂക്ഷിക്കുക.	сақтау; қою	Жүгіңізді алдыңғы үстелге сақтауға қойыңыз.
2209:存款	存款	存款	നിക്ഷേപം; സമ്പാദ്യം	അവൾ ഓരോ മാസവും ഒരു തുക സമ്പാദ്യമായി വെക്കുന്നു.	салым; жинақ	Ол әр ай сайын бір соманы жинаққа салады.
2215:打断	打断	打断	ഇടക്കു മുറിക്കുക; തടസ്സപ്പെടുത്തുക	മറ്റുള്ളവർ സംസാരിക്കുമ്പോൾ ദയവായി ഇടക്കു മുറിക്കരുത്.	сөзін бөлу; үзу	Басқалар сөйлеп жатқанда сөзін бөлмеңіз.
2216:打破	打破	打破	തകർക്കുക; പൊട്ടിക്കുക	അവൻ അശ്രദ്ധയായി ഒരു ഗ്ലാസ് പൊട്ടിച്ചു.	сындыру; қирату	Ол абайсызда бір стақанды сындырып алды.
2218:大胆	大胆	大胆	ധൈര്യമുള്ള	അവൾ ധൈര്യമുള്ള ഒരു ആശയം മുന്നോട്ടുവച്ചു.	батыл	Ол батыл бір ой ұсынды.
2219:大多	大多	大多	കൂടുതലും; ഭൂരിഭാഗം	ഇവിടെയുള്ള വിദ്യാർത്ഥികൾ കൂടുതലും പ്രാദേശികരാണ്.	көбіне; басым бөлігі	Мұндағы оқушылардың көбі жергілікті жерден келген.
2220:大会	大会	大会	സമ്മേളനം; പൊതുയോഗം	കമ്പനിയുടെ സമ്മേളനം വെള്ളിയാഴ്ച രാവിലെ നടക്കും.	конференция; жалпы жиналыс	Компания конференциясы жұма күні таңертең өтеді.
2221:大力	大力	大力	ശക്തമായി; ഉത്സാഹത്തോടെ	വിദ്യാർത്ഥികൾ മത്സരത്തിൽ പങ്കെടുക്കുന്നതിനെ സ്കൂൾ ശക്തമായി പിന്തുണയ്ക്കുന്നു.	қатты; барынша	Мектеп оқушылардың жарысқа қатысуын қатты қолдайды.
2222:大妈	大妈	大妈	അമ്മായി; മുതിർന്ന സ്ത്രീ	താഴത്തെ നിലയിലെ അമ്മായി ഓരോ രാവിലെയും നൃത്തം ചെയ്യാൻ പോകുന്നു.	апай; егде әйел	Төменгі қабаттағы апай күн сайын таңертең билеуге барады.
2223:大米	大米	大米	അരി	വീട്ടിലെ അരി തീരാറായി.	күріш	Үйдегі күріш таусылуға жақын.
2224:大脑	大脑	大脑	മസ്തിഷ്കം	മതിയായ ഉറക്കം മസ്തിഷ്കത്തിന് വളരെ പ്രധാനമാണ്.	ми	Жеткілікті ұйқы ми үшін өте маңызды.
2225:大批	大批	大批	വലിയ എണ്ണം; വലിയ തോത്	വലിയ എണ്ണം വിനോദസഞ്ചാരികൾ കാഴ്ചപ്രദേശത്തേക്ക് ഒഴുകിയെത്തി.	көп мөлшер; үлкен топ	Көп турист көрікті аймаққа ағылды.
2227:大事	大事	大事	വലിയ കാര്യം; പ്രധാന സംഭവം	വീട് മാറുന്നത് അവരുടെ കുടുംബത്തിന് ഒരു വലിയ കാര്യമാണ്.	үлкен іс; маңызды оқиға	Үй көшу олардың отбасы үшін үлкен іс.
2230:大爷	大爷	大爷	മുതിർന്ന പുരുഷൻ	ആ മുതിർന്ന പുരുഷൻ ദിവസവും പാർക്കിൽ ചെസ് കളിക്കുന്നു.	қария; ақсақал	Сол қария күн сайын саябақта шахмат ойнайды.
2231:大于	大于	大于	വലുതാണ്; കൂടുതലാണ്	അഞ്ച് മൂന്നിനേക്കാൾ വലുതാണ്, ഇത് വളരെ ലളിതമായ താരതമ്യം.	үлкен; артық	Бес үштен үлкен, бұл өте қарапайым салыстыру.
2232:大众	大众	大众	പൊതുജനം; ജനങ്ങൾ	ഈ സിനിമ പൊതുജനങ്ങളിൽ വളരെ ജനപ്രിയമാണ്.	жұртшылық; халық	Бұл фильм жұртшылық арасында өте танымал.
2233:代	代	代	തലമുറ; കാലഘട്ടം	യുവ തലമുറയ്ക്ക് സ്വന്തം ജീവിതരീതി ഉണ്ട്.	ұрпақ; дәуір	Жас ұрпақтың өз өмір салты бар.
2235:带动	带动	带动	മുന്നോട്ട് നയിക്കുക; പ്രോത്സാഹിപ്പിക്കുക	ടൂറിസം പ്രാദേശിക സമ്പദ്‌വ്യവസ്ഥയുടെ വികസനത്തെ മുന്നോട്ട് നയിച്ചു.	қозғау; ынталандыру	Туризм жергілікті экономиканың дамуын қозғады.
2238:单	单	单	പട്ടിക; ബിൽ; ഒറ്റ	വെയിറ്റർ മെനു ഞങ്ങൾക്ക് കൈമാറി.	тізім; шот; жалғыз	Даяшы мәзірді бізге ұсынды.
2241:单一	单一	单一	ഏകമായ; ഒറ്റതരം	ഈ ഉൽപ്പന്നത്തിന്റെ പ്രവർത്തനം താരതമ്യേന ഒറ്റതരമാണ്.	жалғыз; біртекті	Бұл өнімнің қызметі салыстырмалы түрде біртекті.
2243:胆小	胆小	胆小	ഭീരുവായ; പേടിയുള്ള	അവൻ ബാല്യത്തിൽ വളരെ ഭീരുവായിരുന്നു, ഇരുട്ടിനെ പേടിച്ചു.	қорқақ; жасқаншақ	Ол бала кезінде қорқақ болып, қараңғыдан қорқатын.
2246:当年	当年	当年	ആ വർഷം; ആ കാലത്ത്	ആ കാലത്ത് അവർ ഒരുമിച്ച് ഗ്രാമത്തിൽ ജോലി ചെയ്തു.	сол жылы; сол кезде	Сол кезде олар ауылда бірге жұмыс істеді.
2248:当中	当中	当中	ഇടയിൽ; നടുവിൽ	സഹപാഠികളിൽ അവന്റെ മാർക്കാണ് ഏറ്റവും നല്ലത്.	арасында; ортасында	Сыныптастарының арасында оның бағасы ең жақсы.
2251:当成	当成	当成	ആയി കാണുക; ആയി സ്വീകരിക്കുക	അവൾ ഈ പരാജയത്തെ ഒരു പഠനാവസരമായി കണ്ടു.	ретінде қарау	Ол бұл сәтсіздікті оқу мүмкіндігі ретінде қарады.
2252:当作	当作	当作	ആയി കണക്കാക്കുക	ഞാൻ അവനെ ഏറ്റവും നല്ല സുഹൃത്തായി കണക്കാക്കുന്നു.	ретінде санау	Мен оны ең жақсы досым ретінде санаймын.
2258:到期	到期	到期	കാലാവധി തീരുക	എന്റെ പാസ്‌പോർട്ടിന്റെ കാലാവധി അടുത്ത മാസം തീരും.	мерзімі біту	Менің паспортымның мерзімі келесі айда бітеді.
2259:登	登	登	കയറുക; പ്രസിദ്ധീകരിക്കുക; ലോഗിൻ ചെയ്യുക	അവർ പുലർച്ചെ മല കയറാൻ പുറപ്പെട്ടു.	көтерілу; жариялау; кіру	Олар таңертең ерте тауға көтерілуге шықты.
2260:灯光	灯光	灯光	വെളിച്ചം; ലൈറ്റിംഗ്	വേദിയിലെ വെളിച്ചം വളരെ മനോഹരമാണ്.	жарық; жарықтандыру	Сахнадағы жарық өте әдемі.
2266:低头	低头	低头	തല താഴ്ത്തുക	അവൻ തല താഴ്ത്തി ഫോൺ ഒന്ന് നോക്കി.	басын төмен түсіру	Ол басын төмен түсіріп, телефонына бір қарады.
2271:地面	地面	地面	നിലം; തറ	മഴയ്ക്കുശേഷം നിലം വഴുക്കലാണ്, നടക്കുമ്പോൾ സൂക്ഷിക്കണം.	жер; еден беті	Жаңбырдан кейін жер тайғақ, жүргенде абай болу керек.
2274:地下	地下	地下	ഭൂഗർഭ	ഈ നഗരത്തിൽ വലിയ ഭൂഗർഭ പാർക്കിംഗ് സ്ഥലമുണ്ട്.	жер асты	Бұл қалада үлкен жер асты автотұрағы бар.
2277:点赞	点赞	点赞	ലൈക്ക് ചെയ്യുക; അംഗീകരിച്ച് അടയാളപ്പെടുത്തുക	നിരവധി നെറ്റിസൺമാർ ഈ വീഡിയോയ്ക്ക് ലൈക്ക് ചെയ്തു.	лайк басу; ұнату	Көптеген желі қолданушылары бұл видеоға лайк басты.
2279:电动	电动	电动	വൈദ്യുതി പ്രവർത്തിത	അവൻ ഒരു വൈദ്യുതി പ്രവർത്തിത സൈക്കിൾ വാങ്ങി.	электрлі	Ол электрлі велосипед сатып алды.
2280:电器	电器	电器	വൈദ്യുതോപകരണം	അടുക്കളയിലെ വൈദ്യുതോപകരണങ്ങൾ എല്ലാം പുതുതാണ്.	электр құралы	Асүйдегі электр құралдарының бәрі жаңа.
2281:电商	电商	电商	ഇലക്ട്രോണിക് വ്യാപാരം; ഓൺലൈൻ വ്യാപാരം	ഇലക്ട്രോണിക് വ്യാപാര വേദികൾ പലരുടെയും ഷോപ്പിംഗ് ശീലങ്ങൾ മാറ്റി.	электрондық сауда	Электрондық сауда платформалары көп адамның сатып алу әдетін өзгертті.
2282:电视台	电视台	电视台	ടെലിവിഷൻ സ്റ്റേഷൻ	ബിരുദം കഴിഞ്ഞ ശേഷം അവൾ ടെലിവിഷൻ സ്റ്റേഷനിൽ ജോലി ചെയ്യാൻ പോയി.	телестанция	Оқуды бітіргеннен кейін ол телестанцияға жұмысқа барды.
2283:电子版	电子版	电子版	ഇലക്ട്രോണിക് പതിപ്പ്	യോഗ സാമഗ്രികൾക്ക് ഇലക്ട്രോണിക് പതിപ്പും പേപ്പർ പതിപ്പും ഉണ്ട്.	электрондық нұсқа	Жиналыс материалдарының электрондық нұсқасы да, қағаз нұсқасы да бар.
2284:调1	调1	调	സ്ഥലംമാറ്റുക; മാറ്റുക	അവനെ അടുത്ത മാസം ഷാങ്ഹായ് ശാഖയിലേക്ക് സ്ഥലംമാറ്റും.	ауыстыру; көшіру	Ол келесі айда Шанхай филиалына ауыстырылады.
2285:调研	调研	调研	ഗവേഷണം നടത്തുക; സർവേ ചെയ്യുക	സംഘം യുവാക്കളുടെ ഉപഭോഗ ശീലങ്ങളെ കുറിച്ച് ഗവേഷണം നടത്തുന്നു.	зерттеу; сауалнама жүргізу	Топ жастардың тұтыну әдеттерін зерттеп жатыр.
2287:丢失	丢失	丢失	നഷ്ടപ്പെടുക	തിരിച്ചറിയൽ രേഖ നഷ്ടപ്പെട്ടാൽ ഉടൻ പോലീസിൽ അറിയിക്കണം.	жоғалту	Құжатыңыз жоғалса, полицияға тезірек хабарлау керек.
