source_headword	TH	example_TH
administrative	ด้านธุรการ	พนักงานฝ่ายธุรการจัดการกับแบบฟอร์ม.
administrator	ผู้ดูแลระบบ	ผู้ดูแลระบบรีเซ็ตรหัสผ่านของฉัน.
admission	การเข้าชม	การเข้าชมพิพิธภัณฑ์นี้ฟรี.
adolescent	วัยรุ่น	วัยรุ่นคนนี้ต้องการการสนับสนุนเพิ่มเติม.
adoption	การรับเลี้ยงบุตรบุญธรรม	การรับอุปการะทำให้เด็กมีบ้านที่มั่นคง.
adverse	ผลเสีย	ยาทำให้เกิดผลข้างเคียง.
advocate	ผู้สนับสนุน	ผู้สนับสนุนปกป้องสิทธิของผู้เช่า.
aesthetic	เกี่ยวกับความงาม	ห้องมีสไตล์ความงามที่สงบ.
affection	ความรักใคร่	เธอแสดงความรักต่อครอบครัวของเธอ.
aftermath	ควันหลง	ผลพวงจากพายุนั้นยากลำบาก.
aggression	ความก้าวร้าว	ครูสังเกตเห็นความก้าวร้าวในช่วงพัก.
agricultural	ทางการเกษตร	การส่งออกสินค้าเกษตรเพิ่มขึ้นในปีนี้.
aide	ผู้ช่วย	ผู้ช่วยจัดตารางเวลาของรัฐมนตรี.
albeit	ถึงแม้ว่า	แผนนี้ได้ผลถึงแม้จะช้าก็ตาม.
alert	แจ้งเตือน	โปรดแจ้งเตือนพนักงานทันที.
align	จัดตำแหน่ง	ลูกศรเรียงตัวขนานไปกับถนน.
alignment	การจัดตำแหน่ง	การตั้งศูนย์ล้อทำให้รถควบคุมได้ดีขึ้น.
alike	เหมือนกัน	ฝาแฝดแต่งตัวเหมือนกันในวันหยุดสุดสัปดาห์.
allegation	ข้อกล่าวหา	ข้อกล่าวหาปรากฏในหนังสือพิมพ์.
allege	กล่าวหา	พวกเขากล่าวหาว่าเงินสูญหายไป.
allegedly	ตามที่กล่าวหา	คนขับถูกกล่าวหาว่าเพิกเฉยต่อคำเตือน.
alliance	พันธมิตร	พรรคต่างๆได้จัดตั้งพันธมิตรชั่วคราว.
allocate	จัดสรร	เมืองจะจัดสรรเงินสำหรับโรงเรียน.
allocation	การจัดสรร	การจัดสรรที่นั่งไม่ยุติธรรม.
allowance	เบี้ยเลี้ยง	ค่าใช้จ่ายของเธอครอบคลุมค่าอาหารกลางวันและค่าเดินทาง.
ally	พันธมิตร	แคนาดากลายเป็นพันธมิตรที่ใกล้ชิด.
aluminium	อะลูมิเนียม	โครงทำจากอะลูมิเนียม.
amateur	มือสมัครเล่น	ช่างภาพสมัครเล่นคนหนึ่งเป็นคนถ่ายรูป.
ambassador	เอกอัครราชทูต	ท่านทูตได้พบกับนักเรียนในพื้นที่.
amend	แก้ไข	รัฐสภาลงมติให้แก้ไขกฎหมาย.
amendment	การแก้ไข	การแก้ไขเปลี่ยนไปหนึ่งย่อหน้า.
amid	ท่ามกลาง	สุนทรพจน์มีขึ้นท่ามกลางความตึงเครียดที่เพิ่มขึ้น.
analogy	การเปรียบเทียบ	ครูใช้การเปรียบเทียบที่เรียบง่าย.
anchor	สมอ	เรือทอดสมอใกล้กับเกาะ.
angel	นางฟ้า	เด็กคนนั้นสวมชุดนางฟ้า.
anonymous	ไม่ระบุชื่อ	การร้องเรียนนั้นไม่ระบุตัวตน.
apparatus	อุปกรณ์	อุปกรณ์ในห้องปฏิบัติการต้องทำความสะอาด.
appealing	น่าดึงดูด	ข้อเสนอนี้น่าสนใจสำหรับนักเรียน.
appetite	ความอยากอาหาร	การออกกำลังกายทำให้ความอยากอาหารของเขาเพิ่มขึ้น.
applaud	ปรบมือ	ผู้ชมเริ่มปรบมือเสียงดัง.
applicable	ใช้ได้	ส่วนลดนี้สามารถใช้ได้ในวันนี้.
appoint	แต่งตั้ง	คณะกรรมการจะแต่งตั้งผู้อำนวยการ.
appreciation	ความซาบซึ้ง	เธอแสดงความขอบคุณสำหรับความช่วยเหลือของพวกเขา.
arbitrary	ตามอำเภอใจ	กำหนดเวลาดูเหมือนจะเอาแต่ใจสำหรับพนักงาน.
architectural	ทางสถาปัตยกรรม	เมืองนี้ปกป้องมรดกทางสถาปัตยกรรม.
archive	กรุ	เอกสารสำคัญเก็บภาพถ่ายเก่าๆไว้.
arena	สังเวียน	การถกเถียงเข้าสู่เวทีสาธารณะ.
arguably	อาจกล่าวได้ว่า	นี่อาจกล่าวได้ว่าเป็นนวนิยายที่ดีที่สุดของเขา.
arm	ติดอาวุธ	ยามจะติดอาวุธให้กับขบวนรถ.
array	แถว	ร้านค้านี้มีเครื่องมือมากมาย.
articulate	ถ่ายทอด	เธอสามารถถ่ายทอดแนวคิดที่ซับซ้อนได้อย่างชัดเจน.
ash	เถ้า	ขี้เถ้าปกคลุมรถหลังจากเกิดไฟไหม้.
aspiration	ความทะเยอทะยาน	ความทะเยอทะยานของเธอคือการเป็นศัลยแพทย์.
aspire	ปรารถนา	นักเรียนหลายคนปรารถนาที่จะเรียนต่อต่างประเทศ.
assassination	การลอบสังหาร	การลอบสังหารเปลี่ยนแปลงการเมืองของประเทศ.
assault	การทำร้ายร่างกาย	การทำร้ายร่างกายเกิดขึ้นใกล้กับสถานี.
assemble	ประกอบ	คนงานประกอบเฟอร์นิเจอร์ด้วยมือ.
assembly	การชุมนุม	การเข้าแถวของโรงเรียนเริ่มตอนเก้าโมง.
assert	ยืนยัน	เขาพยายามแสดงอำนาจของเขา.
assertion	การยืนยัน	คำยืนยันของเธอทำให้คณะกรรมการประหลาดใจ.
assurance	การรับประกัน	ผู้จัดการให้การรับรองว่าจะสนับสนุน.
asylum	ที่ลี้ภัย	ครอบครัวขอที่ลี้ภัยที่ชายแดน.
atrocity	ความโหดร้าย	ภาพยนตร์เรื่องนี้บรรยายถึงความโหดร้ายในช่วงสงคราม.
attain	บรรลุ	มีนักวิ่งเพียงไม่กี่คนที่ทำความเร็วได้ถึงระดับนั้น.
attendance	การเข้าร่วม	การเข้าร่วมดีขึ้นหลังจากการประกาศ.
attorney	ทนายความ	ทนายความซักถามพยาน.
attribute	ถือว่าเป็นของ	นักวิทยาศาสตร์กล่าวว่าการเพิ่มขึ้นนี้เกิดจากมลภาวะ.
audit	การตรวจสอบบัญชี	การตรวจสอบพบข้อผิดพลาดหลายประการ.
authentic	ของแท้	ร้านอาหารแห่งนี้ให้บริการอาหารพื้นเมืองแท้ๆ.
authorize	อนุญาต	มีเพียงผู้จัดการเท่านั้นที่สามารถอนุมัติการคืนเงินได้.
auto	รถยนต์	อุตสาหกรรมรถยนต์เปลี่ยนแปลงอย่างรวดเร็ว.
autonomy	การปกครองตนเอง	ภูมิภาคนี้ต้องการการปกครองตนเองที่มากขึ้น.
availability	ความพร้อมใช้งาน	ที่นั่งว่างมีจำกัด.
await	รอคอย	มีหลายข้อความรอการตอบกลับจากคุณอยู่.
backdrop	ฉากหลัง	ภูเขาก่อให้เกิดฉากหลังที่น่าทึ่ง.
backing	การสนับสนุน	ข้อเสนอนี้ได้รับการสนับสนุนจากผู้ลงคะแนนเสียง.
backup	ข้อมูลสำรอง	ระบบสร้างข้อมูลสำรองทุกวัน.
bail	เงินประกันตัว	ผู้พิพากษากำหนดเงินประกันตัวตอนเที่ยง.
ballot	บัตรลงคะแนน	ผู้ลงคะแนนแต่ละคนได้รับบัตรลงคะแนน.
banner	ป้ายผ้า	ป้ายผ้าแขวนอยู่เหนือทางเข้า.
bare	ว่างเปล่า	ห้องนี้มีผนังที่ว่างเปล่า.
barrel	ถัง	ถังนั้นเต็มไปด้วยน้ำ.
bass1	เสียงเบส	เสียงเบสดังทุ้มและนุ่มนวล.
battlefield	สนามรบ	สนามรบเก่ากลายเป็นอนุสรณ์สถาน.
bay	อ่าว	หมู่บ้านตั้งอยู่ริมอ่าวที่เงียบสงบ.
beam	คาน	คานเหล็กรองรับหลังคา.
beast	สัตว์ร้าย	เรื่องราวบรรยายถึงสัตว์ร้ายที่ดุร้าย.
behalf	ตัวแทน	เธอพูดในนามของทีม.
beloved	เป็นที่รัก	ครูผู้เป็นที่รักเกษียณอายุในวันนี้.
bench	ม้านั่ง	พวกเขานั่งบนม้านั่งไม้.
benchmark	เกณฑ์มาตรฐาน	การทดสอบนี้กลายเป็นเกณฑ์มาตรฐานของอุตสาหกรรม.
beneath	ข้างใต้	เอกสารอยู่ข้างใต้แฟ้ม.
beneficiary	ผู้รับผลประโยชน์	ลูกชายของเธอเป็นผู้รับผลประโยชน์หลัก.
betray	ทรยศ	อย่าทรยศต่อความไว้วางใจของเพื่อนคุณ.
bind	ผูกมัด	ข้อตกลงนี้จะผูกมัดทั้งสองบริษัท.
biography	ชีวประวัติ	หนังสือชีวประวัติของเขาขายได้หลายเล่ม.
bishop	บิชอป	บิชอปมาเยี่ยมชมโบสถ์ในหมู่บ้าน.
bizarre	ประหลาด	ภาพยนตร์เรื่องนี้มีตอนจบที่ประหลาด.
blade	ใบมีด	ใบมีดตัดเชือกขาด.
blast	ระเบิด	แรงระเบิดทำให้หน้าต่างบริเวณใกล้เคียงแตก.
bleed	เลือดออก	แผลถูกบาดเริ่มมีเลือดออกมาก.
blend	ปั่น	ปั่นซอสจนเนื้อเนียน.
bless	อวยพร	นักบวชจะอวยพรบ้านหลังนี้.
blessing	พร	การได้รับการสนับสนุนถือเป็นพร.
boast	คุยโว	เขาชอบคุยโวเรื่องเงินทอง.
bonus	โบนัส	พนักงานได้รับโบนัสวันหยุด.
boom	ความเจริญรุ่งเรือง	เมืองนี้ประสบกับความเจริญรุ่งเรืองด้านการก่อสร้าง.
bounce	กระเด้ง	ลูกบอลสามารถกระเด้งได้สูงมาก.
boundary	เขตแดน	แม่น้ำเป็นตัวแบ่งเขตแดน.
bow1	โค้งคำนับ	นักแสดงโค้งคำนับอย่างสุดซึ้ง.
breach	การละเมิด	การละเมิดทำให้ข้อมูลส่วนตัวรั่วไหล.
breakdown	การแจกแจง	รายงานนี้มีการแจกแจงค่าใช้จ่าย.
breakthrough	ความก้าวหน้า	การค้นพบนี้เป็นความก้าวหน้าครั้งสำคัญ.
breed	ผสมพันธุ์	นกเหล่านี้ผสมพันธุ์ในฤดูใบไม้ผลิ.
broadband	บรอดแบนด์	สำนักงานต้องการบรอดแบนด์ที่เร็วกว่านี้.
browser	เบราว์เซอร์	โปรดอัปเดตเบราว์เซอร์ของคุณก่อนเข้าสู่ระบบ.
brutal	โหดร้าย	การโจมตีนั้นโหดร้ายและเกิดขึ้นอย่างกะทันหัน.
buck	ดอลลาร์	ตั๋วราคาตัวละสิบดอลลาร์.
buddy	เพื่อน	เพื่อนของเขารออยู่ข้างนอก.
buffer	สิ่งกันชน	ต้นไม้สร้างสิ่งกันชนเสียง.
bulk	ปริมาณมาก	พวกเขาซื้อข้าวในปริมาณมาก.
burden	ภาระ	หนี้สินกลายเป็นภาระอันหนักหน่วง.
bureaucracy	ระบบราชการ	ระบบราชการทำให้การออกใบอนุญาตล่าช้า.
burial	การฝังศพ	การฝังศพเกิดขึ้นในตอนรุ่งสาง.
burst	ระเบิด	ท่ออาจระเบิดได้ภายใต้ความดัน.
cabinet	คณะรัฐมนตรี	คณะรัฐมนตรีอนุมัติแผนงาน.
calculation	การคำนวณ	การคำนวณใช้เวลาหลายนาที.
canvas	ผ้าใบ	ศิลปินวาดภาพบนผ้าใบขนาดใหญ่.
capability	ความสามารถ	อุปกรณ์นี้มีความสามารถในการเชื่อมต่อไร้สาย.
capitalism	ทุนนิยม	ระบบทุนนิยมหล่อหลอมเศรษฐกิจยุคใหม่.
capitalist	นายทุน	ระบบทุนนิยมให้รางวัลแก่การลงทุนของภาคเอกชน.
cargo	สินค้า	เรือลำนี้บรรทุกสินค้าทางการแพทย์.
carriage	ตู้โดยสาร	ตู้โดยสารรถไฟแทบจะว่างเปล่า.
carve	แกะสลัก	เขาจะแกะสลักไม้อย่างระมัดระวัง.
casino	คาสิโน	คาสิโนเปิดใกล้กับโรงแรม.
casualty	ผู้บาดเจ็บล้มตาย	การชนทำให้มีผู้บาดเจ็บหนึ่งราย.
catalogue	แคตตาล็อก	แคตตาล็อกระบุผลิตภัณฑ์ทุกชิ้น.
cater	จัดเลี้ยง	ร้านอาหารสามารถจัดเลี้ยงสำหรับงานขนาดใหญ่ได้.
cattle	วัวควาย	วัวควายกินหญ้าอยู่ใกล้แม่น้ำ.
caution	ความระมัดระวัง	ใช้ความระมัดระวังบนถนนที่มีน้ำแข็งเกาะ.
cautious	ระมัดระวัง	นักลงทุนยังคงระมัดระวังในสัปดาห์นี้.
cease	ยุติ	โรงงานจะยุติการผลิตในเร็วๆนี้.
cemetery	สุสาน	สุสานมองเห็นวิวทะเล.
chamber	ห้อง	ห้องประชุมเงียบสงบระหว่างการลงคะแนน.
chaos	ความวุ่นวาย	ความล่าช้าก่อให้เกิดความวุ่นวายที่สนามบิน.
characterize	อธิบายลักษณะ	ผู้เชี่ยวชาญอธิบายลักษณะของแผนนี้ว่ามีความเสี่ยง.
charm	เสน่ห์	เมืองนี้มีเสน่ห์แบบโลกเก่า.
charter	กฎบัตร	กฎบัตรปกป้องสิทธิขั้นพื้นฐาน.
chronic	เรื้อรัง	เขาทนทุกข์ทรมานจากอาการปวดหลังเรื้อรัง.
chunk	ก้อน	หั่นชีสออกเป็นก้อน.
circulate	แจกจ่าย	โปรดแจกจ่ายวาระการประชุมวันนี้.
circulation	ยอดขาย	ยอดขายของหนังสือพิมพ์ลดลงอย่างรวดเร็ว.
citizenship	สัญชาติ	เธอสมัครขอรับสัญชาติฝรั่งเศส.
civic	พลเมือง	ผู้นำพลเมืองเข้าร่วมการประชุม.
civilian	พลเรือน	บ้านเรือนของพลเรือนหลายหลังได้รับความเสียหาย.
clarity	ความชัดเจน	แผนภาพเพิ่มความชัดเจนให้กับรายงาน.
clash	การปะทะกัน	การปะทะกันเริ่มต้นขึ้นหลังจากการเดินขบวน.
classification	การจัดประเภท	การจัดประเภทขึ้นอยู่กับขนาด.
cling	แนบติด	เสื้อผ้าที่เปียกแนบติดกับผิวหนัง.
clinical	ทางคลินิก	การทดลองทางคลินิกจะเริ่มขึ้นในเดือนหน้า.
closure	การเยียวยาจิตใจ	ครอบครัวต้องการการเยียวยาจิตใจหลังจากคดีนี้.
cluster	กลุ่ม	มีกลุ่มบ้านเรือนตั้งอยู่ใกล้ๆ.
coalition	แนวร่วม	พรรคแนวร่วมสูญเสียเสียงข้างมาก.
coastal	ชายฝั่ง	หมู่บ้านชายฝั่งเตรียมพร้อมรับมือน้ำท่วม.
cocktail	ค็อกเทล	เธอสั่งค็อกเทลผลไม้.
cognitive	ความรู้ความเข้าใจ	ทักษะความรู้ความเข้าใจดีขึ้นเมื่อมีการฝึกฝน.
coincide	เกิดขึ้นพร้อมกัน	เทศกาลนี้จะเกิดขึ้นพร้อมกันกับงานรับปริญญา.
collaborate	ร่วมมือ	ทีมงานร่วมมือกันพัฒนาซอฟต์แวร์.
collaboration	การร่วมมือ	การร่วมมือของพวกเขาให้ผลลัพธ์ที่แข็งแกร่ง.
collective	ส่วนรวม	การตัดสินใจครั้งนี้เกิดจากความพยายามของส่วนรวม.
collision	การชน	การชนกีดขวางทางหลวง.
colonial	เกี่ยวกับอาณานิคม	อาคารนี้มีสถาปัตยกรรมแบบอาณานิคม.
columnist	คอลัมนิสต์	คอลัมนิสต์วิจารณ์นโยบาย.
combat	การต่อสู้	ทหารฝึกฝนเพื่อการต่อสู้.
commence	เริ่มต้น	พิธีจะเริ่มต้นตอนเที่ยง.
commentary	คำบรรยาย	คำบรรยายการแข่งขันนั้นมีชีวิตชีวา.
commentator	ผู้วิจารณ์	ผู้วิจารณ์อธิบายการตัดสินใจ.
commerce	พาณิชย์	พาณิชย์อิเล็กทรอนิกส์เติบโตอย่างรวดเร็ว.
commissioner	กรรมาธิการ	กรรมาธิการประกาศกฎเกณฑ์ใหม่.
commodity	สินค้าโภคภัณฑ์	ข้าวสาลีเป็นสินค้าโภคภัณฑ์ที่สำคัญ.
communist	คอมมิวนิสต์	พรรคคอมมิวนิสต์จัดการประชุม.
companion	เพื่อนร่วมทาง	สุนัขของเธอเป็นเพื่อนร่วมทางที่ซื่อสัตย์.
comparable	เทียบเคียงได้	ทั้งสองเมืองมีขนาดเทียบเคียงได้.
compassion	ความเมตตา	พยาบาลแสดงความเมตตาอย่างมาก.
compel	บังคับ	หลักฐานอาจบังคับให้มีการตอบสนอง.
compelling	น่าเชื่อถือ	สารคดีให้เหตุผลที่น่าเชื่อถือ.
compensate	ชดเชย	บริษัทจะชดเชยให้ลูกค้าที่ได้รับผลกระทบ.
compensation	การชดเชย	คนงานเรียกร้องการชดเชยที่เป็นธรรม.
competence	ความสามารถ	การทดสอบวัดความสามารถทางวิชาชีพ.
competent	มีความสามารถ	เธอเป็นวิศวกรที่มีความสามารถ.
compile	รวบรวม	นักวิจัยรวบรวมข้อมูลจากโรงพยาบาล.
complement	ทำให้สมบูรณ์	ไวน์จะทำให้มื้ออาหารสมบูรณ์แบบ.
complexity	ความซับซ้อน	โครงการนี้มีความซับซ้อนที่ไม่คาดคิด.
compliance	การปฏิบัติตาม	การตรวจสอบพิจารณาการปฏิบัติตามกฎหมาย.
complication	ภาวะแทรกซ้อน	การผ่าตัดมีภาวะแทรกซ้อนหนึ่งอย่าง.
comply	ปฏิบัติตาม	บริษัทต้องปฏิบัติตามกฎระเบียบ.
composition	การประพันธ์ดนตรี	การประพันธ์ดนตรีนี้ประกอบด้วยไวโอลินและเปียโน.
compromise	การประนีประนอม	การประนีประนอมทำให้ทั้งสองฝ่ายพอใจ.
compute	คำนวณ	โปรแกรมสามารถคำนวณยอดรวมได้.
conceal	ปกปิด	เขาพยายามปกปิดความเสียหาย.
concede	ยอมรับความพ่ายแพ้	รัฐมนตรีปฏิเสธที่จะยอมรับความพ่ายแพ้.
conceive	นึกคิด	พวกเขาไม่สามารถนึกคิดแผนการที่ดีกว่านี้ได้.
conception	แนวคิด	ภาพยนตร์เรื่องนี้เปลี่ยนแนวคิดของฉันเกี่ยวกับประวัติศาสตร์.
concession	ข้อผ่อนปรน	บริษัทได้เสนอข้อผ่อนปรนหนึ่งข้อ.
condemn	ประณาม	ผู้นำประณามการโจมตีอย่างเปิดเผย.
confer	มอบให้	รางวัลจะมอบความมีเกียรติให้.
confession	คำรับสารภาพ	คำรับสารภาพของเขาทำให้ศาลประหลาดใจ.
configuration	การกำหนดค่า	การกำหนดค่าจะควบคุมการเข้าถึงเครือข่าย.
confine	จำกัด	กฎเกณฑ์จำกัดสุนัขไว้ในบริเวณนี้.
confirmation	การยืนยัน	เราได้รับการยืนยันทางอีเมล.
confront	เผชิญหน้า	เธอตัดสินใจเผชิญหน้ากับปัญหา.
confrontation	การเผชิญหน้า	การเผชิญหน้าจบลงโดยไม่มีความรุนแรง.
congratulate	แสดงความยินดี	ฉันโทรไปแสดงความยินดีกับน้องสาวของฉัน.
congregation	ผู้เข้าร่วมพิธี	ผู้เข้าร่วมพิธีร้องเพลงด้วยกัน.
congressional	ของรัฐสภา	การไต่สวนของรัฐสภากินเวลาหลายชั่วโมง.
conquer	พิชิต	ทีมหวังที่จะพิชิตตลาด.
conscience	มโนธรรม	มโนธรรมของเขาไม่ยอมให้เขาโกหก.
consciousness	สติสัมปชัญญะ	อุบัติเหตุส่งผลกระทบต่อสติสัมปชัญญะของเขา.
consecutive	ติดต่อกัน	เธอชนะการแข่งขันสามนัดติดต่อกัน.
consensus	ฉันทามติ	คณะกรรมการบรรลุฉันทามติอย่างรวดเร็ว.
consent	ความยินยอม	จำเป็นต้องมีความยินยอมเป็นลายลักษณ์อักษร.
conserve	อนุรักษ์	เราอนุรักษ์น้ำในช่วงหน้าแล้ง.
consistency	ความสม่ำเสมอ	ความสม่ำเสมอมีความสำคัญในการเรียนภาษา.
consolidate	รวมเป็นหนึ่ง	บริษัทจะรวมสำนักงานสองแห่งเข้าด้วยกัน.
constituency	เขตเลือกตั้ง	ผู้สมัครลงพื้นที่ทุกเขตเลือกตั้ง.
constitute	ประกอบเป็น	ผู้หญิงประกอบเป็นครึ่งหนึ่งของคณะกรรมการ.
constitution	รัฐธรรมนูญ	รัฐธรรมนูญรับประกันเสรีภาพในการพูด.
constitutional	ตามรัฐธรรมนูญ	ศาลพิจารณาสิทธิตามรัฐธรรมนูญ.
constraint	ข้อจำกัด	ข้อจำกัดด้านงบประมาณจำกัดโครงการนี้.
consultation	การปรึกษาหารือ	การปรึกษาหารือกินเวลาสองสัปดาห์.
contemplate	พิจารณา	เธอหยุดเพื่อพิจารณาข้อเสนอ.
contempt	การดูถูก	เขาแสดงการดูถูกกฎเกณฑ์.
contend	แข่งขัน	หลายบริษัทแข่งขันเพื่อชิงสัญญา.
contender	ผู้แข่งขัน	เธอเป็นผู้แข่งขันที่แข็งแกร่ง.
content2	พึงพอใจ	เขารู้สึกพึงพอใจกับผลลัพธ์.
contention	ข้อโต้แย้ง	ข้อโต้แย้งหลักเกี่ยวข้องกับเรื่องเงินทุน.
continually	อย่างต่อเนื่อง	ระบบตรวจสอบข้อผิดพลาดอย่างต่อเนื่อง.
contractor	ผู้รับเหมา	ผู้รับเหมาซ่อมแซมหลังคา.
contradiction	ความขัดแย้ง	คำกล่าวของเขามีความขัดแย้ง.
contrary	ตรงกันข้าม	หลักฐานที่ตรงกันข้ามเปลี่ยนรูปคดี.
contributor	ผู้ร่วมสนับสนุน	เธอเป็นผู้ร่วมสนับสนุนเป็นประจำ.
conversion	การแปลง	การแปลงได้เปลี่ยนดอลลาร์เป็นยูโร.
convict	ตัดสินว่ามีความผิด	คณะลูกขุนอาจตัดสินว่าผู้ต้องสงสัยมีความผิด.
conviction	การลงโทษ	การลงโทษของเขาสร้างความตกใจให้กับสาธารณชน.
cooperate	ร่วมมือ	โปรดให้ความร่วมมือกับการสืบสวน.
cooperative	ให้ความร่วมมือ	พนักงานให้ความร่วมมือและสงบนิ่ง.
coordinate	ประสานงาน	พวกเขาประสานงานการจัดส่งทุกเช้า.
coordination	การประสานงาน	การประสานงานที่ดีช่วยประหยัดเวลา.
coordinator	ผู้ประสานงาน	ผู้ประสานงานมอบหมายแต่ละงาน.
cop	ตำรวจ	ตำรวจคนหนึ่งยืนอยู่หน้าสถานี.
copper	ทองแดง	ท่อทำมาจากทองแดง.
copyright	ลิขสิทธิ์	รูปภาพนี้ได้รับการคุ้มครองด้วยลิขสิทธิ์.
correction	การแก้ไข	ครูได้ทำการแก้ไขหนึ่งจุด.
correlate	มีความสัมพันธ์กัน	ความเครียดสูงอาจมีความสัมพันธ์กับความเจ็บป่วย.
correlation	ความสัมพันธ์	การศึกษาพบความสัมพันธ์ที่แข็งแกร่ง.
correspond	ตรงกัน	ตัวเลขเหล่านี้ตรงกันกับป้าย.
correspondence	การจดหมาย	การจดหมายของพวกเขาดำเนินมาเป็นเวลาหลายปี.
correspondent	ผู้สื่อข่าว	ผู้สื่อข่าวรายงานจากไคโร.
corresponding	ที่สอดคล้องกัน	แต่ละปุ่มมีไฟที่สอดคล้องกัน.
corrupt	ทุจริต	เจ้าหน้าที่ทุจริตรับเงิน.
corruption	การทุจริต	การทุจริตทำให้ความไว้วางใจของสาธารณชนอ่อนแอลง.
costly	สร้างความเสียหาย	ความผิดพลาดนั้นสร้างความเสียหายให้แก่ทีม.
councillor	สมาชิกสภา	สมาชิกสภาตอบคำถามของผู้อยู่อาศัย.
counselling	การให้คำปรึกษา	เธอได้รับการให้คำปรึกษาหลังจากเกิดอุบัติเหตุ.
counsellor	ผู้ให้คำปรึกษา	ผู้ให้คำปรึกษาช่วยเหลือนักเรียนใหม่.
counter (argue against)	โต้แย้ง	เธอพยายามโต้แย้งข้อโต้แย้งของเขา.
counterpart	ผู้ที่มีตำแหน่งระดับเดียวกัน	เขาได้พบกับผู้ที่มีตำแหน่งระดับเดียวกันชาวญี่ปุ่น.
countless	นับไม่ถ้วน	อาสาสมัครนับไม่ถ้วนเข้าร่วมการค้นหา.
coup	รัฐประหาร	การรัฐประหารได้ขับไล่ประธานาธิบดี.
courtesy	ความมีมารยาท	เธอขอบคุณพวกเขาสำหรับความมีมารยาท.
