source_headword	TL	example_TL
measure	sukatin	Sukatin nang maingat ang mesa.
medium	katamtaman	Umorder ako ng katamtamang pizza.
mental	pangkaisipan	Nakakaapekto ang stress sa kalusugang pangkaisipan.
mess	kalat	Linisin ang kalat na ito.
mild	banayad	Banayad ang lasa ng sabaw.
mine (hole in the ground)	minahan	Nagsara ang minahan noong nakaraang taon.
mix	haluin	Haluin ang itlog sa gatas.
mixture	halo	Lumapot ang halo.
mood	mood	Binago ng musika ang mood niya.
mud	putik	Nababalutan ng putik ang sapatos niya.
murder	pagpatay	Nangyari ang pagpatay sa gabi.
muscle	kalamnan	Nagpapalakas ng kalamnan ang ehersisyo.
mystery	misteryo	Misteryo ang lumang bahay.
nail	kuko	Nabali ang kuko ko.
narrative	salaysay	May malinaw na salaysay ang nobela.
nation	bansa	Nagdiwang ang buong bansa.
native	katutubo	Espanyol ang kanyang katutubong wika.
naturally	natural	Natural na natututo ang mga bata sa paglalaro.
necessarily	kinakailangan	Hindi kinakailangang mas mabuti ang mamahaling pagkain.
needle	karayom	Napakatulis ng karayom.
neighbourhood	kapitbahayan	Nakatira sila sa tahimik na kapitbahayan.
net	lambat	Inayos ng mangingisda ang lambat niya.
nor	ni	Hindi siya ngumiti ni nagsalita.
northern	hilaga	Binisita nila ang hilagang baybayin.
nuclear	nukleyar	Tungkol sa nukleyar na enerhiya ang debate.
obvious	malinaw	Malinaw ang sagot.
obviously	malinaw na	Malinaw na kailangan natin ng mas maraming oras.
occasion	okasyon	Espesyal na okasyon ito.
occur	mangyari	Maaaring mangyari ang aksidente kahit saan.
odd	kakaiba	Kakaiba ang tanong na iyon.
official	opisyal	Dumating ngayon ang opisyal na resulta.
old-fashioned	makaluma	Mukhang makaluma ang telepono niya.
operation	operasyon	Tumagal ng dalawang oras ang operasyon.
organized	organisado	Napakaorganisado ng mesa niya.
organizer	tagapag-ayos	Sinalubong ng tagapag-ayos ang mga bisita.
originally	orihinal	Orihinal siyang mula sa Canada.
ought modal	dapat	Dapat kang magpahinga.
ours	amin	Amin ang mesang ito.
outdoor	panlabas	Bumili kami ng panlabas na muwebles.
outdoors	sa labas	Dapat maglaro sa labas ang mga bata.
package	pakete	Dumating ang pakete ngayong umaga.
painful	masakit	Masakit ang hiwa.
pale	maputla	Mukhang maputla ang mukha niya.
pan	kawali	Painitin muna ang kawali.
participate	lumahok	Maaaring lumahok ang lahat.
particularly	lalo na	Lalo kong gusto ang kantang ito.
passion	hilig	Hilig niya ang musika.
path	landas	Sundan ang landas sa parke.
payment	bayad	Dapat bayaran ang bayad bukas.
peaceful	payapa	Payapa ang hardin.
percentage	porsiyento	Sumang-ayon ang maliit na porsiyento.
perfectly	perpekto	Perpektong gumana ang plano.
performance	pagganap	Napakahusay ng pagganap niya.
personally	personal	Personal kong mas gusto ang tsaa.
persuade	hikayatin	Mahihikayat mo ba siyang sumali?
photographer	potograpo	Maraming larawan ang kinuha ng potograpo.
photography	potograpiya	Paborito niyang libangan ang potograpiya.
pin	pin	Maglagay ng pin sa mapa.
pipe	tubo	Nagdadala ng tubig ang tubo.
planning	pagpaplano	Kailangan ng oras ang pagpaplano.
pleasant	kaaya-aya	Nagkaroon kami ng kaaya-ayang gabi.
pleasure	kasiyahan	Kasiyahan kitang makilala.
plenty	marami	Marami tayong oras.
plot	banghay	Madaling sundan ang banghay.
plus1	plus	Dalawa plus tatlo ay lima.
poem	tula	Sumulat siya ng maikling tula.
poet	makata	Nagbasa nang malakas ang makata.
poetry	panulaan	Gusto niya ang modernong panulaan.
poison	lason	Ilayo ang lason sa mga bata.
poisonous	nakalalason	Nakalalason ang ilang kabute.
policy	patakaran	Binago ng kumpanya ang patakaran nito.
political	pampulitika	Pampulitika ang talumpati.
politician	politiko	Sumagot sa mga tanong ang politiko.
politics	politika	Maaaring maging komplikado ang politika.
port	daungan	Pumasok sa daungan ang barko.
portrait	larawan	Nakabitin sa bulwagan ang larawan.
possibly	posible	Posibleng dumating siya nang huli.
pot	paso	Kailangan ng halaman ng mas malaking paso.
pour	ibuhos	Ibuhos nang dahan-dahan ang gatas.
poverty	kahirapan	Maraming pamilya ang nabubuhay sa kahirapan.
powder	pulbos	Idagdag ang pulbos sa tubig.
powerful	makapangyarihan	Makapangyarihan ang makina.
practical	praktikal	Praktikal na solusyon ito.
pray	magdasal	Nagdarasal sila tuwing umaga.
prayer	dasal	Tahimik siyang nagdasal.
prediction	hula	Tama ang hula niya.
prepared	handa	Handa ako para sa pagsusulit.
presentation	presentasyon	Malinaw ang presentasyon niya.
press	pindutin	Pindutin ang pindutan nang isang beses.
pressure	presyon	Maaaring makaapekto sa kalusugan ang presyon.
pretend	magkunwari	Huwag kang magkunwaring tulog.
previous	nakaraan	Mas madali ang nakaraang aralin.
previously	dati	Dati kaming nakatira sa Roma.
priest	pari	Mahinang nagsalita ang pari.
primary	pangunahing	Kalusugan ang aming pangunahing alalahanin.
prince	prinsipe	Bumisita sa paaralan ang prinsipe.
princess	prinsesa	Nagsuot ng asul na damit ang prinsesa.
printing	paglilimbag	Ilang minuto ang inabot ng paglilimbag ng ulat.
prisoner	bilanggo	Nakatakas ang bilanggo sa gabi.
private	pribado	Pribadong usapan ito.
producer	producer	Nagustuhan ng producer ang pelikula.
production	produksyon	Magsisimula ang produksyon sa susunod na linggo.
profession	propesyon	Iginagalang na propesyon ang pagtuturo.
profit	kita	Kumita ang tindahan.
promote	isulong	Isinusulong nila ang malusog na pagkain.
proper	wasto	Magsuot ng wastong sapatos sa paglalakad.
properly	maayos	Isara nang maayos ang pinto.
property	ari-arian	Bumili sila ng ari-arian malapit sa ilog.
protest	protesta	Natapos nang mapayapa ang protesta.
proud	ipagmalaki	Ipinagmalaki niya ang anak niya.
prove	patunayan	Mapapatunayan mo ba ang sagot mo?
punish	parusahan	Hindi siya pinarusahan ng guro.
punishment	parusa	Mukhang makatarungan ang parusa.
qualification	kwalipikasyon	Kailangan mo ng kwalipikasyon para sa trabahong ito.
qualified	kwalipikado	Kwalipikado siyang nars.
qualify	kwalipikado	Maaaring maging kwalipikado ang aming koponan.
queue	pila	Naghintay kami sa mahabang pila.
quit	tumigil	Nagpasya siyang tumigil sa paninigarilyo.
quotation	sipi	Nagsisimula ang sanaysay sa sipi.
quote	sipiin	Maaari ko bang sipiin ang mga salita mo?
race (people)	lahi	Nagtatanong ang form tungkol sa lahi.
racing	karera	Popular doon ang karera ng kabayo.
range	saklaw	Nagbebenta ang tindahan ng malawak na saklaw.
rare	bihira	Bihira ang ibong ito.
rarely	bihira	Bihira kaming kumain sa labas.
reaction	reaksyon	Nagulat ako sa reaksyon niya.
reality	realidad	Iba ang realidad sa pangarap niya.
receipt	resibo	Itago ang resibo.
recommendation	rekomendasyon	Salamat sa rekomendasyon.
reference	sanggunian	Magdagdag ng sanggunian sa dulo.
reflect	sumalamin	Maaaring sumalamin ng liwanag ang salamin.
regularly	regular	Regular siyang nag-eehersisyo.
reject	tanggihan	Maaari nilang tanggihan ang alok.
relate	makaugnay	Makauugnay ako sa kuwentong iyon.
related	kaugnay	Magkaugnay ang dalawang problema.
relation	ugnayan	May ugnayan sa pagitan nila.
relative	relatibo	Relatibo ang bilis.
relaxed	relaks	Nakaramdam siya ng relaks pagkatapos ng hapunan.
relaxing	nakakarelaks	Nakakarelaks ang musika.
release	ilabas	Ilalabas nila ang pelikula sa lalong madaling panahon.
reliable	maaasahan	Karaniwang maaasahan ang bus na ito.
religion	relihiyon	Mahalaga sa kanya ang relihiyon.
religious	panrelihiyon	Bumisita sila sa panrelihiyong gusali.
remain	manatili	Mangyaring manatiling kalmado.
remind	ipaalala	Ipaalala mo sa akin bukas.
remote	malayo	Nakatira sila sa malayong nayon.
rent	upa	Dapat bayaran ang upa ngayon.
repeated	paulit-ulit	Pinabagal ng paulit-ulit na pagkakamali ang trabaho.
represent	kumatawan	Kumakatawan sa pag-asa ang bituin.
require	mangailangan	Mangangailangan ng pagsasanay ang trabahong ito.
reservation	reserbasyon	Gumawa ako ng reserbasyon.
resource	mapagkukunan	Kapaki-pakinabang na mapagkukunan ang aklatan.
respect	igalang	Igalang ang mga kaklase mo.
responsibility	responsibilidad	Malaking responsibilidad ang pag-aalaga ng bata.
responsible	responsable	Responsable siya sa mga tiket.
retire	magretiro	Magreretiro na ang tatay ko.
retired	retirado	Retirado siyang guro.
revise	rebisahin	Rebisahin ang sanaysay mo ngayong gabi.
risk	panganib	May panganib ng ulan.
robot	robot	Nilinis ng robot ang sahig.
roll	pagulungin	Pagulungin ang bola papunta sa akin.
romantic	romantiko	May romantikong hapunan sila.
rope	lubid	Itali nang mahigpit ang lubid.
rough	magaspang	Magaspang ang daan.
row1	hilera	Umupo sa unang hilera.
royal	maharlika	Dumating ang maharlikang pamilya.
rugby	rugby	Nanood kami ng rugby sa telebisyon.
safety	kaligtasan	Mahalaga ang kaligtasan sa trabaho.
sailor	mandaragat	Inayos ng mandaragat ang bangka.
sample	sample	Kumuha ng sample ng dugo ang nars.
sand	buhangin	Natakpan ng buhangin ang sapatos ko.
scan	i-scan	I-scan muna ang dokumento.
scientific	siyentipiko	Siyentipikong paraan ito.
script	iskrip	Binasa ng aktor ang iskrip.
sculpture	eskultura	Nakatayo sa labas ang eskultura.
secondary	pangalawa	Pangalawang problema ito.
security	seguridad	Sinuri ng seguridad ang mga bag namin.
seed	buto	Itanim ang buto sa lupa.
sensible	makatwiran	Makatwirang ideya iyon.
seriously	seryoso	Seryosohin ang problemang ito.
servant	katulong	Binuksan ng katulong ang pinto.
set (put)	ilagay	Ilagay ang baso sa mesa.
set (group)	set	Kasama sa set na ito ang anim na tasa.
setting	tagpuan	May tagpuang lungsod ang kuwento.
sex	kasarian	Nagtatanong ang form ng edad at kasarian.
sexual	sekswal	Tinalakay ng klase ang sekswal na kalusugan.
sharp	matalim	Matalim ang kutsilyong ito.
shelf	istante	Ilagay ang libro sa istante.
shell	kabibe	Walang laman ang kabibe.
shift	shift	Magsisimula ang shift ko sa alas otso.
shine	lumiwanag	Lumiwanag ang mga bituin sa gabi.
shiny	makintab	Makintab ang sapatos niya.
shoot	kunan	Kukunan ng potograpo ang eksena.
shy	mahiyain	Mahiyain siya sa mga estranghero.
sight	tanawin	Magandang tanawin ang bundok.
signal	senyas	Mahina ang senyas.
silent	tahimik	Naging tahimik ang silid.
silly	hangal	Hangal na pagkakamali iyon.
similarity	pagkakatulad	May malinaw na pagkakatulad.
similarly	katulad	Katulad na gumagana ang ikalawang plano.
simply	simple	Pindutin mo lang ang pindutang ito.
sink	lumubog	Mabilis lumubog ang mabibigat na bato.
slice	hiwa	Kumain ako ng hiwa ng cake.
slightly	bahagya	Bahagyang mas mainit ang silid.
smart	elegante	Nagsuot siya ng eleganteng dyaket.
smooth	makinis	Makinis ang daan.
software	software	Kailangan ng update ang software.
soil	lupa	Tuyo ang lupa.
solid	matibay	Matibay ang pader.
southern	timog	Nakatira sila sa timog na baybayin.
specifically	partikular	Partikular akong humingi ng tsaa.
spending	paggastos	Tumaas ang paggastos ng gobyerno.
spicy	maanghang	Maanghang ang kari na ito.
spirit	diwa	Nagpakita ng malaking diwa ang koponan.
spoken	pasalita	Gumaganda ang pasalitang Ingles sa pagsasanay.
spot	lugar	Perpekto ang lugar na ito.
spread	ipahid	Ipahid ang mantikilya sa tinapay.
stadium	istadyum	Puno ang istadyum.
staff	kawani	Matulungin ang kawani.
standard	pamantayan	Mataas ang pamantayan.
statistic	estadistika	Nakakagulat ang estadistikang ito.
statue	estatwa	Nakatayo sa plaza ang estatwa.
stick (push into/attach)	idikit	Idikit ang etiketa sa kahon.
stick (piece of wood)	patpat	Pumulot siya ng patpat.
