source_headword	PL	example_PL
descent	schodzenie	Samolot rozpoczął schodzenie.
designate	wyznaczyć	Miasto wyznaczy nowy park.
desirable	pożądany	Dobre oświetlenie jest pożądane w klasach.
desktop	pulpit	Plik znajduje się na moim pulpicie.
destructive	niszczycielski	Burza miała niszczycielską siłę.
detain	zatrzymać	Policja może zatrzymać podejrzanych na noc.
detection	wykrycie	Wczesne wykrycie poprawia leczenie raka.
detention	areszt	Studenci protestowali przeciwko warunkom aresztu.
deteriorate	pogarszać się	Jego stan zdrowia zaczął się pogarszać.
devastate	spustoszyć	Trzęsienie ziemi może spustoszyć nadmorskie miasteczka.
devil	diabeł	Dziecko narysowało uśmiechniętego diabła.
devise	opracować	Inżynierowie opracowują bezpieczniejsze systemy transportowe.
diagnose	diagnozować	Lekarze diagnozują chorobę za pomocą badań krwi.
diagnosis	diagnoza	Diagnoza wyjaśniła jej objawy.
dictate	dyktować	Umowa będzie dyktować warunki płatności.
dictator	dyktator	Dyktator kontrolował media.
differentiate	odróżnić	Czy potrafisz odróżnić fakt od opinii?
dignity	godność	Każdy zasługuje na godność w pracy.
dilemma	dylemat	Menedżer stanął przed poważnym dylematem.
dimension	wymiar	Problem ten ma wymiar polityczny.
diminish	zmniejszać się	Ból powinien powoli się zmniejszać.
dip	spaść	Temperatury mogą spaść poniżej zera.
diplomat	dyplomata	Dyplomata spotkał się z zagranicznymi przywódcami.
diplomatic	dyplomatyczny	Rozmowy dyplomatyczne trwały przez całą noc.
directory	katalog	Poszukaj jego numeru w katalogu.
disastrous	katastrofalny	Katastrofalna powódź zniszczyła kilka mostów.
discard	wyrzucać	Nie wyrzucaj przydatnych dokumentów.
discharge	wypisać	Szpital wypisze go jutro.
disclose	ujawnić	Urzędnicy odmówili ujawnienia danych.
disclosure	ujawnienie	Ujawnienie tych informacji zszokowało zarząd.
discourse	dyskurs	Dyskurs publiczny stał się bardziej uprzejmy.
discretion	dyskrecja	Zachowaj dyskrecję w przypadku drażliwych spraw.
discrimination	dyskryminacja	Prawo zakazuje dyskryminacji przy zatrudnianiu.
dismissal	zwolnienie	Jego zwolnienie wywołało gniew opinii publicznej.
displace	przesiedlić	Wojna może przesiedlić tysiące osób.
disposal	usuwanie	Usuwanie odpadów pozostaje problemem lokalnym.
dispose	pozbyć się	Firma musi bezpiecznie pozbyć się chemikaliów.
dispute	spór	Spór trwał miesiącami.
disrupt	zakłócić	Hałas może zakłócić koncentrację.
disruption	zakłócenie	Strajk spowodował poważne zakłócenia.
dissolve	rozpuścić się	Cukier rozpuści się w gorącej herbacie.
distinction	rozróżnienie	Rozróżnienie między nimi jest ważne.
distinctive	charakterystyczny	Ona ma charakterystyczny głos.
distort	zniekształcić	Lustro może zniekształcić twoje odbicie.
distress	udręka	Telefon ten wywołał poważne zmartwienie.
disturbing	niepokojący	Dokument ukazał niepokojące sceny.
divert	skierować	Policja musiała skierować ruch na inną trasę.
divine	boski	Kaplica ma boską atmosferę.
doctrine	doktryna	Partia odrzuciła starą doktrynę.
documentation	dokumentacja	Skompletuj dokumentację przed startem.
domain	domena	Strona korzysta z bezpiecznej domeny.
dominance	dominacja	Dominacja drużyny trwała dekadę.
donor	dawca	Dawca oddał dziś krew.
dose	dawka	Weź jedną dawkę po śniadaniu.
drain	spływać	Woda będzie spływać do rzeki.
drift	unosić się	Dym zaczął unosić się nad drogą.
driving	główny	Deszcz był głównym czynnikiem opóźnień.
drown	utopić	Nigdy nie pływaj tam, gdzie prądy mogą cię utopić.
dual	podwójny	Urządzenie ma podwójną funkcję.
dub	nazywać	Krytycy nazywają miasto stolicą kultury.
dumb	głupi	To był głupi błąd.
duo	duet	Komediowy duet odbył tournée po Europie.
eager	chętny	Uczniowie byli chętni, by zacząć.
earnings	dochody	Dochody firmy gwałtownie wzrosły.
ease	ułatwić	Nowa droga ułatwi ruch.
echo	odbijać się echem	Jej głos odbijał się echem w holu.
ecological	ekologiczny	Wpływ ekologiczny pozostaje niepewny.
educator	edukator	Edukator zaprojektował nowy kurs.
effectiveness	skuteczność	Badanie zmierzyło skuteczność szczepionki.
efficiency	wydajność	Lepsze oprogramowanie poprawiło wydajność.
ego	ego	Jego ego powodowało problemy w pracy.
elaborate	wyszukany	Wyszukany kostium zajął tygodnie.
electoral	wyborczy	System wyborczy zmienił się w zeszłym roku.
elevate	podnieść	Nagroda podniesie jej prestiż.
eligible	uprawniony	Tylko mieszkańcy są uprawnieni do zniżek.
elite	elita	Elita trenowała w prywatnej akademii.
embark	wyruszyć	Oni wyruszą w długą podróż.
embarrassment	zawstydzenie	Zaśmiał się, by ukryć zawstydzenie.
embassy	ambasada	Ambasada wydała nowe ostrzeżenia dla podróżnych.
embed	dołączyć	Dziennikarz dołączy do oddziału.
embody	uosabiać	Posąg zdaje się uosabiać odwagę.
emergence	pojawienie się	Pojawienie się telefonów zmieniło codzienne życie.
empirical	empiryczny	Artykuł opiera się na dowodach empirycznych.
empower	wzmacniać	Edukacja może wzmocnić społeczności lokalne.
enact	uchwalić	Parlament zagłosował za uchwaleniem reformy.
encompass	obejmować	Kurs będzie obejmował historię współczesną.
encouragement	wsparcie	Jej wsparcie pomogło mu kontynuować.
encouraging	obiecujący	Wczesne wyniki wyglądają obiecująco.
endeavour	przedsięwzięcie	Ratunek był trudnym przedsięwzięciem.
endless	niekończący się	Pustynia wydawała się niekończąca.
endorse	poprzeć	Związek odmówił poparcia kandydata.
endorsement	poparcie	Jego poparcie wzmocniło jej kampanię.
endure	przetrwać	Rośliny mogą przetrwać surowe zimy.
enforce	egzekwować	Policja egzekwuje ograniczenie prędkości.
enforcement	egzekwowanie	Silniejsze egzekwowanie zmniejszyło nielegalne wysypiska.
engagement	zaangażowanie	Zaangażowanie studentów poprawiło się w tym semestrze.
engaging	wciągający	Prelegent wygłosił wciągający wykład.
enquire	zapytać	Proszę zapytać w recepcji.
enrich	wzbogacić	Podróże mogą wzbogacić twoje zrozumienie.
enrol	zapisać się	Studenci muszą zapisać się przed wrześniem.
ensue	nastąpić	Po ogłoszeniu może nastąpić chaos.
enterprise	przedsiębiorstwo	Przedsiębiorstwo zatrudnia lokalnych artystów.
enthusiast	entuzjasta	Każdy entuzjasta kolarstwa zna tę trasę.
entitle	uprawniać	Bilet uprawnia do wejścia.
entity	podmiot	Firma jest odrębnym podmiotem prawnym.
epidemic	epidemia	Epidemia rozprzestrzeniła się na kilka regionów.
equality	równość	Ruch walczył o równość.
equation	równanie	Równanie zawiera dwie niewiadome.
erect	wznosić	Robotnicy postawią nowe ogrodzenie.
escalate	eskalować	Konflikt mógłby szybko eskalować.
essence	istota	Wiersz oddaje istotę dzieciństwa.
establishment	establishment	Establishment sprzeciwił się reformie.
eternal	wieczny	Obiecali sobie wieczną przyjaźń.
evacuate	ewakuować	Strażacy pomogli mieszkańcom bezpiecznie się ewakuować.
evoke	wywoływać	Piosenka może przywoływać silne wspomnienia.
evolutionary	ewolucyjny	Skamielina pokazuje zmianę ewolucyjną.
exaggerate	przesadzać	Nie przesadzaj ze swoim doświadczeniem.
excellence	doskonałość	Szkoła nagradza doskonałość akademicką.
exceptional	wyjątkowy	Wykazała się wyjątkowymi umiejętnościami.
excess	nadmiar	Nadmiar wody zalał piwnicę.
exclusion	wykluczenie	Wykluczenie społeczne szkodzi młodym ludziom.
exclusive	ekskluzywny	Klub oferuje wyłączny dostęp.
exclusively	wyłącznie	Z tego pokoju korzysta wyłącznie personel.
execute	wykonać	Zespół ostrożnie wykona plan.
execution	wykonanie	Wykonanie strategii zajęło miesiące.
exert	wywierać	Musisz wywierać większy nacisk.
exile	wygnanie	Pisarz żył na wygnaniu.
expenditure	wydatek	Wydatki publiczne wzrosły w zeszłym roku.
experimental	eksperymentalny	Leczenie nadal jest eksperymentalne.
expire	wygasać	Mój paszport wkrótce wygaśnie.
explicit	wyraźny	Instrukcje były wyraźne.
explicitly	wyraźnie	Zasady wyraźnie zabraniają palenia.
exploitation	wyzysk	Raport ujawnił wyzysk pracowników.
explosive	wybuchowy	Ładunek wybuchowy został bezpiecznie usunięty.
extremist	ekstremista	Grupa ekstremistów straciła poparcie.
facilitate	ułatwiać	Aplikacja ułatwi naukę zdalną.
faction	frakcja	Jedna frakcja sprzeciwiła się liderowi.
faculty	wydział	Wydział zatwierdził propozycję.
fade	blaknąć	Farba wyblaknie w słońcu.
fairness	uczciwość	Uczciwość ma znaczenie w każdych zawodach.
fatal	śmiertelny	Wypadek spowodował śmiertelne obrażenia.
fate	los	Nikt nie znał jego losu.
favourable	przychylny	Recenzja była przychylna.
feat	wyczyn	Wspinaczka na ten szczyt była wyczynem.
feminist	feministyczny	Ruch feministyczny zmienił debatę publiczną.
fibre	błonnik	Ten chleb zawiera dodatkowy błonnik.
fierce	gwałtowny	Gwałtowna burza uszkodziła dachy.
film-maker	filmowiec	Filmowiec odpowiadał potem na pytania.
filter	filtr	Filtr usuwa kurz z powietrza.
fine	grzywna	Firma zapłaciła grzywnę.
firearm	broń palna	Oficer odzyskał skradzioną broń palną.
fit	odpowiedni rozmiar	Nowe buty mają idealny rozmiar.
fixture	stały element wyposażenia	Lampa jest stałym elementem wyposażenia.
flaw	wada	Ten projekt ma jedną poważną wadę.
flawed	wadliwy	Wadliwe badanie dało fałszywe wyniki.
flee	uciekać	Rodziny musiały uciekać przed walkami.
fleet	flota	Linia lotnicza odnowiła swoją flotę.
flesh	ciało	Cierń przebił jego ciało.
flexibility	elastyczność	Praca zdalna oferuje większą elastyczność.
flourish	dobrze prosperować	Małe firmy mogą tu dobrze prosperować.
fluid	płyn	Pij dużo płynów po ćwiczeniach.
footage	nagranie	Nagranie pokazało wypadek.
foreigner	cudzoziemiec	W formularzu pytają, czy jesteś cudzoziemcem.
forge	nawiązywać	Próbowali zawrzeć nowy sojusz.
formula	wzór	Ten wzór rozwiązał problem.
formulate	sformułować	Naukowcy formułują nową teorię.
forth	naprzód	Rzeka uniosła łódź naprzód.
forthcoming	nadchodzący	Nadchodzący raport wszystko wyjaśni.
foster	pielęgnować	Ten program pomaga rozwijać niezależność.
fragile	kruchy	Kruchy wazon wymaga ostrożnego obchodzenia się.
franchise	franczyza	Restauracja stała się globalną franczyzą.
frankly	szczerze mówiąc	Szczerze mówiąc, potrzebujemy więcej czasu.
frustrated	sfrustrowany	Pracownicy byli sfrustrowani opóźnieniem.
frustrating	frustrujący	Wolne połączenie było frustrujące.
frustration	frustracja	Frustracja rosła podczas spotkania.
functional	funkcjonalny	Stara kuchnia jest wciąż funkcjonalna.
fundraising	zbiórka pieniędzy	Zbiórka pieniędzy zaczyna się w przyszłym tygodniu.
funeral	pogrzeb	Pogrzeb odbył się w piątek.
gallon	galon	Zbiornik mieści jeden galon.
gambling	hazard	Hazard jest ograniczony prawem.
gathering	zgromadzenie	Zgromadzenie zakończyło się pokojowo.
gaze	spojrzenie	Przez chwilę wytrzymała jego spojrzenie.
gear	sprzęt	Zapakuj sprzęt ochronny przed wspinaczką.
generic	generyczny	Wersja generyczna kosztuje mniej.
genocide	ludobójstwo	Ludobójstwo pozostawiło głęboką narodową traumę.
glance	rzut oka	Rzucił okiem.
glimpse	mignięcie	Udało mi się dostrzec morze.
glorious	chwalebny	Drużyna cieszyła się chwalebnym zwycięstwem.
glory	chwała	Marzyła o olimpijskiej chwale.
governance	zarządzanie	Dobre zarządzanie wymaga przejrzystości.
grace	klasa	Z klasą przyjęła porażkę.
grasp	zrozumieć	Nie udało mu się zrozumieć tego pojęcia.
grave (for dead person)	grób	Grób był pokryty kwiatami.
grave (serious)	poważny	Sytuacja pozostaje poważna.
gravity	grawitacja	Grawitacja przyciąga obiekty w stronę Ziemi.
grid	siatka	Mapa używa prostej siatki.
grief	żałoba	Żal zmienił całą jego rodzinę.
grin	szeroki uśmiech	Chłopiec uśmiechnął się szeroko.
grind	mielić	Pracownicy mielą ziarna każdego ranka.
grip	chwyt	Trzymaj mocny chwyt na linie.
gross	brutto	Dochód brutto gwałtownie wzrósł.
guerrilla	partyzant	Partyzanci ukrywali się na wzgórzach.
guidance	wskazówki	Przewodnik zawiera praktyczne wskazówki.
guilt	poczucie winy	Czuła poczucie winy po kłamstwie.
gut	przeczucie	Zaufaj swojemu przeczuciu przy trudnych wyborach.
hail	okrzyknąć	Mieszkańcy wioski okrzyknęli lekarza bohaterem.
halfway	w połowie drogi	Zatrzymaliśmy się w połowie wzgórza.
halt	zatrzymanie	Pociąg nagle się zatrzymał.
handful	garstka	Garstka wolontariuszy została do późna.
handling	obchodzenie się	Prawidłowe obchodzenie się zapobiega uszkodzeniom.
handy	przydatny	To narzędzie jest przydatne do napraw.
harassment	nękanie	Firma zbadała skargi dotyczące nękania.
hardware	sprzęt	Sklep sprzedaje sprzęt komputerowy.
harmony	harmonia	Chór śpiewał w idealnej harmonii.
harsh	surowy	Sędzia wydał surowy wyrok.
harvest	żniwa	Żniwa zaczynają się we wrześniu.
haunt	prześladować	To wspomnienie nadal go prześladowało.
hazard	zagrożenie	Lód jest poważnym zagrożeniem na drodze.
heighten	zwiększać	To przemówienie może zwiększyć napięcia.
heritage	dziedzictwo	Zamek jest częścią lokalnego dziedzictwa.
hierarchy	hierarchia	Hierarchia biurowa jest jasno określona.
high-profile	głośny	Głośny proces przyciągnął reporterów.
hint	wskazówka	Dała mi przydatną wskazówkę.
homeland	ojczyzna	Wrócił do swojej ojczyzny.
hopeful	pełen nadziei	Lekarze są pełni nadziei na powrót do zdrowia.
horizon	horyzont	Słońce zniknęło za horyzontem.
horn	klakson	Klakson samochodowy obudził wszystkich.
hostage	zakładnik	Zakładnik wrócił do domu.
hostile	wrogi	Tłum stał się wrogi.
hostility	wrogość	Otwarta wrogość zakończyła rozmowy.
humanitarian	humanitarny	Misja humanitarna dostarczyła jedzenie.
humanity	ludzkość	Ludzkość stoi przed wspólnymi wyzwaniami.
humble	pokorny	Pozostała skromna po swoim sukcesie.
hydrogen	wodór	Wodór bardzo łatwo się pali.
identification	dokument tożsamości	Przy wejściu wymagany jest dowód tożsamości.
ideological	ideologiczny	Spór miał podłoże ideologiczne.
ideology	ideologia	Jego ideologia kształtowała każde przemówienie.
idiot	idiota	Nie nazywaj nikogo idiotą.
ignorance	niewiedza	Niewiedza może szerzyć strach.
imagery	obrazowość	Wiersz używa żywych obrazów.
immense	ogromny	Projekt wymagał ogromnego wysiłku.
imminent	nieuchronny	Burza wydawała się nieuchronna.
implementation	wdrożenie	Wdrożenie tego prawa było powolne.
imprison	uwięzić	Reżim próbował uwięzić krytyków.
imprisonment	uwięzienie	Jego uwięzienie trwało pięć lat.
inability	niezdolność	Jej niezdolność do skupienia martwiła nauczycieli.
inadequate	nieodpowiedni	Schronisko miało nieodpowiednie ogrzewanie.
inappropriate	nieodpowiedni	Jego żart był nie na miejscu.
incidence	zapadalność	Zapadalność na grypę wzrosła.
inclined	skłonny	Ona jest skłonna się zgodzić.
inclusion	włączenie społecznie	Szkoła promuje integrację.
