simplified	LV	example_LV
博物馆	muzejs	Nedēļas nogalē dosimies uz muzeju.
脖子	kakls	Man mazliet sāp kakls.
不断	nepārtraukti	Cenas nepārtraukti pieaug.
不见得	ne vienmēr	Tas ne vienmēr ir slikti.
不耐烦	nepacietīgs	Pēc ilgas gaidīšanas viņš kļuva mazliet nepacietīgs.
不要紧	nav svarīgi; nekas	Neuztraucies, nekas.
补充	papildināt	Es gribu pievienot vienu viedokli.
不安	nemierīgs	Izdzirdējusi šo ziņu, viņa jutās nemierīga.
不得了	ļoti nopietns	Šī lieta tiešām ir ļoti nopietna.
不然	citādi	Ej ātri, citādi nokavēsi.
不如	labāk nekā; ne tik labs	Labāk iet kājām nekā braukt.
不足	nepietiekams	Šeit nav pietiekami daudz ūdens.
布	audums	Šis auduma gabals ir ļoti mīksts.
步骤	solis; procedūra	Lūdzu, rīkojies pēc soļiem.
部门	nodaļa	Es strādāju pārdošanas nodaļā.
财产	īpašums	Šī māja ir viņa īpašums.
彩虹	varavīksne	Pēc lietus parādījās varavīksne.
踩	uzkāpt	Nekāp uz zāles.
采访	intervēt	Reportieris intervē ārstu.
采取	veikt; pieņemt	Mēs pieņēmām jaunu metodi.
参考	atsauce; konsultēties	Lūdzu, izmanto šo grāmatu kā atsauci.
参与	piedalīties	Viņš aktīvi piedalās pasākumos.
惭愧	kaunēties	Man ir kauns par savu kļūdu.
操场	sporta laukums	Skolēni skrien sporta laukumā.
操心	uztraukties	Neuztraucies par mani.
册	sējums	Es nopirku vienu grāmatas sējumu.
测验	pārbaudes darbs	Rīt būs neliels pārbaudes darbs.
曾经	kādreiz	Es kādreiz dzīvoju Pekinā.
叉子	dakša	Es ēdu salātus ar dakšu.
差距	atšķirība; plaisa	Starp pilsētām un laukiem ir atšķirība.
插	ielikt; iespraust	Lūdzu, ieliec ziedus vāzē.
拆	nojaukt; izjaukt	Strādnieki nojauc veco māju.
产品	produkts	Šī produkta kvalitāte ir ļoti laba.
产生	rasties; radīt	Šis jautājums radīja jaunu ietekmi.
常识	veselais saprāts; pamatziņas	Tas ir veselais saprāts.
长途	tālsatiksmes	Tāls ceļojums ir nogurdinošs.
抄	kopēt; norakstīt	Lūdzu, nenoraksti citu mājasdarbus.
超级	super-; īpaši liels	Tas ir lielveikals.
朝	dinastija	Tanu dinastija ir ļoti slavena.
潮湿	mitrs	Dienvidu vasaras ir ļoti mitras.
吵	trokšņains	Ārā ir ļoti trokšņains.
吵架	strīdēties	Viņi atkal sastrīdējās.
炒	cept pannā	Mamma cep ēdienu pannā.
车库	garāža	Mašīna stāv garāžā.
车厢	vagons	Šis vagons ir ļoti kluss.
彻底	pilnīgi; rūpīgi	Viņš pilnīgi saprata.
沉默	klusums; klusēt	Viņš visu laiku klusēja.
趁	kamēr; izmantot izdevību	Iesim, kamēr vēl nav satumsis.
称	nosvērt; saukt	Lūdzu, nosver šo paku.
称呼	uzrunāt	Es nezinu, kā viņu uzrunāt.
称赞	slavēt; uzslavēt	Skolotājs uzslavēja viņa progresu.
成分	sastāvdaļa	Šo zāļu sastāvdaļas ir vienkāršas.
成果	rezultāts; sasniegums	Šis projekts sasniedza rezultātus.
成就	sasniegums	Viņam karjerā ir daudz sasniegumu.
成立	dibināt; tikt dibinātam	Uzņēmums tika dibināts pagājušajā gadā.
成人	pieaugušais	Pieaugušo biļetes ir dārgākas nekā bērnu biļetes.
成熟	nobriedis; gatavs	Āboli jau ir nogatavojušies.
成语	ķīniešu idioma	Šī idioma tiek bieži lietota.
成长	augt; izaugsme	Bērns lēnām aug.
承担	uzņemties	Viņš ir gatavs uzņemties atbildību.
承认	atzīt	Viņš atzina, ka kļūdījās.
承受	panest	Es nevaru izturēt tik lielu spiedienu.
程度	līmenis; pakāpe	Viņa ķīniešu valodas līmenis ir augsts.
程序	procedūra; secība	Lūdzu, nokārto to saskaņā ar procedūru.
诚恳	sirsnīgs; godīgs	Viņa attieksme ir ļoti sirsnīga.
吃亏	ciest zaudējumus	Pirms pirkšanas apskati uzmanīgi, lai nezaudētu.
持续	turpināties	Lietus turpinājās trīs dienas.
池塘	dīķis	Dīķī ir daudz zivju.
迟早	agrāk vai vēlāk	Agrāk vai vēlāk tu sapratīsi.
尺子	lineāls	Lūdzu, izmēri ar lineālu.
翅膀	spārns	Putna spārns ir savainots.
充电器	lādētājs	Mans lādētājs ir salūzis.
充分	pietiekams; pilnīgs	Mēs pilnībā sagatavojāmies.
充满	pilns ar	Istaba bija pilna ar smiekliem.
冲	noskalot	Lūdzu, noskalo krūzi ar ūdeni.
重复	atkārtot	Lūdzu, neatkārto to pašu kļūdu.
宠物	mājdzīvnieks	Viņai ir mājdzīvnieks suns.
抽屉	atvilktne	Atslēga ir atvilktnē.
抽象	abstrakts	Šis jēdziens ir pārāk abstrakts.
丑	neglīts	Šī fotogrāfija ir mazliet neglīta.
臭	smirdīgs	Atkritumi smird.
出版	publicēt; izdot	Šī grāmata tika izdota pagājušajā gadā.
出口	izeja; eksports	Izeja ir priekšā.
出色	izcils	Viņas sniegums ir izcils.
出示	uzrādīt	Lūdzu, uzrādi savu pasi.
出席	apmeklēt; piedalīties	Viņš piedalīsies sanāksmē.
初级	iesācēju; sākuma līmeņa	Es mācos ķīniešu valodu iesācēju grupā.
除非	ja vien ne	Ja vien nelīs, rīt iesim pārgājienā kalnos.
除夕	Vecgada vakars	Vecgada vakarā visa ģimene ēd kopā.
处理	risināt; apstrādāt	Es atrisināšu šo problēmu.
传播	izplatīt; izplatīties	Šī ziņa izplatījās ļoti ātri.
传染	inficēt; lipīgs	Saaukstēšanās viegli izplatās.
传说	leģenda	Tā ir sena leģenda.
传统	tradīcija; tradicionāls	Pavasara svētki ir tradicionāli ķīniešu svētki.
窗帘	aizkari	Lūdzu, atver aizkarus.
闯	nejauši pārkāpt; steigties	Viņš nejauši pārbrauca pie sarkanās gaismas.
创造	radīt	Cilvēki radīja jaunus rīkus.
吹	pūst	Vējš pūš ļoti stipri.
词汇	vārdu krājums; vārds	Šis vārds tiek bieži lietots.
辞职	atkāpties no darba	Viņš nolēma aiziet no darba.
此外	turklāt	Turklāt man ir vēl viens jautājums.
刺激	aizraujošs; kairināt	Šī spēle ir ļoti aizraujoša.
次要	otršķirīgs	Šī problēma ir otršķirīga.
匆忙	steidzīgs	Viņš steidzīgi izgāja no mājām.
从此	kopš tā laika	Kopš tā laika viņš katru dienu vingroja.
从而	tādējādi	Viņš cītīgi mācījās un tādējādi nokārtoja eksāmenu.
从前	agrāk; reiz	Agrāk šeit nebija metro.
从事	nodarboties ar	Viņa strādā izglītības jomā.
粗糙	raupjš	Šī papīra lapa ir ļoti raupja.
促进	veicināt	Sports var veicināt veselību.
促使	pamudināt	Šī lieta pamudināja viņu mainīt plānu.
醋	etiķis	Ēdienam pievienoja etiķi.
催	steidzināt	Mamma steidzināja mani ātrāk iziet no mājām.
存在	pastāvēt	Šī problēma joprojām pastāv.
措施	pasākums	Skola veica drošības pasākumus.
答应	piekrist; apsolīt	Viņš piekrita man palīdzēt.
达到	sasniegt	Viņa atzīmes sasniedza standartu.
打工	strādāt pusslodzes darbu	Vasaras brīvlaikā viņš strādā restorānā.
打交道	būt darīšanās ar	Es bieži sadarbojos ar klientiem.
打喷嚏	šķaudīt	Viņš ir saaukstējies un visu laiku šķauda.
打听	apjautāties	Es gribētu apjautāties par vilciena biļetēm.
大方	dāsns	Viņa ir ļoti dāsna ar naudu.
大厦	liela ēka	Tā lielā ēka ir ļoti augsta.
大象	zilonis	Bērni zooloģiskajā dārzā skatās ziloņus.
大型	liela mēroga	Šeit būvēs lielu tirdzniecības centru.
呆	palikt; apstulbis	Viņš paliek mājās un lasa.
代表	pārstāvēt; pārstāvis	Šis zieds simbolizē draudzību.
代替	aizstāt; kā vietā	Šodien es piedalīšos sanāksmē viņa vietā.
待遇	atalgojums; darba nosacījumi	Šajā uzņēmumā darba nosacījumi ir labi.
贷款	aizdevums	Viņi pieteicās mājokļa aizdevumam.
单纯	vienkāršs; tīrs	Viņas doma ir ļoti vienkārša.
单调	vienmuļš	Šis darbs ir mazliet vienmuļš.
单独	vienatnē	Es gribu ar tevi parunāt vienatnē.
单位	vienība; darba iestāde	Viņš strādā valsts iestādē.
单元	nodaļa; vienība	Šodien mācāmies trešo nodaļu.
担任	ieņemt amatu; uzņemties	Viņa ir atbildīgā par šo pasākumu.
耽误	aizkavēt; tērēt laiku	Nekavē visu pārējo laiku.
胆小鬼	gļēvulis	Nesauc viņu par gļēvuli.
淡	blāvs; vājš	Šī zupa ir mazliet pliekana.
当地	vietējais	Vietējiem cilvēkiem šis tirgus patīk.
当心	uzmanīties	Ceļš ir slidens, esi uzmanīgs.
挡	aizšķērsot	Šī mašīna aizšķērso ieeju.
倒霉	neveiksmīgs	Šodien tiešām neveicas, pazaudēju telefonu.
导演	režisors	Šis režisors ir ļoti slavens.
导致	izraisīt	Spēcīgais lietus izraisīja satiksmes sastrēgumu.
岛屿	sala	Šai valstij ir daudz salu.
到达	ierasties; sasniegt	Vilciens ieradās Šanhajā laikā.
道德	morāle; ētika	Cilvēkam jāievēro morāles principi.
道理	jēga; pamatojums	Viņa teiktajam ir liela jēga.
登记	reģistrēties	Lūdzu, vispirms reģistrējieties pie reģistratūras.
等待	gaidīt	Mēs gaidām rezultātu.
等于	vienāds ar	Pieci plus pieci ir desmit.
滴	piliens; pilēt	Viena ūdens pile nokrita uz galda.
敌人	ienaidnieks	Viņi nav ienaidnieki.
的确	patiešām	Šī lieta patiešām ir ļoti svarīga.
地道	autentisks	Viņš runā autentiskā Pekinas dialektā.
地理	ģeogrāfija	Man ļoti interesē Ķīnas ģeogrāfija.
地区	reģions	Šajā reģionā ziemā ir ļoti auksts.
地毯	paklājs	Viesistabā ir izklāts paklājs.
地位	stāvoklis; statuss	Izglītībai sabiedrībā ir svarīga vieta.
地震	zemestrīce	Vakar vakarā šeit notika zemestrīce.
递	padot; nodot	Lūdzu, nodod šo vēstuli skolotājam.
点心	uzkoda; saldums	Pēcpusdienā mēs ēdām uzkodas.
电池	baterija	Šai rotaļlietai vajag divas baterijas.
电台	radio stacija	Viņš vada raidījumu radio stacijā.
钓	makšķerēt	Vectēvam patīk makšķerēt pie upes.
顶	virsotne; klasifikators	Viņš valkā melnu cepuri.
冻	sasalt	Ārā ir tik auksts, ka ūdens ir sasalis.
动画片	multfilma	Bērni skatās multfilmas.
洞	caurums; ala	Sienā ir mazs caurums.
豆腐	tofu	Šis tofu ēdiens ir garšīgs.
逗	ķircināt; uzjautrināt	Viņa vārdi visus sasmīdināja.
独立	neatkarīgs	Viņa grib dzīvot neatkarīgi.
独特	unikāls	Šai pilsētai ir unikāla kultūra.
度过	pavadīt; pārvarēt	Mēs pavadījām brīvdienas pie jūras.
断	pārtrūkt; salūzt	Šī virve pārtrūka.
堆	kaudze; sakraut	Uz galda sakrauti daudzi dokumenti.
兑换	apmainīt	Es gribētu samainīt nedaudz juaņu.
对比	salīdzināt; kontrasts	Lūdzu, salīdzini šos divus plānus.
对待	izturēties pret	Mums jāizturas godīgi pret katru cilvēku.
对方	otra puse	Lūdzu, vispirms uzklausi otras puses viedokli.
对手	pretinieks	Viņa pretinieks ir ļoti spēcīgs.
对象	objekts; partneris	Pētījuma objekti ir universitātes studenti.
吨	tonna	Šī kravas mašīna var pārvadāt trīs tonnas kravas.
蹲	tupties	Viņš tup uz zemes un meklē atslēgas.
顿	ēdienreize; pauze	Mēs kopā paēdām vakariņas.
多亏	pateicoties	Pateicoties tavai palīdzībai, es pabeidzu uzdevumu.
多余	lieks	Šis teikums ir lieks.
朵	zieds; klasifikators ziediem	Uz galda stāv viens zieds.
躲藏	slēpties	Kaķēns slēpjas zem gultas.
恶劣	slikts; nelabvēlīgs	Šodien laiks ir ļoti slikts.
耳环	auskars	Viņa nēsā auskaru pāri.
发表	publicēt; izteikt	Viņš sanāksmē izteica savu viedokli.
发愁	uztraukties	Neuztraucies par šo sīkumu.
发达	attīstīts	Šīs pilsētas transports ir labi attīstīts.
发抖	trīcēt	Viņš no aukstuma visu laiku trīc.
发挥	izmantot; izpaust	Lūdzu, izmantojiet savu iztēli.
发明	izgudrojums; izgudrot	Elektriskā spuldze ir svarīgs izgudrojums.
发票	rēķins	Lūdzu, izrakstiet man rēķinu.
发言	uzstāties; izteikties	Viņš uzstājās sanāksmē.
罚款	naudas sods; sodīt	Par nepareizu stāvēšanu jāmaksā sods.
法院	tiesa	Šī lieta tika nodota tiesai.
翻	pāršķirt; apgriezt	Lūdzu, atšķir grāmatu desmitajā lappusē.
繁荣	plaukstošs	Ekonomika pamazām sāk plaukt.
反而	tieši otrādi; tā vietā	Viņš nesadusmojās, tieši otrādi, sāka smieties.
反复	atkārtoti	Šis teikums jāvingrina atkārtoti.
反应	reakcija	Viņa reakcija ir ātra.
反映	atspoguļot	Šis ziņojums atspoguļo patieso situāciju.
反正	katrā ziņā	Katrā ziņā man rīt ir laiks.
范围	diapazons; robežas	Lūdzu, nepārsniedz šo robežu.
方	kvadrāts; puse	Lūdzu, uzzīmē uz papīra kvadrātu.
方案	plāns; priekšlikums	Šis plāns ir diezgan saprātīgs.
方式	veids	Šis mācīšanās veids ir ļoti efektīvs.
妨碍	traucēt	Lūdzu, netraucē citiem strādāt.
仿佛	šķiet; it kā	Šķiet, ka viņš zina visu.
非	ne-; bez	Šo lietu nevar izdarīt bez tevis.
肥皂	ziepes	Mazgājot rokas, jālieto ziepes.
废话	muļķības; lieki vārdi	Mazāk muļķību, sāksim ātri.
分别	šķirties; atšķirt	Viņi šķīrās stacijā.
分布	izvietoties; sadalījums	Šie veikali izvietoti visā pilsētā.
分配	piešķirt; sadalīt	Skolotājs piešķīra jaunu uzdevumu.
分手	šķirties	Viņi izšķīrās pagājušajā gadā.
分析	analizēt; analīze	Mums jāanalizē iemesli.
纷纷	viens pēc otra	Visi viens pēc otra pauda piekrišanu.
奋斗	cīnīties; censties	Jauniešiem jācīnās par saviem sapņiem.
疯狂	traks; neprātīgs	Fani neprātīgi gavilēja.
风格	stils	Šī restorāna stils ir ļoti īpašs.
风景	ainava	Kalnā ainava ir skaista.
风俗	paraža	Katrai vietai ir savas paražas.
风险	risks	Ieguldījumiem ir zināms risks.
讽刺	satirizēt; ironija	Šis raksts satirizēja sabiedrības problēmas.
否定	noliegt	Viņš noraidīja šo apgalvojumu.
否认	noliegt	Viņš noliedza, ka būtu kļūdījies.
幅	klasifikators gleznām; platums	Pie sienas karājas glezna.
扶	atbalstīt; palīdzēt piecelties	Lūdzu, palīdzi vecajam cilvēkam pāriet pāri ceļam.
服装	apģērbs	Šis veikals pārdod bērnu apģērbu.
辅导	palīdzēt mācībās; konsultēt	Skolotājs pēc stundām palīdz skolēniem mācībās.
复制	kopēt	Lūdzu, nokopē šo dokumentu.
妇女	sieviete	Šī slimnīca sniedz pakalpojumus sievietēm.
改革	reforma; reformēt	Skola īsteno mācību reformu.
改进	uzlabot	Mums jāuzlabo pakalpojumu kvalitāte.
改善	uzlabot	Sports var uzlabot miegu.
改正	labot	Lūdzu, savlaicīgi labo kļūdas.
概括	apkopot; īsi izklāstīt	Lūdzu, apkopo raksta saturu.
概念	jēdziens	Šo jēdzienu nav viegli saprast.
盖	vāks; pārklāt	Lūdzu, kārtīgi aizver krūzi.
干脆	vienkārši; skaidri	Tad vienkārši šodien neej.
干燥	sauss	Ziemeļos ziemas ir ļoti sausas.
感激	būt pateicīgam	Es esmu ļoti pateicīgs par tavu palīdzību.
感受	sajūta; izjust	Es varu saprast tavas sajūtas.
感想	iespaidi; pārdomas	Lūdzu, pastāsti par saviem iespaidiem.
赶紧	steigties	Ir jau vēls, pasteidzies un ejam.
赶快	ātri; tūlīt	Ātri aizver durvis.
干活儿	strādāt	Viņš strādā pagalmā.
钢铁	tērauds	Šis tilts ir būvēts no tērauda.
高档	augstas klases	Šī ir augstas klases viesnīca.
高级	augstāks; padziļināts	Viņa piedalījās padziļinātā ķīniešu valodas kursā.
搞	darīt; organizēt	Kādu pasākumu tu organizē?
告别	atvadīties	Mēs lidostā atvadījāmies no drauga.
格外	īpaši	Šodien debesis ir īpaši zilas.
隔壁	blakus	Blakus dzīvo skolotājs.
个别	atsevišķs	Daži atsevišķi skolēni vēl nav nodevuši mājasdarbu.
个人	personīgs; individuāls	Tas ir mans personīgais viedoklis.
个性	personība	Viņai ir izteikta personība.
各自	katrs savs	Katrs pabeidz savu uzdevumu.
根	sakne; klasifikators	Zem galda ir viens vads.
根本	pavisam; pamatā	Šī problēma pavisam nav grūta.
公布	paziņot; publiskot	Skola paziņoja eksāmena rezultātus.
公开	publisks	Šī sanāksme ir publiska.
公平	godīgs	Sacensībām jābūt godīgām.
公寓	dzīvoklis	Viņa noīrēja mazu dzīvokli.
公元	mūsu ēra	Šis ir mūsu ēras 2026. gads.
公主	princese	Mazajai meitenei patīk stāsti par princesēm.
功能	funkcija	Šai programmatūrai ir daudz funkciju.
工厂	rūpnīca	Šī rūpnīca ražo automašīnas.
工程师	inženieris	Mans vecākais brālis ir inženieris.
工具	instruments	Velosipēda remontam vajadzīgi instrumenti.
工人	strādnieks	Strādnieki labo ceļu.
工业	rūpniecība	Šī pilsēta galvenokārt balstās uz rūpniecību.
恭喜	apsveicu	Apsveicu ar eksāmena nokārtošanu.
贡献	ieguldījums; dot ieguldījumu	Viņš deva ieguldījumu uzņēmumā.
沟通	saziņa; sazināties	Laba saziņa ir ļoti svarīga.
构成	veidot	Šīs daļas veido veselumu.
姑姑	tēva māsa	Nedēļas nogalē apciemošu tēva māsu.
姑娘	jauna sieviete	Tā jaunā sieviete ir ļoti atsaucīga.
古代	senie laiki	Senajos laikos nebija mobilo telefonu.
古典	klasisks	Man patīk klasiskā mūzika.
股票	akcija	Viņš nopirka dažas akcijas.
骨头	kauls	Šis kauls ir ļoti ciets.
鼓舞	iedvesmot	Šī ziņa ir ļoti iedvesmojoša.
鼓掌	aplaudēt	Skatītāji aplaudēja aktieriem.
固定	fiksēts; pastāvīgs	Man ir fiksēts darba laiks.
挂号	reģistrēties	Pirms vizītes pie ārsta vispirms jāreģistrējas.
乖	paklausīgs	Šis bērns ir ļoti paklausīgs.
拐弯	pagriezties	Priekšā krustojumā pagriezies pa labi.
怪不得	nav brīnums	Nav brīnums, ka tu esi tik noguris.
关闭	aizvērt; izslēgt	Pirms aiziešanas lūdzu izslēdz datoru.
官	ierēdnis	Viņš ir jauns ierēdnis.
观察	novērot	Ārsts novēro pacienta stāvokli.
观点	viedoklis	Es piekrītu tavam viedoklim.
观念	uzskats	Jauniešu uzskati mainās.
管子	caurule	Šī caurule tek.
冠军	čempions	Viņa uzvarēja sacensībās.
光滑	gluds	Šī galda virsma ir ļoti gluda.
光临	apmeklēt; laipni lūdzam	Laipni lūdzam jūs apmeklēt mūs arī nākamreiz.
光明	gaišs; spožs	Nākotne ir gaiša.
光盘	disks; CD	Lūdzu, saglabā materiālus diskā.
广场	laukums	Laukumā ir daudz cilvēku.
广大	plašs; liels	Šo ziņu atzinīgi uzņēma daudzi studenti.
广泛	plašs	Šai grāmatai ir plaša ietekme.
归纳	apkopot	Skolotājs palīdzēja mums apkopot galvenos punktus.
规矩	noteikumi; kārtība	Bērniem jāsaprot noteikumi.
规律	regularitāte; ritms	Dzīvei vajadzīgs ritms.
规模	mērogs	Šis uzņēmums ir liela mēroga uzņēmums.
规则	noteikumi	Sacensību noteikumi ir ļoti skaidri.
柜台	lete; kase	Lūdzu, samaksā pie letes.
滚	vārīties	Ūdens jau vārās.
锅	katls	Podiņā ir karsta zupa.
国庆节	Nacionālie svētki	Nacionālajos svētkos mums ir brīvdiena.
国王	karalis	Karalis dzīvo pilī.
果然	kā gaidīts	Kā gaidīts, viņš ieradās laikā.
果实	auglis; rezultāts	Koks ir pilns ar augļiem.
过分	pārmērīgs	Viņa prasība ir mazliet pārmērīga.
过敏	alerģija; būt alerģiskam	Man ir alerģija pret ziedputekšņiem.
过期	beidzies derīguma termiņš	Šim pienam derīguma termiņš jau ir beidzies.
哈	ha	Ha, es beidzot sapratu.
海关	muita	Mēs stāvējām rindā muitā uz pārbaudi.
海鲜	jūras veltes	Šajā restorānā jūras veltes ir ļoti svaigas.
喊	kliegt	Nekliedz skaļi klasē.
行业	nozare	Tūrisma nozare attīstās ātri.
豪华	grezns	Viņi dzīvo greznā viesnīcā.
好客	viesmīlīgs	Vietējie cilvēki ir ļoti viesmīlīgi.
好奇	ziņkārīgs	Bērni ir ļoti ziņkārīgi par pasauli.
何必	kādēļ gan	Kādēļ gan dusmoties par sīkumu?
何况	turklāt; nemaz nerunājot par to	Šodien ir auksts, turklāt vēl līst.
合法	likumīgs	Šis līgums ir likumīgs.
合理	saprātīgs	Šī cena ir saprātīga.
合同	līgums	Viņi parakstīja līgumu.
合影	grupas foto	Izlaidumā mēs nofotografējāmies grupas foto.
合作	sadarboties	Mēs pabeidzām projektu sadarbojoties.
和平	miers	Ikviens cer uz mieru.
核心	kodols	Uzticība ir sadarbības kodols.
恨	nožēlot; ienīst	Viņš nožēlo, ka agrāk necītās.
猴子	pērtiķis	Zooloģiskajā dārzā ir vairāki pērtiķi.
后背	mugura	Viņam mazliet sāp mugura.
后果	sekas	Tev jāapsver sekas.
呼吸	elpot	Lūdzu, dziļi ieelpo.
忽然	pēkšņi	Debesis pēkšņi satumsa.
忽视	ignorēt	Neignorē šo problēmu.
壶	tējkanna; kanna	Uz galda ir kanna tējas.
糊涂	apjucis	Šodien esmu mazliet apjucis.
胡说	runāt muļķības	Nerunā muļķības, tā nav taisnība.
胡同	šķērsiela; hutuns	Pekinā ir daudz vecu hutunu.
蝴蝶	tauriņš	Dārzā ir tauriņš.
花生	zemesrieksts	Viņam patīk ēst zemesriekstus.
华裔	ķīniešu izcelsmes	Viņa ir ķīniešu izcelsmes rakstniece.
滑	slīdīgs	Grīda ir slīdīga, esi uzmanīgs.
划	airēt	Braucot ar laivu, viņš ir atbildīgs par airēšanu.
化学	ķīmija	Universitātē viņa studēja ķīmiju.
话题	tēma	Šī tēma ir ļoti interesanta.
怀念	ilgoties; atcerēties	Es ļoti ilgojos pēc universitātes dzīves.
怀孕	būt stāvoklī	Viņa ir trešajā grūtniecības mēnesī.
缓解	mazināt	Atpūta var mazināt stresu.
幻想	fantazēt	Viņš bieži fantazē par ceļojumu kosmosā.
慌张	krist panikā	Saskaroties ar problēmu, nekrīti panikā.
黄金	zelts	Zelta cena atkal ir pieaugusi.
恢复	atgūties; atjaunot	Viņa ķermenis atgūstas.
挥	māt	Viņa pamāja ar roku.
灰	pelēks	Debesis ir pelēkas.
灰尘	putekļi	Uz galda ir daudz putekļu.
灰心	zaudēt drosmi	Nezaudē drosmi pat tad, ja neizdodas.
汇率	valūtas kurss	Kāds šodien ir valūtas kurss?
婚礼	kāzas	Viņu kāzas bija ļoti vienkāršas.
婚姻	laulība	Laulībā vajadzīga savstarpēja sapratne.
活跃	aktīvs	Viņš stundā ir ļoti aktīvs.
伙伴	partneris; biedrs	Viņš ir mans labākais partneris.
火柴	sērkociņš	Kastītē palicis tikai viens sērkociņš.
或许	varbūt	Varbūt rīt līs.
基本	pamata	Šīs ir pamata prasības.
机器	mašīna; iekārta	Šī iekārta ir salūzusi.
激烈	spraigs	Sacensības noritēja ļoti spraigi.
肌肉	muskulis	Pēc sportošanas muskuļi mazliet sāp.
及格	nokārtot eksāmenu	Viņš nokārtoja šo eksāmenu.
急忙	steigšus	Viņš steigšus izskrēja no klases.
急诊	neatliekamā palīdzība	Pacients tika nogādāts neatliekamās palīdzības nodaļā.
极其	ārkārtīgi	Šis jautājums ir ārkārtīgi svarīgs.
集合	pulcēties	Lūdzu, visiem pulcēties pie ieejas astoņos.
集体	kolektīvs; grupa	Tas ir grupas pasākums.
集中	koncentrēt; koncentrēties	Stundā jākoncentrē uzmanība.
寂寞	vientuļš	Dzīvojot vienam, dažreiz var justies vientuļi.
系领带	siet kaklasaiti	Viņš katru dienu pirms darba sasien kaklasaiti.
纪录	rekords	Viņš pārspēja skolas rekordu.
纪律	disciplīna	Klases disciplīna ir ļoti svarīga.
纪念	pieminēt; atcerēties	Mēs fotografējāmies, lai pieminētu šo dienu.
