source_headword	ML	example_ML
agricultural	കാർഷിക	കാർഷിക കയറ്റുമതി ഈ വർഷം വർദ്ധിച്ചു.
aide	സഹായി	സഹായി മന്ത്രിയുടെ ഷെഡ്യൂൾ ക്രമീകരിച്ചു.
albeit	എങ്കിലും	പ്ലാൻ പ്രവർത്തിച്ചു, എങ്കിലും പതുക്കെയായിരുന്നു.
alert	മുന്നറിയിപ്പ് നൽകുക	ജീവനക്കാർക്ക് ഉടൻ മുന്നറിയിപ്പ് നൽകുക.
align	വിന്യസിക്കുക	അമ്പുകൾ റോഡുമായി വിന്യസിക്കുന്നു.
alignment	വിന്യാസം	വീൽ അലൈൻമെന്റ് കാറിന്റെ നിയന്ത്രണം മെച്ചപ്പെടുത്തി.
alike	ഒരുപോലെ	ഇരട്ടകൾ വാരാന്ത്യങ്ങളിൽ ഒരുപോലെ വസ്ത്രം ധരിക്കുന്നു.
allegation	ആരോപണം	ആരോപണം പത്രത്തിൽ വന്നു.
allege	ആരോപിക്കുക	ഫണ്ട് നഷ്ടപ്പെട്ടതായി അവർ ആരോപിക്കുന്നു.
allegedly	ആരോപണവിധേയമായി	ഡ്രൈവർ മുന്നറിയിപ്പ് അവഗണിച്ചതായി പറയപ്പെടുന്നു.
alliance	സഖ്യം	പാർട്ടികൾ ഒരു താൽക്കാലിക സഖ്യം രൂപീകരിച്ചു.
allocate	വകയിരുത്തുക	നഗരം സ്കൂളുകൾക്കായി പണം വകയിരുത്തും.
allocation	വിഹിതം	സീറ്റുകളുടെ വിഹിതം അന്യായമായിരുന്നു.
allowance	ബത്ത	അവളുടെ അലവൻസ് ഉച്ചഭക്ഷണവും യാത്രാച്ചെലവും ഉൾക്കൊള്ളുന്നു.
ally	സഖ്യകക്ഷി	കാനഡ ഒരു അടുത്ത സഖ്യകക്ഷിയായി മാറി.
aluminium	അലുമിനിയം	ഫ്രെയിം അലുമിനിയം കൊണ്ടാണ് നിർമ്മിച്ചിരിക്കുന്നത്.
amateur	അമേച്വർ	ഒരു അമേച്വർ ഫോട്ടോഗ്രാഫർ ആണ് ചിത്രം എടുത്തത്.
ambassador	അംബാസഡർ	അംബാസഡർ പ്രാദേശിക വിദ്യാർത്ഥികളെ കണ്ടു.
amend	ഭേദഗതി ചെയ്യുക	നിയമം ഭേദഗതി ചെയ്യാൻ പാർലമെന്റ് വോട്ട് ചെയ്തു.
amendment	ഭേദഗതി	ഭേദഗതി ഒരു ഖണ്ഡിക മാറ്റി.
amid	നടുവിൽ	വർദ്ധിച്ചുവരുന്ന പിരിമുറുക്കങ്ങൾക്കിടയിലാണ് പ്രസംഗം നടന്നത്.
analogy	സാമ്യം	അധ്യാപകൻ ഒരു ലളിതമായ സാമ്യം ഉപയോഗിച്ചു.
anchor	നങ്കൂരം	ബോട്ട് ദ്വീപിനടുത്ത് നങ്കൂരമിട്ടു.
angel	മാലാഖ	കുട്ടി ഒരു മാലാഖയുടെ വേഷം ധരിച്ചിരുന്നു.
anonymous	അജ്ഞാത	പരാതി അജ്ഞാതമായിരുന്നു.
apparatus	ഉപകരണം	ലബോറട്ടറി ഉപകരണങ്ങൾ വൃത്തിയാക്കേണ്ടതുണ്ട്.
appealing	ആകർഷകമായ	ഓഫർ വിദ്യാർത്ഥികൾക്ക് ആകർഷകമായി തോന്നുന്നു.
appetite	വിശപ്പ്	വ്യായാമം അവന്റെ വിശപ്പ് വർദ്ധിപ്പിച്ചു.
applaud	കൈയടിക്കുക	കാണികൾ ഉറക്കെ കൈയടിക്കാൻ തുടങ്ങി.
applicable	ബാധകമായ	കിഴിവ് ഇന്ന് ബാധകമാണ്.
appoint	നിയമിക്കുക	ബോർഡ് ഒരു ഡയറക്ടറെ നിയമിക്കും.
appreciation	അഭിനന്ദനം	അവർ നൽകിയ സഹായത്തിന് അവൾ അഭിനന്ദനം അറിയിച്ചു.
arbitrary	ഏകപക്ഷീയമായ	സമയപരിധി ജീവനക്കാർക്ക് ഏകപക്ഷീയമായി തോന്നി.
architectural	വാസ്തുവിദ്യാ	നഗരം അതിന്റെ വാസ്തുവിദ്യാ പൈതൃകം സംരക്ഷിക്കുന്നു.
archive	ശേഖരം	ശേഖരം പഴയ ഫോട്ടോഗ്രാഫുകൾ സൂക്ഷിക്കുന്നു.
arena	വേദി	സംവാദം പൊതു വേദിയിലേക്ക് മാറി.
arguably	തർക്കമറ്റവിധം	ഇത് അദ്ദേഹത്തിന്റെ ഏറ്റവും മികച്ച നോവലാണ്.
arm	ആയുധമണിയിക്കുക	കാവൽക്കാർ വാഹനവ്യൂഹത്തിന് ആയുധം നൽകും.
array	നിര	കടയിൽ ഒരു കൂട്ടം ഉപകരണങ്ങൾ വാഗ്ദാനം ചെയ്യുന്നു.
articulate	വ്യക്തമായി പറയുക	അവൾക്ക് സങ്കീർണ്ണമായ ആശയങ്ങൾ വ്യക്തമായി പ്രകടിപ്പിക്കാൻ കഴിയും.
ash	ചാരം	തീപിടുത്തത്തിന് ശേഷം ചാരം കാറിനെ മൂടി.
aspiration	ആഗ്രഹം	ഒരു സർജനാകുക എന്നതാണ് അവളുടെ ആഗ്രഹം.
aspire	ആഗ്രഹിക്കുക	വിദേശത്ത് പഠിക്കാൻ പല വിദ്യാർത്ഥികളും ആഗ്രഹിക്കുന്നു.
assassination	കൊലപാതകം	കൊലപാതകം രാജ്യത്തിന്റെ രാഷ്ട്രീയം മാറ്റിമറിച്ചു.
assault	ആക്രമണം	സ്റ്റേഷനു സമീപം ആക്രമണം നടന്നു.
assemble	കൂട്ടിച്ചേർക്കുക	തൊഴിലാളികൾ ഫർണിച്ചറുകൾ കൈകൊണ്ട് കൂട്ടിച്ചേർക്കുന്നു.
assembly	അസംബ്ലി	സ്കൂൾ അസംബ്ലി ഒമ്പത് മണിക്ക് ആരംഭിക്കും.
assert	ഉറപ്പിച്ചു പറയുക	അവൻ തന്റെ അധികാരം സ്ഥാപിക്കാൻ ശ്രമിച്ചു.
assertion	പ്രസ്താവന	അവളുടെ അവകാശവാദം പാനലിനെ അത്ഭുതപ്പെടുത്തി.
assurance	ഉറപ്പ്	മാനേജർ പിന്തുണയുടെ ഉറപ്പ് നൽകി.
asylum	അഭയം	അതിർത്തിയിൽ കുടുംബം അഭയം തേടി.
atrocity	ക്രൂരത	സിനിമ ഒരു യുദ്ധകാല ക്രൂരതയെ വിവരിക്കുന്നു.
attain	നേടുക	കുറച്ച് ഓട്ടക്കാർ മാത്രമേ ആ വേഗത കൈവരിക്കാറുള്ളൂ.
attendance	ഹാജർ	അറിയിപ്പിന് ശേഷം ഹാജർ മെച്ചപ്പെട്ടു.
attorney	അറ്റോർണി	അറ്റോർണി സാക്ഷിയെ ചോദ്യം ചെയ്തു.
attribute	ആരോപിക്കുക	വർദ്ധനവിന് കാരണം മലിനീകരണമാണെന്ന് ശാസ്ത്രജ്ഞർ പറയുന്നു.
audit	ഓഡിറ്റ്	ഓഡിറ്റിൽ നിരവധി പിഴവുകൾ കണ്ടെത്തി.
authentic	ആധികാരിക	റസ്റ്റോറന്റ് ആധികാരികമായ പ്രാദേശിക ഭക്ഷണം വിളമ്പുന്നു.
authorize	അധികാരപ്പെടുത്തുക	മാനേജർമാർക്ക് മാത്രമേ റീഫണ്ടുകൾ അധികാരപ്പെടുത്താൻ കഴിയൂ.
auto	ഓട്ടോമൊബൈൽ	വാഹന വ്യവസായം വേഗത്തിൽ മാറി.
autonomy	സ്വയംഭരണം	ഈ പ്രദേശം കൂടുതൽ സ്വയംഭരണം ആഗ്രഹിക്കുന്നു.
availability	ലഭ്യത	സീറ്റുകളുടെ ലഭ്യത പരിമിതമാണ്.
await	കാത്തിരിക്കുക	നിരവധി സന്ദേശങ്ങൾ നിങ്ങളുടെ മറുപടിക്കായി കാത്തിരിക്കുന്നു.
backdrop	പശ്ചാത്തലം	പർവ്വതങ്ങൾ അതിശയകരമായ ഒരു പശ്ചാത്തലം രൂപപ്പെടുത്തി.
backing	പിന്തുണ	ഈ നിർദ്ദേശത്തിന് വോട്ടർമാരിൽ നിന്ന് പിന്തുണ ലഭിച്ചു.
backup	ബാക്കപ്പ്	സിസ്റ്റം ദിവസവും ഒരു ബാക്കപ്പ് സൃഷ്ടിക്കുന്നു.
bail	ജാമ്യം	ഉച്ചയ്ക്ക് ജഡ്ജി ജാമ്യം അനുവദിച്ചു.
ballot	ബാലറ്റ്	ഓരോ വോട്ടർക്കും ഒരു ബാലറ്റ് ലഭിച്ചു.
banner	ബാനർ	പ്രവേശന കവാടത്തിന് മുകളിൽ ബാനർ തൂക്കിയിരുന്നു.
bare	ശൂന്യമായ	മുറിയിൽ ശൂന്യമായ ചുവരുകൾ ഉണ്ടായിരുന്നു.
barrel	വീപ്പ	വീപ്പയിൽ നിറയെ വെള്ളമായിരുന്നു.
bass1	ബാസ്	ബാസ് ശബ്ദം ആഴമുള്ളതും വ്യക്തവുമായിരുന്നു.
battlefield	യുദ്ധഭൂമി	പഴയ യുദ്ധഭൂമി ഒരു സ്മാരകമായി മാറി.
bay	ഉൾക്കടൽ	ഗ്രാമം ശാന്തമായ ഒരു ഉൾക്കടലിനടുത്താണ് സ്ഥിതിചെയ്യുന്നത്.
beam	ബീം	ഒരു സ്റ്റീൽ ബീം മേൽക്കൂരയെ താങ്ങുന്നു.
beast	മൃഗം	കഥ ഒരു ക്രൂരനായ മൃഗത്തെ വിവരിക്കുന്നു.
behalf	വേണ്ടി	അവൾ അവളുടെ ടീമിന് വേണ്ടി സംസാരിച്ചു.
beloved	പ്രിയപ്പെട്ട	പ്രിയപ്പെട്ട അധ്യാപകൻ ഇന്ന് വിരമിച്ചു.
bench	ബെഞ്ച്	അവർ ഒരു മര ബെഞ്ചിൽ ഇരുന്നു.
benchmark	മാനദണ്ഡം	ഈ പരിശോധന ഒരു വ്യവസായ മാനദണ്ഡമായി മാറി.
beneath	താഴെ	രേഖകൾ ഫോൾഡറിന് താഴെയായിരുന്നു.
beneficiary	ഗുണഭോക്താവ്	അവളുടെ മകനായിരുന്നു പ്രധാന ഗുണഭോക്താവ്.
betray	വഞ്ചിക്കുക	നിങ്ങളുടെ സുഹൃത്തിന്റെ വിശ്വാസം വഞ്ചിക്കരുത്.
bind	ബന്ധിപ്പിക്കുക	കരാർ രണ്ട് കമ്പനികളെയും ബന്ധിപ്പിക്കും.
biography	ജീവചരിത്രം	അദ്ദേഹത്തിന്റെ ജീവചരിത്രം നിരവധി കോപ്പികൾ വിറ്റു.
bishop	ബിഷപ്പ്	ബിഷപ്പ് ഗ്രാമത്തിലെ പള്ളി സന്ദർശിച്ചു.
bizarre	വിചിത്രമായ	സിനിമയ്ക്ക് ഒരു വിചിത്രമായ അന്ത്യം ഉണ്ടായിരുന്നു.
blade	ബ്ലേഡ്	ബ്ലേഡ് കയർ മുറിച്ചു.
blast	സ്ഫോടനം	സ്ഫോടനം സമീപത്തെ ജനലുകൾ തകർത്തു.
bleed	രക്തം വരിക	മുറിവിൽ നിന്ന് കൂടുതൽ രക്തം വരാൻ തുടങ്ങി.
blend	കൂട്ടിക്കലർത്തുക	സോസ് മയമുള്ളതാകുന്നതുവരെ കൂട്ടിക്കലർത്തുക.
bless	അനുഗ്രഹിക്കുക	പുരോഹിതൻ വീട് അനുഗ്രഹിക്കും.
blessing	അനുഗ്രഹം	പിന്തുണ ലഭിച്ചത് ഒരു അനുഗ്രഹമായിരുന്നു.
boast	വീമ്പിളക്കുക	പണത്തെക്കുറിച്ച് വീമ്പിളക്കാൻ അയാൾ ഇഷ്ടപ്പെടുന്നു.
bonus	ബോണസ്	ജീവനക്കാർക്ക് അവധിക്കാല ബോണസ് ലഭിച്ചു.
boom	കുതിപ്പ്	നഗരം ഒരു നിർമ്മാണ കുതിപ്പ് കണ്ടു.
bounce	പൊങ്ങുക	പന്തിന് വളരെ ഉയരത്തിൽ പൊങ്ങാൻ കഴിയും.
boundary	അതിർത്തി	നദി അതിർത്തി അടയാളപ്പെടുത്തുന്നു.
bow1	തലകുനിക്കുക	നടൻ ആഴത്തിൽ തലകുനിച്ചു.
breach	ലംഘനം	ലംഘനം സ്വകാര്യ ഡാറ്റ വെളിപ്പെടുത്തി.
breakdown	വിഭജനം	റിപ്പോർട്ടിൽ ചെലവിന്റെ വിഭജനം ഉൾപ്പെടുന്നു.
breakthrough	വഴിത്തിരിവ്	ഈ കണ്ടെത്തൽ ഒരു പ്രധാന വഴിത്തിരിവായിരുന്നു.
breed	പെറ്റുപെരുകുക	ഈ പക്ഷികൾ വസന്തകാലത്ത് പെറ്റുപെരുകുന്നു.
broadband	ബ്രോഡ്ബാൻഡ്	ഓഫീസിന് വേഗതയേറിയ ബ്രോഡ്ബാൻഡ് ആവശ്യമാണ്.
browser	ബ്രൗസർ	ലോഗിൻ ചെയ്യുന്നതിന് മുമ്പ് നിങ്ങളുടെ ബ്രൗസർ അപ്ഡേറ്റ് ചെയ്യുക.
brutal	ക്രൂരമായ	ആക്രമണം ക്രൂരവും പെട്ടെന്നുള്ളതുമായിരുന്നു.
buck	ഡോളർ	ടിക്കറ്റിന് പത്ത് ഡോളർ വിലവരും.
buddy	ചങ്ങാതി	അവന്റെ ചങ്ങാതി പുറത്ത് കാത്തുനിന്നു.
buffer	ബഫർ	മരങ്ങൾ ഒരു ശബ്ദ തടസ്സം സൃഷ്ടിക്കുന്നു.
bulk	മൊത്തമായി	അവർ മൊത്തമായി അരി വാങ്ങി.
burden	ഭാരം	കടം വലിയൊരു ഭാരമായി മാറി.
bureaucracy	ഉദ്യോഗസ്ഥവൃന്ദം	ഉദ്യോഗസ്ഥവൃന്ദം പെർമിറ്റ് വൈകിപ്പിച്ചു.
burial	ശവമടക്കം	പുലർച്ചെയാണ് ശവമടക്കം നടന്നത്.
burst	പൊട്ടുക	മർദ്ദം കാരണം പൈപ്പ് പൊട്ടിയേക്കാം.
cabinet	മന്ത്രിസഭ	മന്ത്രിസഭ ഈ പദ്ധതി അംഗീകരിച്ചു.
calculation	കണക്കുകൂട്ടൽ	കണക്കുകൂട്ടലിന് കുറച്ച് മിനിറ്റുകൾ എടുത്തു.
canvas	കാൻവാസ്	കലാകാരൻ ഒരു വലിയ കാൻവാസിൽ വരച്ചു.
capability	കഴിവ്	ഉപകരണത്തിന് വയർലെസ്സ് കഴിവുണ്ട്.
capitalism	മുതലാളിത്തം	മുതലാളിത്തം ആധുനിക സമ്പദ്‌വ്യവസ്ഥയെ രൂപപ്പെടുത്തി.
capitalist	മുതലാളിത്ത	മുതലാളിത്ത വ്യവസ്ഥ സ്വകാര്യ നിക്ഷേപത്തിന് പ്രതിഫലം നൽകുന്നു.
cargo	ചരക്ക്	കപ്പൽ മെഡിക്കൽ ചരക്ക് വഹിച്ചു.
carriage	ബോഗി	ട്രെയിൻ കോച്ച് മിക്കവാറും ശൂന്യമായിരുന്നു.
carve	കൊത്തുപണി ചെയ്യുക	അവൻ മരം ശ്രദ്ധയോടെ കൊത്തുപണി ചെയ്യും.
casino	കാസിനോ	ഹോട്ടലിന് സമീപം കാസിനോ തുറന്നു.
casualty	ആൾനാശം	അപകടത്തിൽ ഒരാൾക്ക് ജീവഹാനി സംഭവിച്ചു.
catalogue	കാറ്റലോഗ്	കാറ്റലോഗ് എല്ലാ ഉൽപ്പന്നങ്ങളും പട്ടികപ്പെടുത്തുന്നു.
cater	സേവനം നൽകുക	റെസ്റ്റോറന്റിന് വലിയ പരിപാടികൾക്ക് ഭക്ഷണം നൽകാൻ കഴിയും.
cattle	കന്നുകാലികൾ	കന്നുകാലികൾ നദിക്കരയിൽ മേഞ്ഞുനടന്നു.
caution	ജാഗ്രത	മഞ്ഞുമൂടിയ റോഡുകളിൽ ജാഗ്രത പാലിക്കുക.
cautious	ജാഗ്രതയുള്ള	നിക്ഷേപകർ ഈ ആഴ്ച ജാഗ്രതയോടെ തുടരുന്നു.
cease	നിർത്തുക	ഫാക്ടറി ഉടൻ ഉത്പാദനം നിർത്തും.
cemetery	സെമിത്തേരി	സെമിത്തേരി കടലിനഭിമുഖമായാണ്.
chamber	ചേംബർ	വോട്ടിംഗ് സമയത്ത് ചേംബർ നിശബ്ദമായിരുന്നു.
chaos	അരാജകത്വം	കാലതാമസം വിമാനത്താവളത്തിൽ താറുമാറുണ്ടാക്കി.
characterize	വിശേഷിപ്പിക്കുക	വിദഗ്ധർ ഈ പദ്ധതിയെ അപകടകരമെന്ന് വിശേഷിപ്പിക്കുന്നു.
charm	ആകർഷണീയത	നഗരത്തിന് പഴയകാലത്തെ ഒരു ആകർഷണീയതയുണ്ട്.
charter	ചാർട്ടർ	ഈ പ്രമാണം അടിസ്ഥാന അവകാശങ്ങളെ സംരക്ഷിക്കുന്നു.
chronic	വിട്ടുമാറാത്ത	അയാൾ വിട്ടുമാറാത്ത നടുവേദന അനുഭവിക്കുന്നു.
chunk	കഷണം	ചീസ് ഒരു കഷണമായി മുറിക്കുക.
circulate	വിതരണം ചെയ്യുക	ദയവായി ഇന്ന് അജണ്ട വിതരണം ചെയ്യുക.
circulation	പ്രചാരം	പത്രത്തിന്റെ പ്രചാരം കുത്തനെ കുറഞ്ഞു.
citizenship	പൗരത്വം	അവൾ ഫ്രഞ്ച് പൗരത്വത്തിന് അപേക്ഷിച്ചു.
civic	പൗര	പൗര പ്രമുഖർ യോഗത്തിൽ പങ്കെടുത്തു.
civilian	സിവിലിയൻ	നിരവധി സിവിലിയൻ വീടുകൾക്ക് കേടുപാടുകൾ സംഭവിച്ചു.
clarity	വ്യക്തത	ഡയഗ്രം റിപ്പോർട്ടിന് വ്യക്തത നൽകി.
clash	ഏറ്റുമുട്ടൽ	മാർച്ചിന് ശേഷം ഏറ്റുമുട്ടൽ ആരംഭിച്ചു.
classification	വർഗ്ഗീകരണം	വർഗ്ഗീകരണം വലുപ്പത്തെ ആശ്രയിച്ചിരിക്കുന്നു.
cling	പറ്റിപ്പിടിക്കുക	നനഞ്ഞ വസ്ത്രങ്ങൾ ചർമ്മത്തിൽ പറ്റിപ്പിടിക്കുന്നു.
clinical	ക്ലിനിക്കൽ	ക്ലിനിക്കൽ ട്രയൽ അടുത്ത മാസം ആരംഭിക്കുന്നു.
closure	സമാപനം	കേസിന് ശേഷം കുടുംബം ഒരു സമാപനം ആഗ്രഹിച്ചു.
cluster	കൂട്ടം	വീടുകളുടെ ഒരു കൂട്ടം അടുത്തായി നിന്നു.
coalition	സഖ്യം	സഖ്യത്തിന് ഭൂരിപക്ഷം നഷ്ടപ്പെട്ടു.
coastal	തീരദേശ	തീരദേശ ഗ്രാമങ്ങൾ വെള്ളപ്പൊക്കത്തിന് തയ്യാറെടുത്തു.
cocktail	കോക്ടെയ്ൽ	അവൾ ഒരു ഫ്രൂട്ട് കോക്ടെയ്ൽ ഓർഡർ ചെയ്തു.
cognitive	വൈജ്ഞാനിക	പരിശീലനത്തിലൂടെ വൈജ്ഞാനിക നൈപുണ്യങ്ങൾ മെച്ചപ്പെടുന്നു.
coincide	ഒരേ സമയത്ത് സംഭവിക്കുക	ഉത്സവം ബിരുദദാന ചടങ്ങിനോടൊപ്പം വരും.
collaborate	സഹകരിക്കുക	ടീമുകൾ സോഫ്റ്റ്‌വെയർ കാര്യത്തിൽ സഹകരിക്കുന്നു.
collaboration	സഹകരണം	അവരുടെ സഹകരണം മികച്ച ഫലങ്ങൾ ഉണ്ടാക്കി.
collective	കൂട്ടായ	തീരുമാനം ഒരു കൂട്ടായ പരിശ്രമമായിരുന്നു.
collision	കൂട്ടിയിടി	കൂട്ടിയിടി ഹൈവേ തടസ്സപ്പെടുത്തി.
colonial	കൊളോണിയൽ	ഈ കെട്ടിടത്തിന് കൊളോണിയൽ വാസ്തുവിദ്യയാണുള്ളത്.
columnist	കോളമിസ്റ്റ്	കോളമിസ്റ്റ് നയത്തെ വിമർശിച്ചു.
combat	പോരാട്ടം	പട്ടാളക്കാർ പോരാട്ടത്തിനായി പരിശീലനം നേടി.
commence	ആരംഭിക്കുക	ചടങ്ങ് ഉച്ചയ്ക്ക് ആരംഭിക്കും.
commentary	വിവരണം	മത്സരത്തിന്റെ വിവരണം സജീവമായിരുന്നു.
commentator	കമന്റേറ്റർ	കമന്റേറ്റർ തീരുമാനം വിശദീകരിച്ചു.
commerce	വാണിജ്യം	ഓൺലൈൻ വാണിജ്യം വേഗത്തിൽ വളർന്നു.
commissioner	കമ്മീഷണർ	കമ്മീഷണർ പുതിയ നിയമങ്ങൾ പ്രഖ്യാപിച്ചു.
commodity	ചരക്ക്	ഗോതമ്പ് ഒരു പ്രധാന ചരക്കാണ്.
communist	കമ്മ്യൂണിസ്റ്റ്	കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഒരു യോഗം ചേർന്നു.
companion	കൂട്ടുകാരൻ	അവളുടെ നായ വിശ്വസ്തനായ ഒരു കൂട്ടുകാരനാണ്.
comparable	താരതമ്യം ചെയ്യാവുന്ന	ഈ രണ്ട് നഗരങ്ങൾ വലുപ്പത്തിൽ താരതമ്യം ചെയ്യാവുന്നതാണ്.
compassion	അനുകമ്പ	നഴ്സ് വലിയ അനുകമ്പ കാണിച്ചു.
compel	നിർബന്ധിക്കുക	തെളിവുകൾ ഒരു പ്രതികരണത്തിന് നിർബന്ധിച്ചേക്കാം.
compelling	ശ്രദ്ധേയമായ	ഡോക്യുമെന്ററി ശ്രദ്ധേയമായ ഒരു വാദം ഉന്നയിച്ചു.
compensate	നഷ്ടപരിഹാരം നൽകുക	ബാധിച്ച ഉപഭോക്താക്കൾക്ക് കമ്പനി നഷ്ടപരിഹാരം നൽകും.
compensation	നഷ്ടപരിഹാരം	തൊഴിലാളികൾ ന്യായമായ നഷ്ടപരിഹാരം ആവശ്യപ്പെട്ടു.
competence	കഴിവ്	ഈ പരീക്ഷ വൊക്കേഷണൽ കഴിവ് അളക്കുന്നു.
competent	കഴിവുള്ള	അവൾ കഴിവുള്ള ഒരു എഞ്ചിനീയറാണ്.
compile	ക്രോഡീകരിക്കുക	ഗവേഷകർ ആശുപത്രികളിൽ നിന്ന് വിവരങ്ങൾ ക്രോഡീകരിക്കുന്നു.
complement	മാറ്റുകൂട്ടുക	വൈൻ ഭക്ഷണത്തിന് മാറ്റുകൂട്ടും.
complexity	സങ്കീർണ്ണത	പദ്ധതിക്ക് അപ്രതീക്ഷിതമായ സങ്കീർണ്ണതയുണ്ട്.
compliance	അനുസരണം	ഓഡിറ്റ് നിയമപരമായ അനുസരണം പരിശോധിച്ചു.
