source_headword	ID	example_ID
recovery	pemulihan	Pemulihan memakan waktu beberapa minggu.
recruit	merekrut	Perusahaan akan merekrut teknisi.
recruitment	perekrutan	Perekrutan dimulai Senin depan.
referee	wasit	Wasit menghentikan pertandingan.
refugee	pengungsi	Pengungsi itu menemukan rumah yang aman.
registration	pendaftaran	Pendaftaran ditutup pada hari Jumat.
regulate	mengatur	Undang-undang akan mengatur emisi.
reinforce	memperkuat	Balok tambahan memperkuat atap itu.
relieve	meredakan	Obat dapat meredakan rasa sakit.
relieved	lega	Dia merasa lega setelah panggilan telepon itu.
remarkable	luar biasa	Pemulihannya sangat luar biasa.
remarkably	secara luar biasa	Dia pulih dengan sangat cepat.
reporting	pelaporan	Pelaporan yang akurat sangatlah penting.
resign	mengundurkan diri	Manajer itu akan mengundurkan diri besok.
resolution	resolusi	Layar ini memiliki resolusi tinggi.
restore	memulihkan	Pekerja memulihkan lukisan lama tersebut.
restrict	membatasi	Aturan itu membatasi area parkir.
restriction	pembatasan	Pembatasan berakhir besok.
retail	ritel	Penjualan ritel meningkat.
retirement	masa pensiun	Dia merencanakan masa pensiunnya dengan saksama.
revenue	pendapatan	Pendapatan tiket membayar biaya perbaikan.
revision	revisi	Revisi membantu sebelum ujian.
ridiculous	konyol	Harganya konyol.
risky	berisiko	Rencana itu tampak berisiko.
rival	saingan	Saingan kami membuka toko baru.
rob	merampok	Pria-pria itu mencoba merampok bank.
robbery	perampokan	Perampokan itu terjadi pada malam hari.
rocket	roket	Roket diluncurkan dengan sukses.
romance	kisah romantis	Novel itu memuat kisah romantis.
rose	mawar	Bunga mawar merah tumbuh di dekat pagar.
roughly	kira-kira	Kira-kira dua puluh orang hadir.
ruin	merusak	Hujan mungkin akan merusak piknik ini.
satisfaction	kepuasan	Kepuasan pelanggan meningkat.
scandal	skandal	Skandal tersebut menghancurkan kariernya.
scare	rasa kaget	Suara keras itu memberiku rasa kaget.
scenario	skenario	Skenario terburuk tidak mungkin terjadi.
scholar	sarjana	Sarjana tersebut mempelajari teks kuno.
scholarship	beasiswa	Dia memenangkan beasiswa.
scratch	goresan	Kucing itu meninggalkan goresan.
screening	skrining	Rumah sakit menawarkan skrining kanker.
seeker	pencari	Pencari kerja itu mengirim lamaran.
seminar	seminar	Seminar dimulai pukul sembilan.
settler	pemukim	Pemukim itu membangun sebuah peternakan kecil.
severely	dengan parah	Badai itu merusak jalan dengan parah.
sexy	seksi	Gaun itu dianggap seksi.
shocking	mengejutkan	Berita itu mengejutkan.
shore	tepi pantai	Kami berjalan di sepanjang tepi pantai.
shortage	kekurangan	Kota itu menghadapi kekurangan air.
shortly	segera	Bus tiba segera setelah tengah hari.
short-term	jangka pendek	Rencana ini memiliki manfaat jangka pendek.
sibling	saudara kandung	Setiap saudara kandung menerima hadiah.
signature	tanda tangan	Tolong tambahkan tanda tangan Anda.
significance	makna	Penemuan ini memiliki makna besar.
skilled	terampil	Pekerja terampil memperbaiki atap itu.
slogan	slogan	Kampanye itu menggunakan slogan sederhana.
so-called	yang disebut	Orang yang disebut ahli itu melakukan kesalahan.
somehow	entah bagaimana	Entah bagaimana, kuncinya menghilang.
sometime	kapan-kapan	Kunjungi kami kapan-kapan minggu depan.
sophisticated	canggih	Perangkat lunaknya canggih.
spare	cadangan	Kami menyimpan kunci cadangan.
specialize	berspesialisasi	Dokter berspesialisasi dalam berbagai bidang.
specify	menyebutkan	Tolong sebutkan waktu kedatangan Anda.
spectacular	spektakuler	Kembang apinya spektakuler.
spectator	penonton	Setiap penonton menerima buku acara.
speculate	berspekulasi	Pakar berspekulasi tentang penyebabnya.
speculation	spekulasi	Artikel itu mendorong spekulasi.
spice	rempah	Tambahkan satu jenis rempah pada satu waktu.
spill	menumpahkan	Jangan menumpahkan jusnya.
spite	meskipun	Dia berhasil meskipun ada masalah.
spoil	merusak	Terlalu banyak garam bisa merusak sup.
spokesman	juru bicara	Juru bicara itu menjawab pertanyaan.
spokesperson	juru bicara	Juru bicara itu membacakan pernyataan.
spokeswoman	juru bicara wanita	Juru bicara wanita itu berbicara kepada pers.
sponsorship	sponsor	Tim membutuhkan sponsor.
sporting	olahraga	Kota itu menjadi tuan rumah acara olahraga.
stall	kios	Kios pasar itu menjual buah.
stance	pendirian	Menteri itu mengubah pendiriannya.
starve	kelaparan	Tanpa makanan, hewan bisa kelaparan.
steadily	secara stabil	Perusahaan tumbuh secara stabil.
steam	uap	Uap mengepul dari sup tersebut.
stimulate	merangsang	Warna-warna cerah dapat merangsang minat.
