simplified	UZ	example_UZ
臭	badbo'y; sassiq	Axlatdan yomon hid kelmoqda.
出版	nashr etmoq	Bu kitob o'tgan yili nashr etilgan.
出口	chiqish joyi	Chiqish joyi oldinda.
出色	ajoyib; zo'r	Uning chiqishi juda zo'r.
出示	ko'rsatmoq	Iltimos, pasportingizni ko'rsating.
出席	qatnashmoq	U yig'ilishda qatnashadi.
初级	boshlang'ich	Men xitoy tilini boshlang'ich sinfda o'rganyapman.
除非	faqat ... bo'lsa	Agar yomg'ir yog'masa, ertaga tog'ga chiqamiz.
除夕	Yangi yil arafasi	Yangi yil arafasida butun oilamiz birga ovqatlanadi.
处理	hal qilmoq; ishlov bermoq	Bu muammoni men hal qilaman.
传播	tarqalmoq; tarqatmoq	Bu xabar juda tez tarqaldi.
传染	yuqmoq; yuqumli	Shamollash oson yuqadi.
传说	afsona	Bu qadimiy afsona.
传统	an'ana; an'anaviy	Bahor bayrami Xitoyning an'anaviy bayramidir.
窗帘	parda	Iltimos, pardalarni oching.
闯	shoshilib o'tmoq	U bexosdan qizil chiroqda o'tib ketdi.
创造	yaratmoq	Odamlar yangi asboblar yaratdi.
吹	esmoq; puflamoq	Shamol kuchli esmoqda.
词汇	lug'at; so'z boyligi	Bu so'z ko'p ishlatiladi.
辞职	iste'foga chiqmoq	U iste'foga chiqishga qaror qildi.
此外	bundan tashqari	Bundan tashqari, yana bir savolim bor.
刺激	hayajonli; qo'zg'atmoq	Bu o'yin juda hayajonli.
次要	ikkinchi darajali	Bu muammo ikkinchi darajali.
匆忙	shoshilgan; shoshilinch	U uydan shoshilib chiqib ketdi.
从此	shundan boshlab	Shundan boshlab u har kuni mashq qildi.
从而	shu orqali; natijada	U tirishib o'qidi va shu orqali imtihondan o'tdi.
从前	ilgari; bir zamonlar	Ilgari bu yerda metro yo'q edi.
从事	shug'ullanmoq	U ta'lim sohasida ishlaydi.
粗糙	dag'al	Bu qog'oz juda dag'al.
促进	rivojlantirmoq; rag'batlantirmoq	Mashq qilish sog'liqni yaxshilaydi.
促使	undamoq; turtki bermoq	Bu ish uni rejasini o'zgartirishga undadi.
醋	sirka	Ovqatga sirka qo'shildi.
催	shoshiltirmoq	Oyim meni tezroq chiqishga shoshiltirdi.
存在	mavjud bo'lmoq	Bu muammo hali ham mavjud.
措施	chora	Maktab xavfsizlik choralarini ko'rdi.
答应	rozi bo'lmoq; va'da bermoq	U menga yordam berishga rozi bo'ldi.
达到	erishmoq	Uning baholari talab darajasiga yetdi.
打工	yarim stavkada ishlamoq	U yozgi ta'tilda restoranda yarim stavkada ishlaydi.
打交道	muomala qilmoq; ish ko'rmoq	Men mijozlar bilan tez-tez muomala qilaman.
打喷嚏	aksirmoq	U shamollagan va tinmay aksiryapti.
打听	so'rab bilmoq	Men poyezd chiptalari haqida so'rab bilmoqchiman.
大方	saxiy	U pul masalasida juda saxiy.
大厦	katta bino	Anavi katta bino juda baland.
大象	fil	Bolalar hayvonot bog'ida fillarni tomosha qilmoqda.
大型	katta hajmli; yirik	Bu yerda yirik savdo markazi quriladi.
呆	uyda qolmoq; karaxt	U uyda qolib kitob o'qiydi.
代表	vakil; ifodalamoq	Bu gul do'stlikni ifodalaydi.
代替	o'rniga bormoq; almashtirmoq	Bugun men uning o'rniga yig'ilishda qatnashaman.
待遇	imtiyoz; ish haqi	Bu kompaniyaning imtiyozlari yaxshi.
贷款	kredit	Ular uy krediti uchun ariza berishdi.
单纯	oddiy; sodda	Uning fikri juda sodda.
单调	bir xil; zerikarli	Bu ish biroz zerikarli.
单独	yolg'iz; alohida	Men siz bilan alohida gaplashmoqchiman.
单位	tashkilot; birlik	U davlat tashkilotida ishlaydi.
单元	bo'lim; modul	Bugun uchinchi bo'limni o'rganyapmiz.
担任	mas'ul bo'lmoq; lavozimni egallamoq	U bu tadbir uchun mas'ul bo'lib xizmat qilmoqda.
耽误	kechiktirmoq; vaqtini olmoq	Hammaning vaqtini olmang.
胆小鬼	qo'rqoq	Uni qo'rqoq deb atamang.
淡	ta'mi sust; yengil	Bu sho'rvaning ta'mi biroz sust.
当地	mahalliy	Mahalliy odamlar bu bozorni yaxshi ko'radi.
当心	ehtiyot bo'lmoq	Yo'l sirpanchiq, ehtiyot bo'ling.
挡	to'smoq	Bu mashina kirish joyini to'sib turibdi.
倒霉	omadsiz	Bugun juda omadsiz kun, telefonimni yo'qotdim.
导演	rejissyor	Bu rejissyor juda mashhur.
导致	sabab bo'lmoq	Kuchli yomg'ir tirbandlikka sabab bo'ldi.
岛屿	orol	Bu mamlakatda ko'p orollar bor.
到达	yetib kelmoq	Poyezd Shanxayga vaqtida yetib keldi.
道德	axloq	Insonda axloqiy tamoyillar bo'lishi kerak.
道理	mantiq; sabab	Uning aytgan gapida ko'p mantiq bor.
登记	ro'yxatdan o'tmoq	Iltimos, avval qabulxonada ro'yxatdan o'ting.
等待	kutmoq	Biz natijani kutyapmiz.
等于	teng bo'lmoq	Beshga besh qo'shilsa, o'nga teng bo'ladi.
滴	tomchi	Stolga bir tomchi suv tushdi.
敌人	dushman	Ular dushman emas.
的确	haqiqatan ham	Bu masala haqiqatan ham juda muhim.
地道	sof; haqiqiy	U sof Pekin shevasida gapiradi.
地理	geografiya	Men Xitoy geografiyasiga juda qiziqaman.
地区	hudud	Qishda bu hudud juda sovuq bo'ladi.
地毯	gilam	Mehmonxonaga gilam to'shalgan.
地位	o'rin; mavqe	Ta'lim jamiyatda muhim o'ringa ega.
地震	zilzila	Kecha tunda bu yerda zilzila bo'ldi.
递	uzatmoq	Iltimos, bu xatni o'qituvchiga uzating.
点心	tamaddi; shirinlik	Tushdan keyin tamaddi qildik.
电池	batareya	Bu o'yinchoqqa ikkita batareya kerak.
电台	radio stansiyasi	U radio stansiyasida dastur olib boradi.
钓	baliq tutmoq	Bobom daryo bo'yida baliq tutishni yaxshi ko'radi.
顶	tepa; bosh kiyim uchun hisob so'zi	U qora shlyapa kiyib olgan.
冻	muzlamoq	Tashqarida shunchalik sovuqki, suv muzlab qoldi.
动画片	multfilm	Bolalar multfilm ko'ryapti.
洞	teshik; g'or	Devorda kichik teshik bor.
豆腐	soya pishlog'i	Bu soya pishlog'i taomi mazali.
逗	kuldirmoq; mazax qilmoq	Uning gaplari hammani kuldirdi.
独立	mustaqil	U mustaqil yashashni xohlaydi.
独特	o'ziga xos	Bu shaharning o'ziga xos madaniyati bor.
度过	o'tkazmoq	Ta'tilni dengiz bo'yida o'tkazdik.
断	uzilmoq; sinmoq	Bu arqon uzilib ketdi.
堆	uyum; uyib qo'ymoq	Stol ustida ko'p hujjatlar uyilib yotibdi.
兑换	ayirboshlamoq	Men biroz renminbi ayirboshlamoqchiman.
对比	taqqoslash	Iltimos, bu ikki rejani taqqoslang.
对待	munosabatda bo'lmoq	Biz hammaga adolatli munosabatda bo'lishimiz kerak.
对方	qarshi tomon; boshqa tomon	Iltimos, avval boshqa tomonning fikrini tinglang.
对手	raqib	Uning raqibi juda kuchli.
对象	obyekt; sherik	Tadqiqot obyekti universitet talabalari.
吨	tonna	Bu yuk mashinasi uch tonna yuk tashiy oladi.
蹲	cho'kkalamoq	U yerda cho'kkalab kalitlarini qidirmoqda.
顿	ovqat uchun hisob so'zi	Biz birga kechki ovqat yedik.
多亏	rahmat; tufayli	Sizning yordamingiz tufayli vazifani tugatdim.
多余	ortiqcha	Bu gap ortiqcha.
朵	gul uchun hisob so'zi	Stol ustida bir dona gul bor.
躲藏	yashirinmoq	Mushukcha karavot ostiga yashiringan.
恶劣	juda yomon	Bugungi ob-havo juda yomon.
耳环	sirg'a	U bir juft sirg'a taqqan.
发表	bildirmoq; e'lon qilmoq	U yig'ilishda o'z fikrini bildirdi.
发愁	tashvishlanmoq	Bu kichik masala uchun tashvishlanmang.
发达	rivojlangan	Bu shaharda transport yaxshi rivojlangan.
发抖	titramoq	U sovuqdan titrayapti.
发挥	ishga solmoq; namoyon qilmoq	Iltimos, tasavvuringizni ishga soling.
发明	ixtiro	Elektr chiroq muhim ixtirodir.
发票	hisob-faktura	Iltimos, menga hisob-faktura yozib bering.
发言	so'zga chiqmoq	U yig'ilishda so'zga chiqdi.
罚款	jarima	Noqonuniy parkovka uchun jarima solinadi.
法院	sud	Bu ish sudga topshirildi.
翻	varaqlamoq; ag'darmoq	Iltimos, kitobni o'ninchi betga varaqlang.
繁荣	gullab-yashnagan	Iqtisodiyot asta-sekin gullab-yashnamoqda.
反而	aksincha	U jahli chiqmadi, aksincha kuldi.
反复	takror-takror	Bu gapni takror-takror mashq qilish kerak.
反应	reaksiya; javob	Uning reaksiyasi tez.
反映	aks ettirmoq	Bu hisobot haqiqiy vaziyatni aks ettiradi.
反正	baribir	Baribir ertaga vaqtim bor.
范围	doira; ko'lam	Iltimos, bu doiradan chiqib ketmang.
方	kvadrat	Iltimos, qog'ozga kvadrat chizing.
方案	reja; loyiha	Bu reja ancha oqilona.
方式	usul	Bu o'qish usuli juda samarali.
妨碍	xalaqit bermoq	Iltimos, boshqalarning ishiga xalaqit bermang.
仿佛	go'yo	U go'yo hamma narsani biladigandek.
非	bo'lmasdan; shart	Bu ish sizsiz bo'lmaydi.
肥皂	sovun	Qo'l yuvganda sovun ishlating.
废话	bekor gap	Bekor gapni to'xtating va tezroq boshlang.
分别	ajralmoq; farqlamoq	Ular bekatda ajralishdi.
分布	tarqalgan	Bu do'konlar butun shahar bo'ylab tarqalgan.
分配	taqsimlamoq	O'qituvchi yangi vazifa taqsimladi.
分手	ajrashmoq	Ular o'tgan yili ajrashishdi.
分析	tahlil qilmoq	Biz sabablarni tahlil qilishimiz kerak.
纷纷	birma-bir; ketma-ket	Hamma ketma-ket roziligini bildirdi.
奋斗	kurashmoq; intilmoq	Yoshlar orzulari uchun intilishi kerak.
疯狂	aqldan ozgancha; telbalarcha	Muxlislar telbalarcha qichqirdi.
风格	uslub	Bu restoranning uslubi juda o'ziga xos.
风景	manzara	Tog'dagi manzara chiroyli.
风俗	urf-odat	Har joyning o'z urf-odati bor.
风险	xavf; risk	Investitsiyada ma'lum darajada risk bor.
讽刺	hajv qilmoq; kinoya	Bu maqola ijtimoiy muammolarni hajv qildi.
否定	rad etmoq	U bu da'voni rad etdi.
否认	inkor etmoq	U xato qilganini inkor etdi.
幅	rasm uchun hisob so'zi	Devorda bir rasm osilib turibdi.
扶	suyamoq; yordam bermoq	Iltimos, keksalarga yo'ldan o'tishda yordam bering.
服装	kiyim-kechak	Bu do'kon bolalar kiyimlarini sotadi.
辅导	repetitorlik qilmoq; yo'l-yo'riq bermoq	O'qituvchi darsdan keyin o'quvchilarga yordam beradi.
复制	nusxa ko'chirmoq	Iltimos, bu hujjatdan nusxa ko'chiring.
妇女	ayol	Bu shifoxona ayollarga xizmat ko'rsatadi.
改革	islohot	Maktab ta'lim islohotini amalga oshirmoqda.
改进	yaxshilamoq	Biz xizmat sifatini yaxshilashimiz kerak.
改善	yaxshilamoq	Mashq qilish uyquni yaxshilashi mumkin.
改正	tuzatmoq	Iltimos, xatolarni vaqtida tuzating.
概括	qisqacha bayon qilmoq	Iltimos, maqola mazmunini qisqacha bayon qiling.
概念	tushuncha	Bu tushunchani tushunish unchalik oson emas.
盖	qopqoq; yopmoq	Iltimos, piyolani yaxshilab yoping.
干脆	yaxshisi; ochiqchasiga	Yaxshisi, bugun bormang.
干燥	quruq	Shimolda qish juda quruq bo'ladi.
感激	minnatdor	Men yordamingizdan juda minnatdorman.
感受	his; his qilmoq	Men sizning hislaringizni tushuna olaman.
感想	taassurot; fikr	Iltimos, o'z taassurotlaringiz haqida gapiring.
赶紧	shoshilmoq	Kech bo'lyapti, shoshilib yo'lga chiqing.
赶快	tezda; darhol	Eshikni tezda yoping.
干活儿	ishlamoq; qo'l mehnati qilmoq	U hovlida ishlayapti.
钢铁	po'lat	Bu ko'prik po'latdan qilingan.
高档	yuqori sifatli; hashamatli	Bu yuqori darajadagi mehmonxona.
高级	yaxshi darajadagi; ilg'or	U yuqori darajadagi xitoy tili sinfiga qo'shildi.
搞	tashkil qilmoq; qilmoq	Qanday tadbir tashkil qilyapsiz?
告别	xayrlashmoq	Biz aeroportda do'stimiz bilan xayrlashdik.
格外	ayniqsa	Bugun osmon ayniqsa moviy.
隔壁	qo'shni; yon xona	Qo'shnida bir o'qituvchi yashaydi.
个别	alohida; ayrim	Ayrim talabalar hali uy vazifasini topshirmadi.
个人	shaxsiy	Bu mening shaxsiy fikrim.
个性	shaxsiyat; o'ziga xoslik	Uning shaxsiyati kuchli.
各自	har kim o'ziniki	Har kim o'z vazifasini bajaradi.
根	uzun narsalar uchun hisob so'zi	Stol ostida bir sim bor.
根本	umuman; asosiy	Bu muammo umuman qiyin emas.
公布	e'lon qilmoq	Maktab imtihon natijalarini e'lon qildi.
公开	ochiq; ommaviy	Bu yig'ilish ochiq.
公平	adolatli	Musobaqa adolatli bo'lishi kerak.
公寓	kvartira	U kichik kvartirani ijaraga oldi.
公元	milodiy	Bu yil milodiy 2026-yil.
公主	malika	Kichkina qiz malika hikoyalarini yaxshi ko'radi.
功能	funksiya	Bu dasturda ko'p funksiyalar bor.
工厂	zavod	Bu zavod avtomobil ishlab chiqaradi.
工程师	muhandis	Akam muhandis.
工具	asbob	Velosiped ta'mirlash uchun asboblar kerak.
工人	ishchi	Ishchilar yo'lni ta'mirlashmoqda.
工业	sanoat	Bu shahar asosan sanoatga tayanadi.
恭喜	tabriqlamoq	Imtihondan o'tganingiz bilan tabriklayman.
贡献	hissa qo'shmoq	U kompaniyaga hissa qo'shdi.
沟通	muloqot qilmoq	Yaxshi muloqot juda muhim.
构成	tashkil etmoq	Bu qismlar bir butunni tashkil etadi.
姑姑	ota tomondan xola	Bu hafta oxirida xolamnikiga boraman.
姑娘	qiz; yosh ayol	Anavi qiz juda mehribon.
古代	qadimgi zamon	Qadimgi zamonda mobil telefonlar yo'q edi.
古典	klassik	Men klassik musiqani yaxshi ko'raman.
股票	aksiya	U bir nechta aksiya sotib oldi.
骨头	suyak	Bu suyak juda qattiq.
鼓舞	ruhlantirmoq	Bu xabar juda ruhlantiruvchi.
鼓掌	qarsak chalmoq	Tomoshabinlar aktyorlarga qarsak chaldi.
固定	doimiy; belgilangan	Mening ish vaqtim belgilangan.
挂号	ro'yxatdan o'tmoq; navbat olish	Shifokorga ko'rinishdan oldin ro'yxatdan o'tish kerak.
乖	odobli	Bu bola juda odobli.
拐弯	burilmoq	Oldindagi chorrahada o'ngga buriling.
怪不得	shuning uchun ekan	Shuning uchun bunchalik charchagan ekansiz.
关闭	yopmoq	Ketishdan oldin kompyuterni o'chiring.
官	amaldor	U yosh amaldor.
观察	kuzatmoq	Shifokor bemorning holatini kuzatmoqda.
观点	nuqtai nazar	Men sizning nuqtai nazaringizga qo'shilaman.
观念	tushuncha; qarash	Yoshlarning qarashlari o'zgarmoqda.
管子	quvur	Bu quvurdan suv oqmoqda.
冠军	chempion	U musobaqada chempion bo'ldi.
光滑	silliq	Bu stolning yuzasi juda silliq.
光临	tashrif buyurmoq	Keyingi safar yana tashrif buyurishingizni kutamiz.
光明	yorug'; porloq	Kelajak porloq.
光盘	disk	Iltimos, materiallarni diskka saqlang.
广场	maydon	Maydonda odamlar ko'p.
广大	keng; ko'p sonli	Bu xabar ko'p sonli talabalar tomonidan olqishlandi.
广泛	keng	Bu kitob keng ta'sirga ega.
归纳	xulosa qilmoq	O'qituvchi bizga asosiy fikrlarni xulosa qilishda yordam berdi.
规矩	qoida	Bolalar qoidalarni tushunishi kerak.
规律	qonuniyat; muntazamlik	Hayotda muntazam ritm bo'lishi kerak.
规模	ko'lam	Bu kompaniyaning ko'lami katta.
规则	qoida	Musobaqa qoidalari juda aniq.
柜台	kassa; peshtaxta	Iltimos, kassada to'lang.
滚	qaynamoq; dumalamoq	Suv allaqachon qaynayapti.
锅	qozon; kastryulka	Qozonda issiq sho'rva bor.
国庆节	Milli bayram kuni	Milli bayram kuni bizda ta'til bor.
国王	podshoh	Podshoh saroyda yashaydi.
果然	kutilganidek	Kutilganidek, u vaqtida yetib keldi.
果实	meva; natija	Daraxt mevalarga to'la.
过分	ortiqcha; haddan tashqari	Uning talabi biroz ortiqcha.
过敏	allergiya bo'lmoq	Menda gul changiga allergiya bor.
过期	muddati o'tmoq	Bu sutning muddati allaqachon o'tgan.
哈	ha; kulgi	Ha, nihoyat tushundim.
海关	bojxona	Biz bojxonada tekshiruv uchun navbatga turdik.
海鲜	dengiz mahsulotlari	Bu restoranning dengiz mahsulotlari juda yangi.
喊	baqirmoq	Sinfda baland ovozda baqirmang.
行业	soha; tarmoq	Turizm sohasi tez rivojlanmoqda.
豪华	hashamatli	Ular hashamatli mehmonxonada turishibdi.
好客	mehmondo'st	Mahalliy odamlar juda mehmondo'st.
好奇	qiziquvchan	Bolalar dunyoga juda qiziquvchan.
何必	nima keragi bor	Kichik masala uchun jahlingiz chiqishining nima keragi bor?
何况	ustiga-ustak	Bugun sovuq, ustiga-ustak yomg'ir yog'yapti.
合法	qonuniy	Bu shartnoma qonuniy.
合理	oqilona; asosli	Bu narx oqilona.
合同	shartnoma	Ular shartnoma imzolashdi.
合影	guruh surati	Bitiruvda guruh surati tushdik.
合作	hamkorlik qilmoq	Biz hamkorlik orqali loyihani yakunladik.
和平	tinchlik	Hamma tinchlikni xohlaydi.
核心	yadro; asos	Ishonch hamkorlikning asosidir.
恨	afsuslanmoq; yomon ko'rmoq	U oldinroq tirishib ishlamaganidan afsuslanadi.
猴子	maymun	Hayvonot bog'ida bir nechta maymun bor.
后背	orqa; bel	Uning beli biroz og'riyapti.
后果	oqibat	Siz oqibatlarni hisobga olishingiz kerak.
呼吸	nafas olmoq	Iltimos, chuqur nafas oling.
忽然	to'satdan	Osmon to'satdan qorong'ilashdi.
忽视	e'tiborsiz qoldirmoq	Bu muammoni e'tiborsiz qoldirmang.
壶	choynak	Stol ustida bir choynak choy bor.
糊涂	chalkash; gangib qolgan	Bugun boshim biroz chalkash.
胡说	bekor gap gapirmoq	Bekor gap gapirmang, bu rost emas.
胡同	tor ko'cha; xiyobon	Pekinda ko'p eski tor ko'chalar bor.
蝴蝶	kapalak	Bog'da bir kapalak bor.
花生	yeryong'oq	U yeryong'oq yeyishni yaxshi ko'radi.
华裔	xitoylik kelib chiqishli	U xitoylik kelib chiqishli yozuvchi.
滑	sirpanchiq; silliq	Pol sirpanchiq, ehtiyot bo'ling.
划	eshkak eshmoq	Qayiqda ketayotganda eshkak eshish uning vazifasi.
化学	kimyo	U universitetda kimyo o'qigan.
话题	mavzu	Bu mavzu juda qiziqarli.
