source_headword	HY	example_HY
delicate	նուրբ	Նուրբ ապակին հեշտությամբ կոտրվեց։
demon	դև	Պատմությունը նկարագրում է հնագույն մի դևի։
denial	ժխտում	Նրա ժխտումը զայրացրեց զոհերին։
denounce	դատապարտել	Առաջնորդները դատապարտում են բռնությունը դպրոցներում։
dense	խիտ	Խիտ անտառը փակեց արևի լույսը։
density	խտություն	Բնակչության խտությունը բարձր է քաղաքի կենտրոնում։
dependence	կախվածություն	Երկրի նավթից կախվածությունը նվազել է։
depict	պատկերել	Որմնանկարը պատկերում է գյուղական կյանքը։
deploy	տեղակայել	Բանակը կտեղակայի լրացուցիչ անձնակազմ։
deployment	տեղակայում	Զորքերի տեղակայումը սկսվեց երկուշաբթի։
deprive	զրկել	Քնի պակասը կարող է զրկել ուսանողներին կենտրոնացումից։
deputy	տեղակալ	Տեղակալը ստորագրեց համաձայնագիրը։
descend	իջնել	Արահետը սկսեց կտրուկ իջնել։
descent	վայրէջք	Ինքնաթիռը սկսեց իր վայրէջքը։
designate	նշանակել	Քաղաքը կնշանակի նոր զբոսայգի։
desirable	ցանկալի	Լավ լուսավորությունը ցանկալի է դասասենյակներում։
desktop	աշխատասեղան	Ֆայլն իմ աշխատասեղանին է։
destructive	կործանարար	Փոթորիկն ուներ կործանարար ուժ։
detain	ձերբակալել	Ոստիկանությունը կարող է կասկածյալներին ձերբակալել գիշերով։
detection	հայտնաբերում	Վաղ հայտնաբերումը բարելավում է քաղցկեղի բուժումը։
detention	կալանք	Ուսանողները բողոքեցին կալանքի պայմանների դեմ։
deteriorate	վատթարանալ	Նրա առողջությունը սկսեց վատթարանալ։
devastate	ավերել	Երկրաշարժը կարող է ավերել ափամերձ քաղաքները։
devil	սատանա	Երեխան նկարեց ժպտացող սատանա։
devise	մշակել	Ինժեներները մշակում են ավելի անվտանգ տրանսպորտային համակարգեր։
diagnose	ախտորոշել	Բժիշկներն ախտորոշում են հիվանդությունը արյան անալիզներով։
diagnosis	ախտորոշում	Ախտորոշումը բացատրեց նրա ախտանիշները։
dictate	թելադրել	Պայմանագիրը կթելադրի վճարման պայմանները։
dictator	բռնապետ	Բռնապետը վերահսկում էր լրատվամիջոցները։
differentiate	տարբերակել	Կարո՞ղ եք տարբերակել փաստը կարծիքից։
dignity	արժանապատվություն	Բոլորն արժանի են արժանապատվության աշխատավայրում։
dilemma	երկընտրանք	Ղեկավարը կանգնեց լուրջ երկընտրանքի առաջ։
dimension	չափում	Խնդիրն ունի քաղական չափում։
diminish	նվազել	Ցավը պետք է դանդաղ նվազի։
dip	իջնել	Ջերմաստիճանը կարող է իջնել զրոյից ցածր։
diplomat	դիվանագետ	Դիվանագետը հանդիպեց օտարերկրյա ղեկավարների հետ։
diplomatic	դիվանագիտական	Դիվանագիտական բանակցությունները շարունակվեցին ողջ գիշեր։
directory	տեղեկատու	Փնտրեք նրա համարը տեղեկատուի մեջ։
disastrous	աղետալի	Աղետալի ջրհեղեղը ավերեց մի քանի կամուրջ։
discard	դեն նետել	Դեն մի նետեք օգտակար գրառումները։
discharge	դուրս գրել	Հիվանդանոցը նրան դուրս կգրի վաղը։
disclose	բացահայտել	Պաշտոնյաները հրաժարվեցին բացահայտել թվերը։
disclosure	բացահայտում	Բացահայտումը ցնցեց խորհրդին։
discourse	դիսկուրս	Հանրային դիսկուրսը դարձավ ավելի քաղաքավարի։
discretion	հայեցողություն	Օգտագործեք ձեր հայեցողությունը զգայուն դեպքերի հետ։
discrimination	խտրականություն	Օրենքն արգելում է խտրականությունը աշխատանքի ընդունելիս։
dismissal	հեռացում	Նրա հեռացումը առաջացրեց հանրային զայրույթ։
displace	տեղահանել	Պատերազմը կարող է տեղահանել հազարավոր մարդկանց։
disposal	հեռացում	Թափոնների հեռացումը մնում է տեղական խնդիր։
dispose	ազատվել	Ընկերությունը պետք է անվտանգ կերպով ազատվի քիմիական նյութերից։
dispute	վեճ	Վեճը տևեց ամիսներ։
disrupt	խանգարել	Աղմուկը կարող է խանգարել կենտրոնացմանը։
disruption	խափանում	Գործադուլը լուրջ խափանում առաջացրեց։
dissolve	լուծվել	Շաքարը կլուծվի տաք թեյի մեջ։
distinction	տարբերություն	Նրանց միջև տարբերությունը կարևոր է։
distinctive	ինքնատիպ	Նա ունի բնորոշ ձայն։
distort	աղավաղել	Հայելին կարող է աղավաղել ձեր արտացոլանքը։
distress	տագնապ	Զանգը լուրջ տագնապ առաջացրեց։
disturbing	անհանգստացնող	Վավերագրական ֆիլմը ցույց տվեց անհանգստացնող տեսարաններ։
divert	շեղել	Ոստիկանությունը ստիպված էր շեղել երթևեկությունը։
divine	աստվածային	Մատուռն ունի աստվածային մթնոլորտ։
doctrine	դոկտրին	Կուսակցությունը մերժեց հին դոկտրինը։
documentation	փաստաթղթավորում	Լրացրեք փաստաթղթավորումը գործարկումից առաջ։
domain	դոմեն	Կայքն օգտագործում է անվտանգ դոմեն։
dominance	գերիշխանություն	Թիմի գերիշխանությունը տևեց մեկ տասնամյակ։
donor	դոնոր	Դոնորն այսօր արյուն հանձնեց։
dose	դեղաչափ	Նախաճաշից հետո մեկ դեղաչափ ընդունեք։
drain	արտահոսել	Ջուրն արտահոսելու է գետը։
drift	քշվել	Ծուխը սկսեց քշվել ճանապարհով։
driving	շարժիչ	Անձրևը ուշացումների շարժիչ գործոնն էր։
drown	խեղդվել	Երբեք մի լողացեք այնտեղ, որտեղ հոսանքները կարող են ձեզ խեղդել։
dual	կրկնակի	Սարքն ունի կրկնակի գործառույթ։
dub	անվանել	Քննադատները քաղաքն անվանում են մշակութային մայրաքաղաք։
dumb	հիմար	Դա հիմար սխալ էր։
duo	դուետ	Կատակերգական դուետը շրջագայեց Եվրոպայում։
eager	անհամբեր	Ուսանողներն անհամբեր էին սկսելու հարցում։
earnings	եկամուտներ	Ընկերության եկամուտները կտրուկ աճեցին։
ease	թեթևացնել	Նոր ճանապարհը կթեթևացնի երթևեկությունը։
echo	արձագանք	Նրա ձայնն արձագանքեց դահլիճում։
ecological	էկոլոգիական	Էկոլոգիական ազդեցությունը մնում է անորոշ։
educator	մանկավարժ	Մանկավարժը նոր դասընթաց նախագծեց։
effectiveness	արդյունավետություն	Ուսումնասիրությունը չափել է պատվաստանյութի արդյունավետությունը։
efficiency	արդյունավետություն	Լավագույն ծրագրակազմը բարելավեց արդյունավետությունը։
ego	էգո	Նրա էգոն խնդիրներ առաջացրեց աշխատավայրում։
elaborate	բարդ	Բարդ զգեստի պատրաստումը շաբաթներ տևեց։
electoral	ընտրական	Ընտրական համակարգը անցյալ տարի փոխվեց։
elevate	բարձրացնել	Մրցանակը կբարձրացնի նրա հեղինակությունը։
eligible	իրավասու	Զեղչերից օգտվելու իրավասու են միայն բնակիչները։
elite	էլիտա	Էլիտան մարզվում էր մասնավոր ակադեմիայում։
embark	սկսել	Նրանք կսկսեն երկար ճանապարհորդություն։
embarrassment	շփոթմունք	Նա ծիծաղեց՝ թաքցնելու իր շփոթմունքը։
embassy	դեսպանատուն	Դեսպանատունը նոր ճանապարհորդական խորհրդատվություն է տվել։
embed	ներդրվել	Լրագրողը կներդրվի ստորաբաժանման մեջ։
embody	մարմնավորել	Արձանը կարծես մարմնավորում է քաջություն։
emergence	հայտնվել	Հեռախոսների հայտնվելը փոխեց առօրյա կյանքը։
empirical	էմպիրիկ	Հոդվածը հիմնված է էմպիրիկ ապացույցների վրա։
empower	հզորացնել	Կրթությունը կարող է հզորացնել տեղական համայնքները։
enact	ընդունել	Խորհրդարանը քվեարկեց բարեփոխումն ընդունելու օգտին։
encompass	ընդգրկել	Դասընթացը կընդգրկի ժամանակակից պատմությունը։
encouragement	խրախուսում	Նրա խրախուսումն օգնեց նրան շարունակել։
encouraging	հուսադրող	Վաղ արդյունքները հուսադրող են թվում։
endeavour	ջանք	Փրկարարական աշխատանքը դժվարին ջանք էր։
endless	անվերջ	Անապատն անվերջ էր թվում։
endorse	սատարել	Միությունը հրաժարվեց սատարել թեկնածուին։
endorsement	աջակցություն	Նրա աջակցությունը խթանեց նրա արշավը։
endure	դիմանալ	Բույսերը կարող են դիմանալ դաժան ձմեռներին։
enforce	կիրարկել	Ոստիկանությունը կիրարկում է արագության սահմանափակումը։
enforcement	կիրարկում	Խիստ կիրարկումը նվազեցրեց ապօրինի աղբավայրերը։
engagement	ներգրավվածություն	Ուսանողների ներգրավվածությունն այս կիսամյակում բարելավվել է։
engaging	գրավիչ	Բանախոսը գրավիչ ելույթ ունեցավ։
enquire	հարցնել	Խնդրում ենք հարցնել ընդունարանում։
enrich	հարստացնել	Ճանապարհորդությունը կարող է հարստացնել ձեր ընկալումը։
enrol	գրանցվել	Ուսանողները պետք է գրանցվեն մինչև սեպտեմբեր։
ensue	հաջորդել	Հայտարարությանը կարող է քաոս հաջորդել։
enterprise	ձեռնարկություն	Ձեռնարկությունն աշխատանքի է ընդունում տեղացի արվեստագետների։
enthusiast	էնտուզիաստ	Հեծանվային սպորտի յուրաքանչյուր էնտուզիաստ գիտի այս երթուղին։
entitle	իրավունք տալ	Տոմսը ձեզ մուտքի իրավունք կտա։
entity	սուբյեկտ	Ընկերությունն առանձին իրավաբանական սուբյեկտ է։
epidemic	համաճարակ	Համաճարակը տարածվեց մի քանի շրջաններում։
equality	հավասարություն	Շարժումը պայքարում էր հավասարության համար։
equation	հավասարում	Հավասարումը պարունակում է երկու անհայտ։
erect	կառուցել	Բանվորները նոր պարիսպ կկառուցեն։
escalate	սրվել	Կոնֆլիկտը կարող է արագ սրվել։
essence	էություն	Բանաստեղծությունն արտացոլում է մանկության էությունը։
establishment	կառույց	Կառույցը դեմ էր բարեփոխմանը։
eternal	հավերժական	Նրանք հավերժական ընկերություն խոստացան։
evacuate	տարհանել	Հրշեջներն օգնեցին բնակիչներին անվտանգ տարհանվել։
evoke	արթնացնել	Երգը կարող է արթնացնել ուժեղ հիշողություններ։
evolutionary	էվոլյուցիոն	Բրածոն ցույց է տալիս էվոլյուցիոն փոփոխություն։
exaggerate	չափազանցնել	Մի չափազանցրեք ձեր փորձը։
excellence	գերազանցություն	Դպրոցը պարգևատրում է ակադեմիական գերազանցությունը։
exceptional	բացառիկ	Նա ցուցաբերեց բացառիկ հմտություն։
excess	ավելորդ	Ավելորդ ջուրը հեղեղեց նկուղը։
exclusion	մեկուսացում	Սոցիալական մեկուսացումը վնասում է երիտասարդներին։
exclusive	բացառիկ	Ակումբն առաջարկում է բացառիկ մուտք։
exclusively	բացառապես	Այս սենյակն օգտագործվում է բացառապես անձնակազմի կողմից։
execute	իրագործել	Թիմն ուշադիր կիրագործի ծրագիրը։
execution	իրագործում	Ռազմավարության իրագործումը տևեց ամիսներ։
exert	գործադրել	Դուք պետք է ավելի շատ ճնշում գործադրեք։
exile	աքսոր	Գրողն ապրում էր աքսորում։
expenditure	ծախսեր	Պետական ծախսերն անցյալ տարի աճել են։
experimental	փորձարարական	Բուժումը դեռ փորձարարական է։
expire	ժամկետը լրանալ	Իմ անձնագրի ժամկետը շուտով կլրանա։
explicit	հստակ	Հրահանգները հստակ էին։
explicitly	հստակորեն	Կանոնները հստակորեն արգելում են ծխելը։
exploitation	շահագործում	Զեկույցը բացահայտեց աշխատողների շահագործումը։
explosive	պայթուցիկ	Պայթուցիկ սարքն անվտանգ հեռացվեց։
extremist	ծայրահեղական	Ծայրահեղական խումբը կորցրեց աջակցությունը։
facilitate	հեշտացնել	Հավելվածը կհեշտացնի հեռավար ուսուցումը։
faction	խմբակցություն	Մի խմբակցությունը դեմ դուրս եկավ առաջնորդին։
faculty	ֆակուլտետ	Ֆակուլտետը հաստատեց առաջարկը։
fade	խամրել	Արևի տակ ներկը կխամրի։
fairness	արդարություն	Արդարությունը կարևոր է յուրաքանչյուր մրցույթում։
fatal	մահացու	Վթարը մահացու վնասվածքների պատճառ դարձավ։
fate	ճակատագիր	Ոչ ոք չգիտեր նրա ճակատագիրը։
favourable	բարենպաստ	Գնահատականը բարենպաստ էր։
feat	սխրանք	Այդ գագաթը մագլցելը սխրանք էր։
feminist	ֆեմինիստական	Ֆեմինիստական շարժումը փոխեց հանրային բանավեճը։
fibre	մանրաթել	Այս հացը պարունակում է լրացուցիչ մանրաթել։
fierce	կատաղի	Կատաղի փոթորիկը վնասել է տանիքները։
film-maker	կինոռեժիսոր	Կինոռեժիսորը հետագայում պատասխանեց հարցերին։
filter	զտիչ	Զտիչը մաքրում է օդի փոշին։
fine	տուգանք	Ընկերությունը տուգանք է վճարել։
firearm	հրազեն	Սպան գտել է գողացված հրազենը։
fit	համապատասխանություն	Նոր կոշիկները իդեալական են համապատասխանում։
fixture	մշտական մաս	Լամպը մշտական մաս է կազմում։
flaw	թերություն	Դիզայնն ունի մեկ լուրջ թերություն։
flawed	թերի	Թերի ուսումնասիրությունը սխալ արդյունքներ տվեց։
flee	փախչել	Ընտանիքները ստիպված էին փախչել կռվից։
fleet	նավատորմ	Ավիաընկերությունը թարմացրեց իր պարկը։
flesh	միս	Փուշը ծակեց նրա մարմինը։
flexibility	ճկունություն	Հեռավար աշխատանքը ավելի շատ ճկունություն է առաջարկում։
flourish	բարգավաճել	Փոքր բիզնեսներն այստեղ կարող են բարգավաճել։
fluid	հեղուկ	Մարզվելուց հետո շատ հեղուկ խմեք։
footage	տեսանյութ	Կադրերը ցույց տվեցին վթարը։
foreigner	օտարերկրացի	Ձևաթուղթը հարցնում է, արդյոք դուք օտարերկրացի եք։
forge	ստեղծել	Նրանք փորձեցին ստեղծել նոր դաշինք։
formula	բանաձև	Բանաձևը լուծեց խնդիրը։
formulate	ձևակերպել	Գիտնականները ձևակերպում են նոր տեսություն։
forth	առաջ	Գետը նավակը առաջ տարավ։
forthcoming	առաջիկա	Առաջիկա զեկույցը կբացատրի ամեն ինչ։
foster	խթանել	Ծրագիրն օգնում է խթանել անկախությունը։
fragile	փխրուն	Փխրուն ծաղկամանը զգույշ վերաբերմունք է պահանջում։
franchise	ֆրանշիզա	Ռեստորանը դարձավ գլոբալ ֆրանշիզա։
frankly	անկեղծ ասած	Անկեղծ ասած, մեզ ավելի շատ ժամանակ է պետք։
frustrated	հիասթափված	Բանվորները հիասթափված էին ուշացումից։
frustrating	հիասթափեցնող	Դանդաղ կապը հիասթափեցնող էր։
frustration	հիասթափություն	Հանդիպման ընթացքում հիասթափությունն աճեց։
functional	գործառութային	Հին խոհանոցը դեռ աշխատում է։
fundraising	դրամահավաք	Դրամահավաքը կսկսվի հաջորդ շաբաթ։
funeral	հուղարկավորություն	Հուղարկավորությունը տեղի ունեցավ ուրբաթ օրը։
gallon	գալոն	Բաքը պարունակում է մեկ գալոն։
gambling	մոլախաղ	Մոլախաղերը սահմանափակված են օրենքով։
gathering	հավաք	Հավաքը խաղաղ ավարտվեց։
gaze	հայացք	Նա կարճ ժամանակով պահեց նրա հայացքը։
gear	հանդերձանք	Փաթեթավորեք անվտանգության հանդերձանքը մագլցելուց առաջ։
generic	ընդհանուր	Ընդհանուր տարբերակը ավելի էժան է։
genocide	ցեղասպանություն	Ցեղասպանությունը խորը ազգային տրավմա թողեց։
glance	հայացք	Նա արագ հայացք գցեց։
glimpse	կարճ հայացք	Ես մի պահ տեսա ծովը։
glorious	փառահեղ	Թիմը տոնեց փառահեղ հաղթանակ։
glory	փառք	Նա երազում էր օլիմպիական փառքի մասին։
governance	կառավարում	Լավ կառավարումը թափանցիկություն է պահանջում։
grace	արժանապատվություն	Նա արժանապատվորեն ընդունեց պարտությունը։
grasp	հասկանալ	Նա չկարողացավ հասկանալ հայեցակարգը։
grave (for dead person)	գերեզման	Գերեզմանը ծածկված էր ծաղիկներով։
grave (serious)	լուրջ	Իրավիճակը մնում է ծանր։
gravity	ձգողականություն	Ձգողականությունը քաշում է առարկաները դեպի Երկիր։
grid	ցանց	Քարտեզն օգտագործում է պարզ ցանց։
grief	վիշտ	Վիշտը փոխեց նրա ամբողջ ընտանիքը։
grin	ժպիտ	Տղան լայն ժպտաց։
grind	աղալ	Բանվորները ամեն առավոտ աղում են հատիկները։
grip	բռնել	Ամուր բռնեք պարանից։
gross	համախառն	Համախառն եկամուտը կտրուկ աճեց։
guerrilla	պարտիզան	Պարտիզան մարտիկները թաքնվեցին բլուրներում։
guidance	ուղղորդում	Ուղեցույցը տրամադրում է գործնական ուղղորդում։
guilt	մեղք	Նա մեղքի զգացում ունեցավ ստելուց հետո։
gut	ինտուիցիա	Դժվար ընտրությունների ժամանակ վստահեք ձեր ներքին ձայնին։
hail	հռչակել	Գյուղացիները բժշկին որպես հերոս են հռչակում։
halfway	կիսաճանապարհին	Մենք կանգ առանք բլրի կիսաճանապարհին։
halt	կանգ առնել	Գնացքը հանկարծակի կանգ առավ։
handful	մի բուռ	Մի բուռ կամավորներ մնացին մինչև ուշ։
handling	վարվելակերպ	Ճիշտ վարվելակերպը կանխում է վնասը։
handy	հարմար	Այս գործիքը հարմար է վերանորոգման համար։
harassment	ոտնձգություն	Ընկերությունը հետաքննեց ոտնձգության բողոքները։
hardware	սարքավորումներ	Խանութը վաճառում է համակարգչային սարքավորումներ։
harmony	ներդաշնակություն	Երգչախումբը երգում էր կատարյալ ներդաշնակությամբ։
harsh	խիստ	Դատավորը խիստ պատիժ նշանակեց։
harvest	բերքահավաք	Բերքահավաքը սկսվում է սեպտեմբերին։
haunt	հետապնդել	Հիշողությունը շարունակում էր հետապնդել նրան։
hazard	վտանգ	Սառույցը ճանապարհային լուրջ վտանգ է։
heighten	սրել	Ելույթը կարող է սրել լարվածությունը։
heritage	ժառանգություն	Ամրոցը տեղական ժառանգության մի մասն է։
hierarchy	աստիճանակարգություն	Գրասենյակի աստիճանակարգությունը հստակ սահմանված է։
high-profile	հնչեղ	Հնչեղ դատավարությունը գրավեց լրագրողներին։
hint	ակնարկ	Նա ինձ օգտակար ակնարկ արեց։
homeland	հայրենիք	Նա վերադարձավ իր հայրենիք։
hopeful	լավատես	Բժիշկները լավատես են ապաքինման հարցում։
horizon	հորիզոն	Արևը անհետացավ հորիզոնի տակ։
horn	ազդանշան	Մեքենայի ազդանշանը արթնացրեց բոլորին։
hostage	պատանդ	Պատանդը վերադարձավ տուն։
hostile	թշնամական	Ամբոխը դարձավ թշնամական։
hostility	թշնամանք	Բացահայտ թշնամանքը վերջ դրեց բանակցություններին։
humanitarian	մարդասիրական	Մարդասիրական առաքելությունը սնունդ մատակարարեց։
humanity	մարդկություն	Մարդկությունը կանգնած է ընդհանուր մարտահրավերների առաջ։
humble	համեստ	Հաջողությունից հետո նա մնաց համեստ։
hydrogen	ջրածին	Ջրածինը շատ հեշտությամբ է այրվում։
identification	նույնականացում	Մուտքի մոտ պահանջվում է անձը հաստատող փաստաթուղթ։
ideological	գաղափարախոսական	Վեճն ուներ գաղափարախոսական արմատներ։
ideology	գաղափարախոսություն	Նրա գաղափարախոսությունը ձևավորեց ամեն մի ելույթ։
idiot	ապուշ	Ոչ մեկին ապուշ մի անվանիր։
ignorance	տգիտություն	Տգիտությունը կարող է վախ տարածել։
imagery	պատկերավորում	Բանաստեղծությունը օգտագործում է վառ պատկերավորում։
immense	հսկայական	Նախագիծը հսկայական ջանքեր պահանջեց։
imminent	վերահաս	Փոթորիկը վերահաս էր թվում։
implementation	իրականացում	Օրենքի իրականացումը դանդաղ էր։
imprison	բանտարկել	Ռեժիմը փորձեց բանտարկել քննադատներին։
imprisonment	բանտարկություն	Նրա բանտարկությունը տևեց հինգ տարի։
inability	անկարողություն	Նրա կենտրոնանալու անկարողությունը անհանգստացնում էր ուսուցիչներին։
inadequate	անբավարար	Ապաստանն ուներ անբավարար ջեռուցում։
inappropriate	անտեղի	Նրա կատակն անտեղի էր։
incidence	տարածվածություն	Գրիպի տարածվածությունը աճեց։
inclined	հակված	Նա հակված է համաձայնել։
inclusion	ներառում	Դպրոցը խթանում է ներառումը։
