source_headword	ES	example_ES
legislature	la legislatura	La legislatura aprobó el presupuesto.
legitimate	legítimo	Plantearon preocupaciones legítimas.
lengthy	prolongado	El prolongado debate retrasó la votación.
lesbian	lésbico	La activista lésbica habló en el foro.
lesser	menor	Elige el riesgo menor.
lethal	letal	La sustancia química puede ser letal.
liable	responsable	Los conductores son responsables de los daños.
liberal	liberal	Él apoya políticas sociales liberales.
liberation	la liberación	La liberación cambió el futuro del país.
liberty	la libertad	La ley protege la libertad personal.
license	licenciar	El estado puede otorgar licencias a nuevas clínicas.
lifelong	para toda la vida	Ella hizo amigos para toda la vida allí.
likelihood	la probabilidad	La probabilidad de lluvia aumentó.
limb	la extremidad	La extremidad lesionada sanó lentamente.
linear	lineal	El gráfico muestra una tendencia lineal.
line-up	el cartel	El cartel del festival incluye bandas locales.
linger	persistir	El olor puede persistir durante horas.
listing	el anuncio	El anuncio del apartamento parecía preciso.
literacy	la alfabetización	Los programas de alfabetización de adultos se expandieron.
liver	el hígado	El hígado filtra sustancias nocivas.
lobby	el vestíbulo	El vestíbulo estaba lleno después del mediodía.
log	el registro	El sistema mantiene un registro diario.
logic	la lógica	La lógica de su argumento falló.
long-standing	de larga data	Resolvieron una disputa de larga data.
long-time	desde hace mucho tiempo	Ella es voluntaria desde hace mucho tiempo.
loom	asomar	Nubes oscuras asoman sobre el valle.
loop	el bucle	El sendero forma un bucle.
loyalty	la lealtad	Su lealtad impresionó al equipo.
machinery	la maquinaria	La fábrica instaló nueva maquinaria.
magical	mágico	El jardín se veía mágico por la noche.
magistrate	el magistrado	El magistrado escuchó el caso.
magnetic	magnético	El campo magnético afectó la brújula.
magnitude	la magnitud	La magnitud del daño estaba clara.
mainland	el continente	El ferry conecta las islas con el continente.
mainstream	la corriente principal	La idea entró en la política de la corriente principal.
maintenance	el mantenimiento	El mantenimiento regular previene averías.
mandate	el mandato	El presidente reclamó un mandato fuerte.
mandatory	obligatorio	La asistencia es obligatoria para los aprendices.
manifest	manifestarse	Los síntomas pueden manifestarse después de semanas.
manipulate	manipular	No manipules los resultados de la encuesta.
manipulation	la manipulación	Se descubrió la manipulación de datos.
manuscript	el manuscrito	El editor aceptó su manuscrito.
march	marchar	Los manifestantes marcharán por el centro.
marginal	marginal	El cambio tuvo beneficios marginales.
marine	marino	La vida marina necesita agua limpia.
marketplace	el mercado	El mercado en línea se expandió rápidamente.
mask	la mascarilla	Los trabajadores deben usar mascarilla.
massacre	la masacre	La masacre conmocionó a toda la región.
mathematical	matemático	El modelo matemático predijo la demanda.
mature	maduro	Los árboles maduros dan sombra.
maximize	maximizar	La actualización maximizará la duración de la batería.
meaningful	significativo	Tuvieron una conversación significativa.
meantime	el ínterin	Mientras tanto, espera afuera.
medieval	medieval	El castillo tiene murallas medievales.
meditation	la meditación	La meditación diaria calma su mente.
melody	la melodía	La melodía se quedó en mi cabeza.
memo	el memorándum	El memorándum explicaba la política.
memoir	las memorias	Sus memorias describen el exilio infantil.
memorial	el monumento	El monumento honra a los soldados locales.
mentor	el mentor	Su mentor revisó la propuesta.
merchant	el comerciante	El comerciante vendía seda y especias.
mercy	la piedad	El juez mostró piedad.
mere	mero	Una mera mirada reveló el error.
merely	meramente	Ella meramente repitió las instrucciones.
merge	fusionarse	Las dos empresas se fusionarán.
merger	la fusión	La fusión creó un banco más grande.
merit	el mérito	La propuesta tiene un mérito claro.
methodology	la metodología	El estudio explica su metodología.
midst	el medio	Trabajaron en medio del caos.
migration	la migración	La migración estacional afecta los empleos locales.
militant	el militante	El grupo militante rechazó las negociaciones.
militia	la milicia	La milicia controlaba la carretera.
mill	el molino	El viejo molino se convirtió en un museo.
minimal	mínimo	El plan requiere un esfuerzo mínimo.
minimize	minimizar	Debemos minimizar el riesgo innecesario.
mining	la minería	La minería dañó el valle del río.
ministry	el ministerio	El ministerio anunció nuevas reglas.
minute2	diminuto	Una diminuta grieta apareció en el cristal.
miracle	el milagro	Su recuperación pareció un milagro.
misery	la miseria	Los refugiados soportaron años de miseria.
misleading	engañoso	El gráfico engañoso confundió a los lectores.
missile	el misil	La prueba de misiles elevó las tensiones.
mob	la multitud	La multitud enfurecida bloqueó el tráfico.
mobility	la movilidad	Mejores autobuses mejoran la movilidad urbana.
mobilize	movilizar	Los líderes movilizan voluntarios rápidamente.
moderate	moderado	El candidato tiene opiniones moderadas.
modification	la modificación	El diseño necesita una modificación.
momentum	el impulso	La campaña ganó impulso rápidamente.
monk	el monje	El monje vivía en silencio.
monopoly	el monopolio	La empresa tenía un monopolio.
morality	la moralidad	El curso examina la moralidad pública.
motive	el motivo	La policía cuestionó su motivo.
motorist	el automovilista	El automovilista se detuvo en el semáforo en rojo.
municipal	municipal	Los servicios municipales mejoraron este año.
mutual	mutuo	Llegaron a un acuerdo mutuo.
namely	a saber	Queda un problema, a saber, la financiación.
nationwide	a nivel nacional	La huelga causó retrasos a nivel nacional.
naval	naval	La base naval cerró el año pasado.
neglect	descuidar	No descuides la seguridad básica.
neighbouring	vecino	Las ciudades vecinas compartían el hospital.
nest	el nido	El pájaro construyó un nido.
net	neto	El beneficio neto aumentó drásticamente.
newsletter	el boletín	El boletín llega todos los viernes.
niche	el nicho	La empresa encontró un nicho rentable.
noble	noble	Su noble gesto impresionó a todos.
nod	asentir	Por favor, asiente si entiendes.
nominate	nominar	Nominarán a un nuevo presidente.
nomination	la nominación	Su nominación sorprendió al comité.
nominee	el candidato	El nominado respondió a preguntas difíciles.
nonetheless	sin embargo	Sin embargo, el plan avanzó.
non-profit	sin fines de lucro	Ella trabaja para una clínica sin fines de lucro.
nonsense	el disparate	Ese rumor es un completo disparate.
noon	el mediodía	La reunión comienza al mediodía.
notable	notable	El informe logró un progreso notable.
notably	notablemente	Notablemente, los costos cayeron en mayo.
notify	notificar	Por favor, notifique al personal antes de irse.
notorious	tristemente célebre	La carretera es tristemente célebre por los accidentes.
novel	novedoso	Propusieron una solución novedosa.
nursery	la guardería	La guardería cuida de los bebés.
objection	la objeción	El abogado presentó una objeción.
oblige	obligar	Las normas obligan a los conductores a detenerse.
obsess	obsesionarse	No te obsesiones con pequeños errores.
obsession	la obsesión	Su obsesión dañó su trabajo.
occasional	ocasional	Se esperan retrasos ocasionales.
occurrence	el suceso	Un suceso así es raro.
odds	las probabilidades	Las probabilidades de éxito mejoraron.
offering	la oferta	La universidad amplió su oferta.
offspring	la cría	El zorro protegió a sus crías.
operational	operativo	El nuevo sistema está operativo.
opt	optar	Muchos estudiantes optan por clases en línea.
optical	óptico	La lente óptica necesita limpieza.
optimism	el optimismo	El optimismo regresó después del anuncio.
oral	oral	El examen oral empieza mañana.
organizational	organizativo	Los cambios organizativos comenzaron de inmediato.
orientation	la orientación	El taller cubrió la orientación de los empleados.
originate	originarse	Muchas tradiciones se originan en pueblos rurales.
outbreak	el brote	El brote se propagó por la ciudad.
outing	la excursión	La clase disfrutó de una excursión al museo.
outlet	el punto de venta	El punto de venta vende ropa con descuento.
outlook	la perspectiva	Las perspectivas económicas siguen siendo inciertas.
outrage	la indignación	La decisión causó indignación pública.
outsider	el forastero	Como persona de fuera, ella notó problemas.
overlook	pasar por alto	No pases por alto los detalles menores.
overly	excesivamente	Las instrucciones eran excesivamente complejas.
oversee	supervisar	Ella supervisará el proyecto.
overturn	anular	El tribunal podría anular el fallo.
overwhelm	abrumar	Demasiada información puede abrumar a los estudiantes.
overwhelming	abrumador	Las pruebas eran abrumadoras.
pad	la almohadilla	Usa la almohadilla para proteger las rodillas.
parameter	el parámetro	Ajusta un parámetro a la vez.
parental	parental	El apoyo de los padres mejoró la asistencia.
parish	la parroquia	La parroquia organizó una cena benéfica.
parliamentary	parlamentario	El debate parlamentario duró horas.
partial	parcial	El informe dio una respuesta parcial.
partially	parcialmente	La ventana estaba parcialmente abierta.
passing	el fallecimiento	Su fallecimiento fue repentino.
passive	pasivo	Los inversores pasivos aceptaron rendimientos estables.
pastor	el pastor	El pastor visitó a la familia.
patch	el parche	La chaqueta necesita un pequeño parche.
patent	la patente	La empresa registró una patente.
pathway	el camino	El camino conduce a la certificación.
patrol	la patrulla / patrullar	La policía patrulla la zona de noche.
patron	el mecenas	El museo agradeció a su mecenas.
peak	el pico	La demanda alcanzó su punto máximo en invierno.
peasant	el campesino	El campesino tenía pocas tierras.
peculiar	peculiar	La habitación tenía un olor peculiar.
persist	persistir	Los síntomas pueden persistir durante días.
persistent	persistente	Una tos persistente necesita atención.
personnel	el personal	Los registros del personal son confidenciales.
petition	la petición	La petición reunió miles de firmas.
philosopher	el filósofo	El filósofo cuestionó suposiciones comunes.
philosophical	filosófico	La discusión se volvió filosófica.
physician	el médico	El médico ordenó análisis de sangre.
pioneer	el pionero / la pionera	Ella se convirtió en una pionera en medicina.
pipeline	el gasoducto	El gasoducto transporta gas bajo tierra.
pirate	el pirata	El barco pirata apareció en alta mar.
pit	el foso	Los trabajadores cavaron un foso profundo.
plea	la súplica	Su súplica de ayuda fue ignorada.
plead	declararse	El sospechoso se declarará culpable.
pledge	la promesa / prometer	Ellos prometen apoyo a las reformas.
plug	el enchufe / enchufar	Enchufa el cable en la toma.
plunge	desplomarse	Los precios podrían desplomarse tras el escándalo.
pole	el poste	La bandera colgaba de un poste.
poll	la encuesta	La encuesta mostró opiniones cambiantes.
pond	el estanque	Los patos cruzaron el estanque helado.
pop	explotar	Los globos explotan cerca de objetos afilados.
portfolio	el portafolio	Su cartera incluye varias empresas emergentes.
portray	retratar	La película retratará la vida rural.
postpone	posponer	Decidieron posponer la audiencia.
post-war	de posguerra	Se necesitaba urgentemente vivienda de posguerra.
practitioner	el profesional	El profesional explicó el tratamiento.
preach	predicar	El ministro predicará el domingo.
precedent	el precedente	El fallo sentó un precedente importante.
precision	la precisión	La máquina corta con precisión.
predator	el depredador	El depredador esperaba cerca del río.
predecessor	el predecesor	Su predecesor dejó notas detalladas.
predominantly	predominantemente	La zona es predominantemente residencial.
pregnancy	el embarazo	El embarazo requiere atención médica regular.
prejudice	el prejuicio	La campaña desafió los prejuicios raciales.
preliminary	preliminar	Los resultados preliminares parecen prometedores.
premier	el primer ministro	El primer ministro se dirigió al parlamento hoy.
premise	la premisa	El argumento se basa en una premisa falsa.
premium	la prima	Los clientes pagaron un recargo por la velocidad.
prescribe	recetar	Los médicos recetan antibióticos con cuidado.
prescription	la receta	La receta caduca el próximo mes.
presently	actualmente	Actualmente ella no está disponible.
preservation	la preservación	La conservación protege los edificios históricos.
preside	presidir	El juez presidirá el juicio.
presidency	la presidencia	Su presidencia duró ocho años.
presidential	presidencial	Las elecciones presidenciales llamaron la atención.
prestigious	prestigioso	Ella ganó una prestigiosa beca.
presumably	presumiblemente	Presumiblemente la oficina está cerrada hoy.
presume	suponer	Suponemos que los documentos son auténticos.
prevail	prevalecer	El sentido común debería prevalecer.
prevalence	la prevalencia	La prevalencia del asma aumentó.
prevention	la prevención	La prevención es más barata que la reparación.
