source_headword	LV	example_LV
embarrassed	samulsis	Pēc kritiena viņš jutās samulsis.
embarrassing	apkaunojošs	Tā bija apkaunojoša kļūda.
emergency	ārkārtas situācija	Ārkārtas situācijā zvani uz šo numuru.
emotion	emocija	Bailes ir spēcīga emocija.
employment	nodarbinātība	Šomēnes nodarbinātība pieauga.
encourage	mudināt	Skolotāji mudina skolēnus lasīt.
enemy	ienaidnieks	Abas valstis bija ienaidnieces.
engaged	saderinājies	Viņi saderinājās pagājušajā pavasarī.
engineering	inženierija	Viņa universitātē studē inženieriju.
entertain	izklaidēt	Dziedātājs izklaidēs viesus.
entertainment	izklaide	Pilsēta piedāvā vakara izklaidi.
entrance	ieeja	Satiec mani pie ieejas.
entry	ieeja	Bērniem ieeja ir bez maksas.
environmental	vides	Mēs apspriedām vides problēmas.
episode	sērija	Pēdējā sērija bija aizraujoša.
equal	vienāds	Viņi saņem vienādu algu.
equally	vienādi	Darbs ir sadalīts vienādi.
escape	aizbēgt	Ieslodzītie mēģināja aizbēgt.
essential	būtisks	Ūdens ir būtisks dzīvībai.
eventually	beidzot	Beidzot mēs atradām viesnīcu.
examine	izmeklēt	Ārsts izmeklēja manu roku.
exchange	apmaiņa	Veikalā mēs veicām apmaiņu.
excitement	satraukums	Spēle bija pilna satraukuma.
exhibition	izstāde	Mākslas izstāde tiks atklāta rīt.
expand	paplašināties	Uzņēmums plāno paplašināties.
expected	gaidāms	Gaidāmās izmaksas ir augstas.
expedition	ekspedīcija	Ekspedīcija šķērsoja tuksnesi.
experienced	pieredzējis	Viņa ir pieredzējusi medmāsa.
explode	eksplodēt	Pudele karstumā var eksplodēt.
explore	izpētīt	Mēs izpētījām vecpilsētu.
explosion	sprādziens	Sprādziens izsita vairākus logus.
export	eksports	Kafija ir svarīgs eksports.
fairly	diezgan	Tests bija diezgan viegls.
familiar	pazīstams	Viņas seja izskatījās pazīstama.
fancy	vēlēties	Vai vēlies kafiju?
fascinating	aizraujošs	Stāsts bija aizraujošs.
fashionable	moderns	Tie apavi ir moderni.
fasten	piesprādzēt	Piesprādzē drošības jostu.
favour	pakalpojums	Vai vari man izdarīt pakalpojumu?
fence	žogs	Žogs ieskauj dārzu.
fighting	kaušanās	Kaušanās apstājās rītausmā.
file	fails	Saglabā failu pirms aizvēršanas.
financial	finansiāls	Viņai vajag finansiālu padomu.
fitness	fiziskā forma	Skriešana uzlabo tavu fizisko formu.
fixed	fiksēts	Cena ir fiksēta.
flag	karogs	Karogs plīvoja virs skolas.
flood	plūdi	Plūdi sabojāja daudzas mājas.
flour	milti	Pievieno miltus bļodā.
flow	plūst	Upe plūst cauri pilsētai.
fold	salocīt	Saloki papīru uz pusēm.
folk	tautas	Zālē skanēja tautas mūzika.
force	spēks	Vējam bija liels spēks.
forever	mūžīgi	Es to atcerēšos mūžīgi.
frame	rāmis	Fotogrāfijai vajag rāmi.
freeze	sasalt	Ūdens naktī sasals.
frequently	bieži	Viņš bieži apciemo savus vecākus.
friendship	draudzība	Viņu draudzība ilga daudzus gadus.
frighten	baidīt	Skaļi trokšņi baida bērnu.
frightened	nobijies	Bērns izskatījās nobijies.
frightening	biedējošs	Vētra bija biedējoša.
frozen	sasalis	Ezers bija sasalis.
fry	cept uz pannas	Cep sīpolus uz pannas piecas minūtes.
fuel	degviela	Automašīnai vajag vairāk degvielas.
function	funkcija	Šai pogai ir viena funkcija.
fur	kažoks	Kaķim ir mīksts kažoks.
garage	garāža	Automašīna ir garāžā.
gather	sapulcēties	Mēs sapulcējāmies ap galdu.
generally	parasti	Viņa parasti ierodas agri.
generation	paaudze	Katra paaudze saskaras ar jaunām problēmām.
generous	dāsns	Viņš ir dāsns ar savu laiku.
gentle	maigs	Lieto maigu balsi.
gentleman	džentlmenis	Džentlmenis atvēra durvis.
ghost	spoks	Stāstā minēts spoks.
giant	milzīgs	Milzīgs ekrāns aizpildīja skatuvi.
glad	priecīgs	Es priecājos, ka tu atnāci.
global	globāls	Klimata pārmaiņas ir globāla problēma.
glove	cimds	Es pazaudēju vienu cimdu.
goods	preces	Preces ieradās vēlu.
grade	atzīme	Viņa saņēma augstu atzīmi.
graduate	absolvents	Viņš ir nesens absolvents.
grain	grauds	Nokrita rīsa grauds.
grateful	pateicīgs	Esmu pateicīgs par tavu atbalstu.
growth	izaugsme	Augs rādīja stabilu izaugsmi.
guard	sargs	Sargs pārbaudīja mūsu biļetes.
guilty	vainīgs	Viņš jutās vainīgs par meliem.
hang	pakārt	Pakār savu mēteli šeit.
happiness	laime	Nauda nevar nopirkt laimi.
hardly	diez vai	Es tevi diez vai dzirdēju.
headline	virsraksts	Virsraksts piesaistīja manu uzmanību.
heating	apkure	Apkure pārstāja darboties.
heavily	spēcīgi	Visu nakti spēcīgi lija.
helicopter	helikopters	Tuvumā nolaidās helikopters.
highlight	izcelt	Lūdzu, izcel galveno domu.
highly	ļoti	Viņa ir ļoti cienīta.
hire	īrēt	Mums jāīrē automašīna.
historic	vēsturisks	Mēs apmeklējām vēsturisku ēku.
historical	vēsturisks	Viņai patīk vēsturiski romāni.
honest	godīgs	Lūdzu, sniedz godīgu atbildi.
horrible	šausmīgs	Smarža bija šausmīga.
horror	šausmas	Viņam patīk šausmu filmas.
host	saimnieks	Saimnieks sagaidīja katru viesi.
