source_headword	SW	example_SW
solution	suluhisho	Tulipata suluhisho.
solve	kutatua	Tatua fumbo hili.
somewhere	mahali fulani	Weka hiyo mahali fulani salama.
sort	aina	Unataka aina gani?
source	chanzo	Angalia chanzo kwanza.
speaker	msemaji	Msemaji alikuwa na sauti kubwa.
specific	maalumu	Tunahitaji jibu maalumu.
speech	hotuba	Hotuba yake ilikuwa fupi.
speed	kasi	Punguza kasi yako hapa.
spider	buibui	Kuna buibui ukutani.
spoon	kijiko	Tumia kijiko kwa supu.
square	mraba	Chora sanduku la mraba.
stage	jukwaa	Bendi iko jukwaani.
stair	ngazi	Ngazi imevunjika.
stamp	stempu	Bandika stempu kwenye barua.
state	kutaja	Taja jina lako wazi.
steal	kuiba	Usiibe pesa.
step	hatua	Piga hatua moja mbele.
stomach	tumbo	Tumbo langu linauma.
stone	jiwe	Jiwe ni zito.
store	duka	Duka linafungwa mapema.
storm	dhoruba	Dhoruba inakuja.
straight	moja kwa moja	Nenda nyumbani moja kwa moja.
strange	ajabu	Sauti hii ni ajabu.
strategy	mkakati	Tunahitaji mkakati.
stress	msongo	Kazi inaweza kuleta msongo.
structure	muundo	Muundo huu ni imara.
stupid	kipumbavu	Hili lilikuwa kosa la kipumbavu.
succeed	kufanikiwa	Unaweza kufanikiwa hapa.
successful	mwenye mafanikio	Alikuwa mwenye mafanikio.
such	kama hiyo	Msaada kama huo ni muhimu.
suddenly	ghafla	Ghafla mbwa alikimbia.
suggest	kupendekeza	Ninapendekeza mapumziko mafupi.
suggestion	pendekezo	Pendekezo lako linafaa.
suit	suti	Suti hii ni ghali.
support	kuunga mkono	Tunaunga mkono timu yetu.
suppose	kudhani	Nadhani uko sahihi.
surprise	mshangao	Mshangao ulimfurahisha.
surprised	ameshangaa	Alishangaa leo.
surprising	ya kushangaza	Matokeo yalikuwa ya kushangaza.
survey	uchunguzi	Tafadhali kamilisha uchunguzi.
sweet	tamu	Chai hii ni tamu.
symbol	alama	Alama hii inamaanisha hatari.
system	mfumo	Mfumo unafanya kazi vizuri.
tablet	kompyuta kibao	Kompyuta yangu kibao iko mezani.
target	lengo	Lenga shabaha kwa makini.
task	kazi	Kazi hii ni rahisi.
taste	kuonja	Onja supu kwanza.
teaching	ufundishaji	Ufundishaji ni kazi ngumu.
technology	teknolojia	Teknolojia hubadilika haraka.
teenage	kijana	Ndugu yangu kijana anasoma sana.
temperature	joto	Joto ni la chini.
term	muhula	Muhula huu unakaribia kuisha.
themselves	wao wenyewe	Walipika chakula wao wenyewe.
thick	nene	Kitabu hiki ni nene.
thief	mwizi	Mwizi alikimbia.
thin	nyembamba	Karatasi ni nyembamba.
thinking	kufikiri	Kufikiri huchukua muda.
thought	wazo	Nilikuwa na wazo la ajabu.
throw	kutupa	Tupa mpira kwa upole.
tidy	nadhifu	Weka chumba chako nadhifu.
tie	kufunga	Funga viatu vyako sasa.
tip	bakshishi	Acha bakshishi kwa huduma.
tool	kifaa	Tumia kifaa sahihi.
top	juu	Rafu ya juu imejaa.
touch	kugusa	Usiguse kioo.
tour	ziara	Tulifanya ziara ya mji.
tourism	utalii	Utalii husaidia mji huu.
towards	kuelekea	Tembea kuelekea kituoni.
towel	taulo	Leta taulo safi.
tower	mnara	Mnara ni wa zamani sana.
toy	kichezeo	Kichezeo cha gari ni chekundu.
track	njia	Njia inaenda kaskazini.
tradition	mila	Mila hii ni ya zamani.
traditional	wa jadi	Alivaa nguo za jadi.
trainer	mkufunzi	Mkufunzi wangu anasaidia.
training	mafunzo	Mafunzo yanaanza kesho.
transport	usafiri	Usafiri wa umma ulichelewa.
traveller	msafiri	Msafiri aliomba msaada.
trouble	shida	Tulipata shida jana.
truck	lori	Lori liko nje.
twin	pacha	Dada yangu pacha ni mrefu zaidi.
typical	kawaida	Hii ni siku ya kawaida.
underground	chini ya ardhi	Treni hupita chini ya ardhi.
understanding	uelewa	Uelewa wako ni sahihi.
unfortunately	kwa bahati mbaya	Kwa bahati mbaya, duka limefungwa.
unhappy	asiye na furaha	Anaonekana hana furaha.
uniform	sare	Anavaa sare ya shule.
unit	kitengo	Kitengo hiki ni kidogo.
united	wenye umoja	Timu ilibaki yenye umoja.
unusual	isiyo ya kawaida	Sauti hii si ya kawaida.
used to modal	zamani	Zamani tuliishi hapa.
user	mtumiaji	Kila mtumiaji ana nambari.
usual	kawaida	Nilichukua kiti changu cha kawaida.
valley	bonde	Bonde ni la kijani.
van	gari dogo	Gari dogo limejaa.
variety	anuwai	Tunahitaji anuwai zaidi.
vehicle	gari	Gari hili ni polepole.
view	mandhari	Mandhari ni nzuri.
virus	virusi	Virusi vilimfanya augue.
voice	sauti	Sauti yake ni ya chini.
war	vita	Vita viliisha miaka iliyopita.
washing	nguo za kufua	Nguo za kufua ziko nje.
wave	wimbi	Wimbi liligonga mashua.
weak	dhaifu	Miguu yangu inahisi dhaifu.
web	wavuti	Ukurasa wa wavuti uko wazi.
wedding	harusi	Harusi inaanza hivi karibuni.
weight	uzito	Angalia uzito kwanza.
wet	yenye maji	Viatu vyangu vimelowa.
wheel	gurudumu	Gurudumu limevunjika.
while	kwa muda	Subiri hapa kwa muda.
whole	nzima	Nilikula tufaha zima.
whose	ya nani	Hii ni simu ya nani?
wide	pana	Barabara ni pana.
wild	wa mwitu	Wanyama wa mwitu wanaishi hapa.
wind1	upepo	Upepo ni mkali.
winner	mshindi	Mshindi alitabasamu.
wish	tamanio	Ana tamanio moja.
wood	mbao	Kiti kimetengenezwa kwa mbao.
wooden	wa mbao	Sanduku la mbao ni zito.
working	kazi	Siku ya kazi imeisha.
worried	mwenye wasiwasi	Nina wasiwasi leo.
worry	kuwa na wasiwasi	Usiwe na wasiwasi sasa.
worse	mbaya zaidi	Maumivu haya ni mabaya zaidi.
worst	mbaya kuliko zote	Hii ilikuwa siku mbaya kuliko zote.
wow	waa	Waa, hii ni nzuri!
yet	bado	Je, tuko pale bado?
yours	yako	Kitabu hiki ni chako.
zero	sifuri	Hesabu kurudi mpaka sifuri.
