source_headword	KA	example_KA
anonymous	ანონიმური	საჩივარი ანონიმური იყო.
apparatus	აპარატურა	ლაბორატორიულ აპარატურას გაწმენდა სჭირდება.
appealing	მიმზიდველი	შეთავაზება სტუდენტებისთვის მიმზიდველად გამოიყურება.
appetite	მადა	ვარჯიშმა მისი მადა გაზარდა.
applaud	ტაშის დაკვრა	მაყურებელმა ხმამაღლა დაიწყო ტაშის დაკვრა.
applicable	მოქმედი	ფასდაკლება დღეს მოქმედებს.
appoint	დანიშვნა	საბჭო დირექტორს დანიშნავს.
appreciation	მადლიერება	მან მადლიერება გამოხატა მათი დახმარებისთვის.
arbitrary	თვითნებური	ბოლო ვადა პერსონალისთვის თვითნებური ჩანდა.
architectural	არქიტექტურული	ქალაქი იცავს თავის არქიტექტურულ მემკვიდრეობას.
archive	არქივი	არქივი ძველ ფოტოებს ინახავს.
arena	არენა	დებატებმა საჯარო არენაზე გადაინაცვლა.
arguably	სავარაუდოდ	ეს სავარაუდოდ მისი საუკეთესო რომანია.
arm	შეიარაღება	მცველები კოლონას შეიარაღებენ.
array	არჩევანი	მაღაზია ინსტრუმენტების ფართო არჩევანს გვთავაზობს.
articulate	მკაფიოდ გამოხატვა	მას შეუძლია რთული იდეების მკაფიოდ გამოხატვა.
ash	ფერფლი	ხანძრის შემდეგ მანქანა ფერფლით დაიფარა.
aspiration	მისწრაფება	მისი მისწრაფებაა გახდეს ქირურგი.
aspire	მისწრაფება	ბევრი სტუდენტი საზღვარგარეთ სწავლისკენ ისწრაფვის.
assassination	მკვლელობა	მკვლელობამ ქვეყნის პოლიტიკა შეცვალა.
assault	თავდასხმა	თავდასხმა სადგურთან მოხდა.
assemble	აწყობა	მუშები ავეჯს ხელით აწყობენ.
assembly	შეკრება	სკოლის შეკრება ცხრა საათზე იწყება.
assert	დამტკიცება	ის თავისი ავტორიტეტის დამტკიცებას ცდილობდა.
assertion	მტკიცება	მისმა მტკიცებამ პანელი გააკვირვა.
assurance	გარანტია	მენეჯერმა მხარდაჭერის გარანტია მისცა.
asylum	თავშესაფარი	ოჯახმა საზღვარზე თავშესაფარი მოითხოვა.
atrocity	სისასტიკე	ფილმში აღწერილი იყო ომის დროინდელი სისასტიკე.
attain	მიღწევა	ცოტა მორბენალი თუ აღწევს ამ სიჩქარეს.
attendance	დასწრება	განცხადების შემდეგ დასწრება გაუმჯობესდა.
attorney	ადვოკატი	ადვოკატმა მოწმე დაკითხა.
attribute	მიწერა	მეცნიერები ზრდას დაბინძურებას მიაწერენ.
audit	აუდიტი	აუდიტმა რამდენიმე შეცდომა აღმოაჩინა.
authentic	ნამდვილი	რესტორანი ნამდვილ რეგიონალურ კერძებს ემსახურება.
authorize	ნებართვის გაცემა	თანხის დაბრუნებაზე ნებართვის გაცემა მხოლოდ მენეჯერებს შეუძლიათ.
auto	ავტო	ავტოინდუსტრია სწრაფად შეიცვალა.
autonomy	ავტონომია	რეგიონს მეტი ავტონომია სურს.
availability	ხელმისაწვდომობა	ადგილების ხელმისაწვდომობა შეზღუდულია.
await	ლოდინი	რამდენიმე შეტყობინება თქვენს პასუხს ელოდება.
backdrop	ფონი	მთებმა დრამატული ფონი შექმნეს.
backing	მხარდაჭერა	წინადადებამ ამომრჩეველთა მხარდაჭერა მოიპოვა.
backup	სარეზერვო ასლი	სისტემა ყოველდღიურად ქმნის სარეზერვო ასლს.
bail	გირაო	მოსამართლემ გირაო შუადღისას დაადგინა.
ballot	ბიულეტენი	თითოეულმა ამომრჩეველმა მიიღო ბიულეტენი.
banner	ბანერი	ბანერი შესასვლელის ზემოთ ეკიდა.
bare	ცარიელი	ოთახს ცარიელი კედლები ჰქონდა.
barrel	კასრი	კასრი წყლით იყო სავსე.
bass1	ბასი	ბასი ღრმად და თბილად ჟღერდა.
battlefield	ბრძოლის ველი	ძველი ბრძოლის ველი მემორიალი გახდა.
bay	ყურე	სოფელი წყნარ ყურესთან მდებარეობს.
beam	კოჭი	ფოლადის კოჭი იჭერს ჭერს.
beast	მხეცი	მოთხრობა აღწერს სასტიკ მხეცს.
behalf	სახელით	მან თავისი გუნდის სახელით ისაუბრა.
beloved	საყვარელი	საყვარელი მასწავლებელი დღეს პენსიაზე გავიდა.
bench	სკამი	ისინი ხის სკამზე ისხდნენ.
benchmark	ეტალონი	ტესტი ინდუსტრიის ეტალონად იქცა.
beneath	ქვეშ	დოკუმენტები საქაღალდის ქვეშ იყო.
beneficiary	ბენეფიციარი	მისი ვაჟი იყო მთავარი ბენეფიციარი.
betray	ღალატი	ნუ უღალატებ მეგობრის ნდობას.
bind	შებოჭვა	შეთანხმება ორივე კომპანიას დაავალდებულებს.
biography	ბიოგრაფია	მისი ბიოგრაფია ბევრ ეგზემპლარად გაიყიდა.
bishop	ეპისკოპოსი	ეპისკოპოსი სოფლის ეკლესიას ეწვია.
bizarre	უცნაური	ფილმს უცნაური დასასრული ჰქონდა.
blade	პირი	დანის პირმა თოკი გაჭრა.
blast	აფეთქება	აფეთქებამ ახლომდებარე ფანჯრები ჩაამსხვრია.
bleed	სისხლდენა	ჭრილობამ ძლიერი სისხლდენა დაიწყო.
blend	შერევა	სოუსი აურიეთ ერთგვაროვანი მასის მიღებამდე.
bless	კურთხევა	მღვდელი აკურთხებს სახლს.
blessing	ლოცვა-კურთხევა	მხარდაჭერის ქონა მადლი იყო.
boast	ტრაბახი	მას უყვარს ფულზე ტრაბახი.
bonus	ბონუსი	თანამშრომლებმა სადღესასწაულო ბონუსი მიიღეს.
boom	ბუმი	ქალაქმა განიცადა სამშენებლო ბუმი.
bounce	ახტომა	ბურთს შეუძლია ძალიან მაღლა ახტეს.
boundary	საზღვარი	მდინარე მიუთითებს საზღვარს.
bow1	თავის დაკვრა	მსახიობმა ღრმად დაუკრა თავი.
breach	დარღვევა	დარღვევამ პირადი მონაცემები გაამჟღავნა.
breakdown	დაყოფა	ანგარიში მოიცავს ხარჯების დაყოფას.
breakthrough	გარღვევა	აღმოჩენა დიდი გარღვევა იყო.
breed	გამრავლება	ეს ჩიტები გაზაფხულზე მრავლდებიან.
broadband	ფართოზოლოვანი	ოფისს უფრო სწრაფი ფართოზოლოვანი ინტერნეტი სჭირდება.
browser	ბრაუზერი	სისტემაში შესვლამდე განაახლეთ თქვენი ბრაუზერი.
brutal	სასტიკი	თავდასხმა სასტიკი და მოულოდნელი იყო.
buck	დოლარი	ბილეთი ათი დოლარი ღირს.
buddy	მეგობარი	მისი მეგობარი გარეთ ელოდა.
buffer	ბუფერი	ხეები ხმაურის ბუფერს ქმნიან.
bulk	დიდი რაოდენობით	მათ ბრინჯი დიდი რაოდენობით იყიდეს.
burden	ტვირთი	ვალი მძიმე ტვირთად იქცა.
bureaucracy	ბიუროკრატია	ბიუროკრატიამ ნებართვის გაცემა შეაფერხა.
burial	დაკრძალვა	დაკრძალვა გათენებისას გაიმართა.
burst	გასკდომა	მილი შეიძლება წნევის ქვეშ გასკდეს.
cabinet	კაბინეტი	კაბინეტმა გეგმა დაამტკიცა.
calculation	გამოთვლა	გამოთვლას რამდენიმე წუთი დასჭირდა.
canvas	ტილო	მხატვარმა დიდ ტილოზე დახატა.
capability	შესაძლებლობა	მოწყობილობას აქვს უკაბელო კავშირის შესაძლებლობა.
capitalism	კაპიტალიზმი	კაპიტალიზმმა ჩამოაყალიბა თანამედროვე ეკონომიკა.
capitalist	კაპიტალისტური	კაპიტალისტური სისტემა კერძო ინვესტიციებს აჯილდოებს.
cargo	ტვირთი	გემს სამედიცინო ტვირთი გადაჰქონდა.
carriage	ვაგონი	მატარებლის ვაგონი თითქმის ცარიელი იყო.
carve	ამოკვეთა	ის ხეს ფრთხილად ამოკვეთს.
casino	კაზინო	კაზინო სასტუმროსთან გაიხსნა.
casualty	მსხვერპლი	ავარიამ ერთი ადამიანის მსხვერპლი გამოიწვია.
catalogue	კატალოგი	კატალოგში ჩამოთვლილია ყველა პროდუქტი.
cater	მომსახურება	რესტორანს შეუძლია დიდი ღონისძიებების მომსახურება.
cattle	მსხვილფეხა რქოსანი პირუტყვი	პირუტყვი მდინარესთან ძოვდა.
caution	სიფრთხილე	გამოიჩინეთ სიფრთხილე მოყინულ გზებზე.
cautious	ფრთხილი	ინვესტორები ამ კვირაში ფრთხილად რჩებიან.
cease	შეწყვეტა	ქარხანა მალე შეწყვეტს წარმოებას.
cemetery	სასაფლაო	სასაფლაო ზღვას გადაჰყურებს.
chamber	პალატა	კენჭისყრის დროს დარბაზში სიჩუმე იყო.
chaos	ქაოსი	შეფერხებამ აეროპორტში ქაოსი გამოიწვია.
characterize	დახასიათება	ექსპერტები გეგმას სარისკოდ ახასიათებენ.
charm	ხიბლი	ქალაქს ძველი სამყაროს ხიბლი აქვს.
charter	წესდება	წესდება იცავს ძირითად უფლებებს.
chronic	ქრონიკული	მას ქრონიკული წელის ტკივილი აწუხებს.
chunk	ნაჭერი	ყველი ნაჭრად დაჭერით.
circulate	გავრცელება	გთხოვთ, გაავრცელოთ დღის წესრიგი დღეს.
circulation	ტირაჟი	გაზეთის ტირაჟი მკვეთრად დაეცა.
citizenship	მოქალაქეობა	მან საფრანგეთის მოქალაქეობაზე შეიტანა განაცხადი.
civic	სამოქალაქო	შეხვედრას სამოქალაქო ლიდერები დაესწრნენ.
civilian	მშვიდობიანი მოქალაქე	რამდენიმე სამოქალაქო სახლი დაზიანდა.
clarity	სიცხადე	დიაგრამამ ანგარიშს სიცხადე შემატა.
clash	შეტაკება	შეტაკება მსვლელობის შემდეგ დაიწყო.
classification	კლასიფიკაცია	კლასიფიკაცია დამოკიდებულია ზომაზე.
cling	მიკვრა	სველი ტანსაცმელი კანს ეკვრის.
clinical	კლინიკური	კლინიკური კვლევა მომავალ თვეში იწყება.
closure	დახურვა	ოჯახს სურდა საქმის დახურვა.
cluster	ჯგუფი	იქვე სახლების ჯგუფი იდგა.
coalition	კოალიცია	კოალიციამ უმრავლესობა დაკარგა.
coastal	სანაპირო	სანაპირო სოფლები წყალდიდობისთვის მოემზადნენ.
cocktail	კოქტეილი	მან ხილის კოქტეილი შეუკვეთა.
cognitive	კოგნიტური	კოგნიტური უნარები პრაქტიკით უმჯობესდება.
coincide	დამთხვევა	ფესტივალი გამოსაშვებ საღამოს დაემთხვევა.
collaborate	თანამშრომლობა	გუნდები პროგრამულ უზრუნველყოფაზე თანამშრომლობენ.
collaboration	თანამშრომლობა	მათმა თანამშრომლობამ ძლიერი შედეგები გამოიღო.
collective	კოლექტიური	გადაწყვეტილება კოლექტიური ძალისხმევა იყო.
collision	შეჯახება	შეჯახებამ გზატკეცილი გადაკეტა.
colonial	კოლონიური	შენობას კოლონიური არქიტექტურა აქვს.
columnist	მიმომხილველი	მიმომხილველმა პოლიტიკა გააკრიტიკა.
combat	ბრძოლა	ჯარისკაცები ბრძოლისთვის ვარჯიშობდნენ.
commence	დაწყება	ცერემონია შუადღისას დაიწყება.
commentary	კომენტარი	მატჩის კომენტარი ცოცხალი იყო.
commentator	კომენტატორი	კომენტატორმა გადაწყვეტილება ახსნა.
commerce	ვაჭრობა	ონლაინ ვაჭრობა სწრაფად გაიზარდა.
commissioner	კომისარი	კომისარმა ახალი წესები გამოაცხადა.
commodity	საქონელი	ხორბალი მნიშვნელოვანი საქონელია.
communist	კომუნისტური	კომუნისტურმა პარტიამ შეხვედრა გამართა.
companion	კომპანიონი	მისი ძაღლი ერთგული მეგობარია.
comparable	შესადარებელი	ეს ორი ქალაქი ზომით შესადარებელია.
compassion	თანაგრძნობა	ექთნამ დიდი თანაგრძნობა გამოიჩინა.
compel	იძულება	მტკიცებულებამ შეიძლება პასუხი აიძულოს.
compelling	დამაჯერებელი	დოკუმენტურმა ფილმმა დამაჯერებელი არგუმენტი შექმნა.
compensate	კომპენსირება	კომპანია დაზარალებულ მომხმარებლებს კომპენსაციას გადაუხდის.
compensation	კომპენსაცია	მუშებმა სამართლიანი კომპენსაცია მოითხოვეს.
competence	კომპეტენცია	ტესტი ზომავს პროფესიულ კომპეტენციას.
competent	კომპეტენტური	ის კომპეტენტური ინჟინერია.
compile	შეგროვება	მკვლევარები საავადმყოფოებიდან მონაცემებს აგროვებენ.
complement	შევსება	ღვინო კერძს შეავსებს.
complexity	სირთულე	პროექტს მოულოდნელი სირთულე აქვს.
compliance	შესაბამისობა	აუდიტმა იურიდიული შესაბამისობა შეამოწმა.
complication	გართულება	ოპერაციას ერთი გართულება ჰქონდა.
comply	შესრულება	კომპანიებმა რეგულაციები უნდა დაიცვან.
composition	კომპოზიცია	კომპოზიცია ვიოლინოსა და პიანინოს მოიცავს.
compromise	კომპრომისი	კომპრომისმა ორივე მხარე დააკმაყოფილა.
compute	გამოთვლა	პროგრამას შეუძლია ჯამის გამოთვლა.
conceal	დამალვა	ის ზიანის დამალვას ცდილობდა.
concede	აღიარება	მინისტრმა მარცხის აღიარებაზე უარი თქვა.
conceive	ჩაფიქრება	მათ უკეთესი გეგმა ვერ მოიფიქრეს.
conception	გაგება	ფილმმა ჩემი ისტორიის გაგება შეცვალა.
concession	დათმობა	კომპანიამ ერთი დათმობა შესთავაზა.
condemn	დაგმობა	ლიდერები თავდასხმას საჯაროდ გმობენ.
confer	მინიჭება	ჯილდო პრესტიჟს მიანიჭებს.
confession	აღიარება	მისმა აღიარებამ სასამართლო გააოცა.
configuration	კონფიგურაცია	კონფიგურაცია ქსელზე წვდომას აკონტროლებს.
confine	შეზღუდვა	წესები ძაღლებს ამ ტერიტორიით ზღუდავს.
confirmation	დადასტურება	ჩვენ მივიღეთ დადასტურება ელფოსტით.
confront	დაპირისპირება	მან პრობლემასთან დაპირისპირება გადაწყვიტა.
confrontation	კონფრონტაცია	კონფრონტაცია ძალადობის გარეშე დასრულდა.
congratulate	მილოცვა	მე დავრეკე დისთვის მისალოცად.
congregation	მრევლი	მრევლმა ერთად იმღერა.
congressional	კონგრესის	კონგრესის მოსმენა საათობით გაგრძელდა.
conquer	დაპყრობა	გუნდი ბაზრის დაპყრობას იმედოვნებს.
conscience	სინდისი	მისმა სინდისმა სიცრუის უფლება არ მისცა.
consciousness	ცნობიერება	ავარიამ მის ცნობიერებაზე იმოქმედა.
consecutive	მიმდევრობითი	მან სამი მიმდევრობითი მატჩი მოიგო.
consensus	კონსენსუსი	კომიტეტმა კონსენსუსს სწრაფად მიაღწია.
consent	თანხმობა	წერილობითი თანხმობაა საჭირო.
conserve	შენარჩუნება	ჩვენ გვალვის დროს წყალს ვზოგავთ.
consistency	თანმიმდევრულობა	ენის შესწავლაში თანმიმდევრულობა მნიშვნელოვანია.
consolidate	გაერთიანება	კომპანია ორ ოფისს გააერთიანებს.
constituency	საარჩევნო ოლქი	კანდიდატმა ყველა საარჩევნო ოლქი მოინახულა.
constitute	შეადგენს	ქალები კომიტეტის ნახევარს შეადგენენ.
constitution	კონსტიტუცია	კონსტიტუცია სიტყვის თავისუფლებას უზრუნველყოფს.
constitutional	კონსტიტუციური	სასამართლომ კონსტიტუციური უფლებები განიხილა.
constraint	შეზღუდვა	ბიუჯეტის შეზღუდვამ პროექტი შეაფერხა.
consultation	კონსულტაცია	კონსულტაცია ორი კვირა გაგრძელდა.
contemplate	დაფიქრება	ის შეჩერდა, რათა შეთავაზებაზე დაფიქრებულიყო.
contempt	უპატივცემულობა	მან წესების მიმართ უპატივცემულობა გამოავლინა.
contend	ბრძოლა	რამდენიმე ფირმა კონტრაქტისთვის იბრძვის.
contender	კონკურენტი	ის ძლიერი კონკურენტია.
content2	კმაყოფილი	ის შედეგით კმაყოფილი იყო.
contention	დავა	მთავარი დავა დაფინანსებას ეხება.
continually	მუდმივად	სისტემა მუდმივად ამოწმებს შეცდომებს.
contractor	კონტრაქტორი	კონტრაქტორმა სახურავი შეაკეთა.
contradiction	წინააღმდეგობა	მის განცხადებაში წინააღმდეგობა იყო.
contrary	საპირისპირო	საპირისპირო მტკიცებულებამ საქმე შეცვალა.
contributor	კონტრიბუტორი	ის რეგულარული კონტრიბუტორია.
conversion	კონვერტაცია	კონვერტაციამ დოლარი ევროდ შეცვალა.
convict	მსჯავრდება	ნაფიცმა მსაჯულებმა ეჭვმიტანილი შეიძლება დამნაშავედ ცნონ.
conviction	მსჯავრი	მისმა მსჯავრდებამ საზოგადოება შოკში ჩააგდო.
cooperate	თანამშრომლობა	გთხოვთ, ითანამშრომლოთ გამოძიებასთან.
cooperative	თანამშრომლობითი	პერსონალი იყო თანამშრომლობითი და მშვიდი.
coordinate	კოორდინირება	ისინი მიწოდებას ყოველ დილით აკონტროლებენ.
coordination	კოორდინაცია	კარგმა კოორდინაციამ დრო დაზოგა.
coordinator	კოორდინატორი	კოორდინატორმა თითოეული დავალება გაანაწილა.
cop	პოლიციელი	სადგურის გარეთ პოლიციელი იდგა.
copper	სპილენძი	მილი სპილენძისგან არის დამზადებული.
copyright	საავტორო უფლება	სურათი დაცულია საავტორო უფლებებით.
correction	შესწორება	მასწავლებელმა ერთი შესწორება შეიტანა.
correlate	კორელირება	მაღალი სტრესი შეიძლება დაავადებასთან იყოს კავშირში.
correlation	კორელაცია	კვლევამ ძლიერი კორელაცია აჩვენა.
correspond	შეესაბამება	ეს რიცხვები ეტიკეტებს შეესაბამება.
correspondence	მიმოწერა	მათი მიმოწერა წლების განმავლობაში გრძელდებოდა.
correspondent	კორესპონდენტი	კორესპონდენტი კაიროდან იუწყებოდა.
corresponding	შესაბამისი	თითოეულ ღილაკს შესაბამისი განათება აქვს.
corrupt	კორუმპირებული	კორუმპირებულმა ჩინოვნიკმა ფული აიღო.
corruption	კორუფცია	კორუფციამ საზოგადოების ნდობა შეასუსტა.
costly	ძვირადღირებული	შეცდომა გუნდისთვის ძვირი დაჯდა.
councillor	საბჭოს წევრი	საბჭოს წევრმა მაცხოვრებლების კითხვებს უპასუხა.
counselling	კონსულტაცია	მან ავარიის შემდეგ ფსიქოლოგიური დახმარება მიიღო.
counsellor	მრჩეველი	მრჩეველი ახალ სტუდენტებს დაეხმარა.
counter (argue against)	დაპირისპირება	ის შეეცადა მის არგუმენტს დაპირისპირებოდა.
counterpart	კოლეგა	ის თავის იაპონელ კოლეგას შეხვდა.
countless	უთვალავი	ძებნას უთვალავი მოხალისე შეუერთდა.
coup	გადატრიალება	გადატრიალებამ პრეზიდენტი გადააყენა.
courtesy	თავაზიანობა	მან მათ თავაზიანობისთვის მადლობა გადაუხადა.
