source_headword	HR	example_HR
reporting	izvještavanje	Točno izvještavanje je važno.
resign	dati otkaz	Menadžer će sutra dati otkaz.
resolution	rezolucija	Ekran ima visoku rezoluciju.
restore	obnoviti	Radnici obnavljaju staru sliku.
restrict	ograničiti	Pravila ograničavaju parkiranje.
restriction	ograničenje	Ograničenje završava sutra.
retail	maloprodaja	Maloprodaja se povećala.
retirement	mirovina	Ona je pažljivo planirala svoju mirovinu.
revenue	prihod	Prihod od ulaznica platio je popravke.
revision	ponavljanje	Ponavljanje je pomoglo prije ispita.
ridiculous	smiješan	Cijena je bila smiješna.
risky	riskantan	Plan se činio riskantnim.
rival	suparnik	Naš suparnik otvorio je novu trgovinu.
rob	opljačkati	Muškarci su pokušali opljačkati banku.
robbery	pljačka	Pljačka se dogodila noću.
rocket	raketa	Raketa je uspješno lansirana.
romance	romansa	Roman uključuje romansu.
rose	ruža	Crvena ruža rasla je pored ograde.
roughly	otprilike	Prisustvovalo je otprilike dvadeset ljudi.
ruin	uništiti	Kiša bi mogla uništiti piknik.
satisfaction	zadovoljstvo	Zadovoljstvo kupaca se poboljšalo.
scandal	skandal	Skandal je naštetio njegovoj karijeri.
scare	strah	Glasna buka me uplašila.
scenario	scenarij	Najgori scenarij je malo vjerojatan.
scholar	znanstvenik	Znanstvenik je proučavao drevne tekstove.
scholarship	stipendija	Ona je dobila stipendiju.
scratch	ogrebotina	Mačka je ostavila ogrebotinu.
screening	probir	Bolnica nudi probir na rak.
seeker	tražitelj	Tražitelj posla poslao je prijave.
seminar	seminar	Seminar počinje u devet.
settler	naseljenik	Naseljenik je sagradio malu farmu.
severely	teško	Oluja je teško oštetila ceste.
sexy	seksi	Haljina se smatrala seksi.
shocking	šokantan	Vijest je bila šokantna.
shore	obala	Šetali smo uz obalu.
shortage	nestašica	Grad se suočio s nestašicom vode.
shortly	ubrzo	Autobus je stigao ubrzo nakon podneva.
short-term	kratkoročan	Plan ima kratkoročne prednosti.
sibling	brat ili sestra	Svaki brat ili sestra dobio je poklon.
signature	potpis	Molimo vas da dodate svoj potpis.
significance	značaj	Otkriće ima veliki značaj.
skilled	vješt	Vješti radnici su popravili krov.
slogan	slogan	Kampanja je koristila jednostavan slogan.
so-called	takozvani	Takozvani stručnjak je griješio.
somehow	nekako	Nekako su ključevi nestali.
sometime	nekada	Posjetite nas nekada sljedeći tjedan.
sophisticated	sofisticiran	Softver je sofisticiran.
spare	rezervni	Čuvamo rezervni ključ.
specialize	specijalizirati se	Liječnici se specijaliziraju za različita polja.
specify	navesti	Molimo navedite svoje vrijeme dolaska.
spectacular	spektakularan	Vatromet je bio spektakularan.
spectator	gledatelj	Svaki gledatelj dobio je program.
speculate	nagađati	Stručnjaci nagađaju o uzroku.
speculation	nagađanje	Članak je potaknuo nagađanja.
spice	začin	Dodaj jedan po jedan začin.
spill	proliti	Nemoj proliti sok.
spite	prkos	Uspio je unatoč problemima.
spoil	pokvariti	Previše soli može pokvariti juhu.
spokesman	glasnogovornik	Glasnogovornik je odgovarao na pitanja.
spokesperson	glasnogovornik	Glasnogovornik je pročitao izjavu.
spokeswoman	glasnogovornica	Glasnogovornica se obratila novinarima.
sponsorship	sponzorstvo	Timu treba sponzorstvo.
sporting	sportski	Grad je domaćin sportskih događaja.
stall	štand	Štand na tržnici prodaje voće.
stance	stav	Ministar je promijenio svoj stav.
starve	gladovati	Bez hrane, životinje mogu gladovati.
steadily	postojano	Tvrtka je postojano rasla.
steam	para	Para se dizala iz juhe.
stimulate	potaknuti	Svijetle boje mogu potaknuti interes.
