source_headword	IS	example_IS
drive	keyra	Ég keyri í vinnuna.
driver	ökumaður	Ökumaðurinn stoppar hér.
during	á meðan; meðan	Ég sef í fluginu.
DVD	DVD	Þessi DVD-diskur er gamall.
each	hver	Hvert barn á bók.
ear	eyra	Eyrað mitt er sárt.
early	snemma; snemmur	Ég fer snemma á fætur.
east	austur	Sólin rís í austri.
easy	auðveldur	Þetta próf er auðvelt.
eat	borða	Við borðum hádegismat saman.
egg	egg	Ég borða eitt egg.
eight	átta	Ég á átta kort.
eighteen	átján	Hún er átján ára.
eighty	áttatíu	Afi minn er áttatíu ára.
elephant	fíll	Fíllinn er stór.
eleven	ellefu	Tíminn byrjar klukkan ellefu.
else	annar; meira	Hvað þarftu meira?
email	tölvupóstur	Sendu mér tölvupóst.
end	endir; enda	Þetta er endirinn.
enjoy	njóta; líka	Mér líkar þetta lag.
enough	nóg	Við höfum nægan tíma.
euro	evra	Þetta kostar eina evru.
even	jafnvel	Jafnvel bróðir minn veit það.
evening	kvöld	Við hittumst í kvöld.
event	viðburður	Viðburðurinn byrjar í dag.
ever	nokkurn tíma	Eldar þú einhvern tíma?
every	hver	Ég læri á hverjum degi.
everybody	allir	Allir eru hér.
everyone	allir	Allir hafa gaman af tónlist.
everything	allt	Allt er tilbúið.
exam	próf	Prófið byrjar bráðum.
example	dæmi	Þetta er gott dæmi.
excited	spenntur	Ég er spenntur í dag.
exciting	spennandi	Leikurinn er spennandi.
exercise	æfing; æfa	Ég æfi fyrir morgunmat.
expensive	dýr	Þessi kápa er dýr.
explain	útskýra	Útskýrðu þetta orð, vinsamlegast.
extra	auka; meiri	Ég þarf meiri tíma.
eye	auga	Augað mitt er rautt.
face	andlit	Þvoðu andlitið.
fact	staðreynd	Þessi staðreynd er mikilvæg.
fall	detta; haust	Laufin falla á haustin.
false	rangur; falskur	Þetta svar er rangt.
family	fjölskylda	Fjölskyldan mín er lítil.
famous	frægur	Hún er fræg söngkona.
fantastic	frábær	Tónleikarnir voru frábærir.
far	langt	Skólinn er langt í burtu.
farm	bær; sveitabær	Þau búa á sveitabæ.
farmer	bóndi	Bóndinn ræktar mat.
fast	fljótur; hraður	Þessi lest er hröð.
fat	feitur	Kötturinn er feitur.
father	faðir	Faðir minn er hár.
favourite	uppáhalds	Þetta er uppáhaldslagið mitt.
February	febrúar	Í febrúar er kalt hér.
feel	finna; líða	Mér líður vel.
feeling	tilfinning	Ég þekki þessa tilfinningu.
festival	hátíð	Hátíðin byrjar á morgun.
few	nokkrir	Hér eru nokkrir nemendur.
fifteen	fimmtán	Ég er fimmtán ára.
fifth	fimmti	Þetta er fimmti tíminn.
fifty	fimmtíu	Mamma mín er fimmtíu ára.
fill	fylla	Fylltu bollann með vatni.
film	kvikmynd	Við horfum á kvikmynd.
final	lok; síðasti	Þetta er síðasta spurningin.
find	finna	Ég finn lyklana mína.
fine	gott; fínn	Mér líður vel núna.
finish	klára	Kláraðu heimavinnuna.
fire	eldur	Eldurinn er heitur.
first	fyrsti	Hún er fyrst í röðinni.
fish	fiskur	Ég borða fisk í kvöldmat.
five	fimm	Ég á fimm bækur.
flat	íbúð	Íbúðin mín er lítil.
flight	flug	Fluginu seinkar.
floor	gólf; hæð	Taskan er á gólfinu.
flower	blóm	Þetta blóm er gult.
fly	fljúga	Fuglarnir fljúga um himininn.
follow	fylgja	Fylgdu mér, vinsamlegast.
food	matur	Maturinn er tilbúinn.
foot	fótur	Fóturinn minn er sár.
football	fótbolti	Við spilum fótbolta í dag.
for	fyrir; vegna	Þessi gjöf er handa þér.
forget	gleyma	Ekki gleyma lyklunum.
form	eyðublað	Fylltu út eyðublaðið.
forty	fjörutíu	Faðir minn er fjörutíu ára.
four	fjórir	Ég sé fjóra fugla.
fourteen	fjórtán	Hún er fjórtán ára.
fourth	fjórði	Þetta er fjórða hæðin.
free	ókeypis; frjáls	Miðinn er ókeypis.
Friday	föstudagur	Við hittumst á föstudag.
friend	vinur	Vinur minn er hér.
friendly	vinalegur	Kennarinn er vinalegur.
from	frá; úr	Ég er héðan.
front	framhlið; fremst	Stattu fremst.
fruit	ávextir	Ég borða ávexti á hverjum degi.
full	fullur	Flaskan er full.
fun	gaman; skemmtun	Þessi leikur er skemmtilegur.
funny	fyndinn	Kvikmyndin er fyndin.
future	framtíð	Hugsaðu um framtíðina þína.
game	leikur	Leikurinn byrjar núna.
garden	garður	Garðurinn er fallegur.
geography	landafræði	Ég læri landafræði í skólanum.
get	fá; komast	Ég kem heim klukkan sex.
girl	stelpa	Stelpan brosir.
girlfriend	kærasta	Kærastan hans er góð.
give	gefa	Gefðu mér bókina.
glass	glas; gler	Ég drekk úr glasi.
go	fara	Við förum heim núna.
good	góður	Þetta kaffi er gott.
goodbye	bless	Bless, sjáumst á morgun.
grandfather	afi	Afi minn er gamall.
grandmother	amma	Amma mín eldar súpu.
grandparent	afi eða amma	Amma býr hjá okkur.
great	frábær	Þetta er frábær hugmynd.
green	grænn	Hurðin er græn.
grey	grár	Himinninn er grár.
group	hópur	Vinnið í litlum hópi.
grow	vaxa; rækta	Plönturnar vaxa í garðinum.
guess	giska	Giskaðu á svarið.
guitar	gítar	Hann spilar á gítar.
gym	líkamsræktarstöð	Ég fer í líkamsræktarstöðina.
hair	hár	Hárið hennar er sítt.
half	helmingur	Skerðu kökuna í tvennt.
hand	hönd	Réttu upp höndina.
happen	gerast	Hvað gerist næst?
happy	hamingjusamur	Ég er hamingjusamur í dag.
hard	erfiður; harður	Þessi stóll er harður.
hat	hattur; húfa	Húfan mín er svört.
hate	hata	Ég hata kalt te.
have	hafa	Ég á bíl.
have to modal	þurfa; verða að	Ég þarf að læra.
he	hann	Hann er bróðir minn.
head	höfuð	Höfuðið mitt er sárt.
health	heilsa	Góður matur hjálpar heilsunni.
healthy	heilbrigður; hollur	Þessi máltíð er holl.
hear	heyra	Ég heyri tónlist.
hello	halló	Halló, gaman að kynnast þér.
help	hjálp; hjálpa	Vinsamlegast hjálpaðu mér.
her	hennar; hana	Þetta er taskan hennar.
here	hér	Komdu hingað núna.
hey	hæ	Hæ, bíddu eftir mér.
hi	hæ	Hæ, hvernig hefurðu það?
high	hár	Veggurinn er hár.
him	hann; honum	Ég þekki hann.
his	hans	Kápan hans er blá.
history	saga	Ég læri sögu.
hobby	áhugamál	Lestur er áhugamálið mitt.
holiday	frí; hátíð	Í júlí förum við í frí.
home	heimili; heima	Ég er heima.
homework	heimavinna	Gerðu heimavinnuna í kvöld.
hope	vona	Ég vona að þú komir.
horse	hestur	Hesturinn hleypur hratt.
hospital	sjúkrahús	Sjúkrahúsið er nálægt.
hot	heitur	Súpan er heit.
hotel	hótel	Hótelið er hreint.
hour	klukkustund	Bíddu í eina klukkustund.
house	hús	Þetta hús er gamalt.
how	hvernig	Hvernig hefurðu það?
however	hins vegar	Hins vegar get ég verið hér.
hundred	hundrað	Hundrað manns komu.
hungry	svangur	Ég er svangur.
husband	eiginmaður	Eiginmaður hennar er læknir.
I	ég	Mér líkar te.
ice	ís	Ísinn er kaldur.
ice cream	ís	Mig langar í ís.
idea	hugmynd	Þetta er góð hugmynd.
if	ef	Hringdu í mig ef þú þarft hjálp.
imagine	ímynda sér	Ímyndaðu þér lítið hús.
important	mikilvægur	Þessi tími er mikilvægur.
improve	bæta	Ég vil bæta enskuna mína.
in	í; inni	Lyklarnir eru í töskunni minni.
include	hafa með; taka með	Hafðu nafnið þitt með, vinsamlegast.
information	upplýsingar	Ég þarf meiri upplýsingar.
interest	áhugi	Hún hefur áhuga á list.
interested	áhugasamur	Ég hef áhuga á tónlist.
interesting	áhugaverður	Þessi bók er áhugaverð.
internet	internet	Internetið er hægt.
interview	viðtal	Ég fer í viðtal í dag.
into	inn í	Settu bækurnar í töskuna.
introduce	kynna	Kynntu vin þinn.
island	eyja	Þessi eyja er lítil.
it	það	Það er kalt.
its	þess; sinn	Hundurinn elskar bælið sitt.
jacket	jakki	Jakkinn minn er nýr.
January	janúar	Janúar er fyrsti mánuðurinn.
jeans	gallabuxur	Gallabuxurnar mínar eru bláar.
job	starf; vinna	Ég þarf nýja vinnu.
join	ganga í; taka þátt	Taktu þátt í bekknum okkar í dag.
journey	ferð	Ferðin er löng.
juice	safi	Ég drekk appelsínusafa.
July	júlí	Í júlí ferðumst við.
June	júní	Skólinn endar í júní.
just	bara; rétt	Ég þarf bara vatn.
keep	halda; geyma	Geymdu þennan lykil.
key	lykill	Ég týndi lyklinum.
kilometre	kílómetri	Gakktu einn kílómetra.
kind (type)	tegund	Hvaða tónlistartegund líkar þér?
kitchen	eldhús	Eldhúsið er hreint.
know	vita; þekkja	Ég veit svarið.
land	land; jörð	Flugvélin er á jörðinni.
language	tungumál	Ég læri ensku.
large	stór	Þetta herbergi er stórt.
last1 (final)	síðasti	Þetta er síðasta síðan.
late	seinn; seint	Strætó er seinn.
later	seinna	Sjáumst seinna.
laugh	hlæja	Við hlæjum saman.
learn	læra	Ég læri ensku.
leave	fara; skilja eftir	Skildu hurðina eftir opna.
left	vinstri	Beygðu til vinstri hér.
leg	fótur	Fóturinn minn er sár.
lesson	kennslustund	Kennslustundin byrjar núna.
let	leyfa	Leyfðu mér að hjálpa.
letter	bréf; bókstafur	Ég skrifa bréf.
library	bókasafn	Bókasafnið opnar klukkan níu.
lie1	liggja	Liggðu á rúminu.
life	líf	Lífið í borginni er annasamt.
like (similar)	eins og; líkur	Þetta er eins og leikur.
like (find sb/sth pleasant)	líka við	Mér líkar þetta lag.
line	röð; lína	Stattu í röð.
lion	ljón	Ljónið sefur.
list	listi	Búðu til innkaupalista.
listen	hlusta	Hlustaðu á kennarann.
little	lítill; lítið	Ég á lítið af peningum.
live1	búa	Ég bý nálægt skólanum.
local	staðbundinn; heimamaður	Þetta er staðbundin búð.
long1	langur	Vegurinn er langur.
look	horfa; líta út	Horfðu á myndina.
lose	týna; tapa	Ekki týna miðanum.
lot	mikið	Ég á mikið af heimavinnu.
love	elska; ást	Ég elska fjölskylduna mína.
lunch	hádegismatur	Hádegismaturinn er tilbúinn.
