source_headword	KA	example_KA
button	ღილაკი	წითელ ღილაკს დააჭირეთ.
camp	ბანაკი; დაბანაკება	ტბასთან ვბანაკდებით.
camping	კემპინგი; დაბანაკება	ზაფხულში კემპინგი სასიამოვნოა.
can2	ქილა	ქილა ფრთხილად გახსენით.
care	ზრუნვა	ჯანმრთელობაზე იზრუნე.
careful	ფრთხილი	კიბეზე ფრთხილად იყავით.
carefully	ფრთხილად; ყურადღებით	კითხვა ყურადღებით წაიკითხეთ.
carpet	ხალიჩა	ხალიჩა რბილია.
cartoon	მულტფილმი	ეს მულტფილმი სასაცილოა.
case	ყუთი; საქმე	ის ყუთში ჩადეთ.
cash	ნაღდი ფული	ნაღდი ფულით გადავიხადე.
castle	ციხე	ციხე ძალიან ძველია.
catch	დაჭერა	ბურთი ახლა დაიჭირე.
cause	გამოწვევა	წვიმამ პრობლემები შეიძლება გამოიწვიოს.
celebrate	აღნიშვნა	ჩემს დაბადების დღეს აღვნიშნავთ.
celebrity	ცნობილი ადამიანი	ცნობილი ადამიანი ძალიან კეთილი იყო.
certain	დარწმუნებული	ამაში დარწმუნებული ვარ.
certainly	რა თქმა უნდა	რა თქმა უნდა, დაგეხმარები.
chance	შანსი; შესაძლებლობა	შენ გაქვს შანსი.
character	პერსონაჟი; ხასიათი	ეს პერსონაჟი მამაცია.
charity	ქველმოქმედება	ქველმოქმედება ბავშვებს ეხმარება.
chat	საუბარი	გაკვეთილის შემდეგ ვსაუბრობთ.
chef	შეფი; მზარეული	მზარეულმა წვნიანი მოამზადა.
chemistry	ქიმია	ქიმია ჩემთვის რთულია.
chip	ჩიფსი	ეს ჩიფსი მარილიანია.
choice	არჩევანი	ეს არჩევანი მნიშვნელოვანია.
church	ეკლესია	ეკლესია აქ ახლოსაა.
cigarette	სიგარეტი	სიგარეტი ჯანმრთელობისთვის ცუდია.
circle	წრე	აქ წრე დახაზეთ.
classical	კლასიკური	კლასიკური მუსიკა მიყვარს.
clear	ნათელი; გასაგები	პასუხი გასაგებია.
clearly	გასაგებად	გთხოვთ, გასაგებად ილაპარაკეთ.
clever	ჭკვიანი	ის ჭკვიანი ბავშვია.
climate	კლიმატი	კლიმატი იცვლება.
close2	ახლოს	ჩემი სკოლა სახლთან ახლოსაა.
closed	დაკეტილი	მაღაზია დაკეტილია.
clothing	ტანსაცმელი	თბილი ტანსაცმელი სასარგებლოა.
cloud	ღრუბელი	ღრუბელი მზეს ფარავს.
coach	მწვრთნელი	მწვრთნელი გუნდს დაეხმარა.
coast	სანაპირო	სანაპიროს გასწვრივ ვიარეთ.
code	კოდი	კოდი აქ შეიყვანეთ.
colleague	კოლეგა	ჩემმა კოლეგამ დამირეკა.
collect	შეგროვება	ძველ ბარათებს ვაგროვებ.
column	სვეტი	პირველი სვეტი წაიკითხეთ.
comedy	კომედია	ეს კომედია სასაცილოა.
comfortable	კომფორტული	ეს სკამი კომფორტულია.
comment	კომენტარი	ქვემოთ კომენტარი დატოვეთ.
communicate	ურთიერთობა	ჩვენ ელფოსტით ვურთიერთობთ.
community	თემი	ჩვენი თემი მეგობრულია.
compete	შეჯიბრება	ისინი ყოველ წელს ეჯიბრებიან.
competition	შეჯიბრი	შეჯიბრი ხვალ იწყება.
complain	ჩივილი	ისევ ნუ იჩივლებ.
completely	სრულიად	სრულიად გეთანხმები.
condition	მდგომარეობა	მანქანა კარგ მდგომარეობაშია.
conference	კონფერენცია	კონფერენცია ცხრა საათზე იწყება.
connect	დაკავშირება	ტელეფონი კომპიუტერს დაუკავშირეთ.
connected	დაკავშირებული	ორი იდეა დაკავშირებულია.
consider	განხილვა; გათვალისწინება	გთხოვთ, ჩემი იდეა გაითვალისწინეთ.
contain	შეიცავდეს	ეს ყუთი წიგნებს შეიცავს.
context	კონტექსტი	კონტექსტი გაგებაში გეხმარება.
continent	კონტინენტი	კონტინენტი ძალიან დიდია.
continue	გაგრძელება	გთხოვთ, კითხვა გააგრძელეთ.
control	კონტროლი; მართვა	სიჩქარე ფრთხილად აკონტროლეთ.
cooker	ქურა	ქურა სუფთაა.
copy	ასლი	ჩემთვის ერთი ასლი გააკეთეთ.
corner	კუთხე	კუთხეში დაჯექით.
correctly	სწორად	პასუხი სწორად დაწერეთ.
count	დათვლა	წიგნები დათვალეთ.
couple	წყვილი	წყვილი ადრე მოვიდა.
cover	დაფარვა	თასი დაფარეთ.
crazy	გიჟური; უცნაური	ეს იდეა უცნაურად ჟღერს.
creative	შემოქმედებითი	მას შემოქმედებითი იდეა აქვს.
credit	კრედიტი	საკრედიტო ბარათით გადავიხადე.
crime	დანაშაული	დანაშაული სერიოზული პრობლემაა.
criminal	დამნაშავე	დამნაშავე სწრაფად წავიდა.
cross	გადაკვეთა	ქუჩა ფრთხილად გადაკვეთეთ.
crowd	ბრბო	ბრბო გარეთ ელოდა.
crowded	ხალხმრავალი	მატარებელი ხალხმრავალი იყო.
cry	ტირილი	ახლა ნუ ტირი.
cupboard	კარადა	ჭიქები კარადაშია.
curly	ხვეული	მას ხვეული თმა აქვს.
cycle	ველოსიპედით სიარული	სკოლაში ველოსიპედით მივდივარ.
daily	ყოველდღიური	ახალ ამბებს ყოველდღე ვკითხულობ.
danger	საფრთხე	ნიშანი საფრთხეს აჩვენებს.
data	მონაცემები	მონაცემები სასარგებლოა.
dead	მკვდარი	მცენარე მკვდარია.
deal	გარიგება; კარგი ფასი	ეს კარგი გარიგებაა.
death	სიკვდილი	სიკვდილი რთული თემაა.
decision	გადაწყვეტილება	დღეს გადაწყვეტილება მიიღეთ.
deep	ღრმა	წყალი ღრმაა.
definitely	აუცილებლად	ჩაი აუცილებლად მინდა.
degree	ხარისხი; დიპლომი	ჩემი დიპლომი ისტორიაშია.
dentist	სტომატოლოგი	სტომატოლოგმა კბილები შემიმოწმა.
department	განყოფილება	ფეხსაცმლის განყოფილება ზემოთაა.
depend	დამოკიდება	ეს ამინდზეა დამოკიდებული.
desert	უდაბნო	უდაბნო ძალიან მშრალია.
designer	დიზაინერი	დიზაინერმა ეს კაბა შექმნა.
destroy	განადგურება	ფაილი არ გაანადგუროთ.
detective	დეტექტივი	დეტექტივმა გასაღები იპოვა.
develop	განვითარება; შექმნა	ისინი ახალ აპლიკაციას ქმნიან.
device	მოწყობილობა	ეს მოწყობილობა სასარგებლოა.
diary	დღიური	ის დღიურში წერს.
differently	სხვაგვარად	ჩვენ ამას სხვაგვარად ვაკეთებთ.
digital	ციფრული	ეს ციფრული კამერაა.
direct	პირდაპირი	პირდაპირ მატარებელში ჩაჯექით.
direction	მიმართულება	ამ მიმართულებით იარეთ.
director	რეჟისორი	რეჟისორს ფილმი მოეწონა.
disagree	არ დათანხმება	ამ იდეას არ ვეთანხმები.
disappear	გაქრობა	მზე მალე გაქრება.
disaster	კატასტროფა	ქარიშხალი კატასტროფა იყო.
discover	აღმოჩენა	ისინი ახალ კუნძულს აღმოაჩენენ.
discovery	აღმოჩენა	აღმოჩენამ მეცნიერება შეცვალა.
discussion	განხილვა	განხილვა ადრე დასრულდა.
disease	დაავადება	ეს დაავადება სერიოზულია.
distance	მანძილი	მანძილი მოკლეა.
divorced	განქორწინებული	მისი მშობლები განქორწინებულები არიან.
document	დოკუმენტი	ეს დოკუმენტი ახლა შეინახეთ.
double	ორმაგი; ორადგილიანი	ორადგილიანი ოთახი მჭირდება.
download	ჩამოტვირთვა	აპლიკაცია დღეს ჩამოტვირთეთ.
drama	დრამა	დრამა ამ საღამოს იწყება.
drawing	ნახატი	მისი ნახატი ლამაზია.
dream	სიზმარი; ოცნება	უცნაური სიზმარი ვნახე.
driving	მართვა	ღამით მართვა რთულია.
drop	დაგდება	ჭიქა არ დააგდოთ.
drug	წამალი	წამალი მას დაეხმარა.
dry	მშრალი	პირსახოცი მშრალია.
earn	გამომუშავება	სამსახურში ფულს ვგამოიმუშავებ.
earth	დედამიწა	დედამიწა მრგვალია.
easily	ადვილად	ის ადვილად სწავლობს.
education	განათლება	განათლება მნიშვნელოვანია.
effect	ეფექტი; გავლენა	ეფექტი აშკარა იყო.
either	ორიდან ერთი; ნებისმიერი	ორივე პასუხი მისაღებია.
electric	ელექტრო	ეს მანქანა ელექტროა.
electrical	ელექტრული	ელექტრული სისტემა უსაფრთხოა.
electricity	ელექტროენერგია	ელექტროენერგია აქ ძვირია.
electronic	ელექტრონული	ეს ელექტრონული ბილეთი მუშაობს.
employ	დასაქმება	ისინი ხუთ ადამიანს ასაქმებენ.
employee	თანამშრომელი	თანამშრომელი ბევრს მუშაობს.
employer	დამსაქმებელი	ჩემი დამსაქმებელი სამართლიანია.
empty	ცარიელი	ოთახი ცარიელია.
ending	დასასრული	დასასრული მოულოდნელი იყო.
energy	ენერგია	დღეს ენერგია არ მაქვს.
engine	ძრავა	ძრავა ხმამაღალია.
engineer	ინჟინერი	ინჟინერმა ხიდი შეაკეთა.
enormous	უზარმაზარი	შენობა უზარმაზარია.
enter	შესვლა	ოთახში ჩუმად შედით.
environment	გარემო	გარემო დაიცავით.
equipment	აღჭურვილობა	ეს აღჭურვილობა ძვირია.
error	შეცდომა	შეცდომა ვიპოვე.
especially	განსაკუთრებით	ეს სიმღერა განსაკუთრებით მომწონს.
essay	ესე	ამ საღამოს ესე დაწერეთ.
everyday	ყოველდღიური	ეს ყოველდღიური ინგლისურია.
everywhere	ყველგან	ყვავილები ყველგან იზრდება.
evidence	მტკიცებულება	მტკიცებულება აშკარაა.
exact	ზუსტი	ზუსტი რიცხვი მომეცით.
exactly	ზუსტად	ეს ზუსტად სწორია.
excellent	შესანიშნავი	შენი ნამუშევარი შესანიშნავია.
except	გარდა	ყველა მოვიდა, ჩემ გარდა.
exist	არსებობა	ეს მისამართი არსებობს?
expect	მოლოდინი	ხვალ წვიმას ველი.
experience	გამოცდილება	ბავშვებთან გამოცდილება მაქვს.
experiment	ექსპერიმენტი	ექსპერიმენტმა კარგად იმუშავა.
expert	ექსპერტი	დახმარებისთვის ექსპერტს ჰკითხეთ.
explanation	ახსნა	მისი ახსნა გასაგები იყო.
express	გამოხატვა	გთხოვთ, თქვენი აზრი გამოხატეთ.
expression	გამოთქმა	ეს გამოთქმა გავრცელებულია.
extreme	უკიდურესი	სიცხე უკიდურესი იყო.
extremely	უკიდურესად	უკიდურესად ცივა.
factor	ფაქტორი	ხარჯი ერთი ფაქტორია.
factory	ქარხანა	ქარხანა ხუთ საათზე იხურება.
fail	მარცხი; ვერ შეძლება	მე არ წავაგე.
fair	სამართლიანი	ფასი სამართლიანია.
fan	ვენტილატორი	ვენტილატორი ჩართეთ.
farming	მეურნეობა	მეურნეობა მძიმე სამუშაოა.
fashion	მოდა	მოდა ყოველ წელს იცვლება.
fear	შიში	შიშმა შეიძლება ადამიანები გააჩეროს.
feature	მახასიათებელი	ამ ტელეფონს სასარგებლო მახასიათებელი აქვს.
feed	კვება	კატა ახლა აჭამეთ.
female	ქალი; მდედრი	ქალმა სპორტსმენმა გაიმარჯვა.
fiction	მხატვრული ლიტერატურა	ის ღამით მხატვრულ ლიტერატურას კითხულობს.
field	ველი; მინდორი	მინდორი მწვანეა.
fight	ჩხუბი; ბრძოლა	ისინი ძალიან ბევრს ჩხუბობენ.
figure	ფიგურა; რიცხვი	ფიგურას შეხედეთ.
finally	ბოლოს	ბოლოს სახლში მივედით.
finger	თითი	თითი მტკივა.
firstly	პირველ რიგში	პირველ რიგში, კითხვა წაიკითხეთ.
fishing	თევზაობა	თევზაობა აქ პოპულარულია.
fit	მორგება	ეს ფეხსაცმელი კარგად მერგება.
fix	შეკეთება	გატეხილი სკამი შეაკეთეთ.
flu	გრიპი	გრიპი მაქვს.
flying	ფრენა	ფრენა სწრაფია.
focus	ყურადღების გამახვილება	ამ დავალებაზე ყურადღება გაამახვილე.
following	შემდეგი	შემდეგი წინადადება წაიკითხეთ.
foreign	უცხო	ის უცხო ენაზე საუბრობს.
forest	ტყე	ტყე ჩუმია.
fork	ჩანგალი	ჩანგალი გამოიყენეთ.
formal	ოფიციალური	ეს წერილი ოფიციალურია.
fortunately	საბედნიეროდ	საბედნიეროდ, არავინ დაშავებულა.
forward	წინ	ნელა წინ იმოძრავეთ.
fresh	ახალი	პური ახალია.
