source_headword	TE	example_TE
tent	డేరా	మేము ఒక చిన్న డేరాలో నిద్రపోయాము.
theirs	వారిది	ఆ నీలం రంగు బైక్‌లు వారివి.
theme	థీమ్	పార్టీకి బీచ్ థీమ్ ఉంది.
theory	సిద్ధాంతం	అతని సిద్ధాంతం సమస్యను వివరిస్తుంది.
therefore	అందువల్ల	వర్షం పడింది, అందువల్ల మేము లోపలే ఉన్నాము.
though	అయినప్పటికీ	అలసిపోయినప్పటికీ, ఆమె పనిచేస్తూనే ఉంది.
throat	గొంతు	ఈ ఉదయం నా గొంతు నొప్పిగా ఉంది.
throughout	అంతటా	సాయంత్రం అంతటా ప్రజలు డ్యాన్స్ చేశారు.
tight	బిగుతుగా	ఈ బూట్లు చాలా బిగుతుగా అనిపిస్తున్నాయి.
till	వరకు	నేను తిరిగి వచ్చే వరకు ఇక్కడ వేచి ఉండండి.
tin	డబ్బా	బీన్స్ డబ్బాను తెరవండి.
tiny	అతిచిన్న	ఒక చిన్న పక్షి సమీపంలో వాలింది.
toe	కాలి వేలు	నిన్న నా కాలి వేలికి గాయమైంది.
tongue	నాలుక	ఆమె టీ తాగి నాలుక కాల్చుకుంది.
total	మొత్తం	మొత్తం ఖర్చు తక్కువగా ఉంది.
totally	పూర్తిగా	నేను మీ ఆందోళనను పూర్తిగా అర్థం చేసుకున్నాను.
trade	వాణిజ్యం	అంతర్జాతీయ వాణిజ్యం ఉద్యోగాలను సృష్టిస్తుంది.
translate	అనువదించడం	దయచేసి ఈ వాక్యాన్ని అనువదించండి.
translation	అనువాదం	అనువాదం సహజంగా అనిపిస్తుంది.
treat	ప్రవర్తించడం	ప్రతి ఒక్కరితో గౌరవంగా ప్రవర్తించండి.
treatment	చికిత్స	రోగికి ఈరోజు చికిత్స అవసరం.
trend	పోకడ	ఈ పోకడ ప్రపంచవ్యాప్తంగా పెరుగుతోంది.
trick	ట్రిక్	ఆ కార్డ్ ట్రిక్ నన్ను ఆశ్చర్యపరిచింది.
truth	నిజం	దయచేసి నిజం చెప్పండి.
tube	ట్యూబ్	ట్యూబ్‌ను నెమ్మదిగా పిండండి.
typically	సాధారణంగా	విద్యార్థులు సాధారణంగా తొమ్మిది గంటలకంటే ముందే వస్తారు.
tyre	టైర్	కారుకు కొత్త టైర్ అవసరం.
ugly	వికారమైన	ఆ గోడ రంగు వికారంగా కనిపిస్తోంది.
unable	చేయలేకపోవడం	అతను సమాధానం చెప్పలేకపోయాడు.
uncomfortable	అసౌకర్యంగా	ఈ కుర్చీ అసౌకర్యంగా ఉంది.
underwear	లోదుస్తులు	పర్యటన కోసం శుభ్రమైన లోదుస్తులను ప్యాక్ చేయండి.
unemployed	నిరుద్యోగి	ఆమె రెండు నెలల పాటు నిరుద్యోగిగా ఉంది.
unemployment	నిరుద్యోగం	చలికాలంలో నిరుద్యోగం పెరిగింది.
unfair	అన్యాయమైన	ఈ నిర్ణయం అన్యాయంగా అనిపించింది.
union	యూనియన్	సురక్షితమైన పని కోసం యూనియన్ కోరింది.
unless	అయితే తప్ప	నేను పిలిస్తే తప్ప వెళ్లవద్దు.
unlike	భిన్నంగా	టామ్‌కు భిన్నంగా, అనాకు చలికాలం అంటే ఇష్టం.
unlikely	అసంభవం	ఈ వారం మంచు కురవడం అసంభవం.
unnecessary	అనవసరమైన	అదనపు బ్యాగులు అనవసరం.
unpleasant	అసహ్యకరమైన	గదిలో ఒక అసహ్యకరమైన వాసన ఉంది.
update	నవీకరించడం	నేను నా ఫోన్‌ను అప్‌డేట్ చేయాలి.
upon	మీద	అనగనగా ఒక రాజు ఉండేవాడు.
upset	కలత	ఫోన్ కాల్ తర్వాత ఆమె కలత చెందింది.
used1	ఉపయోగించబడిన	ఈ గదిని సమావేశాల కోసం ఉపయోగిస్తారు.
used2	అలవాటు పడటం	నాకు ఉదయాన్నే లేవడం అలవాటు.
valuable	విలువైన	ఈ గడియారం విలువైనది.
value	విలువ	ఈ ఇల్లు గత సంవత్సరం విలువను కోల్పోయింది.
various	వివిధ	మేము వివిధ స్థానిక వంటకాలను ప్రయత్నించాము.
version	వెర్షన్	ఈ వెర్షన్ మెరుగ్గా పనిచేస్తుంది.
victim	బాధితుడు	బాధితుడు పోలీసులను పిలిచాడు.
viewer	వీక్షకుడు	ఒక వీక్షకుడు ఒక ప్రశ్న అడిగాడు.
violent	హింసాత్మక	ఆ సినిమా చాలా హింసాత్మకంగా ఉంది.
volunteer	వాలంటీర్	నేను లైబ్రరీలో స్వచ్ఛందంగా సేవ చేస్తాను.
vote	ఓటు	రేపు ఓటు వేయడం మర్చిపోవద్దు.
warn	హెచ్చరించడం	నేను అతన్ని హెచ్చరించడానికి ప్రయత్నించాను.
warning	హెచ్చరిక	తెరపై హెచ్చరిక కనిపించింది.
waste	వృథా	శుభ్రమైన నీటిని వృథా చేయవద్దు.
weapon	ఆయుధం	కత్తి ఆయుధంగా మారింది.
weigh	తూకం వేయడం	పిండిని జాగ్రత్తగా తూకం వేయండి.
western	పాశ్చాత్య	వారు పాశ్చాత్య చలనచిత్రాన్ని చూశారు.
whatever	ఏదైనా	మీకు నచ్చినది ఏదైనా ఎంచుకోండి.
whenever	ఎప్పుడైనా	మీకు సహాయం కావాల్సినప్పుడు ఎప్పుడైనా కాల్ చేయండి.
whether	అవునో కాదో	ఆమె అంగీకరిస్తుందో లేదో నాకు తెలియదు.
wing	రెక్క	పక్షికి ఒక రెక్కకు గాయమైంది.
within	లోపల	దయచేసి రెండు రోజుల్లోపు సమాధానం ఇవ్వండి.
wonder	ఆశ్చర్యపోవడం	ఏమైందో అని నేను ఆలోచిస్తున్నాను.
wool	ఉన్ని	ఈ కోటు ఉన్నితో తయారు చేయబడింది.
worldwide	ప్రపంచవ్యాప్తంగా	ఈ పాట ప్రపంచవ్యాప్తంగా ప్రజాదరణ పొందింది.
worth	విలువ	ఈ పుస్తకం చదవదగినది.
written	వ్రాతపూర్వక	దయచేసి వ్రాతపూర్వక సూచనలను పంపండి.
yard	పెరడు	పిల్లలు పెరట్లో ఆడుకున్నారు.
youth	యువత	యూత్ క్లబ్‌లు స్థానిక యువకులకు మద్దతు ఇస్తాయి.
