source_headword	SR	example_SR
legacy	наслеђе	Њено наслеђе обликовало је универзитет.
legendary	легендаран	Легендарни певач вратио се на сцену.
legislation	законодавство	Ново законодавство штити станаре.
legislative	законодавни	Законодавни одбор састао се данас.
legislature	законодавно тело	Законодавно тело одобрило је буџет.
legitimate	легитиман	Изразили су легитимне забринутости.
lengthy	дуготрајан	Дуготрајна расправа одложила је гласање.
lesbian	лезбијски	Лезбијска активисткиња говорила је на форуму.
lesser	мањи	Одаберите мањи ризик.
lethal	смртоносан	Хемикалија може бити смртоносна.
liable	одговоран	Возачи су одговорни за штету.
liberal	либералан	Он подржава либералне социјалне политике.
liberation	ослобођење	Ослобођење је променило будућност земље.
liberty	слобода	Закон штити личну слободу.
license	лиценцирати	Држава би могла лиценцирати нове клинике.
lifelong	доживотан	Тамо је стекла доживотне пријатеље.
likelihood	вероватноћа	Вероватноћа кише се повећала.
limb	уд	Повређени уд је споро зацељивао.
linear	линеаран	Графикон показује линеаран тренд.
line-up	постава	Фестивалска постава укључује локалне бендове.
linger	задржати се	Мирис се може задржати сатима.
listing	оглас	Оглас за стан је изгледао тачно.
literacy	писменост	Програми описмењавања одраслих су се проширили.
liver	јетра	Јетра филтрира штетне материје.
lobby	предворје	Предворје је било пуно након поднева.
log	дневник	Систем води дневни дневник.
logic	логика	Логика његовог аргумента је заказала.
long-standing	дугогодишњи	Решили су дугогодишњи спор.
long-time	дугогодишњи	Она је дугогодишња волонтерка.
loom	надвијати се	Тамни облаци се надвијају над долином.
loop	петља	Стаза чини петљу.
loyalty	оданост	Његова оданост је импресионирала тим.
machinery	машинерија	Фабрика је инсталирала нове машине.
magical	чаробан	Врт је ноћу изгледао чаробно.
magistrate	судија	Судија је саслушао случај.
magnetic	магнетни	Магнетно поље је утицало на компас.
magnitude	размера	Размера штете је била јасна.
mainland	копно	Трајект повезује острва са копном.
mainstream	главни ток	Идеја је ушла у мејнстрим политику.
maintenance	одржавање	Редовно одржавање спречава кварове.
mandate	мандат	Председник је тврдио да има снажан мандат.
mandatory	обавезан	Присуство је обавезно за приправнике.
manifest	манифестовати се	Симптоми се могу испољити након неколико недеља.
manipulate	манипулисати	Немојте манипулисати резултатима анкете.
manipulation	манипулација	Манипулација подацима је откривена.
manuscript	рукопис	Издавач је прихватио њен рукопис.
march	марширати	Демонстранти ће марширати центром града.
marginal	маргиналан	Промена је донела маргиналне користи.
marine	морски	Морском животу је потребна чиста вода.
marketplace	тржиште	Интернет тржиште се брзо проширило.
mask	маска	Радници морају носити маску.
massacre	масакр	Масакр је шокирао цео регион.
mathematical	математички	Математички модел је предвидео потражњу.
mature	зрео	Зрела стабла пружају хлад.
maximize	максимизирати	Ажурирање ће максимизирати трајање батерије.
meaningful	смислен	Имали су смислен разговор.
meantime	међувреме	У међувремену, сачекајте напољу.
medieval	средњовековни	Дворац има средњовековне зидине.
meditation	медитација	Свакодневна медитација смирује њен ум.
melody	мелодија	Мелодија ми је остала у глави.
memo	допис	Допис је објаснио политику.
memoir	мемоари	Њени мемоари описују прогонство у детињству.
memorial	споменик	Споменик одаје почаст локалним војницима.
mentor	ментор	Њен ментор је прегледао предлог.
merchant	трговац	Трговац је продавао свилу и зачине.
mercy	милост	Судија је показао милост.
mere	пуки	Пуки поглед открио је грешку.
merely	само	Само је поновила упутства.
merge	спојити се	Две компаније ће се спојити.
merger	спајање	Спајање је створило већу банку.
merit	заслуга	Предлог има јасну вредност.
methodology	методологија	Студија објашњава своју методологију.
midst	средина	Радили су усред хаоса.
migration	миграција	Сезонска миграција утиче на локалне послове.
militant	милитантан	Милитантна група је одбила преговоре.
militia	милиција	Милиција је контролисала пут.
mill	млин	Стари млин је постао музеј.
minimal	минималан	План захтева минималан труд.
minimize	минимизирати	Морамо смањити непотребан ризик на минимум.
mining	рударство	Рударство је уништило речну долину.
ministry	министарство	Министарство је објавило нова правила.
minute2	сићушан	На стаклу се појавила сићушна пукотина.
miracle	чудо	Његов опоравак је деловао као чудо.
misery	беда	Избеглице су претрпеле године беде.
misleading	обмањујући	Обмањујући графикон је збунио читаоце.
missile	пројектил	Тестирање пројектила је подигло тензије.
mob	руља	Бесна руља је блокирала саобраћај.
mobility	мобилност	Бољи аутобуси побољшавају урбану мобилност.
mobilize	мобилисати	Лидери брзо мобилишу волонтере.
moderate	умерен	Кандидат има умерене ставове.
modification	измена	Дизајн треба једну измену.
momentum	замах	Кампања је брзо добила на замаху.
monk	монах	Монах је живео у тишини.
monopoly	монопол	Компанија је имала монопол.
morality	морал	Курс испитује јавни морал.
motive	мотив	Полиција је испитала његов мотив.
motorist	возач	Возач се зауставио на црвеном светлу.
municipal	општински	Комуналне услуге су се побољшале ове године.
mutual	узајаман	Постигли су обострани договор.
namely	наиме	Остаје један проблем, наиме финансирање.
nationwide	широм земље	Штрајк је изазвао кашњења широм земље.
naval	поморски	Поморска база затворена је прошле године.
neglect	занемарити	Немојте занемарити основну безбедност.
neighbouring	суседни	Суседни градови су делили болницу.
nest	гнездо	Птица је свила гнездо.
net	нето	Нето добит је нагло порасла.
newsletter	билтен	Билтен стиже сваког петка.
niche	ниша	Компанија је пронашла профитабилну нишу.
noble	племенит	Њен племенити гест је све импресионирао.
nod	климнути	Молим вас, климните ако разумете.
nominate	номиновати	Предложиће новог председника.
nomination	номинација	Њена номинација је изненадила одбор.
nominee	кандидат	Кандидат је одговорио на тешка питања.
nonetheless	ипак	Ипак, план је кренуо напред.
non-profit	непрофитни	Ради за непрофитну клинику.
nonsense	бесмислица	Та гласина је потпуна бесмислица.
noon	подне	Састанак почиње у подне.
notable	значајан	Извештај је показао значајан напредак.
notably	значајно	Значајно, трошкови су пали у мају.
notify	обавестити	Молимо обавестите особље пре одласка.
notorious	озлоглашен	Пут је озлоглашен по несрећама.
novel	нов	Предложили су ново решење.
nursery	јаслице	Јаслице брину о одојчади.
objection	приговор	Адвокат је уложио приговор.
oblige	обавезати	Правила обавезују возаче да стану.
obsess	опседати	Немојте се опседати малим грешкама.
obsession	опсесија	Његова опсесија нашкодила је његовом послу.
occasional	повремени	Очекују се повремена кашњења.
occurrence	појава	Таква појава је ретка.
odds	изгледи	Изгледи за успех су се побољшали.
offering	понуда	Универзитет је проширио своју понуду.
offspring	потомак	Лисица је штитила своје потомство.
operational	оперативан	Нови систем је оперативан.
opt	одлучити се	Многи студенти се одлучују за онлајн наставу.
optical	оптички	Оптичко сочиво треба очистити.
optimism	оптимизам	Оптимизам се вратио након објаве.
oral	усмени	Усмени испит почиње сутра.
organizational	организациони	Организационе промене почеле су одмах.
orientation	оријентација	Радионица је обухватила оријентацију запослених.
originate	потицати	Многе традиције потичу из руралних села.
outbreak	избијање	Избијање се проширило градом.
outing	излет	Разред је уживао у излету у музеј.
outlet	продајно место	Продајно место продаје одећу са попустом.
outlook	изгледи	Економски изгледи остају несигурни.
outrage	огорчење	Одлука је изазвала огорчење јавности.
outsider	аутсајдер	Као аутсајдер, приметила је проблеме.
overlook	превидети	Немојте превидети мање детаље.
overly	претерано	Упутства су била претерано сложена.
oversee	надгледати	Она ће надгледати пројекат.
overturn	поништити	Суд може поништити пресуду.
overwhelm	преплавити	Превише информација може преплавити ученике.
overwhelming	необорив	Докази су били необориви.
pad	јастучић	Користите јастучић за заштиту колена.
parameter	параметар	Прилагођавајте један по један параметар.
parental	родитељски	Родитељска подршка побољшала је присуство.
parish	парохија	Парохија је организовала хуманитарну вечеру.
parliamentary	парламентарни	Парламентарна расправа трајала је сатима.
partial	делимичан	Извештај је дао делимичан одговор.
partially	делимично	Прозор је био делимично отворен.
passing	смрт	Њена смрт била је изненадна.
passive	пасиван	Пасивни инвеститори прихватили су стабилне поврате.
pastor	пастор	Пастор је посетио породицу.
patch	закрпа	Јакни треба мала закрпа.
patent	патент	Компанија је пријавила патент.
pathway	пут	Пут води до сертификације.
patrol	патролирати	Полиција патролира подручјем ноћу.
patron	покровитељ	Музеј је захвалио свом покровитељу.
peak	врхунац	Потражња је достигла зимски врхунац.
peasant	сељак	Сељак је поседовао мало земље.
peculiar	необичан	Соба је имала необичан мирис.
persist	потрајати	Симптоми могу потрајати данима.
persistent	упоран	Упоран кашаљ захтева пажњу.
personnel	особље	Досијеи особља су поверљиви.
petition	петиција	Петиција је прикупила хиљаде потписа.
philosopher	филозоф	Филозоф је преиспитивао уобичајене претпоставке.
philosophical	филозофски	Расправа је постала филозофска.
physician	лекар	Лекар је наручио крвне претраге.
pioneer	пионир	Постала је пионир у медицини.
pipeline	цевовод	Цевовод проводи гас под земљом.
pirate	гусар	Гусарски брод се појавио близу обале.
pit	јама	Радници су ископали дубоку јаму.
plea	молба	Његова молба за помоћ је игнорисана.
plead	изјаснити се	Осумњичени ће се изјаснити кривим.
pledge	обећати	Обећавају подршку реформама.
plug	укључити	Укључите кабл у утичницу.
plunge	пасти	Цене би могле пасти након скандала.
pole	стуб	Застава је висила на стубу.
poll	анкета	Анкета је показала промену мишљења.
pond	језерце	Патке су прешле залеђено језерце.
pop	пући	Балони пуцају близу оштрих предмета.
portfolio	портфељ	Њен портфељ укључује неколико стартапа.
portray	приказати	Филм ће приказати рурални живот.
postpone	одложити	Одлучили су да одложе саслушање.
post-war	послератни	Послератно становање било је хитно потребно.
practitioner	практичар	Практичар је објаснио лечење.
preach	проповедати	Свештеник ће проповедати у недељу.
precedent	преседан	Пресуда је поставила важан преседан.
precision	прецизност	Машина сече са прецизношћу.
predator	грабљивица	Грабљивац је чекао близу реке.
predecessor	претходник	Њен претходник је оставио детаљне белешке.
predominantly	претежно	Подручје је претежно стамбено.
pregnancy	трудноћа	Трудноћа захтева редовну медицинску негу.
prejudice	предрасуда	Кампања је оспоравала расне предрасуде.
preliminary	прелиминаран	Прелиминарни резултати изгледају обећавајуће.
premier	премијер	Премијер се данас обратио парламенту.
premise	премиса	Аргумент почива на лажној премиси.
premium	премија	Купци су плаћали премију за брзину.
prescribe	прописати	Лекари пажљиво прописују антибиотике.
prescription	рецепт	Рецепт истиче следећег месеца.
presently	тренутно	Она је тренутно недоступна.
preservation	очување	Очување штити историјске зграде.
preside	председавати	Судија ће председавати суђењем.
presidency	председништво	Његово председништво трајало је осам година.
presidential	председнички	Председнички избори привукли су пажњу.
prestigious	престижан	Освојила је престижну стипендију.
presumably	вероватно	Канцеларија је вероватно данас затворена.
presume	претпоставити	Претпостављамо да су документи аутентични.
prevail	превладати	Здрав разум би требало да превлада.
prevalence	распрострањеност	Распрострањеност астме се повећала.
prevention	превенција	Превенција је јефтинија од поправке.
