source_headword	TL	example_TL
vicious	malupit	Ginulat ng malupit na pag-atake ang bayan.
villager	taganayon	Ginabayan kami ng isang taganayon patungo sa ilog.
violate	lumabag	Maaaring lumabag ang kumpanya sa mga panuntunan sa kaligtasan.
violation	paglabag	Nag-ulat ang inspektor ng seryosong paglabag.
virtue	birtud	Ang pagtitiyaga ay isang mahalagang birtud.
vocal	lantaran	Siya ay lantaran tungkol sa desisyon.
vow	mangako	Nangako siyang tatapusin ang trabaho.
vulnerability	kahinaan	Ibinunyag ng audit ang isang kahinaan sa seguridad.
vulnerable	bulnerable	Ang mga bata ay bulnerable sa panahon ng matinding init.
ward	ward	Lumipat ang pasyente sa ibang ward.
warehouse	bodega	Nag-iimbak ang bodega ng mga ekstrang bahagi.
warfare	pakikidigma	Umaasa ang modernong pakikidigma sa teknolohiya.
warrant	warrant	Nagpakita ang pulisya ng search warrant.
warrior	mandirigma	Pinrotektahan ng mandirigma ang nayon.
weaken	pahinain	Pinahina ng pinsala ang kanyang hawak.
weave	maghabi	Natuto siyang maghabi ng mga basket.
weed	damo	Tumubo ang isang damo sa pagitan ng mga bato.
well	balon	Natuyo ang balon ng nayon.
well-being	kapakanan	Mahalaga ang tulog para sa kapakanan.
whatsoever	anuman	Hindi siya nagpakita ng anumang interes.
whereby	kung saan	Lumikha ang batas ng sistema kung saan maaaring mag-apela ang mga pamilya.
whilst	habang	Nagtrabaho siya habang nagpahinga ito.
whip	hampasin	Maaaring hampasin ng hangin ang mga watawat.
wholly	buong-buo	Ang desisyon ay buong-buong hindi inaasahan.
widen	palawakin	Plano ng lungsod na palawakin ang kalsada.
widow	biyuda	Nakatira ang biyuda malapit sa paaralan.
width	lapad	Sukatin ang lapad ng pinto.
willingness	kahandaan	Pinahanga ng kanyang kahandaang tumulong ang lahat.
wipe	punasan	Punasan ang screen ng isang tela.
wit	katalinuhan	Naging masigla ang talumpati dahil sa kanyang katalinuhan.
withdrawal	pag-atras	Naantala ng pag-atras ng pondo ang proyekto.
workout	ehersisyo	Tumagal ng apatnapung minuto ang ehersisyo.
worship	pagsamba	Nagtipon ang mga tao para sa pagsamba sa madaling-araw.
worthwhile	kapaki-pakinabang	Naging kapaki-pakinabang ang paglalakbay.
worthy	karapat-dapat	Ang kawanggawa ay karapat-dapat sa suporta.
yell	sumigaw	Huwag kang sumigaw sa mga tauhan.
yield	ani	Tumaas ang ani ng bukid ngayong panahon.
youngster	bata	Nagtanong ng maraming bagay ang bata.
