simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
次	en gang; et tilfælde	Jeg har været i Beijing én gang.	kerta	Olen käynyt Pekingissä kerran.	krát; výskyt	Byl jsem jednou v Pekingu.	raz; výskyt	Bol som raz v Pekingu.
从	fra	Jeg går hjemmefra til skolen.	jostakin; jostain	Menen kotoa kouluun.	z; od	Jdu z domova do školy.	z; od	Idem z domu do školy.
错	forkert; en fejl	Du tager fejl.	väärä; virhe	Olet väärässä.	špatný; chyba	Mýlíš se.	nesprávny; chyba	Mýliš sa.
打篮球	at spille basketball	Min storebror spiller basketball.	pelata koripalloa	Isoveljeni pelaa koripalloa.	hrát basketbal	Můj starší bratr hraje basketbal.	hrať basketbal	Môj starší brat hrá basketbal.
大家	alle	Alle er kommet.	kaikki	Kaikki ovat tulleet.	všichni	Všichni přišli.	všetci	Všetci prišli.
但是	men; dog	Jeg har travlt, men jeg er meget glad.	mutta; kuitenkin	Olen kiireinen, mutta hyvin iloinen.	ale; avšak	Jsem zaneprázdněný, ale velmi šťastný.	ale; avšak	Som zaneprázdnený, ale veľmi šťastný.
到	at ankomme; at nå frem	Jeg er kommet til skolen.	saapua; päästä perille	Olen saapunut kouluun.	dorazit; dostat se	Dorazil jsem do školy.	doraziť; dostať sa	Dorazil som do školy.
得	en gradskomplementpartikel	Han løber hurtigt.	astekomplementin partikkeli	Hän juoksee nopeasti.	částice stupňového doplňku	Běhá rychle.	častica stupňového doplnku	Beží rýchlo.
等	at vente	Jeg venter på dig.	odottaa	Odotan sinua.	čekat	Čekám na tebe.	čakať	Čakám na teba.
弟弟	en lillebror	Min lillebror er hjemme.	pikkuveli	Pikkuveljeni on kotona.	mladší bratr	Můj mladší bratr je doma.	mladší brat	Môj mladší brat je doma.
第一	første	Han er nummer et.	ensimmäinen	Hän on ensimmäinen.	první	Je první.	prvý	Je prvý.
懂	at forstå	Nu forstår jeg.	ymmärtää	Nyt ymmärrän.	rozumět	Teď rozumím.	rozumieť	Teraz rozumiem.
对	rigtig; mod	Det, du sagde, er rigtigt.	oikea; kohti	Se, mitä sanoit, on oikein.	správný; k	To, co jsi řekl, je správné.	správny; k	To, čo si povedal, je správne.
房间	et værelse	Dette værelse er stort.	huone	Tämä huone on iso.	pokoj	Tento pokoj je velký.	izba; miestnosť	Táto izba je veľká.
非常	meget; yderst	I dag er det meget koldt.	hyvin; erittäin	Tänään on hyvin kylmä.	velmi; mimořádně	Dnes je velmi chladno.	veľmi; mimoriadne	Dnes je veľmi chladno.
服务员	en tjener; en servitrice	Tjeneren er på restauranten.	tarjoilija	Tarjoilija on ravintolassa.	číšník; servírka	Číšník je v restauraci.	čašník; čašníčka	Čašník je v reštaurácii.
高	høj	Han er høj.	korkea; pitkä	Hän on pitkä.	vysoký	Je vysoký.	vysoký	Je vysoký.
告诉	at fortælle	Vær venlig at fortælle mig det.	kertoa	Kerro minulle, ole hyvä.	říct; sdělit	Prosím, řekněte mi to.	povedať; oznámiť	Prosím, povedzte mi to.
哥哥	en storebror	Min storebror arbejder.	isoveli	Isoveljeni on töissä.	starší bratr	Můj starší bratr pracuje.	starší brat	Môj starší brat pracuje.
给	at give; til	Jeg giver dig en bog.	antaa; jollekin	Annan sinulle kirjan.	dát; pro	Dávám ti knihu.	dať; pre	Dávam ti knihu.
公共汽车	en bus	Jeg tager bussen på arbejde.	bussi	Menen töihin bussilla.	autobus	Jedu autobusem do práce.	autobus	Idem autobusom do práce.
公斤	et kilo; et kilogram	Jeg køber et kilo æbler.	kilogramma	Ostan kilogramman omenoita.	kilogram	Kupuji kilogram jablek.	kilogram	Kupujem kilogram jabĺk.
公司	et firma; en virksomhed	Jeg arbejder i et firma.	yritys; yhtiö	Työskentelen yrityksessä.	firma; společnost	Pracuji ve firmě.	firma; spoločnosť	Pracujem vo firme.
贵	dyr	Dette ur er dyrt.	kallis	Tämä kello on kallis.	drahý	Tyto hodinky jsou drahé.	drahý	Tieto hodinky sú drahé.
过	en erfaringspartikel	Jeg har været i Kina.	kokemuspartikkeli	Olen käynyt Kiinassa.	částice zkušenosti	Byl jsem v Číně.	častica skúsenosti	Bol som v Číne.
还	stadig; også	Han er stadig på skolen.	vielä; myös	Hän on vielä koulussa.	ještě; také	Je ještě ve škole.	ešte; aj	Je ešte v škole.
孩子	et barn	Dette barn er meget glad.	lapsi	Tämä lapsi on hyvin iloinen.	dítě	Toto dítě je velmi šťastné.	dieťa	Toto dieťa je veľmi šťastné.
好吃	lækker; velsmagende	Denne ret er meget lækker.	herkullinen	Tämä ruoka on todella hyvää.	chutný	Toto jídlo je velmi chutné.	chutný	Toto jedlo je veľmi chutné.
号	et nummer; en dato	I dag er det den ottende.	numero; päiväys	Tänään on kahdeksas päivä.	číslo; datum	Dnes je osmého.	číslo; dátum	Dnes je ôsmeho.
黑	sort	Denne kat er sort.	musta	Tämä kissa on musta.	černý	Tato kočka je černá.	čierny	Táto mačka je čierna.
红	rød	Jeg kan lide røde æbler.	punainen	Pidän punaisista omenoista.	červený	Mám rád červená jablka.	červený	Mám rád červené jablká.
欢迎	at byde velkommen; velkommen	Velkommen til Beijing.	toivottaa tervetulleeksi; tervetuloa	Tervetuloa Pekingiin.	vítat; vítejte	Vítejte v Pekingu.	vítať; vitajte	Vitajte v Pekingu.
回答	at svare; et svar	Vær venlig at svare på dette spørgsmål.	vastata; vastaus	Vastaa tähän kysymykseen, ole hyvä.	odpovědět; odpověď	Prosím, odpovězte na tuto otázku.	odpovedať; odpoveď	Prosím, odpovedzte na túto otázku.
机场	en lufthavn	Lufthavnen ligger langt herfra.	lentokenttä	Lentokenttä on kaukana täältä.	letiště	Letiště je odsud daleko.	letisko	Letisko je odtiaľto ďaleko.
鸡蛋	et æg	Jeg spiser æg.	kananmuna	Syön kananmunia.	vejce	Jím vejce.	vajce	Jem vajcia.
件	en klassifikator for tøj og ting	Jeg købte et stykke tøj.	vaatteiden ja tavaroiden luokittelusana	Ostin yhden vaatekappaleen.	klasifikátor pro oblečení a věci	Koupil jsem jeden kus oblečení.	klasifikátor pre oblečenie a veci	Kúpil som jeden kus oblečenia.
教室	et klasseværelse	Eleverne er i klasseværelset.	luokkahuone	Oppilaat ovat luokkahuoneessa.	třída; učebna	Studenti jsou ve třídě.	trieda; učebňa	Študenti sú v triede.
姐姐	en storesøster	Min storesøster er læge.	isosisko	Isosiskoni on lääkäri.	starší sestra	Moje starší sestra je lékařka.	staršia sestra	Moja staršia sestra je lekárka.
介绍	at præsentere; at introducere	Jeg præsenterer min ven.	esitellä	Esittelen ystäväni.	představit; uvést	Představuji svého kamaráda.	predstaviť; uviesť	Predstavujem svojho kamaráta.
进	at gå ind; at komme ind	Kom ind, tak.	mennä sisään; tulla sisään	Tulkaa sisään, olkaa hyvä.	vstoupit; vejít	Prosím, pojďte dál.	vstúpiť; vojsť	Prosím, poďte ďalej.
近	nær; tæt på	Skolen ligger tæt på hjemmet.	lähellä	Koulu on lähellä kotia.	blízko	Škola je blízko domova.	blízko	Škola je blízko domova.
就	straks; så; netop	Jeg går nu med det samme.	heti; sitten; juuri	Menen nyt heti.	hned; tedy; právě	Hned teď půjdu.	hneď; teda; práve	Hneď teraz pôjdem.
觉得	at synes; at føle	Jeg synes, denne ret er lækker.	olla sitä mieltä; tuntea	Minusta tämä ruoka on herkullista.	myslet si; cítit	Myslím, že toto jídlo je chutné.	myslieť si; cítiť	Myslím si, že toto jedlo je chutné.
咖啡	kaffe	Jeg drikker kaffe.	kahvi	Juon kahvia.	káva	Piju kávu.	káva	Pijem kávu.
开始	at begynde; en begyndelse	Eksamenen er begyndt.	alkaa; alku	Koe on alkanut.	začít; začátek	Zkouška začala.	začať; začiatok	Skúška sa začala.
考试	en eksamen; en prøve	Der er eksamen i morgen.	koe; tentti	Huomenna on koe.	zkouška; test	Zítra je zkouška.	skúška; test	Zajtra je skúška.
可能	måske; mulig	Han er måske hjemme.	ehkä; mahdollinen	Hän saattaa olla kotona.	možná; možný	Možná je doma.	možno; možný	Možno je doma.
可以	kan; må	Må jeg gå?	voida; saada	Saanko mennä?	moci; smět	Mohu jít?	môcť; smieť	Môžem ísť?
课	en time; en lektion	Der er kinesisktime i dag.	oppitunti; kurssi	Tänään on kiinan tunti.	hodina; lekce	Dnes je hodina čínštiny.	hodina; lekcia	Dnes je hodina čínštiny.
快	hurtig; snart	Han går meget hurtigt.	nopea; pian	Hän kävelee hyvin nopeasti.	rychlý; brzy	Chodí velmi rychle.	rýchly; čoskoro	Kráča veľmi rýchlo.
快乐	glad; lykkelig	Tillykke med fødselsdagen.	iloinen; onnellinen	Hyvää syntymäpäivää.	šťastný; veselý	Všechno nejlepší k narozeninám.	šťastný; veselý	Všetko najlepšie k narodeninám.
累	træt	Jeg er meget træt.	väsynyt	Olen hyvin väsynyt.	unavený	Jsem velmi unavený.	unavený	Som veľmi unavený.
离	væk fra; fra	Skolen ligger ikke langt fra hjemmet.	kaukana jostakin; jostakin	Koulu ei ole kaukana kotoa.	daleko od; od	Škola není daleko od domova.	ďaleko od; od	Škola nie je ďaleko od domova.
两	to	Jeg har to børn.	kaksi	Minulla on kaksi lasta.	dva; dvě	Mám dvě děti.	dva; dve	Mám dve deti.
路	en vej	Denne vej er lang.	tie; reitti	Tämä tie on pitkä.	cesta; silnice	Tato cesta je dlouhá.	cesta; ulica	Táto cesta je dlhá.
旅游	at rejse; en rejse	Jeg vil gerne rejse til Kina.	matkustaa; matka	Haluan matkustaa Kiinaan.	cestovat; cestování	Chci cestovat do Číny.	cestovať; cestovanie	Chcem cestovať do Číny.
卖	at sælge	Denne butik sælger æbler.	myydä	Tämä kauppa myy omenoita.	prodávat	Tento obchod prodává jablka.	predávať	Tento obchod predáva jablká.
慢	langsom; langsomt	Vær venlig at tale lidt langsommere.	hidas; hitaasti	Puhukaa vähän hitaammin, olkaa hyvä.	pomalý; pomalu	Prosím, trochu pomaleji.	pomalý; pomaly	Prosím, trochu pomalšie.
忙	travl	Jeg har travlt i dag.	kiireinen	Olen tänään kiireinen.	zaneprázdněný	Dnes jsem zaneprázdněný.	zaneprázdnený	Dnes som zaneprázdnený.
每	hver; hvert	Jeg lærer kinesisk hver dag.	jokainen; joka	Opiskelen kiinaa joka päivä.	každý	Každý den se učím čínsky.	každý	Každý deň sa učím po čínsky.
妹妹	en lillesøster	Min lillesøster ser tv.	pikkusisko	Pikkusiskoni katsoo televisiota.	mladší sestra	Moje mladší sestra se dívá na televizi.	mladšia sestra	Moja mladšia sestra pozerá televíziu.
门	en dør; en port	Døren åbnede.	ovi; portti	Ovi aukesi.	dveře; brána	Dveře se otevřely.	dvere; brána	Dvere sa otvorili.
男人	en mand	Denne mand er lærer.	mies	Tämä mies on opettaja.	muž	Tento muž je učitel.	muž	Tento muž je učiteľ.
您	De; høflig tiltale	Goddag.	te; kohtelias puhuttelu	Hei.	Vy; zdvořilé oslovení	Dobrý den.	Vy; zdvorilé oslovenie	Dobrý deň.
牛奶	mælk	Jeg drikker mælk.	maito	Juon maitoa.	mléko	Piju mléko.	mlieko	Pijem mlieko.
女人	en kvinde	Den kvinde er læge.	nainen	Tuo nainen on lääkäri.	žena	Tamta žena je lékařka.	žena	Tamta žena je lekárka.
旁边	ved siden af	Der er en butik ved siden af skolen.	vieressä; vierellä	Koulun vieressä on kauppa.	vedle	Vedle školy je obchod.	vedľa	Vedľa školy je obchod.
跑步	at løbe; at jogge	Jeg løber om morgenen.	juosta; lenkkeillä	Juoksen aamulla.	běhat; běžet	Ráno běhám.	behať; bežať	Ráno behám.
便宜	billig	Dette æble er billigt.	halpa	Tämä omena on halpa.	levný	Toto jablko je levné.	lacný	Toto jablko je lacné.
票	en billet	Jeg køber en billet.	lippu	Ostan lipun.	lístek; vstupenka	Kupuji lístek.	lístok; vstupenka	Kupujem lístok.
妻子	en kone; en hustru	Min kone er lærer.	vaimo	Vaimoni on opettaja.	manželka	Moje manželka je učitelka.	manželka	Moja manželka je učiteľka.
起床	at stå op	Jeg står op klokken seks om morgenen.	nousta ylös	Nousen aamulla kuudelta.	vstávat	Vstávám v šest ráno.	vstávať	Vstávam ráno o šiestej.
千	tusind	Denne cykel koster tusind yuan.	tuhat	Tämä polkupyörä maksaa tuhat yuania.	tisíc	Toto kolo stojí tisíc jüanů.	tisíc	Tento bicykel stojí tisíc jüanov.
晴	solrig; klart	I dag er det solskin.	aurinkoinen; selkeä	Tänään on aurinkoista.	slunečný; jasno	Dnes je slunečno.	slnečný; jasno	Dnes je slnečno.
去年	sidste år	Jeg var i Beijing sidste år.	viime vuosi	Viime vuonna olin Pekingissä.	minulý rok	Minulý rok jsem byl v Pekingu.	minulý rok	Minulý rok som bol v Pekingu.
让	at lade; at tillade	Mor lader mig studere.	antaa; sallia	Äiti antaa minun opiskella.	nechat; dovolit	Maminka mi dovoluje učit se.	nechať; dovoliť	Mama mi dovoľuje učiť sa.
上班	at gå på arbejde	Jeg tager på arbejde klokken otte.	mennä töihin	Menen töihin kahdeksalta.	jít do práce	Jdu do práce v osm.	ísť do práce	Idem do práce o ôsmej.
身体	en krop; et helbred	Hans helbred er godt.	keho; terveys	Hänen terveytensä on hyvä.	tělo; zdraví	Jeho zdraví je dobré.	telo; zdravie	Jeho zdravie je dobré.
生病	at blive syg	Han blev syg.	sairastua	Hän sairastui.	onemocnět	Onemocněl.	ochorieť	Ochorel.
生日	en fødselsdag	I dag er det min fødselsdag.	syntymäpäivä	Tänään on minun syntymäpäiväni.	narozeniny	Dnes mám narozeniny.	narodeniny	Dnes mám narodeniny.
时间	tid	Jeg har ikke tid.	aika	Minulla ei ole aikaa.	čas	Nemám čas.	čas	Nemám čas.
事情	en sag; noget	Jeg har noget at gøre.	asia; tehtävä	Minulla on tekemistä.	věc; záležitost	Mám něco na práci.	vec; záležitosť	Mám niečo na práci.
手表	et ur	Dette ur er nyt.	rannekello	Tämä rannekello on uusi.	hodinky	Tyto hodinky jsou nové.	hodinky	Tieto hodinky sú nové.
手机	en mobiltelefon	Min mobil ligger på bordet.	matkapuhelin	Puhelimeni on pöydällä.	mobilní telefon	Můj mobil je na stole.	mobilný telefón	Môj mobil je na stole.
送	at sende; at give som gave	Jeg giver dig en bog.	lähettää; antaa lahjaksi	Annan sinulle kirjan.	poslat; darovat	Dávám ti knihu.	poslať; darovať	Dávam ti knihu.
所以	så; derfor	Det regner i dag, så jeg går ikke.	joten; siksi	Tänään sataa, joten en mene.	tak; proto	Dnes prší, takže nejdu.	tak; preto	Dnes prší, takže nejdem.
它	den; det	Det er min kat.	se	Se on minun kissani.	on; ono	Je to moje kočka.	on; ono	Je to moja mačka.
踢足球	at spille fodbold	De spiller fodbold.	pelata jalkapalloa	He pelaavat jalkapalloa.	hrát fotbal	Hrají fotbal.	hrať futbal	Hrajú futbal.
题	et spørgsmål; en opgave	Dette spørgsmål er ikke rigtigt.	kysymys; tehtävä	Tämä kysymys ei ole oikein.	otázka; úloha	Tato otázka není správná.	otázka; úloha	Táto otázka nie je správna.
跳舞	at danse	Hun kan lide at danse.	tanssia	Hän pitää tanssimisesta.	tančit	Ráda tančí.	tancovať	Rada tancuje.
外	udenfor; ydre	Han er uden for døren.	ulkona; ulkopuoli	Hän on oven ulkopuolella.	venku; vnější	Je venku před dveřmi.	vonku; vonkajší	Je vonku pred dverami.
完	at blive færdig; at afslutte	Jeg er færdig.	valmistua; lopettaa	Sain valmiiksi.	dokončit; skončit	Dokončil jsem to.	dokončiť; skončiť	Dokončil som to.
玩	at lege; at spille	Barnet leger.	leikkiä; pelata	Lapsi leikkii.	hrát si; hrát	Dítě si hraje.	hrať sa; hrať	Dieťa sa hrá.
晚上	en aften; en nat	Om aftenen ser jeg en film.	ilta; yö	Illalla katson elokuvan.	večer; noc	Večer se dívám na film.	večer; noc	Večer pozerám film.
为什么	hvorfor	Hvorfor går du ikke?	miksi	Miksi et mene?	proč	Proč nejdeš?	prečo	Prečo nejdeš?
问	at spørge	Jeg spørger læreren.	kysyä	Kysyn opettajalta.	ptát se; zeptat se	Ptám se učitele.	pýtať sa; opýtať sa	Pýtam sa učiteľa.
问题	et spørgsmål; et problem	Jeg har et spørgsmål.	kysymys; ongelma	Minulla on kysymys.	otázka; problém	Mám otázku.	otázka; problém	Mám otázku.
西瓜	en vandmelon	Jeg spiser vandmelon.	vesimeloni	Syön vesimelonia.	vodní meloun	Jím meloun.	vodný melón	Jem melón.
希望	at håbe; et håb	Jeg håber, du kommer.	toivoa; toivo	Toivon, että tulet.	doufat; naděje	Doufám, že přijdeš.	dúfať; nádej	Dúfam, že prídeš.
洗	at vaske	Jeg vasker tøj.	pestä	Pesen vaatteita.	mýt; prát	Peru oblečení.	umývať; prať	Periem oblečenie.
向	mod; i retning af	Han går hen imod mig.	kohti	Hän kävelee minua kohti.	k; směrem k	Jde směrem ke mně.	k; smerom k	Kráča ku mne.
小时	en time	Jeg studerer i to timer.	tunti	Opiskelen kaksi tuntia.	hodina	Učím se dvě hodiny.	hodina	Učím sa dve hodiny.
笑	at smile; at le	Hun smilede.	hymyillä; nauraa	Hän hymyili.	usmívat se; smát se	Usmála se.	usmievať sa; smiať sa	Usmiala sa.
新	ny	Dette er en ny bog.	uusi	Tämä on uusi kirja.	nový	To je nová kniha.	nový	Toto je nová kniha.
姓	et efternavn; at hedde til efternavn	Hvad er dit efternavn?	sukunimi; olla sukunimeltään	Mikä sinun sukunimesi on?	příjmení; jmenovat se	Jaké je vaše příjmení?	priezvisko; volať sa	Aké je vaše priezvisko?
休息	at hvile	Jeg vil gerne hvile.	levätä	Haluan levätä.	odpočívat	Chci si odpočinout.	odpočívať	Chcem si oddýchnuť.
雪	sne	Det sner i dag.	lumi	Tänään sataa lunta.	sníh	Dnes sněží.	sneh	Dnes sneží.
颜色	en farve	Jeg kan lide denne farve.	väri	Pidän tästä väristä.	barva	Líbí se mi tato barva.	farba	Páči sa mi táto farba.
眼睛	et øje; øjne	Hendes øjne er store.	silmä; silmät	Hänen silmänsä ovat suuret.	oko; oči	Má velké oči.	oko; oči	Má veľké oči.
羊肉	lammekød; fårekød	Jeg spiser ikke lammekød.	lampaanliha	En syö lampaanlihaa.	jehněčí; skopové	Nejím skopové.	jahňacie; baranina	Nejem baraninu.
药	medicin	Han tager medicin.	lääke	Hän ottaa lääkettä.	lék; léky	Bere léky.	liek; lieky	Berie lieky.
要	at ville; at skulle	Jeg vil drikke vand.	haluta; täytyä	Haluan juoda vettä.	chtít; muset	Chci pít vodu.	chcieť; musieť	Chcem piť vodu.
也	også	Jeg går også.	myös; -kin	Minäkin menen.	také; taky	Jdu také.	tiež; aj	Idem tiež.
已经	allerede	Jeg er allerede kommet frem.	jo; jo nyt	Olen jo saapunut.	už	Už jsem dorazil.	už	Už som dorazil.
一起	sammen	Vi går sammen.	yhdessä	Menemme yhdessä.	spolu; dohromady	Jdeme spolu.	spolu; dohromady	Ideme spolu.
意思	en betydning; en mening	Hvad betyder dette tegn?	merkitys; tarkoitus	Mitä tämä merkki tarkoittaa?	význam; smysl	Co tento znak znamená?	význam; zmysel	Čo tento znak znamená?
阴	overskyet	I dag er det overskyet.	pilvinen; pilvessä	Tänään on pilvistä.	zatažený; oblačný	Dnes je zataženo.	zamračený; oblačný	Dnes je zamračené.
因为	fordi; på grund af	Fordi det regner, går jeg ikke.	koska; siksi että	Koska sataa, en mene.	protože	Protože prší, nejdu.	pretože	Pretože prší, nejdem.
游泳	at svømme	Jeg kan svømme.	uida	Osaan uida.	plavat	Umím plavat.	plávať	Viem plávať.
右边	højre side	Butikken ligger til højre.	oikea puoli	Kauppa on oikealla.	pravá strana	Obchod je vpravo.	pravá strana	Obchod je vpravo.
鱼	en fisk	Jeg spiser fisk.	kala	Syön kalaa.	ryba	Jím rybu.	ryba	Jem rybu.
元	en yuan; en valutaenhed	Denne kop koster ti yuan.	yuan; rahayksikkö	Tämä kuppi maksaa kymmenen yuania.	jüan; měnová jednotka	Tento šálek stojí deset jüanů.	jüan; menová jednotka	Táto šálka stojí desať jüanov.
远	langt	Lufthavnen ligger langt væk.	kaukana	Lentokenttä on kaukana.	daleko	Letiště je daleko.	ďaleko	Letisko je ďaleko.
运动	sport; motion	Jeg kan lide at motionere.	urheilu; liikunta	Pidän liikunnasta.	sport; cvičení	Rád cvičím.	šport; cvičenie	Rád cvičím.
再	igen; på ny	Jeg kommer igen i morgen.	uudestaan; taas	Tulen huomenna uudestaan.	znovu; zase	Zítra přijdu znovu.	znova; zase	Zajtra prídem znova.
早上	en morgen	Om morgenen drikker jeg te.	aamu	Aamulla juon teetä.	ráno	Ráno piju čaj.	ráno	Ráno pijem čaj.
张	en klassifikator for flade ting	Jeg købte en billet.	litteiden esineiden luokittelusana	Ostin yhden lipun.	klasifikátor pro ploché věci	Koupil jsem jeden lístek.	klasifikátor pre ploché veci	Kúpil som jeden lístok.
丈夫	en mand; en ægtemand	Hendes mand er læge.	aviomies	Hänen miehensä on lääkäri.	manžel	Její manžel je lékař.	manžel	Jej manžel je lekár.
找	at lede efter; at finde	Jeg leder efter en ven.	etsiä; löytää	Etsin ystävää.	hledat; najít	Hledám kamaráda.	hľadať; nájsť	Hľadám kamaráta.
着	en partikel for vedvarende tilstand	Døren står åben.	jatkuvan tilan partikkeli	Ovi on auki.	částice pokračujícího stavu	Dveře jsou otevřené.	častica pokračujúceho stavu	Dvere sú otvorené.
真	virkelig; sand	Denne bog er virkelig god.	todella; aito	Tämä kirja on todella hyvä.	opravdu; pravý	Tato kniha je opravdu dobrá.	naozaj; pravý	Táto kniha je naozaj dobrá.
正在	ved at	Han er ved at se tv.	olla parhaillaan	Hän katsoo parhaillaan televisiota.	právě; být uprostřed	Právě se dívá na televizi.	práve; byť uprostred	Práve pozerá televíziu.
知道	at vide	Jeg ved det ikke.	tietää	En tiedä.	vědět	Nevím.	vedieť	Neviem.
准备	at forberede; en forberedelse	Jeg forbereder mig til eksamen.	valmistautua; valmistelu	Valmistaudun kokeeseen.	připravit; příprava	Připravuji se na zkoušku.	pripraviť; príprava	Pripravujem sa na skúšku.
自行车	en cykel	Min cykel er ny.	polkupyörä	Polkupyöräni on uusi.	jízdní kolo	Moje kolo je nové.	bicykel	Môj bicykel je nový.
走	at gå	Jeg går hjem.	kävellä; mennä	Kävelen kotiin.	jít; chodit	Jdu pěšky domů.	ísť; chodiť	Idem pešo domov.
最	mest; -st	Han er den højeste.	eniten; kaikkein	Hän on kaikkein pisin.	nejvíc; nej-	Je nejvyšší.	najviac; naj-	Je najvyšší.
左边	venstre side	Skolen ligger til venstre.	vasen puoli	Koulu on vasemmalla.	levá strana	Škola je vlevo.	ľavá strana	Škola je vľavo.
