simplified	FR	example_FR
称呼	appeler; s'adresser à	Je ne sais pas comment m'adresser à lui.
称赞	féliciter; louer	Le professeur a félicité ses progrès.
成分	l'ingrédient; la composition	Les ingrédients de ce médicament sont simples.
成果	le résultat; la réussite	Ce projet a obtenu des résultats.
成就	la réussite; l'accomplissement	Il a beaucoup de réussites dans sa carrière.
成立	fonder; créer	L'entreprise a été fondée l'année dernière.
成人	l'adulte	Les billets adultes sont plus chers que les billets enfants.
成熟	mûr; mature	Les pommes sont déjà mûres.
成语	l'idiome chinois	Cet idiome est très courant.
成长	grandir	L'enfant grandit lentement.
承担	assumer	Il est prêt à assumer la responsabilité.
承认	admettre	Il a admis qu'il avait tort.
承受	supporter	Je ne peux pas supporter une pression aussi forte.
程度	le niveau; le degré	Son niveau de chinois est très élevé.
程序	la procédure; le programme	Veuillez traiter cela selon la procédure.
诚恳	sincère	Son attitude est très sincère.
吃亏	y perdre; subir une perte	Regarde bien avant d'acheter, pour ne pas y perdre.
持续	continuer; durer	La pluie a duré trois jours.
池塘	l'étang	Il y a beaucoup de poissons dans l'étang.
迟早	tôt ou tard	Tu comprendras tôt ou tard.
尺子	la règle	Mesure-le avec une règle, s'il te plaît.
翅膀	l'aile	L'aile de l'oiseau est blessée.
充电器	le chargeur	Mon chargeur est cassé.
充分	suffisant; complet	Nous avons fait des préparatifs suffisants.
充满	être plein de	La pièce était pleine de rires.
冲	rincer; verser de l'eau	Rince la tasse avec de l'eau, s'il te plaît.
重复	répéter	Ne répète pas la même erreur, s'il te plaît.
宠物	l'animal de compagnie	Elle a un chien de compagnie.
抽屉	le tiroir	La clé est dans le tiroir.
抽象	abstrait	Ce concept est trop abstrait.
丑	laid	Cette photo est un peu laide.
臭	puant; sentir mauvais	Les ordures sentent mauvais.
出版	publier	Ce livre a été publié l'année dernière.
出口	la sortie	La sortie est devant.
出色	remarquable; excellent	Sa performance est excellente.
出示	montrer; présenter	Présente ton passeport, s'il te plaît.
出席	assister à	Il assistera à la réunion.
初级	débutant; élémentaire	J'étudie le chinois dans une classe débutante.
除非	sauf si; à moins que	À moins qu'il pleuve, nous irons faire de la randonnée demain.
除夕	le réveillon du Nouvel An chinois	Au réveillon, toute notre famille mange ensemble.
处理	traiter; gérer	Je vais traiter ce problème.
传播	se propager; diffuser	Cette nouvelle s'est propagée très vite.
传染	contaminer; se transmettre	Le rhume se transmet facilement.
传说	la légende	C'est une ancienne légende.
传统	la tradition; traditionnel	La fête du Printemps est une fête traditionnelle chinoise.
窗帘	le rideau	Ouvre les rideaux, s'il te plaît.
闯	forcer; brûler un feu	Il a accidentellement brûlé un feu rouge.
创造	créer	Les gens ont créé de nouveaux outils.
吹	souffler	Le vent souffle fort.
词汇	le vocabulaire	Ce mot de vocabulaire est très courant.
辞职	démissionner	Il a décidé de démissionner.
此外	en outre; de plus	En outre, j'ai une autre question.
刺激	stimulant; excitant	Ce jeu est très excitant.
次要	secondaire	Ce problème est secondaire.
匆忙	pressé; en hâte	Il est parti de chez lui en hâte.
从此	dès lors; depuis lors	Depuis lors, il fait de l'exercice tous les jours.
从而	ainsi; de ce fait	Il a étudié sérieusement et a ainsi réussi l'examen.
从前	autrefois	Autrefois, il n'y avait pas de métro ici.
从事	travailler dans; exercer	Elle travaille dans l'éducation.
粗糙	rugueux	Cette feuille de papier est très rugueuse.
促进	favoriser; promouvoir	L'exercice favorise la santé.
促使	pousser à; inciter	Cette affaire l'a poussé à changer de plan.
醋	le vinaigre	On a mis du vinaigre dans le plat.
催	presser; pousser	Maman m'a pressé de sortir vite.
存在	exister	Ce problème existe toujours.
措施	la mesure	L'école a pris des mesures de sécurité.
答应	accepter; promettre	Il a accepté de m'aider.
达到	atteindre	Ses notes ont atteint le niveau requis.
打工	travailler à temps partiel	Il travaille à temps partiel dans un restaurant pendant les vacances d'été.
打交道	avoir affaire à; traiter avec	J'ai souvent affaire aux clients.
打喷嚏	éternuer	Il a un rhume et éternue sans arrêt.
打听	se renseigner sur	Je voudrais me renseigner sur les billets de train.
大方	généreux	Elle est très généreuse avec l'argent.
大厦	le grand immeuble	Ce grand immeuble est très haut.
大象	l'éléphant	Les enfants regardent des éléphants au zoo.
大型	à grande échelle; grand	Ici, on va construire un grand centre commercial.
呆	rester; être hébété	Il reste à la maison pour lire.
代表	représenter; le représentant	Cette fleur représente l'amitié.
代替	remplacer; à la place de	Aujourd'hui, j'assisterai à la réunion à sa place.
待遇	les avantages; le traitement	Les avantages de cette entreprise sont bons.
贷款	le prêt; accorder un prêt	Ils ont demandé un prêt immobilier.
单纯	simple; pur	Son idée est très simple.
单调	monotone	Ce travail est un peu monotone.
单独	seul; en tête-à-tête	Je veux te parler seul à seul.
单位	l'unité; l'organisme	Il travaille dans un établissement public.
单元	l'unité	Aujourd'hui, nous étudions la troisième unité.
担任	occuper un poste; assumer	Elle est responsable de cette activité.
耽误	retarder; faire perdre du temps	Ne fais pas perdre de temps à tout le monde.
胆小鬼	le lâche	Ne le traite pas de lâche.
淡	fade; léger	Cette soupe est un peu fade.
当地	local; du lieu	Les gens du coin aiment tous ce marché.
当心	faire attention	La route est glissante, fais attention.
挡	bloquer; faire obstacle	Cette voiture bloque l'entrée.
倒霉	ne pas avoir de chance	Aujourd'hui, je n'ai vraiment pas de chance: j'ai perdu mon téléphone.
导演	le réalisateur; réaliser	Ce réalisateur est très célèbre.
导致	causer; entraîner	La forte pluie a provoqué un embouteillage.
岛屿	l'île	Ce pays compte beaucoup d'îles.
到达	arriver à; atteindre	Le train est arrivé à Shanghai à l'heure.
道德	la morale; l'éthique	Il faut avoir des principes moraux dans la vie.
道理	la raison; le sens	Ce qu'il a dit a beaucoup de sens.
登记	s'inscrire; enregistrer	Veuillez d'abord vous enregistrer à l'accueil.
等待	attendre	Nous attendons le résultat.
等于	être égal à	Cinq plus cinq égale dix.
滴	la goutte; goutter	Une goutte d'eau est tombée sur la table.
敌人	l'ennemi	Ils ne sont pas ennemis.
的确	en effet; vraiment	Cette affaire est en effet très importante.
地道	authentique; typique	Il parle un dialecte de Pékin très authentique.
地理	la géographie	Je m'intéresse beaucoup à la géographie de la Chine.
地区	la région	Cette région est très froide en hiver.
地毯	le tapis	Il y a un tapis dans le salon.
地位	la position; le statut	L'éducation occupe une place importante dans la société.
地震	le tremblement de terre	Un tremblement de terre a eu lieu ici hier soir.
递	passer; remettre	Passe cette lettre au professeur, s'il te plaît.
点心	le goûter; les petites collations	L'après-midi, nous avons pris une collation.
电池	la pile; la batterie	Ce jouet a besoin de deux piles.
电台	la station de radio	Il anime une émission à la radio.
钓	pêcher	Grand-père aime aller pêcher au bord de la rivière.
顶	le sommet; classificateur pour les chapeaux	Il porte un chapeau noir.
冻	geler; avoir très froid	Il fait si froid dehors que l'eau a gelé.
动画片	le dessin animé	Les enfants regardent un dessin animé.
洞	le trou	Il y a un petit trou dans le mur.
豆腐	le tofu	Ce plat de tofu est délicieux.
逗	taquiner; faire rire	Ses paroles ont fait rire tout le monde.
独立	indépendant; vivre de façon indépendante	Elle veut vivre de façon indépendante.
独特	unique; particulier	Cette ville a une culture unique.
度过	passer; traverser	Nous avons passé les vacances au bord de la mer.
断	se casser; couper	Cette corde s'est cassée.
堆	entasser; le tas	Beaucoup de documents sont empilés sur la table.
兑换	échanger; convertir	Je voudrais changer des yuans.
对比	comparer; le contraste	Compare ces deux plans, s'il te plaît.
对待	traiter; se comporter envers	Nous devons traiter chacun équitablement.
对方	l'autre partie; l'interlocuteur	Écoute d'abord l'avis de l'autre partie, s'il te plaît.
对手	l'adversaire	Son adversaire est très fort.
对象	l'objet; la personne concernée	Les sujets de l'étude sont des étudiants.
吨	la tonne	Ce camion peut transporter trois tonnes de marchandises.
蹲	s'accroupir	Il est accroupi par terre et cherche ses clés.
顿	classificateur pour les repas	Nous avons dîné ensemble.
多亏	grâce à	Grâce à ton aide, j'ai pu terminer la tâche.
多余	superflu; inutile	Cette phrase est inutile.
朵	classificateur pour les fleurs	Il y a une fleur sur la table.
躲藏	se cacher	Le petit chat se cache sous le lit.
恶劣	mauvais; dur	Le temps est très mauvais aujourd'hui.
耳环	la boucle d'oreille	Elle porte une paire de boucles d'oreilles.
发表	publier; exprimer	Il a exprimé son opinion pendant la réunion.
发愁	s'inquiéter	Ne t'inquiète pas pour cette petite affaire.
发达	développé	Les transports de cette ville sont très développés.
发抖	trembler; frissonner	Il tremble de froid sans arrêt.
发挥	exercer; mettre en jeu	Veuillez tous faire appel à votre imagination.
发明	l'invention; inventer	L'ampoule électrique est une invention importante.
发票	la facture	Veuillez me faire une facture.
发言	prendre la parole	Il a pris la parole pendant la réunion.
罚款	l'amende; infliger une amende	Le stationnement interdit est passible d'une amende.
法院	le tribunal	Cette affaire a été confiée au tribunal.
翻	tourner; feuilleter	Tourne le livre à la page dix, s'il te plaît.
繁荣	prospère; être en plein essor	L'économie devient peu à peu prospère.
反而	au contraire; au lieu de cela	Il ne s'est pas fâché; au contraire, il a ri.
反复	à plusieurs reprises; répétitif	Il faut s'entraîner plusieurs fois avec cette phrase.
反应	la réaction; réagir	Sa réaction est rapide.
反映	refléter	Ce rapport reflète la situation réelle.
反正	de toute façon	De toute façon, j'aurai du temps demain.
范围	la portée; le cadre	Ne dépasse pas ce cadre, s'il te plaît.
方	carré; carré en mathématiques	Dessine un carré sur le papier, s'il te plaît.
方案	le plan; la proposition	Ce plan est assez raisonnable.
方式	la manière; la méthode	Cette méthode d'apprentissage est très efficace.
妨碍	gêner; entraver	Ne gêne pas le travail des autres, s'il te plaît.
仿佛	sembler; comme si	Il semble tout savoir.
非	non-; il faut absolument	Cette affaire ne peut pas se faire sans toi.
肥皂	le savon	Il faut utiliser du savon pour se laver les mains.
废话	les bêtises; paroles inutiles	Arrête les bêtises et commence vite.
分别	se séparer; distinguer	Ils se sont séparés à la gare.
分布	se répartir; être réparti	Ces magasins sont répartis dans toute la ville.
分配	attribuer; répartir	Le professeur a attribué une nouvelle tâche.
分手	se séparer; rompre	Ils se sont séparés l'année dernière.
分析	analyser; l'analyse	Nous devons analyser les raisons.
纷纷	l'un après l'autre	Tout le monde a exprimé son accord l'un après l'autre.
奋斗	lutter; se battre pour	Les jeunes devraient se battre pour leurs rêves.
疯狂	fou; avec frénésie	Les supporters ont applaudi avec frénésie.
风格	le style	Le style de ce restaurant est très particulier.
风景	le paysage	Le paysage sur la montagne est très beau.
风俗	la coutume	Chaque endroit a ses propres coutumes.
风险	le risque	Investir comporte un certain risque.
讽刺	satiriser; se moquer	Cet article a satirisé des problèmes sociaux.
否定	nier; la négation	Il a nié cette affirmation.
否认	ne pas reconnaître; nier	Il a nié avoir commis une erreur.
幅	classificateur pour les tableaux et tissus	Il y a un tableau accroché au mur.
扶	aider en soutenant	Aide la personne âgée à traverser la rue, s'il te plaît.
服装	les vêtements	Cette boutique vend des vêtements pour enfants.
辅导	donner des cours de soutien	Le professeur aide les élèves après la classe.
复制	copier; reproduire	Copie ce document, s'il te plaît.
妇女	les femmes	Cet hôpital fournit des services aux femmes.
改革	la réforme; réformer	L'école mène une réforme de l'enseignement.
改进	améliorer	Nous devons améliorer la qualité du service.
改善	améliorer	Faire de l'exercice peut améliorer le sommeil.
改正	corriger	Corrige les erreurs à temps, s'il te plaît.
概括	résumer; généraliser	Résume le contenu de l'article, s'il te plaît.
概念	le concept	Ce concept n'est pas très facile à comprendre.
盖	couvrir; le couvercle	Couvre bien la tasse, s'il te plaît.
干脆	tout simplement; franchement	Tu ferais tout simplement mieux de ne pas y aller aujourd'hui.
干燥	sec	L'hiver dans le nord est très sec.
感激	être reconnaissant	Je te suis très reconnaissant pour ton aide.
感受	le ressenti; les sentiments	Je peux comprendre ce que tu ressens.
感想	les impressions; les réflexions	Parle de tes impressions, s'il te plaît.
赶紧	se dépêcher	Il se fait tard, dépêche-toi de partir.
赶快	vite; rapidement	Ferme vite la porte.
干活儿	travailler; faire du travail manuel	Il travaille dans la cour.
钢铁	l'acier	Ce pont est fait d'acier.
高档	haut de gamme	C'est un hôtel haut de gamme.
高级	avancé; de haut niveau	Elle suit un cours de chinois avancé.
搞	faire; organiser	Quel genre d'activité organises-tu ?
告别	dire au revoir; faire ses adieux	Nous avons dit au revoir à notre ami à l'aéroport.
格外	particulièrement	Le ciel est particulièrement bleu aujourd'hui.
隔壁	à côté; le voisinage	Un professeur habite à côté.
个别	certains; individuel	Certains élèves n'ont pas encore rendu leurs devoirs.
个人	personnel; individuel	C'est mon point de vue personnel.
个性	la personnalité	Elle a beaucoup de personnalité.
各自	chacun; respectif	Chacun accomplit sa propre tâche.
根	classificateur pour les objets longs et fins	Il y a un fil sous la table.
根本	fondamental; du tout	Ce problème n'est pas difficile du tout.
公布	annoncer; rendre public	L'école a annoncé les résultats de l'examen.
公开	public; rendre public	Cette réunion est publique.
公平	équitable; juste	La compétition doit être équitable.
公寓	l'appartement	Elle a loué un petit appartement.
公元	après Jésus-Christ	Cette année est l'an 2026 après Jésus-Christ.
公主	la princesse	La petite fille aime les histoires de princesses.
功能	la fonction	Ce logiciel a beaucoup de fonctions.
工厂	l'usine	Cette usine fabrique des voitures.
工程师	l'ingénieur	Mon grand frère est ingénieur.
工具	l'outil	Réparer un vélo nécessite des outils.
工人	l'ouvrier	Les ouvriers réparent la route.
工业	l'industrie	Cette ville repose principalement sur l'industrie.
恭喜	félicitations	Félicitations pour avoir réussi l'examen.
贡献	la contribution; contribuer	Il a apporté une contribution à l'entreprise.
沟通	communiquer; la communication	Une bonne communication est très importante.
构成	constituer; former	Ces parties forment un tout.
姑姑	la tante paternelle	Je vais rendre visite à ma tante ce week-end.
姑娘	la jeune femme	Cette jeune femme est très serviable.
古代	l'Antiquité; les temps anciens	Il n'y avait pas de téléphones portables dans les temps anciens.
古典	classique	J'aime la musique classique.
股票	l'action; les actions	Il a acheté quelques actions.
骨头	l'os	Cet os est très dur.
鼓舞	encourager; inspirer	Cette nouvelle est très encourageante.
鼓掌	applaudir	Le public a applaudi les acteurs.
固定	fixe; régulier	J'ai des horaires de travail fixes.
挂号	s'inscrire à l'accueil médical	Il faut d'abord s'inscrire avant de voir le médecin.
乖	obéissant; sage	Cet enfant est très sage.
拐弯	tourner; prendre un virage	Tourne à droite au carrefour devant.
怪不得	pas étonnant	Pas étonnant que tu sois si fatigué.
关闭	fermer; éteindre	Éteins l'ordinateur avant de partir, s'il te plaît.
官	le fonctionnaire	C'est un jeune fonctionnaire.
观察	observer	Le médecin observe l'état du patient.
观点	le point de vue	Je suis d'accord avec ton point de vue.
观念	l'idée; la conception	Les idées des jeunes changent.
管子	le tuyau	Ce tuyau fuit.
冠军	le champion; le championnat	Elle a remporté le championnat.
光滑	lisse	La surface de cette table est très lisse.
光临	venir; honorer de sa présence	Nous vous accueillerons volontiers lors de votre prochaine visite.
光明	lumineux; prometteur	L'avenir est lumineux.
光盘	le disque; le CD	Enregistre les documents sur le disque, s'il te plaît.
广场	la place	Il y a beaucoup de monde sur la place.
广大	nombreux; vaste	Cette nouvelle a été bien accueillie par de nombreux étudiants.
广泛	large; étendu	Ce livre a une grande influence.
归纳	résumer; synthétiser	Le professeur nous a aidés à résumer les points importants.
规矩	la règle; les bonnes manières	Les enfants doivent connaître les règles.
规律	la régularité; le rythme régulier	La vie doit avoir un rythme régulier.
规模	l'échelle; la taille	Cette entreprise est de grande taille.
规则	la règle	Les règles de la compétition sont très claires.
柜台	le comptoir	Veuillez payer au comptoir.
滚	bouillir; rouler	L'eau bout déjà.
锅	la casserole; la marmite	Il y a de la soupe chaude dans la marmite.
国庆节	la fête nationale	Nous sommes en congé pour la fête nationale.
国王	le roi	Le roi vit dans un palais.
果然	comme prévu; effectivement	Il est arrivé à l'heure, comme prévu.
果实	le fruit; le résultat	L'arbre est couvert de fruits.
过分	excessif	Sa demande est un peu excessive.
过敏	être allergique; l'allergie	Je suis allergique au pollen.
过期	expirer; être périmé	Cette bouteille de lait est déjà périmée.
哈	ha; rire	Ha, j'ai enfin compris.
海关	la douane	Nous avons fait la queue à la douane pour le contrôle.
海鲜	les fruits de mer	Les fruits de mer de ce restaurant sont très frais.
喊	crier	Nie crie pas fort dans la classe.
行业	le secteur; l'industrie	Le secteur du tourisme se développe rapidement.
豪华	luxueux	Ils logent dans un hôtel luxueux.
好客	hospitalier	Les gens du coin sont très hospitaliers.
好奇	curieux	Les enfants sont très curieux du monde.
何必	à quoi bon	À quoi bon se fâcher pour une petite chose ?
何况	sans parler de; d'autant plus que	Il fait froid aujourd'hui, sans parler de la pluie.
合法	légal	Ce contrat est légal.
合理	raisonnable	Ce prix est raisonnable.
合同	le contrat	Ils ont signé un contrat.
合影	la photo de groupe	Nous avons pris une photo de groupe à la remise des diplômes.
合作	coopérer; la coopération	Nous avons terminé le projet en coopération.
和平	la paix	Tout le monde souhaite la paix.
核心	le coeur; le noyau	La confiance est au coeur de la coopération.
恨	détester; regretter	Il regrette de ne pas avoir travaillé plus tôt.
猴子	le singe	Il y a plusieurs singes au zoo.
后背	le dos	Il a un peu mal au dos.
后果	les conséquences	Tu dois réfléchir aux conséquences.
呼吸	respirer	Respire profondément, s'il te plaît.
忽然	soudain	Le ciel s'est soudain assombri.
忽视	ignorer; négliger	Ne néglige pas ce problème.
壶	la théière; le pot	Il y a une théière sur la table.
糊涂	confus; embrouillé	Je suis un peu confus aujourd'hui.
胡说	dire n'importe quoi	Ne dis pas n'importe quoi, ce n'est pas vrai.
胡同	la ruelle; le hutong	Il y a beaucoup de vieux hutongs à Pékin.
蝴蝶	le papillon	Il y a un papillon dans le jardin.
花生	la cacahuète	Il aime manger des cacahuètes.
华裔	d'origine chinoise	Elle est une écrivaine d'origine chinoise.
滑	glissant; lisse	Le sol est glissant, fais attention.
划	ramer; pagayer	Quand il prend le bateau, il est chargé de ramer.
化学	la chimie	Elle a étudié la chimie à l'université.
话题	le sujet	Ce sujet est très intéressant.
怀念	regretter; se souvenir avec nostalgie	La vie universitaire me manque beaucoup.
怀孕	être enceinte	Elle est enceinte de trois mois.
缓解	soulager; atténuer	Le repos peut soulager le stress.
幻想	le fantasme; s'imaginer	Il imagine souvent voyager dans l'espace.
慌张	paniqué; affolé	Ne panique pas quand tu rencontres un problème.
黄金	l'or	Le prix de l'or a encore augmenté.
恢复	se rétablir; reprendre	Son corps est en train de se rétablir.
挥	agiter; faire signe	Elle a agité la main.
灰	gris; la cendre	Le ciel est gris.
灰尘	la poussière	Il y a beaucoup de poussière sur la table.
灰心	se décourager	Ne te décourage pas même si tu échoues.
汇率	le taux de change	Quel est le taux de change aujourd'hui ?
婚礼	le mariage; la cérémonie de mariage	Leur mariage était très simple.
婚姻	le mariage	Le mariage exige une compréhension mutuelle.
活跃	actif	Il est très actif en classe.
伙伴	le partenaire; le compagnon	C'est mon meilleur compagnon.
火柴	l'allumette	Il ne reste qu'une allumette dans la boîte.
或许	peut-être	Peut-être qu'il pleuvra demain.
基本	fondamental; de base	Ce sont les exigences de base.
机器	la machine	Cette machine est cassée.
激烈	intense; acharné	La compétition a été très intense.
肌肉	le muscle	Mes muscles sont un peu douloureux après le sport.
及格	réussir un examen	Il a réussi cet examen.
急忙	en hâte	Il est sorti de la salle de classe en courant.
急诊	les urgences	Le patient a été envoyé aux urgences.
极其	extrêmement	Cette question est extrêmement importante.
集合	se rassembler	Rassemblez-vous à l'entrée à huit heures, s'il vous plaît.
集体	collectif; le groupe	C'est une activité de groupe.
集中	se concentrer	Il faut se concentrer en classe.
寂寞	seul; solitaire	Vivre seul peut parfois rendre solitaire.
系领带	nouer sa cravate	Il noue sa cravate tous les jours avant d'aller au travail.
纪录	le record	Il a battu le record de l'école.
纪律	la discipline	La discipline en classe est très importante.
纪念	commémorer; garder un souvenir	Nous avons pris des photos pour garder le souvenir de cette journée.
计算	calculer	Calcule le coût total, s'il te plaît.
记录	noter; enregistrer	Veuillez noter le contenu de la réunion.
记忆	le souvenir; la mémoire	Ce souvenir est très précieux.
嘉宾	l'invité d'honneur	L'invité d'aujourd'hui est un écrivain.
夹子	la pince; le clip	Utilise une pince pour tenir les documents, s'il te plaît.
家庭	la famille	La famille est très importante pour les enfants.
家务	les tâches ménagères	Je dois faire le ménage ce week-end.
家乡	le pays natal; la ville natale	Mon pays natal me manque beaucoup.
假如	si; supposons que	S'il pleut demain, nous n'irons pas.
假设	supposer; l'hypothèse	Supposons que tu sois le professeur: que ferais-tu ?
假装	faire semblant	Il a fait semblant de ne pas entendre.
甲	la partie A; premier	La partie A doit payer à temps.
价值	la valeur	Ce livre a beaucoup de valeur.
嫁	se marier avec	Elle va épouser son petit ami l'année prochaine.
驾驶	conduire; piloter	Conduis prudemment quand tu es au volant.
兼职	le travail à temps partiel	Il travaille à temps partiel le soir.
坚决	ferme; résolu	Il n'est résolument pas d'accord avec cette décision.
坚强	fort; solide	C'est une personne forte.
肩膀	l'épaule	Son épaule est blessée.
艰巨	ardu; très difficile	C'est une tâche ardue.
艰苦	dur; difficile	Ils ont connu une vie difficile.
剪刀	les ciseaux	Passe-moi les ciseaux, s'il te plaît.
捡	ramasser	Il a ramassé le portefeuille par terre.
简历	le CV	Il faut préparer un CV avant de postuler.
简直	tout simplement	Cette nouvelle est tout simplement choquante.
健身	faire du sport; s'entraîner	Il va s'entraîner trois fois par semaine.
建立	établir; créer	Nous avons établi une nouvelle relation.
建设	la construction; construire	La construction urbaine se développe rapidement.
建筑	le bâtiment; l'architecture	Ce bâtiment a beaucoup de caractère.
键盘	le clavier	Mon clavier a besoin d'être nettoyé.
讲究	accorder de l'importance à; raffiné	Les Chinois accordent beaucoup d'importance aux repas.
讲座	la conférence	Il y a une conférence de chinois ce soir.
酱油	la sauce soja	Ajoute un peu de sauce soja dans le plat.
交换	échanger	Nous avons échangé nos numéros de téléphone.
