simplified	NL	example_NL
冠军	de kampioen	Zij won het kampioenschap in de wedstrijd.
光滑	glad	Het oppervlak van deze tafel is erg glad.
光临	langskomen; vereerd bezoek	We heten u welkom om de volgende keer weer langs te komen.
光明	helder; rooskleurig	De toekomst is rooskleurig.
光盘	de cd; de schijf	Sla de materialen alsjeblieft op de schijf op.
广场	het plein	Er zijn veel mensen op het plein.
广大	groot; breed	Dit nieuws werd door veel studenten verwelkomd.
广泛	breed; uitgebreid	Dit boek heeft een brede invloed.
归纳	samenvatten	De leraar hielp ons de kernpunten samen te vatten.
规矩	de regel	Kinderen moeten de regels begrijpen.
规律	de regelmaat	Het leven hoort regelmaat te hebben.
规模	de schaal	Dit bedrijf is groot van schaal.
规则	de regel	De wedstrijdregels zijn heel duidelijk.
柜台	de balie	Betaal alsjeblieft bij de balie.
滚	rollen; koken	Het water kookt al.
锅	de pan; de pot	Er zit hete soep in de pan.
国庆节	de nationale feestdag	Op de nationale feestdag hebben we vrij.
国王	de koning	De koning woont in het paleis.
果然	zoals verwacht	Hij kwam op tijd aan, zoals verwacht.
果实	de vrucht; het resultaat	De boom hangt vol vruchten.
过分	overdreven; buitensporig	Zijn eis is een beetje overdreven.
过敏	allergisch zijn; de allergie	Ik ben allergisch voor pollen.
过期	verlopen	Deze fles melk is al verlopen.
哈	ha	Ha, ik begrijp het eindelijk.
海关	de douane	We stonden in de rij voor controle bij de douane.
海鲜	de zeevruchten	De zeevruchten in dit restaurant zijn erg vers.
喊	roepen; schreeuwen	Schreeuw niet hard in de klas.
行业	de sector	De toeristische sector ontwikkelt zich snel.
豪华	luxueus	Zij verblijven in een luxe hotel.
好客	gastvrij	De lokale mensen zijn erg gastvrij.
好奇	nieuwsgierig	Kinderen zijn erg nieuwsgierig naar de wereld.
何必	waarom zou je; niet nodig	Waarom boos worden om iets kleins?
何况	laat staan	Het is vandaag koud, laat staan dat het ook regent.
合法	legaal	Dit contract is legaal.
合理	redelijk; eerlijk	Deze prijs is redelijk.
合同	het contract	Zij hebben een contract ondertekend.
合影	de groepsfoto	We maakten een groepsfoto bij het afstuderen.
合作	samenwerken; samenwerking	We voltooiden het project door samenwerking.
和平	de vrede	Iedereen hoopt op vrede.
核心	de kern	Vertrouwen is de kern van samenwerking.
恨	spijt hebben; haten	Hij heeft er spijt van dat hij eerder niet hard werkte.
猴子	de aap	Er zijn een paar apen in de dierentuin.
后背	de rug	Zijn rug doet een beetje pijn.
后果	de gevolgen	Je moet de gevolgen overwegen.
呼吸	ademen	Haal alsjeblieft diep adem.
忽然	plotseling	De lucht werd plotseling donker.
忽视	negeren	Negeer dit probleem niet.
壶	de kan; de theepot	Er staat een pot thee op tafel.
糊涂	in de war	Ik ben vandaag een beetje in de war.
胡说	onzin praten	Praat geen onzin; dit is niet waar.
胡同	de hutong; steeg	Beijing heeft veel oude steegjes.
蝴蝶	de vlinder	Er is een vlinder in de tuin.
花生	de pinda	Hij eet graag pinda's.
华裔	van Chinese afkomst	Zij is een schrijfster van Chinese afkomst.
滑	glad; glijden	De vloer is glad, dus wees voorzichtig.
划	roeien	Als we de boot nemen, is hij verantwoordelijk voor het roeien.
化学	de scheikunde	Zij studeerde scheikunde aan de universiteit.
话题	het onderwerp	Dit onderwerp is erg interessant.
怀念	missen; met heimwee denken aan	Ik mis het universiteitsleven erg.
怀孕	zwanger zijn	Zij is drie maanden zwanger.
缓解	verlichten	Rust kan stress verlichten.
幻想	fantaseren	Hij fantaseert vaak over reizen naar de ruimte.
慌张	in paniek; zenuwachtig	Raak niet in paniek wanneer je een probleem tegenkomt.
黄金	het goud	De goudprijs is weer gestegen.
恢复	herstellen	Zijn lichaam herstelt.
挥	zwaaien	Zij zwaaide met haar hand.
灰	grijs; as	De lucht is grijs.
灰尘	het stof	Er ligt veel stof op de tafel.
灰心	de moed verliezen	Verlies de moed niet, ook niet als je faalt.
汇率	de wisselkoers	Wat is de wisselkoers van vandaag?
婚礼	de bruiloft	Hun bruiloft was heel eenvoudig.
婚姻	het huwelijk	Een huwelijk vereist wederzijds begrip.
活跃	actief	Hij is erg actief in de les.
伙伴	de partner; de kameraad	Hij is mijn beste partner.
火柴	de lucifer	Er is nog maar één lucifer in het doosje.
或许	misschien	Misschien regent het morgen.
基本	basis-; fundamenteel	Dit zijn basisvereisten.
机器	de machine	Deze machine is kapot.
激烈	hevig; fel	De competitie was erg fel.
肌肉	de spier	Mijn spieren doen een beetje pijn na het sporten.
及格	slagen voor een toets	Hij is geslaagd voor dit examen.
急忙	haastig	Hij rende haastig de klas uit.
急诊	de spoedeisende hulp	De patiënt werd naar de spoedeisende hulp gebracht.
极其	uiterst	Deze kwestie is uiterst belangrijk.
集合	verzamelen	Verzamel alsjeblieft om acht uur bij de ingang.
集体	de groep; collectief	Dit is een groepsactiviteit.
集中	zich concentreren	Je moet je in de les concentreren.
寂寞	eenzaam	Alleen wonen kan soms eenzaam zijn.
系领带	een stropdas knopen	Hij knoopt elke dag voor het werk zijn stropdas.
纪录	het record	Hij brak het schoolrecord.
纪律	de discipline	Discipline in de klas is erg belangrijk.
纪念	herdenken; als herinnering bewaren	We maakten foto's om deze dag te herdenken.
计算	berekenen	Bereken alsjeblieft de totale kosten.
记录	noteren; het verslag	Noteer alsjeblieft de inhoud van de vergadering.
记忆	de herinnering	Deze herinnering is erg kostbaar.
嘉宾	de eregast	De gast van vandaag is een schrijver.
夹子	de clip; klem	Houd de documenten alsjeblieft bij elkaar met een clip.
家庭	het gezin; de familie	Familie is erg belangrijk voor kinderen.
家务	het huishouden	Ik moet in het weekend huishoudelijk werk doen.
家乡	de geboorteplaats	Ik mis mijn geboorteplaats erg.
假如	als; stel dat	Als het morgen regent, gaan we niet.
假设	de aanname; stel dat	Stel dat jij de leraar was; wat zou je doen?
假装	doen alsof	Hij deed alsof hij het niet hoorde.
甲	partij A; eerste	Partij A moet op tijd betalen.
价值	de waarde	Dit boek is erg waardevol.
嫁	trouwen; uithuwelijken	Zij trouwt volgend jaar met haar vriend.
驾驶	besturen	Rijd voorzichtig wanneer je een auto bestuurt.
兼职	parttime werk	Hij werkt 's avonds parttime.
坚决	vastberaden	Hij is het beslist niet eens met deze beslissing.
坚强	sterk	Zij is een sterk persoon.
肩膀	de schouder	Zijn schouder is gewond.
艰巨	zwaar; moeilijk	Dit is een zware taak.
艰苦	zwaar; moeilijk	Zij hebben een zwaar leven meegemaakt.
剪刀	de schaar	Geef me alsjeblieft de schaar.
捡	oppakken	Hij pakte de portemonnee van de grond op.
简历	het cv	Maak een cv voordat je solliciteert.
