source_headword	KO	example_KO
interface	인터페이스	이 인터페이스는 탐색하기 쉽습니다.
interfere	방해하다	조사를 방해하지 마십시오.
interference	간섭	신호 간섭으로 인해 통화가 중단되었습니다.
interim	임시의	임시 보고서가 내일 도착합니다.
interior	내부의	내부 벽은 페인트칠이 필요합니다.
intermediate	중급의	그녀는 중급 반에 합류했습니다.
intervene	개입하다	경찰이 신속하게 개입해야 했습니다.
intervention	개입	조기 개입이 환자에게 도움이 되었습니다.
intimate	친밀한	그들은 친밀한 가족 의식을 치렀습니다.
intriguing	흥미로운	그 데이터는 흥미로운 패턴을 밝혀냈습니다.
investigator	조사관	조사관이 각 증인과 인터뷰를 했습니다.
invisible	보이지 않는	그 가스는 보이지 않으며 위험합니다.
invoke	적용하다	그 변호사는 판례를 적용하려고 했습니다.
involvement	관여	그의 관여는 여전히 불분명했습니다.
ironic	반어적인	그 반어적인 논평은 모두를 웃게 만들었습니다.
ironically	아이러니하게도	아이러니하게도 그 경로는 시간이 더 걸렸습니다.
irony	아이러니	그 아이러니는 모든 사람에게 명백했습니다.
irrelevant	무관한	그 세부 사항은 여기에서 무관합니다.
isolation	고립	고립은 정신 건강을 해칠 수 있습니다.
judicial	사법의	사법 심사는 월요일에 시작됩니다.
junction	교차로	교차로에서 좌회전하세요.
jurisdiction	관할권	그 법원은 제한된 관할권을 갖습니다.
just	공정한	판사는 공정한 결정을 내렸습니다.
justification	정당한 이유	우리는 지출에 대한 명확한 정당한 이유가 필요합니다.
kidnap	납치하다	범죄자들이 그 외교관을 납치하려고 했습니다.
kidney	신장	그녀의 신장 기능이 호전되었습니다.
kingdom	왕국	왕국은 그의 통치 하에 확장되었습니다.
lad	소년	그 어린 소년이 가방을 날랐습니다.
landlord	집주인	집주인이 난방을 수리했습니다.
landmark	랜드마크	그 탑은 도시의 랜드마크가 되었습니다.
lap	무릎	그 아이는 그녀의 무릎에 앉았습니다.
large-scale	대규모의	시는 대규모 수리를 계획했습니다.
laser	레이저	레이저가 거리를 측정했습니다.
latter	후자의	후자의 선택이 더 안전해 보입니다.
lawn	잔디밭	아이들이 잔디밭에서 놀았습니다.
lawsuit	소송	회사는 그 소송을 합의했습니다.
layout	배치	페이지 배치가 더 깔끔해 보입니다.
leak	누수	파이프 누수로 부엌이 물에 잠겼습니다.
leap	급증	매출이 갑자기 급증했습니다.
legacy	유산	그녀의 유산이 그 대학을 형성했습니다.
legendary	전설적인	전설적인 가수가 무대로 돌아왔습니다.
legislation	법안	새로운 법안이 세입자를 보호합니다.
legislative	입법의	입법 위원회가 오늘 모였습니다.
legislature	입법부	입법부가 예산을 승인했습니다.
legitimate	정당한	그들은 정당한 우려를 제기했습니다.
lengthy	장황한	장황한 토론으로 인해 투표가 지연되었습니다.
lesbian	레즈비언의	그 레즈비언 활동가가 포럼에서 연설했습니다.
lesser	더 적은	위험이 더 적은 것을 선택하십시오.
lethal	치명적인	그 화학 물질은 치명적일 수 있습니다.
liable	책임이 있는	운전자는 손해에 대한 책임이 있습니다.
liberal	진보적인	그는 진보적인 사회 정책을 지지합니다.
liberation	해방	해방은 국가의 미래를 바꾸었습니다.
liberty	자유	법은 개인의 자유를 보호합니다.
license	허가하다	주 정부가 새로운 클리닉을 허가할 수 있습니다.
lifelong	평생의	그녀는 그곳에서 평생의 친구를 사귀었습니다.
likelihood	가능성	비가 올 가능성이 증가했습니다.
limb	팔다리	다친 팔다리가 천천히 나았습니다.
linear	선형의	차트는 선형 추세를 보여줍니다.
line-up	라인업	축제 라인업에는 지역 밴드들이 포함되어 있습니다.
linger	남아 있다	냄새가 몇 시간 동안 남아 있을 수 있습니다.
listing	목록	그 아파트 목록은 정확해 보였습니다.
literacy	읽고 쓰는 능력	성인 문해력 프로그램이 확대되었습니다.
liver	간	간은 유해 물질을 걸러냅니다.
lobby	로비	정오가 지나자 로비가 붐볐습니다.
log	일지	시스템은 매일 일지를 보관합니다.
logic	논리	그의 주장의 논리가 틀렸습니다.
long-standing	오래된	그들은 오래된 분쟁을 해결했습니다.
long-time	오랫동안의	그녀는 오랜 자원봉사자입니다.
loom	어렴풋이 나타나다	계곡 위로 먹구름이 드리워져 있습니다.
loop	고리	그 오솔길은 고리 모양을 이룹니다.
loyalty	충성심	그의 충성심이 팀을 감동시켰습니다.
machinery	기계류	공장에 새로운 기계가 설치되었습니다.
magical	마법 같은	밤이 되자 정원은 마법 같아 보였습니다.
magistrate	치안 판사	치안 판사가 그 사건을 심리했습니다.
magnetic	자기의	자기장이 나침반에 영향을 미쳤습니다.
magnitude	규모	피해 규모가 명백했습니다.
mainland	본토	페리는 섬과 본토를 연결합니다.
mainstream	주류	그 아이디어는 주류 정치에 진입했습니다.
maintenance	유지 보수	정기적인 유지 보수는 고장을 방지합니다.
mandate	권한	대통령은 강력한 권한을 주장했습니다.
mandatory	의무적인	연수생들은 의무적으로 참석해야 합니다.
manifest	나타나다	증상은 몇 주 후에 나타날 수 있습니다.
manipulate	조작하다	설문조사 결과를 조작하지 마십시오.
manipulation	조작	데이터 조작이 발각되었습니다.
manuscript	원고	출판사가 그녀의 원고를 채택했습니다.
march	행진하다	시위대는 시내로 행진할 것입니다.
marginal	미미한	그 변화는 미미한 이점만 있었습니다.
marine	해양의	해양 생물은 깨끗한 물이 필요합니다.
marketplace	시장	온라인 시장이 빠르게 확장되었습니다.
mask	마스크	근로자는 마스크를 착용해야 합니다.
massacre	대학살	그 대학살은 지역 전체에 충격을 주었습니다.
mathematical	수학적인	그 수학적 모델이 수요를 예측했습니다.
mature	성숙한	다 자란 나무들이 그늘을 제공합니다.
maximize	극대화하다	업데이트는 배터리 수명을 극대화할 것입니다.
meaningful	의미 있는	그들은 의미 있는 대화를 나눴습니다.
meantime	그동안	그동안 밖에서 기다리십시오.
medieval	중세의	그 성에는 중세 시대의 성벽이 있습니다.
meditation	명상	매일의 명상은 그녀의 마음을 진정시킵니다.
melody	멜로디	그 멜로디가 내 머릿속에 맴돌았습니다.
memo	메모	그 메모는 정책을 설명했습니다.
memoir	회고록	그녀의 회고록은 어린 시절의 망명 생활을 묘사합니다.
memorial	기념비	그 기념비는 지역 군인들을 기립니다.
mentor	멘토	그녀의 멘토가 제안서를 검토했습니다.
merchant	상인	그 상인은 비단과 향신료를 팔았습니다.
mercy	자비	판사는 자비를 베풀었습니다.
mere	단지 ~에 불과한	단지 흘끗 보는 것만으로도 오류가 드러났습니다.
merely	단지	그녀는 단지 지시사항을 반복했을 뿐입니다.
merge	합병하다	두 회사는 합병할 것입니다.
merger	합병	그 합병으로 더 큰 은행이 생겼습니다.
merit	장점	그 제안에는 분명한 장점이 있습니다.
methodology	방법론	그 연구는 방법론을 설명합니다.
midst	한가운데	그들은 혼란의 한가운데서 일했습니다.
migration	이주	계절적 이주는 지역 일자리에 영향을 미칩니다.
militant	호전적인	호전적인 단체가 협상을 거부했습니다.
militia	민병대	민병대가 도로를 통제했습니다.
mill	방앗간	오래된 방앗간은 박물관이 되었습니다.
minimal	최소의	그 계획은 최소한의 노력을 요구합니다.
minimize	최소화하다	불필요한 위험을 최소화해야 합니다.
mining	채굴	채굴은 강 계곡을 훼손했습니다.
ministry	부처	그 부처는 새로운 규정을 발표했습니다.
minute2	미세한	유리에 미세한 금이 생겼습니다.
miracle	기적	그의 회복은 기적 같았습니다.
misery	고통	난민들은 수년 동안 고통을 견뎌냈습니다.
misleading	오해의 소지가 있는	오해의 소지가 있는 차트가 독자들을 혼란스럽게 했습니다.
missile	미사일	미사일 발사 시험으로 긴장이 고조되었습니다.
mob	군중	성난 군중이 교통을 마비시켰습니다.
mobility	이동성	더 나은 버스는 도시 이동성을 향상시킵니다.
mobilize	동원하다	지도자들은 자원봉사자들을 신속하게 동원합니다.
moderate	온건한	그 후보는 온건한 견해를 가지고 있습니다.
modification	수정	그 디자인은 한 가지 수정이 필요합니다.
momentum	탄력	캠페인은 빠르게 탄력을 받았습니다.
monk	수도사	그 수도사는 침묵 속에 살았습니다.
monopoly	독점	그 회사가 독점권을 쥐고 있었습니다.
morality	도덕성	그 과정은 공공 도덕성을 다룹니다.
motive	동기	경찰은 그의 동기를 심문했습니다.
motorist	운전자	운전자는 빨간불에 멈춰 섰습니다.
municipal	시의	시 행정 서비스가 올해 개선되었습니다.
mutual	상호 간의	그들은 상호 합의에 도달했습니다.
namely	즉	한 가지 문제가 남아 있는데, 즉 자금 문제입니다.
nationwide	전국적인	파업으로 전국적인 지연이 발생했습니다.
naval	해군의	해군 기지는 작년에 폐쇄되었습니다.
neglect	방치하다	기본 안전을 소홀히 하지 마십시오.
neighbouring	이웃의	이웃 마을들은 병원을 공유했습니다.
nest	둥지	새가 둥지를 지었습니다.
net	순-	순이익이 급격히 증가했습니다.
newsletter	소식지	소식지는 매주 금요일에 도착합니다.
niche	틈새시장	그 회사는 수익성 있는 틈새시장을 찾았습니다.
noble	고귀한	그녀의 고귀한 행동이 모두를 감동시켰습니다.
nod	끄덕이다	이해하셨다면 고개를 끄덕여 주십시오.
nominate	지명하다	그들은 새로운 의장을 지명할 것입니다.
nomination	지명	그녀의 지명은 위원회를 놀라게 했습니다.
nominee	후보자	후보자는 어려운 질문들에 답했습니다.
nonetheless	그럼에도 불구하고	그럼에도 불구하고 계획은 진행되었습니다.
non-profit	비영리의	그녀는 비영리 병원에서 일합니다.
nonsense	터무니없는 말	그 소문은 완전히 터무니없는 말입니다.
noon	정오	회의는 정오에 시작됩니다.
notable	주목할 만한	그 보고서는 주목할 만한 진전을 이루었습니다.
notably	특히	특히 5월에 비용이 감소했습니다.
notify	알리다	떠나기 전에 직원에게 알려주십시오.
notorious	악명 높은	그 도로는 사고로 악명 높습니다.
novel	새로운	그들은 새로운 해결책을 제안했습니다.
nursery	유아원	유아원은 영유아를 돌봅니다.
objection	이의	변호사가 이의를 제기했습니다.
oblige	의무를 지우다	규칙은 운전자들이 멈추도록 의무를 지웁니다.
obsess	집착하다	작은 실수에 집착하지 마세요.
obsession	집착	그의 집착이 그의 일을 망쳤습니다.
occasional	가끔의	가끔의 지연이 예상됩니다.
occurrence	발생	그런 발생은 드뭅니다.
odds	가능성	성공의 가능성이 향상되었습니다.
offering	제공	대학은 제공을 확대했습니다.
offspring	자식	여우는 자식을 보호했습니다.
operational	운영되는	새 시스템이 운영되고 있습니다.
opt	선택하다	많은 학생들이 온라인 수업을 선택합니다.
optical	광학의	광학 렌즈는 청소가 필요합니다.
optimism	낙관주의	발표 후 낙관주의가 돌아왔습니다.
oral	구두의	구두 시험은 내일 시작됩니다.
organizational	조직의	조직의 변화가 즉시 시작되었습니다.
orientation	오리엔테이션	워크숍은 직원 오리엔테이션을 다루었습니다.
originate	유래하다	많은 전통이 시골 마을에서 유래합니다.
outbreak	발생	발생이 도시 전역으로 퍼졌습니다.
outing	소풍	반 학생들은 박물관 소풍을 즐겼습니다.
outlet	아울렛	아울렛은 할인된 옷을 팝니다.
outlook	전망	경제 전망은 여전히 불확실합니다.
outrage	분노	그 결정은 대중의 분노를 일으켰습니다.
outsider	외부인	외부인으로서 그녀는 문제점들을 알아챘습니다.
overlook	간과하다	사소한 세부 사항을 간과하지 마세요.
overly	지나치게	지시사항이 지나치게 복잡했습니다.
oversee	감독하다	그녀가 프로젝트를 감독할 것입니다.
overturn	뒤집다	법원이 그 판결을 뒤집을지도 모릅니다.
overwhelm	압도하다	너무 많은 정보는 학습자를 압도할 수 있습니다.
overwhelming	압도적인	증거가 압도적이었습니다.
pad	패드	무릎을 보호하기 위해 패드를 사용하세요.
parameter	매개변수	한 번에 하나의 매개변수를 조정하세요.
parental	부모의	부모의 지원이 출석을 개선했습니다.
parish	교구	교구에서 자선 만찬을 조직했습니다.
parliamentary	의회의	의회의 토론은 몇 시간 동안 계속되었습니다.
partial	부분적인	보고서는 부분적인 답을 주었습니다.
partially	부분적으로	창문이 부분적으로 열려 있었습니다.
passing	죽음	그녀의 죽음은 갑작스러웠습니다.
passive	수동적인	수동적인 투자자들은 안정적인 수익을 받아들였습니다.
pastor	목사	목사가 그 가족을 방문했습니다.
patch	패치	재킷에 작은 패치가 필요합니다.
patent	특허	그 회사는 특허를 출원했습니다.
pathway	경로	그 경로는 자격증으로 이어집니다.
patrol	순찰하다	경찰이 밤에 그 지역을 순찰합니다.
patron	후원자	박물관은 후원자에게 감사를 표했습니다.
peak	최고조	수요가 겨울 최고조에 달했습니다.
peasant	농민	그 농민은 땅을 거의 소유하지 않았습니다.
peculiar	이상한	방에서 이상한 냄새가 났습니다.
persist	지속되다	증상은 며칠 동안 지속될 수 있습니다.
persistent	지속적인	지속적인 기침은 주의가 필요합니다.
personnel	인사	인사 기록은 기밀입니다.
petition	청원	청원은 수천 명의 서명을 모았습니다.
philosopher	철학자	철학자는 흔한 가정들에 의문을 제기했습니다.
philosophical	철학적인	토론은 철학적이 되었습니다.
physician	의사	의사가 혈액 검사를 지시했습니다.
pioneer	개척자	그녀는 의학의 개척자가 되었습니다.
pipeline	파이프라인	파이프라인은 지하로 가스를 운반합니다.
pirate	해적	해적선이 앞바다에 나타났습니다.
pit	구덩이	노동자들은 깊은 구덩이를 팠습니다.
plea	간청	그의 도움 간청은 무시되었습니다.
plead	항변하다	용의자는 유죄를 항변할 것입니다.
pledge	약속하다	그들은 개혁을 지원할 것을 약속합니다.
plug	플러그를 꽂다	케이블의 플러그를 소켓에 꽂으세요.
plunge	급락하다	스캔들 이후 가격이 급락할 수 있습니다.
pole	기둥	깃발이 기둥에 걸려 있었습니다.
poll	여론 조사	여론 조사는 변화하는 의견을 보여주었습니다.
pond	연못	오리들이 얼어붙은 연못을 건었습니다.
pop	터지다	풍선은 날카로운 물체 근처에서 터집니다.
portfolio	포트폴리오	그녀의 포트폴리오는 몇 개의 신생 기업을 포함합니다.
portray	묘사하다	영화는 시골 생활을 묘사할 것입니다.
postpone	연기하다	그들은 청문회를 연기하기로 결정했습니다.
post-war	전후의	전후의 주택이 긴급하게 필요했습니다.
practitioner	실무자	실무자가 치료법을 설명했습니다.
preach	설교하다	목사님이 일요일에 설교할 것입니다.
precedent	선례	그 판결은 중요한 선례를 남겼습니다.
precision	정밀성	기계가 정밀하게 자릅니다.
predator	포식자	포식자가 강 근처에서 기다렸습니다.
predecessor	전임자	그녀의 전임자는 자세한 메모를 남겼습니다.
predominantly	주로	그 지역은 주로 주거 지역입니다.
pregnancy	임신	임신에는 정기적인 의학적 관리가 필요합니다.
prejudice	편견	그 캠페인은 인종적 편견에 도전했습니다.
preliminary	예비의	예비 결과가 유망해 보입니다.
premier	수상	수상이 오늘 의회에서 연설했습니다.
premise	전제	그 주장은 잘못된 전제에 기초하고 있습니다.
premium	프리미엄	고객들은 속도를 위해 프리미엄을 지불했습니다.
prescribe	처방하다	의사들은 항생제를 신중하게 처방합니다.
prescription	처방전	처방전은 다음 달에 만료됩니다.
presently	현재	그녀는 현재 시간이 없습니다.
preservation	보존	보존은 역사적인 건물들을 보호합니다.
preside	주재하다	판사가 재판을 주재할 것입니다.
presidency	대통령 임기	그의 대통령 임기는 8년 동안 지속되었습니다.
presidential	대통령의	대통령 선거가 이목을 끌었습니다.
prestigious	명망 있는	그녀는 명망 있는 장학금을 받았습니다.
presumably	아마	사무실은 아마 오늘 문을 닫았을 것입니다.
presume	추정하다	우리는 그 문서들이 진짜라고 추정합니다.
prevail	승리하다	상식이 이겨야 합니다.
prevalence	발생률	천식의 발생률이 증가했습니다.
prevention	예방	예방이 수리하는 것보다 저렴합니다.
