simplified	SK	example_SK
操心	robiť si starosti	Nerob si o mňa starosti.
册	zväzok	Kúpil som si jeden zväzok knihy.
测验	test	Zajtra bude malý test.
曾经	kedysi	Kedysi som býval v Pekingu.
叉子	vidlička	Šalát jem vidličkou.
差距	rozdiel	Medzi mestom a vidiekom je rozdiel.
插	vložiť	Vložte, prosím, kvety do vázy.
拆	búrať	Robotníci búrajú starý dom.
产品	výrobok	Tento výrobok má veľmi dobrú kvalitu.
产生	vzniknúť	Tento problém mal nový vplyv.
常识	všeobecné znalosti	To je základná všeobecná znalosť.
长途	diaľkový	Dlhá cesta je únavná.
抄	odpisovať	Neodpisujte, prosím, domácu úlohu od iných.
超级	super; supermarket	Toto je supermarket.
朝	dynastia	Dynastia Tang je veľmi známa.
潮湿	vlhký	Leto na juhu je veľmi vlhké.
吵	hlučný	Vonku je veľmi hlučno.
吵架	pohádať sa	Zase sa pohádali.
炒	pražiť; restovať	Mama restuje jedlo.
车库	garáž	Auto stojí v garáži.
车厢	vozeň	Tento vozeň je veľmi tichý.
彻底	dôkladne	Úplne to pochopil.
沉默	mlčať	Celý čas mlčal.
趁	kým	Kým sa ešte nezotmelo, poďme.
称	odvážiť	Odvážte, prosím, tento balík.
称呼	osloviť	Neviem, ako ho mám osloviť.
称赞	pochváliť	Učiteľ pochválil jeho pokrok.
成分	zloženie	Zloženie tohto lieku je jednoduché.
成果	výsledok	Tento projekt dosiahol výsledky.
成就	úspech	V kariére má veľa úspechov.
成立	založiť	Firma bola založená minulý rok.
成人	dospelý	Lístok pre dospelého je drahší než detský.
成熟	zrelý	Jablká už dozreli.
成语	idióm	Tento idióm sa používa často.
成长	rásť	Dieťa pomaly rastie.
承担	prevziať zodpovednosť	Je ochotný prevziať zodpovednosť.
承认	priznať	Priznal, že sa mýlil.
承受	zniesť	Neznesiem taký veľký tlak.
程度	úroveň	Jeho úroveň čínštiny je vysoká.
程序	postup; procedúra	Vybavte to, prosím, podľa postupu.
诚恳	úprimný	Jeho postoj je veľmi úprimný.
吃亏	prerobiť; byť v strate	Pred nákupom si veci dobre prezri, aby si neprerobil.
持续	trvať	Dážď trval tri dni.
池塘	rybník	V rybníku je veľa rýb.
迟早	skôr či neskôr	Skôr či neskôr to pochopíš.
尺子	pravítko	Zmerajte to, prosím, pravítkom.
翅膀	krídlo	Vták má zranené krídlo.
充电器	nabíjačka	Moja nabíjačka je pokazená.
充分	dostatočný	Pripravili sme sa dostatočne.
充满	byť plný; naplniť	Izba bola plná smiechu.
冲	opláchnuť	Opláchnite, prosím, pohár vodou.
重复	opakovať	Neopakujte, prosím, tú istú chybu.
宠物	domáce zviera	Chová psa ako domáce zviera.
抽屉	zásuvka	Kľúč je v zásuvke.
抽象	abstraktný	Tento pojem je príliš abstraktný.
丑	škaredý	Táto fotografia je trochu škaredá.
臭	smradľavý	Odpadky veľmi smrdia.
出版	vydať	Táto kniha vyšla minulý rok.
出口	východ	Východ je vpredu.
出色	vynikajúci	Jej výkon je vynikajúci.
出示	predložiť; ukázať	Predložte, prosím, svoj pas.
出席	zúčastniť sa	Zúčastní sa stretnutia.
初级	začiatočnícky; základný	Čínštinu študujem v začiatočníckej triede.
除非	pokiaľ nie; iba ak	Ak nebude pršať, zajtra pôjdeme na túru.
除夕	predvečer čínskeho Nového roka	Na predvečer čínskeho Nového roka večeriame spolu ako celá rodina.
处理	riešiť; vybaviť	Tento problém vyriešim.
传播	šíriť	Táto správa sa šírila veľmi rýchlo.
传染	nakaziť; byť nákazlivý	Nádcha sa ľahko šíri.
传说	legenda	Toto je stará legenda.
传统	tradícia; tradičný	Sviatok jari je tradičný čínsky sviatok.
窗帘	závesy; záclony	Odtiahnite, prosím, závesy.
闯	vbehnúť; porušiť	Neopatrne prešiel na červenú.
创造	vytvoriť	Ľudia vytvorili nové nástroje.
吹	fúkať	Vietor silno fúka.
词汇	slovná zásoba	Toto slovíčko sa používa často.
辞职	dať výpoveď	Rozhodol sa dať výpoveď.
此外	okrem toho	Okrem toho mám ešte jednu otázku.
刺激	vzrušujúci; podnet	Táto hra je veľmi vzrušujúca.
次要	druhoradý	Tento problém je druhoradý.
匆忙	narýchlo; uponáhľaný	Narýchlo odišiel z domu.
从此	odvtedy	Odvtedy každý deň cvičil.
从而	tak; tým pádom	Usilovne sa učil, a tak zložil skúšku.
从前	kedysi	Kedysi tu nebolo metro.
从事	venovať sa	Venuje sa práci v školstve.
粗糙	drsný	Tento papier je veľmi drsný.
促进	podporiť	Pohyb podporuje zdravie.
促使	podnietiť; prinútiť	Táto vec ho podnietila zmeniť plán.
醋	ocot	Do jedla pridali ocot.
催	súriť	Mama ma súrila, aby som rýchlo vyšiel z domu.
存在	existovať	Tento problém stále existuje.
措施	opatrenie	Škola prijala bezpečnostné opatrenia.
答应	súhlasiť; sľúbiť	Súhlasil, že mi pomôže.
达到	dosiahnuť	Jeho výsledky dosiahli požadovaný štandard.
打工	brigádovať	Počas letných prázdnin brigáduje v reštaurácii.
打交道	mať do činenia	Často mám do činenia so zákazníkmi.
打喷嚏	kýchať	Je prechladnutý a stále kýcha.
打听	informovať sa	Chcel by som sa informovať o lístkoch na vlak.
大方	štedrý	Je veľmi štedrá pri míňaní peňazí.
大厦	veľká budova	Tá veľká budova je veľmi vysoká.
大象	slon	Deti sa v zoo pozerajú na slony.
大型	veľký; veľkorozmerný	Tu sa má postaviť veľké nákupné centrum.
呆	zostať; zdržiavať sa	Zostáva doma a číta si.
代表	zastupovať; predstavovať	Tento kvet predstavuje priateľstvo.
代替	nahradiť	Dnes pôjdem na stretnutie namiesto neho.
待遇	zaobchádzanie; benefity	Benefity v tejto firme sú dobré.
贷款	úver	Požiadali o úver na bývanie.
单纯	jednoduchý; prostý	Jej myšlienka je veľmi jednoduchá.
单调	jednotvárny	Táto práca je trochu jednotvárna.
单独	osamote; samostatne	Chcem sa s tebou porozprávať osamote.
单位	jednotka; pracovisko	Pracuje vo verejnej inštitúcii.
单元	lekcia; jednotka	Dnes študujeme tretiu lekciu.
担任	zastávať; prevziať funkciu	Je zodpovednou osobou za túto akciu.
耽误	zdržať; premrhať čas	Nezdržiavaj všetkých.
胆小鬼	zbabelec	Nenazývaj ho zbabelcom.
淡	nevýrazný; riedky	Táto polievka je trochu nevýrazná.
当地	miestny	Miestnym ľuďom sa tento trh páči.
当心	dávať pozor	Cesta je šmykľavá, dávaj pozor.
挡	blokovať; brániť	Toto auto blokuje vchod.
倒霉	mať smolu	Dnes mám naozaj smolu, stratil som telefón.
导演	režisér; režírovať	Tento režisér je veľmi známy.
导致	spôsobiť; viesť k	Silný dážď spôsobil dopravnú zápchu.
岛屿	ostrov	Táto krajina má veľa ostrovov.
到达	doraziť	Vlak dorazil do Šanghaja načas.
道德	morálka	Človek by mal mať morálne zásady.
道理	dôvod; zmysel	To, čo povedal, dáva veľký zmysel.
登记	registrovať sa	Najprv sa, prosím, zaregistrujte na recepcii.
等待	čakať	Čakáme na výsledok.
等于	rovnať sa	Päť plus päť sa rovná desať.
滴	kvapka	Na stôl spadla kvapka vody.
敌人	nepriateľ	Nie sú nepriatelia.
的确	naozaj; skutočne	Táto vec je naozaj veľmi dôležitá.
地道	autentický	Hovorí autentickým pekinským dialektom.
地理	geografia	Veľmi ma zaujíma geografia Číny.
地区	región; oblasť	V tejto oblasti je v zime veľmi chladno.
地毯	koberec	V obývačke leží koberec.
地位	postavenie	Vzdelanie má v spoločnosti dôležité postavenie.
地震	zemetrasenie	Včera večer tu bolo zemetrasenie.
递	podať	Podajte, prosím, tento list učiteľovi.
点心	občerstvenie; dezert	Popoludní sme si dali občerstvenie.
电池	batéria	Táto hračka potrebuje dve batérie.
电台	rozhlasová stanica	Pracuje v rozhlasovej stanici na programe.
钓	chytať ryby	Dedko rád chodí chytať ryby k rieke.
顶	vrchol; kus	Má na sebe čierny klobúk.
冻	zamrznúť	Vonku je taká zima, že voda zamrzla.
动画片	animovaný film	Deti pozerajú animovaný film.
洞	diera; jaskyňa	V stene je malá diera.
豆腐	tofu	Toto jedlo z tofu je chutné.
逗	rozosmiať; podpichovať	Jeho slová všetkých rozosmiali.
独立	nezávislý	Chce žiť nezávisle.
独特	jedinečný	Toto mesto má jedinečnú kultúru.
度过	stráviť	Dovolenku sme strávili pri mori.
断	pretrhnúť sa; zlomiť sa	Toto lano sa pretrhlo.
堆	hromada; nahromadiť	Na stole je nahromadených veľa dokumentov.
兑换	zameniť	Chcel by som zameniť niekoľko čínskych jüanov.
对比	porovnať; kontrast	Porovnajte, prosím, tieto dva plány.
对待	zaobchádzať s	Mali by sme s každým zaobchádzať spravodlivo.
对方	druhá strana	Najprv si, prosím, vypočujte názor druhej strany.
对手	súper	Jeho súper je veľmi silný.
对象	objekt; cieľ; partner	Predmetom výskumu sú vysokoškoláci.
吨	tona	Toto nákladné auto odvezie tri tony tovaru.
蹲	čupieť	Čupí na zemi a hľadá kľúče.
顿	jedlo; porcia	Spolu sme si dali večeru.
多亏	vďaka	Vďaka tvojej pomoci som dokončil úlohu.
多余	nadbytočný; zbytočný	Táto veta je zbytočná.
朵	počítadlo pre kvety	Na stole je položený jeden kvet.
躲藏	skrývať sa	Mačiatko sa skrýva pod posteľou.
恶劣	nepriaznivý; zlý	Dnes je veľmi zlé počasie.
耳环	náušnica	Má na sebe pár náušníc.
发表	vyjadriť; publikovať	Na schôdzi vyjadril svoj názor.
发愁	trápiť sa	Netráp sa pre takú maličkosť.
发达	rozvinutý	Doprava v tomto meste je veľmi rozvinutá.
发抖	triasť sa	Od zimy sa stále trasie.
发挥	uplatniť; využiť	Použite, prosím, svoju predstavivosť.
发明	vynález; vynájsť	Elektrické svetlo je dôležitý vynález.
发票	faktúra	Vystavte mi, prosím, faktúru.
发言	vystúpiť; prehovoriť	Na stretnutí vystúpil.
罚款	pokuta	Za nesprávne parkovanie je pokuta.
法院	súd	Tento prípad odovzdali súdu.
翻	otočiť	Otočte, prosím, knihu na desiatu stranu.
繁荣	prosperovať	Ekonomika postupne prosperuje.
反而	naopak; namiesto toho	Nehneval sa, naopak sa zasmial.
反复	opakovane	Túto vetu treba opakovane precvičovať.
反应	reakcia	Jeho reakcia je rýchla.
反映	odrážať; zachytiť	Táto správa odráža skutočnú situáciu.
反正	aj tak; v každom prípade	Aj tak mám zajtra čas.
范围	rozsah	Neprekračujte, prosím, tento rozsah.
方	štvorec; štvorcový	Nakreslite, prosím, na papier štvorec.
方案	plán; návrh	Tento plán je pomerne rozumný.
方式	spôsob	Tento spôsob učenia je veľmi účinný.
妨碍	prekážať	Neprekážajte, prosím, ostatným v práci.
仿佛	akoby; zdať sa	Zdá sa, akoby vedel všetko.
非	bez; ne-	Táto vec sa bez teba nedá urobiť.
肥皂	mydlo	Pri umývaní rúk treba použiť mydlo.
废话	nezmysly	Menej nezmyslov, rýchlo začnime.
分别	rozlúčiť sa; odlíšiť	Rozlúčili sa na stanici.
分布	rozmiestniť; rozložený	Tieto obchody sú rozmiestnené po celom meste.
分配	prideliť	Učiteľ pridelil novú úlohu.
分手	rozísť sa	Minulý rok sa rozišli.
分析	analyzovať	Musíme analyzovať dôvody.
纷纷	postupne; jeden za druhým	Všetci postupne vyjadrili súhlas.
奋斗	usilovať sa; bojovať	Mladí ľudia by sa mali usilovať o svoje sny.
疯狂	šialený	Fanúšikovia divoko jasali.
风格	štýl	Štýl tejto reštaurácie je veľmi osobitý.
风景	scenéria; krajina	Scenéria na hore je krásna.
风俗	zvyk; obyčaj	Každé miesto má svoje zvyky.
风险	riziko	Investovanie nesie určité riziko.
讽刺	satirizovať; irónia	Tento článok satirizoval spoločenské problémy.
否定	poprieť	Poprel toto tvrdenie.
否认	poprieť	Poprel, že urobil chybu.
幅	počítadlo pre obrazy; šírka	Na stene visí obraz.
扶	podoprieť; pomôcť	Pomôžte, prosím, starším prejsť cez cestu.
服装	oblečenie	Tento obchod predáva detské oblečenie.
辅导	doučovať	Učiteľ po vyučovaní doučuje študentov.
复制	skopírovať	Skopírujte, prosím, tento dokument.
妇女	ženy	Táto nemocnica poskytuje služby ženám.
改革	reforma; reformovať	Škola uskutočňuje reformu výučby.
改进	zlepšiť	Musíme zlepšiť kvalitu služieb.
改善	zlepšiť	Pohyb môže zlepšiť spánok.
改正	opraviť	Opravte, prosím, chyby včas.
概括	zhrnúť	Zhrňte, prosím, obsah článku.
概念	pojem	Tento pojem nie je veľmi ľahké pochopiť.
盖	prikryť; vrchnák	Prikryte, prosím, pohár poriadne.
干脆	jednoducho; radšej	Radšej dnes nechoď.
干燥	suchý	Zimy na severe sú veľmi suché.
感激	byť vďačný	Som veľmi vďačný za tvoju pomoc.
感受	pocit; vnímať	Viem pochopiť tvoje pocity.
感想	dojmy; myšlienky	Porozprávajte, prosím, o svojich dojmoch.
赶紧	ponáhľať sa	Je už neskoro, ponáhľaj sa a poď.
赶快	rýchlo	Rýchlo zavri dvere.
干活儿	pracovať manuálne	Pracuje na dvore.
钢铁	oceľ	Tento most je z ocele.
高档	luxusný; vyššej triedy	Toto je luxusný hotel.
高级	pokročilý	Zapísala sa do pokročilého kurzu čínštiny.
搞	robiť; organizovať	Akú akciu organizuješ?
告别	rozlúčiť sa	Na letisku sme sa rozlúčili s priateľom.
格外	mimoriadne; obzvlášť	Dnes je obloha obzvlášť modrá.
隔壁	vedľa; sused	Vedľa býva učiteľ.
个别	jednotlivý; niektorí	Niektorí študenti ešte neodovzdali úlohu.
个人	osobný; jednotlivec	Toto je môj osobný názor.
个性	osobnosť; individualita	Má výraznú osobnosť.
各自	každý zvlášť	Každý dokončí svoju úlohu.
根	kus pre dlhé tenké predmety; koreň	Pod stolom je jeden kábel.
根本	vôbec; základný	Tento problém vôbec nie je ťažký.
公布	zverejniť	Škola zverejnila výsledky skúšok.
公开	verejný; zverejniť	Toto stretnutie je verejné.
公平	spravodlivý	Súťaž by mala byť spravodlivá.
公寓	byt	Prenajala si malý byt.
公元	náš letopočet	Tento rok je rok 2026 nášho letopočtu.
公主	princezná	Dievčatko má rado príbehy o princeznách.
功能	funkcia	Tento softvér má veľa funkcií.
工厂	továreň	Táto továreň vyrába autá.
工程师	inžinier	Môj starší brat je inžinier.
工具	nástroj	Na opravu bicykla sú potrebné nástroje.
工人	robotník	Robotníci opravujú cestu.
工业	priemysel	Toto mesto je založené najmä na priemysle.
恭喜	gratulovať; blahoželanie	Blahoželám, že si zložil skúšku.
贡献	príspevok; prispieť	Prispel firme.
沟通	komunikácia	Dobrá komunikácia je veľmi dôležitá.
构成	tvoriť; skladať sa	Tieto časti tvoria jeden celok.
姑姑	teta z otcovej strany	Cez víkend idem navštíviť tetu z otcovej strany.
姑娘	dievča; mladá žena	Tá mladá žena je veľmi ochotná.
古代	starovek	V staroveku neboli mobilné telefóny.
古典	klasický	Mám rád klasickú hudbu.
股票	akcia	Kúpil si niekoľko akcií.
骨头	kosť	Táto kosť je veľmi tvrdá.
鼓舞	povzbudiť	Táto správa je veľmi povzbudivá.
鼓掌	tlieskať	Publikum tlieskalo hercom.
固定	pevný; stály	Mám pevný pracovný čas.
挂号	registrovať sa u lekára	Pred návštevou lekára sa treba najprv zaregistrovať.
乖	poslušný	Toto dieťa je veľmi poslušné.
拐弯	odbočiť	Na križovatke vpredu odboč doprava.
怪不得	niet divu	Niet divu, že si taký unavený.
关闭	vypnúť; zatvoriť	Pred odchodom, prosím, vypnite počítač.
官	úradník	Je mladý úradník.
观察	pozorovať	Lekár pozoruje stav pacienta.
观点	názor	Súhlasím s tvojím názorom.
观念	predstava; pojem	Názory mladých ľudí sa menia.
管子	rúra; hadica	Táto rúra tečie.
冠军	šampión; víťaz	Vyhrala súťaž.
光滑	hladký	Povrch tohto stola je veľmi hladký.
光临	navštíviť; poctiť návštevou	Tešíme sa na vašu ďalšiu návštevu.
光明	jasný	Budúcnosť je jasná.
光盘	disk; CD	Uložte, prosím, materiály na disk.
广场	námestie	Na námestí je veľa ľudí.
广大	široký; početný	Táto správa sa stretla s obľubou u mnohých študentov.
广泛	široký; rozsiahly	Táto kniha má široký vplyv.
归纳	zhrnúť	Učiteľ nám pomohol zhrnúť hlavné body.
规矩	pravidlá	Deti by mali rozumieť pravidlám.
规律	pravidelnosť	Život by mal mať pravidelný rytmus.
规模	rozsah	Táto firma má veľký rozsah.
规则	pravidlo	Pravidlá súťaže sú veľmi jasné.
柜台	pult	Zaplaťte, prosím, pri pulte.
滚	vrieť	Voda už vrie.
锅	hrniec	V hrnci je horúca polievka.
国庆节	štátny sviatok	Na štátny sviatok máme voľno.
国王	kráľ	Kráľ býva v paláci.
果然	ako sa očakávalo	Ako sa očakávalo, prišiel načas.
果实	plod	Strom je plný plodov.
过分	prehnaný	Jeho požiadavka je trochu prehnaná.
过敏	byť alergický	Som alergický na peľ.
过期	expirovať	Táto fľaša mlieka už expirovala.
哈	ha	Ha, konečne som to pochopil.
海关	colnica	Na colnici sme stáli v rade na kontrolu.
海鲜	morské plody	Morské plody v tejto reštaurácii sú veľmi čerstvé.
喊	kričať	Nekričte nahlas v triede.
行业	odvetvie	Odvetvie cestovného ruchu sa rýchlo rozvíja.
豪华	luxusný	Bývajú v luxusnom hoteli.
好客	pohostinný	Miestni ľudia sú veľmi pohostinní.
好奇	zvedavý	Deti sú veľmi zvedavé na svet.
何必	načo; prečo by bolo treba	Načo sa hnevať pre maličkosť?
何况	nehovoriac o	Teraz je zima, nehovoriac o tom, že ešte aj prší.
合法	legálny	Táto zmluva je legálna.
合理	rozumný; primeraný	Táto cena je rozumná.
合同	zmluva	Podpísali zmluvu.
合影	spoločná fotografia	Pri promócii sme si urobili spoločnú fotografiu.
合作	spolupracovať	Projekt sme dokončili spoluprácou.
和平	mier	Každý si želá mier.
核心	jadro	Dôvera je jadrom spolupráce.
恨	ľutovať; nenávidieť	Ľutuje, že nezačal usilovne pracovať skôr.
猴子	opica	V zoo je niekoľko opíc.
后背	chrbát	Trochu ho bolí chrbát.
后果	následok	Musíš zvážiť následky.
呼吸	dýchať	Zhlboka sa, prosím, nadýchnite.
忽然	zrazu	Obloha zrazu potemnela.
忽视	ignorovať	Neignoruj tento problém.
壶	kanvica	Na stole je kanvica čaju.
糊涂	zmätený	Dnes som trochu zmätený.
胡说	rozprávať nezmysly	Nerozprávaj nezmysly, to nie je pravda.
胡同	hutong; ulička	V Pekingu je veľa starých hutongov.
蝴蝶	motýľ	V záhrade je motýľ.
花生	arašid	Rád jedáva arašidy.
华裔	človek čínskeho pôvodu	Je spisovateľka čínskeho pôvodu.
滑	šmykľavý	Podlaha je šmykľavá, dávaj pozor.
划	veslovať	Pri plavbe loďou má na starosti veslovanie.
化学	chémia	Na univerzite študovala chémiu.
话题	téma	Táto téma je veľmi zaujímavá.
怀念	spomínať; chýbať	Veľmi mi chýba vysokoškolský život.
怀孕	byť tehotná	Je tri mesiace tehotná.
缓解	zmierniť	Odpočinok môže zmierniť stres.
幻想	fantazírovať	Často fantazíruje o ceste do vesmíru.
慌张	panikáriť	Keď narazíš na problém, nepanikár.
黄金	zlato	Cena zlata opäť stúpla.
恢复	zotaviť sa	Jeho telo sa zotavuje.
挥	zamávať	Zamával rukou.
灰	sivý	Obloha je sivá.
灰尘	prach	Na stole je veľa prachu.
灰心	stratiť odvahu	Nestrácaj odvahu, ani keď zlyháš.
汇率	výmenný kurz	Aký je dnešný výmenný kurz?
婚礼	svadba	Ich svadba bola veľmi jednoduchá.
婚姻	manželstvo	Manželstvo si vyžaduje vzájomné porozumenie.
活跃	aktívny	Na hodine je veľmi aktívny.
伙伴	partner; spoločník	Je môj najlepší partner.
火柴	zápalka	V škatuľke zostala iba jedna zápalka.
或许	možno	Možno zajtra bude pršať.
基本	základný	Toto sú základné požiadavky.
机器	stroj	Tento stroj je pokazený.
激烈	intenzívny	Súťaž bola veľmi intenzívna.
肌肉	sval	Po cvičení ma trochu bolia svaly.
及格	prejsť skúškou	Túto skúšku spravil.
急忙	náhlivo	Náhlivo vybehol z triedy.
急诊	pohotovosť	Pacienta odviezli na pohotovosť.
极其	mimoriadne	Tento problém je mimoriadne dôležitý.
集合	zhromaždiť sa	Zhromaždite sa, prosím, o ôsmej pri vchode.
集体	kolektívny	Toto je kolektívna aktivita.
集中	sústrediť sa	Na hodine sa treba sústrediť.
寂寞	osamelý	Keď človek býva sám, niekedy sa cíti osamelý.
系领带	uviazať si kravatu	Každý deň pred prácou si viaže kravatu.
纪录	rekord	Prekonal školský rekord.
纪律	disciplína	Disciplína v triede je veľmi dôležitá.
纪念	pripomenúť si	Odfotili sme sa, aby sme si pripomenuli tento deň.
计算	vypočítať	Vypočítajte, prosím, celkové náklady.
记录	zaznamenať	Zaznamenajte, prosím, obsah stretnutia.
记忆	spomienka	Táto spomienka je veľmi vzácna.
嘉宾	hosť	Dnešným hosťom je spisovateľ.
夹子	spona; klip	Prichyťte, prosím, dokumenty klipom.
家庭	rodina	Rodina je pre deti veľmi dôležitá.
家务	domáce práce	Cez víkend musím robiť domáce práce.
家乡	rodné mesto	Veľmi mi chýba rodné mesto.
假如	ak	Ak bude zajtra pršať, nepôjdeme.
假设	predpokladať; hypotéza	Predpokladajme, že si učiteľ; čo by si urobil?
假装	predstierať	Predstieral, že nepočul.
甲	strana A; prvý	Strana A musí zaplatiť načas.
价值	hodnota	Táto kniha má veľkú hodnotu.
嫁	vydať sa	Na budúci rok sa vydá za svojho priateľa.
驾驶	riadiť	Pri šoférovaní riad opatrne.
兼职	brigáda; práca na čiastočný úväzok	Večer pracuje na čiastočný úväzok.
坚决	rozhodný	Pevne nesúhlasí s týmto rozhodnutím.
坚强	silný	Je silná osoba.
肩膀	plece	Má zranené plece.
艰巨	náročný	Je to náročná úloha.
艰苦	ťažký	Prešli si ťažkým životom.
剪刀	nožnice	Podajte mi, prosím, nožnice.
捡	zdvihnúť	Zdvihol zo zeme peňaženku.
简历	životopis	Pred uchádzaním sa o prácu si treba pripraviť životopis.
简直	jednoducho	Táto správa je jednoducho šokujúca.
健身	cvičiť	Chodí cvičiť trikrát týždenne.
建立	vytvoriť; založiť	Vytvorili sme nový vzťah.
建设	výstavba	Mestská výstavba sa rýchlo rozvíja.
建筑	budova	Táto budova má osobitý charakter.
键盘	klávesnica	Moju klávesnicu treba vyčistiť.
讲究	dbať na; venovať pozornosť	Číňania venujú jedlu veľkú pozornosť.
讲座	prednáška	Dnes večer je prednáška o čínštine.
酱油	sójová omáčka	Pridaj do jedla trochu sójovej omáčky.
交换	vymeniť si	Vymenili sme si telefónne čísla.
交际	komunikácia	Pri učení sa jazyka treba cvičiť aj komunikáciu.
交往	chodiť spolu; stýkať sa	Chodili spolu dva roky.
浇	polievať	Polievajte, prosím, kvety každý deň.
胶水	lepidlo	Fotku som prilepil lepidlom.
狡猾	prefíkaný	Tá líška je veľmi prefíkaná.
角度	uhol; pohľad	Pozrime sa na problém z iného uhla.
教材	učebnica; učebný materiál	Táto učebnica je veľmi praktická.
教练	tréner	Tréner vyžaduje, aby sme prišli načas.
教训	ponaučenie	Tento neúspech je ponaučením.
接触	kontakt; prísť do kontaktu	Prvýkrát som prišiel do kontaktu s čínskou kultúrou.
接待	prijať; pohostiť	Firma zariadila osobu, ktorá prijme hostí.
接近	blížiť sa	Sviatok jari sa čoraz viac blíži.
结实	pevný; odolný	Tento kufor je veľmi pevný.
阶段	etapa	Štúdium je rozdelené do troch etáp.
结构	štruktúra	Tento článok má jasnú štruktúru.
结合	spojiť; kombinovať	Štúdium by sa malo spájať s praxou.
结论	záver	Jeho záver je veľmi presvedčivý.
结账	zaplatiť účet	Po jedle sme išli zaplatiť účet.
