source_headword	DA	example_DA
blame	bebrejde	Bebrejd ikke chaufføren.
blind	blind	Han blev blind som ung.
bond	et bånd	Tillid skaber et stærkt bånd.
breast	et bryst	Hun mærkede smerte i brystet.
brief	kort	Hold svaret kort.
broad	bred	Floden er bred her.
broadcast	sende	Talen blev sendt direkte.
budget	et budget	Budgettet er meget stramt.
bullet	en kugle	Kuglen ramte væggen.
bunch	et bundt	Hun bar et bundt nøgler.
bush	en busk	Fuglen gemte sig i busken.
cable	et kabel	Kablet er beskadiget.
calculate	beregne	Beregn den samlede pris.
cancel	aflyse	De aflyste mødet.
cancer	kræft	Kræftbehandling kan være vanskelig.
capable	dygtig	Hun er dygtig nok.
capacity	en kapacitet	Salen nåede sin kapacitet.
capture	fange	Billedet fangede stemningen.
cast	en rolleliste	Rollelisten er klar.
cell	en celle	Hver celle indeholder data.
chairman	en formand	Formanden åbnede mødet.
characteristic	et kendetegn	Tålmodighed er et vigtigt kendetegn.
chief	hoved-	Hovedårsagen var sikkerhed.
circumstance	en omstændighed	Hver omstændighed tæller.
cite	citere	Studenten citerede tre kilder.
citizen	en borger	Hver borger kan stemme.
civil	civil	Sagen handlede om civile rettigheder.
classic	klassisk	Det er et klassisk eksempel.
closely	tæt	De arbejdede tæt sammen.
collapse	kollapse	Det gamle tag kollapsede.
combination	en kombination	Denne kombination virker godt.
comfort	komfort	Stolen giver lidt komfort.
command	en ordre	Soldaterne fulgte ordren.
commission	en kommission	Kommissionen undersøgte klagen.
commitment	et engagement	Hendes engagement forblev stærkt.
committee	en komité	Komitéen stemmer i morgen.
commonly	almindeligvis	Dette ord bruges almindeligvis.
complicated	kompliceret	Reglerne er komplicerede.
component	en komponent	Hver komponent blev testet.
concentration	koncentration	Fuld koncentration er nødvendig.
concept	et koncept	Konceptet er enkelt.
concern	en bekymring	Der er bekymring for sikkerheden.
concerned	bekymret	Vi er bekymrede over omkostningerne.
conduct	gennemføre	De gennemfører lokal forskning.
confidence	tillid	Hendes tillid voksede hurtigt.
conflict	en konflikt	Konflikten varede i flere år.
confusing	forvirrende	Forklaringen var forvirrende.
conscious	bevidst	Han var bevidst efter faldet.
conservative	konservativ	Forslaget var ret konservativt.
consideration	hensyn	Tag hensyn til dette.
consistent	konsekvent	Hendes arbejde er konsekvent godt.
constant	konstant	Der var konstant støj.
constantly	konstant	Telefonen ringede konstant.
construct	bygge	De byggede en ny bro.
construction	byggeri	Byggeriet starter i juni.
contemporary	samtids-	Museet viser samtidskunst.
contest	en konkurrence	Hun vandt konkurrencen.
contract	en kontrakt	Kontrakten slutter fredag.
contribute	bidrage	Alle kan bidrage til fonden.
contribution	et bidrag	Hans bidrag var vigtigt.
convert	omdanne	De omdannede bygningen til lejligheder.
convinced	overbevist	Jeg er overbevist om, at hun har ret.
core	en kerne	Tillid er problemets kerne.
corporate	virksomheds-	Virksomheden ændrede sin virksomhedsstrategi.
council	et råd	Rådet godkendte planen.
county	et amt	Amtet fik nye grænser.
courage	mod	Hun viste stort mod.
crash	et sammenstød	Sammenstødet blokerede vejen.
creation	skabelse	Skabelse af jobs tager tid.
creature	et væsen	Væsenet bevægede sig langsomt.
crew	en besætning	Besætningen forblev rolig.
crisis	en krise	Krisen varede i måneder.
criterion	et kriterium	Pris er ikke det eneste kriterium.
critic	en kritiker	Kritikeren roste filmen.
critical	kritisk	Situationen er kritisk.
criticism	kritik	Han tog kritikken roligt.
criticize	kritisere	Kritiser hende ikke for hurtigt.
crop	en afgrøde	Afgrøden havde brug for mere regn.
crucial	afgørende	Tid er afgørende her.
cure	en kur	Der findes ingen kur endnu.
curve	en kurve	Vejen har en skarp kurve.
curved	buet	Broen har en buet form.
debate	en debat	Debatten begyndte sent.
debt	en gæld	Han betalte sin gæld tilbage.
decent	anstændig	Hun fandt et anstændigt hotel.
declare	erklære	Regeringen erklærede undtagelsestilstand.
decline	en nedgang	Nedgangen var uventet.
decoration	en dekoration	Dekorationen hang over døren.
decrease	falde	Omkostningerne faldt langsomt.
deeply	dybt	Han følte sig dybt såret.
defeat	et nederlag	Nederlaget var svært at acceptere.
defence	et forsvar	Forsvaret var godt forberedt.
defend	forsvare	Hun forsvarede sin beslutning.
delay	en forsinkelse	Forsinkelsen varede en time.
deliberate	bevidst	Det var et bevidst valg.
deliberately	med vilje	Han ignorerede advarslen med vilje.
delight	glæde	Nyheden gav stor glæde.
delighted	glad	Hun var glad for resultatet.
delivery	en levering	Leveringen kommer i morgen.
demand	en efterspørgsel	Efterspørgslen efter værelser steg.
demonstrate	vise	Tallene viser problemet.
deny	nægte	Han nægtede anklagen.
depressed	deprimeret	Hun følte sig deprimeret.
depressing	deprimerende	Nyheden var deprimerende.
depth	en dybde	Mål vandets dybde.
deserve	fortjene	De fortjener et ærligt svar.
desire	et ønske	Hans ønske om frihed bestod.
desperate	desperat	Hun gjorde et desperat forsøg.
detailed	detaljeret	Vi fik en detaljeret rapport.
detect	opdage	Testen kan opdage fejl.
dig	grave	De gravede et dybt hul.
disc	en skive	Den gamle skive virkede ikke.
discipline	disciplin	Disciplin hjælper ved træning.
dishonest	uærlig	Svaret lød uærligt.
dismiss	afvise	Dommeren afviste klagen.
display	vise	Skærmen viser resultaterne.
distribute	uddele	De uddelte mad i landsbyen.
distribution	en fordeling	Fordelingen var ikke retfærdig.
district	et distrikt	Distriktet fik en ny skole.
division	en afdeling	Hun arbejder i økonomiafdelingen.
domestic	indenlandsk	Indenrigsfly er billigere.
dominate	dominere	Et hold dominerede kampen.
downwards	nedad	Pilen peger nedad.
dozen	et dusin	Han købte et dusin æg.
draft	et udkast	Det første udkast er klart.
drag	trække	Træk stolen mod væggen.
dramatic	dramatisk	Ændringen var dramatisk.
edit	redigere	Rediger teksten omhyggeligt.
edition	en udgave	Denne udgave indeholder nye kort.
efficient	effektiv	Systemet er effektivt.
elderly	ældre	Den ældre mand fik hjælp.
elect	vælge	De valgte en ny leder.
elsewhere	andetsteds	Vi må lede andetsteds.
emerge	dukke op	Nye fakta dukkede op.
emotional	følelsesmæssig	Samtalen blev følelsesmæssig.
emphasis	en vægt	Vægten ligger på sikkerhed.
emphasize	understrege	Understreg det vigtigste punkt.
enable	muliggøre	Appen muliggør hurtig læring.
encounter	støde på	De stødte på et problem.
engage	engagere	Læreren engagerede klassen.
enhance	forbedre	Denne funktion forbedrer oplevelsen.
enquiry	en undersøgelse	Undersøgelsen starter i morgen.
ensure	sikre	Tjek dette for at sikre tryghed.
enthusiasm	entusiasme	Hendes entusiasme smittede.
enthusiastic	entusiastisk	Gruppen var entusiastisk.
entire	hel	Hele holdet kom.
entirely	helt	Jeg er helt enig.
establish	etablere	De etablerede et nyt firma.
estate	en ejendom	Ejendommen ligger uden for byen.
estimate	et skøn	Skønnet var for lavt.
ethical	etisk	Valget var etisk vanskeligt.
evaluate	evaluere	Vi må evaluere resultaterne.
evil	ondskab	Fortællingen handler om ondskab.
examination	en undersøgelse	Undersøgelsen tog to timer.
excuse	en undskyldning	Undskyldningen lød svag.
executive	en leder	Lederen trak sig.
existence	en eksistens	Brevets eksistens blev bekræftet.
expectation	en forventning	Forventningen var for høj.
expense	en udgift	Denne udgift var ikke planlagt.
exploration	en udforskning	Udforskningen startede tidligt.
expose	udsætte	Udsæt ikke børn for røg.
extend	forlænge	De forlængede fristen.
extent	et omfang	Skadens omfang er ukendt.
external	ekstern	Et eksternt team kontrollerer dette.
extraordinary	ekstraordinær	Det var en ekstraordinær præstation.
facility	et anlæg	Anlægget åbner næste uge.
failure	en fiasko	Hans fiasko var smertefuld.
faith	tro	Hun mistede troen på systemet.
fault	en fejl	Det var ikke din fejl.
feather	en fjer	En fjer lå på bordet.
fee	et gebyr	Gebyret er inkluderet.
feedback	feedback	Feedbacken var nyttig.
fellow	en kollega	Min kollega hjalp mig.
finance	finans	Hun studerer finans.
finding	et fund	Fundet overraskede teamet.
firm	et firma	Firmaet vokser hurtigt.
flame	en flamme	Flammen blev større.
flash	et lyn	Et lyn oplyste rummet.
flexible	fleksibel	Planen er fleksibel.
float	flyde	Træ kan flyde på vand.
folding	sammenklappelig	Hun købte en sammenklappelig stol.
forgive	tilgive	Jeg kan tilgive ham.
former	tidligere	Den tidligere direktør talte kort.
fortune	en formue	Han mistede sin formue.
found	grundlægge	De grundlagde klubben i 1998.
freedom	frihed	Frihed er vigtig for alle.
frequency	en frekvens	Frekvensen steg.
fully	fuldt	Jeg forstår det fuldt.
fund	en fond	Fonden støtter forskning.
fundamental	grundlæggende	Dette er en grundlæggende rettighed.
funding	finansiering	Finansieringen blev godkendt.
furthermore	desuden	Desuden er planen billigere.
gain	vinde	De vandt mere støtte.
gang	en bande	Banden blev anholdt.
generate	generere	Programmet genererer en rapport.
genre	en genre	Jeg kan lide denne genre.
govern	styre	Love styrer, hvordan landet fungerer.
grab	gribe fat i	Grib fat i tasken hurtigt.
gradually	gradvist	Smerten forsvandt gradvist.
grand	storslået	Hotellet havde en storslået indgang.
grant	et tilskud	Skolen fik et tilskud.
guarantee	en garanti	Garantien gælder i to år.
handle	håndtere	Hun kan håndtere pres godt.
harm	skade	Rygning forårsager skade.
harmful	skadelig	Dette stof er skadeligt.
hearing	hørelse	Hans hørelse blev svagere.
heaven	himlen	Himlen var klar.
heel	en hæl	Min hæl gør ondt.
hell	helvede	Rejsen føltes som helvede.
hesitate	tøve	Tøv ikke med at ringe.
hollow	hul	Træet var hult indeni.
holy	hellig	Templet er et helligt sted.
honour	en ære	Det var en stor ære.
household	en husstand	Hver husstand fik et brev.
housing	boliger	Boliger er dyre her.
humorous	humoristisk	Hans historie var humoristisk.
humour	humor	Hendes humor beroligede alle.
hunting	jagt	Jagt er forbudt her.
illustrate	illustrere	Diagrammet illustrerer forskellen.
illustration	en illustration	Illustrationen er på side to.
imagination	fantasi	Brug din fantasi.
impatient	utålmodig	Han blev utålmodig i køen.
imply	antyde	Antyder du, at jeg tager fejl?
impose	indføre	Regeringen indførte nye regler.
impress	imponere	Hendes mod imponerede alle.
impressed	imponeret	Jeg var imponeret over arbejdet.
inch	en tomme	Skærmen er fem tommer bred.
incident	en hændelse	Hændelsen blev undersøgt.
income	en indkomst	Hendes indkomst steg i år.
increasingly	stadig mere	Det bliver stadig mere tydeligt.
industrial	industriel	Byen har et industriområde.
infection	en infektion	Infektionen spredte sig hurtigt.
inform	informere	Informer os om ændringer.
initial	oprindelig	De oprindelige omkostninger var høje.
initially	oprindeligt	Oprindeligt forstod ingen det.
initiative	et initiativ	Hun tog initiativet.
inner	indre	Hans indre styrke bestod.
insight	en indsigt	Forskningen gav ny indsigt.
insist	insistere	Hun insisterede på et svar.
inspire	inspirere	Hendes historie inspirerede klassen.
install	installere	Installer appen i dag.
instance	et eksempel	Dette er et tydeligt eksempel.
