source_headword	KM	example_KM
textbook	សៀវភៅសិក្សា	នាងបានភ្លេចសៀវភៅសិក្សាជីវវិទ្យារបស់នាង។
theft	អំពើចោរកម្ម	អំពើចោរកម្មបានកើនឡើងនៅក្នុងតំបន់នេះ។
therapist	អ្នកព្យាបាល	អ្នកព្យាបាលបានជួយគាត់ឱ្យគ្រប់គ្រងការថប់បារម្ភ។
thesis	និក្ខេបបទ	និក្ខេបបទរបស់នាងពិនិត្យមើលការរៀនតាមអ៊ីនធឺណិត។
thorough	លម្អិត	ការពិនិត្យមើលយ៉ាងលម្អិតមិនបានរកឃើញកំហុសទេ។
thoroughly	យ៉ាងហ្មត់ចត់	សម្អាតមុខរបួសយ៉ាងហ្មត់ចត់។
thumb	មេដៃ	គាត់បានលើកមេដៃរបស់គាត់ដើម្បីបង្ហាញពីការយល់ព្រម។
timing	ពេលវេលា	ពេលវេលានៃការហៅគឺល្អឥតខ្ចោះ។
tissue	ក្រដាសជូតមាត់	នាងបានជូតកែវជាមួយក្រដាសជូតមាត់។
ton	តោន	ឡានដឹកទំនិញបានដឹកខ្សាច់មួយតោន។
tonne	តោន	ទំនិញមានទម្ងន់មួយតោន។
tournament	ការប្រកួត	ការប្រកួតកីឡាវាយកូនបាល់ចាប់ផ្តើមនៅថ្ងៃស្អែក។
trace	តាមដាន	អ្នកវិទ្យាសាស្ត្រអាចតាមដានប្រភពនៃវីរុស។
trading	ការជួញដូរ	ការជួញដូរភាគហ៊ុនបានឈប់នៅពេលថ្ងៃត្រង់។
tragedy	សោកនាដកម្ម	គ្រោះថ្នាក់នេះគឺជាសោកនាដកម្មដ៏គួរឱ្យរន្ធត់មួយ។
tragic	គួរឱ្យសោកសៅ	ការធ្លាក់នេះមានផលវិបាកគួរឱ្យសោកសៅ។
trait	លក្ខណៈ	ភាពអត់ធ្មត់គឺជាលក្ខណៈដ៏មានប្រយោជន៍មួយ។
transmit	ចម្លង	មូសអាចចម្លងជំងឺបាន។
transportation	ការដឹកជញ្ជូន	ការដឹកជញ្ជូនសាធារណៈគឺមានភាពកកកុញនៅថ្ងៃនេះ។
trap	អន្ទាក់	ប្រអប់នេះអាចចាប់សត្វល្អិតដោយសុវត្ថិភាព។
treasure	កំណប់	ហឹបចាស់នោះមានផ្ទុកកំណប់។
tribe	កុលសម្ព័ន្ធ	កុលសម្ព័ន្ធនោះបានការពារប្រពៃណីរបស់ខ្លួន។
trigger	បង្ក	ផ្សែងអាចបង្កឱ្យមានសំឡេងរោទិ៍។
trillion	ទ្រីលាន	បំណុលបានឈានដល់មួយទ្រីលានដុល្លារ។
troop	កងទ័ព	កងទ័ពបានធ្វើដំណើរឆ្ពោះទៅកាន់ព្រំដែន។
tsunami	រលកយក្សស៊ូណាមិ	រលកយក្សស៊ូណាមិបានបំផ្លាញផ្ទះនៅតាមមាត់សមុទ្រ។
ultimate	ចុងក្រោយ	គោលដៅចុងក្រោយគឺសន្តិភាព។
unacceptable	មិនអាចទទួលយកបាន	ការពន្យារពេលគឺមិនអាចទទួលយកបានទេសម្រាប់អ្នកដំណើរ។
uncertainty	ភាពមិនប្រាកដប្រជា	ភាពមិនប្រាកដប្រជាធ្វើឱ្យអ្នកវិនិយោគមានការភ័យព្រួយ។
undergo	ឆ្លងកាត់	អ្នកជំងឺនឹងឆ្លងកាត់ការវះកាត់នៅថ្ងៃស្អែក។
undertake	អនុវត្ត	ក្រុមនេះនឹងអនុវត្តការស្ទង់មតិមួយ។
unfold	លាតត្រដាង	រឿងភាគបានចាប់ផ្តើមលាតត្រដាងយ៉ាងយឺតៗ។
unfortunate	អកុសល	កំហុសនេះគឺជាអកុសលប៉ុន្តែអាចកែប្រែបាន។
unite	បង្រួបបង្រួម	មេដឹកនាំព្យាយាមបង្រួបបង្រួមគណបក្ស។
unity	សាមគ្គីភាព	សុន្ទរកថានោះបានអំពាវនាវឱ្យមានសាមគ្គីភាពជាតិ។
universal	សកល	កម្មវិធីនេះប្រើការរចនាសកល។
urgent	បន្ទាន់	មន្ទីរពេទ្យទទួលបានការហៅបន្ទាន់មួយ។
usage	ការប្រើប្រាស់	សៀវភៅណែនាំពន្យល់ពីការប្រើប្រាស់ត្រឹមត្រូវ។
useless	គ្មានប្រយោជន៍	ឆ្នាំងសាកដែលខូចគឺគ្មានប្រយោជន៍ទេ។
valid	មានសុពលភាព	លិខិតឆ្លងដែនរបស់អ្នកនៅមានសុពលភាពនៅឡើយ។
variation	ការប្រែប្រួល	មានការប្រែប្រួលយ៉ាងទូលំទូលាយនៃតម្លៃ។
vertical	បញ្ឈរ	តារាងនេះមានអ័ក្សបញ្ឈរ។
viewpoint	ទស្សនៈ	ទស្សនៈរបស់នាងបានផ្លាស់ប្តូរបន្ទាប់ពីការពិភាក្សា។
visa	ទិដ្ឋាការ	គាត់បានដាក់ពាក្យសុំទិដ្ឋាការសិស្ស។
visible	ដែលអាចមើលឃើញ	ស្លាកសញ្ញាអាចមើលឃើញពីទីនេះ។
voluntary	ដោយស្ម័គ្រចិត្ត	វគ្គសិក្សានេះរួមបញ្ចូលទាំងសិក្ខាសាលាដោយស្ម័គ្រចិត្ត។
voting	ការបោះឆ្នោត	ការបោះឆ្នោតមុនពេលចាប់ផ្តើមនៅសប្តាហ៍ក្រោយ។
wander	ដើរលេង	ភ្ញៀវទេសចរដើរលេងពេញទីផ្សារចាស់។
warming	ការឡើងកំដៅ	ការឡើងកំដៅផែនដីប៉ះពាល់ដល់កម្រិតទឹកសមុទ្រ។
weekly	ប្រចាំសប្តាហ៍	ក្រុមនេះប្រជុំប្រចាំសប្តាហ៍។
weird	ចម្លែក	សំឡេងនោះស្តាប់ទៅចម្លែក។
welfare	សុខុមាលភាព	កម្មវិធីនេះគាំទ្រដល់សុខុមាលភាពកុមារ។
wheat	ស្រូវសាលី	កសិករដាំស្រូវសាលី។
whoever	នរណាម្នាក់	នរណាម្នាក់ដែលមកដល់មុនគួរតែរង់ចាំនៅខាងក្រៅ។
widespread	រីករាលដាល	ព្យុះនេះបានបង្កការខូចខាតយ៉ាងរីករាលដាល។
wisdom	ប្រាជ្ញា	ជីដូនរបស់នាងបានចែករំលែកប្រាជ្ញាជាក់ស្តែង។
withdraw	ដកខ្លួន	គាត់បានសម្រេចចិត្តដកពាក្យសុំរបស់គាត់។
workforce	កម្លាំងពលកម្ម	កម្លាំងពលកម្មត្រូវការជំនាញថ្មី។
workplace	កន្លែងធ្វើការ	កន្លែងធ្វើការមានច្បាប់សុវត្ថិភាពច្បាស់លាស់។
workshop	សិក្ខាសាលា	សិក្ខាសាលាចាប់ផ្តើមនៅម៉ោងដប់។
worm	ដង្កូវ	ដង្កូវមួយបានលូនកាត់ដី។
wrist	កដៃ	នាងបានធ្វើឱ្យឈឺកដៃរបស់នាង។
