source_headword	KA	example_KA
uncomfortable	მოუხერხებელი	ეს სკამი მოუხერხებელია.
underwear	საცვლები	ჩაალაგე სუფთა საცვლები მოგზაურობისთვის.
unemployed	უმუშევარი	ის ორი თვის განმავლობაში უმუშევარი იყო.
unemployment	უმუშევრობა	ზამთრის განმავლობაში უმუშევრობა გაიზარდა.
unfair	უსამართლო	გადაწყვეტილება უსამართლო ჩანდა.
union	პროფკავშირი	პროფკავშირმა მოითხოვა უფრო უსაფრთხო სამუშაო გარემო.
unless	თუ არ	არ წახვიდე, სანამ არ დაგირეკავ.
unlike	განსხვავებით	ტომისგან განსხვავებით, ანას უყვარს ზამთარი.
unlikely	ნაკლებად სავარაუდო	ამ კვირაში თოვლი ნაკლებად სავარაუდოა.
unnecessary	არასაჭირო	დამატებითი ჩანთები არასაჭიროა.
unpleasant	უსიამოვნო	ოთახში უსიამოვნო სუნი იდგა.
update	განახლება	ტელეფონი უნდა განვაახლო.
upon	-ზე	იყო და არა იყო რა, იყო ერთი მეფე.
upset	აფორიაქებული	ზარის შემდეგ ის თავს აფორიაქებულად გრძნობდა.
used1	გამოყენებული	ეს ოთახი შეხვედრებისთვის გამოიყენება.
used2	მიჩვეული	მიჩვეული ვარ ადრე ადგომას.
valuable	ძვირფასი	ეს საათი ძვირფასია.
value	ღირებულება	სახლმა გასულ წელს ღირებულება დაკარგა.
various	სხვადასხვა	ჩვენ სხვადასხვა ადგილობრივი კერძი გავსინჯეთ.
version	ვერსია	ეს ვერსია უკეთესად მუშაობს.
victim	მსხვერპლი	მსხვერპლმა პოლიციას დაურეკა.
viewer	მაყურებელი	ერთმა მაყურებელმა კითხვა დასვა.
violent	სასტიკი	ფილმი ძალიან სასტიკი იყო.
volunteer	მოხალისე	მე მოხალისედ ვმუშაობ ბიბლიოთეკაში.
vote	ხმის მიცემა	არ დაგავიწყდეთ ხვალ ხმის მიცემა.
warn	გაფრთხილება	ვცადე მისი გაფრთხილება.
warning	გაფრთხილება	გაფრთხილება ეკრანზე გამოჩნდა.
waste	ფლანგვა	არ გაფლანგოთ სუფთა წყალი.
weapon	იარაღი	დანა იარაღად იქცა.
weigh	აწონვა	ფრთხილად აწონეთ ფქვილი.
western	დასავლური	მათ დასავლურ ფილმს უყურეს.
whatever	რაც არ უნდა	აირჩიე, რაც გინდა.
whenever	ნებისმიერ დროს	დამირეკეთ ნებისმიერ დროს, როცა დახმარება დაგჭირდებათ.
whether	თუ არა	არ ვიცი, ეთანხმება თუ არა.
wing	ფრთა	ჩიტმა ერთი ფრთა იტკინა.
within	განმავლობაში	გთხოვთ, უპასუხოთ ორი დღის განმავლობაში.
wonder	დაინტერესება	მაინტერესებს რა მოხდა.
wool	შალი	ეს პალტო შალისგან არის დამზადებული.
worldwide	მსოფლიო მასშტაბით	სიმღერა მთელი მსოფლიოს მასშტაბით პოპულარული გახდა.
worth	ღირს	ამ წიგნის წაკითხვა ღირს.
written	წერილობითი	გთხოვთ, გამოაგზავნოთ წერილობითი ინსტრუქციები.
yard	ეზო	ბავშვები ეზოში თამაშობდნენ.
youth	ახალგაზრდობა	ახალგაზრდული კლუბები მხარს უჭერენ ადგილობრივ მოზარდებს.
