source_headword	RO	example_RO
plot	un fir narativ	Firul narativ a fost ușor de urmărit.
plus1	plus	Doi plus trei fac cinci.
poem	o poezie	Ea a scris o poezie scurtă.
poet	un poet	Poetul a citit cu voce tare.
poetry	poezie	El apreciază poezia modernă.
poison	otravă	Ține otrava departe de copii.
poisonous	otrăvitor	Unii bureți sunt otrăvitori.
policy	o politică	Compania și-a schimbat politica.
political	politic	Discursul a fost politic.
politician	un politician	Politicianul a răspuns la întrebări.
politics	politică	Politica poate fi complicată.
port	un port	Nava a intrat în port.
portrait	un portret	Portretul atârnă în hol.
possibly	posibil	Ea va sosi posibil târziu.
pot	un ghiveci	Planta are nevoie de un ghiveci mai mare.
pour	a turna	Toarnă laptele încet.
poverty	sărăcie	Multe familii trăiesc în sărăcie.
powder	o pudră	Adaugă pudra în apă.
powerful	puternic	Motorul este puternic.
practical	practic	Aceasta este o soluție practică.
pray	a se ruga	Ei se roagă în fiecare dimineață.
prayer	o rugăciune	Ea a spus o rugăciune în liniște.
prediction	o predicție	Predicția lui a fost corectă.
prepared	pregătit	Sunt pregătit pentru examen.
presentation	o prezentare	Prezentarea ei a fost clară.
press	a apăsa	Apasă butonul o dată.
pressure	presiune	Presiunea îți poate afecta sănătatea.
pretend	a se preface	Nu te preface că dormi.
previous	anterior	Lecția anterioară a fost mai ușoară.
previously	anterior	Am locuit anterior la Roma.
priest	un preot	Preotul a vorbit încet.
primary	principal	Sănătatea este preocuparea noastră principală.
prince	un prinț	Prințul a vizitat școala.
princess	o prințesă	Prințesa a purtat o rochie albastră.
printing	tipărire	Tipărirea raportului a durat câteva minute.
prisoner	un prizonier	Prizonierul a evadat noaptea.
private	privat	Aceasta este o conversație privată.
producer	un producător	Producătorul a apreciat filmul.
production	producție	Producția începe săptămâna viitoare.
profession	o profesie	Predarea este o profesie respectată.
profit	un profit	Magazinul a obținut un profit.
promote	a promova	Ei promovează alimentația sănătoasă.
proper	potrivit	Poartă încălțăminte potrivită pentru drumeție.
properly	corect	Închide ușa corect.
property	o proprietate	Ei au cumpărat o proprietate lângă râu.
protest	un protest	Protestul s-a încheiat pașnic.
proud	mândru	Ea s-a simțit mândră de fiul ei.
prove	a dovedi	Poți dovedi răspunsul tău?
punish	a pedepsi	Profesorul nu l-a pedepsit.
punishment	o pedeapsă	Pedeapsa a părut corectă.
qualification	o calificare	Ai nevoie de o calificare pentru acest job.
qualified	calificat	Ea este o asistentă calificată.
qualify	a se califica	Echipa noastră se poate califica.
queue	o coadă	Am așteptat la o coadă lungă.
quit	a renunța	El a decis să renunțe la fumat.
quotation	un citat	Eseul începe cu un citat.
quote	a cita	Pot cita cuvintele tale?
race (people)	o rasă	Formularul întreabă despre rasă.
racing	curse	Cursele de cai sunt populare acolo.
range	o gamă	Magazinul vinde o gamă largă.
rare	rar	Această pasăre este rară.
rarely	rar	Mâncăm rar în oraș.
reaction	o reacție	Reacția ei m-a surprins.
reality	realitate	Realitatea era diferită de visul lui.
receipt	o chitanță	Păstrează chitanța.
recommendation	o recomandare	Îți mulțumesc pentru recomandare.
reference	o referință	Adaugă o referință la final.
reflect	a reflecta	Oglinda poate reflecta lumina.
regularly	regulat	Ea face exerciții regulat.
reject	a respinge	Ei pot respinge oferta.
relate	a se regăsi	Mă pot regăsi în acea poveste.
related	legat	Cele două probleme sunt legate.
relation	o relație	Există o relație între ele.
relative	relativ	Viteza este relativă.
relaxed	relaxat	El s-a simțit relaxat după cină.
relaxing	relaxant	Muzica era relaxantă.
release	a lansa	Ei vor lansa filmul curând.
reliable	de încredere	Acest autobuz este de obicei de încredere.
religion	religie	Religia este importantă pentru ea.
religious	religios	Ei au vizitat o clădire religioasă.
remain	a rămâne	Te rog să rămâi calm.
remind	a aminti	Amintește-mi mâine.
remote	îndepărtat	Ei locuiesc într-un sat îndepărtat.
rent	chirie	Chiria trebuie plătită astăzi.
repeated	repetat	Greșelile repetate au încetinit munca.
represent	a reprezenta	Steaua reprezintă speranța.
require	a necesita	Acest job va necesita instruire.
reservation	o rezervare	Am făcut o rezervare.
resource	o resursă	Biblioteca este o resursă utilă.
respect	a respecta	Respectă-ți colegii.
responsibility	o responsabilitate	Îngrijirea copiilor este o responsabilitate mare.
responsible	responsabil	Ea este responsabilă de bilete.
retire	a se pensiona	Tatăl meu se va pensiona curând.
retired	pensionar	El este un profesor pensionar.
revise	a revizui	Revizuiește eseul în seara aceasta.
risk	un risc	Există un risc de ploaie.
robot	un robot	Robotul a curățat podeaua.
roll	a rostogoli	Rostogolește mingea spre mine.
romantic	romantic	Au avut o cină romantică.
rope	o frânghie	Leagă frânghia strâns.
rough	denivelat	Drumul era denivelat.
row1	un rând	Stai în primul rând.
royal	regal	Familia regală a sosit.
rugby	rugby	Am urmărit rugby la televizor.
safety	siguranță	Siguranța este importantă la serviciu.
sailor	un marinar	Marinarul a reparat barca.
sample	o probă	Asistenta a luat o probă de sânge.
sand	nisip	Nisipul mi-a acoperit pantofii.
scan	a scana	Scanează documentul mai întâi.
scientific	științific	Aceasta este o metodă științifică.
script	un scenariu	Actorul a citit scenariul.
sculpture	o sculptură	Sculptura se află afară.
secondary	secundar	Aceasta este o problemă secundară.
security	securitate	Securitatea ne-a verificat gențile.
seed	o sămânță	Plantează sămânța în sol.
sensible	rațional	Aceasta este o idee rațională.
seriously	serios	Ia această problemă în serios.
servant	un servitor	Servitorul a deschis ușa.
set (put)	a pune	Pune paharul pe masă.
set (group)	un set	Acest set include șase cești.
setting	un cadru	Povestea are un cadru urban.
sex	sex	Formularul cere vârsta și sexul.
sexual	sexual	Lecția a discutat sănătatea sexuală.
sharp	ascuțit	Acest cuțit este ascuțit.
shelf	un raft	Pune cartea pe raft.
shell	o cochilie	Cochilia era goală.
shift	o tură	Tura mea începe la opt.
shine	a străluci	Stelele strălucesc noaptea.
shiny	lucios	Pantofii ei sunt lucioși.
shoot	a fotografia	Fotograful va fotografia scena.
shy	timid	El este timid cu străinii.
sight	o priveliște	Muntele era o priveliște frumoasă.
signal	un semnal	Semnalul era slab.
silent	tăcut	Camera a devenit tăcută.
silly	prostesc	A fost o greșeală prostească.
similarity	o asemănare	Există o asemănare clară.
similarly	în mod similar	Al doilea plan funcționează în mod similar.
simply	pur și simplu	Pur și simplu apasă acest buton.
sink	a se scufunda	Pietrele grele se scufundă repede.
slice	o felie	Am mâncat o felie de tort.
slightly	puțin	Camera este puțin mai caldă.
smart	elegant	Ea purta o jachetă elegantă.
smooth	neted	Drumul este neted.
software	software	Software-ul are nevoie de o actualizare.
soil	sol	Solul este uscat.
solid	solid	Zidul este solid.
southern	sudic	Ei locuiesc pe coasta sudică.
specifically	în mod specific	Am cerut în mod specific ceai.
spending	cheltuieli	Cheltuielile guvernamentale au crescut.
spicy	picant	Acest curry este picant.
spirit	spirit	Echipa a arătat mult spirit.
spoken	vorbit	Engleza vorbită se îmbunătățește prin practică.
spot	un loc	Acest loc este perfect.
spread	a întinde	Întinde unt pe pâine.
stadium	un stadion	Stadionul era plin.
staff	personal	Personalul a fost amabil.
standard	un standard	Standardul era ridicat.
statistic	o statistică	Această statistică este surprinzătoare.
statue	o statuie	Statuia se află în piață.
stick (push into/attach)	a lipi	Lipește eticheta pe cutie.
stick (piece of wood)	un băț	El a ridicat un băț.
