source_headword	TA	example_TA
rich	பணக்கார	இந்த நகரம் பணக்காரமானது.
ride	சவாரி செய்	நான் மிதிவண்டி சவாரி செய்கிறேன்.
right	சரி; வலது	இங்கே வலதுபுறம் திரும்பு.
river	நதி	நதி அகலமாக உள்ளது.
road	சாலை	இந்த சாலை நீளமானது.
room	அறை	என் அறை சுத்தமாக உள்ளது.
routine	வழக்கம்	என் காலை வழக்கம் எளிது.
rule	விதி	விதியைப் படி.
run	ஓடு	அவன் பூங்காவில் ஓடுகிறான்.
sad	சோகம்	குழந்தை சோகமாக உள்ளது.
salad	சாலட்	நான் சாலட் சாப்பிடுகிறேன்.
salt	உப்பு	சூப்பில் உப்பு போடு.
same	அதே	நாங்கள் அதே வகுப்பில் உள்ளோம்.
sandwich	சாண்ட்விச்	நான் சாண்ட்விச் சாப்பிடுகிறேன்.
Saturday	சனிக்கிழமை	நாங்கள் சனிக்கிழமை சந்திப்போம்.
say	சொல்	தயவுசெய்து பெயரை சொல்.
school	பள்ளி	பள்ளி எட்டு மணிக்கு தொடங்குகிறது.
science	அறிவியல்	நான் அறிவியல் படிக்கிறேன்.
scientist	விஞ்ஞானி	விஞ்ஞானி ஒரு சோதனை செய்கிறார்.
sea	கடல்	கடல் நீலமாக உள்ளது.
second1 (unit of time)	விநாடி	ஒரு விநாடி காத்திரு.
section	பிரிவு	இந்த பிரிவைப் படி.
see	பார்; காண்	நான் மலையை காண்கிறேன்.
sell	விற்க	அவள் பழம் விற்கிறாள்.
send	அனுப்பு	நான் செய்தி அனுப்புகிறேன்.
sentence	வாக்கியம்	இந்த வாக்கியம் குறுகியது.
September	செப்டம்பர் மாதம்	வகுப்பு செப்டம்பரில் தொடங்குகிறது.
seven	ஏழு	என்னிடம் ஏழு பேனாக்கள் உள்ளன.
seventeen	பதினேழு	அவன் பதினேழு வயது.
seventy	எழுபது	என் பாட்டி எழுபது வயது.
share	பகிர்	உணவை பகிர்ந்து கொள்.
she	அவள்	அவள் என் சகோதரி.
sheep	செம்மறியாடு	செம்மறியாடு பண்ணையில் உள்ளது.
shirt	சட்டை	இந்த சட்டை வெள்ளை.
shoe	காலணி	என் காலணி புதியது.
shop	கடை	கடை இப்போது திறந்துள்ளது.
shopping	வாங்குதல்	நாங்கள் இன்று வாங்கச் செல்கிறோம்.
short	குறுகிய	இந்த கதை குறுகியது.
should modal	வேண்டும்	நீ இப்போது போக வேண்டும்.
show	காட்டு	தயவுசெய்து சீட்டைக் காட்டு.
shower	குளியல் குழாய்	குளியல் குழாய் சூடாக உள்ளது.
sick	உடம்பு சரியில்லை	நான் இன்று உடம்பு சரியில்லை.
similar	ஒத்த	இந்த இரண்டு படங்கள் ஒத்தவை.
sing	பாடு	அவள் நன்றாகப் பாடுகிறாள்.
singer	பாடகர்; பாடகி	பாடகர் மேடையில் உள்ளார்.
sister	சகோதரி	என் சகோதரி பள்ளியில் இருக்கிறார்.
sit	உட்கார்	தயவுசெய்து இங்கே உட்கார்.
situation	நிலைமை	நிலைமை நல்லது.
six	ஆறு	ஆறு மாணவர்கள் வந்தனர்.
sixteen	பதினாறு	அவன் பதினாறு வயது.
sixty	அறுபது	இங்கே அறுபது பேர் உள்ளனர்.
skill	திறன்	இந்த திறன் பயனுள்ளது.
skirt	பாவாடை	அவள் பாவாடை நீலம்.
sleep	தூங்கு	குழந்தை இரவில் தூங்குகிறது.
slow	மெதுவான	பேருந்து மெதுவாக உள்ளது.
small	சிறிய	இந்த பை சிறியது.
snake	பாம்பு	பாம்பு புல்லில் உள்ளது.
snow	பனி	இன்று பனி விழுகிறது.
so	அதனால்; மிகவும்	நான் சோர்வாக உள்ளேன் அதனால் உட்கார்கிறேன்.
some	சில; கொஞ்சம்	எனக்கு கொஞ்சம் தண்ணீர் கொடு.
somebody	யாரோ ஒருவர்	யாரோ ஒருவர் கதவின் அருகில் உள்ளார்.
someone	யாரோ ஒருவர்	யாரோ ஒருவர் எனக்கு அழைக்கிறார்.
something	ஏதாவது	எனக்கு ஏதாவது வேண்டும்.
sometimes	சில நேரங்களில்	நான் சில நேரங்களில் பேருந்து எடுக்கிறேன்.
son	மகன்	அவள் மகன் சிறியவன்.
song	பாடல்	இந்த பாடல் அழகானது.
soon	விரைவில்	நாங்கள் விரைவில் தொடங்குகிறோம்.
sorry	மன்னிக்கவும்	மன்னிக்கவும் நான் தாமதமாக வந்தேன்.
sound	ஒலி	ஒலி சத்தமாக உள்ளது.
soup	சூப்	சூப் சூடாக உள்ளது.
south	தெற்கு	பூங்கா தெற்கில் உள்ளது.
space	இடம்; விண்வெளி	இந்த அறையில் இடம் உள்ளது.
speak	பேசு	தயவுசெய்து மெதுவாக பேசு.
special	சிறப்பு	இன்று சிறப்பு நாள்.
spell	எழுத்தாகச் சொல்	உன் பெயரை எழுத்தாகச் சொல்.
spelling	எழுத்து	எழுத்து சரியாக உள்ளது.
spend	செலவு செய்	நான் ஐந்து பவுண்ட் செலவு செய்கிறேன்.
sport	விளையாட்டு	எனக்கு விளையாட்டு பிடிக்கும்.
spring	வசந்த காலம்	வசந்தத்தில் மலர்கள் மலர்கின்றன.
stand	நில்	தயவுசெய்து இங்கே நில்.
star	நட்சத்திரம்	வானில் ஒரு நட்சத்திரம் உள்ளது.
start	தொடங்கு	வகுப்பு இப்போது தொடங்குகிறது.
statement	அறிக்கை; கூற்று	இந்த கூற்று குறுகியது.
station	நிலையம்	நிலையம் அருகில் உள்ளது.
stay	தங்கு	இன்று இரவு இங்கே தங்கு.
still	இன்னும்	அவள் இன்னும் வீட்டில் இருக்கிறாள்.
stop	நிறுத்து; நிற்க	பேருந்து இங்கே நிற்கிறது.
story	கதை	கதை சுவாரஸ்யமானது.
street	தெரு	தெரு பிஸியாக உள்ளது.
strong	வலுவான	அவன் வலுவானவன்.
student	மாணவர்	மாணவர் புத்தகம் படிக்கிறார்.
study	படிப்பு; படி	நான் இரவில் படிக்கிறேன்.
style	பாணி	எனக்கு இந்த பாணி பிடிக்கும்.
subject	பாடம்	எனக்கு பிடித்த பாடம் அறிவியல்.
success	வெற்றி	வெற்றி முக்கியமானது.
sugar	சர்க்கரை	தேநீரில் சர்க்கரை போடு.
summer	கோடை	கோடையில் நாட்கள் நீளமானவை.
sun	சூரியன்	சூரியன் பிரகாசிக்கிறது.
Sunday	ஞாயிற்றுக்கிழமை	நாங்கள் ஞாயிற்றுக்கிழமை ஓய்வெடுக்கிறோம்.
supermarket	பல்பொருள் அங்காடி	பல்பொருள் அங்காடி பெரியது.
sure	நிச்சயம்	எனக்கு நிச்சயம்.
sweater	ஸ்வெட்டர்	இந்த ஸ்வெட்டர் சூடாக உள்ளது.
swim	நீந்து	நான் குளத்தில் நீந்துகிறேன்.
swimming	நீச்சல்	நீச்சல் நல்ல பயிற்சி.
table	மேசை	சாவிகள் மேசையில் உள்ளன.
