source_headword	ZH	example_ZH
boss	老板；上司	我的老板很友好。
bottom	底部；下面	在底部签名。
bowl	碗	这个碗满了。
brain	大脑	你的大脑需要休息。
bridge	桥	这座桥很旧。
bright	明亮的；聪明的	房间很明亮。
brilliant	出色的；聪明的	这个主意很出色。
broken	坏的；破的	椅子坏了。
brush	刷子；刷	现在刷牙。
burn	燃烧；烧	不要把面包烤焦。
businessman	商人；男商人	商人很早到了。
button	按钮；纽扣	按红色按钮。
camp	营地；露营	我们在湖边露营。
camping	露营	夏天露营很有趣。
can2	罐；罐头	小心打开这个罐头。
care	照顾；关心	照顾好你的健康。
careful	小心的；仔细的	在楼梯上要小心。
carefully	小心地；仔细地	仔细读这个问题。
carpet	地毯	地毯很软。
cartoon	动画片	这部动画片很有趣。
case	情况；盒子	把它放进盒子里。
cash	现金	我用现金付款。
castle	城堡	城堡很古老。
catch	抓住；接住	现在接住球。
cause	原因；导致	雨会造成问题。
celebrate	庆祝	我们庆祝我的生日。
celebrity	名人	这位名人很友好。
certain	确定的；某个	我对此很确定。
certainly	当然；肯定	我肯定会帮你。
chance	机会	你有一次机会。
character	角色；性格	这个角色很勇敢。
charity	慈善机构；慈善	慈善机构帮助儿童。
chat	聊天；闲谈	我们下课后聊天。
chef	厨师	厨师做了汤。
chemistry	化学	化学对我来说很难。
chip	薯片；芯片	这片薯片很咸。
choice	选择	这个选择很重要。
church	教堂	教堂在附近。
cigarette	香烟	香烟对健康不好。
circle	圆圈；圈出	在这里画一个圆圈。
classical	古典的	我喜欢古典音乐。
clear	清楚的；清理	答案很清楚。
clearly	清楚地	请说清楚。
clever	聪明的	她是一个聪明的孩子。
climate	气候	气候正在变化。
close2	近的；接近	我的学校离家很近。
closed	关闭的	商店关门了。
clothing	衣服；服装	暖和的衣服很有用。
cloud	云	云挡住了太阳。
coach	教练；长途汽车	教练帮助了球队。
coast	海岸	我们沿着海岸旅行。
code	代码；密码	在这里输入代码。
colleague	同事	我的同事给我打电话。
collect	收集；采集	我收集旧卡片。
column	列；专栏	读第一列。
comedy	喜剧	这部喜剧很有趣。
comfortable	舒服的	这把椅子很舒服。
comment	评论；评论说	在下面留下评论。
communicate	交流；沟通	我们通过电子邮件交流。
community	社区；群体	我们的社区很友好。
compete	竞争；参加比赛	他们每年参加比赛。
competition	比赛；竞争	比赛明天开始。
complain	抱怨；投诉	不要再抱怨了。
completely	完全地	我完全同意你。
condition	状态；条件	这辆车状况很好。
conference	会议	会议九点开始。
connect	连接	把手机连接到电脑。
connected	连接的；相关的	这两个想法有关联。
consider	考虑	请考虑我的想法。
contain	包含；装有	这个箱子里有书。
context	上下文；背景	上下文有助于理解。
continent	大陆；洲	这个大陆很大。
continue	继续	请继续读。
control	控制	小心控制速度。
cooker	炉灶；炊具	炉灶很干净。
copy	副本；复制	给我做一份副本。
corner	角落	坐在角落里。
correctly	正确地	正确写出答案。
count	数；计算	数一数这些书。
couple	一对；夫妻	这对夫妻很早到了。
cover	盖住；封面	把碗盖上。
crazy	疯狂的	这个想法听起来很疯狂。
creative	有创造力的	她有一个有创造力的想法。
credit	信用；贷款	我用信用卡付款。
crime	犯罪；罪行	犯罪是一个严重问题。
criminal	罪犯；犯罪的	罪犯很快离开了。
cross	穿过；十字	小心穿过街道。
crowd	人群	人群在外面等。
crowded	拥挤的	火车很拥挤。
cry	哭；喊叫	现在不要哭。
cupboard	橱柜；柜子	杯子在橱柜里。
curly	卷曲的	她有卷发。
cycle	骑自行车；循环	我骑自行车去学校。
daily	每日的；每天	我每天读新闻。
danger	危险	标志表示危险。
data	数据	这些数据很有用。
dead	死的	植物死了。
deal	交易；协议	这是一个好交易。
death	死亡	死亡是一个困难的话题。
decision	决定	今天做一个决定。
deep	深的	水很深。
definitely	肯定地；一定	我肯定想喝茶。
degree	学位；度	我的学位是历史。
dentist	牙医	牙医检查了我的牙齿。
department	部门；科	鞋子部门在楼上。
depend	依靠；取决于	这取决于天气。
desert	沙漠	沙漠很干。
designer	设计师	设计师设计了这条裙子。
destroy	破坏；毁掉	不要毁掉这个文件。
detective	侦探	侦探找到了钥匙。
develop	发展；开发	他们开发一个新应用。
device	设备	这个设备很有用。
diary	日记	她写日记。
differently	不同地	我们用不同的方式做。
digital	数字的；数码的	这是一台数码相机。
direct	直接的；指挥	坐直达火车。
direction	方向	朝这个方向走。
director	导演；主任	导演喜欢这部电影。
disagree	不同意	我不同意这个想法。
disappear	消失	太阳很快会消失。
disaster	灾难	这场暴风雨是一场灾难。
discover	发现	他们发现一座新岛。
discovery	发现	这个发现改变了科学。
discussion	讨论	讨论很早结束了。
disease	疾病	这种疾病很严重。
distance	距离	距离很短。
divorced	离婚的	她的父母离婚了。
document	文件；记录	现在保存这个文件。
double	双的；双人间	我需要一个双人间。
download	下载	今天下载这个应用。
drama	戏剧	戏剧今晚开始。
drawing	图画；绘画	她的画很漂亮。
dream	梦；梦想	我做了一个奇怪的梦。
driving	驾驶	夜间驾驶很难。
drop	掉下；滴	不要让杯子掉下去。
drug	药；毒品	这种药帮助了他。
dry	干的；弄干	毛巾是干的。
earn	赚得	我工作赚钱。
earth	地球；土地	地球是圆的。
easily	容易地	她学得很容易。
education	教育	教育很重要。
effect	效果；影响	效果很清楚。
either	两者之一；也不	两个答案中有一个合适。
electric	电的	这辆车是电动的。
electrical	电气的	电气系统很安全。
electricity	电；电力	这里电费很贵。
electronic	电子的	这张电子票可以用。
employ	雇用	他们雇用五个人。
employee	雇员；员工	员工工作很努力。
employer	雇主	我的雇主很公平。
empty	空的；清空	房间是空的。
ending	结尾；结束	结尾很意外。
energy	能量；精力	我今天没有精力。
engine	发动机	发动机很响。
engineer	工程师	工程师修好了桥。
enormous	巨大的	这座建筑很巨大。
enter	进入；输入	安静地进入房间。
environment	环境	保护环境。
equipment	设备；装备	这个设备很贵。
error	错误	我发现一个错误。
especially	尤其；特别	我尤其喜欢这首歌。
essay	文章；作文	今晚写一篇作文。
everyday	日常的	这是日常英语。
everywhere	到处；各处	花到处生长。
evidence	证据	证据很清楚。
exact	准确的；精确的	说出准确的数字。
exactly	正好；确切地	这正好正确。
excellent	优秀的	你的工作很优秀。
except	除了	除了我，大家都来了。
exist	存在	这个地址存在吗？
expect	期待；预计	我预计明天会下雨。
experience	经验；经历	我有照顾孩子的经验。
experiment	实验	实验进行得很好。
expert	专家	向专家求助。
explanation	解释	她的解释很清楚。
express	表达	请表达你的意见。
expression	表达；词语	这个表达很常见。
extreme	极端的	高温很极端。
extremely	极其；非常	天气极其寒冷。
factor	因素	费用是一个因素。
factory	工厂	工厂五点关门。
fail	失败；不及格	我没有考试不及格。
fair	公平的；公正的	价格很公平。
fan	风扇；粉丝	打开风扇。
farming	农业；农活	农业是辛苦的工作。
fashion	时尚	时尚每年都变化。
fear	害怕；恐惧	恐惧会阻止人。
feature	特点；功能	这部手机有一个有用功能。
feed	喂；饲料	现在喂猫。
female	女性的；雌性的	女运动员赢了。
fiction	小说；虚构作品	她晚上读小说。
field	田野；领域	田野是绿色的。
fight	打架；战斗	他们吵得太多。
figure	图；数字	看这张图。
finally	终于	我们终于到家了。
finger	手指	我的手指疼。
firstly	首先	首先，读这个问题。
fishing	钓鱼	这里钓鱼很受欢迎。
fit	合适；适合	这双鞋很合适。
fix	修理；固定	修理这把坏椅子。
flu	流感	我得了流感。
flying	飞行；会飞的	飞行很快。
focus	集中注意力；焦点	专注于这个任务。
following	下面的；接下来的	读下面的句子。
foreign	外国的	她会说一门外语。
forest	森林	森林很安静。
fork	叉子	用叉子。
formal	正式的	这封信很正式。
fortunately	幸运地	幸运的是，没有人受伤。
forward	向前	慢慢向前移动。
fresh	新鲜的	面包很新鲜。
