simplified	TH	example_TH
差	แย่; ขาด; แตกต่าง	วันนี้อากาศแย่มาก
超市	ซูเปอร์มาร์เก็ต	ฉันไปซูเปอร์มาร์เก็ตเพื่อซื้อขนมปัง
衬衫	เสื้อเชิ้ต; เสื้อเบลาส์	เสื้อเชิ้ตตัวนี้สะอาดมาก
城市	เมือง	ปักกิ่งเป็นเมืองใหญ่
成绩	ผลการเรียน; คะแนน; ผลงาน	คะแนนคณิตศาสตร์ของเขาดีมาก
迟到	มาสาย; สาย	อย่ามาสายเวลาเข้าเรียน
除了	นอกจาก; ยกเว้น	นอกจากกาแฟ ฉันยังเอาชาด้วย
船	เรือ	พวกเรานั่งเรือไปเมืองนั้น
春	ฤดูใบไม้ผลิ	ฤดูใบไม้ผลิมีดอกไม้มากมาย
词典	พจนานุกรม	พจนานุกรมเล่มนี้มีประโยชน์มาก
聪明	ฉลาด	เด็กคนนี้ฉลาดมาก
打扫	ทำความสะอาด; กวาด	สุดสัปดาห์ฉันทำความสะอาดห้อง
打算	วางแผน; ตั้งใจ; แผน	พรุ่งนี้คุณมีแผนอะไร
带	นำมา; พก; พาไป	กรุณานำหนังสือเดินทางมาด้วย
担心	กังวล; เป็นห่วง	อย่ากังวล ฉันจะช่วยคุณ
蛋糕	เค้ก	เค้กนี้หวานมาก
当然	แน่นอน; แน่อยู่แล้ว	แน่นอนได้
地	คำช่วยเชื่อมคำขยายหน้ากริยา	เขายิ้มอย่างดีใจ
灯	ไฟ; โคมไฟ	กรุณาเปิดไฟ
地方	ที่; สถานที่	ที่นี่เงียบมาก
地铁	รถไฟใต้ดิน	ฉันนั่งรถไฟใต้ดินไปทำงานทุกวัน
地图	แผนที่	ฉันหาโรงเรียนบนแผนที่
电梯	ลิฟต์	ลิฟต์อยู่ทางซ้าย
电子邮件	อีเมล	ฉันส่งอีเมลให้ครู
东	ทิศตะวันออก	ดวงอาทิตย์ขึ้นทางทิศตะวันออก
冬	ฤดูหนาว	ฤดูหนาวฉันชอบดื่มชาร้อน
动物	สัตว์	แพนด้าเป็นสัตว์ที่มีชื่อเสียงของจีน
短	สั้น	กางเกงตัวนี้สั้นเกินไป
段	ย่อหน้า; ตอน; ช่วง	กรุณาอ่านย่อหน้านี้
锻炼	ออกกำลังกาย; ฝึกฝน	ฉันออกกำลังกายทุกเช้า
多么	ช่าง; มากแค่ไหน	สภาพแวดล้อมที่นี่ดีจริงๆ
饿	หิว	ฉันหิวแล้ว อยากกินขนมปัง
耳朵	หู	หูของฉันเจ็บนิดหน่อย
发	ส่ง; ออก	ฉันส่งอีเมลตอนเย็น
发烧	เป็นไข้	เขาเป็นไข้ จึงไปโรงเรียนไม่ได้
发现	พบ; ค้นพบ	ฉันพบว่าวิธีนี้ดี
方便	สะดวก	การนั่งรถไฟใต้ดินสะดวกมาก
放	วาง; ปล่อย	กรุณาวางหนังสือไว้บนโต๊ะ
放心	วางใจ; สบายใจ	วางใจเถอะ ฉันจะไปถึงตรงเวลา
分	แบ่ง; แจกจ่าย	กรุณาแบ่งเค้กให้ทุกคน
复习	ทบทวน; การทบทวน	ก่อนสอบฉันต้องทบทวน
附近	แถวนี้; บริเวณใกล้เคียง	แถวนี้มีร้านอาหารหนึ่งร้าน
干净	สะอาด	ห้องนี้สะอาดมาก
感冒	เป็นหวัด; หวัด	ฉันเป็นหวัด อยากพักผ่อน
感兴趣	สนใจ	ฉันสนใจภาษาจีนมาก
刚才	เมื่อกี้; เมื่อครู่	เมื่อกี้ใครโทรหาคุณ
个子	ส่วนสูง; รูปร่าง	เขาตัวสูง
根据	ตาม; ตามหลักฐาน	ตามแผนที่ โรงเรียนอยู่ทางตะวันออก
跟	กับ; ตาม	ฉันไปสวนสาธารณะกับเพื่อน
更	ยิ่ง; มากขึ้น	วันนี้หนาวกว่าเมื่อวานอีก
公斤	กิโลกรัม	แอปเปิลพวกนี้หนักหนึ่งกิโลกรัม
公园	สวนสาธารณะ	เด็กๆ กำลังเล่นเกมในสวนสาธารณะ
故事	เรื่องเล่า; นิทาน	คุณปู่เล่านิทานให้ฉันฟัง
刮风	ลมพัด; มีลมแรง	วันนี้ลมแรง อย่าขี่จักรยาน
关	ปิด	กรุณาปิดประตู
关系	ความสัมพันธ์	ความสัมพันธ์ระหว่างฉันกับเพื่อนร่วมงานดีมาก
关心	ห่วงใย; ใส่ใจ	แม่เป็นห่วงสุขภาพของฉันมาก
关于	เกี่ยวกับ	หนังสือเล่มนี้เกี่ยวกับวัฒนธรรมจีน
国家	ประเทศ; รัฐ	จีนเป็นประเทศที่ใหญ่มาก
过	คำช่วยแสดงประสบการณ์	ฉันเคยไปปักกิ่ง
过去	อดีต; เมื่อก่อน	เมื่อก่อนที่นี่ไม่มีรถไฟใต้ดิน
还是	หรือ; ยัง	คุณจะดื่มชาหรือกาแฟ
害怕	กลัว	ฉันไม่กลัวการสอบ
黑板	กระดานดำ	ครูเขียนตัวอักษรบนกระดานดำ
后来	ต่อมา; ภายหลัง	ต่อมาพวกเราไปสวนสาธารณะ
护照	หนังสือเดินทาง	กรุณานำหนังสือเดินทางมาด้วย
96:花	ใช้เงิน; ใช้เวลา; เสียค่าใช้จ่าย	ซื้อโทรศัพท์มือถือใช้เงินสองพันหยวน
97:花	ดอกไม้	บนโต๊ะมีดอกไม้หนึ่งดอก
画	วาด; รูปภาพ	น้องสาวชอบวาดแพนด้า
坏	เสีย; แย่; พัง	คอมพิวเตอร์ของฉันเสียแล้ว
欢迎	ต้อนรับ; ยินดีต้อนรับ	ยินดีต้อนรับมาบ้านฉัน
环境	สภาพแวดล้อม	สภาพแวดล้อมของโรงเรียนนี้ดีมาก
还	คืน; กลับคืน	กรุณาคืนหนังสือให้ฉันพรุ่งนี้
换	เปลี่ยน; แลก	ฉันอยากเปลี่ยนเสื้อเชิ้ตตัวหนึ่ง
黄河	แม่น้ำหวงเหอ	แม่น้ำหวงเหอยาวมาก
回答	ตอบ; คำตอบ	กรุณาตอบคำถามของฉัน
会议	การประชุม	การประชุมเริ่มตอนเก้าโมง
或者	หรือ	คุณนั่งรถไฟใต้ดินหรือรถประจำทางก็ได้
几乎	เกือบ	เขาออกกำลังกายเกือบทุกวัน
机会	โอกาส	นี่เป็นโอกาสที่ดี
极	อย่างยิ่ง; มาก	เธอดีใจอย่างยิ่ง
季节	ฤดู; ฤดูกาล	ฤดูใบไม้ร่วงเป็นฤดูที่ฉันชอบที่สุด
记得	จำได้; จำ	คุณจำได้ไหมว่าต้องนำบัตรเครดิตมา
检查	ตรวจ; ตรวจสอบ	หมอตรวจร่างกายให้ฉัน
简单	ง่าย; ไม่ซับซ้อน	ประโยคนี้ง่ายมาก
健康	สุขภาพ; แข็งแรง	การออกกำลังกายดีต่อสุขภาพ
见面	พบกัน	พรุ่งนี้พวกเราพบกันที่โรงเรียน
讲	อธิบาย; พูด	ครูอธิบายชัดเจนมาก
教	สอน	เขาสอนฉันเขียนตัวอักษรจีน
脚	เท้า; ขา	เท้าของฉันเจ็บนิดหน่อย
角	มุม	ร้านค้าอยู่ตรงมุมถนน
接	ไปรับ; รับ; ต่อ	ฉันไปรับเพื่อนที่สนามบิน
街道	ถนน	ถนนเส้นนี้สะอาดมาก
结婚	แต่งงาน	พวกเขาจะแต่งงานปีหน้า
结束	จบ; สิ้นสุด	การแข่งขันจบแล้ว
节目	รายการ; การแสดง	รายการโทรทัศน์นี้น่าดูมาก
节日	เทศกาล; วันหยุด	ตรุษจีนเป็นเทศกาลสำคัญของจีน
解决	แก้ไข; แก้ปัญหา	ปัญหานี้แก้ไขแล้ว
借	ยืม; ให้ยืม	ฉันอยากยืมพจนานุกรมของคุณ
经常	บ่อยๆ	ฉันไปห้องสมุดบ่อยๆ
经过	ผ่าน; ผ่านไป; กระบวนการ	ฉันผ่านสวนสาธารณะนี้ทุกวัน
经理	ผู้จัดการ	ผู้จัดการกำลังประชุม
久	นาน	ฉันอยู่ที่นี่มานานแล้ว
旧	เก่า	เสื้อผ้าชิ้นนี้เก่ามาก
句子	ประโยค	กรุณาเขียนประโยคหนึ่งประโยค
决定	ตัดสินใจ; การตัดสินใจ	ฉันตัดสินใจเรียนภาษาจีน
可爱	น่ารัก	แมวตัวนี้น่ารักมาก
渴	กระหายน้ำ	ฉันกระหายน้ำ อยากดื่มน้ำ
刻	สิบห้านาที; ชั่วขณะ	ตอนนี้แปดโมงสิบห้านาที
客人	แขก; ลูกค้า	วันนี้มีแขกมาที่บ้าน
空调	เครื่องปรับอากาศ	กรุณาเปิดเครื่องปรับอากาศ
口	ปาก; คำลักษณนามสำหรับคนหรือสัตว์	เขาดื่มน้ำหนึ่งอึก
哭	ร้องไห้	เด็กทำไมร้องไห้
裤子	กางเกง	กางเกงตัวนี้เป็นของใหม่
筷子	ตะเกียบ	ฉันใช้ตะเกียบกินข้าวได้
蓝	สีน้ำเงิน; ฟ้า	ท้องฟ้าเป็นสีน้ำเงิน
老	แก่; เก่า	ครูของฉันไม่แก่
离开	ออกจาก; จากไป	พรุ่งนี้เขาจะออกจากปักกิ่ง
礼物	ของขวัญ	นี่คือของขวัญสำหรับคุณ
历史	ประวัติศาสตร์	ฉันชอบประวัติศาสตร์จีน
脸	ใบหน้า; หน้า	หน้าของเธอแดงมาก
练习	ฝึก; แบบฝึกหัด	กรุณาฝึกพูดภาษาจีนให้มากขึ้น
辆	คำลักษณนามสำหรับยานพาหนะ	หน้าประตูมีแท็กซี่หนึ่งคัน
聊天	คุยเล่น; สนทนา	ฉันคุยเล่นกับเพื่อน
了解	เข้าใจ; รู้จัก	ฉันอยากเข้าใจวัฒนธรรมจีน
邻居	เพื่อนบ้าน	เพื่อนบ้านของฉันเป็นคนอบอุ่นมาก
留学	เรียนต่อต่างประเทศ	เธอกำลังเรียนต่อต่างประเทศที่จีน
楼	ตึก; ชั้น	สำนักงานอยู่ชั้นสาม
绿	สีเขียว; เขียว	ฤดูใบไม้ผลิ ต้นไม้เขียวหมดแล้ว
马	ม้า	ม้าตัวนั้นวิ่งเร็วมาก
马上	ทันที; เดี๋ยวนี้	ฉันจะกลับมาทันที
满意	พอใจ	ฉันพอใจกับห้องนี้มาก
帽子	หมวก	หมวกใบนี้สวยมาก
米	เมตร; ข้าว	โต๊ะตัวนี้ยาวสองเมตร
面包	ขนมปัง	อาหารเช้าฉันกินขนมปัง
明白	เข้าใจ; ชัดเจน	ฉันเข้าใจความหมายของคุณ
拿	หยิบ; ถือ; เอา	กรุณาหยิบหนังสือหนึ่งเล่มให้ฉัน
奶奶	ย่า; คุณย่า	คุณย่าชอบฟังเพลง
南	ทิศใต้	โรงเรียนอยู่ทางใต้ของเมือง
难	ยาก	คำถามนี้ไม่ยาก
难过	เสียใจ; เศร้า	วันนี้เธอเศร้านิดหน่อย
年级	ชั้นปี; ระดับชั้น	น้องสาวของฉันอยู่ชั้นปีที่สาม
年轻	หนุ่มสาว; อายุน้อย	ผู้จัดการคนนี้อายุน้อยมาก
鸟	นก	บนต้นไม้มีนกหนึ่งตัว
努力	พยายาม; ขยัน	เขาเรียนอย่างขยันมาก
爬山	ปีนเขา; เดินเขา	สุดสัปดาห์พวกเราจะไปเดินเขา
盘子	จาน	บนโต๊ะมีจานสามใบ
胖	อ้วน; ท้วม	สุนัขตัวนี้อ้วนไปหน่อย
啤酒	เบียร์	พ่อไม่ดื่มเบียร์
皮鞋	รองเท้าหนัง	รองเท้าหนังคู่นี้แพงมาก
瓶子	ขวด	ในขวดมีน้ำ
其实	ที่จริง; จริงๆ แล้ว	ที่จริงฉันไม่ชอบเบียร์
其他	อื่น; คนอื่นๆ	เพื่อนร่วมชั้นคนอื่นๆ มากันหมดแล้ว
奇怪	แปลก	เสียงนี้แปลกมาก
骑	ขี่	เขาขี่จักรยานไปทำงานทุกวัน
起飞	ขึ้นบิน	เครื่องบินกำลังจะขึ้นบิน
起来	ลุกขึ้น; ขึ้นมา	กรุณาลุกขึ้น
清楚	ชัดเจน	คุณพูดชัดเจนมาก
请假	ขอลา	เขาเป็นหวัด จึงต้องขอลา
秋	ฤดูใบไม้ร่วง	อากาศในฤดูใบไม้ร่วงสบาย
裙子	กระโปรง	กระโปรงตัวนี้สวยมาก
然后	แล้ว; จากนั้น	ฉันกินข้าวก่อน แล้วค่อยทำการบ้าน
热情	อบอุ่น; กระตือรือร้น	เพื่อนชาวจีนอบอุ่นมาก
认为	คิดว่า; เห็นว่า	ฉันคิดว่าวิธีนี้ดี
认真	ตั้งใจ; จริงจัง	กรุณาฟังครูพูดอย่างตั้งใจ
容易	ง่าย	ตัวอักษรจีนตัวนี้เขียนง่าย
如果	ถ้า; หาก	ถ้าฝนตก พวกเราจะนั่งรถไฟใต้ดิน
伞	ร่ม	ฝนตกแล้ว กรุณานำร่มไปด้วย
上网	ใช้อินเทอร์เน็ต; ออนไลน์	ตอนเย็นฉันใช้อินเทอร์เน็ตหาแผนที่
声音	เสียง	เสียงของคุณไพเราะมาก
生气	โกรธ	อย่าโกรธ ฉันไม่ได้ตั้งใจ
世界	โลก	โลกกว้างใหญ่มาก
试	ลอง; ทดสอบ	ฉันอยากลองรองเท้าหนังคู่นี้
瘦	ผอม	เขาผอมกว่าเมื่อก่อน
叔叔	อา; ลุง	คุณอาขับรถไปส่งฉันที่โรงเรียน
舒服	สบาย	เก้าอี้ตัวนี้นั่งสบาย
数学	คณิตศาสตร์	คาบคณิตศาสตร์น่าสนใจ
树	ต้นไม้	หน้าบ้านมีต้นไม้หนึ่งต้น
刷牙	แปรงฟัน	ฉันแปรงฟันทุกเช้า
双	คู่; สอง	ฉันซื้อรองเท้าหนังหนึ่งคู่
水平	ระดับ; มาตรฐาน	ระดับภาษาจีนของเขาสูง
司机	คนขับรถ	คนขับรถกำลังรอพวกเราที่หน้าประตู
太阳	ดวงอาทิตย์	วันนี้แดดแรงมาก
特别	พิเศษ; โดยเฉพาะ	รายการนี้น่าสนใจเป็นพิเศษ
疼	เจ็บ; ปวด	ขาของฉันเจ็บมาก
提高	ยกระดับ; ทำให้ดีขึ้น	ฝึกมากขึ้นช่วยยกระดับภาษาจีนได้
体育	กีฬา; พลศึกษา	ฉันชอบคาบพลศึกษา
甜	หวาน	เครื่องดื่มนี้หวานเกินไป
条	คำลักษณนามสำหรับของยาวหรือแถบ	ฉันซื้อกระโปรงหนึ่งตัว
同事	เพื่อนร่วมงาน	เพื่อนร่วมงานของฉันยุ่งมาก
同意	เห็นด้วย; ตกลง	ฉันเห็นด้วยกับการตัดสินใจของคุณ
头发	ผม; เส้นผม	ผมของเธอยาวมาก
突然	ทันใดนั้น; กะทันหัน	เขาจากไปกะทันหัน
图书馆	ห้องสมุด	วันนี้ห้องสมุดไม่เปิด
腿	ขา	หลังจากเดินเขา ขาของฉันเจ็บมาก
完成	ทำเสร็จ; เสร็จสิ้น	ฉันทำการบ้านเสร็จแล้ว
碗	ชาม	บนโต๊ะมีชามสองใบ
万	หมื่น	เมืองนี้มีคนหนึ่งหมื่นคน
忘记	ลืม	อย่าลืมนำหนังสือเดินทางมาด้วย
为	เพื่อ; เพราะ	ฉันดีใจกับคุณ
为了	เพื่อ; เพื่อที่จะ	เพื่อการสอบ เขาทบทวนทุกวัน
位	คำลักษณนามสุภาพสำหรับคน	ครูท่านนี้มีชื่อเสียงมาก
文化	วัฒนธรรม	ฉันอยากเข้าใจวัฒนธรรมจีน
西	ทิศตะวันตก	ธนาคารอยู่ทางตะวันตกของโรงเรียน
习惯	นิสัย; เคยชิน	ฉันเคยชินกับการออกกำลังกายตอนเช้า
洗手间	ห้องน้ำ	ห้องน้ำอยู่ทางขวา
洗澡	อาบน้ำ	ฉันอาบน้ำตอนเย็น
夏	ฤดูร้อน	ฤดูร้อนร้อนมาก
先	ก่อน	คุณกินข้าวก่อนเถอะ
相信	เชื่อ	ฉันเชื่อว่าเขาจะมา
香蕉	กล้วย	ฉันซื้อกล้วยสามลูก
像	เหมือน; คล้าย	เมฆก้อนนี้เหมือนนกตัวหนึ่ง
向	ไปทาง; หันไปทาง	กรุณาเดินไปทางซ้าย
小心	ระวัง	ฝนตกแล้ว ระวังบนถนนด้วย
校长	ครูใหญ่; ผู้อำนวยการโรงเรียน	ผู้อำนวยการอยู่ในสำนักงาน
新闻	ข่าว	พ่อดูข่าวทุกวัน
新鲜	สด; ใหม่	ผลไม้นี้สดมาก
信用卡	บัตรเครดิต	ฉันจ่ายด้วยบัตรเครดิตได้ไหม
行李箱	กระเป๋าเดินทาง	กระเป๋าเดินทางของฉันหนักมาก
熊猫	แพนด้า	เด็กๆ ชอบดูแพนด้า
需要	ต้องการ; จำเป็นต้อง	ฉันต้องการความช่วยเหลือของคุณ
选择	เลือก; ทางเลือก	คุณเลือกเสื้อเชิ้ตตัวไหน
要求	ขอร้อง; เรียกร้อง; กำหนด	ครูขอให้พวกเราทำการบ้านอย่างตั้งใจ
爷爷	ปู่; คุณปู่	คุณปู่ไปสวนสาธารณะทุกวัน
一直	ตลอด; เรื่อยมา	เขารอคุณอยู่ตลอด
一定	แน่นอน; ต้อง	ฉันจะมาแน่นอน
一共	ทั้งหมด; รวม	หนังสือพวกนี้รวมทั้งหมดเท่าไร
一会儿	สักครู่; เดี๋ยว	กรุณารอฉันสักครู่
一样	เหมือนกัน	แก้วสองใบนี้ขนาดเท่ากัน
以前	เมื่อก่อน; ก่อนหน้านี้	เมื่อก่อนฉันอยู่ปักกิ่ง
一般	ทั่วไป; ธรรมดา	อาหารของร้านนี้ธรรมดา
一边	ด้านหนึ่ง; ขณะเดียวกัน	เขาฟังเพลงไปด้วย ทำการบ้านไปด้วย
音乐	ดนตรี; เพลง	ฉันชอบเพลงจีน
银行	ธนาคาร	ธนาคารอยู่ข้างซูเปอร์มาร์เก็ต
饮料	เครื่องดื่ม	เครื่องดื่มนี้อร่อย
应该	ควร; น่าจะ	คุณควรพักผ่อนให้มากขึ้น
影响	ผลกระทบ; ส่งผลต่อ	อากาศจะส่งผลต่อการแข่งขัน
用	ใช้	ฉันใช้คอมพิวเตอร์ทำการบ้าน
游戏	เกม; การเล่น	เด็กๆ กำลังเล่นเกม
有名	มีชื่อเสียง	ร้านอาหารนี้มีชื่อเสียงมาก
又	อีก; อีกแล้ว	วันนี้เขามาสายอีกแล้ว
遇到	พบ; เจอ	ฉันเจอครูบนถนน
元	หยวน	พจนานุกรมเล่มนี้ห้าสิบหยวน
愿意	ยินดี; เต็มใจ	คุณยินดีเข้าร่วมไหม
月亮	ดวงจันทร์	คืนนี้ดวงจันทร์สว่างมาก
越	ยิ่ง…ยิ่ง…	ยิ่งเรียนภาษาจีนก็ยิ่งน่าสนใจ
站	สถานี; ยืน	เขายืนอยู่หน้าประตู
张	คำลักษณนามสำหรับของแบน; แผ่น	กรุณาให้แผนที่ฉันหนึ่งแผ่น
长	เติบโต; โตขึ้น	เด็กๆ โตเร็วมาก
着急	ร้อนใจ; กังวล	อย่าร้อนใจ ลิฟต์จะมาเดี๋ยวนี้
照顾	ดูแล	เธอดูแลคุณย่าที่ป่วย
照片	รูปถ่าย	รูปถ่ายนี้ดูดีมาก
照相机	กล้องถ่ายรูป	ฉันใช้กล้องถ่ายรูปถ่ายภาพ
283:只	แค่; เพียง	ฉันดื่มชาแค่หนึ่งแก้ว
284:只	คำลักษณนามสำหรับสัตว์	ใต้โต๊ะมีแมวหนึ่งตัว
只有…才…	มีเพียง…จึงจะ…	ต้องทบทวนอย่างตั้งใจเท่านั้น จึงจะสอบได้ดี
中间	ตรงกลาง; ระหว่าง	โต๊ะอยู่กลางห้อง
中文	ภาษาจีน; ตัวอักษรจีน	ฉันเรียนภาษาจีนทุกวัน
终于	ในที่สุด	ในที่สุดพวกเราก็มาถึง
种	ชนิด; ประเภท	คุณชอบเครื่องดื่มชนิดไหน
重要	สำคัญ	หนังสือเดินทางสำคัญมาก
周末	สุดสัปดาห์	สุดสัปดาห์ฉันอยากไปสวนสาธารณะ
主要	หลัก; สำคัญ	งานอดิเรกหลักของเขาคือดนตรี
注意	ระวัง; ใส่ใจ	กรุณาตั้งใจฟังครูพูด
自己	ตัวเอง	ฉันอยากทำการบ้านเอง
自行车	จักรยาน	จักรยานของฉันอยู่ชั้นล่าง
总是	มักจะ; เสมอ	เขามักมาถึงสำนักงานแต่เช้า
嘴	ปาก	กรุณาอ้าปาก
最后	สุดท้าย; ในที่สุด	สุดท้ายพวกเราทุกคนเห็นด้วย
最近	ช่วงนี้; เมื่อเร็วๆ นี้	ช่วงนี้ฉันยุ่งมาก
作业	การบ้าน; งาน	ฉันยังทำการบ้านไม่เสร็จ
