hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
5024:险	险	险	niebezpieczny; ryzykowny	Górska droga jest niebezpieczna, więc jedź trochę wolniej.	gevaarlijk; riskant	De bergweg is gevaarlijk, dus rijd wat langzamer.	farlig; riskabel	Bergsvägen är farlig, så kör lite långsammare.	farlig; risikabel	Fjellveien er farlig, så kjør litt saktere.	farlig; risikabel	Bjergvejen er farlig, så kør lidt langsommere.	vaarallinen; täpärä	Vuoristotie on vaarallinen, joten aja hieman hitaammin.
5026:限	限	限	ograniczyć; limitować	Każda osoba może kupić najwyżej dwa bilety.	beperken; limiteren	Per persoon mogen maximaal twee kaartjes worden gekocht.	begränsa; sätta gräns	Varje person får köpa högst två biljetter.	begrense; sette grense	Hver person kan kjøpe høyst to billetter.	begrænse; sætte grænse	Hver person må højst købe to billetter.	rajoittaa; rajata	Jokainen henkilö saa ostaa enintään kaksi lippua.
5027:线	线	线	linia; nić	Proszę ciąć wzdłuż tej linii.	lijn; draad	Knip alstublieft langs deze lijn.	linje; tråd	Klipp längs den här linjen.	linje; tråd	Klipp langs denne linjen.	linje; tråd	Klip venligst langs denne linje.	viiva; lanka	Leikkaa tätä viivaa pitkin.
5028:现存	现存	现存	istniejący; zachowany	Obecnie istniejące materiały nie wystarczają, aby udowodnić ten wniosek.	bestaand; bewaard gebleven	De bestaande materialen zijn niet genoeg om deze conclusie te bewijzen.	befintlig; bevarad	Det befintliga materialet räcker inte för att bevisa den här slutsatsen.	eksisterende; bevart	Det eksisterende materialet er ikke nok til å bevise denne konklusjonen.	eksisterende; bevaret	Det eksisterende materiale er ikke nok til at bevise denne konklusion.	olemassa oleva; säilynyt	Olemassa oleva aineisto ei riitä todistamaan tätä päätelmää.
5029:限度	限度	限度	granica; limit	Jego cierpliwość osiągnęła już granicę.	grens; limiet	Zijn geduld heeft de grens al bereikt.	gräns; begränsning	Hans tålamod har redan nått sin gräns.	grense; begrensning	Tålmodigheten hans har allerede nådd grensen.	grænse; begrænsning	Hans tålmodighed har allerede nået grænsen.	raja; enimmäismäärä	Hänen kärsivällisyytensä on jo saavuttanut rajansa.
5030:现货	现货	现货	towar dostępny od ręki; zapas	Ten telefon jest dostępny od ręki i może zostać wysłany dziś.	voorraadartikel; op voorraad	Deze telefoon is op voorraad en kan vandaag worden verzonden.	lagervara; i lager	Den här telefonen finns i lager och kan skickas i dag.	lagervare; på lager	Denne telefonen er på lager og kan sendes i dag.	lagervare; på lager	Denne telefon er på lager og kan sendes i dag.	varastotavara; heti saatavilla	Tätä puhelinta on varastossa, ja se voidaan lähettää tänään.
5033:限于	限于	限于	ograniczać się do	Rejestracja jest ograniczona do trzydziestu osób.	beperkt zijn tot	Inschrijving is beperkt tot dertig personen.	begränsas till	Registreringen är begränsad till trettio personer.	være begrenset til	Påmeldingen er begrenset til tretti personer.	være begrænset til	Tilmeldingen er begrænset til tredive personer.	rajoittua	Ilmoittautuminen on rajoitettu kolmeenkymmeneen henkilöön.
5036:相传	相传	相传	jak głosi legenda; podobno	Jak głosi legenda, ten most ma trzysta lat historii.	naar verluidt; volgens de overlevering	Naar verluidt heeft deze brug een geschiedenis van driehonderd jaar.	enligt traditionen; det sägs	Det sägs att den här bron har en historia på trehundra år.	ifølge overleveringen; det sies	Ifølge overleveringen har denne broen en historie på tre hundre år.	ifølge overleveringen; det siges	Det siges, at denne bro har en historie på tre hundrede år.	perimätiedon mukaan; kerrotaan että	Kerrotaan, että tällä sillalla on kolmensadan vuoden historia.
5038:相连	相连	相连	być połączonym	Te dwa miasta są połączone koleją dużych prędkości.	verbonden zijn	De twee steden zijn verbonden door hogesnelheidstrein.	vara förbundna	De två städerna är förbundna med höghastighetståg.	være forbundet	De to byene er forbundet med høyhastighetstog.	være forbundet	De to byer er forbundet med højhastighedstog.	olla yhteydessä	Ne kaksi kaupunkia ovat yhteydessä suurnopeusjunalla.
5039:香水	香水	香水	perfumy	Ona nie lubi perfum o bardzo mocnym zapachu.	parfum	Zij houdt niet van parfum met een erg sterke geur.	parfym	Hon tycker inte om parfym med mycket stark doft.	parfyme	Hun liker ikke parfyme med veldig sterk duft.	parfume	Hun kan ikke lide parfume med meget stærk duft.	hajuvesi	Hän ei pidä hyvin voimakkaan tuoksuisesta hajuvedestä.
5052:小偷儿	小偷儿	小偷儿	złodziej	Ten złodziej szybko został złapany przez policję.	dief	Die dief werd snel door de politie gepakt.	tjuv	Den där tjuven greps snabbt av polisen.	tyv	Den tyven ble raskt tatt av politiet.	tyv	Den tyv blev hurtigt fanget af politiet.	varas	Poliisi sai sen varkaan nopeasti kiinni.
5053:笑容	笑容	笑容	uśmiech	Uśmiech na jej twarzy uspokoił wszystkich.	glimlach	De glimlach op haar gezicht stelde iedereen gerust.	leende	Leendet på hennes ansikte gjorde alla lugna.	smil	Smile hennes beroliget alle.	smil	Smile på hendes ansigt beroligede alle.	hymy	Hänen kasvoillaan oleva hymy rauhoitti kaikkia.
5054:效应	效应	效应	efekt; oddziaływanie	Efekt tej polityki nadal trzeba obserwować.	uitwerking; gevolg	De uitwerking van dit beleid moet nog worden geobserveerd.	effekt	Effekten av den här politiken behöver fortfarande observeras.	effekt	Virkningen av denne politikken må fortsatt observeres.	effekt	Effekten af denne politik skal stadig observeres.	vaikutus	Tämän politiikan vaikutusta täytyy vielä tarkkailla.
5060:心爱	心爱	心爱	ukochany; ulubiony	W podróż zabrał swój ukochany aparat.	geliefd; favoriet	Hij nam zijn geliefde camera mee op reis.	älskad; favorit	Han tog med sin älskade kamera på resan.	kjær; favoritt	Han tok med sitt kjære kamera på reisen.	kær; yndlings-	Han tog sit kære kamera med på rejsen.	rakas; lempi-	Hän otti rakkaan kameransa mukaan matkalle.
5061:心底	心底	心底	głębia serca	Z głębi serca podziękowała nauczycielowi.	diep in het hart	Zij bedankte de docent uit de grond van haar hart.	hjärtats djup	Hon tackade läraren från djupet av sitt hjärta.	hjertets dyp	Hun takket læreren fra dypet av hjertet.	hjertets dyb	Hun takkede læreren fra hjertet.	sydämen pohja	Hän kiitti opettajaa sydämensä pohjasta.
5062:新款	新款	新款	nowy model; najnowszy fason	Ten sklep właśnie wystawił partię butów w nowym modelu.	nieuw model; nieuwste stijl	Deze winkel heeft net een partij schoenen in een nieuw model uitgestald.	ny modell; senaste stil	Den här butiken har just lagt ut ett parti skor i ny modell.	ny modell; nyeste stil	Denne butikken har nettopp lagt ut et parti sko i ny modell.	ny model; nyeste stil	Denne butik har netop sat et parti sko i ny model frem.	uusi malli; uusin tyyli	Tämä kauppa on juuri laittanut esille erän uuden mallisia kenkiä.
5064:新媒体	新媒体	新媒体	nowe media	Nowe media zmieniły sposób, w jaki ludzie zdobywają informacje.	nieuwe media	Nieuwe media hebben de manier veranderd waarop mensen informatie krijgen.	nya medier	Nya medier har förändrat hur människor får information.	nye medier	Nye medier har endret måten folk får informasjon på.	nye medier	Nye medier har ændret den måde, folk får information på.	uusi media	Uusi media on muuttanut tapaa, jolla ihmiset saavat tietoa.
5065:心目	心目	心目	w czyichś oczach; w czyimś umyśle	W moich oczach jest znakomitą pisarką.	in iemands ogen; in gedachten	In mijn ogen is zij een uitstekende schrijfster.	i någons ögon; i sinnet	I mina ögon är hon en utmärkt författare.	i noens øyne; i tankene	I mine øyne er hun en utmerket forfatter.	i nogens øjne; i tankerne	I mine øjne er hun en fremragende forfatter.	mielessä; silmissäni	Minun silmissäni hän on erinomainen kirjailija.
5066:新能源	新能源	新能源	nowa energia; energia odnawialna	Branża nowej energii rozwija się szybko.	nieuwe energie; duurzame energie	De sector voor nieuwe energie ontwikkelt zich snel.	ny energi; förnybar energi	Den nya energibranschen utvecklas snabbt.	ny energi; fornybar energi	Næringen for ny energi utvikler seg raskt.	ny energi; vedvarende energi	Industrien for ny energi udvikler sig hurtigt.	uusi energia; uusiutuva energia	Uuden energian ala kehittyy nopeasti.
5069:新兴	新兴	新兴	wschodzący; nowo powstały	Wschodzące branże przyciągnęły wielu młodych ludzi.	opkomend; nieuw ontstaan	Opkomende sectoren hebben veel jonge mensen aangetrokken.	framväxande; nyuppkommen	Framväxande branscher har lockat många unga människor.	fremvoksende; ny	Framvoksende næringer har tiltrukket mange unge mennesker.	fremvoksende; nyopstået	Fremvoksende industrier har tiltrukket mange unge mennesker.	nouseva; uusi	Nousevat alat ovat houkutelleet paljon nuoria.
5071:心愿	心愿	心愿	pragnienie; serdeczne życzenie	W końcu spełniła pragnienie, które nosiła w sercu przez wiele lat.	hartenwens; verlangen	Zij vervulde eindelijk een wens die zij al jaren koesterde.	önskan; hjärteönskan	Hon uppfyllde till slut en önskan hon burit på i många år.	ønske; hjertelig ønske	Hun oppfylte endelig et ønske hun hadde båret på i mange år.	ønske; hjertens ønske	Hun fik endelig opfyldt et ønske, hun havde båret på i mange år.	toive; sydämen toive	Hän toteutti viimein monivuotisen toiveensa.
5075:兴起	兴起	兴起	powstać; zyskać popularność	Nauka online rozwinęła się w wielu regionach.	opkomen; ontstaan	Online leren is in veel regio's opgekomen.	växa fram; uppstå	Onlineundervisning har vuxit fram i många regioner.	vokse fram; oppstå	Nettlæring har vokst fram i mange regioner.	vokse frem; opstå	Onlinelæring er vokset frem i mange regioner.	nousta; yleistyä	Verkko-opiskelu on yleistynyt monilla alueilla.
5076:型号	型号	型号	model; numer modelu	Proszę wpisać model komputera w formularzu.	model; typenummer	Schrijf alstublieft het computermodel op het formulier.	modell; typnummer	Skriv datormodellen i formuläret.	modell; typenummer	Skriv datamodellen i skjemaet.	model; typenummer	Skriv computermodellen i formularen.	malli; mallinumero	Kirjoita tietokoneen malli lomakkeeseen.
5078:性价比	性价比	性价比	stosunek jakości do ceny	Ten hotel ma bardzo dobry stosunek jakości do ceny.	prijs-kwaliteitverhouding	Dit hotel biedt een zeer goede prijs-kwaliteitverhouding.	prisvärdhet; värde för pengarna	Det här hotellet ger mycket bra värde för pengarna.	verdi for pengene; pris-ytelse-forhold	Dette hotellet gir svært god verdi for pengene.	værdi for pengene; pris-kvalitet-forhold	Dette hotel giver meget god værdi for pengene.	hinta-laatusuhde	Tällä hotellilla on erittäin hyvä hinta-laatusuhde.
5081:修订	修订	修订	zrewidować; poprawić	Redaktor poprawia ten podręcznik.	herzien; corrigeren	De redacteur herziet dit leerboek.	revidera; ändra	Redaktören reviderar den här läroboken.	revidere; rette	Redaktøren reviderer denne læreboken.	revidere; rette	Redaktøren reviderer denne lærebog.	tarkistaa; korjata	Toimittaja tarkistaa tätä oppikirjaa.
5083:袖子	袖子	袖子	rękaw	Rękawy tego płaszcza są trochę długie.	mouw	De mouwen van deze jas zijn een beetje lang.	ärm	Ärmarna på den här kappan är lite långa.	erme	Ermene på denne kåpen er litt lange.	ærme	Ærmerne på denne frakke er lidt lange.	hiha	Tämän takin hihat ovat hieman pitkät.
5088:选修	选修	选修	wybrać jako przedmiot fakultatywny	W następnym semestrze chcę wybrać psychologię jako przedmiot fakultatywny.	als keuzevak volgen	Volgend semester wil ik psychologie als keuzevak volgen.	läsa som valbar kurs	Nästa termin vill jag läsa psykologi som valbar kurs.	ta som valgfag	Neste semester vil jeg ta psykologi som valgfag.	tage som valgfag	Næste semester vil jeg tage psykologi som valgfag.	valita valinnaiseksi kurssiksi	Ensi lukukaudella haluan valita psykologian valinnaiseksi kurssiksi.
5089:学会	学会	学会	towarzystwo naukowe; stowarzyszenie	Wstąpił do lokalnego stowarzyszenia językoznawczego.	wetenschappelijke vereniging; genootschap	Hij werd lid van de plaatselijke taalkundige vereniging.	vetenskapligt sällskap; förening	Han gick med i den lokala språkvetenskapliga föreningen.	fagforening; vitenskapelig selskap	Han ble medlem av den lokale språkvitenskapelige foreningen.	fagligt selskab; forening	Han meldte sig ind i den lokale sprogvidenskabelige forening.	tieteellinen seura; yhdistys	Hän liittyi paikalliseen kielitieteelliseen yhdistykseen.
5092:学员	学员	学员	uczestnik kursu; kursant	W klasie szkoleniowej jest dwudziestu kursantów.	cursist; deelnemer	Er zijn twintig cursisten in de trainingsklas.	kursdeltagare; elev	Det finns tjugo deltagare i utbildningskursen.	kursdeltaker; elev	Det er tjue deltakere på opplæringskurset.	kursist; deltager	Der er tyve kursister på træningsholdet.	kurssilainen; osallistuja	Koulutusryhmässä on kaksikymmentä kurssilaista.
5093:血管	血管	血管	naczynie krwionośne	Lekarz powiedział, że to naczynie krwionośne wymaga dalszego badania.	bloedvat	De arts zei dat dit bloedvat verder onderzocht moet worden.	blodkärl	Läkaren sade att det här blodkärlet behöver undersökas vidare.	blodåre; blodkar	Legen sa at dette blodkaret må undersøkes videre.	blodkar	Lægen sagde, at dette blodkar skal undersøges yderligere.	verisuoni	Lääkäri sanoi, että tämä verisuoni tarvitsee lisätutkimusta.
5094:血型	血型	血型	grupa krwi	Przy rejestracji trzeba podać grupę krwi.	bloedgroep	Bij registratie moet je je bloedgroep invullen.	blodgrupp	Vid registrering måste man ange sin blodgrupp.	blodtype	Ved registrering må man oppgi blodtype.	blodtype	Ved registrering skal man angive sin blodtype.	veriryhmä	Rekisteröityessä täytyy ilmoittaa veriryhmä.
5096:血液	血液	血液	krew	Ćwiczenia mogą wspierać krążenie krwi.	bloed	Beweging kan de bloedsomloop bevorderen.	blod	Motion kan främja blodcirkulationen.	blod	Trening kan fremme blodsirkulasjonen.	blod	Motion kan fremme blodcirkulationen.	veri	Liikunta voi edistää verenkiertoa.
5098:寻求	寻求	寻求	szukać; dążyć do	Oni szukają lepszego rozwiązania.	zoeken naar; nastreven	Zij zoeken naar een betere oplossing.	söka; sträva efter	De söker en bättre lösning.	søke; lete etter	De søker en bedre løsning.	søge efter; stræbe efter	De søger efter en bedre løsning.	etsiä; tavoitella	He etsivät parempaa ratkaisua.
5101:淹	淹	淹	zalać	Ulewny deszcz zalał nisko położoną drogę.	onder water zetten; overstromen	De hevige regen zette de laaggelegen weg onder water.	översvämma; dränka	Det kraftiga regnet översvämmade den lågt belägna vägen.	oversvømme; sette under vann	Det kraftige regnet oversvømte den lavtliggende veien.	oversvømme; sætte under vand	Den kraftige regn oversvømmede den lavtliggende vej.	peittää vedellä; tulvia rankasti	Kova sade peitti matalalla olevan tien vedellä.
5103:严	严	严	surowy; rygorystyczny	Szkoła jest bardzo surowa w sprawie dyscypliny egzaminacyjnej.	streng	De school is erg streng over examendiscipline.	sträng	Skolan är mycket sträng med disciplinen under prov.	streng	Skolen er svært streng med eksamensdisiplin.	streng	Skolen er meget streng med eksamensdisciplin.	tiukka; ankara	Koulu on hyvin tiukka koetilanteen kurista.
5111:研讨	研讨	研讨	omawiać i analizować	Eksperci omawiają i analizują nowy plan leczenia.	bespreken en onderzoeken	Experts bespreken en onderzoeken een nieuw behandelplan.	diskutera och analysera	Experter diskuterar och analyserar en ny behandlingsplan.	drøfte og vurdere	Eksperter drøfter og vurderer en ny behandlingsplan.	drøfte og undersøge	Eksperter drøfter og undersøger en ny behandlingsplan.	keskustella ja analysoida	Asiantuntijat keskustelevat ja analysoivat uutta hoitosuunnitelmaa.
5113:言语	言语	言语	słowa; wypowiedź	Jego słowa były bardzo szczere.	woorden; taalgebruik	Zijn woorden waren heel oprecht.	ord; yttrande	Hans ord var mycket uppriktiga.	ord; ytring	Hans ord var svært oppriktige.	ord; ytring	Hans ord var meget oprigtige.	sanat; puhe	Hänen sanansa olivat hyvin vilpittömiä.
5114:炎症	炎症	炎症	stan zapalny	Ten lek może zmniejszyć stan zapalny.	ontsteking	Dit medicijn kan de ontsteking verminderen.	inflammatoriskt tillstånd	Det här läkemedlet kan lindra det inflammatoriska tillståndet.	betennelse	Denne medisinen kan redusere betennelsen.	betændelse	Denne medicin kan mindske betændelsen.	tulehdus	Tämä lääke voi vähentää tulehdusta.
5116:眼看	眼看	眼看	zaraz; lada chwila	Zaraz się ściemni, więc powinniśmy wracać.	bijna; op het punt staan	Het wordt bijna donker, dus we moeten teruggaan.	snart; vara på väg att	Det blir snart mörkt, så vi bör gå tillbaka.	snart; være like ved	Det blir snart mørkt, så vi bør gå tilbake.	snart; være lige ved	Det bliver snart mørkt, så vi bør gå tilbage.	kohta; aivan pian	Kohta tulee pimeää, joten meidän pitäisi palata.
5120:仰	仰	仰	patrzeć w górę	Dziecko patrzyło w górę na gwiazdy.	omhoogkijken	Het kind keek omhoog naar de sterren.	blicka upp	Barnet blickade upp mot stjärnorna.	se opp	Barnet så opp på stjernene.	se op	Barnet så op på stjernerne.	katsoa ylös	Lapsi katsoi ylös tähtiin.
5122:养老	养老	养老	życie na starość; zabezpieczenie na starość	Planują życie na starość po przejściu na emeryturę.	oude dag; pensioenvoorziening	Ze plannen hun leven op de oude dag na hun pensioen.	livet som äldre; försörjning på äldre dar	De planerar sitt liv som äldre efter pensionen.	alderdom; pensjonisttilværelse	De planlegger alderdommen etter pensjonering.	alderdom; pensionisttilværelse	De planlægger deres alderdom efter pensioneringen.	eläkeajan elämä; vanhuuden turva	He suunnittelevat eläkeajan elämäänsä eläkkeelle jäämisen jälkeen.
5123:养老院	养老院	养老院	dom opieki	Ten dom opieki leży bardzo blisko szpitala.	verzorgingstehuis	Dit verzorgingstehuis ligt heel dicht bij het ziekenhuis.	äldreboende	Det här äldreboendet ligger mycket nära sjukhuset.	sykehjem; aldershjem	Dette sykehjemmet ligger svært nær sykehuset.	plejehjem	Dette plejehjem ligger meget tæt på hospitalet.	hoivakoti; vanhainkoti	Tämä hoivakoti on hyvin lähellä sairaalaa.
5125:样	样	样	rodzaj; odmiana	Kupił trzy rodzaje przekąsek.	soort	Hij kocht drie soorten snacks.	sort; typ	Han köpte tre sorters snacks.	slag; type	Han kjøpte tre typer snacks.	slags; type	Han købte tre slags snacks.	laji; tyyppi	Hän osti kolmenlaisia välipaloja.
5128:要么	要么	要么	albo; albo...albo	Albo wyjdź teraz, albo poczekaj do jutra.	ofwel; ofwel...of	Ofwel vertrek je nu, ofwel wacht je tot morgen.	antingen; antingen...eller	Antingen går du nu eller väntar till i morgon.	enten; enten...eller	Enten drar du nå, eller så venter du til i morgen.	enten; enten...eller	Enten går du nu, eller også venter du til i morgen.	joko; joko...tai	Joko lähdet nyt tai odotat huomiseen.
5130:野	野	野	dziki	W tej górskiej okolicy rośnie wiele dzikich kwiatów.	wild	In dit berggebied groeien veel wilde bloemen.	vild	Det finns många vilda blommor i det här bergsområdet.	vill	Det finnes mange ville blomster i dette fjellområdet.	vild	Der er mange vilde blomster i dette bjergområde.	villi	Tällä vuoristoalueella kasvaa paljon villejä kukkia.
5131:也好	也好	也好	czy...czy; bez względu na to	Czy pójdziesz, czy nie, musisz mi powiedzieć.	of...nu...of	Of je nu gaat of niet, je moet het me vertellen.	vare sig...eller	Vare sig du går eller inte måste du säga det till mig.	uansett om...eller	Uansett om du går eller ikke, må du fortelle meg det.	uanset om...eller	Uanset om du går eller ej, skal du fortælle mig det.	olipa...tai	Olitpa lähdössä tai et, sinun täytyy kertoa minulle.
5132:野生	野生	野生	dziki; żyjący na wolności	Tutaj zabrania się łapania dzikich zwierząt.	wildlevend	Het is hier verboden wilde dieren te vangen.	viltlevande	Det är förbjudet att fånga vilda djur här.	viltlevende	Det er forbudt å fange ville dyr her.	vildtlevende	Det er forbudt at fange vilde dyr her.	luonnonvarainen	Täällä on kiellettyä pyydystää luonnonvaraisia eläimiä.
5133:野外	野外	野外	teren; plener	Uczniowie obserwowali rośliny w terenie.	veld; buitengebied	De leerlingen observeerden planten in het veld.	fält; ute i naturen	Eleverna observerade växter ute i naturen.	felt; ute i naturen	Elevene observerte planter ute i naturen.	felten; ude i naturen	Eleverne observerede planter ude i naturen.	maasto; ulkona luonnossa	Oppilaat tarkkailivat kasveja maastossa.
5134:业	业	业	branża; sektor	Branża usługowa potrzebuje więcej specjalistów.	sector; branche	De dienstensector heeft meer professionals nodig.	bransch; sektor	Tjänstesektorn behöver fler yrkespersoner.	bransje; næring	Tjenestebransjen trenger flere fagfolk.	branche; sektor	Servicebranchen har brug for flere fagfolk.	ala; toimiala	Palveluala tarvitsee lisää ammattilaisia.
5139:衣食住行	衣食住行	衣食住行	podstawowe potrzeby życia	Ten raport analizuje podstawowe potrzeby życia mieszkańców miasta.	basisbehoeften van het dagelijks leven	Dit rapport analyseert de basisbehoeften van stadsbewoners.	livets grundläggande behov	Den här rapporten analyserar stadsbornas grundläggande behov i vardagen.	grunnleggende behov i hverdagen	Denne rapporten analyserer bybefolkningens grunnleggende behov i hverdagen.	dagliglivets basale behov	Denne rapport analyserer byboernes basale behov i dagligdagen.	elämän perustarpeet	Tämä raportti analysoi kaupunkilaisten elämän perustarpeita.
5140:医药	医药	医药	medycyna i farmacja; leki	Koszty medycyny i leków w ostatnich latach nieco wzrosły.	geneeskunde en farmacie; medicijnen	De kosten voor geneeskunde en medicijnen zijn de afgelopen jaren enigszins gestegen.	sjukvård och läkemedel	Kostnaderna för sjukvård och läkemedel har stigit något de senaste åren.	medisin og legemidler	Kostnadene til medisin og legemidler har økt noe de siste årene.	medicin og lægemidler	Udgifterne til medicin og lægemidler er steget noget de seneste år.	lääketiede ja lääkkeet	Lääketieteen ja lääkkeiden kustannukset ovat viime vuosina nousseet jonkin verran.
5141:一一	一一	一一	po kolei; jeden po drugim	Nauczyciel wyjaśnił pytania po kolei.	een voor een	De leraar legde de vragen een voor een uit.	en efter en	Läraren förklarade frågorna en efter en.	én etter én	Læreren forklarte spørsmålene ett etter ett.	en efter en	Læreren forklarede spørgsmålene et efter et.	yksi kerrallaan	Opettaja selitti kysymykset yksi kerrallaan.
5142:姨	姨	姨	ciocia; ciotka ze strony matki	Moja ciocia przychodzi dziś do nas na kolację.	tante; tante van moederskant	Mijn tante komt vandaag bij ons thuis eten.	moster	Min moster kommer hem till oss på middag i dag.	tante; moster	Tanten min kommer hjem til oss for å spise middag i dag.	moster	Min moster kommer hjem til os til middag i dag.	täti; äidin sisko	Tätini tulee tänään meille syömään.
5146:一带	一带	一带	okolice; rejon	W okolicach szkoły jest wiele księgarni.	omgeving; streek	In de omgeving van de school zijn veel boekhandels.	området kring	Det finns många bokhandlar i området kring skolan.	området rundt	Det finnes mange bokhandler i området rundt skolen.	området omkring	Der er mange boghandlere i området omkring skolen.	seutu; alue	Koulun seudulla on paljon kirjakauppoja.
5147:一道	一道	一道	razem; wspólnie	Chodźmy razem zobaczyć wystawę.	samen	Laten we samen naar de tentoonstelling gaan kijken.	tillsammans	Vi går och ser utställningen tillsammans.	sammen	La oss gå og se utstillingen sammen.	sammen	Lad os gå hen og se udstillingen sammen.	yhdessä	Mennään yhdessä katsomaan näyttelyä.
