source_headword	KK	example_KK
petition	петиция	Петиция мыңдаған қол жинады.
philosopher	философ	Философ жалпыға ортақ болжамдарға күмән келтірді.
philosophical	философиялық	Пікірталас философиялық сипат алды.
physician	дәрігер	Дәрігер қан тапсыруды бұйырды.
pioneer	ізашар	Ол медицинада ізашар болды.
pipeline	құбыр	Құбыр газды жер астымен тасымалдайды.
pirate	қарақшы	Қарақшылар кемесі жағалаудан көрінді.
pit	шұңқыр	Жұмысшылар терең шұңқыр қазды.
plea	өтініш	Оның көмек туралы өтініші елеусіз қалды.
plead	кінәсін мойындау	Күдікті кінәсін мойындайды.
pledge	уәде беру	Олар реформаларды қолдауға уәде береді.
plug	тығу	Кабельді розеткаға тығыңыз.
plunge	құлдырау	Жанжалдан кейін бағалар құлдырауы мүмкін.
pole	бағана	Ту бағанада ілулі тұрды.
poll	сауалнама	Сауалнама өзгеріп жатқан пікірлерді көрсетті.
pond	тоған	Үйректер қатып қалған тоғаннан өтті.
pop	жарылу	Шарлар өткір заттардың жанында жарылады.
portfolio	портфель	Оның портфелі бірнеше стартапты қамтиды.
portray	бейнелеу	Фильм ауыл өмірін бейнелейтін болады.
postpone	кейінге қалдыру	Олар тыңдауды кейінге қалдыруды шешті.
post-war	соғыстан кейінгі	Соғыстан кейінгі тұрғын үй өте қажет болды.
practitioner	тәжірибеші	Маман емдеу жолын түсіндірді.
preach	уағыздау	Министр жексенбі күні уағыздайды.
precedent	прецедент	Бұл шешім маңызды прецедент орнатты.
precision	дәлдік	Машина дәлдікпен кеседі.
predator	жыртқыш	Жыртқыш өзеннің жанында күтті.
predecessor	ізашар	Оның ізашары егжей-тегжейлі жазбалар қалдырды.
predominantly	негізінен	Аудан негізінен тұрғын үйлерден тұрады.
pregnancy	жүктілік	Жүктілік тұрақты медициналық күтімді қажет етеді.
prejudice	кемсітушілік	Науқан нәсілдік кемсітушілікке қарсы шықты.
preliminary	алдын ала	Алдын ала нәтижелер үміт берерліктей көрінеді.
premier	премьер	Премьер бүгін парламентте сөз сөйледі.
premise	алғышарт	Бұл дәлел жалған алғышартқа негізделген.
premium	үстемеақы	Тұтынушылар жылдамдық үшін үстемеақы төледі.
prescribe	тағайындау	Дәрігерлер антибиотиктерді мұқият тағайындайды.
prescription	рецепт	Рецепттің мерзімі келесі айда аяқталады.
presently	қазіргі уақытта	Ол қазіргі уақытта бос емес.
preservation	сақтау	Сақтау тарихи ғимараттарды қорғайды.
preside	төрағалық ету	Сот отырысына судья төрағалық етеді.
presidency	президенттік	Оның президенттігі сегіз жылға созылды.
presidential	президенттік	Президенттік сайлау назар аудартты.
prestigious	беделді	Ол беделді стипендия жеңіп алды.
presumably	бәлкім	Шамасы, кеңсе бүгін жабық.
presume	топшылау	Біз құжаттар түпнұсқа деп топшылаймыз.
prevail	жеңіске жету	Сау ақыл жеңіске жетуі керек.
prevalence	таралуы	Демікпенің таралуы өсті.
prevention	алдын алу	Алдын алу жөндеуге қарағанда арзанырақ.
