simplified	KK	example_KK
饱和	қанығу	Бұл нарық қанығуға жақындап қалды.
饱经沧桑	көп қиындық көрген	Бұл қарт адам өмірде көп қиындық көрген.
报酬	ақы	Ол лайықты ақы алды.
报仇	кек алу	Ол кек алғысы келмейді, тек қайта бастағысы келеді.
报答	қайтару	Мен сенің көмегіңді ісіммен қайтарамын.
报复	өш алу	Өш алу тек қайшылықты тереңдетеді.
报警	полицияға хабарлау	Өртті байқаған соң бірден полицияға хабарлау керек.
报销	шығынды өтеу	Іссапар шығындарын өтеуге болады.
抱负	арман-мұрат	Оның бала кезінен үлкен арман-мұраты бар.
暴力	зорлық-зомбылық	Біз зорлық-зомбылықтың кез келген түріне қарсымыз.
暴露	әшкерелену	Бұл мәселе біртіндеп әшкереленді.
曝光	жария болу	Бұл сурет жария болғаннан кейін көп назар аударды.
爆发	атқылау	Жанартау кенет атқылады.
爆炸	жарылыс	Зертханада жарылыс болды.
卑鄙	пасық	Мұндай пасық тәсіл ашу тудырады.
悲哀	қайғылы	Бұл хабарды естігенде ол қатты қайғырды.
悲惨	қайғылы	Бұл тарихтың қайғылы кезеңі еді.
北极	Арктика	Ғалымдар Арктикада зерттеу жүргізіп жатыр.
备份	сақтық көшірме	Алдымен маңызды файлдардың сақтық көшірмесін жасаңыз.
备忘录	жаднама	Ол жаднамаға негізгі ойларды жазды.
背叛	сатқындық	Ол досының сатқындығын қабылдай алмады.
背诵	жатқа айту	Оқушылар мәтінді жатқа айтып жатыр.
被动	енжар	Келіссөзде тым енжар болмауымыз керек.
被告	айыпталушы	Айыпталушы барлық айыптауларды жоққа шығарды.
贝壳	қабыршақ	Бала теңіз жағасынан қабыршақтар терді.
奔波	шапқылау	Ол жұмыс үшін әр жаққа шапқылап жүреді.
奔驰	зулау	Көлік тас жолмен зулап бара жатты.
本能	түйсік	Баланы қорғау - ата-ананың түйсігі.
本钱	капитал	Бизнес жасау үшін капитал керек.
本人	өзім	Мен өзім жауапкершілікті алуға дайынмын.
本身	өздігінен	Бұл жоспардың өзінде мәселе жоқ.
本事	қабілет	Ол өте қабілетті.
笨拙	икемсіз	Оның қимылы сәл икемсіз.
崩溃	күйреу	Жүйе кенет істен шықты.
甭	қажеті жоқ	Бұл іске алаңдауыңның қажеті жоқ.
蹦	секіру	Күшік шөптің үстінде ары-бері секіріп жүрді.
迸发	бұрқ ете шығу	Қол шапалақ халық арасынан бұрқ ете шықты.
逼迫	мәжбүрлеу	Олар оны келісімшартқа қол қоюға мәжбүрледі.
鼻涕	мұрын суы	Бала суық тиіп, мұрнынан су ағып жүр.
比方	мысал	Мысалы, біз алдымен бір ай сынап көрсек болады.
比喻	теңеу	Бұл теңеу өте бейнелі.
比重	үлес	Қызмет көрсету саласының үлесі барған сайын артып келеді.
鄙视	менсінбеу	Басқалардың еңбегін менсінбе.
弊病	кемшілік	Бұл жүйеде біраз кемшілік бар.
弊端	олқылық	Жаңа жоспар ескі жүйенің олқылықтарын шешті.
臂	қол	Оның оң қолы жарақаттанды.
闭塞	оқшау	Бұл тау ауылының көлік қатынасы бұрын өте оқшау еді.
编织	тоқу	Әжем жемпір тоқып отыр.
边疆	шекаралық өңір	Көптеген сарбаздар Отанның шекаралық өңірін күзетеді.
边界	шекара	Екі ел шекараны қайта белгіледі.
边境	шекара маңы	Шекара маңындағы аудандар қауіпсіздік тексерісін күшейтті.
边缘	шет	Кесе үстелдің шетінде тұр.
鞭策	жігерлендіру	Мұғалімнің сөзі мені әрдайым жігерлендіріп келеді.
扁	жалпақ	Бұл қорап кең әрі жалпақ.
贬低	төмендету	Басқалардың еңбегін жөнсіз төмендетпе.
贬义	жағымсыз мағына	Бұл сөз мұнда жағымсыз мағына береді.
便利	ыңғайлы	Метро қатынасты одан әрі ыңғайлы етті.
便条	жазба	Ол үстел үстіне бір жазба қалдырды.
便于	қолайлы	Бұл дизайн қарт адамдардың қолдануына қолайлы.
变故	күтпеген жағдай	Үйде кенет күтпеген жағдай болды.
变迁	өзгеріс	Қаланың өзгерісі оны көп ойландырды.
变质	бұзылу	Сүт ұзақ тұрса бұзылады.
辨认	тану	Полиция одан суреттегі адамды тануын сұрады.
辩护	қорғау	Адвокат айыпталушыны қорғады.
辩解	ақталу	Ол өз қатесін ақтауға тырысты.
辩证	диалектикалық	Біз бұл мәселеге диалектикалық тұрғыдан қарауымыз керек.
辫子	бұрым	Кішкентай қыз екі бұрым өріп алған.
遍布	кең таралу	Бұл өсімдік бүкіл елге кең таралған.
标本	үлгі	Музейде жануар үлгілері қойылған.
标记	белгі	Маңызды абзацтардың жанына белгі қойыңыз.
标题	тақырып	Бұл мақаланың тақырыбы өте тартымды.
表决	дауыс беру	Өкілдер ұсыныс бойынша дауыс береді.
表态	ұстанымын білдіру	Ол әлі көпшілік алдында ұстанымын білдірген жоқ.
表彰	марапаттау	Компания үздік қызметкерлерді марапаттады.
憋	іште ұстау	Ол күлкісін іште ұстап, ештеңе айтпады.
别墅	вилла	Олар қала маңынан бір вилла сатып алды.
别致	ерекше	Бұл кафенің безендірілуі өте ерекше.
别扭	ыңғайсыз	Бұл сөйлем сәл ыңғайсыз естіледі.
濒临	алдында тұру	Бұл жануар жойылып кетудің алдында тұр.
冰雹	бұршақ	Кеше түстен кейін қатты бұршақ жауды.
丙	үшінші	С тобының жарысы түстен кейін басталады.
并非	мүлде емес	Іс сен ойлағандай мүлде емес.
并列	қатар тұру	Бұл екі жоба бірінші орында қатар тұр.
剥削	қанау	Ескі қоғамда ауыр қанау болды.
拨	теру	Мына телефон нөмірін теріңіз.
播种	тұқым себу	Диқаншылар көктемде тұқым себе бастайды.
波浪	толқын	Теңіз бетінде үлкен толқындар көтерілді.
波涛	алып толқын	Кеме алып толқындардың арасымен алға жылжыды.
伯母	тәте	Мен демалыста тәтеме барып қайтамын.
博大精深	кең әрі терең	Қытай мәдениеті кең әрі терең.
博览会	көрме	Халықаралық көрме көптеген кәсіпорынды тартты.
搏斗	айқасу	Полиция қылмыскермен айқасты.
薄弱	әлсіз	Оның грамматикалық негізі біршама әлсіз.
不顾	елемей	Ол қауіпті елемей ішке ұмтылды.
不愧	лайық	Ол шынымен тәжірибелі маман атануға лайық.
不料	күтпеген жерден	Күтпеген жерден жиналыс кенет тоқтатылды.
不像话	орынсыз	Қонақтарға бұлай қарауың тым орынсыз.
不屑一顾	менсінбей қарау	Ол бұл өсектерге менсінбей қарады.
哺乳	емізу	Анасы сәбиді емізіп отыр.
捕捉	ұстап алу	Фотограф тамаша сәтті ұстап алды.
补偿	өтемақы беру	Компания сенің шығыныңа өтемақы береді.
补救	түзету	Біз әлі де түзетіп үлгереміз.
补贴	жәрдемақы	Үкімет табысы төмен отбасыларға жәрдемақы береді.
不得已	амалсыз	Ол туған жерінен амалсыз кетті.
不妨	зияны жоқ	Алдымен оның түсіндірмесін тыңдағаныңның зияны жоқ.
不敢当	лайық емеспін	Сіз мені бұлай мақтасаңыз, мен оған шынымен лайық емеспін.
不禁	еріксіз	Бұл хабарды естігенде ол еріксіз күлді.
不堪	шыдауға келмейтін	Бұл жердегі шу шыдауға келмейді.
不可思议	ақылға сыймайтын	Бұл нәтиже шынымен ақылға сыймайды.
不免	болмай қоймайтын	Алғаш рет сахнаға шыққанда оның аздап қобалжуы болмай қоймайды.
不时	анда-санда	Ол анда-санда басын көтеріп сағатқа қарады.
不惜	аянып қалмау	Адам құтқару үшін ол тәуекелден аянған жоқ.
不相上下	шамалас	Екі команданың күші шамалас.
不言而喻	айтпаса да түсінікті	Адалдықтың маңызы айтпаса да түсінікті.
不由得	еріксіз	Ескі суретті көргенде мен еріксіз балалық шағымды еске алдым.
不择手段	ештеңеден тайынбау	Ол ақша табу үшін ештеңеден тайынбайды.
不止	астам	Жиналысқа жүзден астам адам қатысты.
布告	хабарландыру	Мектеп қақпасына бір хабарландыру ілінді.
布局	орналасу	Бұл пәтердің орналасуы өте қисынды.
布置	тапсыру	Мұғалім жаңа үй тапсырмасын берді.
步伐	адым	Сап біркелкі адыммен алға жылжыды.
部署	орналастыру	Компания жаңа сату жоспарын орналастырып жатыр.
部位	орын	Дәрігер жарақаттанған орынды тексерді.
才干	қабілет	Оның басқару саласында қабілеті зор.
裁缝	тігінші	Бұл тігіншінің шеберлігі жақсы.
裁判	төреші	Төреші матчтың тоқтатылғанын жариялады.
裁员	қызметкерлерді қысқарту	Компания шығынға байланысты қызметкерлерді қысқартуға шешім қабылдады.
财富	байлық	Білім де байлықтың бір түрі.
财务	қаржы	Қаржы бөлімі есептерді тексеріп жатыр.
财政	қаржы	Биыл қаржы кірісі біраз өсті.
彩票	лотерея билеті	Ол анда-санда бір лотерея билетін сатып алады.
采购	сатып алу	Компания жабдық сатып алуға адам жіберді.
采集	жинау	Зерттеушілер орманда үлгілер жинады.
采纳	қабылдау	Басшы біздің ұсынысымызды қабылдады.
参谋	кеңесші	Ол менеджерге жиі кеңесші болады.
参照	үлгіге сүйену	Нысанды осы үлгіге сүйеніп толтырыңыз.
残疾	мүгедектік	Бұл бекет мүгедек жолаушыларға көмек көрсетеді.
残酷	қатыгез	Соғыс өте қатыгез.
残留	қалып қою	Кеседе әлі кофе иісі қалып қойды.
残忍	қатыгез	Жануарды қорлау - қатыгез әрекет.
灿烂	жарқын	Ол жарқын күлкі көрсетті.
仓促	асығыс	Бұл шешім тым асығыс қабылданды.
仓库	қойма	Тауарлар қоймаға жеткізілді.
舱	кабина	Жолаушылар ұшақ кабинасына кіріп жатыр.
苍白	бозғылт	Оның жүзі бозғылт көрінді.
操劳	еңбек ету	Анасы бұл отбасы үшін көп жыл еңбек етті.
操练	жаттығу жасау	Сарбаздар күн сайын таңертең жаттығу жасайды.
操纵	басқару	Бұл машинаны компьютер басқарады.
操作	іске қосу	Жабдықты нұсқаулыққа сай іске қосыңыз.
嘈杂	шуылдақ	Вокзалда дыбыс өте шуылдақ болды.
草案	жоба	Комитет жобаны талқылап жатыр.
草率	асығыс	Мұндай маңызды шешімді асығыс қабылдауға болмайды.
侧面	қаптал	Қапталынан қарағанда бұл ғимарат биігірек көрінеді.
测量	өлшеу	Инженер көпірдің ұзындығын өлшеп жатыр.
策划	жоспарлау	Олар үлкен іс-шараны жоспарлады.
策略	стратегия	Бұл стратегия компанияға шығынды азайтуға көмектесті.
层出不穷	бірінен соң бірі шығу	Жаңа мәселелер бірінен соң бірі шыға берді.
层次	құрылым	Бұл мақаланың құрылымы өте анық.
差别	айырмашылық	Екі әдістің айырмашылығы үлкен емес.
插座	розетка	Бұл бөлмеде розетка жетпейді.
查获	тәркілеу	Кеден бір топ жалған тауарды тәркіледі.
刹那	қас қағым сәт	Қас қағым сәтте барлық шам сөніп қалды.
岔	айрық	Көліктер алдағы қиылыста екі жаққа айырылды.
诧异	таңғалу	Оның шешімі бәрін қатты таңғалдырды.
柴油	дизель отыны	Бұл жүк көлігі дизель отынын қолданады.
搀	демеп жүру	Мейіргер қарт адамды демеп, палатаға кіргізді.
缠绕	шырмалу	Шырмауық ағаш бұтақтарына шырмалды.
馋	тәбеті тарту	Тортты көргенде баланың тәбеті тартып кетті.
产业	сала	Туризм бұл жердегі маңызды сала.
阐述	түсіндіру	Профессор өз көзқарасын егжей-тегжейлі түсіндірді.
颤抖	дірілдеу	Ол суықтан бүкіл денесімен дірілдеді.
昌盛	өркендеу	Біз елдің гүлденіп, өркендеуін қалаймыз.
偿还	өтеу	Ол несиені уақытында өтеді.
尝试	сынап көру	Біз жаңа әдісті сынап көре аламыз.
场合	жағдай	Мұндай жағдайда әзіл айту жараспайды.
场面	көрініс	Үйлену тойының көрінісі өте думанды болды.
场所	орын	Бұл қоғамдық орын, темекі шекпеңіз.
敞开	айқара ашу	Терезені біраз уақыт айқара ашып қойыңыз.
倡导	насихаттау	Мектеп салауатты өмір салтын насихаттайды.
倡议	бастама	Бұл экологиялық бастама қолдау тапты.
畅通	ашық	Жаңбыр тоқтағаннан кейін жол қайта ашылды.
畅销	жақсы сатылу	Бұл роман өте жақсы сатылады.
超越	асып түсу	Ол ақыры өз рекордынан асып түсті.
钞票	банкнот	Әмиянда бірнеше банкнот қана қалды.
嘲笑	мазақ ету	Басқалардың кемшілігін мазақ етпе.
巢穴	ін	Аңшы жануардың інін тапты.
朝代	әулет	Таң әулеті Қытай тарихындағы бір әулет.
潮流	ағым	Жастар сән ағымына қатты назар аударады.
撤退	шегіну	Әскер бұйрық алғаннан кейін шегінді.
撤销	күшін жою	Сот бұрынғы үкімнің күшін жойды.
沉淀	тұну	Лай біртіндеп түбіне тұнады.
沉闷	қапырық	Бүгін ауа райы әрі ыстық, әрі қапырық.
沉思	ойға шому	Ол терезе жанында отырып ойға шомды.
沉重	ауыр	Бұл хабар бәрінің көңілін ауырлатты.
沉着	сабырлы	Қауіпке тап болғанда сабырлы болу керек.
陈旧	ескірген	Бұл машина әбден ескірген.
陈列	көрмеге қою	Көрме залында көптеген мәдени жәдігер қойылған.
陈述	баяндау	Фактілерді анық баяндаңыз.
称心如意	көңілден шығу	Бұл жұмыс оның көңілінен толық шықты.
衬托	айқындау	Ақ қабырға гүлдің түсін айқындап тұр.
称号	атақ	Ол үздік мұғалім атағын алды.
乘	міну	Мен күн сайын метроға мініп жұмысқа барамын.
呈现	рең беру	Аспан бозғылт қызыл рең берді.
城堡	қамал	Тау басында ескі қамал бар.
惩罚	жазалау	Мектеп көшірген оқушыларды жазалайды.
成本	шығын	Шикізат бағасының өсуі шығынды арттырды.
成交	мәміле жасау	Бұл сауда мәмілесі ақыры жасалды.
成天	күні бойы	Ол күні бойы компьютер алдында отырады.
成效	нәтиже	Жаңа басқару әдісі көп ұзамай нәтиже көрсетті.
成心	әдейі	Ол сені әдейі ыңғайсыз жағдайға қалдырған жоқ.
成员	мүше	Әрбір мүше жиналысқа қатысуы керек.
承办	ұйымдастыру	Бұл компания көрмені ұйымдастырды.
承包	мердігерлікке алу	Олар бұл жобаны мердігерлікке алды.
承诺	уәде беру	Ол тапсырманы уақытында аяқтауға уәде берді.
橙	апельсин	Мен бірнеше жаңа апельсин сатып алдым.
澄清	түсіндіру	Менеджер шығып, түсінбеушілікті түсіндірді.
盛	құю	Ол қонаққа бір кесе сорпа құйып берді.
诚挚	шын жүректен	Менің шын жүректен алғысымды қабыл алыңыз.
秤	таразы	Бұл таразы онша дәл емес.
吃苦	қиындыққа төзу	Жастар қиындыққа төзуді үйренуі керек.
吃力	күш түсу	Бұл қорапты көтеру өте күш түсіреді.
持久	ұзаққа созылатын	Табыс ұзаққа созылатын еңбекті қажет етеді.
迟钝	баяу	Соңғы кезде оның реакциясы сәл баяу.
迟缓	баяулау	Жаңбырдан кейін көлік қозғалысы баяулады.
迟疑	кідіру	Ол жауап бермес бұрын бір сәт кідірді.
赤道	экватор	Экватор маңында жыл бойы ыстық болады.
赤字	тапшылық	Компания биыл тапшылыққа ұшырады.
充当	рөл атқару	Ол жобада үйлестіруші рөлін атқарды.
充沛	мол	Балалардың қуаты өте мол.
充实	мазмұнды	Бұл тәжірибе менің өмірімді мазмұндырақ етті.
充足	жеткілікті	Сапар алдында жеткілікті су дайындау керек.
冲动	қызбалық	Бір сәттік қызбалықпен шешім қабылдама.
冲击	әсер ету	Жаңа технология дәстүрлі салаларға қатты әсер етті.
冲突	қақтығыс	Екі тарап қақтығыстан аулақ болуға тырысты.
崇拜	табыну	Көптеген жас бұл ғалымға табынады.
崇高	асқақ	Дәрігердің міндеті асқақ.
崇敬	құрметтеу	Оқушылардың бәрі бұл мұғалімді қатты құрметтейді.
重叠	қабаттасу	Бұл екі тапсырма ішінара қабаттасады.
稠密	тығыз	Бұл жерде халық өте тығыз орналасқан.
筹备	дайындау	Олар үйлену тойын дайындап жатыр.
丑恶	сұмдық	Ол оқиғаның артындағы сұмдық шындықты әшкереледі.
出路	жол	Білім жастарға көбірек жол ашады.
出卖	сату	Ол досын сатпайды.
出身	шыққан тегі	Ол қарапайым отбасынан шыққан.
出神	еліту	Ол музыка тыңдап қатты елітіп кетті.
出息	болашағы бар	Бұл баланың болашағы бар.
初步	алдын ала	Біз алдын ала келісімге келдік.
除	қоспағанда	Одан басқа бәрі келді.
储备	қор жинау	Компания көбірек қаржы қорын жинауы керек.
储存	сақтау	Бұл деректер автоматты түрде сақталады.
储蓄	жинақтау	Ол ай сайын жалақысының бір бөлігін жинақтайды.
处分	тәртіптік жаза	Мектеп оған қатаң тәртіптік жаза берді.
处境	жағдай	Олардың қазіргі жағдайы өте қиын.
处置	өңдеу	Бұл ескі жабдықтарды дұрыс өңдеу керек.
触犯	бұзу	Бұлай істеу заңды бұзады.
川流不息	толассыз ағылу	Көшедегі көліктер толассыз ағылып жатыр.
穿越	кесіп өту	Пойыз ұзын туннельді кесіп өтті.
传达	жеткізу	Бұл хабарды бәріне жеткізіңіз.
传单	парақша	Еріктілер көшеде парақша таратты.
传授	үйрету	Мұғалім оқушыларға тәжірибесін үйретті.
船舶	кемелер	Портта көптеген кеме тұр.
喘气	ентігу	Ол жүгіріп болған соң тоқтамай ентікті.
串	тізу	Ол моншақтарды тізіп, алқа жасады.
床单	жайма	Жайманы ауыстырып беріңіз.
创立	құру	Олар бұл компанияны бірге құрды.
创新	жаңашылдық енгізу	Кәсіпорынның дамуы үздіксіз жаңашылдық енгізуді қажет етеді.
创业	кәсіп бастау	Көптеген жас кәсіп бастауды таңдайды.
创作	шығармашылықпен айналысу	Жазушы ұзақ роман жазып жатыр.
吹牛	мақтану	Мақтанба, дәлеліңді көрсет.
吹捧	асыра мақтау	Бұқаралық ақпарат құралдары бұл өнімді асыра мақтады.
炊烟	ошақ түтіні	Кешке ауылдан ошақ түтіні көтерілді.
垂直	тік	Бұл екі сызық бір-біріне тік.
锤	балға	Жұмысшы темір табақты балғамен соқты.
纯粹	таза	Оның көмегі таза ізгі ниеттен болды.
纯洁	пәк	Баланың жүрегі өте пәк.
慈善	қайырымдылық	Бұл кәсіпорын қайырымдылық шараларына жиі қатысады.
慈祥	мейірімді	Әжемнің күлкісі өте мейірімді.
磁带	магнитті таспа	Бұл ескі магнитті таспа әлі ойнатылады.
雌雄	еркек және ұрғашы	Бұл құстың еркегі мен ұрғашысының түсі әртүрлі.
伺候	күту	Мейіргер науқасты мұқият күтті.
刺	тікен	Раушан бұтағында көп тікен бар.
次品	ақаулы өнім	Бұл ақаулы өнімдерді сатуға болмайды.
次序	рет	Рет бойынша кезекке тұрыңыз.
丛	шоқ	Жол жиегінде бір шоқ жабайы гүл бар.
从容	сабырлы	Ол сұраққа сабырлы түрде жауап берді.
凑合	амалдау	Бөлме үлкен емес, бірақ тұруға жарайды.
粗鲁	дөрекі	Ол тым дөрекі сөйлейді.
窜	зымырап кіру	Мысық бірден үйге зымырап кірді.
摧残	күйрету	Ұзақ мерзімді ластану бұл орманды күйретеді.
脆弱	нәзік	Шыны бұйымдар өте нәзік болады.
搓	уқалау	Ол тоңған қолдарын уқалады.
磋商	кеңесу	Екі тарап кеңесуді жалғастырады.
挫折	сәтсіздік	Әр адам сәтсіздікке тап болады.
搭	міну	Біз әуежайға автобусқа мініп барамыз.
搭档	серіктес	Ол менің көп жылғы жұмыс серіктесім.
搭配	үйлесу	Бұл сырт киім мен шалбар жақсы үйлеседі.
答辩	қорғау	Магистрант диссертация қорғауға дайындалып жатыр.
答复	жауап	Маған мүмкіндігінше тез жауап беріңіз.
达成	қол жеткізу	Екі тарап ақыры келісімге қол жеткізді.
打包	орап беру	Даяшы бізге қалған тамақты орап берді.
打官司	соттасу	Олар келісімшарт мәселесі үшін соттасты.
打击	соққы	Бұл сәтсіздік оған үлкен соққы болды.
打架	төбелесу	Мектеп аумағында төбелескен оқушылар жаза алады.
打量	көзбен шолу	Ол мені жоғарыдан төменге дейін көзбен шолып өтті.
打猎	аң аулау	Бұл жерде аң аулауға тыйым салынады.
打仗	соғысу	Ешкім соғысқысы келмейді.
大不了	ең жаманы	Ең жаманы, ертең тағы бір рет сынап көреміз.
大臣	министр	Патша бірнеше министрді қабылдады.
大伙儿	бәрі	Бәрі сенің шешіміңді күтіп отыр.
大肆	кең көлемде	Саудагер жаңа өнімді кең көлемде жарнамалады.
大体	негізінен	Жоспарда негізінен мәселе жоқ.
大意	негізгі ой	Алдымен осы мақаланың негізгі ойын айтып беріңіз.
大致	шамамен	Мен істің барысын шамамен түсіндім.
歹徒	қылмыскер	Полиция қылмыскерді тез ұстады.
代价	құн	Табыс көбіне құн төлеуді қажет етеді.
代理	уақытша атқару	Ол менеджердің жұмысын уақытша атқарып жүр.
带领	бастап бару	Мұғалім оқушыларды музейге бастап барды.
怠慢	елемеу	Біз қонақтарды елемей қоюға болмайды.
逮捕	қамауға алу	Полиция негізгі күдіктіні қамауға алды.
担保	кепілдік беру	Банк біреудің кепілдік беруін талап етеді.
胆怯	жасқаншақ	Алғашқы сөз сөйлегенде ол сәл жасқаншақ болды.
淡季	маусымаралық кезең	Туризмнің маусымаралық кезеңінде әуе билеттері арзанырақ.
淡水	тұщы су	Бұл балық тек тұщы суда өмір сүре алады.
蛋白质	ақуыз	Жұмыртқада ақуыз көп.
诞辰	туған күні	Бүгін осы жазушының туған күні.
诞生	пайда болу	Бұл идея талқылау кезінде пайда болды.
当场	сол жерде	Ол қатесін сол жерде мойындады.
当初	бастапқыда	Бастапқыда біз бұл шешімді бәріміз қолдадық.
当代	қазіргі заман	Қазіргі қоғам өте тез өзгереді.
当面	бетпе-бет	Мәселе болса, бетпе-бет анық айтқан дұрыс.
当前	қазіргі	Қазіргі ең маңызды нәрсе - қауіпсіздікті қамтамасыз ету.
当事人	қатысты адам	Полиция қатысты адамнан сұрақ алып жатыр.
当务之急	шұғыл міндет	Тұрғын үй мәселесін шешу - шұғыл міндет.
当选	сайлану	Ол төраға болып сәтті сайланды.
党	партия	Бұл партия жаңа саясат ұсынды.
档案	мұрағаттық іс	Мектеп оқушылардың мұрағаттық істерін сақтады.
档次	деңгей	Бұл қонақүйдің деңгейі жоғары.
倒闭	жабылып қалу	Ол шағын дүкен былтыр жабылып қалды.
导弹	зымыран	Жаңалықта зымыран сынағы хабарланды.
导航	навигация	Телефондағы навигацияны қосыңыз.
导向	бағытталу	Білім саясаты әділдікке бағытталуы керек.
捣乱	бұзақылық жасау	Сабақта бұзақылық жасамаңыз.
盗窃	ұрлық	Сауда орталығы ұрлықтың алдын алу шараларын күшейтті.
稻谷	күріш егісі	Диқаншылар күріш егісін орып жатыр.
得不偿失	шығыны пайдасынан көп болу	Ақша үнемдеу үшін сапасыз материал алу шығыны пайдасынан көп болады.
得力	қабілетті	Ол менеджердің жанындағы қабілетті көмекші.
得天独厚	ерекше артықшылыққа ие	Бұл қала ерекше географиялық артықшылыққа ие.
得罪	ренжіту	Мен ұсақ-түйек үшін әріптестерімді ренжіткім келмейді.
灯笼	шамшырақ	Көктем мерекесінде есік алдында қызыл шамшырақтар ілініп тұрады.
登录	кіру	Алдымен өз аккаунтыңызға кіріңіз.
登陆	жағаға шығу	Тайфун бүгін кешке жағалау аймағына шығуы мүмкін.
蹬	тіреп тебу	Ол аяғымен қатты тіреп тепкенде, велосипед қозғалды.
等候	күту	Жолаушылар залда ұшаққа отыруды күтіп отыр.
等级	деңгей	Бұл бағдарламада мүшеліктің әртүрлі деңгейлері бар.
瞪	алару	Ол маған ашуланып бір қарады.
堤坝	бөгет	Қатты жаңбырдан кейін бөгетті мұқият тексеру керек.
敌视	жаулықпен қарау	Біз өзгеше пікірге жаулықпен қарамауымыз керек.
抵达	жету	Ұшақ Пекинге уақытында жетті.
抵抗	қарсы тұру	Ауыл тұрғындары тасқынға бірге қарсы тұрды.
抵制	бойкот жасау	Тұтынушылар сапасыз өнімдерге бойкот жасай бастады.
地步	дәрежеге жету	Іс әлі ондай ауыр дәрежеге жеткен жоқ.
地势	жер бедері	Бұл жердің бедері биік, сондықтан су оңай жиналмайды.
地质	геология	Мамандар жергілікті геологиялық жағдайды зерттеп жатыр.
递增	біртіндеп өсу	Сату көлемі үш ай қатарынан біртіндеп өсті.
颠簸	селкілдеу	Тау жолы қатты селкілдетеді, көлікті абайлап айдау керек.
