source_headword	KM	example_KM
impossible	មិនអាចទៅរួច	ល្បែងផ្គុំរូបនេះហាក់ដូចជាមិនអាចទៅរួច។
included	រួមបញ្ចូល	អាហារពេលព្រឹកត្រូវបានរួមបញ្ចូល។
including	រួមទាំង	មានមនុស្សដប់នាក់មករួមទាំងខ្ញុំ។
increase	កើនឡើង;បង្កើន	តម្លៃកើនឡើងនៅរដូវក្តៅ។
incredible	អស្ចារ្យ	ទិដ្ឋភាពនេះអស្ចារ្យ។
independent	ឯករាជ្យ	បងស្រីខ្ញុំឯករាជ្យ។
individual	បុគ្គល;រៀងៗខ្លួន	បុគ្គលនីមួយៗមានលេខ។
industry	ឧស្សាហកម្ម	ឧស្សាហកម្មក្នុងតំបន់កំពុងរីកចម្រើន។
informal	មិនផ្លូវការ	អ៊ីមែលនេះមិនផ្លូវការ។
injury	របួស	របួសរបស់គាត់មិនធ្ងន់ទេ។
insect	សត្វល្អិត	សត្វល្អិតមួយចុះលើពែង។
inside	ខាងក្នុង	រង់ចាំខាងក្នុងផ្ទះ។
instead	ជំនួសវិញ	ផឹកទឹកជំនួសវិញ។
instruction	ការណែនាំ	អានការណែនាំរាល់ចំណុចដោយប្រុងប្រយ័ត្ន។
instructor	គ្រូណែនាំ	គ្រូណែនាំបានពន្យល់លំហាត់។
instrument	ឧបករណ៍តន្ត្រី	នាងលេងឧបករណ៍តន្ត្រីមួយ។
intelligent	ឆ្លាត	គាត់ជាសិស្សឆ្លាត។
international	អន្តរជាតិ	នេះជាព្រលានយន្តហោះអន្តរជាតិ។
introduction	ការណែនាំដំបូង	ការណែនាំដំបូងខ្លី។
invent	បង្កើតថ្មី	កុមារអាចបង្កើតហ្គេមថ្មី។
invention	ការបង្កើតថ្មី	ការបង្កើតថ្មីនេះសន្សំពេល។
invitation	ការអញ្ជើញ	ខ្ញុំបានទទួលការអញ្ជើញ។
invite	អញ្ជើញ	អញ្ជើញមិត្តរបស់អ្នកផងដែរ។
involve	ពាក់ព័ន្ធនឹង	ការងារនេះនឹងពាក់ព័ន្ធនឹងការធ្វើដំណើរ។
item	វត្ថុមួយ	ជ្រើសរើសវត្ថុមួយ។
itself	ខ្លួនវាផ្ទាល់	ម៉ាស៊ីនបិទដោយខ្លួនវាផ្ទាល់។
jam	យៈសាពូនមី	ដាក់យៈសាពូនមីលើនំប៉័ង។
jazz	តន្ត្រីហ្សាស	តន្ត្រីហ្សាសស្តាប់ទៅល្អយប់នេះ។
jewellery	គ្រឿងអលង្ការ	នាងរក្សាគ្រឿងអលង្ការក្នុងប្រអប់។
joke	រឿងកំប្លែង	ប្រាប់ខ្ញុំរឿងកំប្លែងមួយ។
journalist	អ្នកសារព័ត៌មាន	អ្នកសារព័ត៌មានបានសួរសំណួរ។
jump	លោត	លោតរំលងបន្ទាត់។
kid	ក្មេង	ក្មេងកំពុងសើច។
kill	សម្លាប់	កុំសម្លាប់សត្វល្អិត។
king	ស្តេច	ស្តេចរស់នៅក្នុងរាជវាំង។
knee	ជង្គង់	ជង្គង់ខ្ញុំឈឺ។
knife	កាំបិត	ប្រើកាំបិតមុត។
knock	គោះ	គោះមុនចូល។
knowledge	ចំណេះដឹង	ចំណេះដឹងកើនឡើងតាមការហាត់។
lab	មន្ទីរពិសោធន៍	មន្ទីរពិសោធន៍បិទ។
lady	ស្ត្រី	ស្ត្រីនោះញញឹមដាក់យើង។
lake	បឹង	បឹងស្ងប់ស្ងាត់។
lamp	ចង្កៀង	បើកចង្កៀង។
laptop	កុំព្យូទ័រយួរដៃ	កុំព្យូទ័រយួរដៃខ្ញុំថ្មី។
last1 (taking time)	មានរយៈពេល	ភាពយន្តមានរយៈពេលពីរម៉ោង។
laughter	សំណើច	យើងបានឮសំណើចខាងក្រៅ។
law	ច្បាប់	ច្បាប់បានប្ដូរម្សិលមិញ។
lawyer	មេធាវី	មេធាវីបានទូរស័ព្ទមកខ្ញុំ។
lazy	ខ្ជិល	កុំខ្ជិល។
lead1	ដឹកនាំ	មេដឹកនាំល្អដឹកនាំដោយគំរូ។
leader	មេដឹកនាំ	នាងជាមេដឹកនាំក្រុម។
learning	ការរៀន	ការរៀនត្រូវការពេលវេលា។
least	តិចបំផុត	ជ្រើសរើសមួយដែលថោកបំផុត។
lecture	បាឋកថា	បាឋកថាចាប់ផ្តើមម៉ោងដប់។
lemon	ក្រូចឆ្មារ	បន្ថែមក្រូចឆ្មារទៅក្នុងតែ។
lend	ឲ្យខ្ចី	អ្នកអាចឲ្យខ្ញុំខ្ចីប្រាំដុល្លារ។
less	តិចជាង	ញ៉ាំស្ករតិចជាងមុន។
level	កម្រិត	កម្រិតនេះងាយ។
lifestyle	របៀបរស់នៅ	គាត់មានរបៀបរស់នៅមានសុខភាពល្អ។
lift	លើក	លើកប្រអប់ដោយប្រុងប្រយ័ត្ន។
light	អុជ	អុជទៀនដោយប្រុងប្រយ័ត្ន។
light (not heavy)	ស្រាល	កាបូបនេះស្រាល។
likely	ទំនង	ភ្លៀងទំនងធ្លាក់ថ្ងៃស្អែក។
link	តំណ	ផ្ញើតំណឲ្យខ្ញុំ។
listener	អ្នកស្តាប់	ធ្វើជាអ្នកស្តាប់ល្អ។
lock	ចាក់សោ	ចាក់សោទ្វារ។
lorry	ឡានដឹកទំនិញ	ឡានដឹកទំនិញបានដឹកប្រអប់។
lost	វង្វេង	យើងវង្វេង។
loud	ខ្លាំង	តន្ត្រីនេះឮខ្លាំង។
loudly	យ៉ាងខ្លាំង	សូមកុំនិយាយយ៉ាងខ្លាំង។
lovely	គួរឲ្យស្រឡាញ់	សួននេះគួរឲ្យស្រឡាញ់។
low	ទាប	កៅអីនេះទាប។
luck	សំណាង	សំណាងល្អសម្រាប់ការប្រឡង។
lucky	មានសំណាង	អ្នកមានសំណាងថ្ងៃនេះ។
mail	សំបុត្រ	ខ្ញុំបានទទួលសំបុត្រព្រឹកនេះ។
major	សំខាន់;ធំ	នេះជាបញ្ហាសំខាន់។
male	ឈ្មោល;បុរស	បក្សីឈ្មោលមានពណ៌ភ្លឺ។
manage	គ្រប់គ្រង;អាចធ្វើបាន	អ្នកអាចធ្វើការងារនេះបាន។
manager	អ្នកគ្រប់គ្រង	អ្នកគ្រប់គ្រងរវល់។
manner	របៀប;អាកប្បកិរិយា	និយាយដោយរបៀបសុភាព។
mark	សម្គាល់	សម្គាល់ចម្លើយរបស់អ្នកឲ្យច្បាស់។
marry	រៀបការ	ពួកគេនឹងរៀបការនៅខែមិថុនា។
material	សម្ភារៈ;ក្រណាត់	សម្ភារៈនេះមានអារម្មណ៍ទន់។
mathematics	គណិតវិទ្យា	គណិតវិទ្យាជាមុខវិជ្ជាដែលខ្ញុំចូលចិត្តបំផុត។
maths	គណិតវិទ្យា	គណិតវិទ្យាពិបាកសម្រាប់ខ្ញុំ។
matter	សំខាន់;បញ្ហា	វាមិនសំខាន់ទេ។
may modal	អាច	អ្នកអាចចាកចេញឥឡូវ។
media	ប្រព័ន្ធផ្សព្វផ្សាយ	ប្រព័ន្ធផ្សព្វផ្សាយបានរាយការណ៍រឿងនេះ។
medical	វេជ្ជសាស្ត្រ	នាងត្រូវការជំនួយវេជ្ជសាស្ត្រ។
medicine	ថ្នាំ	លេបថ្នាំនេះក្រោយអាហារថ្ងៃត្រង់។
memory	ការចងចាំ	ការចងចាំរបស់ខ្ញុំល្អ។
mention	លើកឡើង	កុំលើកឡើងឈ្មោះខ្ញុំ។
metal	លោហៈ	ទ្វារនេះធ្វើពីលោហៈ។
method	វិធីសាស្ត្រ	វិធីសាស្ត្រនេះដំណើរការល្អ។
middle	កណ្តាល	ឈរនៅកណ្តាល។
might modal	អាចនឹង	វាអាចនឹងភ្លៀងពេលក្រោយ។
mind	ចិត្ត;គំនិត	ខ្ញុំបានប្តូរចិត្ត។
mine (belongs to me)	របស់ខ្ញុំ	សៀវភៅនេះជារបស់ខ្ញុំ។
mirror	កញ្ចក់	មើលក្នុងកញ្ចក់។
missing	បាត់	កូនសោរបស់ខ្ញុំបាត់។
mobile	ទូរស័ព្ទចល័ត	ទូរស័ព្ទចល័តខ្ញុំនៅលើតុ។
monkey	ស្វា	ស្វាបានឡើងដើមឈើ។
moon	ព្រះចន្ទ	ព្រះចន្ទភ្លឺ។
mostly	ភាគច្រើន	ថ្នាក់នេះស្ងាត់ភាគច្រើន។
motorcycle	ម៉ូតូ	គាត់ជិះម៉ូតូ។
movement	ចលនា	ខ្ញុំបានឃើញចលនាក្នុងដើមឈើ។
musical	តន្ត្រី;ជាតន្ត្រី	នេះជាភាពយន្តតន្ត្រី។
musician	តន្ត្រីករ	តន្ត្រីករបានលេងហ្គីតា។
myself	ខ្លួនខ្ញុំផ្ទាល់	ខ្ញុំបានធ្វើវាដោយខ្លួនខ្ញុំ។
narrow	ចង្អៀត	ផ្លូវនេះចង្អៀត។
national	ជាតិ	ថ្ងៃនេះជាថ្ងៃឈប់សម្រាកជាតិ។
nature	ធម្មជាតិ	ខ្ញុំស្រឡាញ់ធម្មជាតិ។
nearly	ជិត	យើងជិតដល់ហើយ។
necessary	ចាំបាច់	នេះចាំបាច់ទេ។
neck	ក	កខ្ញុំឈឺ។
neither	ទាំងពីរមិន	ចម្លើយទាំងពីរមិនត្រឹមត្រូវ។
nervous	ភ័យ	នាងមានអារម្មណ៍ភ័យ។
network	បណ្តាញ	បណ្តាញខូច។
noise	សំឡេងរំខាន	ខ្ញុំបានឮសំឡេងរំខានខ្លាំង។
noisy	មានសំឡេងរំខាន	ផ្លូវនេះមានសំឡេងរំខាន។
none	គ្មានមួយណា	គ្មានពួកគេមកទេ។
normal	ធម្មតា	នេះជារឿងធម្មតា។
normally	ជាធម្មតា	ជាធម្មតាខ្ញុំភ្ញាក់ពីព្រលឹម។
notice	កត់សម្គាល់	អ្នកបានកត់សម្គាល់សញ្ញានោះទេ។
novel	ប្រលោមលោក	នាងបានសរសេរប្រលោមលោកមួយ។
nowhere	គ្មានកន្លែងណា	គ្មានកន្លែងណាសម្រាប់អង្គុយទេ។
nut	គ្រាប់	គ្រាប់នេះរឹង។
ocean	មហាសមុទ្រ	មហាសមុទ្រជ្រៅ។
offer	ការផ្តល់ជូន	ខ្ញុំបានទទួលការផ្តល់ជូន។
officer	មន្ត្រី	មន្ត្រីបានពិនិត្យសំបុត្រខ្ញុំ។
oil	ប្រេង	បន្ថែមប្រេងទៅក្នុងខ្ទះ។
onto	ទៅលើ	ដាក់វាទៅលើធ្នើ។
opportunity	ឱកាស	នេះជាឱកាសល្អ។
option	ជម្រើស	ជ្រើសរើសជម្រើសល្អបំផុត។
ordinary	ធម្មតា	វាជាថ្ងៃធម្មតាមួយ។
organization	អង្គការ	អង្គការជួយសិស្ស។
organize	រៀបចំ	សូមរៀបចំឯកសារ។
original	ដើម	រក្សាវិក្កយបត្រដើម។
ourselves	ខ្លួនយើងផ្ទាល់	យើងបានចម្អិនអាហារពេលល្ងាចដោយខ្លួនយើង។
oven	ឡដុត	ឡដុតក្តៅ។
owner	ម្ចាស់	ម្ចាស់បានបើកហាង។
pack	រៀបចំកាបូប;កញ្ចប់	រៀបចំកាបូបអ្នកឥឡូវ។
pain	ការឈឺចាប់	ខ្ញុំមានការឈឺចាប់នៅខ្នង។
painter	ជាងគំនូរ	ជាងគំនូរបានបញ្ចប់ជញ្ជាំង។
palace	រាជវាំង	រាជវាំងចាស់។
pants	ខោ	ខោនេះវែងពេក។
parking	ចំណតរថយន្ត	ចំណតរថយន្តពិបាកនៅទីនេះ។
particular	ជាក់លាក់	ខ្ញុំត្រូវការសៀវភៅជាក់លាក់មួយ។
pass	ហុច;ឆ្លងកាត់	ហុចអំបិលឲ្យខ្ញុំ។
passenger	អ្នកដំណើរ	អ្នកដំណើររាល់គ្នាត្រូវការសំបុត្រ។
patient	អត់ធ្មត់;អ្នកជំងឺ	អត់ធ្មត់ជាមួយកុមារ។
pattern	លំនាំ	លំនាំនេះសាមញ្ញ។
peace	សន្តិភាព	យើងទាំងអស់គ្នាចង់បានសន្តិភាព។
penny	កាក់តូច	ខ្ញុំបានរកឃើញកាក់តូចមួយ។
per	ក្នុងម្នាក់;ក្នុងមួយ	សំបុត្រមានតម្លៃដប់ដុល្លារក្នុងម្នាក់។
per cent	ភាគរយ	ប្រាំភាគរយគឺតូច។
perform	សម្តែង	ក្រុមតន្ត្រីនឹងសម្តែងយប់នេះ។
perhaps	ប្រហែលជា	ប្រហែលជានាងនៅផ្ទះ។
permission	ការអនុញ្ញាត	សុំការអនុញ្ញាតជាមុន។
personality	បុគ្គលិកលក្ខណៈ	គាត់មានបុគ្គលិកលក្ខណៈរួសរាយ។
pet	សត្វចិញ្ចឹម	សត្វចិញ្ចឹមរបស់ខ្ញុំជាឆ្មា។
petrol	ប្រេងសាំង	រថយន្តត្រូវការប្រេងសាំង។
physical	រាងកាយ	លំហាត់រាងកាយជួយសុខភាព។
physics	រូបវិទ្យា	រូបវិទ្យាពិបាក។
pick	ជ្រើសរើស	ជ្រើសរើសកាតមួយ។
pilot	អ្នកបើកយន្តហោះ	អ្នកបើកយន្តហោះនិយាយច្បាស់។
planet	ភព	ផែនដីជាភពមួយ។
plastic	ប្លាស្ទិក	ដបនេះធ្វើពីប្លាស្ទិក។
plate	ចាន	ដាក់អាហារលើចាន។
platform	វេទិកា;ចំណតរថភ្លើង	រង់ចាំនៅចំណតរថភ្លើងលេខពីរ។
pleased	រីករាយ	ខ្ញុំរីករាយដែលបានជួបអ្នក។
pocket	ហោប៉ៅ	សំបុត្រនៅក្នុងហោប៉ៅខ្ញុំ។
polite	សុភាព	សុភាពជាមួយមនុស្សគ្រប់គ្នា។
pollution	ការបំពុល	ការបំពុលបំផ្លាញមហាសមុទ្រ។
pop	តន្ត្រីប៉ុប	ខ្ញុំចូលចិត្តតន្ត្រីប៉ុប។
population	ចំនួនប្រជាជន	ចំនួនប្រជាជនកំពុងកើនឡើង។
position	ទីតាំង	ប្តូរទីតាំងរបស់អ្នក។
possession	ទ្រព្យសម្បត្តិ	ចិញ្ចៀននេះជាទ្រព្យសម្បត្តិរបស់ខ្ញុំ។
possibility	លទ្ធភាព	មានលទ្ធភាពនៃភ្លៀង។
poster	ផ្ទាំងរូបភាព	ដាក់ផ្ទាំងរូបភាពលើជញ្ជាំង។
power	ថាមពល	កុំព្យូទ័រត្រូវការថាមពល។
predict	ព្យាករ	យើងមិនអាចព្យាករអាកាសធាតុបាន។
president	ប្រធានាធិបតី	ប្រធានាធិបតីបានថ្លែងសុន្ទរកថា។
prevent	ការពារ	លាងដៃដើម្បីការពារជំងឺ។
print	បោះពុម្ព	បោះពុម្ពឯកសារ។
printer	ម៉ាស៊ីនបោះពុម្ព	ម៉ាស៊ីនបោះពុម្ពខូច។
prison	ពន្ធនាគារ	គាត់បានទៅពន្ធនាគារ។
prize	រង្វាន់	នាងឈ្នះរង្វាន់មួយ។
process	ដំណើរការ	ដំណើរការនេះត្រូវការពេល។
produce	ផលិត	កសិដ្ឋានផលិតអាហារ។
professional	វិជ្ជាជីវៈ;អ្នកជំនាញ	នាងជាអ្នករាំអាជីព។
professor	សាស្ត្រាចារ្យ	សាស្ត្រាចារ្យបានឆ្លើយសំណួរ។
profile	ប្រវត្តិរូប	ធ្វើបច្ចុប្បន្នភាពប្រវត្តិរូបអ្នក។
program	កម្មវិធី	កម្មវិធីចាប់ផ្តើមឥឡូវ។
progress	វឌ្ឍនភាព	យើងបានមានវឌ្ឍនភាពថ្ងៃនេះ។
promise	សន្យា	រក្សាសន្យារបស់អ្នក។
pronounce	បញ្ចេញសំឡេង	សូមបញ្ចេញសំឡេងពាក្យនេះ។
protect	ការពារ	ការពារភ្នែករបស់អ្នក។
provide	ផ្តល់	ពួកគេផ្តល់ទឹកឥតគិតថ្លៃ។
pub	ហាងស្រា	យើងបានជួបគ្នានៅហាងស្រា។
public	សាធារណៈ	ឧទ្យាននេះសាធារណៈ។
publish	បោះពុម្ពផ្សាយ	ពួកគេបោះពុម្ពផ្សាយទស្សនាវដ្តីមួយ។
pull	ទាញ	ទាញទ្វារ។
purpose	គោលបំណង	គោលបំណងគឺអ្វី។
push	រុញ	រុញប៊ូតុង។
quality	គុណភាព	គុណភាពខ្ពស់។
quantity	បរិមាណ	ពិនិត្យបរិមាណ។
queen	មហាក្សត្រី	មហាក្សត្រីបានគ្រវីដៃ។
quietly	យ៉ាងស្ងៀមស្ងាត់	និយាយយ៉ាងស្ងៀមស្ងាត់។
race (competition)	ការប្រណាំង	ការប្រណាំងចាប់ផ្តើមឆាប់ៗ។
railway	ផ្លូវដែក	ផ្លូវដែកបិទ។
raise	លើកឡើង	លើកដៃរបស់អ្នក។
rate	អត្រា	អត្រាសណ្ឋាគារខ្ពស់។
rather	គួរសម;ជាង	ខ្ញុំហត់គួរសម។
reach	ឈានដល់	អ្នកអាចឈានដល់ធ្នើបាន។
react	ប្រតិកម្ម	គាត់បានប្រតិកម្មយ៉ាងដូចម្តេច។
realize	ដឹង	ខ្ញុំដឹងកំហុសរបស់ខ្ញុំ។
receive	ទទួល	អ្នកបានទទួលសារខ្ញុំទេ។
recent	ថ្មីៗនេះ	នេះជារូបថតថ្មីៗនេះ។
recently	ថ្មីៗនេះ	ខ្ញុំបានផ្លាស់ទីថ្មីៗនេះ។
reception	ការទទួលភ្ញៀវ	ការទទួលភ្ញៀវនៅថ្ងៃចន្ទ។
recipe	រូបមន្តម្ហូប	រូបមន្តនេះងាយ។
recognize	ស្គាល់	ខ្ញុំស្គាល់បទចម្រៀងនោះ។
recommend	ណែនាំ	ខ្ញុំណែនាំសៀវភៅនេះ។
record	កំណត់ត្រា	រក្សាកំណត់ត្រានៃការបង់ប្រាក់។
recording	ការថតសំឡេង	ការថតសំឡេងស្តាប់ទៅច្បាស់។
recycle	កែច្នៃឡើងវិញ	កែច្នៃក្រដាសនិងប្លាស្ទិកឡើងវិញ។
reduce	កាត់បន្ថយ	កាត់បន្ថយកម្តៅ។
refer	យោងទៅ	យោងទៅទំព័រទីពីរ។
refuse1	បដិសេធ	ខ្ញុំបដិសេធមិនកុហក។
region	តំបន់	តំបន់នេះត្រជាក់។
regular	ទៀងទាត់	គាត់ជាអតិថិជនទៀងទាត់។
relationship	ទំនាក់ទំនង	ទំនាក់ទំនងរបស់ពួកគេរឹងមាំ។
remove	ដកចេញ	ដកស្បែកជើងរបស់អ្នកចេញ។
repair	ជួសជុល	ជួសជុលកង់ថ្ងៃនេះ។
replace	ជំនួស	ជំនួសថ្មចាស់។
reply	ឆ្លើយតប	សូមឆ្លើយតបឆាប់ៗ។
reporter	អ្នករាយការណ៍	អ្នករាយការណ៍បានកត់ចំណាំ។
request	សំណើ	ខ្ញុំបានធ្វើសំណើមួយ។
research	ស្រាវជ្រាវ	យើងស្រាវជ្រាវប្រវត្តិសាស្ត្រក្នុងតំបន់។
researcher	អ្នកស្រាវជ្រាវ	អ្នកស្រាវជ្រាវបានពិនិត្យទិន្នន័យ។
respond	ឆ្លើយតប	សូមឆ្លើយតបថ្ងៃនេះ។
response	ការឆ្លើយតប	ការឆ្លើយតបរបស់នាងរហ័ស។
rest (remaining part)	ផ្នែកដែលនៅសល់	ញ៉ាំផ្នែកដែលនៅសល់ពេលក្រោយ។
rest (sleep/relax)	សម្រាក	អ្នកត្រូវសម្រាក។
review	ពិនិត្យឡើងវិញ	ពិនិត្យកំណត់ចំណាំរបស់អ្នកឡើងវិញយប់នេះ។
ring1	ចិញ្ចៀន	នាងពាក់ចិញ្ចៀនមាស។
ring2	ទូរស័ព្ទទៅ	ទូរស័ព្ទមកខ្ញុំក្រោយអាហារថ្ងៃត្រង់។
rise	កើនឡើង	តម្លៃកើនឡើងរាល់ឆ្នាំ។
rock (stone)	ថ្ម	ថ្មនេះធ្ងន់។
