source_headword	TR	example_TR
unprecedented	eşi görülmemiş	Fırtına eşi görülmemiş bir hasara yol açtı.
unveil	tanıtmak	Şirket tasarımı yarın tanıtacak.
upcoming	yaklaşan	Yaklaşan seçimler halkın dikkatini çekti.
upgrade	yükseltmek	Yazılımı dün gece yükselttik.
uphold	onamak	İlk kararı onuyoruz.
utility	fatura	Daireye tüm fatura masrafları dahildir.
utilize	yararlanmak	Takım mevcut verilerden yararlandı.
utterly	tamamen	Açıklama tamamen kafa karıştırıcıydı.
vacuum	boşluk	Liderlikteki boşluk gerilim yarattı.
vague	belirsiz	Cevabı belirsiz ve zayıftı.
validity	geçerlilik	Çalışma testin geçerliliğini sorguladı.
vanish	gözden kaybolmak	Dosya klasörden gözden kayboldu.
variable	değişken	Fiyat önemli bir değişkendir.
varied	çeşitli	Kurs çeşitli ödevler sunuyor.
vein	damar	Hemşire damarı çabucak buldu.
venture	girişim	Yeni girişim yatırımcıları cezbetti.
verbal	sözlü	Sözlü bir anlaşmaya vardılar.
verdict	karar	Jüri kararını açıkladı.
verify	doğrulamak	Lütfen e-posta adresinizi doğrulayın.
verse	mısra	Şiirden bir mısra alıntı yaptı.
versus	karşı	Tartışma gizliliğe karşı güvenlik üzerineydi.
vessel	gemi	Gemi deniz aşırı tahıl taşıyordu.
veteran	kıdemli	Kıdemli çalışan yeni personeli eğitti.
viable	uygulanabilir	Teklif finansal olarak uygulanabilirdir.
vibrant	canlı	Şehrin canlı bir sanat ortamı var.
vice	kusur	Açgözlülük onun en büyük kusuruydu.
vicious	acımasız	Acımasız saldırı kasabayı şok etti.
villager	köylü	Bir köylü bizi nehre kadar götürdü.
violate	ihlal etmek	Şirket güvenlik kurallarını ihlal edebilir.
violation	ihlal	Müfettiş ciddi bir ihlal bildirdi.
virtue	erdem	Sabır önemli bir erdemdir.
vocal	açık sözlü	Karar hakkında açıkça konuştu.
vow	yemin etmek	İşi bitirmeye yemin etti.
vulnerability	güvenlik açığı	Denetim bir güvenlik açığını ortaya çıkardı.
vulnerable	savunmasız	Çocuklar aşırı sıcaklarda savunmasızdır.
ward	koğuş	Hasta başka bir koğuşa taşındı.
warehouse	depo	Depo yedek parçaları saklıyor.
warfare	savaş	Modern savaş teknolojiye dayanır.
warrant	arama izni	Polis bir arama izni gösterdi.
warrior	savaşçı	Savaşçı köyü korudu.
weaken	zayıflatmak	Yaralanma onun kavrayışını zayıflattı.
weave	örmek	Sepet örmeyi öğrendi.
weed	yabani ot	Taşların arasında bir yabani ot büyüdü.
well	kuyu	Köyün kuyusu kurudu.
well-being	refah	Uyku refah için hayati önem taşır.
whatsoever	hiçbir şekilde	Hiçbir şekilde ilgi göstermedi.
whereby	vasıtasıyla	Yasa, ailelerin itiraz edebileceği bir sistem yarattı.
whilst	iken	Adam dinlenirken o çalıştı.
whip	savurmak	Rüzgar bayrakları savurabilir.
wholly	tamamen	Karar tamamen beklenmedikti.
widen	genişletmek	Şehir yolu genişletmeyi planlıyor.
widow	dul kadın	Dul kadın okulun yakınında yaşıyor.
width	genişlik	Kapının genişliğini ölçün.
willingness	isteklilik	Yardım etme istekliliği herkesi etkiledi.
wipe	silmek	Ekranı bir bezle silin.
wit	zeka	Zekası konuşmayı canlandırdı.
withdrawal	geri çekilme	Fonların geri çekilmesi projeyi geciktirdi.
workout	antrenman	Antrenman kırk elli dakika sürdü.
worship	ibadet	İnsanlar şafakta ibadet için toplandı.
worthwhile	değer	Yolculuk yapmaya değerdi.
worthy	layık	Hayır kurumu desteğe layıktır.
yell	bağırmak	Personele bağırmayın.
yield	verim	Çiftliğin verimi bu sezon arttı.
youngster	genç	Genç birçok soru sordu.
