simplified	CS	example_CS
不言而喻	samozřejmý	Důležitost poctivosti je samozřejmá
不由得	nemoci si pomoct	Když jsem viděl starou fotografii nemohl jsem si pomoct a vzpomněl si na dětství
不择手段	bez skrupulí	Vydělává peníze bez skrupulí
不止	více než	Schůzky se zúčastnilo více než sto lidí
布告	oznámení	U školní brány bylo vyvěšeno oznámení
布局	dispozice	Dispozice tohoto bytu je velmi rozumná
布置	zadat	Učitel zadal nový domácí úkol
步伐	krok	Tým postupoval úhlednými kroky
部署	nasazovat	Firma nasazuje nový prodejní plán
部位	místo	Lékař prohlédl poraněné místo
才干	schopnosti	V řízení má velké schopnosti
裁缝	krejčí	Tento krejčí je velmi zručný
裁判	rozhodčí	Rozhodčí oznámil že zápas je přerušen
裁员	propouštět	Firma se kvůli ztrátám rozhodla propouštět
财富	bohatství	Znalosti jsou také druhem bohatství
财务	finance	Finanční oddělení kontroluje účty
财政	veřejné finance	Příjmy veřejných financí letos poněkud vzrostly
彩票	los	Občas si koupí los
采购	nakoupit	Firma poslala někoho nakoupit vybavení
采集	sbírat	Výzkumníci sbírali vzorky v lese
采纳	přijmout	Vedoucí přijal náš návrh
参谋	radit	Často radí manažerovi
参照	řídit se	Při vyplňování formuláře se prosím řiď tímto vzorem
残疾	postižení	Tato stanice poskytuje pomoc cestujícím s postižením
残酷	krutý	Válka je velmi krutá
残留	zůstávat	V šálku stále zůstává vůně kávy
残忍	krutý	Týrání zvířat je kruté chování
灿烂	zářivý	Ukázala zářivý úsměv
仓促	ukvapený	Toto rozhodnutí bylo přijato příliš ukvapeně
仓库	sklad	Zboží už bylo doručeno do skladu
舱	kabina	Cestující vstupují do kabiny
苍白	bledý	Jeho tvář vypadala velmi bledě
操劳	dřít	Matka se pro tuto rodinu dřela mnoho let
操练	cvičit	Vojáci každé ráno cvičí
操纵	ovládat	Tento stroj ovládá počítač
操作	obsluhovat	Zařízení prosím obsluhujte podle návodu
嘈杂	hlučný	Na nádraží je velmi hlučno
草案	návrh	Výbor projednává návrh
草率	ukvapený	Tak důležité rozhodnutí nesmí být ukvapené
侧面	bok	Z boku tato budova vypadá vyšší
测量	měřit	Inženýr měří délku mostu
策划	naplánovat	Naplánovali velkou akci
策略	strategie	Tato strategie pomohla firmě snížit náklady
层出不穷	objevovat se jeden za druhým	Nové problémy se objevují jeden za druhým
层次	úroveň	Struktura tohoto článku je velmi jasná
差别	rozdíl	Mezi těmito dvěma metodami není velký rozdíl
插座	zásuvka	V této místnosti není dost zásuvek
查获	zabavit	Celníci zabavili zásilku padělaného zboží
刹那	okamžik	V jediném okamžiku všechna světla zhasla
岔	odbočka	Auta se na křižovatce před námi rozdělila
诧异	překvapený	Jeho rozhodnutí všechny velmi překvapilo
柴油	nafta	Tento nákladní vůz používá naftu
搀	podpírat	Zdravotní sestra podpírala starého člověka do oddělení
缠绕	ovíjet se	Liány se ovíjejí kolem větví
馋	mít chuť	Když dítě uvidělo dort dostalo chuť
产业	odvětví	Cestovní ruch je zde důležité odvětví
阐述	vysvětlit	Profesor podrobně vysvětlil svůj názor
颤抖	třást se	Byla jí taková zima že se třásla po celém těle
昌盛	vzkvétající	Doufáme že země bude vzkvétající a silná
偿还	splatit	Půjčku splatil včas
尝试	zkusit	Můžeme zkusit novou metodu
场合	příležitost	Při takové příležitosti není vhodné žertovat
场面	scéna	Svatební scéna byla velmi živá
场所	místo	Je to veřejné místo nekuřte prosím
敞开	nechat otevřený	Nechte prosím okno chvíli otevřené
倡导	prosazovat	Škola prosazuje zdravý životní styl
倡议	iniciativa	Tato ekologická iniciativa získala podporu
畅通	průjezdný	Když déšť ustal silnice byla znovu průjezdná
畅销	dobře se prodávat	Tento román se prodává velmi dobře
超越	překonat	Nakonec překonal svůj vlastní rekord
钞票	bankovka	V peněžence zůstalo jen několik bankovek
嘲笑	posmívat se	Neposmívej se nedostatkům druhých lidí
巢穴	doupě	Lovec objevil zvířecí doupě
朝代	dynastie	Dynastie Tchang je dynastie v čínských dějinách
潮流	trend	Mladí lidé věnují velkou pozornost módním trendům
撤退	ustoupit	Vojsko po obdržení rozkazu ustoupilo
撤销	zrušit	Soud zrušil původní rozsudek
沉淀	usadit se	Kal se bude pomalu usazovat
沉闷	dusný	Dnešní počasí je horké a dusné
沉思	hluboce přemýšlet	Seděl u okna a hluboce přemýšlel
沉重	tíživý	Tato zpráva všem přinesla tíživý pocit
沉着	klidný	Tváří v tvář nebezpečí zůstaň klidný
陈旧	zastaralý	Tento stroj je už velmi zastaralý
陈列	vystavit	Ve výstavní síni je vystaveno mnoho kulturních památek
陈述	uvést	Prosím uveď fakta jasně
称心如意	uspokojivý	Tato práce je pro něj velmi uspokojivá
衬托	zvýraznit	Bílá stěna zvýrazňuje barvu květin
称号	titul	Získal titul vynikajícího učitele
乘	jezdit	Každý den jezdím do práce metrem
呈现	nabýt	Obloha nabyla světle červené barvy
城堡	hrad	Na vrcholu hory stojí starý hrad
惩罚	potrestat	Škola potrestá studenty kteří podvádějí
成本	náklady	Růst cen surovin zvýšil náklady
成交	uzavřít obchod	Tento obchod byl nakonec uzavřen
成天	celý den	Celý den sedí před počítačem
成效	výsledek	Nová metoda řízení brzy přinesla výsledky
成心	úmyslně	Nechtěl tě úmyslně ztrapnit
成员	člen	Každý člen se musí zúčastnit schůze
承办	pořádat	Tato firma pořádala výstavu
承包	převzít zakázku	Převzali tuto zakázku
承诺	slíbit	Slíbil že úkol dokončí včas
橙	pomeranč	Koupil jsem několik čerstvých pomerančů
澄清	objasnit	Manažer vystoupil aby objasnil nedorozumění
盛	nabrat	Nabrala hostovi misku polévky
诚挚	upřímný	Přijměte prosím mé upřímné poděkování
秤	váha	Tato váha není moc přesná
吃苦	snášet útrapy	Mladí lidé by se měli naučit snášet útrapy
吃力	namáhavý	Přenášení této krabice je velmi namáhavé
持久	trvalý	Úspěch vyžaduje trvalé úsilí
迟钝	pomalý	Poslední dobou reaguje trochu pomalu
迟缓	zpomalený	Po dešti se doprava zpomalila
迟疑	váhat	Chvíli váhala než odpověděla
赤道	rovník	U rovníku je horko po celý rok
赤字	schodek	Firma letos vykázala schodek
充当	působit jako	V projektu působil jako koordinátor
充沛	plný energie	Děti jsou plné energie
充实	naplňující	Tato zkušenost učinila můj život naplňujícím
充足	dostatečný	Před cestou si připrav dostatek vody
冲动	impuls	Nerozhoduj se na základě chvilkového impulsu
冲击	dopad	Nová technologie měla dopad na tradiční odvětví
冲突	konflikt	Obě strany se snažily vyhnout konfliktu
崇拜	obdivovat	Mnoho mladých lidí obdivuje tohoto vědce
崇高	vznešený	Povinnost lékaře je vznešená
崇敬	hluboce respektovat	Studenti tohoto učitele všichni hluboce respektují
重叠	překrývat se	Tyto dva úkoly se částečně překrývají
稠密	hustý	Tato oblast je velmi hustě osídlená
筹备	připravovat	Připravují svatbu
丑恶	ohyzdný	Odhalil ošklivou pravdu za touto událostí
出路	východisko	Vzdělání může mladým lidem dát více cest vpřed
出卖	zradit	Své přátele by nezradil
出身	původ	Pochází z obyčejné rodiny
出神	zabraný	Zabraně poslouchala hudbu
出息	nadějná budoucnost	Toto dítě bude mít nadějnou budoucnost
初步	předběžný	Dosáhli jsme předběžné dohody
除	kromě	Všichni dorazili kromě něj
储备	rezervovat	Firma potřebuje rezervovat více prostředků
储存	ukládat	Tato data se budou ukládat automaticky
储蓄	šetřit	Každý měsíc si šetří část platu
处分	kázeňský trest	Škola mu udělila vážný kázeňský trest
处境	situace	Jejich současná situace je velmi obtížná
处置	naložit s něčím	Se starým vybavením je třeba správně naložit
触犯	porušit	Tímto jednáním porušíš zákon
川流不息	nepřetržitý proud	Vozidla na ulici proudí nepřetržitě
穿越	projet	Vlak projel dlouhým tunelem
传达	předat	Předej prosím tuto zprávu všem
传单	leták	Dobrovolníci rozdávali na ulici letáky
传授	předávat	Učitel předával studentům zkušenosti
船舶	plavidla	V přístavu kotví mnoho plavidel
喘气	lapat po dechu	Po běhu pořád lapal po dechu
串	navléknout	Navlékla korálky do náhrdelníku
床单	prostěradlo	Vyměň prosím prostěradlo
创立	založit	Tuto firmu založili společně
创新	inovace	Rozvoj podniku vyžaduje neustálé inovace
创业	začít podnikat	Mnoho mladých lidí se rozhodne začít podnikat
创作	tvořit	Spisovatel tvoří dlouhý román
吹牛	chlubit se	Nechlub se a ukaž důkazy
吹捧	přehnaně chválit	Média tento produkt přehnaně chválila
炊烟	kouř z komínů	Večer se z vesnice zvedal kouř z komínů
垂直	kolmý	Tyto dvě čáry jsou na sebe kolmé
锤	kladivo	Dělník udeřil do železné desky kladivem
纯粹	čistě	Jeho pomoc byla čistě z dobré vůle
纯洁	čistý	Dětské srdce je velmi čisté
慈善	charita	Tato firma se často účastní charitativních aktivit
慈祥	laskavý	Babiččin úsměv je velmi laskavý
磁带	kazeta	Tato stará kazeta se dá ještě přehrát
雌雄	samec a samice	Samec a samice tohoto ptáka mají různé barvy
伺候	pečovat	Zdravotní sestra pečlivě pečovala o pacienta
刺	trn	Na větvi růže je mnoho trnů
次品	vadný výrobek	Tyto vadné výrobky se nesmějí prodávat
次序	pořadí	Postavte se prosím do pořadí
丛	shluk	U cesty je shluk divokých květin
从容	klidně	Na otázku odpověděla klidně
凑合	vystačit	Pokoj není velký ale k bydlení vystačí
粗鲁	hrubý	Mluví příliš hrubě
窜	vběhnout	Ta kočka náhle vběhla do pokoje
摧残	ničit	Dlouhodobé znečištění tento les zničí
脆弱	křehký	Skleněné výrobky jsou velmi křehké
搓	mnout	Mnul si studené ruce
磋商	jednat	Obě strany budou pokračovat v jednáních
挫折	neúspěch	Každý se setká s neúspěchy
搭	jet	Jedeme autobusem na letiště
搭档	partner	Je už mnoho let mým pracovním partnerem
搭配	ladit	Tato bunda a kalhoty k sobě dobře ladí
答辩	obhajoba	Doktorand se připravuje na obhajobu práce
答复	odpověď	Dej mi prosím odpověď co nejdříve
达成	dosáhnout	Obě strany nakonec dosáhly dohody
打包	zabalit	Číšník nám zabalil zbytky jídla
打官司	soudit se	Kvůli smluvnímu problému se obrátili na soud
打击	rána	Tento neúspěch pro něj byl velkou ranou
打架	prát se	Studenti kteří se ve škole perou budou potrestáni
打量	prohlédnout si	Prohlédla si mě od hlavy k patě
打猎	lovit	Zde je lov zakázán
打仗	válčit	Nikdo nechce válčit
大不了	v nejhorším	V nejhorším to zkusíme zítra znovu
大臣	ministr	Král svolal několik ministrů
大伙儿	všichni	Všichni čekají na tvé rozhodnutí
大肆	ve velkém	Obchodník propagoval nový produkt ve velkém
大体	v zásadě	Plán je v zásadě v pořádku
大意	hlavní myšlenka	Nejprve prosím vysvětli hlavní myšlenku článku
大致	zhruba	Zhruba chápu co se stalo
歹徒	zločinec	Policie zločince rychle chytila
代价	cena	Úspěch často vyžaduje zaplatit cenu
代理	zastupovat	Dočasně zastupuje manažera
带领	vést	Učitel vedl studenty na návštěvu muzea
怠慢	zanedbat	Nesmíme zanedbat hosty
逮捕	zatknout	Policie zatkla hlavního podezřelého
担保	záruka	Banka vyžaduje aby někdo poskytl záruku
胆怯	nesmělý	Při svém prvním projevu byl trochu nesmělý
淡季	mimosezona	Letenky jsou v cestovní mimosezoně levnější
淡水	sladká voda	Tento druh ryby může žít jen ve sladké vodě
蛋白质	bílkovina	Vejce obsahují hodně bílkovin
诞辰	výročí narození	Dnes je výročí narození tohoto spisovatele
诞生	zrodit se	Tato myšlenka se zrodila během diskuse
当场	na místě	Na místě přiznal svou chybu
当初	tehdy	Tehdy jsme toto rozhodnutí všichni podporovali
当代	současný	Současná společnost se mění velmi rychle
当面	osobně	Problémy je nejlepší vysvětlit osobně
当前	současný	V současnosti je nejdůležitější zajistit bezpečnost
当事人	zúčastněná osoba	Policie vyslýchá zúčastněnou osobu
当务之急	nejnaléhavější úkol	Vyřešit problém bydlení je nejnaléhavější úkol
当选	být zvolen	Úspěšně byla zvolena předsedkyní
党	strana	Tato strana navrhla novou politiku
档案	záznam	Škola uchovávala záznamy studentů
档次	úroveň	Tento hotel je na vysoké úrovni
倒闭	zkrachovat	Ten malý obchod loni zkrachoval
导弹	raketa	Zprávy informovaly o zkoušce rakety
导航	navigace	Zapni prosím navigaci v telefonu
导向	orientace	Vzdělávací politika by měla být orientována na spravedlnost
捣乱	vyrušovat	Prosím nevyrušuj ve třídě
盗窃	krádež	Obchodní centrum posílilo opatření proti krádežím
稻谷	rýže	Zemědělci sklízejí rýži
得不偿失	nevyplatit se	Kupovat nekvalitní materiál kvůli úspoře se nevyplatí
得力	schopný	Je schopným asistentem manažera
得天独厚	jedinečná výhoda	Toto město má jedinečné geografické výhody
得罪	urazit	Nechci kvůli maličkosti urazit kolegy
灯笼	lucerna	Během Svátků jara visí u dveří červené lucerny
登录	přihlásit se	Nejprve se prosím přihlas ke svému účtu
登陆	dorazit na pevninu	Tajfun může dnes večer dorazit na pevninu v pobřežních oblastech
蹬	šlápnout	Silně šlápl nohou a kolo se rozjelo
等候	čekat	Cestující čekají v hale na nástup
等级	úroveň	Tento software má různé úrovně členství
瞪	zírat	Rozzlobeně na mě zíral
堤坝	přehrada	Po prudkém dešti je třeba přehradu pečlivě zkontrolovat
敌视	nepřátelský	Neměli bychom být nepřátelští k odlišným názorům
抵达	dorazit	Letadlo dorazilo do Pekingu včas
抵抗	odolávat	Vesničané společně odolávali povodni
抵制	bojkotovat	Spotřebitelé začali bojkotovat nekvalitní výrobky
地步	stav	Věc se ještě nedostala do tak vážného stavu
地势	terén	Terén je tady vysoký takže se voda snadno nehromadí
地质	geologie	Odborníci zkoumají místní geologické podmínky
递增	postupně růst	Prodej rostl tři měsíce po sobě
颠簸	drncavý	Horská cesta je drncavá jeď opatrně
颠倒	obrátit	Obrátil jsi pořadí těch dvou čísel
典礼	ceremonie	Promoce se bude konat v aule
典型	typický příklad	To je typický příklad úspěchu
点缀	ozdobit	Několik malých květin ozdobilo jídelní stůl
垫	podložka	Polož prosím tento papír pod šálek
奠定	položit základ	Tato spolupráce položila základ dlouhodobému vztahu
惦记	dělat si starosti	Matka si stále dělá starosti o dítě daleko od domova
电源	napájení	Před odchodem prosím vypni napájení
叼	držet v tlamě	Ten pes drží v tlamě kost
雕刻	vyřezávat	Rád vyřezává vzory do dřeva
雕塑	socha	Uprostřed náměstí je socha
吊	zvednout	Dělníci použili stroj ke zvednutí ocelového nosníku
调动	přeložit	Firma ho přeložila pracovat do Šanghaje
跌	klesnout	Cena akcií dnes znovu klesla
丁	kostička	Recept říká nakrájet brambory na kostičky
叮嘱	opakovaně připomínat	Učitel nám opakovaně připomínal abychom dbali na bezpečnost
盯	upřeně se dívat	Prosím nedívej se pořád upřeně na ostatní
定期	pravidelný	Lékař mu doporučil pravidelné zdravotní prohlídky
定义	definice	Nejprve prosím vysvětli definici tohoto pojmu
丢人	trapný	Lhát na veřejnosti je opravdu trapné
丢三落四	zapomnětlivý	Je pořád zapomnětlivý a často si při odchodu zapomene klíče
东道主	hostitel	Jako hostitelé bychom se měli dobře postarat o hosty
东张西望	rozhlížet se	Při hodině se nerozhlížej
董事长	předseda představenstva	Předseda představenstva se dnes zúčastnil schůze
冻结	zmrazit	Banka tento účet dočasně zmrazila
动荡	neklid	Válka udržovala tuto oblast dlouho v neklidu
动机	motiv	Policie vyšetřuje jeho motiv
动静	zvuk nebo pohyb	V místnosti nebyl ani nejmenší zvuk nebo pohyb
动力	motivace	Zájem je motivací k učení
动脉	tepna	Lékař mu vyšetřil tepnu
动身	vyrazit	Zítra brzy ráno vyrazíme na letiště
动手	pustit se do rvačky	Věc ještě není jasná takže se nikdo nesmí pouštět do rvačky
动态	vývoj	Sleduj prosím vývoj projektu
动员	mobilizovat	Škola mobilizovala studenty k účasti na dobrovolnických aktivitách
栋	budova	Tato budova má dvacet pater
兜	kapsa	Dal klíče do kapsy kabátu
陡峭	strmý	Tato horská cesta je velmi strmá
斗争	boj	Bojují za ochranu životního prostředí
督促	vybízet	Manažer všechny vyzval aby úkol dokončili včas
毒品	narkotika	Celníci zabavili zásilku narkotik
独裁	diktatura	Lidé se staví proti diktatuře
堵塞	ucpat	Odpadky ucpaly kanalizaci
赌博	hazard	Hazard může přinést vážné následky
杜绝	zabránit	Firma požaduje zabránit plýtvání
端	nést	Přišel a nesl šálek horkého čaje
端午节	Svátek dračích člunů	Během Svátku dračích člunů jíme zongzi
端正	napravit	Studenti by měli napravit svůj přístup k učení
短促	krátký	Krátce si povzdechl
断定	určit	Zatím není možné určit kdo má pravdu
断绝	přerušit	Po nehodě vesnice ztratila spojení s okolním světem
堆积	hromadit se	Sníh se hromadil u krajnice
兑现	splnit slib	Nakonec splnil svůj slib
对策	protiopatření	Tváří v tvář rizikům potřebujeme protiopatření
对称	souměrný	Levá a pravá strana této budovy jsou velmi souměrné
对付	vypořádat se s	Tento problém není snadné vyřešit
对抗	stát proti sobě	Oba týmy se proti sobě postaví ve finále
对立	protikladný	Stanoviska obou stran jsou zcela protikladná
对联	novoroční dvojverší	Během Svátků jara nalepili na dveře dvojverší
对应	odpovídat	Každé číslo odpovídá jednomu sedadlu
对照	porovnat	Porovnej prosím překlad s původním textem
队伍	průvod	Průvod se pomalu posouval vpřed
顿时	okamžitě	Když uslyšel tu zprávu okamžitě ztuhl
哆嗦	třást se	Byla taková zima že se pořád třásl
多元化	diverzifikace	Firma podporuje diverzifikaci podnikání
堕落	morálně upadat	Nechce nechat sám sebe dál morálně upadat
额外	dodatečný	Tato služba vyžaduje dodatečný poplatek
恶心	nevolno	Když jsem ucítil ten zápach bylo mi trochu nevolno
恶化	zhoršit se	Pokud se to nebude léčit nemoc se může zhoršit
遏制	omezit	Vláda přijala opatření k omezení znečištění
恩怨	spor	Spor mezi těmito dvěma firmami trvá už dlouho
而已	jenom tolik	Řekl jsem to jen tak mimochodem nic víc
二氧化碳	oxid uhličitý	Rostliny pohlcují oxid uhličitý
发布	zveřejnit	Firma zítra zveřejní nový produkt
发财	zbohatnout	Doufá že zbohatne tvrdou prací
发呆	zasněně sedět	Seděla u okna jako zasněná
发动	zapojit	Dobrovolníci zapojili obyvatele do úklidu ulice
发觉	všimnout si	Dnes jsem si všiml že je trochu nervózní
发射	vypustit	Raketa bude vypuštěna večer
发誓	přísahat	Přísahal že už nikdy nebude lhát
发行	uvedení do distribuce	Tento film bude uveden příští měsíc
发炎	zánět	Rána je trochu zanícená
发扬	rozvíjet	Měli bychom rozvíjet ducha týmové práce
发育	vývoj	Tělesný vývoj dětí potřebuje dostatek výživy
法人	právnická osoba	Tato firma je samostatná právnická osoba
番	dávka	Tato slova mi dala velkou dávku inspirace
凡是	každý	Každý kdo se přihlásí se musí zúčastnit školení
