source_headword	IS	example_IS
clue	vísbending	Vísbendingin hjálpaði okkur að leysa þetta.
coal	kol	Gamla lestin notaði kol.
coin	mynt	Hún fann mynt á gólfinu.
collection	safn	Frímerkjasafnið hans er stórt.
coloured	litaður	Hún var með litaðan trefil.
combine	sameina	Sameinaðu hveiti og vatn.
commercial	auglýsinga-	Auglýsingahléið tók fimm mínútur.
commit	skuldbinda sig	Við verðum að skuldbinda okkur áætluninni.
communication	samskipti	Góð samskipti koma í veg fyrir mistök.
comparison	samanburður	Þessi samanburður er gagnlegur.
competitive	samkeppnishæfur	Markaðurinn er mjög samkeppnishæfur.
competitor	keppinautur	Helsti keppinautur okkar lækkaði verðin.
complaint	kvörtun	Hún lagði fram kvörtun vegna hávaða.
complex	flókinn	Leiðbeiningarnar eru of flóknar.
concentrate	einbeita sér	Ég get ekki einbeitt mér þegar tónlistin er í gangi.
conclude	ljúka	Við ljúkum fundinum núna.
conclusion	niðurstaða	Niðurstaða hennar virtist skynsamleg.
confident	sjálfsöruggur	Hún var sjálfsörugg fyrir viðtalið.
confirm	staðfesta	Vinsamlegast staðfestu netfangið þitt.
confuse	rugla	Þessi tvö nöfn rugla mig.
confused	ringlaður	Ég var ringlaður vegna kortsins.
connection	tenging	Nettengingin er hæg.
consequence	afleiðing	Svefnleysi hefur afleiðingar.
consist	samanstanda	Máltíðin samanstendur af þremur réttum.
consume	neyta	Stórir bílar neyta meira eldsneytis.
consumer	neytandi	Neytandinn vill skýrar upplýsingar.
contact	samband	Hafðu samband við mig eftir hádegi.
container	ílát	Settu súpuna í ílátið.
content1	efni	Efni námskeiðsins er gagnlegt.
continuous	stöðugur	Vélin gaf frá sér stöðugan hávaða.
contrast	andstæða	Andstæðan milli þeirra er skýr.
convenient	þægilegur	Stöðin er mjög þægileg.
convince	sannfæra	Hún sannfærði hann um að reyna aftur.
costume	búningur	Hún var í sjóræningjabúningi.
cottage	sumarbústaður	Þau leigðu lítinn sumarbústað.
cotton	bómull	Þessi skyrta er úr bómull.
countryside	sveit	Við gengum um sveitina.
court	dómstóll	Málið fór fyrir dómstól.
covered	þakinn	Borðið var þakið pappírum.
cruel	grimmur	Það var grimmt að hlæja.
cultural	menningarlegur	Safnið býður upp á menningarviðburði.
currency	gjaldmiðill	Gjaldmiðillinn á staðnum er evra.
current	núverandi	Núverandi staða er betri.
currently	núna	Hún vinnur núna heima.
curtain	gluggatjald	Gluggatjaldið huldi gluggann.
custom	siður	Þessi siður er mjög gamall.
damage	tjón	Stormurinn olli alvarlegu tjóni.
decade	áratugur	Þau bjuggu þar í áratug.
decorate	skreyta	Við skreytum herbergið saman.
define	skilgreina	Geturðu skilgreint þetta hugtak?
definite	ákveðinn	Við þurfum ákveðið svar.
definition	skilgreining	Skrifaðu skilgreininguna í bókina þína.
deliver	afhenda	Þau afhenda mat heim til okkar.
departure	brottför	Brottfarartíminn breyttist.
despite	þrátt fyrir	Þrátt fyrir rigninguna fórum við í göngu.
destination	áfangastaður	París var lokáfangastaður þeirra.
determine	ákvarða	Prófin ákvarða stig þitt.
determined	ákveðinn	Hún var ákveðin í að ná árangri.
development	þróun	Þróun borgarinnar var hröð.
diagram	skýringarmynd	Teiknaðu einfalda skýringarmynd.
diamond	demantur	Hringurinn var með lítinn demant.
difficulty	erfiðleiki	Hann átti í erfiðleikum með að opna dyrnar.
directly	beint	Vinsamlegast talaðu beint við mig.
dirt	óhreinindi	Skórnir hans voru þaktir óhreinindum.
disadvantage	ókostur	Langa ferðin er ókostur.
disappointed	vonsvikinn	Hún var vonsvikin yfir niðurstöðunni.
disappointing	vonbrigðavaldandi	Endirinn var vonbrigðavaldandi.
discount	afsláttur	Nemendur fá afslátt hér.
dislike	líka ekki	Mér líkar ekki mjög há tónlist.
divide	skipta	Skiptu kökunni í bita.
documentary	heimildarmynd	Við horfðum á heimildarmynd um geiminn.
donate	gefa	Margir gefa gömul föt.
doubt	vafi	Ég hef engan vafa um þetta.
dressed	klæddur	Hún var klædd í svart.
drum	tromma	Tromman hljómaði um herbergið.
drunk	drukkinn	Ökumaðurinn var drukkinn.
due	á skilum	Skýrslunni á að skila á morgun.
dust	ryk	Ryk huldi gömlu bækurnar.
duty	skylda	Það er skylda mín að hjálpa.
earthquake	jarðskjálfti	Jarðskjálftinn skemmdi brúna.
eastern	austur-	Austurströndin er vindasöm.
economic	efnahagslegur	Landið stendur frammi fyrir efnahagslegum vandamálum.
economy	hagkerfi	Hagkerfið óx á þessu ári.
edge	brún	Stattu frá brúninni.
editor	ritstjóri	Ritstjórinn fór yfir greinina.
educate	mennta	Skólar mennta ungt fólk.
educated	menntaður	Hún er mjög menntuð.
educational	fræðandi	Leikurinn er fræðandi.
effective	áhrifaríkur	Lyfið er áhrifaríkt.
effectively	áhrifaríkt	Hún útskýrði regluna áhrifaríkt.
effort	átak	Átak þitt breytti miklu.
election	kosningar	Úrslit kosninganna voru jöfn.
element	þáttur	Traust er mikilvægur þáttur.
embarrassed	vandræðalegur	Hann varð vandræðalegur eftir fallið.
embarrassing	vandræðalegt	Þetta voru vandræðaleg mistök.
emergency	neyðartilvik	Í neyðartilviki skaltu hringja í þetta númer.
emotion	tilfinning	Ótti er sterk tilfinning.
employment	atvinnuþátttaka	Atvinnuþátttaka jókst í þessum mánuði.
encourage	hvetja	Kennarar hvetja nemendur til að lesa.
enemy	óvinur	Löndin tvö voru óvinir.
engaged	trúlofaður	Þau trúlofuðust síðasta vor.
engineering	verkfræði	Hún lærir verkfræði í háskóla.
entertain	skemmta	Söngvarinn skemmtir gestunum.
entertainment	skemmtun	Borgin býður upp á kvöldskemmtun.
entrance	inngangur	Hittu mig við innganginn.
entry	aðgangur	Aðgangur er ókeypis fyrir börn.
environmental	umhverfis-	Við ræddum umhverfisvandamál.
episode	þáttur	Síðasti þátturinn var spennandi.
equal	jafn	Þau fá jöfn laun.
equally	jafnt	Vinnunni er skipt jafnt.
escape	flýja	Fangarnir reyndu að flýja.
essential	nauðsynlegur	Vatn er nauðsynlegt fyrir líf.
eventually	að lokum	Að lokum fundum við hótelið.
examine	skoða	Læknirinn skoðaði höndina mína.
exchange	skipti	Við gerðum skipti í búðinni.
excitement	spenna	Leikurinn var fullur af spennu.
exhibition	sýning	Listsýningin opnar á morgun.
expand	stækka	Fyrirtækið ætlar að stækka.
expected	væntanlegur	Væntanlegur kostnaður er mikill.
expedition	leiðangur	Leiðangurinn fór yfir eyðimörkina.
experienced	reyndur	Hún er reynd hjúkrunarkona.
explode	springa	Flaskan getur sprungið í hita.
explore	kanna	Við könnuðum gamla bæinn.
explosion	sprenging	Sprengingin braut nokkra glugga.
export	útflutningur	Kaffi er mikilvægur útflutningur.
fairly	frekar	Prófið var frekar auðvelt.
familiar	kunnuglegur	Andlit hans virtist kunnuglegt.
fancy	langa í	Langar þig í kaffi?
fascinating	heillandi	Sagan var heillandi.
fashionable	tískulegur	Þessir skór eru tískulegir.
fasten	festa	Festu öryggisbeltið.
favour	greiði	Geturðu gert mér greiða?
fence	girðing	Girðingin umlykur garðinn.
fighting	bardagi	Bardaginn lauk í dögun.
file	skrá	Vistaðu skrána áður en þú lokar.
financial	fjárhagslegur	Hún þarf fjárhagslega ráðgjöf.
fitness	líkamsrækt	Hlaup bæta líkamsrækt þína.
fixed	fastur	Verðið er fast.
flag	fáni	Fáninn blakti yfir skólanum.
flood	flóð	Flóðið skemmdi mörg heimili.
flour	hveiti	Bættu hveiti í skálina.
flow	flæða	Áin flæðir í gegnum bæinn.
fold	brjóta	Brjóttu pappírinn í tvennt.
folk	þjóðlagatónlist	Þjóðlagatónlist fyllti salinn.
force	afl	Vindurinn hafði mikið afl.
forever	að eilífu	Ég mun muna þetta að eilífu.
frame	rammi	Myndin þarf ramma.
freeze	frjósa	Vatn frýs á nóttunni.
frequently	oft	Hún heimsækir foreldra sína oft.
friendship	vinátta	Vinátta þeirra entist í mörg ár.
frighten	hræða	Há hljóð hræða barnið.
frightened	hræddur	Barnið virtist hrætt.
frightening	ógnvekjandi	Stormurinn var ógnvekjandi.
frozen	frosinn	Vatnið var frosið.
fry	steikja	Steiktu laukinn í fimm mínútur.
fuel	eldsneyti	Bíllinn þarf meira eldsneyti.
function	virkni	Þessi hnappur hefur eina virkni.
fur	feldur	Kötturinn er með mjúkan feld.
garage	bílskúr	Bíllinn er í bílskúrnum.
gather	safnast	Við söfnuðumst í kringum borðið.
generally	almennt	Hún kemur almennt snemma.
generation	kynslóð	Hver kynslóð stendur frammi fyrir nýjum vandamálum.
generous	örlátur	Hún er örlát á tíma sinn.
gentle	mildur	Notaðu milda rödd.
gentleman	herramaður	Herramaðurinn opnaði dyrnar.
ghost	draugur	Sagan nefnir draug.
giant	risastór	Risastór skjár fyllti sviðið.
glad	glaður	Ég er glaður að þú komst.
global	alþjóðlegur	Loftslagsbreytingar eru alþjóðlegt vandamál.
glove	hanski	Ég týndi einum hanska.
goods	vörur	Vörurnar komu seint.
grade	einkunn	Hún fékk háa einkunn.
graduate	útskrifaður nemandi	Hann er nýlega útskrifaður nemandi.
grain	korn	Hrísgrjónakorn féll á gólfið.
grateful	þakklátur	Ég er þakklátur fyrir stuðninginn þinn.
growth	vöxtur	Plantan sýndi stöðugan vöxt.
guard	vörður	Vörðurinn athugaði miðana okkar.
guilty	sekur	Hann fann til sektar fyrir lygina.
hang	hengja	Hengdu kápuna hér.
happiness	hamingja	Peningar geta ekki keypt hamingju.
hardly	varla	Ég heyrði varla í þér.
headline	fyrirsögn	Fyrirsögnin vakti athygli mína.
heating	hitun	Hitunin hætti að virka.
heavily	mikið	Það rigndi mikið alla nóttina.
helicopter	þyrla	Þyrla lenti nálægt.
highlight	leggja áherslu á	Vinsamlegast leggðu áherslu á aðalhugmyndina.
highly	mjög	Hún er mjög virt.
hire	leigja	Við þurfum að leigja bíl.
historic	sögulegur	Við heimsóttum sögulega byggingu.
historical	sögulegur	Henni líkar sögulegar skáldsögur.
honest	heiðarlegur	Vinsamlegast gefðu heiðarlegt svar.
horrible	hræðilegur	Lyktin var hræðileg.
horror	hryllingur	Honum líkar hryllingsmyndir.
host	gestgjafi	Gestgjafinn heilsaði hverjum gesti.
