simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
笨	ahmoq; no'noq	Siz ahmoq emassiz, faqat ko'proq harakat qilishingiz kerak.	ақымақ; ебедейсіз	Сен ақымақ емессің, тек көбірек еңбектенуің керек.	axmaq; bacarıqsız	Sən axmaq deyilsən, sadəcə daha çox çalışmalısan.
比如	masalan	Mening ko'p sevimli mashg'ulotlarim bor, masalan suzish va kitob o'qish.	мысалы	Менің көп хоббиім бар, мысалы жүзу және кітап оқу.	məsələn	Mənim çox hobbilərim var, məsələn üzmək və kitab oxumaq.
毕业	bitirmoq; bitiruv	Men bu yil uchinchi kursdaman, kelasi yili bitiraman.	бітіру; түлек болу	Мен биыл үшінші курстамын, келесі жылы бітіремін.	məzun olmaq; məzuniyyət	Mən bu il üçüncü kursdayam, gələn il məzun olacağam.
遍	marta; bor	U ishni qaytadan bir marta aytdi.	рет; мәрте	Ол істі қайтадан бір рет айтты.	dəfə; kərə	O, məsələni yenidən bir dəfə dedi.
标准	standart; me'yor	Putunhua talaffuzingiz juda standart.	стандарт; өлшем	Путунхуаң өте стандартты.	standart; norma	Putunxua danışığınız çox standartdır.
表格	shakl; jadval	Iltimos, shaklga ismingizni yozing.	форма; кесте	Өтінемін, формаға атыңызды жазыңыз.	forma; cədvəl	Zəhmət olmasa, formada adınızı yazın.
表示	bildirmoq; ifodalamoq	Iltimos, unga minnatdorchilik bildiring.	білдіру; көрсету	Өтінемін, оған алғыс білдіріңіз.	bildirmək; ifadə etmək	Zəhmət olmasa, ona təşəkkür bildirin.
表演	ijro etmoq; tomosha	Sizlar qanday dastur ko'rsatmoqchisizlar?	өнер көрсету; қойылым	Сіздер қандай нөмір көрсетесіздер?	ifa etmək; tamaşa	Siz hansı nömrəni ifa edəcəksiniz?
表扬	maqtamoq; maqtov	U ko'pincha direktorning maqtovini oladi.	мақтау; мақтау сөз	Ол жиі директордың мақтауын алады.	tərifləmək; tərif	O, tez-tez direktorun tərifini alır.
饼干	pechenye; kreker	Men pechenye oldim, ozgina yeng.	печенье; крекер	Мен печенье сатып алдым, біраз жеңіз.	peçenye; kreker	Mən peçenye almışam, bir az yeyin.
并且	bundan tashqari; hamda	U juda aqlli va bundan tashqari juda tirishqoq.	сонымен қатар; әрі	Ол өте ақылды, әрі өте еңбекқор.	üstəlik; həm də	O çox ağıllıdır və həm də çox çalışqandır.
博士	fan doktori; doktor	Tanishtirib qo'yay, bu Li doktor.	доктор; ғылым докторы	Таныстырайын, бұл Ли доктор.	doktor; elmlər doktoru	İcazə verin təqdim edim, bu Li doktordur.
不过	ammo; lekin	U juda zo'r, lekin kompaniyaning ishga olish shartlariga mos kelmaydi.	бірақ; алайда	Ол өте үздік, бірақ компанияның жұмысқа қабылдау шарттарына сай келмейді.	amma; lakin	O çox yaxşıdır, amma şirkətin işə qəbul şərtlərinə uyğun gəlmir.
不得不	majbur bo'lmoq	Tashqarida kuchli yomg'ir yog'yapti, shuning uchun uyda qolishga majburman.	мәжбүр болу	Сыртта қатты жаңбыр жауып тұр, сондықтан үйде қалуға мәжбүрмін.	məcbur olmaq	Çöldə güclü yağış yağır, ona görə evdə qalmağa məcburam.
不管	... bo'lmasin	Ob-havo qanday bo'lmasin, men toqqa chiqaman.	қандай болса да; қарамастан	Ауа райы қандай болса да, мен тауға шығамын.	nə olursa olsun	Hava necə olursa olsun, mən dağa çıxacağam.
不仅	nafaqat	Men nafaqat o'sha shaharga borganman, balki ko'p marta borganman.	тек қана емес	Мен ол қалаға тек барып қана қоймай, көп рет барғанмын.	təkcə deyil	Mən təkcə o şəhərdə olmamışam, həm də oraya çox dəfə getmişəm.
部分	qism; bo'lim	Maqolaning eng muhim qismi uchinchi xatboshidir.	бөлік; үлес	Мақаланың ең маңызды бөлігі үшінші абзац.	hissə; bölmə	Məqalənin ən əsas hissəsi üçüncü abzasdır.
擦	artmoq; o'chirmoq	Men derazalarni allaqachon tozalab artdim.	сүрту; өшіру	Мен терезелерді сүртіп тазалап қойдым.	silmək; təmizləmək	Mən pəncərələri artıq təmiz silmişəm.
猜	taxmin qilmoq; topmoq	Toping-chi, sizga qanday tug'ilgan kun sovg'asi tayyorladim?	болжау; табу	Тапшы, саған қандай туған күн сыйлығын дайындадым?	təxmin etmək; tapmaq	Tap görüm, sənə hansı ad günü hədiyyəsi hazırlamışam?
材料	material; hujjatlar	Ro'yxatdan o'tish uchun qanday hujjatlar kerak?	материал; құжаттар	Тіркелу үшін қандай құжаттар керек?	material; sənədlər	Qeydiyyat üçün hansı sənədlər lazımdır?
参观	ziyorat qilmoq; ko'rib chiqmoq	Men dam olish kunlari Buyuk Xitoy devorini ziyorat qilmoqchiman.	аралау; көру	Мен демалыс күні Ұлы Қытай қорғанын аралағым келеді.	ziyarət etmək; gəzmək	Mən həftəsonu Böyük Çin səddini ziyarət etmək istəyirəm.
餐厅	restoran; oshxona	Maktab yaqinida yangi restoran ochildi.	мейрамхана; асхана	Мектептің жанында жаңа мейрамхана ашылды.	restoran; yeməkxana	Məktəbin yaxınlığında yeni restoran açıldı.
厕所	hojatxona	Erkaklar hojatxonasi birinchi qavatda.	дәретхана	Ерлер дәретханасы бірінші қабатта.	tualet	Kişilər tualeti birinci mərtəbədədir.
差不多	taxminan; deyarli	Men har kuni taxminan soat yettida turaman.	шамамен; дерлік	Мен күн сайын шамамен сағат жетіде тұрамын.	təxminən; az qala	Mən hər gün təxminən saat yeddidə dururam.
尝	tatib ko'rmoq	Tez kelib men qilgan ovqatni tatib ko'ring, ta'mi qanday?	дәмін көру	Тез келіп, мен жасаған тамақтың дәмін көріңіз, дәмі қалай?	dadına baxmaq	Tez gəlib bişirdiyim yeməyin dadına baxın, dadı necədir?
长城	Buyuk Xitoy devori	Men dam olish kunlari Buyuk Xitoy devorini ziyorat qilmoqchiman.	Ұлы Қытай қорғаны	Мен демалыс күні Ұлы Қытай қорғанын аралағым келеді.	Böyük Çin səddi	Mən həftəsonu Böyük Çin səddini ziyarət etmək istəyirəm.
长江	Yanszi daryosi	Yanszi daryosi Xitoydagi eng katta daryodir.	Янцзы өзені	Янцзы өзені Қытайдағы ең үлкен өзен.	Yantszı çayı	Yantszı çayı Çinin ən böyük çayıdır.
场	hodisalar uchun hisob so'zi; maydon; joy	Bu yomg'ir ayni vaqtida yog'di.	оқиға санау сөзі; алаң; орын	Бұл жаңбыр дәл уақытында жауды.	hadisələr üçün say sözü; meydan; yer	Bu yağış lap vaxtında yağdı.
超过	oshmoq; ortiq bo'lmoq	Bu yerdan har kuni uch yuzdan ortiq reys uchadi.	асу; артық болу	Күн сайын бұл жерден үш жүзден астам рейс ұшады.	keçmək; artıq olmaq	Buradan hər gün üç yüzdən çox reys qalxır.
乘坐	minmoq; foydalanmoq	Ushbu reysga xush kelibsiz.	міну; пайдалану	Осы рейске қош келдіңіз.	minmək; istifadə etmək	Bu reysə xoş gəlmisiniz.
成功	muvaffaqiyat; muvaffaq bo'lmoq	Harakat muvaffaqiyatning kafolatidir.	табыс; табысқа жету	Еңбек табыстың кепілі.	uğur; uğur qazanmaq	Çalışmaq uğurun zəmanətidir.
成为	bo'lmoq; aylanmoq	Men bolaligimdan politsiyachi bo'lishni xohlaganman.	болу; айналу	Мен кішкентайымнан полиция қызметкері болғым келді.	olmaq; çevrilmək	Mən uşaqlıqdan polis olmaq istəmişəm.
诚实	halol; rostgo'y	Halol odamlar hurmatimizga loyiq.	адал; шыншыл	Адал адамдар біздің құрметімізге лайық.	dürüst; səmimi	Dürüst insanlar bizim hörmətimizə layiqdir.
吃惊	hayron qolmoq; ajablanmoq	Bu xabarni eshitib, u juda hayron qoldi.	таңғалу; шошу	Бұл хабарды естігенде, ол қатты таңғалды.	təəccüblənmək; heyrətlənmək	Bu xəbəri eşidəndə o çox təəccübləndi.
重新	qayta; yana	U ishni qaytadan bir marta aytdi.	қайта; жаңадан	Ол істі қайтадан бір рет айтты.	yənidən; təkrar	O, məsələni yenidən bir dəfə dedi.
抽烟	chekish	Kechirasiz, kasalxonada chekish mumkin emas.	темекі шегу	Кешіріңіз, ауруханада темекі шегуге болмайды.	siqaret çəkmək	Bağışlayın, xəstəxanada siqaret çəkmək olmaz.
出差	xizmat safariga bormoq	Dadam bir oydan ko'proq vaqtdan beri xizmat safarida.	іссапарға шығу	Әкем бір айдан астам уақыттан бері іссапарда жүр.	ezamiyyətə getmək	Atam bir aydan çoxdur ezamiyyətdədir.
出发	jo'nab ketmoq; yo'lga chiqmoq	Men Pekindan Shanxayga yo'lga chiqdim.	жолға шығу; аттану	Мен Бейжіңнен Шанхайға жолға шықтым.	yola düşmək; hərəkət etmək	Mən Pekindən Şanxaya yola düşdüm.
出生	tug'ilmoq	Men kichik bir shaharda tug'ilganman.	туу; дүниеге келу	Мен шағын қалада дүниеге келдім.	doğulmaq	Mən kiçik bir şəhərdə doğulmuşam.
出现	paydo bo'lmoq; yuzaga kelmoq	Ishimizda ko'p muammolar paydo bo'ldi.	пайда болу; туындау	Жұмысымызда көп мәселе пайда болды.	ortaya çıxmaq; yaranmaq	İşimizdə çoxlu problem ortaya çıxdı.
厨房	oshxona	Meva pichog'i oshxonada.	асүй; асхана	Жеміс пышағы асүйде.	mətbəx	Meyvə bıçağı mətbəxdədir.
传真	faks	Iltimos, menga bir faks yuborib bering.	факс	Өтінемін, маған бір факс жіберіп беріңіз.	faks	Zəhmət olmasa, mənə bir faks göndərin.
窗户	deraza	Men derazalarni allaqachon tozalab artdim.	терезе	Мен терезелерді сүртіп тазалап қойдым.	pəncərə	Mən pəncərələri artıq təmiz silmişəm.
词语	so'z; ibora	Iltimos, bu so'zlardan foydalanib bir nechta gap tuzing.	сөз; тіркес	Өтінемін, осы сөздерді қолданып бірнеше сөйлем құраңыз.	söz; ifadə	Zəhmət olmasa, bu sözlərdən istifadə edib bir neçə cümlə qurun.
从来	hech qachon; doim	Men uni hech qachon ko'rmaganman.	ешқашан; әрқашан	Мен оны ешқашан көрген емеспін.	heç vaxt; həmişə	Mən onu heç vaxt görməmişəm.
粗心	beparvo; e'tiborsiz	Siz juda beparvosiz.	ұқыпсыз; салақ	Сен шынымен тым ұқыпсызсың.	diqqətsiz; səhlənkar	Sən çox diqqətsizsən.
存	saqlamoq; omonatga qo'ymoq	Men pulni bankka omonatga qo'ydim.	сақтау; депозитке салу	Мен ақшаны банкке салдым.	saxlamaq; əmanət qoymaq	Mən pulu banka əmanət qoydum.
错误	xato; noto'g'ri	Xatomni ko'rsatganingiz uchun rahmat.	қате; жаңылыс	Қатемді көрсеткеніңіз үшін рақмет.	səhv; yanlış	Səhvimi göstərdiyiniz üçün təşəkkür edirəm.
答案	javob; yechim	Javobingiz to'g'ri.	жауап; шешім	Жауабың дұрыс.	cavab; həll	Cavabınız düzgündür.
打扮	yasanmoq; bezanmoq	U oddiygina yasanib, chiqib ketdi.	сәндену; әрлену	Ол қарапайым сәнденіп, сыртқа шықты.	bəzənmək; geyinib-kecinmək	O sadəcə bəzəndi və evdən çıxdı.
打扰	bezovta qilmoq; xalal bermoq	Uzr, sizni bir lahza bezovta qilaman.	мазалау; кедергі келтіру	Кешіріңіз, сізді бір сәт мазалайын.	narahat etmək; mane olmaq	Bağışlayın, sizi bir anlıq narahat edirəm.
打印	chop etmoq	Bu materiallar allaqachon chop etib bo'lindi.	басып шығару	Бұл материалдар басылып болды.	çap etmək	Bu materiallar artıq çap olunub.
打招呼	salomlashmoq	U menga kulib salom berdi.	амандасу	Ол маған күлімдеп амандасты.	salamlaşmaq	O mənimlə gülümsəyərək salamlaşdı.
打折	chegirma qilmoq	Bahor bayramidan oldin savdo markazlarida chegirmalar bo'ladi.	жеңілдік жасау	Көктем мерекесі алдында сауда орталықтарында жеңілдіктер болады.	endirim etmək	Bahar bayramından əvvəl ticarət mərkəzlərində endirimlər olur.
打针	ukol qilmoq; ukol olmoq	O'g'lim ukoldan juda qo'rqadi.	ине салу; укол алу	Ұлым ине салдырудан қатты қорқады.	iynə vurmaq; iynə vurdurmaq	Oğlum iynədən çox qorxur.
大概	ehtimol; taxminan	U ehtimol kelmaydi.	мүмкін; шамамен	Ол мүмкін келмейді.	yəqin; təxminən	O yəqin gəlməyəcək.
大使馆	elchixona	Men ertaga elchixonaga viza rasmiylashtirishga boraman.	елшілік	Мен ертең елшілікке виза рәсімдеуге барамын.	səfirlik	Mən sabah səfirliyə viza almağa gedəcəyəm.
大约	taxminan	U taxminan o'ttiz yoshlarda.	шамамен	Ол шамамен отыздарда.	təxminən	Onun təxminən otuzdan çox yaşı var.
大夫	shifokor	Li shifokor, ertaga ertalab kasalxonada bo'lasizmi?	дәрігер	Ли дәрігер, ертең таңертең ауруханада боласыз ба?	həkim	Li həkim, sabah səhər xəstəxanada olacaqsınız?
戴	taqmoq; kiymoq	U qora ko'zoynak taqqan.	тағу; кию	Ол қара көзілдірік тағып жүр.	taxmaq; geyinmək	O qara eynək taxıb.
当	bo'lmoq; bo'lib ishlamoq	Men shifokor bo'lishni xohlayman.	болу; болып жұмыс істеу	Мен дәрігер болғым келеді.	olmaq; kimi işləmək	Mən həkim olmaq istəyirəm.
当时	o'shanda; o'sha paytda	O'sha paytdagi vaziyatni aniq eslay olmayman.	сол кезде; ол уақытта	Мен сол кездегі жағдайды анық есіме түсіре алмаймын.	o vaxt; həmin vaxt	O vaxtkı vəziyyəti dəqiq xatırlamıram.
刀	pichoq	Meva pichog'i oshxonada.	пышақ	Жеміс пышағы асүйде.	bıçaq	Meyvə bıçağı mətbəxdədir.
导游	gid; ekskursovod	Opam gid bo'lib ishlaydi.	гид; экскурсия жүргізуші	Менің әпкем гид болып жұмыс істейді.	bələdçi; tur bələdçisi	Bacım tur bələdçisidir.
倒	yiqilmoq; qulatmoq	Kuchli shamol daraxtni qulatdi.	құлау; құлату	Қатты жел ағашты құлатты.	yıxılmaq; yıxmaq	Güclü külək ağacı yıxdı.
到处	hamma joyda	Bog'da hamma joyda gullar bor.	барлық жерде; әр жерде	Саябақта барлық жерде гүлдер бар.	hər yerdə	Parkda hər yerdə güllər var.
到底	axir; aniq	Bu gapning aniq ma'nosi nima?	ақыры; нақты	Бұл сөйлемнің нақты мағынасы қандай?	axı; dəqiq	Bu cümlə dəqiq nə deməkdir?
道歉	kechirim so'ramoq	Men undan allaqachon kechirim so'radim.	кешірім сұрау	Мен одан кешірім сұрап қойдым.	üzr istəmək	Mən ondan artıq üzr istəmişəm.
得	kerak; majbur	Ertaga imtihon bor, erta uxlashim kerak.	керек; тиіс	Ертең емтихан бар, ертерек ұйықтауым керек.	lazımdır; məcbur olmaq	Sabah imtahanım var, tez yatmalıyam.
得意	mamnun; faxrlangan	Ish muvaffaqiyatli bo'ldi, hamma juda faxrlandi.	риза; мақтаншақ	Жұмыс табысты болды, бәрі қатты риза.	məmnun; qürurlu	İş uğurlu oldu, hamı çox qürurlandı.
登机牌	bortga chiqish taloni	Iltimos, bortga chiqish taloningizni olib, samolyotga chiqishga tayyorlaning.	отырғызу талоны	Отырғызу талоныңызды алып, ұшаққа отыруға дайындалыңыз.	minik talonu	Zəhmət olmasa, minik talonunuzu götürün və təyyarəyə minməyə hazırlaşın.
等	va hokazo; kabilar	Stol ustida olma, banan kabi mevalar bor.	тағы басқалар; сияқты	Үстелде алма, банан сияқты жемістер бар.	və sair; kimi	Stolun üstündə alma, banan kimi meyvələr var.
低	past	Yana balandroq, hozir juda past.	төмен	Тағы биігірек, қазір тым төмен.	alçaq; aşağı	Bir az daha yuxarı, indi çox aşağıdır.
底	tag; asos	Koshaning tagi juda toza.	түбі; негізі	Кесенің түбі өте таза.	dib; əsas	Fincanın dibi çox təmizdir.
地点	joy; manzil	Yig'ilish joyi uchinchi qavatdagi majlis xonasida.	орын; мекен	Жиналыс орны үшінші қабаттағы мәжіліс бөлмесінде.	yer; məkan	İclas yeri üçüncü mərtəbədəki iclas otağındadır.
地球	Yer; Yer sayyorasi	Yer yuzasining katta qismi okeandir.	Жер; Жер шары	Жер бетінің көп бөлігі мұхит.	Yer; Yer kürəsi	Yer səthinin böyük hissəsi okeandır.
地址	manzil	Iltimos, manzilingizni yozib qo'ying.	мекенжай	Мекенжайыңызды жазып қойыңыз.	ünvan	Zəhmət olmasa, ünvanınızı yazın.
掉	tushmoq; tushirib yubormoq	Kalit yerga tushib ketdi.	түсу; түсіріп алу	Кілт жерге түсіп кетті.	düşmək; salmaq	Açar yerə düşdü.
调查	tekshiruv; tadqiq qilmoq	Politsiya tekshiruv olib bormoqda.	тергеу; зерттеу	Полиция тергеу жүргізіп жатыр.	araşdırma; araşdırmaq	Polis araşdırma aparır.
丢	yo'qotmoq	Kitob sumkangiz yo'qoldimi?	жоғалту	Сөмкең жоғалды ма?	itirmək	Məktəb çantan itdi?
动作	harakat; amal	Men sizga raqs o'rgatay, harakatlari juda oddiy.	қимыл; әрекет	Мен саған би үйретейін, қимылдары өте қарапайым.	hərəkət; əməl	İcazə ver, sənə rəqs öyrədim, hərəkətlər çox sadədir.
堵车	tirbandlik	Men yo'ldaman, yana tirbandlik bo'ldi.	көлік кептелісі	Мен жолдамын, тағы кептеліс болды.	tıxac	Mən yoldayam, yenə tıxac var.
肚子	qorin; oshqozon	Qornim og'riyapti.	іш; қарын	Ішім ауырып тұр.	qarın; mədə	Qarnım ağrıyır.
短信	qisqa xabar	Ishingiz bo'lsa, menga xabar yuboring yoki qo'ng'iroq qiling.	қысқа хабарлама	Ісіңіз болса, маған қысқа хабарлама жіберіңіз немесе қоңырау шалыңыз.	mesaj; qısa mesaj	İşiniz olsa, mənə mesaj göndərin və ya zəng edin.
对话	suhbat; dialog	Bu suhbat nisbatan sodda, men tushuna olaman.	диалог; әңгіме	Бұл диалог салыстырмалы түрде қарапайым, мен түсіне аламын.	dialoq; söhbət	Bu dialoq nisbətən sadədir, mən başa düşə bilirəm.
对面	qarama-qarshi tomon	Men maktabning ro'parasida yashayman.	қарама-қарсы бет	Мен дәл мектептің қарсысында тұрамын.	qarşı tərəf	Mən məktəbin düz qarşısında yaşayıram.
对于	...ga nisbatan; ...haqida	Bu masala bo'yicha mening boshqa fikrim bor.	жөнінде; қатысты	Бұл мәселе жөнінде менің басқа көзқарасым бар.	barəsində; ilə bağlı	Bu məsələ ilə bağlı fərqli fikrim var.
儿童	bola; bolalar	Bo'yi bir metr yigirma santimetrdan past bolalar bolalar chiptasini olishi mumkin.	бала; балалар	Бойы бір метр жиырма сантиметрден төмен балалар балалар билетін ала алады.	uşaq; uşaqlar	Boyu bir metr iyirmi santimetrdən aşağı olan uşaqlar uşaq bileti ala bilərlər.
而	va; ammo	Bu kiyim arzon va chiroyli.	және; бірақ	Бұл киім арзан әрі әдемі.	və; amma	Bu paltar ucuz və gözəldir.
发生	yuz bermoq; sodir bo'lmoq	Vaziyatda katta o'zgarish yuz berdi.	болу; орын алу	Жағдайда үлкен өзгеріс болды.	baş vermək; olmaq	Vəziyyətdə böyük dəyişiklik baş verdi.
发展	rivojlanish; rivojlanmoq	So'nggi yillarda iqtisodiyot tez rivojlandi.	даму; өркендеу	Соңғы жылдары экономика тез дамыды.	inkişaf; inkişaf etmək	Son illərdə iqtisadiyyat sürətlə inkişaf edib.
法律	qonun	Men universitetda huquq yo'nalishida o'qiyman.	заң	Мен университетте заң мамандығын оқимын.	qanun	Mən universitetdə hüquq ixtisası üzrə oxuyuram.
翻译	tarjima qilmoq; tarjimon	Iltimos, bu maqolani xitoy tiliga tarjima qiling.	аудару; аудармашы	Өтінемін, бұл мақаланы қытай тіліне аударыңыз.	tərcümə etmək; tərcüməçi	Zəhmət olmasa, bu məqaləni Çin dilinə tərcümə edin.
烦恼	tashvish; bezovtalik	Bu ish uchun boshqa tashvishlanmang.	уайым; мазасыздық	Бұл іс үшін енді уайымдамаңыз.	narahatlıq; dərd	Artıq bu işə görə narahat olmayın.
反对	qarshi chiqmoq	Hamma bu rejaga qarshi chiqyapti.	қарсы болу	Бұл жоспарға бәрі қарсы.	qarşı çıxmaq	Hamı bu plana qarşı çıxır.
方法	usul; yo'l	Biz muammoni hal qilish yo'lini albatta topamiz.	әдіс; жол	Біз мәселені шешудің жолын міндетті түрде табамыз.	üsul; yol	Biz problemi həll etməyin yolunu mütləq tapacağıq.
方面	jihat; soha	Dadam tarix sohasidagi kitoblarni o'qishni yaxshi ko'radi.	жағы; сала	Әкем тарих саласындағы кітаптарды оқығанды ұнатады.	sahə; cəhət	Atam tarix sahəsində kitablar oxumağı sevir.
方向	yo'nalish	Shu yo'nalishmi? Menimcha, biz adashib qoldik.	бағыт	Осы бағыт па? Меніңше, біз адасып қалдық.	istiqamət	Bu istiqamətdirmi? Məncə, biz yolu azmışıq.
房东	uy egasi; ijara beruvchi	Uy egam juda do'stona, menga tez-tez yordam beradi.	үй иесі; жалға беруші	Үй ием өте мейірімді, маған жиі көмектеседі.	ev sahibi; kirayə verən	Ev sahibim çox mehribandır, mənə tez-tez kömək edir.
放弃	voz kechmoq	Men chet elda o'qish imkoniyatidan voz kechdim.	бас тарту	Мен шетелде оқу мүмкіндігінен бас тарттым.	vaz keçmək	Mən xaricdə oxumaq fürsətindən vaz keçdim.
放暑假	yozgi ta'tilga chiqmoq	Ertaga yozgi ta'til boshlanadi.	жазғы демалысқа шығу	Ертең жазғы демалыс басталады.	yay tətilinə çıxmaq	Sabah yay tətili başlayır.
放松	bo'shashmoq; dam olmoq	Imtihon tugadi, biz biroz dam olishimiz kerak.	босаңсу; демалу	Емтихан аяқталды, бізге біраз демалу керек.	rahatlanmaq; dincəlmək	İmtahan bitdi, bir az dincəlməliyik.
份	hujjat yoki porsiya uchun hisob so'zi	Iltimos, menga bir faks yuborib bering.	құжат немесе үлес санау сөзі	Өтінемін, маған бір факс жіберіп беріңіз.	sənəd və pay üçün say sözü	Zəhmət olmasa, mənə bir faks göndərin.
丰富	boy; mo'l	Kitob o'qish hayotimizni boyitadi.	бай; мол	Кітап оқу өмірімізді байытады.	zəngin; bol	Kitab oxumaq həyatımızı zənginləşdirir.
否则	aks holda; bo'lmasa	Hozir yo'lga chiqaylik, aks holda kech qolamiz.	әйтпесе; болмаса	Қазір жолға шығайық, әйтпесе кешігеміз.	əks halda; yoxsa	İndi yola çıxaq, əks halda gecikəcəyik.
符合	mos kelmoq; javob bermoq	U bizning ishga olish shartlarimizga juda mos keladi.	сәйкес келу; сай болу	Ол біздің жұмысқа қабылдау шарттарымызға өте сай келеді.	uyğun gəlmək; cavab vermək	O bizim işə qəbul meyarlarımıza çox yaxşı uyğun gəlir.
付款	to'lov qilmoq; to'lov	Xarid uchun internetda to'lov qilish mumkin.	төлем жасау; төлем	Сатып алуды интернетте төлеуге болады.	ödəniş etmək; ödəniş	Alış-veriş üçün internetdə ödəniş etmək olar.
复印	nusxa ko'chirmoq; fotonusxa qilmoq	Iltimos, bu materialdan yana ikki nusxa ko'chiring.	көшірме жасау; ксерокөшіру	Мына материалдан тағы екі көшірме жасаңыз.	surət çıxarmaq; kserokopiya etmək	Zəhmət olmasa, bu materialdan daha iki nüsxə çıxarın.
复杂	murakkab; chigal	Bu murakkab texnik masala.	күрделі; қиын	Бұл күрделі техникалық мәселе.	mürəkkəb; çətin	Bu mürəkkəb texniki məsələdir.
富	boy	Odamlarning hayoti tobora boyib bormoqda.	бай	Адамдардың тұрмысы барған сайын байып келеді.	varlı; zəngin	İnsanların həyatı getdikcə zənginləşir.
父亲	ota	Mening otam bu yil sakson uch yoshda.	әке	Менің әкем биыл сексен үш жаста.	ata	Mənim atamın bu il səksən üç yaşı var.
负责	mas'ul bo'lmoq; javobgar bo'lmoq	Kichik Li ishda juda mas'uliyatli.	жауапты болу; жауапкершілікті	Кіші Ли жұмысына өте жауапты.	məsul olmaq; məsuliyyətli olmaq	Kiçik Li işində çox məsuliyyətlidir.
改变	o'zgartirmoq; o'zgarish	Men rejamni allaqachon o'zgartirdim.	өзгерту; өзгеріс	Мен жоспарымды өзгертіп қойдым.	dəyişmək; dəyişdirmək	Mən planımı artıq dəyişmişəm.
干杯	qadah ko'tarmoq; sog'liq uchun	Barchangizni bayram bilan tabriklayman, qadah ko'taraylik!	тост айту; алып қояйық	Барлығыңызды мерекемен құттықтаймын, алып қояйық!	sağlıq demək; badə qaldırmaq	Hamınızın bayramı mübarək, sağlıq deyək!
