simplified	PT	example_PT
别墅	vivenda	Eles compraram uma vivenda nos arredores.
别致	distinto	A decoração deste café é muito distinta.
别扭	estranho	Esta frase soa um pouco estranha.
濒临	à beira de	Este animal está à beira da extinção.
冰雹	granizo	Ontem à tarde caiu granizo forte.
丙	grupo C	O jogo do grupo C começa à tarde.
并非	não ser	As coisas não são como imaginas.
并列	empatado	Estes dois projectos ficaram empatados em primeiro lugar.
剥削	explorar	Na sociedade antiga havia exploração grave.
拨	marcar	Por favor, marca este número de telefone.
播种	semear	Os agricultores começam a semear na Primavera.
波浪	onda	Grandes ondas ergueram-se no mar.
波涛	vagalhões	O barco avançou entre os vagalhões.
伯母	tia	Vou visitar a minha tia no fim de semana.
博大精深	amplo e profundo	A cultura chinesa é ampla e profunda.
博览会	exposição internacional	A exposição internacional atraiu muitas empresas.
搏斗	lutar	A polícia lutou com o criminoso.
薄弱	fraco	A base gramatical dele é relativamente fraca.
不顾	independentemente de	Ele entrou a correr independentemente do perigo.
不愧	fazer jus a	Ele faz jus ao título de especialista experiente.
不料	inesperadamente	Inesperadamente, a reunião foi cancelada de repente.
不像话	inadmissível	É inadmissível tratares os convidados assim.
不屑一顾	desdenhar	Ele desdenhou estes rumores.
哺乳	amamentar	A mãe está a amamentar o bebé.
捕捉	captar	O fotógrafo captou um momento maravilhoso.
补偿	compensar	A empresa vai compensar-te pela perda.
补救	remediar	Ainda temos tempo para remediar isto.
补贴	subsídio	O governo concede subsídios às famílias de baixo rendimento.
不得已	sem alternativa	Ele só deixou a terra natal porque não tinha alternativa.
不妨	talvez valha a pena	Talvez valha a pena ouvires primeiro a explicação dele.
不敢当	não merecer tantos elogios	Com tantos elogios seus, eu realmente não os mereço.
不禁	não conseguir evitar	Ao ouvir a notícia, ele não conseguiu evitar rir-se.
不堪	insuportável	O ruído aqui é insuportável.
不可思议	inacreditável	Este resultado é realmente inacreditável.
不免	inevitavelmente	Na primeira vez em palco, ele ficou inevitavelmente um pouco nervoso.
不时	de vez em quando	Ele levantava a cabeça de vez em quando para ver o relógio.
不惜	não hesitar	Para salvar alguém, ele não hesitou em correr riscos.
不相上下	equilibrado	As duas equipas estão equilibradas.
不言而喻	óbvio	A importância da honestidade é óbvia.
不由得	não conseguir deixar de	Ao ver a fotografia antiga, não consegui deixar de pensar na infância.
不择手段	sem escrúpulos	Ele usa meios sem escrúpulos para ganhar dinheiro.
不止	mais de	Mais de cem pessoas participaram na reunião.
布告	aviso	Foi afixado um aviso à porta da escola.
布局	disposição	A disposição deste apartamento é muito razoável.
布置	atribuir	O professor atribuiu novos trabalhos de casa.
步伐	passo	A equipa avançou com passos ordenados.
部署	implementar	A empresa está a implementar um novo plano de vendas.
部位	zona	O médico examinou a zona ferida.
才干	competência	Ela tem muita competência em gestão.
裁缝	alfaiate	Este alfaiate é muito habilidoso.
裁判	árbitro	O árbitro anunciou a pausa do jogo.
裁员	despedir pessoal	A empresa decidiu despedir pessoal por causa dos prejuízos.
财富	riqueza	O conhecimento também é uma forma de riqueza.
财务	finanças	O departamento financeiro está a verificar as contas.
财政	finanças públicas	As receitas fiscais aumentaram este ano.
彩票	bilhetes de lotaria	Ele compra ocasionalmente um bilhete de lotaria.
采购	comprar	A empresa enviou alguém para comprar equipamento.
采集	recolher	Os investigadores recolheram amostras na floresta.
采纳	adoptar	A liderança adoptou a nossa sugestão.
参谋	aconselhar	Ele costuma aconselhar o gerente.
参照	consultar	Preenche o formulário consultando este formato.
残疾	deficiente	Esta estação oferece ajuda a passageiros deficientes.
残酷	cruel	A guerra é muito cruel.
残留	restar	Ainda resta cheiro a café no copo.
残忍	cruel	Maltratar animais é um comportamento cruel.
灿烂	radiante	Ela mostrou um sorriso radiante.
仓促	apressado	Esta decisão foi tomada de forma demasiado apressada.
仓库	armazém	As mercadorias já foram entregues no armazém.
舱	cabina	Os passageiros estão a entrar na cabina.
苍白	pálido	O rosto dele parecia muito pálido.
操劳	trabalhar arduamente	A mãe trabalhou arduamente por esta família durante muitos anos.
操练	treinar	Os soldados treinam todas as manhãs.
操纵	controlar	Esta máquina é controlada por computador.
操作	operar	Opera o equipamento de acordo com as instruções.
嘈杂	barulhento	A estação está muito barulhenta.
草案	rascunho	A comissão está a discutir o rascunho.
草率	precipitado	Uma decisão tão importante não pode ser precipitada.
侧面	lado	Vista de lado, esta construção parece mais alta.
测量	medir	O engenheiro está a medir o comprimento da ponte.
策划	planear	Eles planearam um grande evento.
策略	estratégia	Esta estratégia ajudou a empresa a reduzir custos.
层出不穷	surgir sem parar	Novos problemas continuam a surgir sem parar.
层次	estrutura	A estrutura deste artigo é muito clara.
差别	diferença	Não há grande diferença entre os dois métodos.
插座	tomada	Não há tomadas suficientes neste quarto.
查获	apreender	A alfândega apreendeu um lote de mercadorias falsas.
刹那	instante	Num instante, todas as luzes se apagaram.
岔	bifurcar	Os carros bifurcaram no cruzamento à frente.
诧异	surpreendido	A decisão dele deixou todos muito surpreendidos.
柴油	gasóleo	Este camião usa gasóleo.
搀	amparar	A enfermeira amparou o idoso até à enfermaria.
缠绕	enrolar-se	As trepadeiras enrolam-se nos ramos.
馋	ter desejo	Ao ver o bolo, a criança ficou com desejo.
产业	indústria	O turismo é uma indústria importante aqui.
阐述	expor	O professor expôs detalhadamente o seu ponto de vista.
颤抖	tremer	Ela estava tão fria que tremia por todo o corpo.
昌盛	próspero	Esperamos que o país seja próspero e florescente.
偿还	reembolsar	Ele reembolsou o empréstimo a tempo.
尝试	tentar	Podemos tentar um novo método.
场合	ocasião	Esta ocasião não é adequada para fazer piadas.
场面	cenário	O cenário do casamento estava muito animado.
场所	local	Este é um local público; não fumes.
敞开	abrir bem	Deixa a janela bem aberta por um momento.
倡导	defender	A escola defende um estilo de vida saudável.
倡议	iniciativa	Esta iniciativa ambiental recebeu apoio.
畅通	desimpedido	Depois de a chuva parar, a estrada voltou a ficar desimpedida.
畅销	vender muito bem	Este romance vende muito bem.
超越	superar	Ele finalmente superou o seu próprio recorde.
钞票	notas	Só restavam algumas notas na carteira.
嘲笑	gozar	Não gozes com os defeitos dos outros.
巢穴	toca	O caçador descobriu a toca do animal.
朝代	dinastia	A dinastia Tang é uma dinastia da história chinesa.
潮流	tendência	Os jovens prestam muita atenção às tendências da moda.
撤退	retirar-se	As tropas retiraram-se depois de receberem a ordem.
撤销	revogar	O tribunal revogou a sentença original.
沉淀	depositar	O lodo vai depositar-se lentamente.
沉闷	abafado	O tempo hoje está quente e abafado.
沉思	meditar	Ele sentou-se junto à janela a meditar.
沉重	pesado	Esta notícia deixou todos com o coração pesado.
沉着	calmo	É preciso manter-se calmo perante o perigo.
陈旧	antiquado	Esta máquina já está muito antiquada.
陈列	expor	Na sala de exposição estão expostas muitas relíquias culturais.
陈述	declarar	Por favor, declara os factos claramente.
称心如意	satisfatório	Este trabalho é muito satisfatório para ele.
衬托	realçar	A parede branca realça a cor das flores.
称号	título	Ele recebeu o título de professor excelente.
乘	apanhar	Apanho o metro para o trabalho todos os dias.
呈现	apresentar	O céu apresentou uma cor vermelha clara.
城堡	castelo	Há um castelo antigo no topo da montanha.
惩罚	punir	A escola vai punir os alunos que copiam.
成本	custo	A subida dos preços das matérias-primas aumentou o custo.
成交	fechar negócio	Este negócio foi finalmente fechado.
成天	o dia todo	Ele fica sentado à frente do computador o dia todo.
成效	resultado	O novo método de gestão mostrou resultados rapidamente.
成心	de propósito	Ele não te envergonhou de propósito.
成员	membro	Todos os membros têm de participar na reunião.
承办	organizar	Esta empresa organizou a exposição.
承包	contratar	Eles contrataram esta obra.
承诺	prometer	Ele prometeu terminar a tarefa a tempo.
橙	laranja	Comprei várias laranjas frescas.
澄清	esclarecer	O gerente veio esclarecer o mal-entendido.
盛	servir	Ela serviu uma tigela de sopa ao convidado.
诚挚	sincero	Por favor, aceita os meus sinceros agradecimentos.
秤	balança	Esta balança não é muito exacta.
吃苦	suportar dificuldades	Os jovens devem aprender a suportar dificuldades.
吃力	exigir esforço	Mover esta caixa exige muito esforço.
持久	duradouro	O sucesso exige esforço duradouro.
迟钝	lento	As reacções dele têm estado um pouco lentas recentemente.
迟缓	lento	O trânsito ficou lento depois da chuva.
迟疑	hesitar	Ela hesitou por um momento antes de responder.
赤道	equador	Perto do equador faz calor o ano inteiro.
赤字	défice	A empresa registou um défice este ano.
充当	servir de	Ele serviu de coordenador no projecto.
充沛	abundante	As crianças têm energia abundante.
充实	enriquecedor	Esta experiência tornou a minha vida mais enriquecedora.
充足	suficiente	Prepara água suficiente antes da viagem.
冲动	impulso	Não tomes uma decisão por impulso momentâneo.
冲击	impacto	A nova tecnologia teve impacto nas indústrias tradicionais.
冲突	conflito	Ambas as partes tentaram evitar o conflito.
崇拜	admirar	Muitos jovens admiram este cientista.
崇高	nobre	O dever de um médico é nobre.
崇敬	respeitar	Os alunos respeitam muito este professor.
重叠	sobrepor-se	Estas duas tarefas sobrepõem-se em parte.
稠密	denso	A população aqui é muito densa.
筹备	preparar	Eles estão a preparar o casamento.
丑恶	feio	Ele expôs a verdade feia por trás do incidente.
出路	saída	A educação pode dar aos jovens mais saídas.
出卖	trair	Ele não trairia os amigos.
出身	origem	Ele vem de uma família comum.
出神	absorvido	Ela ficou absorvida a ouvir música.
出息	futuro promissor	Esta criança terá um futuro promissor.
初步	preliminar	Já chegámos a um acordo preliminar.
除	exceto	Todos chegaram, exceto ele.
储备	reservar	A empresa precisa de reservar mais fundos.
储存	armazenar	Estes dados serão armazenados automaticamente.
储蓄	poupar	Ele poupa uma parte do salário todos os meses.
处分	punição disciplinar	A escola aplicou-lhe uma punição disciplinar grave.
处境	situação difícil	A situação deles agora é muito difícil.
处置	tratar	Este equipamento antigo precisa de ser tratado adequadamente.
触犯	violar	Fazer isto viola a lei.
川流不息	fluxo contínuo	Os veículos na rua passam num fluxo contínuo.
穿越	atravessar	O comboio atravessou o túnel longo.
传达	transmitir	Por favor, transmite esta notícia a todos.
传单	folheto	Os voluntários distribuíram folhetos na rua.
传授	transmitir	O professor transmitiu experiência aos alunos.
船舶	embarcação	Muitas embarcações estão atracadas no porto.
喘气	ofegar	Ele continuou a ofegar depois de correr.
串	enfiar	Ela enfiou as contas num colar.
床单	lençol	Por favor, muda o lençol.
创立	fundar	Eles fundaram juntos esta empresa.
创新	inovar	O desenvolvimento da empresa exige inovação constante.
创业	criar uma empresa	Muitos jovens escolhem criar a própria empresa.
创作	criar	O escritor está a criar um romance longo.
吹牛	gabar-se	Não te gabes; mostra provas.
吹捧	elogiar em excesso	Os meios de comunicação elogiaram este produto em excesso.
炊烟	fumo de cozinha	Ao entardecer, subiu fumo de cozinha na aldeia.
垂直	vertical	Estas duas linhas são perpendiculares.
锤	martelo	O trabalhador bateu na chapa de ferro com um martelo.
纯粹	puramente	A ajuda dele foi puramente por boa vontade.
纯洁	puro	O coração de uma criança é muito puro.
慈善	caridade	Esta empresa participa muitas vezes em actividades de caridade.
慈祥	afável	O sorriso da avó era muito afável.
磁带	cassete	Esta cassete antiga ainda pode ser reproduzida.
雌雄	macho e fêmea	Nesta espécie de ave, o macho e a fêmea têm cores diferentes.
伺候	cuidar	A enfermeira cuidou do doente com atenção.
刺	espinho	Os ramos da roseira têm muitos espinhos.
次品	produto defeituoso	Estes produtos defeituosos não podem ser vendidos.
次序	ordem	Por favor, façam fila por ordem.
丛	moita	Há uma moita de flores silvestres junto à estrada.
从容	calmo	Ela respondeu à pergunta com calma.
凑合	desenrascar-se	O quarto não é grande, mas dá para desenrascar.
粗鲁	rude	Ele fala de forma demasiado rude.
窜	disparar	O gato disparou para dentro de casa.
摧残	devastar	A poluição prolongada vai devastar esta floresta.
脆弱	frágil	Os objectos de vidro são muito frágeis.
搓	esfregar	Ele esfregou as mãos geladas.
磋商	negociar	As duas partes continuarão a negociar.
挫折	contratempo	Toda a gente encontra contratempos.
搭	apanhar	Vamos apanhar o autocarro para o aeroporto.
搭档	parceiro	Ele é o meu parceiro de trabalho há muitos anos.
搭配	combinar	Este casaco combina bem com as calças.
答辩	defesa	O estudante de mestrado está a preparar a defesa da tese.
答复	resposta	Por favor, dá-me uma resposta o mais depressa possível.
达成	alcançar	As duas partes finalmente alcançaram um acordo.
打包	embalar	O empregado embalou as sobras para nós.
打官司	ir a tribunal	Eles foram a tribunal por causa do contrato.
打击	golpe	Este fracasso foi um grande golpe para ele.
打架	andar à pancada	Os alunos que andam à pancada no campus são punidos.
打量	observar	Ela observou-me de alto a baixo.
打猎	caçar	É proibido caçar aqui.
打仗	fazer guerra	Ninguém quer fazer guerra.
大不了	na pior das hipóteses	Na pior das hipóteses, tentamos outra vez amanhã.
大臣	ministro	O rei convocou vários ministros.
大伙儿	todos	Todos estão à espera da tua decisão.
大肆	em larga escala	O comerciante promoveu o novo produto em larga escala.
大体	em geral	O plano, em geral, não tem problemas.
大意	ideia principal	Por favor, explica primeiro a ideia principal do artigo.
大致	aproximadamente	Já percebi aproximadamente o que aconteceu.
歹徒	criminoso	A polícia apanhou rapidamente o criminoso.
代价	preço	O sucesso costuma exigir pagar um preço.
代理	substituir	Ele está temporariamente a substituir o gerente.
带领	guiar	O professor guiou os alunos numa visita ao museu.
怠慢	negligenciar	Não podemos negligenciar os convidados.
逮捕	prender	A polícia prendeu o principal suspeito.
担保	garantia	O banco exige que alguém dê uma garantia.
胆怯	tímido	Na primeira apresentação, ele estava um pouco tímido.
淡季	época baixa	Os bilhetes de avião são mais baratos na época baixa.
淡水	água doce	Este tipo de peixe só vive em água doce.
蛋白质	proteína	Os ovos contêm muita proteína.
诞辰	aniversário de nascimento	Hoje é o aniversário de nascimento deste escritor.
诞生	nascer	Esta ideia nasceu durante a discussão.
当场	no local	Ele admitiu o erro no local.
当初	no início	No início, todos apoiámos esta decisão.
当代	contemporâneo	A sociedade contemporânea muda muito depressa.
当面	cara a cara	É melhor esclarecer os problemas cara a cara.
当前	actual	Actualmente, o mais importante é garantir a segurança.
当事人	pessoa envolvida	A polícia está a interrogar a pessoa envolvida.
当务之急	prioridade máxima	Resolver o problema da habitação é a prioridade máxima.
当选	ser eleito	Ela foi eleita presidente sem dificuldade.
党	partido	Este partido propôs uma nova política.
档案	processo	A escola guardou os processos dos alunos.
档次	nível	Este hotel é de nível elevado.
倒闭	fechar	Aquela pequena loja fechou no ano passado.
导弹	míssil	As notícias relataram o teste do míssil.
导航	navegação	Por favor, liga a navegação do telemóvel.
导向	orientação	A política educativa deve ter a justiça como orientação.
捣乱	fazer confusão	Por favor, não faças confusão na aula.
盗窃	roubo	O centro comercial reforçou medidas para evitar roubos.
稻谷	arroz em casca	Os agricultores estão a colher arroz em casca.
得不偿失	não compensar	Comprar materiais fracos para poupar dinheiro não compensa.
得力	capaz	Ele é um assistente capaz junto do gerente.
得天独厚	com vantagens únicas	Esta cidade tem vantagens geográficas únicas.
得罪	ofender	Não quero ofender colegas por causa de uma coisa pequena.
灯笼	lanterna	No Ano Novo Chinês, há lanternas vermelhas penduradas à porta.
登录	iniciar sessão	Por favor, inicia primeiro sessão na tua conta.
登陆	chegar a terra	O tufão pode chegar à costa esta noite.
蹬	dar impulso	Ele deu um impulso forte com o pé e a bicicleta avançou.
等候	esperar	Os passageiros estão no salão à espera de embarcar.
等级	nível	Este software tem diferentes níveis de sócio.
瞪	olhar fixamente	Ele olhou fixamente para mim, zangado.
堤坝	barragem	Depois da chuva forte, a barragem precisa de uma inspecção cuidadosa.
敌视	hostilizar	Não devemos hostilizar opiniões diferentes.
抵达	chegar	O avião chegou a Pequim a horas.
抵抗	resistir	Os aldeões resistiram juntos à inundação.
抵制	boicotar	Os consumidores começaram a boicotar produtos de má qualidade.
地步	ponto	A situação ainda não chegou a esse ponto.
地势	terreno	O terreno aqui é mais alto, por isso a água acumula-se com dificuldade.
地质	geologia	Os especialistas estão a investigar a geologia local.
递增	aumentar gradualmente	As vendas aumentaram durante três meses seguidos.
颠簸	acidentado	A estrada de montanha é muito acidentada, por isso conduz com cuidado.
颠倒	inverter	Inverteste a ordem dos dois números.
典礼	cerimónia	A cerimónia de graduação será realizada no auditório.
典型	típico	Este é um caso típico de sucesso.
点缀	enfeitar	Algumas flores pequenas enfeitavam a mesa de jantar.
垫	colocar por baixo	Por favor, coloca esta folha de papel por baixo do copo.
奠定	estabelecer	Esta cooperação estabeleceu a base de uma relação de longo prazo.
惦记	preocupar-se	A mãe preocupa-se sempre com o filho que está longe.
电源	corrente eléctrica	Por favor, desliga a corrente eléctrica antes de sair.
叼	segurar com a boca	Aquele cão segurava um osso com a boca.
雕刻	entalhar	Ele gosta de entalhar padrões na madeira.
雕塑	escultura	Há uma escultura no centro da praça.
吊	erguer	Os trabalhadores usaram uma máquina para erguer a viga de aço.
调动	transferir	A empresa transferiu-o para trabalhar em Xangai.
跌	cair	O preço das acções voltou a cair hoje.
丁	cubos	A receita diz para cortar as batatas em cubos.
叮嘱	lembrar repetidamente	O professor lembrou-nos repetidamente de ter cuidado.
盯	ficar a olhar	Por favor, não fiques sempre a olhar para os outros.
定期	regularmente	O médico aconselhou-o a fazer exames regularmente.
定义	definição	Por favor, explica primeiro a definição deste conceito.
丢人	vergonhoso	Mentir em público é mesmo vergonhoso.
丢三落四	distraído	Ele é sempre distraído e muitas vezes esquece as chaves ao sair.
东道主	anfitrião	Como anfitriões, devemos cuidar bem dos convidados.
东张西望	olhar para todo o lado	Não olhes para todo o lado durante a aula.
董事长	presidente do conselho	O presidente do conselho participou hoje na reunião.
冻结	congelar	O banco congelou temporariamente esta conta.
动荡	instabilidade	A guerra manteve esta região em instabilidade durante muito tempo.
动机	motivo	A polícia está a investigar o motivo dele.
动静	movimento	Não havia o menor movimento dentro da casa.
动力	motivação	O interesse é a motivação para aprender.
动脉	artéria	O médico examinou a artéria dele.
动身	partir	Partimos amanhã cedo para o aeroporto.
动手	partir para a violência	Enquanto o assunto não estiver claro, ninguém deve partir para a violência.
动态	evolução	Por favor, acompanha a evolução do projecto a qualquer momento.
动员	mobilizar	A escola mobilizou os alunos para participarem em actividades voluntárias.
栋	prédio	Este prédio tem vinte andares.
兜	bolso	Ele pôs as chaves no bolso do casaco.
陡峭	íngreme	Esta estrada de montanha é muito íngreme.
斗争	lutar	Eles lutam para proteger o ambiente.
督促	pressionar	O gerente pressionou todos a concluir a tarefa a tempo.
毒品	droga	A alfândega apreendeu uma remessa de droga.
独裁	ditadura	As pessoas opõem-se à ditadura.
堵塞	entupir	O lixo entupiu o esgoto.
赌博	jogo	O jogo pode trazer consequências graves.
杜绝	acabar com	A empresa exige acabar com o desperdício.
端	levar	Ele entrou a levar uma chávena de chá quente.
端午节	Festival do Barco-Dragão	No Festival do Barco-Dragão, comemos zongzi.
端正	corrigir	Os alunos devem corrigir a atitude perante o estudo.
短促	breve	Ele soltou um suspiro breve.
断定	determinar	Ainda não é possível determinar quem tem razão.
断绝	cortar	Depois do acidente, a aldeia cortou contacto com o exterior.
堆积	acumular	A neve acumulou-se à beira da estrada.
兑现	cumprir	Ele finalmente cumpriu a promessa.
对策	medida	Perante riscos, precisamos de medidas.
对称	simétrico	Os dois lados deste edifício são muito simétricos.
对付	lidar	Este problema não é fácil de lidar.
对抗	enfrentar	As duas equipas vão enfrentar-se na final.
对立	oposto	As posições das duas partes são completamente opostas.
对联	dístico	No Ano Novo Chinês, eles colaram dísticos à porta.
对应	corresponder	Cada número corresponde a um lugar.
对照	comparar	Por favor, compara a tradução com o texto original.
队伍	cortejo	O cortejo avançou lentamente.
顿时	imediatamente	Ao ouvir a notícia, ele ficou imediatamente sem reacção.
哆嗦	tremer	Estava tanto frio que ele continuou a tremer.
多元化	diversificação	A empresa está a promover a diversificação dos negócios.
堕落	degradar-se	Ele não quer deixar-se degradar mais.
额外	adicional	Este serviço exige uma taxa adicional.
恶心	enjoado	Ao cheirar aquele odor, fiquei um pouco enjoado.
恶化	piorar	Se não for tratada, a doença pode piorar.
遏制	conter	O governo tomou medidas para conter a poluição.
恩怨	ressentimento	O ressentimento entre as duas empresas já vem de longe.
而已	apenas	Eu estava apenas a dizer isso por dizer.
二氧化碳	dióxido de carbono	As plantas absorvem dióxido de carbono.
发布	lançar	A empresa vai lançar um novo produto amanhã.
发财	enriquecer	Ele espera enriquecer através do esforço.
发呆	ficar absorto	Ela ficou absorta sentada à janela.
发动	mobilizar	Os voluntários mobilizaram os moradores para limpar a rua.
发觉	reparar	Reparei que ele estava um pouco nervoso hoje.
发射	lançar	O foguete será lançado à noite.
发誓	jurar	Ele jurou que nunca mais mentiria.
发行	estrear	Este filme estreia no próximo mês.
发炎	inflamar	A ferida está um pouco inflamada.
发扬	desenvolver	Devemos desenvolver o espírito de trabalho em equipa.
