source_headword	SK	example_SK
candidate	kandidát	Každý kandidát odpovedal na tri otázky.
cap	šiltovka	Mal baseballovú šiltovku.
captain	kapitán	Kapitán prehovoril k tímu.
careless	neopatrný	Neopatrná chyba nás stála čas.
category	kategória	Vyber správnu kategóriu.
ceiling	strop	Strop bol natretý nabielo.
celebration	oslava	Oslava trvala celý večer.
central	centrálny	Hotel má centrálnu polohu.
ceremony	obrad	Obrad sa začal na poludnie.
chain	retiazka	Nosila striebornú retiazku.
challenge	výzva	Tento projekt je skutočná výzva.
champion	šampión	Šampiónka poďakovala trénerovi.
channel	kanál	Zmeň kanál, prosím.
chapter	kapitola	Dnes večer si prečítaj ďalšiu kapitolu.
charge	poplatok	Za deti sa neplatí žiadny poplatok.
cheat	podvádzať	Nepodvádzaj pri teste.
cheerful	veselý	Dnes ráno znela veselo.
chemical	chemický	Chemický zápach bol silný.
chest	hrudník	Po behu ho bolel hrudník.
childhood	detstvo	Pamätám si svoj domov z detstva.
claim	tvrdiť	Tvrdia, že produkt je bezpečný.
clause	veta	Táto veta mení význam.
click	kliknúť	Klikni na modré tlačidlo.
client	klient	Klient požiadal o viac podrobností.
cloth	handrička	Utri stôl touto handričkou.
clue	vodidlo	Vodidlo nám pomohlo to vyriešiť.
coal	uhlie	Starý vlak používal uhlie.
coin	minca	Na podlahe našiel mincu.
collection	zbierka	Jej zbierka známok je veľká.
coloured	farebný	Mala farebný šál.
combine	spojiť	Spoj múku a vodu.
commercial	reklamný	Reklamná prestávka trvala päť minút.
commit	zaviazať sa	Musíme sa zaviazať k plánu.
communication	komunikácia	Dobrá komunikácia predchádza chybám.
comparison	porovnanie	Toto porovnanie je užitočné.
competitive	konkurenčný	Trh je veľmi konkurenčný.
competitor	konkurent	Náš hlavný konkurent znížil ceny.
complaint	sťažnosť	Podala sťažnosť na hluk.
complex	zložitý	Pokyny sú príliš zložité.
concentrate	sústrediť sa	Nemôžem sa sústrediť, keď hrá hudba.
conclude	uzavrieť	Stretnutie teraz uzavrieme.
conclusion	záver	Jeho záver sa zdal rozumný.
confident	sebaistý	Pred pohovorom sa cítila sebaisto.
confirm	potvrdiť	Potvrď prosím svoju e-mailovú adresu.
confuse	mýliť	Tieto dve mená ma mýlia.
confused	zmätený	Podľa mapy som sa cítil zmätený.
connection	pripojenie	Internetové pripojenie je pomalé.
consequence	následok	Nedostatok spánku má následky.
consist	skladať sa	Jedlo sa skladá z troch chodov.
consume	spotrebovať	Veľké autá spotrebujú viac paliva.
consumer	spotrebiteľ	Spotrebiteľ chce jasné informácie.
contact	kontaktovať	Kontaktuj ma po obede.
container	nádoba	Daj polievku do nádoby.
content1	obsah	Obsah kurzu je užitočný.
continuous	nepretržitý	Stroj vydával nepretržitý hluk.
contrast	kontrast	Kontrast medzi nimi je jasný.
convenient	pohodlný	Stanica je veľmi pohodlná.
convince	presvedčiť	Presvedčila ho, aby to skúsil znova.
costume	kostým	Mal pirátsky kostým.
cottage	chata	Prenajali si malú chatu.
cotton	bavlna	Táto košeľa je z bavlny.
countryside	vidiek	Prechádzali sme vidiekom.
court	súd	Prípad išiel na súd.
covered	pokrytý	Stôl bol pokrytý papiermi.
cruel	krutý	Bolo kruté smiať sa.
cultural	kultúrny	Múzeum ponúka kultúrne podujatia.
currency	mena	Miestnou menou je euro.
current	súčasný	Súčasná situácia je ťažká.
currently	v súčasnosti	V súčasnosti študuje v zahraničí.
curtain	záves	Na noc zatiahni záves.
custom	zvyk	Tento zvyk je veľmi starý.
damage	škoda	Búrka spôsobila vážnu škodu.
decade	desaťročie	Žili tam desaťročie.
decorate	zdobiť	Izbu zdobíme spoločne.
define	definovať	Môžeš definovať tento pojem?
definite	určitý	Potrebujeme určitú odpoveď.
definition	definícia	Napíš definíciu do zošita.
deliver	doručiť	Doručujú jedlo k nám domov.
departure	odchod	Čas odchodu sa zmenil.
despite	napriek	Napriek dažďu sme išli pešo.
destination	cieľ	Paríž bol ich konečný cieľ.
determine	určiť	Testy určia tvoju úroveň.
determined	odhodlaný	Bola odhodlaná uspieť.
development	rozvoj	Rozvoj mesta bol rýchly.
diagram	schéma	Nakresli jednoduchú schému.
diamond	diamant	Prsteň mal malý diamant.
difficulty	ťažkosť	Mal ťažkosti otvoriť dvere.
directly	priamo	Prosím, hovor priamo so mnou.
dirt	špina	Jeho topánky boli pokryté špinou.
disadvantage	nevýhoda	Dlhá cesta je nevýhoda.
disappointed	sklamaný	Bola sklamaná výsledkom.
disappointing	sklamanie	Koniec bol sklamanie.
discount	zľava	Študenti tu dostanú zľavu.
dislike	neznášať	Neznášam veľmi hlasnú hudbu.
divide	rozdeliť	Rozdeľ tortu na kúsky.
documentary	dokument	Pozerali sme dokument o vesmíre.
donate	darovať	Mnohí ľudia darujú staré oblečenie.
doubt	pochybnosť	Nemám o tom žiadnu pochybnosť.
dressed	oblečený	Bol oblečený v čiernom.
drum	bubon	Bubon znel cez celú miestnosť.
drunk	opitý	Vodič bol opitý.
due	termín	Správa má termín zajtra.
dust	prach	Staré knihy pokryl prach.
duty	povinnosť	Je mojou povinnosťou pomôcť.
earthquake	zemetrasenie	Zemetrasenie poškodilo most.
eastern	východný	Východné pobrežie je veterné.
economic	ekonomický	Krajina čelí ekonomickým problémom.
economy	ekonomika	Ekonomika tento rok rástla.
edge	okraj	Stoj ďalej od okraja.
editor	editor	Editor skontroloval článok.
educate	vzdelávať	Školy vzdelávajú mladých ľudí.
educated	vzdelaný	Je veľmi vzdelaná.
educational	vzdelávací	Hra je vzdelávacia.
effective	účinný	Tento liek je účinný.
effectively	účinne	Vysvetlila pravidlo účinne.
effort	úsilie	Tvoje úsilie niečo zmenilo.
election	voľby	Výsledok volieb bol tesný.
element	prvok	Dôvera je dôležitý prvok.
embarrassed	zahanbený	Po páde sa cítil zahanbene.
embarrassing	trápny	To bola trápna chyba.
emergency	núdzová situácia	V núdzovej situácii zavolaj na toto číslo.
emotion	emócia	Strach je silná emócia.
employment	zamestnanosť	Zamestnanosť tento mesiac vzrástla.
encourage	povzbudzovať	Učitelia povzbudzujú študentov k čítaniu.
enemy	nepriateľ	Tieto dve krajiny boli nepriatelia.
engaged	zasnúbený	Zasnúbili sa minulú jar.
engineering	inžinierstvo	Študuje inžinierstvo na univerzite.
entertain	baviť	Spevák bude baviť hostí.
entertainment	zábava	Mesto ponúka večernú zábavu.
entrance	vchod	Stretneme sa pri vchode.
entry	vstup	Vstup je pre deti zdarma.
environmental	environmentálny	Diskutovali sme o environmentálnych problémoch.
episode	epizóda	Posledná epizóda bola vzrušujúca.
equal	rovný	Dostávajú rovnakú mzdu.
equally	rovnomerne	Práca je rozdelená rovnomerne.
escape	utiecť	Väzni sa pokúsili utiecť.
essential	nevyhnutný	Voda je nevyhnutná pre život.
eventually	nakoniec	Nakoniec sme našli hotel.
examine	vyšetriť	Lekár mi vyšetril ruku.
exchange	výmena	V obchode sme urobili výmenu.
excitement	vzrušenie	Hra bola plná vzrušenia.
exhibition	výstava	Výstava umenia sa otvára zajtra.
expand	expandovať	Spoločnosť plánuje expandovať.
expected	očakávaný	Očakávané náklady sú vysoké.
expedition	expedícia	Expedícia prešla púšť.
experienced	skúsený	Je skúsená zdravotná sestra.
explode	vybuchnúť	Fľaša môže v horúčave vybuchnúť.
explore	preskúmať	Preskúmali sme staré mesto.
explosion	výbuch	Výbuch rozbil niekoľko okien.
export	vývoz	Káva je dôležitý vývoz.
fairly	celkom	Test bol celkom ľahký.
familiar	povedomý	Jej tvár vyzerala povedome.
fancy	mať chuť	Máš chuť na kávu?
fascinating	fascinujúci	Príbeh bol fascinujúci.
fashionable	módny	Tie topánky sú módne.
fasten	zapnúť	Zapni si bezpečnostný pás.
favour	láskavosť	Môžeš mi urobiť láskavosť?
fence	plot	Plot obklopuje záhradu.
fighting	boje	Boje sa skončili za úsvitu.
file	súbor	Pred zatvorením ulož súbor.
financial	finančný	Potrebuje finančnú radu.
fitness	kondícia	Beh zlepšuje tvoju kondíciu.
fixed	pevný	Cena je pevná.
flag	vlajka	Vlajka viala nad školou.
flood	povodeň	Povodeň poškodila mnoho domov.
flour	múka	Pridaj múku do misy.
flow	tiecť	Rieka tečie mestom.
fold	preložiť	Prelož papier na polovicu.
folk	folkový	Sálu zaplnila folková hudba.
force	sila	Vietor mal veľkú silu.
forever	navždy	Budem si to pamätať navždy.
frame	rám	Fotografia potrebuje rám.
freeze	zmrznúť	Voda cez noc zmrzne.
frequently	často	Často navštevuje svojich rodičov.
friendship	priateľstvo	Ich priateľstvo trvalo roky.
frighten	vystrašiť	Hlasné zvuky strašia dieťa.
frightened	vystrašený	Dieťa vyzeralo vystrašene.
frightening	desivý	Búrka bola desivá.
frozen	zamrznutý	Jazero bolo zamrznuté.
fry	smažiť	Smaž cibuľu päť minút.
fuel	palivo	Auto potrebuje viac paliva.
function	funkcia	Toto tlačidlo má jednu funkciu.
fur	srsť	Mačka má mäkkú srsť.
garage	garáž	Auto je v garáži.
gather	zhromaždiť sa	Zhromaždili sme sa okolo stola.
generally	zvyčajne	Zvyčajne prichádza skoro.
generation	generácia	Každá generácia čelí novým problémom.
generous	štedrý	Je štedrý so svojím časom.
gentle	jemný	Použi jemný hlas.
gentleman	pán	Pán otvoril dvere.
ghost	duch	Príbeh spomína ducha.
giant	obrovský	Obrovská obrazovka zaplnila pódium.
glad	rád	Som rád, že si prišiel.
global	globálny	Zmena klímy je globálny problém.
glove	rukavica	Stratil som jednu rukavicu.
goods	tovar	Tovar dorazil neskoro.
grade	známka	Dostala vysokú známku.
graduate	absolvent	Je čerstvý absolvent.
grain	zrnko	Zrnko ryže spadlo.
grateful	vďačný	Som vďačný za tvoju podporu.
growth	rast	Rastlina ukázala stály rast.
guard	strážnik	Strážnik skontroloval naše lístky.
guilty	vinný	Cítil sa vinný kvôli klamstvu.
hang	zavesiť	Zaves si kabát sem.
happiness	šťastie	Peniaze si šťastie nekúpia.
hardly	sotva	Sotva som ťa počul.
headline	titulok	Titulok ma zaujal.
heating	kúrenie	Kúrenie prestalo fungovať.
heavily	silno	Celú noc silno pršalo.
helicopter	vrtuľník	Neďaleko pristál vrtuľník.
highlight	zvýrazniť	Zvýrazni hlavnú myšlienku.
highly	vysoko	Je vysoko rešpektovaná.
hire	prenajať	Musíme si prenajať auto.
historic	historický	Navštívili sme historickú budovu.
historical	historický	Má rada historické romány.
honest	úprimný	Prosím, daj úprimnú odpoveď.
horrible	hrozný	Zápach bol hrozný.
horror	horor	Má rád hororové filmy.
host	hostiteľ	Hostiteľ privítal každého hosťa.
