source_headword	IS	example_IS
root	rót	Rót vandans eru peningar.
rub	nudda	Nuddaðu yfirborðið með klút.
rubber	gúmmí	Gúmmíþéttingin kemur í veg fyrir leka.
rural	sveita-	Margir sveitaskólar þurfa stuðning.
rush	flýta sér	Ekki flýta þér með þessa ákvörðun.
satellite	gervihnöttur	Gervihnötturinn sendi nýjar myndir.
satisfied	ánægður	Viðskiptavinurinn virtist ánægður.
satisfy	gera ánægðan	Svarið gerði hann ekki ánægðan.
saving	sparnaður	Orkusparnaður lækkar mánaðarlegan kostnað.
scale	umfang	Umfang tjónsins var gríðarlegt.
scheme	áætlun	Áætlunin hjálpar ungu starfsfólki.
scream	öskur	Þau heyrðu öskur fyrir utan.
sector	geiri	Tæknigeirinn fer stækkandi.
secure	tryggja	Læstu hurðinni til að tryggja hana.
seek	leita	Þau leita ráða hjá sérfræðingum.
select	velja	Veldu besta kostinn.
selection	úrval	Verslunin býður upp á mikið úrval.
self	sjálf	Hún sýndi sitt sanna sjálf.
senior	eldri	Eldri læknir skoðaði sjúklinginn.
sensitive	viðkvæmur	Þetta efni er mjög viðkvæmt.
sequence	röð	Fylgdu röð skrefanna.
session	lota	Æfingalotan byrjar á hádegi.
settle	útkljá	Þeir útkljá rifrildið fljótt.
severe	alvarlegur	Stormurinn olli alvarlegum flóðum.
shade	skuggi	Sestu í skuggann.
shadow	skuggi	Skuggi féll á gluggann.
shallow	grunnur	Vatnið er grunnt hér.
shame	skömm	Hann fann fyrir skömm eftir að hafa logið.
shelter	skjól	Skólinn veitti neyðarskjól.
shock	áfall	Ákvörðunin kom sem áfall.
shocked	brugðið	Henni virtist brugðið yfir fréttunum.
shooting	skotárás	Skotárásin átti sér stað nálægt stöðinni.
shot	skot	Sigurskotið kom öllum á óvart.
significant	mikilvægur	Uppgötvunin var mikilvæg.
significantly	verulega	Kostnaður jókst verulega á síðasta ári.
silence	þögn	Herbergið sló í þögn.
silk	silki	Kjóllinn var úr silki.
sincere	einlægur	Vinsamlegast taktu við mínum einlægu þökkum.
slave	þræll	Lögin frelsuðu hvern þræl.
slide	að renna	Barnið fór niður rennibrautina.
slight	smávægilegur	Það var smávægileg töf.
slip	að skrika	Ekki skrika á blauta gólfinu.
slope	halla	Slóðin fylgir brattri hlíð.
solar	sólar	Húsið notar sólarorku.
somewhat	dálítið	Leiðbeiningarnar voru dálítið ruglingslegar.
soul	sál	Tónlistin lyfti sál hennar.
specialist	sérfræðingur	Sérfræðingurinn skoðaði sjúklinginn.
species	tegund	Þessi tegund lifir nálægt ám.
spiritual	andlegur	Hún lýsti andlegri reynslu.
split	að skipta	Þeir skiptu reikningnum jafnt.
sponsor	að styrkja	Fyrirtækið mun styrkja viðburðinn.
stable	stöðugur	Sjúklingurinn er stöðugur.
stare	að stara	Ekki stara á ókunnuga.
status	staða	Staða hans breyttist á einni nóttu.
steady	jafn	Haltu jöfnum hraða.
steel	stál	Brúin er úr stáli.
steep	brattur	Hæðin er brött.
sticky	klístrugur	Gólfið er klístrað.
stiff	stífur	Öxlin á honum var stíf.
stock	lager	Búðin er ekki með neinn lager eftir.
stream	lækur	Lítill lækur liggur þvert yfir túnið.
stretch	að teygja	Teygðu úr fótunum eftir flugið.
strict	strangur	Skólinn er með strangar reglur.
strike	að fara í verkfall	Verkamenn gætu farið í verkfall á morgun.
struggle	að eiga í erfiðleikum	Margar fjölskyldur eiga í erfiðleikum með húsaleiguna.
submit	að senda inn	Sendu inn eyðublaðið fyrir föstudag.
sum	summa	Summan var hærri en búist var við.
surgery	skurðaðgerð	Skurðaðgerðin tók tvær klukkustundir.
surround	að umkringja	Há tré umkringja húsið.
surrounding	nærliggjandi	Nærliggjandi svæði er rólegt.
suspect	að gruna	Lögreglan grunar heimamann.
swear	að blóta	Ekki blóta í kennslustund.
sweep	að sópa	Sópaðu gólfið áður en gestirnir koma.
sympathy	samúð	Hún vottaði fórnarlömbunum samúð sína.
tale	saga	Amma sagði skrýtna sögu.
tank	tankur	Tankurinn geymir hreint vatn.
tear1	að rífa	Ekki rífa skjalið.
tear2	tár	Tár rann niður kinn hennar.
temporary	tímabundinn	Skrifstofan er tímabundið skjól.
therapy	meðferð	Sjúkraþjálfun hjálpaði bata hans.
threat	hótun	Skilaboðin innihéldu hótun.
threaten	að ógna	Stormurinn gæti ógnað uppskerunni.
thus	þess vegna	Vegurinn var lokaður; þess vegna biðum við.
tone	tónn	Tónn hans hljómaði rólegur.
tough	erfiður	Viðtalið var erfitt.
transfer	að flytja	Þeir flytja gögn á hverju kvöldi.
transform	að breyta	Nýja stefnan mun breyta þjónustunni.
transition	umskipti	Umskiptin tóku nokkra mánuði.
trial	réttarhöld	Réttarhöldin hefjast í næstu viku.
tropical	hitabeltis-	Hitabeltisstormar eru algengir hér.
truly	sannarlega	Ég kann sannarlega að meta hjálp þína.
trust	traust	Það tekur tíma að byggja upp traust.
tune	lag	Hljómsveitin spilaði kátt lag.
tunnel	göng	Göngin liggja undir ána.
ultimately	að lokum	Að lokum heppnaðist áætlunin.
unconscious	meðvitundarlaus	Sjúklingurinn var áfram meðvitundarlaus.
unexpected	óvæntur	Töfin var óvænt.
unique	einstakur	Hver hönnun er einstök.
universe	alheimurinn	Alheimurinn er að þenjast út.
unknown	óþekktur	Nafnið er enn óþekkt.
upper	efri	Efri hillan er tóm.
upwards	upp á við	Reykurinn sté upp á við.
urban	þéttbýlis-	Þéttbýlissvæði þurfa betri samgöngur.
urge	að hvetja	Læknar hvetja fólk til að hreyfa sig.
vary	að vera breytilegur	Verð er mismunandi eftir svæðum.
vast	gríðarstór	Eyðimörkin þekur gríðarstórt svæði.
venue	vettvangur	Vettvangurinn rúmar fimm hundruð manns.
via	í gegnum	Sendu skjalið í gegnum tölvupóst.
victory	sigur	Liðið fagnaði sigri sínum.
violence	ofbeldi	Borgin þjáðist af pólitísku ofbeldi.
virtual	sýndar-	Fundurinn er sýndarfundur.
vision	framtíðarsýn	Framtíðarsýn hennar mótaði fyrirtækið.
visual	sjónrænn	Skýrslan inniheldur sjónræn dæmi.
vital	lífsnauðsynlegur	Vatn er lífsnauðsynlegt.
vitamin	vítamín	Appelsínur innihalda C-vítamín.
volume	hljóðstyrkur	Lækkaðu hljóðstyrkinn.
wage	laun	Verkamennirnir kröfðust hærri launa.
weakness	veikleiki	Áætlunin hefur einn veikleika.
wealth	auður	Auður hans kom frá verslun.
wealthy	auðugur	Auðuga fjölskyldan styrkti safnið.
whereas	en	Hún hefur gaman af tei, en ég vil frekar kaffi.
wherever	hvar sem	Sestu hvar sem þér líður vel.
whisper	að hvísla	Vinsamlegast hvíslum á meðan á athöfninni stendur.
whom	hvern	Hvern bauðst þú?
widely	víða	Bókin er víða lesin.
wildlife	dýralíf	Garðurinn verndar staðbundið dýralíf.
willing	viljugur	Hún er viljug til að hjálpa.
wind2	að vefja	Vefðu snúrunni um spóluna.
wire	vír	Vírinn tengir tækin tvö.
wise	vitur	Það var viturlegt val.
witness	vitni	Vitni lýsti slysinu.
wound	sár	Hreinsaðu sárið varlega.
wrap	að pakka inn	Pakkaðu gjöfinni inn í pappír.
zone	svæði	Þetta svæði er lokað fyrir umferð.
