source_headword	ML	example_ML
union	യൂണിയൻ	യൂണിയൻ സുരക്ഷിതമായ ജോലിക്കായി ആവശ്യപ്പെട്ടു.
unless	ഇല്ലെങ്കിൽ	ഞാൻ വിളിക്കുന്നതുവരെ പോകരുത്.
unlike	വ്യത്യസ്തമായി	ടോമിൽ നിന്ന് വ്യത്യസ്തമായി, അനയ്ക്ക് ശൈത്യകാലം ഇഷ്ടമാണ്.
unlikely	സാധ്യതയില്ലാത്ത	ഈ ആഴ്ച മഞ്ഞ് പെയ്യാൻ സാധ്യതയില്ല.
unnecessary	അനാവശ്യമായ	അധിക ബാഗുകൾ അനാവശ്യമാണ്.
unpleasant	അസുഖകരമായ	മുറിയിൽ ഒരു അസുഖകരമായ മണം ഉണ്ടായിരുന്നു.
update	അപ്ഡേറ്റ് ചെയ്യുക	എനിക്ക് എന്റെ ഫോൺ അപ്ഡേറ്റ് ചെയ്യണം.
upon	മേൽ	പണ്ടൊരിക്കൽ ഒരു രാജാവുണ്ടായിരുന്നു.
upset	അസ്വസ്ഥനായ	കോളിന് ശേഷം അവൾക്ക് അസ്വസ്ഥത തോന്നി.
used1	ഉപയോഗിക്കുന്ന	ഈ മുറി മീറ്റിംഗുകൾക്കായി ഉപയോഗിക്കുന്നു.
used2	ശീലമായ	എനിക്ക് അതിരാവിലെ എഴുന്നേൽക്കുന്നത് ശീലമാണ്.
valuable	വിലപ്പെട്ട	ഈ വാച്ച് വിലപ്പെട്ടതാണ്.
value	മൂല്യം	കഴിഞ്ഞ വർഷം വീടിന്റെ മൂല്യം നഷ്ടപ്പെട്ടു.
various	വിവിധ	ഞങ്ങൾ വിവിധ പ്രാദേശിക വിഭവങ്ങൾ പരീക്ഷിച്ചു.
version	പതിപ്പ്	ഈ പതിപ്പ് നന്നായി പ്രവർത്തിക്കുന്നു.
victim	ഇര	ഇര പോലീസിനെ വിളിച്ചു.
viewer	കാഴ്ചക്കാരൻ	ഒരു കാഴ്ചക്കാരൻ ഒരു ചോദ്യം ചോദിച്ചു.
violent	അക്രമപരമായ	ആ സിനിമ വളരെ അക്രമപരമായിരുന്നു.
volunteer	സന്നദ്ധപ്രവർത്തകൻ	ഞാൻ ലൈബ്രറിയിൽ സന്നദ്ധസേവനം ചെയ്യുന്നു.
vote	വോട്ട്	നാളെ വോട്ട് ചെയ്യാൻ ഓർമ്മിക്കുക.
warn	മുന്നറിയിപ്പ് നൽകുക	ഞാൻ അവന് മുന്നറിയിപ്പ് നൽകാൻ ശ്രമിച്ചു.
warning	മുന്നറിയിപ്പ്	സ്ക്രീനിൽ മുന്നറിയിപ്പ് പ്രത്യക്ഷപ്പെട്ടു.
waste	പാഴാക്കുക	ശുദ്ധജലം പാഴാക്കരുത്.
weapon	ആയുധം	കത്തി ഒരു ആയുധമായി മാറി.
weigh	തൂക്കം നോക്കുക	മാവ് ശ്രദ്ധാപൂർവ്വം തൂക്കുക.
western	പാശ്ചാത്യ	അവർ ഒരു പാശ്ചാത്യ സിനിമ കണ്ടു.
whatever	എന്തും	നിങ്ങൾക്ക് ഇഷ്ടമുള്ളത് എന്തും തിരഞ്ഞെടുക്കുക.
whenever	എപ്പോൾ വേണമെങ്കിലും	നിങ്ങൾക്ക് സഹായം ആവശ്യമുള്ളപ്പോൾ എപ്പോൾ വേണമെങ്കിലും വിളിക്കുക.
whether	എന്ന്	അവൾ സമ്മതിക്കുമോ എന്ന് എനിക്കറിയില്ല.
wing	ചിറക്	പക്ഷിയുടെ ഒരു ചിറകിന് പരിക്കേറ്റു.
within	ഉള്ളിൽ	രണ്ടു ദിവസത്തിനുള്ളിൽ ദയവായി മറുപടി നൽകുക.
wonder	ചിന്തിക്കുക	എന്താണ് സംഭവിച്ചതെന്ന് ഞാൻ ചിന്തിക്കുകയാണ്.
wool	കമ്പിളി	ഈ കോട്ട് കമ്പിളി കൊണ്ടാണ് നിർമ്മിച്ചിരിക്കുന്നത്.
worldwide	ലോകമെമ്പാടും	ആ ഗാനം ലോകമെമ്പാടും ജനപ്രിയമായി.
worth	മൂല്യമുള്ള	ഈ പുസ്തകം വായിക്കാൻ അർഹമായ ഒന്നാണ്.
written	എഴുതിയ	ദയവായി എഴുതിയ നിർദ്ദേശങ്ങൾ അയക്കുക.
yard	മുറ്റം	കുട്ടികൾ മുറ്റത്ത് കളിച്ചു.
youth	യുവാക്കൾ	യൂത്ത് ക്ലബ്ബുകൾ പ്രാദേശിക കൗമാരക്കാരെ പിന്തുണയ്ക്കുന്നു.
