source_headword	ET	example_ET
session	sessioon	Treeningu sessioon algab keskpäeval.
settle	lahendama	Nad lahendasid vaidluse kiiresti.
severe	raske	Torm põhjustas raskeid üleujutusi.
shade	vari	Istuge varju.
shadow	vari	Vari langes aknale.
shallow	madal	Järv on siin madal.
shame	häbi	Ta tundis pärast valetamist häbi.
shelter	varjupaik	Kool pakkus hädavarjupaika.
shock	šokk	Otsus oli šokk.
shocked	šokeeritud	Ta tundus uudisest šokeeritud.
shooting	tulistamine	Tulistamine toimus jaama lähedal.
shot	vise	Võidukas vise üllatas kõiki.
significant	märkimisväärne	Avastus oli märkimisväärne.
significantly	märkimisväärselt	Kulud kasvasid eelmisel aastal märkimisväärselt.
silence	vaikus	Tuba langes vaikusesse.
silk	siid	Kleit oli tehtud siidist.
sincere	siiras	Palun võtke vastu minu siiras tänu.
slave	ori	Seadus vabastas iga orja.
slide	libisema	Laps lasi liumäest alla.
slight	kerge	Oli kerge viivitus.
slip	libisema	Ära libise märjal põrandal.
slope	nõlv	Rada kulgeb piki järsku nõlva.
solar	päikese-	Maja kasutab päikeseenergiat.
somewhat	mõnevõrra	Juhised olid mõnevõrra segased.
soul	hing	Muusika tõstis tema hinge.
specialist	spetsialist	Spetsialist vaatas patsiendi läbi.
species	liik	See liik elab jõgede lähedal.
spiritual	vaimne	Ta kirjeldas vaimset kogemust.
split	jagama	Nad jagasid arve võrdselt.
sponsor	sponsoreerima	Ettevõte sponsoreerib üritust.
stable	stabiilne	Patsient on stabiilne.
stare	jõllitama	Ära jõllita võõraid.
status	staatus	Tema staatus muutus üleöö.
steady	ühtlane	Hoidke ühtlast kiirust.
steel	teras	Sild on ehitatud terasest.
steep	järsk	Mägi on järsk.
sticky	kleepuv	Põrand tundub kleepuv.
stiff	kange	Tema õlg tundus kange.
stock	varu	Poes pole enam varusid järel.
stream	oja	Väike oja läbib põldu.
stretch	sirutama	Siruta oma jalgu pärast lendu.
strict	range	Koolil on ranged reeglid.
strike	streikima	Töölised võivad homme streikida.
struggle	võitlema	Paljudel peredel on raskusi üüriga.
submit	esitama	Esitage vorm reedeks.
sum	summa	Summa oli oodatust suurem.
surgery	operatsioon	Operatsioon kestis kaks tundi.
surround	ümbritsema	Kõrged puud ümbritsevad maja.
surrounding	ümbritsev	Ümbritsev piirkond on vaikne.
suspect	kahtlustama	Politsei kahtlustab kohalikku meest.
swear	vanduma	Ära vannu klassis.
sweep	pühkima	Pühi põrand enne külaliste saabumist.
sympathy	kaastunne	Ta avaldas ohvritele kaastunnet.
tale	jutt	Vanaema rääkis veidra jutu.
tank	paak	Paak mahutab puhast vett.
tear1	rebima	Ära rebi dokumenti.
tear2	pisar	Pisar veeres üle tema põse.
temporary	ajutine	Kontor on ajutine varjupaik.
therapy	teraapia	Füsioteraapia aitas tema taastumisele kaasa.
threat	ähvardus	Sõnum sisaldas ähvardust.
threaten	ohustama	Torm võib ohustada saaki.
thus	seega	Tee oli suletud; seega me ootasime.
tone	toon	Tema toon kõlas rahulikult.
tough	raske	Intervjuu oli raske.
transfer	edastama	Nad edastavad andmeid igal öösel.
transform	ümber kujundama	Uus poliitika kujundab teenused ümber.
transition	üleminek	Üleminek võttis aega mitu kuud.
trial	kohtuprotsess	Kohtuprotsess algab järgmisel nädalal.
tropical	troopiline	Troopilised tormid on siin tavalised.
truly	tõeliselt	Ma hindan tõeliselt sinu abi.
trust	usaldus	Usalduse loomine võtab aega.
tune	meloodia	Bänd mängis rõõmsat meloodiat.
tunnel	tunnel	Tunnel kulgeb jõe alt.
ultimately	lõpuks	Lõpuks plaan õnnestus.
unconscious	teadvuseta	Patsient jäi teadvuseta.
unexpected	ootamatu	Viivitus oli ootamatu.
unique	unikaalne	Iga disain on unikaalne.
universe	universum	Universum paisub.
unknown	tundmatu	Nimi jääb tundmatuks.
upper	ülemine	Ülemine riiul on tühi.
upwards	ülespoole	Suits liikus ülespoole.
urban	linna	Linnapiirkonnad vajavad paremat transporti.
urge	tungivalt soovitama	Arstid soovitavad inimestel tungivalt trenni teha.
vary	varieeruma	Hinnad varieeruvad piirkonniti.
vast	tohutu	Kõrb katab tohutu ala.
venue	toimumispaik	Toimumispaik mahutab viissada inimest.
via	kaudu	Saada dokument e-posti teel.
victory	võit	Meeskond tähistas oma võitu.
violence	vägivald	Linn kannatas poliitilise vägivalla all.
virtual	virtuaalne	Koosolek on virtuaalne.
vision	visioon	Tema visioon kujundas ettevõtet.
visual	visuaalne	Aruanne sisaldab visuaalseid näiteid.
vital	elutähtis	Vesi on elule elutähtis.
vitamin	vitamiin	Apelsinid sisaldavad C-vitamiini.
volume	helitugevus	Keera helitugevust vähemaks.
wage	palk	Töölised nõudsid suuremat palka.
weakness	nõrkus	Plaanil on üks nõrkus.
wealth	rikkus	Tema rikkus tuli kaubandusest.
wealthy	rikas	Rikas perekond rahastas muuseumi.
whereas	samas kui	Talle meeldib tee, samas kui mina eelistan kohvi.
wherever	kuhu iganes	Istu sinna, kus sul on mugav.
whisper	sosistama	Palun sosistage tseremoonia ajal.
whom	keda	Keda sa kutsusid?
widely	laialdaselt	Raamatut loetakse laialdaselt.
wildlife	metsik loodus	Park kaitseb kohalikku metsikut loodust.
willing	valmis	Ta on valmis aitama.
wind2	kerima	Keri kaabel rulli ümber.
wire	juhe	Juhe ühendab kahte seadet.
wise	tark	See oli tark valik.
witness	tunnistaja	Tunnistaja kirjeldas õnnetust.
wound	haav	Puhasta haav hoolikalt.
wrap	pakkima	Paki kingitus paberisse.
zone	tsoon	See tsoon on liikluseks suletud.
