source_headword	SK	example_SK
sacred	posvätný	Tento chrám je posvätný.
sacrifice	obeť	Rodičia často prinášajú obete.
saint	svätec	Cirkev uctieva miestneho svätca.
sake	dobro	Zostal pre jej dobro.
sanction	sankcia	Sankcia ovplyvnila medzinárodný obchod.
say	slovo	Zamestnanci mali slovo pri plánovaní.
scattered	roztrúsený	Stôl pokrývali roztrúsené papiere.
sceptical	skeptický	Zostala skeptická voči tomuto tvrdeniu.
scope	rozsah	Rozsah projektu sa zväčšil.
screw	skrutka	Opatrne utiahnite skrutku.
scrutiny	kontrola	Dohoda čelila verejnej kontrole.
seal	zalepiť	Pred odoslaním zalepte obálku.
secular	svetský	Škola sa riadi svetskými osnovami.
seemingly	zdanlivo	Úloha bola zdanlivo jednoduchá.
segment	úsek	Záverečný úsek bol kratší.
seize	zhabať	Polícia zhabala dokumenty.
seldom	zriedka	Zriedka vynechá hodinu.
selective	selektívny	Program je veľmi selektívny.
senator	senátor	Senátor podporil návrh zákona.
sensation	senzácia	Objav spôsobil senzáciu.
sensitivity	citlivosť	Táto otázka si vyžaduje citlivosť.
sentiment	nálada	Verejná nálada sa rýchlo zmenila.
separation	odlúčenie	Odlúčenie bolo ťažké.
serial	sériový	Chýba sériové číslo.
settlement	dohoda	Dohoda ukončila spor.
set-up	nastavenie	Nastavenie trvalo celé doobedie.
sexuality	sexualita	Kurz sa zaoberá identitou a sexualitou.
shareholder	akcionár	Akcionár položil predstavenstvu otázku.
shatter	roztrieštiť	Táto správa roztrieštila jeho sebavedomie.
shed	prepúšťať, zbaviť sa	Spoločnosť bude rušiť pracovné miesta.
sheer	samotný, ohromný	Samotná veľkosť všetkých prekvapila.
shipping	preprava	Náklady na prepravu sa zvýšili.
shoot	fotenie, natáčanie	Fotenie sa skončilo skoro.
shrink	zraziť sa, zmenšiť sa	Košeľa sa môže zraziť.
shrug	pokrčenie plecami	Mierne pokrčila plecami.
sigh	povzdychnúť si	S úľavou si povzdychol.
simulate	simulovať	Softvér dokáže simulovať premávku.
simulation	simulácia	Simulácia predpovedala záplavy.
simultaneously	súčasne	Dva budíky zvonili súčasne.
sin	hriech	Pýcha sa považuje za hriech.
situated	situovaný	Hotel je situovaný v centre mesta.
sketch	náčrt	Urobila rýchly náčrt.
skip	vynechať	Nevynechávaj raňajky.
slam	zabuchnúť	Môže zabuchnúť dvere.
slap	capnúť, udrieť	Neudieraj do stola.
slavery	otroctvo	Otroctvo formovalo históriu tohto regiónu.
slot	časové okno, termín	Rezervuj si časové okno online.
smash	rozbiť sa	Pohár sa rozbil na podlahe.
snap	prasknúť, zlomiť sa	Konár vo vetre praskol.
soak	namočiť	Namočte fazuľu na noc.
soar	prudko stúpnuť	Ceny pohonných hmôt môžu prudko stúpnuť.
socialist	socialistický	Strana podporuje socialistickú politiku.
sole	jediný	Bol to jediný preživší.
solely	výlučne	Rozhodnutie bolo výlučne na ňom.
solicitor	právnik, advokát	Právnik pripravil zmluvu.
solidarity	solidarita	Pracovníci vyjadrili solidaritu.
solo	sólový	Vydala sólový album.
sound	rozumný, spoľahlivý	Plán je rozumný a praktický.
sovereignty	suverenita	Zmluva chránila národnú suverenitu.
spam	spam, nevyžiadaná pošta	Spam zaplnil doručenú poštu.
span	preklenúť	Most prekleňuje rieku.
spark	vyvolať, podnietiť	Drobná poznámka vyvolala diskusiu.
specialized	špecializovaný	Klinika poskytuje špecializovanú starostlivosť.
specification	špecifikácia	Dizajn spĺňa každú špecifikáciu.
specimen	vzorka	Vzorka bola bezpečne uskladnená.
spectacle	predstavenie, divadlo	Sprievod bol živým predstavením.
spectrum	spektrum	Názory pokrývajú široké spektrum.
spell	obdobie	Obdobie sucha trvalo týždne.
sphere	sféra	Politika vstúpila do kultúrnej sféry.
spin	točiť sa	Kolesá sa začali točiť.
spine	chrbtica	Zranenie zasiahlo jeho chrbticu.
spotlight	stredobod pozornosti	Škandál ho dostal do centra pozornosti.
spouse	manžel, manželka	Jej manžel sa zúčastnil na obrade.
spy	špión	Špión posielal zakódované správy.
squad	oddiel, družstvo	Záchranný oddiel dorazil rýchlo.
squeeze	stlačiť	Jemne stlačte rukoväť.
stab	bodnúť	Správa popisovala bodnú ranu.
stability	stabilita	Politika priniesla stabilitu.
stabilize	stabilizovať	Liek ho pomohol stabilizovať.
stake	podiel	Investori tu majú podiel.
standing	postavenie	Jej postavenie v strane stúplo.
stark	ostrý	Výsledky ukázali ostrý kontrast.
statistical	štatistický	Štúdia využila štatistické metódy.
steer	usmerniť, riadiť	Snažil sa usmerniť diskusiu.
stem	stonka	Stonka sa v búrke zlomila.
stereotype	stereotyp	Film spochybnil stereotyp.
stimulus	stimul	Balíček poskytol ekonomický stimul.
stir	miešať	Omáčku pomaly miešajte.
storage	skladovanie	Zariadenie ponúka bezpečné skladovanie.
straightforward	priamočiary	Pokyny boli priamočiare.
strain	napätie, záťaž	Dlhé zdržanie spôsobilo napätie.
strand	prameň	Vypadol jej prameň vlasov.
strategic	strategický	Spoločnosť urobila strategickú investíciu.
strip (long narrow piece)	pásik, prúžok	Odrežte úzky pásik papiera.
strip (remove clothes/a layer)	odstrániť, oškrabať	Starú farbu opatrne odstráňte.
strive	usilovať sa	Usilujú sa o dokonalosť.
structural	štrukturálny	Most má štrukturálne poškodenie.
stumble	potknúť sa	Potkol sa na schodoch.
stun	ohromiť	Tieto správy môžu ľudí ohromiť.
submission	odovzdanie, podanie	Termín na odovzdanie uplynul.
subscriber	odberateľ	Každý odberateľ dostáva aktualizácie.
subscription	predplatné	Predplatné sa obnovuje automaticky.
subsidy	dotácia	Dotácia znížila náklady na palivo.
substantial	značný	Projekt potrebuje značné financovanie.
substantially	podstatne	Cena sa podstatne zvýšila.
substitute	náhrada	Ako náhradu použite mlieko.
substitution	nahradenie, výmena	Nahradenie zmenilo recept.
subtle	jemný	Obraz má jemné detaily.
suburban	prímestský	Presťahovali sa do prímestskej oblasti.
succession	sled, rad	Kríza nasledovala po slede zlyhaní.
successive	po sebe idúci	Po sebe idúce vlády tento problém ignorovali.
successor	nástupca	Nástupca nastúpi v pondelok.
suck	nasať, vysávať	Stroj dokáže vysávať prach.
sue	žalovať	Rozhodla sa zažalovať spoločnosť.
suicide	samovražda	Prevencia samovrážd potrebuje udržateľné financovanie.
suite	apartmán	Hotelový apartmán mal výhľad na rieku.
summit	samit	Lídri sa stretli na samite.
superb	vynikajúci	Predstavenie bolo vynikajúce.
superior	nadradený	Nový model je nadradený.
supervise	dohliadať na	Bude dohliadať na stážistov.
supervision	dohľad	Deti potrebujú dohľad dospelých.
supervisor	nadriadený	Najprv sa spýtaj svojho nadriadeného.
supplement	doplnok, dodatok	Správa obsahuje dodatok.
supportive	podporujúci	Jej rodina ju podporovala.
supposedly	údajne	Súbor bol údajne vymazaný.
suppress	potlačiť	Režim sa snažil potlačiť protesty.
supreme	najvyšší	Najvyšší súd prejednával tento prípad.
surge	nárast, prepätie	Náhly nárast poškodil zariadenie.
surgical	chirurgický	Pacient potrebuje chirurgickú liečbu.
surplus	prebytok	Sklad má prebytok.
surrender	vzdať sa	Vojaci súhlasili, že sa vzdajú.
surveillance	sledovanie, dozor	Bezpečnostné kamery zaznamenali vchod.
suspension	pozastavenie, suspendovanie	Suspendovanie trvalo dva týždne.
suspicion	podozrenie	Jeho správanie vzbudilo podozrenie.
suspicious	podozrivý	Balík vyzeral podozrivo.
sustain	udržať	Projekt dokáže udržať miestne pracovné miesta.
swing	hojdať sa, kývať sa	Dvere sa začali hojdať.
sword	meč	Meč visel na stene.
symbolic	symbolický	Toto gesto bolo symbolické.
syndrome	syndróm	Tento syndróm ovplyvňuje pamäť.
synthesis	syntéza	Kapitola ponúka syntézu.
systematic	systematický	Preskúmanie bolo systematické.
tactic	taktika	Taktika rýchlo zlyhala.
tactical	taktický	Tím urobil taktickú zmenu.
taxpayer	daňový poplatník	Most bol financovaný z peňazí daňových poplatníkov.
tempt	zlákať, pokúšať	Táto ponuka môže zlákať investorov.
tenant	nájomník	Nájomník zaplatil nájom včas.
tender	nežný	Venovala mu nežný úsmev.
tenure	funkčné obdobie	Jeho funkčné obdobie trvalo šesť rokov.
terminal	smrteľný, terminálny	Pacient mal smrteľnú chorobu.
terminate	ukončiť	Spoločnosť môže ukončiť zmluvu.
terrain	terén	Terén bol náročný.
terrific	úžasný	Výhľad bol úžasný.
testify	svedčiť	Súhlasila, že bude svedčiť.
testimony	svedectvo	Jeho svedectvo bolo podrobné.
texture	textúra	Látka má drsnú textúru.
thankfully	našťastie	Našťastie nebol nikto zranený.
theatrical	teatrálny, divadelný	Prejav znel teatrálne.
theology	teológia	Na univerzite študoval teológiu.
theoretical	teoretický	Tento model je čisto teoretický.
thereafter	následne, potom	Následne sa pravidlá zmenili.
thereby	tým	Zmena znížila náklady, a tým zachránila pracovné miesta.
thoughtful	ohľaduplný, premyslený	Jej odpoveď bola premyslená.
thought-provoking	podnetný	Článok bol podnetný.
thread	niť	Niť sa ľahko pretrhla.
threshold	prah	Hlasovanie prekročilo prah.
thrilled	nadšený	Z tej správy bola nadšená.
thrive	prosperovať, dariť sa	Malým podnikom sa tu môže dariť.
tide	príliv	Príliv rýchlo stúpol.
tighten	utiahnuť	Veko pevne utiahnite.
timber	stavebné drevo	Na dom sa používa miestne stavebné drevo.
timely	včasný	Varovanie bolo včasné.
tobacco	tabak	Predaj tabaku klesol.
tolerance	tolerancia	Politika podporuje toleranciu.
tolerate	tolerovať	Nemôžeme tolerovať zneužívanie.
toll	daň, strata	Búrka si vyžiadala veľkú daň.
top	prekonať	Predaj môže prekonať minuloročný rekord.
torture	mučenie	Zmluva absolútne zakazuje mučenie.
