source_headword	BN	example_BN
vicious	নৃশংস	এই নৃশংস হামলাটি শহরটিকে হতবাক করে দিয়েছিল।
villager	গ্রামবাসী	একজন গ্রামবাসী আমাদের নদী পর্যন্ত পথ দেখিয়েছিল।
violate	লঙ্ঘন করা	কোম্পানি নিরাপত্তা বিধি লঙ্ঘন করতে পারে।
violation	লঙ্ঘন	পরিদর্শক একটি গুরুতর লঙ্ঘনের রিপোর্ট করেছেন।
virtue	সদ্গুণ	ধৈর্য একটি গুরুত্বপূর্ণ সদ্গুণ।
vocal	সোচ্চার	সে সিদ্ধান্তটি নিয়ে সোচ্চার ছিল।
vow	প্রতিজ্ঞা করা	সে কাজটি শেষ করার প্রতিজ্ঞা করেছিল।
vulnerability	দুর্বলতা	নিরীক্ষায় একটি নিরাপত্তা দুর্বলতা প্রকাশ পেয়েছে।
vulnerable	অরক্ষিত	প্রচণ্ড গরমে শিশুরা অরক্ষিত থাকে।
ward	ওয়ার্ড	রোগীকে অন্য ওয়ার্ডে স্থানান্তর করা হয়েছে।
warehouse	গুদাম	গুদামে খুচরা যন্ত্রাংশ রাখা হয়।
warfare	যুদ্ধ	আধুনিক যুদ্ধ প্রযুক্তির ওপর নির্ভর করে।
warrant	ওয়ারেন্ট	পুলিশ একটি সার্চ ওয়ারেন্ট দেখিয়েছিল।
warrior	যোদ্ধা	যোদ্ধাটি গ্রাম রক্ষা করেছিল।
weaken	দুর্বল করা	আঘাত তার মুষ্টি দুর্বল করে দিয়েছিল।
weave	বোনা	সে ঝুড়ি বোনা শিখেছিল।
weed	আগাছা	পাথরের ফাঁকে একটি আগাছা গজিয়েছিল।
well	কুয়ো	গ্রামের কুয়ো শুকিয়ে গেছে।
well-being	সুস্থতা	সুস্থতার জন্য ঘুম অপরিহার্য।
whatsoever	মোটেও	সে মোটেও কোনো আগ্রহ দেখায়নি।
whereby	যার মাধ্যমে	আইনটি এমন একটি ব্যবস্থা তৈরি করেছে যার মাধ্যমে পরিবারগুলো আপিল করতে পারে।
whilst	যখন	সে কাজ করত যখন সে বিশ্রাম নিত।
whip	ঝাপটানো	বাতাস পতাকাগুলোকে ঝাপটাতে পারে।
wholly	সম্পূর্ণভাবে	সিদ্ধান্তটি সম্পূর্ণভাবে অপ্রত্যাশিত ছিল।
widen	প্রশস্ত করা	শহরটি রাস্তাটি প্রশস্ত করার পরিকল্পনা করেছে।
widow	বিধবা	বিধবা মহিলাটি স্কুলের কাছে থাকেন।
width	প্রস্থ	দরজার প্রস্থ পরিমাপ করুন।
willingness	ইচ্ছুকভাব	তার সাহায্য করার ইচ্ছুকভাব সবাইকে মুগ্ধ করেছিল।
wipe	মোছা	একটি কাপড় দিয়ে পর্দাটি মুছুন।
wit	বুদ্ধি	তার বুদ্ধি বক্তৃতাটিকে প্রাণবন্ত করে তুলেছিল।
withdrawal	প্রত্যাহার	তহবিল প্রত্যাহার প্রকল্পটি বিলম্বিত করেছে।
workout	ব্যায়াম	ব্যায়ামটি চল্লিশ মিনিট ধরে চলেছিল।
worship	উপাসনা	লোকেরা ভোরে উপাসনার জন্য জড়ো হয়েছিল।
worthwhile	লাভজনক	ট্রিপটি লাভজনক ছিল।
worthy	যোগ্য	দাতব্য সংস্থাটি সমর্থনের যোগ্য।
yell	চিৎকার করা	কর্মীদের ওপর চিৎকার করবেন না।
yield	ফলন	এই মৌসুমে খামারের ফলন ভালো হয়েছে।
youngster	তরুণ	তরুণটি অনেক প্রশ্ন করেছিল।
