source_headword	SW	example_SW
broken	iliyovunjika	Kiti kimevunjika.
brush	kusugua; brashi	Sugua meno yako sasa.
burn	kuchoma	Usichome mkate.
businessman	mfanyabiashara	Mfanyabiashara aliwasili mapema.
button	kifungo; kitufe	Bonyeza kitufe chekundu.
camp	kupiga kambi	Tunapiga kambi karibu na ziwa.
camping	kupiga kambi	Kupiga kambi ni furaha wakati wa kiangazi.
can2	mkebe	Fungua mkebe kwa uangalifu.
care	utunzaji; kujali	Jali afya yako.
careful	makini	Kuwa makini kwenye ngazi.
carefully	kwa uangalifu	Soma swali kwa uangalifu.
carpet	zulia	Zulia ni laini.
cartoon	katuni	Katuni hii inachekesha.
case	kasha; hali	Weka ndani ya kasha.
cash	fedha taslimu	Nililipa kwa fedha taslimu.
castle	kasri	Kasri ni la zamani sana.
catch	kukamata	Kamata mpira sasa.
cause	kusababisha	Mvua inaweza kusababisha matatizo.
celebrate	kusherehekea	Tunasherehekea siku yangu ya kuzaliwa.
celebrity	mtu mashuhuri	Mtu mashuhuri alikuwa mkarimu sana.
certain	hakika	Nina hakika kuhusu hili.
certainly	bila shaka	Bila shaka nitasaidia.
chance	nafasi; fursa	Una nafasi.
character	mhusika	Mhusika huyu ni jasiri.
charity	shirika la hisani	Shirika la hisani linasaidia watoto.
chat	kuzungumza kidogo	Tunazungumza kidogo baada ya darasa.
chef	mpishi mkuu	Mpishi mkuu alitengeneza supu.
chemistry	kemia	Kemia ni ngumu kwangu.
chip	chipsi	Chipsi hii ina chumvi.
choice	chaguo	Chaguo hili ni muhimu.
church	kanisa	Kanisa liko karibu hapa.
cigarette	sigara	Sigara ni mbaya kwa afya.
circle	duara	Chora duara hapa.
classical	ya klasiki	Napenda muziki wa klasiki.
clear	wazi	Jibu liko wazi.
clearly	waziwazi	Tafadhali sema waziwazi.
clever	mwerevu	Yeye ni mtoto mwerevu.
climate	tabianchi	Tabianchi inabadilika.
close2	karibu	Shule yangu iko karibu na nyumbani.
closed	imefungwa	Duka limefungwa.
clothing	mavazi	Mavazi ya joto ni muhimu.
cloud	wingu	Wingu linafunika jua.
coach	kocha	Kocha aliisaidia timu.
coast	pwani	Tuliendesha gari kando ya pwani.
code	msimbo	Ingiza msimbo hapa.
colleague	mfanyakazi mwenzangu	Mfanyakazi mwenzangu alinipigia simu.
collect	kukusanya	Ninakusanya kadi za zamani.
column	safu wima	Soma safu wima ya kwanza.
comedy	vichekesho	Vichekesho hivi vinachekesha.
comfortable	raha	Kiti hiki ni cha raha.
comment	maoni	Acha maoni hapa chini.
communicate	kuwasiliana	Tunawasiliana kwa barua pepe.
community	jumuiya	Jumuiya yetu ni ya kirafiki.
compete	kushindana	Wanashindana kila mwaka.
competition	mashindano	Mashindano yanaanza kesho.
complain	kulalamika	Usilalamike tena.
completely	kabisa	Ninakubaliana nawe kabisa.
condition	hali	Gari liko katika hali nzuri.
conference	mkutano	Mkutano unaanza saa tatu.
connect	kuunganisha	Unganisha simu na kompyuta.
connected	imeunganishwa	Mawazo mawili yameunganishwa.
consider	kuzingatia	Tafadhali zingatia wazo langu.
contain	kuwa na	Sanduku hili lina vitabu.
context	muktadha	Muktadha hukusaidia kuelewa.
continent	bara	Bara ni kubwa sana.
continue	kuendelea	Tafadhali endelea kusoma.
control	kudhibiti	Dhibiti kasi kwa uangalifu.
cooker	jiko	Jiko ni safi.
copy	nakala	Nitengenezee nakala.
corner	kona	Kaa kwenye kona.
correctly	kwa usahihi	Andika jibu kwa usahihi.
count	kuhesabu	Hesabu vitabu.
couple	wanandoa	Wanandoa walifika mapema.
cover	kufunika	Funika bakuli.
crazy	kichaa; ajabu	Wazo hili linasikika ajabu.
creative	mbunifu	Ana wazo bunifu.
credit	mkopo; kadi ya mkopo	Nililipa kwa kadi ya mkopo.
crime	uhalifu	Uhalifu ni tatizo kubwa.
criminal	mhalifu	Mhalifu aliondoka haraka.
cross	kuvuka	Vuka barabara kwa uangalifu.
crowd	umati	Umati ulisubiri nje.
crowded	imejaa watu	Treni ilikuwa imejaa watu.
cry	kulia	Usilie sasa.
cupboard	kabati	Vikombe viko kabatini.
curly	iliyopinda	Ana nywele zilizopinda.
cycle	kuendesha baiskeli	Ninaendesha baiskeli kwenda shule.
daily	kila siku; ya kila siku	Ninasoma habari kila siku.
danger	hatari	Ishara inaonyesha hatari.
data	data	Data ni muhimu.
dead	iliyokufa	Mmea umekufa.
deal	mkataba; dili	Hili ni dili zuri.
death	kifo	Kifo ni mada ngumu.
decision	uamuzi	Fanya uamuzi leo.
deep	kina kirefu	Maji ni ya kina kirefu.
definitely	hakika	Hakika ninataka chai.
degree	shahada; digrii	Shahada yangu ni ya historia.
dentist	daktari wa meno	Daktari wa meno alikagua meno yangu.
department	idara	Idara ya viatu iko ghorofani.
depend	kutegemea	Inategemea hali ya hewa.
desert	jangwa	Jangwa ni kavu sana.
designer	mbunifu	Mbunifu alitengeneza gauni hili.
destroy	kuharibu	Usiharibu faili.
detective	mpelelezi	Mpelelezi alipata ufunguo.
develop	kuendeleza; kutengeneza	Wanatengeneza programu mpya.
device	kifaa	Kifaa hiki ni muhimu.
diary	shajara	Anaandika katika shajara yake.
differently	kwa njia tofauti	Tunafanya hivyo kwa njia tofauti.
digital	dijitali	Hii ni kamera ya dijitali.
direct	moja kwa moja	Panda treni ya moja kwa moja.
direction	mwelekeo	Tembea katika mwelekeo huu.
director	mkurugenzi	Mkurugenzi aliipenda filamu.
disagree	kutokubaliana	Sikubaliani na wazo hilo.
disappear	kutoweka	Jua litatoweka hivi karibuni.
disaster	janga	Dhoruba ilikuwa janga.
discover	kugundua	Wanagundua kisiwa kipya.
discovery	ugunduzi	Ugunduzi ulibadilisha sayansi.
discussion	majadiliano	Majadiliano yalimalizika mapema.
disease	ugonjwa	Ugonjwa huu ni mbaya.
distance	umbali	Umbali ni mfupi.
divorced	waliotalikiana	Wazazi wake wametalikiana.
document	hati	Hifadhi hati hii sasa.
double	maradufu; ya watu wawili	Ninahitaji chumba cha watu wawili.
download	kupakua	Pakua programu leo.
drama	tamthilia	Tamthilia inaanza usiku wa leo.
drawing	mchoro	Mchoro wake ni mzuri.
dream	ndoto	Niliota ndoto ya ajabu.
driving	uendeshaji gari	Kuendesha gari usiku ni kugumu.
drop	kudondosha	Usidondoshe glasi.
drug	dawa	Dawa ilimsaidia.
dry	kavu	Taulo ni kavu.
earn	kupata kipato	Ninapata pesa kazini.
earth	dunia	Dunia ni duara.
easily	kwa urahisi	Anajifunza kwa urahisi.
education	elimu	Elimu ni muhimu.
effect	athari	Athari ilikuwa wazi.
either	mojawapo; yoyote kati ya mbili	Jibu lolote linafaa.
electric	ya umeme	Gari hili ni la umeme.
electrical	ya umeme	Mfumo wa umeme ni salama.
electricity	umeme	Umeme ni ghali hapa.
electronic	kielektroniki	Tiketi hii ya kielektroniki inafanya kazi.
employ	kuajiri	Wanaajiri watu watano.
employee	mfanyakazi	Mfanyakazi anafanya kazi kwa bidii.
employer	mwajiri	Mwajiri wangu ni mwadilifu.
empty	tupu	Chumba ni tupu.
ending	mwisho	Mwisho ulikuwa wa kushangaza.
energy	nishati; nguvu	Sina nguvu leo.
engine	injini	Injini ina kelele.
engineer	mhandisi	Mhandisi alitengeneza daraja.
enormous	kubwa sana	Jengo ni kubwa sana.
enter	kuingia	Ingia chumbani kimya kimya.
environment	mazingira	Linda mazingira.
equipment	vifaa	Vifaa hivi ni ghali.
error	kosa	Nilipata kosa.
especially	hasa	Napenda hasa wimbo huu.
essay	insha	Andika insha usiku wa leo.
everyday	ya kila siku	Hii ni Kiingereza cha kila siku.
everywhere	kila mahali	Maua hukua kila mahali.
evidence	ushahidi	Ushahidi uko wazi.
exact	kamili; sahihi	Toa namba sahihi.
exactly	hasa	Hiyo ni sahihi kabisa.
excellent	bora	Kazi yako ni bora.
except	isipokuwa	Kila mtu alikuja isipokuwa mimi.
exist	kuwepo	Je, anwani hii ipo?
expect	kutarajia	Ninatarajia mvua kesho.
experience	uzoefu	Nina uzoefu na watoto.
experiment	jaribio	Jaribio lilifanya kazi vizuri.
expert	mtaalamu	Muulize mtaalamu msaada.
explanation	maelezo	Maelezo yake yalikuwa wazi.
express	kueleza	Tafadhali eleza maoni yako.
expression	usemi	Usemi huu ni wa kawaida.
extreme	kali	Joto lilikuwa kali.
extremely	sana	Ni baridi sana.
factor	sababu	Gharama ni sababu moja.
factory	kiwanda	Kiwanda kinafungwa saa kumi na moja.
fail	kushindwa	Sikushindwa.
fair	haki; nafuu	Bei ni ya haki.
fan	feni	Washa feni.
farming	kilimo	Kilimo ni kazi ngumu.
fashion	mitindo	Mitindo hubadilika kila mwaka.
fear	hofu	Hofu inaweza kuwazuia watu.
feature	kipengele	Simu hii ina kipengele muhimu.
feed	kulisha	Lisha paka sasa.
female	mwanamke; jike	Mwanariadha mwanamke alishinda.
fiction	tamthiliya; hadithi za kubuni	Anasoma hadithi za kubuni usiku.
field	uwanja; shamba	Shamba ni la kijani.
fight	kupigana	Wanapigana sana.
figure	umbo; takwimu	Tazama umbo.
finally	hatimaye	Hatimaye tulifika nyumbani.
finger	kidole	Kidole changu kinauma.
firstly	kwanza	Kwanza, soma swali.
fishing	uvuvi	Uvuvi unapendwa hapa.
fit	kutoshea	Viatu hivi vinatoshea vizuri.
fix	kutengeneza	Tengeneza kiti kilichovunjika.
flu	mafua	Nina mafua.
flying	kuruka	Kuruka ni haraka.
focus	kuzingatia	Zingatia kazi hii.
following	ufuatao	Soma sentensi ifuatayo.
foreign	kigeni	Anazungumza lugha ya kigeni.
forest	msitu	Msitu ni kimya.
fork	uma	Tumia uma.
formal	rasmi	Barua hii ni rasmi.
fortunately	kwa bahati nzuri	Kwa bahati nzuri, hakuna aliyeumia.
forward	mbele	Sogea mbele polepole.
fresh	safi; mpya	Mkate ni mpya.
