simplified	ES	example_ES	FR	example_FR	DE	example_DE
电梯	el ascensor	El ascensor está a la izquierda.	l'ascenseur	L'ascenseur est à gauche.	der Aufzug	Der Aufzug ist links.
电子邮件	el correo electrónico	Le envío un correo electrónico al profesor.	le courriel; l'e-mail	J'envoie un courriel au professeur.	die E-Mail	Ich schicke dem Lehrer eine E-Mail.
东	el este	El sol sale por el este.	l'est	Le soleil se lève à l'est.	der Osten	Die Sonne geht im Osten auf.
冬	el invierno	En invierno me gusta beber té caliente.	l'hiver	En hiver, j'aime boire du thé chaud.	der Winter	Im Winter trinke ich gern heißen Tee.
动物	el animal	El panda es un animal famoso en China.	l'animal	Le panda est un animal célèbre en Chine.	das Tier	Der Panda ist ein berühmtes Tier in China.
短	corto	Estos pantalones son demasiado cortos.	court	Ce pantalon est trop court.	kurz	Diese Hose ist zu kurz.
段	el párrafo; la sección	Por favor, lee este párrafo.	le paragraphe; la section	Lis ce paragraphe, s'il te plaît.	der Abschnitt; der Absatz	Bitte lies diesen Abschnitt.
锻炼	hacer ejercicio	Hago ejercicio todas las mañanas.	faire de l'exercice	Je fais de l'exercice tous les matins.	Sport treiben; trainieren	Ich treibe jeden Morgen Sport.
多么	qué; cuánto	¡Qué bueno es el ambiente aquí!	que; comme	Comme l'environnement est bon ici !	wie; was für	Wie gut die Umgebung hier ist!
饿	tener hambre; hambriento	Tengo hambre y quiero comer pan.	avoir faim; affamé	J'ai faim et je veux manger du pain.	hungrig sein; hungrig	Ich bin hungrig und möchte Brot essen.
耳朵	la oreja; el oído	Me duele un poco la oreja.	l'oreille	J'ai un peu mal à l'oreille.	das Ohr	Mein Ohr tut ein bisschen weh.
发	enviar; emitir	Envío correos electrónicos por la noche.	envoyer; émettre	J'envoie des e-mails le soir.	senden; ausgeben	Ich verschicke abends E-Mails.
发烧	tener fiebre	Él tiene fiebre y no puede ir a la escuela.	avoir de la fièvre	Il a de la fièvre et ne peut pas aller à l'école.	Fieber haben	Er hat Fieber und kann nicht zur Schule gehen.
发现	descubrir; darse cuenta de	Descubrí que este método es bueno.	découvrir; constater	J'ai découvert que cette méthode est bonne.	entdecken; feststellen	Ich habe festgestellt, dass diese Methode gut ist.
方便	conveniente; práctico	Tomar el metro es conveniente.	pratique; commode	Prendre le métro est pratique.	bequem; praktisch	Mit der U-Bahn zu fahren ist praktisch.
放	poner; soltar	Por favor, pon el libro sobre la mesa.	mettre; lâcher	Mets le livre sur la table, s'il te plaît.	legen; stellen; loslassen	Bitte leg das Buch auf den Tisch.
放心	quedarse tranquilo; no preocuparse	No te preocupes, llegaré a tiempo.	être rassuré; ne plus s'inquiéter	Ne t'inquiète pas, j'arriverai à l'heure.	beruhigt sein; sich keine Sorgen machen	Mach dir keine Sorgen, ich komme pünktlich an.
分	dividir; repartir	Por favor, reparte el pastel entre todos.	diviser; partager	Partage le gâteau entre tout le monde, s'il te plaît.	teilen; verteilen	Bitte verteile den Kuchen an alle.
复习	repasar; revisar	Necesito repasar antes del examen.	réviser	J'ai besoin de réviser avant l'examen.	wiederholen; lernen	Ich muss vor der Prüfung wiederholen.
附近	cerca; los alrededores	Hay un restaurante cerca.	près; les environs	Il y a un restaurant tout près.	in der Nähe; die Umgebung	In der Nähe gibt es ein Restaurant.
干净	limpio; aseado	Esta habitación está muy limpia.	propre	Cette pièce est très propre.	sauber	Dieses Zimmer ist sehr sauber.
感冒	resfriarse; el resfriado	Estoy resfriado y quiero descansar.	avoir un rhume; le rhume	J'ai un rhume et je veux me reposer.	erkältet sein; die Erkältung	Ich bin erkältet und möchte mich ausruhen.
感兴趣	estar interesado	Me interesa mucho el chino.	être intéressé	Je m'intéresse beaucoup au chinois.	interessiert sein	Ich interessiere mich sehr für Chinesisch.
刚才	hace un momento; recién	¿Quién te llamó hace un momento?	tout à l'heure; il y a un instant	Qui t'a appelé tout à l'heure ?	gerade eben; vorhin	Wer hat dich gerade eben angerufen?
个子	la estatura	Él es alto.	la taille	Il est grand.	die Körpergröße	Er ist groß.
根据	según; de acuerdo con	Según el mapa, la escuela está al este.	selon; d'après	D'après la carte, l'école est à l'est.	gemäß; laut	Laut der Karte liegt die Schule im Osten.
跟	con; seguir	Voy al parque con un amigo.	avec; suivre	Je vais au parc avec un ami.	mit; folgen	Ich gehe mit einem Freund in den Park.
更	más; aún más	Hoy hace aún más frío que ayer.	plus; encore plus	Aujourd'hui il fait encore plus froid qu'hier.	mehr; noch	Heute ist es noch kälter als gestern.
公斤	el kilogramo	Estas manzanas pesan un kilogramo.	le kilogramme	Ces pommes pèsent un kilogramme.	das Kilogramm	Diese Äpfel wiegen ein Kilogramm.
公园	el parque público	Los niños juegan en el parque.	le parc	Les enfants jouent dans le parc.	der Park	Die Kinder spielen im Park.
故事	el cuento; la historia	El abuelo me cuenta una historia.	l'histoire; le conte	Grand-père me raconte une histoire.	die Geschichte	Opa erzählt mir eine Geschichte.
刮风	hacer viento	Hoy hace viento; no vayas en bicicleta.	venter; il y a du vent	Il y a du vent aujourd'hui ; ne fais pas de vélo.	windig sein	Heute ist es windig; fahr nicht Fahrrad.
关	cerrar; apagar	Por favor, cierra la puerta.	fermer; éteindre	Ferme la porte, s'il te plaît.	schließen; ausschalten	Bitte mach die Tür zu.
关系	la relación	Tengo una buena relación con mi colega.	la relation	J'ai de bonnes relations avec mon collègue.	die Beziehung; das Verhältnis	Mein Verhältnis zu meinem Kollegen ist gut.
关心	preocuparse por; interesarse por	Mamá se preocupa mucho por mi salud.	se soucier de; s'intéresser à	Maman se soucie beaucoup de ma santé.	sich kümmern um; sich interessieren für	Mama kümmert sich sehr um meine Gesundheit.
关于	sobre; acerca de	Este libro trata sobre la cultura china.	au sujet de; concernant	Ce livre parle de la culture chinoise.	über; bezüglich	Dieses Buch handelt von chinesischer Kultur.
国家	el país; la nación	China es un país muy grande.	le pays; la nation	La Chine est un très grand pays.	das Land; die Nation	China ist ein sehr großes Land.
过	haber hecho alguna vez; partícula de experiencia	He estado en Pekín.	avoir déjà fait; particule d'expérience	Je suis déjà allé à Pékin.	schon einmal getan haben; Erfahrungspartikel	Ich bin schon einmal in Peking gewesen.
过去	el pasado; antes	Antes aquí no había metro.	le passé; autrefois	Autrefois, il n'y avait pas de métro ici.	die Vergangenheit; früher	Früher gab es hier keine U-Bahn.
还是	o; todavía	¿Bebes té o café?	ou; encore	Tu bois du thé ou du café ?	oder; immer noch	Trinkst du Tee oder Kaffee?
害怕	tener miedo	No tengo miedo del examen.	avoir peur	Je n'ai pas peur de l'examen.	Angst haben	Ich habe keine Angst vor der Prüfung.
黑板	la pizarra	El profesor escribe caracteres en la pizarra.	le tableau	Le professeur écrit des caractères au tableau.	die Tafel	Der Lehrer schreibt Zeichen an die Tafel.
后来	después; más tarde	Después fuimos al parque.	ensuite; plus tard	Ensuite, nous sommes allés au parc.	später; danach	Später sind wir in den Park gegangen.
护照	el pasaporte	Por favor, trae tu pasaporte.	le passeport	Apporte ton passeport, s'il te plaît.	der Pass	Bitte bring deinen Pass mit.
96:花	gastar; costar	Comprar el móvil costó dos mil yuanes.	dépenser; coûter	Acheter le téléphone a coûté deux mille yuans.	ausgeben; kosten	Der Kauf des Handys hat zweitausend Yuan gekostet.
97:花	la flor	Hay una flor sobre la mesa.	la fleur	Il y a une fleur sur la table.	die Blume	Auf dem Tisch steht eine Blume.
画	dibujar; el dibujo; la pintura	A mi hermana menor le gusta dibujar pandas.	dessiner; le dessin; la peinture	Ma petite soeur aime dessiner des pandas.	zeichnen; das Bild; malen	Meine jüngere Schwester zeichnet gern Pandas.
坏	malo; roto	Mi ordenador está roto.	mauvais; cassé	Mon ordinateur est cassé.	schlecht; kaputt	Mein Computer ist kaputt.
欢迎	dar la bienvenida; bienvenido	Bienvenido a mi casa.	accueillir; bienvenue	Bienvenue chez moi.	willkommen heißen; willkommen	Willkommen bei mir zu Hause.
环境	el ambiente; el entorno	El entorno de esta escuela es muy bueno.	l'environnement	Cette école a un très bon environnement.	die Umgebung; die Umwelt	Die Umgebung dieser Schule ist sehr gut.
还	devolver; volver	Por favor, devuélveme mi libro mañana.	rendre; revenir	Rends-moi mon livre demain, s'il te plaît.	zurückgeben; zurückkommen	Bitte gib mir morgen mein Buch zurück.
换	cambiar; intercambiar	Quiero cambiar una camisa.	changer; échanger	Je veux échanger une chemise.	wechseln; umtauschen	Ich möchte ein Hemd umtauschen.
黄河	el Río Amarillo	El Río Amarillo es muy largo.	le fleuve Jaune	Le fleuve Jaune est très long.	der Gelbe Fluss	Der Gelbe Fluss ist sehr lang.
回答	responder; la respuesta	Por favor, responde a mi pregunta.	répondre; la réponse	Répondez à ma question, s'il vous plaît.	antworten; die Antwort	Bitte beantworten Sie meine Frage.
会议	la reunión; la conferencia	La reunión empieza a las nueve.	la réunion; la conférence	La réunion commence à neuf heures.	die Besprechung; die Konferenz	Die Besprechung beginnt um neun.
或者	o; quizá	Puedes tomar el metro o el autobús.	ou; peut-être	Tu peux prendre le métro ou le bus.	oder; vielleicht	Du kannst die U-Bahn oder den Bus nehmen.
几乎	casi	Él hace ejercicio casi todos los días.	presque	Il fait de l'exercice presque tous les jours.	fast; beinahe	Er treibt fast jeden Tag Sport.
机会	la oportunidad	Esta es una buena oportunidad.	l'occasion; la chance	C'est une bonne occasion.	die Gelegenheit; die Chance	Das ist eine gute Gelegenheit.
极	extremadamente; muy	Ella está extremadamente feliz.	extrêmement; très	Elle est extrêmement heureuse.	äußerst; sehr	Sie ist äußerst glücklich.
季节	la estación del año	El otoño es mi estación favorita.	la saison	L'automne est ma saison préférée.	die Jahreszeit	Der Herbst ist meine Lieblingsjahreszeit.
记得	recordar	¿Te acordaste de traer la tarjeta de crédito?	se souvenir	As-tu pensé à apporter la carte de crédit ?	sich erinnern; daran denken	Denkst du daran, die Kreditkarte mitzubringen?
检查	revisar; examinar	El médico me examina.	examiner; vérifier	Le médecin m'examine.	untersuchen; überprüfen	Der Arzt untersucht mich.
简单	sencillo; simple	Esta frase es muy sencilla.	simple; facile	Cette phrase est très simple.	einfach	Dieser Satz ist sehr einfach.
健康	la salud; sano	Hacer ejercicio es bueno para la salud.	la santé; sain	Faire de l'exercice est bon pour la santé.	die Gesundheit; gesund	Sport ist gut für die Gesundheit.
见面	verse; encontrarse	Nos veremos mañana en la escuela.	se rencontrer; se voir	Nous nous verrons demain à l'école.	sich treffen	Wir treffen uns morgen in der Schule.
讲	explicar; hablar	El profesor explica con mucha claridad.	expliquer; parler	Le professeur explique très clairement.	erklären; sprechen	Der Lehrer erklärt sehr klar.
教	enseñar	Él me enseña a escribir caracteres chinos.	enseigner	Il m'apprend à écrire des caractères chinois.	unterrichten; beibringen	Er bringt mir bei, chinesische Zeichen zu schreiben.
脚	el pie; la pierna	Me duele un poco el pie.	le pied; la jambe	J'ai un peu mal au pied.	der Fuß; das Bein	Mein Fuß tut ein bisschen weh.
角	la esquina; el ángulo	La tienda está en la esquina de la calle.	le coin; l'angle	Le magasin est au coin de la rue.	die Ecke; der Winkel	Der Laden ist an der Straßenecke.
接	recoger; recibir; contestar	Voy al aeropuerto a recoger a un amigo.	venir chercher; recevoir; répondre	Je vais chercher un ami à l'aéroport.	abholen; empfangen; ans Telefon gehen	Ich fahre zum Flughafen, um einen Freund abzuholen.
街道	la calle	Esta calle está muy limpia.	la rue	Cette rue est très propre.	die Straße	Diese Straße ist sehr sauber.
结婚	casarse	Ellos se casarán el año que viene.	se marier	Ils vont se marier l'année prochaine.	heiraten	Sie werden nächstes Jahr heiraten.
结束	terminar; acabar	El partido ya ha terminado.	finir; se terminer	Le match est déjà terminé.	beenden; enden	Das Spiel ist schon zu Ende.
节目	el programa; el espectáculo	Este programa de televisión es muy bueno.	l'émission; le programme	Cette émission de télévision est très bonne.	die Sendung; das Programm	Diese Fernsehsendung ist sehr gut.
节日	la fiesta; el festival	La Fiesta de la Primavera es una fiesta china importante.	la fête; le festival	La fête du Printemps est une fête chinoise importante.	das Fest; der Feiertag	Das Frühlingsfest ist ein wichtiges chinesisches Fest.
解决	resolver; solucionar	Este problema ya se ha resuelto.	résoudre	Ce problème a déjà été résolu.	lösen	Dieses Problem ist schon gelöst.
借	pedir prestado; prestar	Quiero pedir prestado tu diccionario.	emprunter; prêter	Je veux emprunter ton dictionnaire.	leihen; ausleihen	Ich möchte dein Wörterbuch ausleihen.
经常	a menudo; frecuentemente	Voy a menudo a la biblioteca.	souvent; fréquemment	Je vais souvent à la bibliothèque.	oft; häufig	Ich gehe oft in die Bibliothek.
经过	pasar por; atravesar	Paso por este parque todos los días.	passer par; traverser	Je passe par ce parc tous les jours.	vorbeikommen an; durchqueren	Ich komme jeden Tag an diesem Park vorbei.
经理	el gerente; el director	El gerente está en una reunión.	le directeur; le responsable	Le directeur est en réunion.	der Manager; der Geschäftsführer	Der Manager ist in einer Besprechung.
久	mucho tiempo; largo	Vivo aquí desde hace mucho tiempo.	longtemps; long	J'habite ici depuis longtemps.	lange; lange Zeit	Ich wohne schon lange hier.
旧	viejo; usado	Esta prenda es muy vieja.	vieux; usagé	Ce vêtement est très vieux.	alt; gebraucht	Dieses Kleidungsstück ist sehr alt.
句子	la frase; la oración	Por favor, escribe una frase.	la phrase	Écris une phrase, s'il te plaît.	der Satz	Bitte schreib einen Satz.
决定	decidir; la decisión	Decidí estudiar chino.	décider; la décision	J'ai décidé d'étudier le chinois.	entscheiden; die Entscheidung	Ich habe beschlossen, Chinesisch zu lernen.
可爱	adorable; lindo	Este gato es muy lindo.	mignon; adorable	Ce chat est très mignon.	süß; niedlich	Diese Katze ist sehr süß.
渴	tener sed	Tengo sed y quiero beber agua.	avoir soif	J'ai soif et je veux boire de l'eau.	Durst haben	Ich habe Durst und möchte Wasser trinken.
刻	el cuarto de hora; momento	Son las ocho y cuarto.	le quart d'heure; le moment	Il est huit heures et quart.	die Viertelstunde; der Moment	Es ist Viertel nach acht.
客人	el invitado; el cliente	Hoy vino un invitado a nuestra casa.	l'invité; le client	Un invité est venu chez nous aujourd'hui.	der Gast; der Kunde	Heute ist ein Gast zu uns nach Hause gekommen.
空调	el aire acondicionado	Por favor, enciende el aire acondicionado.	la climatisation	Allume la climatisation, s'il te plaît.	die Klimaanlage	Bitte mach die Klimaanlage an.
口	la boca; clasificador para personas o animales	Él tomó un sorbo de agua.	la bouche; classificateur pour personnes ou animaux	Il a bu une gorgée d'eau.	der Mund; Zähleinheitswort für Personen oder Tiere	Er nahm einen Schluck Wasser.
哭	llorar	¿Por qué llora el niño?	pleurer	Pourquoi l'enfant pleure-t-il ?	weinen	Warum weint das Kind?
裤子	los pantalones	Estos pantalones son nuevos.	le pantalon	Ce pantalon est neuf.	die Hose	Diese Hose ist neu.
筷子	los palillos	Sé comer con palillos.	les baguettes	Je sais manger avec des baguettes.	die Essstäbchen	Ich kann mit Essstäbchen essen.
蓝	azul	El cielo es azul.	bleu	Le ciel est bleu.	blau	Der Himmel ist blau.
老	viejo; mayor	Mi profesor no es mayor.	vieux; âgé	Mon professeur n'est pas âgé.	alt	Mein Lehrer ist nicht alt.
离开	irse; salir	Él se va de Pekín mañana.	partir; quitter	Il quitte Pékin demain.	verlassen; weggehen	Er verlässt morgen Peking.
礼物	el regalo	Este es un regalo para ti.	le cadeau	C'est un cadeau pour toi.	das Geschenk	Das ist ein Geschenk für dich.
历史	la historia	Me gusta la historia china.	l'histoire	J'aime l'histoire chinoise.	die Geschichte	Ich mag chinesische Geschichte.
脸	la cara; el rostro	Su cara está muy roja.	le visage	Son visage est très rouge.	das Gesicht	Ihr Gesicht ist sehr rot.
练习	practicar; el ejercicio	Por favor, practica más hablar chino.	pratiquer; l'exercice	Entraîne-toi davantage à parler chinois, s'il te plaît.	üben; die Übung	Bitte übe mehr, Chinesisch zu sprechen.
辆	clasificador para vehículos	Hay un taxi en la puerta.	classificateur pour véhicules	Il y a un taxi devant la porte.	Zähleinheitswort für Fahrzeuge	Vor der Tür steht ein Taxi.
聊天	charlar; conversar	Charlo con un amigo.	bavarder; discuter	Je discute avec un ami.	plaudern; chatten	Ich plaudere mit einem Freund.
了解	entender; conocer	Quiero entender la cultura china.	comprendre; connaître	Je veux comprendre la culture chinoise.	verstehen; kennenlernen	Ich möchte die chinesische Kultur verstehen.
邻居	el vecino	Mi vecino es muy amable.	le voisin	Mon voisin est très chaleureux.	der Nachbar	Mein Nachbar ist sehr herzlich.
留学	estudiar en el extranjero	Ella estudia en China como estudiante extranjera.	étudier à l'étranger	Elle fait ses études en Chine.	im Ausland studieren	Sie studiert in China im Ausland.
楼	el edificio; el piso	La oficina está en el tercer piso.	l'immeuble; l'étage	Le bureau est au troisième étage.	das Gebäude; die Etage	Das Büro ist im dritten Stock.
绿	verde	En primavera los árboles se vuelven verdes.	vert	Au printemps, les arbres deviennent verts.	grün	Im Frühling werden die Bäume grün.
马	el caballo	Ese caballo corre muy rápido.	le cheval	Ce cheval court très vite.	das Pferd	Dieses Pferd läuft sehr schnell.
马上	enseguida; inmediatamente	Volveré enseguida.	tout de suite; immédiatement	Je reviens tout de suite.	sofort; gleich	Ich bin sofort zurück.
满意	satisfecho	Estoy muy satisfecho con esta habitación.	satisfait	Je suis très satisfait de cette chambre.	zufrieden	Ich bin mit diesem Zimmer sehr zufrieden.
帽子	el sombrero; la gorra	Este sombrero es muy bonito.	le chapeau; la casquette	Ce chapeau est très joli.	der Hut; die Mütze	Dieser Hut ist sehr hübsch.
米	el metro; el arroz	Esta mesa mide dos metros de largo.	le mètre; le riz	Cette table fait deux mètres de long.	der Meter; der Reis	Dieser Tisch ist zwei Meter lang.
面包	el pan	Desayuno pan.	le pain	Je mange du pain au petit-déjeuner.	das Brot	Ich esse Brot zum Frühstück.
明白	entender; claro	Entiendo lo que quieres decir.	comprendre; clair	Je comprends ce que tu veux dire.	verstehen; klar	Ich verstehe, was du meinst.
拿	tomar; coger; sostener	Por favor, toma un libro para mí.	prendre; tenir	Prends un livre pour moi, s'il te plaît.	nehmen; halten	Bitte nimm ein Buch für mich.
奶奶	la abuela paterna; la abuela	A la abuela le gusta escuchar música.	la grand-mère paternelle; la mamie	Grand-mère aime écouter de la musique.	die Großmutter väterlicherseits; die Oma	Oma hört gern Musik.
南	el sur	La escuela está en el sur de la ciudad.	le sud	L'école est au sud de la ville.	der Süden	Die Schule liegt im Süden der Stadt.
难	difícil	Esta pregunta no es difícil.	difficile	Cette question n'est pas difficile.	schwierig	Diese Frage ist nicht schwierig.
难过	triste; apenado	Ella está un poco triste hoy.	triste; peiné	Elle est un peu triste aujourd'hui.	traurig; bekümmert	Sie ist heute ein bisschen traurig.
年级	el curso; el grado	Mi hermana menor está en tercer curso.	la classe; le niveau scolaire	Ma petite soeur est en troisième année.	die Klassenstufe	Meine jüngere Schwester ist in der dritten Klasse.
年轻	joven	Este gerente es muy joven.	jeune	Ce directeur est très jeune.	jung	Dieser Manager ist sehr jung.
鸟	el pájaro	Hay un pájaro en el árbol.	l'oiseau	Il y a un oiseau dans l'arbre.	der Vogel	Im Baum sitzt ein Vogel.
努力	esforzarse; el esfuerzo	Él estudia con mucho esfuerzo.	faire des efforts; l'effort	Il étudie avec beaucoup d'application.	sich anstrengen; die Mühe	Er lernt sehr fleißig.
爬山	escalar montañas; hacer senderismo	Vamos a subir a la montaña este fin de semana.	faire de la randonnée en montagne; grimper	Nous allons faire de la randonnée en montagne ce week-end.	Berge besteigen; wandern	Wir gehen dieses Wochenende bergwandern.
盘子	el plato; la bandeja	Hay tres platos sobre la mesa.	l'assiette; le plateau	Il y a trois assiettes sur la table.	der Teller; die Platte	Auf dem Tisch stehen drei Teller.
