hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
1100:此次	此次	此次	tentokrát; tato událost	Tato schůze je velmi důležitá.	tentoraz; táto udalosť	Táto schôdza je veľmi dôležitá.	ez alkalommal; ezúttal	Ez a megbeszélés nagyon fontos.	de data aceasta; această dată	Această ședință este foarte importantă.	този път; това събитие	Тази среща е много важна.	ovaj put; ova prilika	Ovaj sastanak je vrlo važan.
1104:从中	从中	从中	z toho; z jejich středu	Hodně se z toho naučil.	z toho; spomedzi nich	Veľa sa z toho naučil.	ebből; közülük	Sokat tanult belőle.	din aceasta; dintre ele	A învățat multe din aceasta.	от това; измежду тях	Той научи много от това.	iz toga; među njima	Iz toga je mnogo naučio.
1105:粗	粗	粗	tlustý; hrubý	Tento provaz je poměrně tlustý.	hrubý; drsný	Tento povraz je pomerne hrubý.	vastag; durva	Ez a kötél viszonylag vastag.	gros; aspru	Această frânghie este destul de groasă.	дебел; груб	Това въже е сравнително дебело.	debeo; grub	Ovo uže je prilično debelo.
1107:村	村	村	vesnice	Babička žije v malé vesnici.	dedina	Stará mama býva v malej dedine.	falu	A nagymama egy kis faluban él.	sat	Bunica locuiește într-un sat mic.	село	Баба живее в малко село.	selo	Baka živi u malom selu.
1109:错过	错过	错过	zmeškat; propásnout	Nepropásněte zítřejší zápas.	zmeškať; prepásť	Nepremeškajte zajtrajší zápas.	elszalasztani; lekésni	Ne szalaszd el a holnapi meccset.	a rata	Nu rata meciul de mâine.	изпускам; пропускам	Не пропускай утрешния мач.	propustiti	Ne propusti sutrašnju utakmicu.
1112:答	答	答	odpovědět	Rychle odpověděl na tuto otázku.	odpovedať	Rýchlo odpovedal na túto otázku.	válaszolni	Gyorsan megválaszolta ezt a kérdést.	a răspunde	A răspuns foarte repede la această întrebare.	отговарям	Той бързо отговори на този въпрос.	odgovoriti	Brzo je odgovorio na ovo pitanje.
1116:打败	打败	打败	porazit	Nakonec porazili silný tým.	poraziť	Nakoniec porazili silný tím.	legyőzni	Végül legyőzték az erős csapatot.	a învinge	În cele din urmă au învins echipa puternică.	побеждавам	Накрая победиха силния отбор.	pobijediti	Na kraju su pobijedili snažnu ekipu.
1120:打印机	打印机	打印机	tiskárna	Tiskárna v kanceláři je rozbitá.	tlačiareň	Tlačiareň v kancelárii je pokazená.	nyomtató	Az irodai nyomtató elromlott.	imprimantă	Imprimanta din birou este stricată.	принтер	Принтерът в офиса е повреден.	pisač	Pisač u uredu je pokvaren.
1123:大巴	大巴	大巴	dálkový autobus; autobus	Jedeme autobusem na letiště.	diaľkový autobus; autobus	Ideme autobusom na letisko.	távolsági busz	Autóbusszal megyünk a repülőtérre.	autocar	Mergem la aeroport cu autocarul.	туристически автобус	Отиваме до летището с автобус.	autobus; turistički autobus	Idemo autobusom do zračne luke.
1124:大大	大大	大大	výrazně; velmi	Tato akce výrazně zvýšila zájem.	výrazne; veľmi	Táto aktivita výrazne zvýšila záujem.	nagymértékben; nagyon	Ez a program nagymértékben növelte az érdeklődést.	foarte mult; considerabil	Această activitate a crescut considerabil interesul.	значително; много	Това събитие значително повиши интереса.	znatno; uvelike	Ova je aktivnost znatno povećala zanimanje.
1126:大量	大量	大量	velké množství	V supermarketu je velké množství čerstvého ovoce.	veľké množstvo	V supermarkete je veľké množstvo čerstvého ovocia.	nagy mennyiség	A szupermarketben nagy mennyiségű friss gyümölcs van.	cantitate mare	În supermarket este o cantitate mare de fructe proaspete.	голямо количество	В супермаркета има голямо количество пресни плодове.	velika količina	U supermarketu ima velika količina svježeg voća.
1127:大赛	大赛	大赛	velká soutěž	Škola příští týden pořádá soutěž v čínštině.	veľká súťaž	Škola budúci týždeň organizuje súťaž z čínštiny.	nagy verseny	Az iskola jövő héten kínai versenyt rendez.	mare concurs	Școala organizează săptămâna viitoare un concurs de chineză.	голямо състезание	Училището ще проведе състезание по китайски следващата седмица.	veliko natjecanje	Škola sljedeći tjedan održava natjecanje iz kineskog.
1128:大厅	大厅	大厅	vstupní hala; foyer	Hosté čekají na auto ve vstupní hale.	vstupná hala; foyer	Hostia čakajú na auto vo vstupnej hale.	előcsarnok; nagyterem	A vendégek az előcsarnokban várják az autót.	sală mare; hol	Oaspeții așteaptă mașina în hol.	голяма зала; фоайе	Гостите чакат колата във фоайето.	velika dvorana; predvorje	Gosti čekaju automobil u predvorju.
1130:大自然	大自然	大自然	příroda	Děti si rády hrají v přírodě.	príroda	Deti sa rady hrajú v prírode.	természet	A gyerekek szeretnek a természetben játszani.	natură	Copiilor le place să se joace în natură.	природа	Децата обичат да играят сред природата.	priroda	Djeca se vole igrati u prirodi.
1131:待	待	待	zůstat; pobývat	Zůstal doma celý den.	zostať; pobývať	Zostal doma celý deň.	maradni; tartózkodni	Egész nap otthon maradt.	a sta; a rămâne	A stat acasă o zi întreagă.	стоя; оставам	Той остана вкъщи цял ден.	ostati; boraviti	Ostao je kod kuće cijeli dan.
1133:袋子	袋子	袋子	sáček; taška	Prosím, dejte ovoce do sáčku.	vrecko; taška	Prosím, dajte ovocie do vrecka.	zacskó; táska	Kérlek, tedd a gyümölcsöt a zacskóba.	pungă	Te rog să pui fructele în pungă.	торбичка	Моля, сложете плодовете в торбичката.	vrećica	Molimo stavite voće u vrećicu.
1140:道	道	道	číslovka pro otázky; cesta	Tato otázka není těžká.	číslovka pre otázky; cesta	Táto otázka nie je ťažká.	számlálószó feladatokhoz; út	Ez a feladat nem nehéz.	clasificator pentru întrebări; drum	Această întrebare nu este grea.	мерна дума за задачи; път	Тази задача не е трудна.	brojna riječ za pitanja; put	Ovo pitanje nije teško.
1142:到来	到来	到来	příchod	Příchod jara lidi těší.	príchod	Príchod jari ľudí teší.	érkezés	A tavasz érkezése örömet okoz az embereknek.	sosire; venire	Sosirea primăverii îi bucură pe oameni.	пристигане; идване	Идването на пролетта радва хората.	dolazak	Dolazak proljeća veseli ljude.
1143:道路	道路	道路	silnice; cesta	Tato cesta vede do vesnice.	cesta; komunikácia	Táto cesta vedie do dediny.	út	Ez az út a faluba vezet.	drum	Acest drum duce spre sat.	път	Този път води към селото.	cesta	Ova cesta vodi prema selu.
1146:登机	登机	登机	nastoupit do letadla	Prosím, nastupte do letadla o půl hodiny dříve.	nastúpiť do lietadla	Prosím, nastúpte do lietadla o pol hodiny skôr.	repülőre szállni	Kérjük, fél órával korábban szálljon be a repülőre.	a se îmbarca în avion	Vă rugăm să vă îmbarcați cu o jumătate de oră mai devreme.	качвам се на самолет	Моля, качете се на самолета половин час по-рано.	ukrcati se u avion	Molimo ukrcajte se u avion pola sata ranije.
1148:等到	等到	等到	počkat až	Počkáme, až přestane pršet, a pak půjdeme.	počkať až	Počkáme, kým prestane pršať, a potom pôjdeme.	megvárni, amíg	Megvárjuk, amíg eláll az eső, aztán indulunk.	a aștepta până	Când se oprește ploaia, vom pleca.	чакам докато	Ще изчакаме дъждът да спре и тогава ще тръгнем.	čekati dok	Kad kiša prestane, krenut ćemo.
1150:低价	低价	低价	nízká cena	Tento obchod často prodává levné letenky.	nízka cena	Tento obchod často predáva lacné letenky.	alacsony ár	Ez az üzlet gyakran árul olcsó repülőjegyeket.	preț mic	Acest magazin vinde adesea bilete de avion la preț mic.	ниска цена	Този магазин често продава самолетни билети на ниска цена.	niska cijena	Ova trgovina često prodaje jeftine avionske karte.
1151:低温	低温	低温	nízká teplota	V chladném počasí si oblečte více vrstev.	nízka teplota	Pri nízkej teplote si oblečte viac oblečenia.	alacsony hőmérséklet	Alacsony hőmérsékletben több ruhát kell felvenni.	temperatură scăzută	Pe vreme cu temperatură scăzută, trebuie să porți mai multe haine.	ниска температура	При ниска температура трябва да облечеш повече дрехи.	niska temperatura	Pri niskoj temperaturi treba obući više odjeće.
1152:低于	低于	低于	být nižší než	Dnešní teplota je nižší než včera.	byť nižší než	Dnešná teplota je nižšia než včera.	alacsonyabb valaminél	A mai hőmérséklet alacsonyabb a tegnapinál.	a fi mai mic decât	Temperatura de azi este mai scăzută decât cea de ieri.	по-нисък от	Днешната температура е по-ниска от вчерашната.	biti niži od	Današnja temperatura niža je od jučerašnje.
1154:底下	底下	底下	pod; dole	Pod stolem je taška.	pod; dole	Pod stolom je taška.	alatt; lent	Az asztal alatt van egy táska.	sub; dedesubt	Sub masă este o geantă.	под; отдолу	Под масата има чанта.	ispod; dolje	Ispod stola je torba.
1157:点名	点名	点名	číst docházku; vyvolat jména	Učitel před hodinou čte docházku.	čítať dochádzku; vyvolávať mená	Učiteľ pred hodinou číta dochádzku.	névsort olvasni	A tanár óra előtt névsort olvas.	a face prezența	Profesorul face prezența înainte de oră.	проверявам присъствие	Учителят проверява присъствието преди часа.	prozivati; provjeriti prisutnost	Učitelj prije sata proziva učenike.
1158:点头	点头	点头	přikývnout	Přikývla, aby ukázala souhlas.	prikývnuť	Prikývla, aby ukázala súhlas.	bólintani	Bólintott, jelezve, hogy egyetért.	a da din cap	A dat din cap ca să arate că este de acord.	кимам	Тя кимна, за да покаже съгласие.	kimnuti	Kimnula je kako bi pokazala da se slaže.
1159:电动车	电动车	电动车	elektrické vozidlo	Do práce jezdí na elektrickém skútru.	elektrické vozidlo	Do práce chodí na elektrickom skútri.	elektromos jármű	Elektromos járművel jár dolgozni.	vehicul electric	Merge la serviciu cu un vehicul electric.	електрическо превозно средство	Той ходи на работа с електрическо превозно средство.	električno vozilo	Na posao ide električnim vozilom.
1160:电视剧	电视剧	电视剧	televizní seriál	Moje maminka ráda sleduje televizní seriály.	televízny seriál	Moja mama rada pozerá televízne seriály.	tévésorozat	Anyám szeret tévésorozatokat nézni.	serial TV	Mamei mele îi place să se uite la seriale TV.	телевизионен сериал	Майка ми обича да гледа телевизионни сериали.	televizijska serija	Moja majka voli gledati televizijske serije.
1163:订	订	订	rezervovat; objednat	Už jsem si rezervoval jednu letenku.	rezervovať; objednať	Už som si rezervoval jednu letenku.	foglalni; rendelni	Már lefoglaltam egy repülőjegyet.	a rezerva; a comanda	Am rezervat deja un bilet de avion.	резервирам; поръчвам	Вече резервирах един самолетен билет.	rezervirati; naručiti	Već sam rezervirao jednu avionsku kartu.
1164:定	定	定	rozhodnout; stanovit	Čas schůze už byl stanoven.	rozhodnúť; stanoviť	Čas schôdze už bol stanovený.	eldönteni; rögzíteni	A megbeszélés időpontját már kitűzték.	a decide; a stabili	Ora ședinței a fost deja stabilită.	решавам; определям	Часът на срещата вече е определен.	odrediti; odlučiti	Vrijeme sastanka već je određeno.
1165:东部	东部	东部	východní část	Ve východní části města je nový park.	východná časť	Vo východnej časti mesta je nový park.	keleti rész	A város keleti részén van egy új park.	partea de est	În partea de est a orașului este un parc nou.	източна част	В източната част на града има нов парк.	istočni dio	U istočnom dijelu grada nalazi se novi park.
1166:动车	动车	动车	rychlovlak; vysokorychlostní vlak	Jedeme rychlovlakem do Šanghaje.	rýchlovlak; vysokorýchlostný vlak	Ideme rýchlovlakom do Šanghaja.	motorvonat; gyorsvonat	Nagysebességű vonattal megyünk Sanghajba.	tren rapid; tren de mare viteză	Mergem la Shanghai cu trenul de mare viteză.	високоскоростен влак	Отиваме до Шанхай с високоскоростен влак.	brzi vlak; vlak velike brzine	Idemo u Šangaj brzim vlakom.
1168:读者	读者	读者	čtenář	Tato kniha má mnoho mladých čtenářů.	čitateľ	Táto kniha má veľa mladých čitateľov.	olvasó	Ennek a könyvnek sok fiatal olvasója van.	cititor	Această carte are mulți cititori tineri.	читател	Тази книга има много млади читатели.	čitatelj	Ova knjiga ima mnogo mladih čitatelja.
1170:度假	度假	度假	jet na dovolenou	Jeli k moři na dovolenou.	ísť na dovolenku	Išli k moru na dovolenku.	nyaralni; szabadságon lenni	A tengerpartra mentek nyaralni.	a merge în vacanță	Au mers la mare în vacanță.	отивам на почивка	Те отидоха на море на почивка.	ići na odmor	Otišli su na more na odmor.
1173:队	队	队	tým; řada	U dveří stojí řada lidí.	tím; rad	Pri dverách stojí rad ľudí.	csapat; sor	Az ajtónál egy sor ember áll.	echipă; rând	La ușă este un rând de oameni.	отбор; редица	Пред вратата има редица хора.	ekipa; red	Pred vratima stoji red ljudi.
1177:队员	队员	队员	člen týmu	Každý člen týmu se velmi snaží.	člen tímu	Každý člen tímu sa veľmi snaží.	csapattag	Minden csapattag keményen dolgozik.	membru al echipei	Fiecare membru al echipei muncește din greu.	член на отбора	Всеки член на отбора се старае много.	član ekipe	Svaki član ekipe jako se trudi.
1178:队长	队长	队长	vedoucí týmu; kapitán	Vedoucí týmu právě plánuje trénink.	vedúci tímu; kapitán	Vedúci tímu práve plánuje tréning.	csapatkapitány; vezető	A csapatkapitány éppen az edzést szervezi.	căpitan; lider de echipă	Căpitanul organizează antrenamentul.	капитан; ръководител на отбор	Капитанът организира тренировката.	kapetan; vođa ekipe	Kapetan organizira trening.
1181:多数	多数	多数	většina	Většina studentů si vybrala kurz čínštiny.	väčšina	Väčšina študentov si vybrala kurz čínštiny.	többség	A diákok többsége a kínai órát választotta.	majoritate	Majoritatea elevilor au ales cursul de chineză.	мнозинство; повечето	Повечето ученици избраха часа по китайски.	većina	Većina učenika odabrala je nastavu kineskog.
1182:多样	多样	多样	rozmanitý; různorodý	Formy aktivit jsou zde velmi rozmanité.	rozmanitý; rôznorodý	Formy aktivít sú tu veľmi rozmanité.	sokféle; változatos	Az itteni programformák nagyon változatosak.	divers; variat	Formele activităților de aici sunt foarte diverse.	разнообразен	Формите на дейностите тук са много разнообразни.	raznolik	Oblici aktivnosti ovdje su vrlo raznoliki.
1185:发出	发出	发出	vydat; odeslat	Mobilní telefon vydal zvuk.	vydať; odoslať	Mobilný telefón vydal zvuk.	kibocsátani; elküldeni	A mobiltelefon hangot adott ki.	a emite; a trimite	Telefonul mobil a scos un sunet.	издавам; изпращам	Телефонът издаде звук.	ispustiti; poslati	Mobitel je ispustio zvuk.
1186:发送	发送	发送	odeslat	Prosím, pošlete mi ten e-mail.	odoslať	Prosím, pošlite mi ten e-mail.	elküldeni	Kérlek, küldd el nekem az e-mailt.	a trimite	Te rog să-mi trimiți e-mailul.	изпращам	Моля, изпрати ми имейла.	poslati	Molim te, pošalji mi e-mail.
1187:法	法	法	zákon; metoda	Tento způsob je poměrně jednoduchý.	zákon; metóda	Tento spôsob je pomerne jednoduchý.	törvény; módszer	Ez a módszer viszonylag egyszerű.	lege; metodă	Această metodă este destul de simplă.	закон; метод	Този метод е сравнително прост.	zakon; metoda	Ova je metoda prilično jednostavna.
