simplified	JA	example_JA
毕竟	結局; 何といっても	結局、彼はまだ子どもです。
避免	避ける; 防ぐ	遅刻しないようにしてください。
编辑	編集する; 編集者	彼はこの記事の編集を担当しています。
鞭炮	爆竹	春節には爆竹を鳴らす人がいます。
便	すると; すぐに	彼は食事を終えると授業に行きました。
辩论	討論する; 討論	彼らはこの問題について討論しています。
标点	句読点	句読点に注意してください。
标志	しるし; 標識	赤信号は止まれの合図です。
表达	表現する; 伝える	彼は自分の考えを表現しました。
表面	表面	机の表面はとてもきれいです。
表明	明らかにする; 示す	結果は彼が正しいことを示しています。
表情	表情	彼女の表情はとても真剣です。
表现	表現する; 成績を示す	彼は今日とてもよい働きをしました。
冰激凌	アイスクリーム	子どもたちはアイスクリームを食べるのが好きです。
病毒	ウイルス	このウイルスはとても速く広がります。
播放	再生する; 放送する	この歌を再生してください。
玻璃	ガラス	ガラスのコップが割れました。
博物馆	博物館	私たちは週末に博物館へ行きます。
脖子	首	首が少し痛いです。
不断	絶えず; 途切れずに	物価は上がり続けています。
不见得	必ずしも〜とは限らない	これは必ずしも悪いことではありません。
不耐烦	いらいらする; せっかちな	長い間待って、彼は少しいらいらしてきました。
不要紧	大丈夫だ; たいしたことはない	大丈夫です、たいしたことはありません。
补充	補充する; 付け加える	意見を一つ付け加えたいです。
不安	不安な	この知らせを聞いて、彼女は不安になりました。
不得了	大変な; ひどい	この件は本当に大変です。
不然	そうでなければ	早く行きましょう、そうでないと遅刻します。
不如	〜よりよい; 及ばない	車に乗るより、歩いたほうがよいです。
不足	不足している; 不十分な	ここには水が足りません。
布	布	この布はとても柔らかいです。
步骤	手順; ステップ	手順どおりに操作してください。
部门	部門; 部署	私は営業部門で働いています。
财产	財産; 資産	この家は彼の財産です。
彩虹	虹	雨のあとに虹が出ました。
踩	踏む	芝生を踏まないでください。
采访	取材する; インタビューする	記者が医者にインタビューしています。
采取	採用する; 取る	私たちは新しい方法を採用しました。
参考	参考にする; 参照	この本を参考にしてください。
参与	参加する	彼は活動に積極的に参加しています。
惭愧	恥ずかしい; 面目ない	自分の間違いを恥ずかしく思います。
操场	運動場; グラウンド	学生たちは運動場で走っています。
操心	心配する	私のことを心配しないでください。
册	冊; 巻	私は本を一冊買いました。
测验	小テスト; テストする	明日は小テストがあります。
曾经	かつて; 以前	私はかつて北京に住んだことがあります。
叉子	フォーク	私はフォークでサラダを食べます。
差距	格差; 差	都市と農村には格差があります。
插	挿す; 差し込む	花を花瓶に挿してください。
拆	取り壊す; 分解する	作業員が古い家を取り壊しています。
产品	製品	この製品は品質がとてもよいです。
产生	生じる; 発生する	この問題は新しい影響を生みました。
常识	常識	これは基本的な常識です。
长途	長距離	長距離旅行は疲れます。
抄	写す; 盗用する	他人の宿題を写さないでください。
超级	スーパー; 超	これはスーパーマーケットです。
朝	王朝; 朝廷	唐の王朝はとても有名です。
潮湿	湿っている; 湿気が多い	南方の夏はとても湿気が多いです。
吵	うるさい; 騒ぐ	外はとてもうるさいです。
吵架	けんかする	彼らはまたけんかしました。
炒	炒める	母は料理を炒めています。
车库	車庫; ガレージ	車はガレージに停めてあります。
车厢	車両; 車内	この車両はとても静かです。
彻底	徹底的な; すっかり	彼はすっかり理解しました。
沉默	沈黙する; 無口な	彼はずっと沈黙を保っていました。
趁	〜のうちに; 利用して	まだ暗くならないうちに出発しましょう。
称	量る; 呼ぶ	この荷物の重さを量ってください。
称呼	呼び方; 呼ぶ	彼をどう呼べばよいのかわかりません。
称赞	褒める; 称賛する	先生は彼の進歩を褒めました。
成分	成分	この薬の成分はとても単純です。
成果	成果; 結果	このプロジェクトは成果を上げました。
成就	成果; 業績	彼は仕事で多くの成果を上げています。
成立	設立する; 成立する	会社は去年設立されました。
成人	大人; 成人	大人の切符は子どもの切符より高いです。
成熟	成熟した; 熟した	リンゴはもう熟しています。
成语	成語; 慣用句	この成語はよく使われます。
成长	成長する; 成長	子どもは少しずつ成長しています。
承担	引き受ける; 負担する	彼は責任を引き受けるつもりです。
承认	認める	彼は自分が間違っていたと認めました。
承受	耐える; 受け止める	私はこれほど大きなプレッシャーには耐えられません。
程度	程度; レベル	彼の中国語のレベルは高いです。
程序	手続き; 順序	手続きに従って処理してください。
诚恳	誠実な	彼の態度はとても誠実です。
吃亏	損をする	買い物の前によく見て、損をしないようにしてください。
持续	続く; 継続する	雨は三日間続きました。
池塘	池	池には魚がたくさんいます。
迟早	遅かれ早かれ	あなたは遅かれ早かれ理解するでしょう。
尺子	定規	定規で測ってください。
翅膀	翼; 羽	鳥の翼がけがをしています。
充电器	充電器	私の充電器は壊れています。
充分	十分な	私たちは十分に準備しました。
充满	満ちている	部屋は笑い声でいっぱいでした。
冲	すすぐ; 流す	水でコップをすすいでください。
重复	繰り返す	同じ間違いを繰り返さないでください。
宠物	ペット	彼女はペットの犬を飼っています。
抽屉	引き出し	鍵は引き出しの中にあります。
抽象	抽象的な	この概念は抽象的すぎます。
丑	醜い; みっともない	この写真は少し写りが悪いです。
臭	臭い	ごみが臭いです。
出版	出版する	この本は去年出版されました。
出口	出口; 輸出	出口は前にあります。
出色	優れた; すばらしい	彼女の表現はとても優れています。
出示	提示する; 見せる	パスポートを提示してください。
出席	出席する	彼は会議に出席します。
初级	初級	私は初級クラスで中国語を勉強しています。
除非	〜でない限り	雨が降らない限り、明日山登りに行きます。
除夕	大みそか; 旧暦の大みそか	大みそかに家族全員で一緒に食事をします。
处理	処理する; 対応する	私がこの問題に対応します。
传播	広まる; 伝える	この知らせはとても速く広まりました。
传染	感染する; うつる	風邪はうつりやすいです。
传说	伝説	これは古い伝説です。
传统	伝統; 伝統的な	春節は中国の伝統的な祝日です。
窗帘	カーテン	カーテンを開けてください。
闯	突っ込む; 無断で入る	彼はうっかり信号無視をしました。
创造	創造する; 作り出す	人々は新しい道具を作り出しました。
吹	吹く	風が強く吹いています。
词汇	語彙; 単語	この語彙はよく使われます。
辞职	辞職する	彼は辞職することに決めました。
此外	そのほかに; さらに	そのほかに、もう一つ質問があります。
刺激	刺激的な; 刺激する	このゲームはとても刺激的です。
次要	二次的な; 副次的な	この問題は副次的なものです。
匆忙	慌ただしい; 急いで	彼は慌ただしく家を出ました。
从此	それ以来; これから	それ以来、彼は毎日運動しています。
从而	それによって; その結果	彼は一生懸命勉強し、その結果試験に合格しました。
从前	以前; 昔	以前ここには地下鉄がありませんでした。
从事	従事する; 携わる	彼女は教育の仕事に携わっています。
粗糙	粗い; ざらざらした	この紙はとてもざらざらしています。
促进	促進する	運動は健康を促進します。
促使	促す; きっかけになる	この出来事が彼に計画を変えさせました。
醋	酢	料理に酢が入っています。
催	急かす; 促す	母は私に早く出かけるよう急かしました。
存在	存在する	この問題はまだ存在しています。
措施	措置; 対策	学校は安全対策を取りました。
答应	承諾する; 約束する	彼は私を手伝うと承諾しました。
达到	達する; 達成する	彼の成績は基準に達しました。
打工	アルバイトをする	彼は夏休みにレストランでアルバイトをします。
打交道	付き合う; 取引する	私はよく顧客とやり取りします。
打喷嚏	くしゃみをする	彼は風邪をひいて、ずっとくしゃみをしています。
打听	尋ねる; 聞き込む	列車の切符について少し尋ねたいです。
大方	気前がよい; 上品な	彼女はお金の使い方がとても気前よいです。
大厦	大きなビル	あの大きなビルはとても高いです。
大象	象	子どもたちは動物園で象を見ています。
大型	大型の; 大規模な	ここに大型ショッピングモールが建てられます。
呆	ぼんやりする; とどまる	彼は家にいて本を読んでいます。
代表	代表する; 代表	この花は友情を表しています。
代替	代わる; 代替する	今日は私が彼の代わりに会議に出ます。
待遇	待遇; 福利厚生	この会社の待遇は悪くありません。
贷款	ローン; 融資	彼らは住宅ローンを申請しました。
单纯	単純な; 純粋な	彼女の考えはとても単純です。
单调	単調な	この仕事は少し単調です。
单独	一人で; 単独で	あなたと二人だけで話したいです。
单位	単位; 職場	彼は公的機関で働いています。
单元	単元; ユニット	今日は第三課の単元を勉強します。
担任	担当する; 務める	彼女は今回の活動の責任者を務めます。
耽误	遅らせる; 時間を無駄にする	皆さんの時間を無駄にしないでください。
胆小鬼	臆病者	彼を臆病者と呼ばないでください。
淡	薄い; 味が薄い	このスープは少し味が薄いです。
当地	現地の; その土地の	現地の人はみなこの市場が好きです。
当心	気をつける	道が滑りやすいので、少し気をつけてください。
挡	ふさぐ; 妨げる	この車が入口をふさいでいます。
倒霉	運が悪い	今日は本当に運が悪く、携帯電話をなくしました。
导演	監督; 演出する	この監督はとても有名です。
导致	引き起こす; 〜につながる	大雨が交通渋滞を引き起こしました。
岛屿	島	この国には島がたくさんあります。
到达	到着する	列車は時間どおり上海に到着しました。
道德	道徳; 倫理	人として道徳を重んじるべきです。
道理	道理; 理屈	彼の言ったことはとても筋が通っています。
登记	登録する; 記入する	まずフロントで登録してください。
等待	待つ	私たちは結果を待っています。
等于	等しい	五足す五は十に等しいです。
滴	しずく; 垂れる	一滴の水が机の上に落ちました。
敌人	敵	彼らは敵ではありません。
的确	確かに; 本当に	この件は確かにとても重要です。
地道	本場の; 本物の	彼は本場の北京語を話します。
地理	地理	私は中国の地理にとても興味があります。
地区	地域; 地区	この地域は冬とても寒いです。
地毯	じゅうたん; カーペット	居間にはじゅうたんが一枚敷いてあります。
地位	地位; 位置	教育は社会の中で重要な地位を持っています。
地震	地震	昨夜ここで地震が起きました。
递	手渡す; 渡す	この手紙を先生に渡してください。
点心	軽食; お菓子	午後、私たちは軽食を食べました。
电池	電池	このおもちゃには電池が二本必要です。
电台	ラジオ局; 放送局	彼はラジオ局で番組を担当しています。
钓	釣る	祖父は川辺へ釣りに行くのが好きです。
顶	頂上; 頭上; 帽子の数え方	彼は黒い帽子をかぶっています。
冻	凍る; 凍える	外はとても寒く、水も凍りました。
动画片	アニメ; アニメーション	子どもたちはアニメを見ています。
洞	穴	壁に小さな穴があります。
豆腐	豆腐	この豆腐料理はおいしいです。
逗	からかう; 笑わせる	彼の言葉はみんなを笑わせました。
独立	独立した; 自立する	彼女は自立して暮らしたいと思っています。
独特	独特な; ユニークな	この都市には独特の文化があります。
度过	過ごす; 乗り越える	私たちは海辺で休暇を過ごしました。
断	切れる; 折れる	この縄は切れました。
堆	積む; 山	机の上にたくさんの書類が積んであります。
兑换	両替する; 交換する	人民元を少し両替したいです。
对比	比較する; 対比	この二つの案を比較してください。
对待	扱う; 接する	私たちは一人一人を公平に扱うべきです。
对方	相手; 先方	まず相手の意見を聞いてください。
对手	相手; ライバル	彼の相手はとても強いです。
对象	対象; 相手	研究対象は大学生です。
吨	トン	このトラックは三トンの荷物を積めます。
蹲	しゃがむ	彼は地面にしゃがんで鍵を探しています。
顿	食事の回数; 一回	私たちは一緒に夕食を一回食べました。
多亏	〜のおかげで	あなたの助けのおかげで、私は任務を終えられました。
多余	余計な; 不必要な	この一文は余計です。
朵	輪; 花の数え方	机の上に花が一輪置いてあります。
躲藏	隠れる	子猫はベッドの下に隠れています。
恶劣	劣悪な; ひどい	今日の天気はとてもひどいです。
耳环	イヤリング	彼女はイヤリングを一組つけています。
发表	発表する; 表明する	彼は会議で意見を述べました。
发愁	心配する; 悩む	こんな小さなことで悩まないでください。
发达	発達した	この都市の交通はとても発達しています。
发抖	震える	彼は寒くてずっと震えています。
发挥	発揮する	皆さん、自分の想像力を発揮してください。
发明	発明する; 発明	電灯は重要な発明です。
发票	領収書; 請求書	領収書を発行してください。
发言	発言する; 発言	彼は会議で発言しました。
罚款	罰金	違法駐車は罰金になります。
法院	裁判所	この事件は裁判所に処理を任されました。
翻	めくる; ひっくり返す	本を十ページ目までめくってください。
繁荣	繁栄する; にぎわう	経済は少しずつ繁栄してきています。
反而	かえって; 逆に	彼は怒らず、かえって笑いました。
反复	繰り返し	この文は繰り返し練習する必要があります。
反应	反応; 反応する	彼の反応は速いです。
反映	反映する	この報告は実際の状況を反映しています。
反正	どうせ; いずれにせよ	どうせ私は明日時間があります。
范围	範囲	この範囲を超えないでください。
方	正方形; 方	紙に正方形を一つ描いてください。
方案	方案; 計画案	この計画案は比較的合理的です。
方式	方式; 方法	この学習方法はとても効果的です。
妨碍	妨げる; 邪魔する	他人の仕事を邪魔しないでください。
仿佛	まるで〜のようだ	彼はまるで何でも知っているようです。
非	非〜; 〜でなければならない	この件はあなたでなければできません。
肥皂	石けん	手を洗うときは石けんを使ってください。
废话	無駄話; くだらない話	無駄話は少なくして、早く始めましょう。
分别	別れる; 区別する	彼らは駅で別れました。
分布	分布する	これらの店は市内の各所に分布しています。
分配	分配する; 割り当てる	先生は新しい任務を割り当てました。
分手	別れる; 破局する	彼らは去年別れました。
分析	分析する; 分析	私たちは原因を分析する必要があります。
纷纷	次々に	皆が次々に賛成の意を示しました。
奋斗	努力する; 奮闘する	若者は夢のために努力すべきです。
疯狂	熱狂的な; 狂った	ファンたちは熱狂的に歓声を上げました。
风格	スタイル; 作風	このレストランのスタイルはとても独特です。
风景	景色; 風景	山の上の景色はとても美しいです。
风俗	風俗; 習慣	どの地域にも独自の風俗があります。
风险	リスク	投資には一定のリスクがあります。
讽刺	風刺する; 皮肉	この記事は社会問題を風刺しました。
否定	否定する	彼はその言い方を否定しました。
否认	否認する; 認めない	彼は自分が間違いを犯したことを否認しました。
幅	幅; 枚	壁に絵が一枚掛かっています。
扶	支える; 助ける	お年寄りが道を渡るのを助けてください。
服装	服装; 衣服	この店は子ども服を売っています。
辅导	指導する; 補習する	先生は授業後に学生を指導します。
复制	コピーする	この書類をコピーしてください。
妇女	女性	この病院は女性向けのサービスを提供しています。
改革	改革する; 改革	学校は教育改革を進めています。
改进	改善する; 改良する	私たちはサービスの質を改善する必要があります。
改善	改善する	運動は睡眠を改善できます。
改正	訂正する; 改める	誤りは早めに訂正してください。
概括	要約する	文章の内容を少し要約してください。
概念	概念	この概念はあまり理解しやすくありません。
盖	ふた; 覆う	コップにきちんとふたをしてください。
干脆	いっそ; きっぱり	いっそ今日は行かないほうがいいです。
干燥	乾燥した	北方の冬はとても乾燥しています。
感激	感謝する	あなたの助けにとても感謝しています。
感受	感覚; 気持ち	あなたの気持ちは理解できます。
感想	感想	あなたの感想を話してください。
赶紧	急いで	もう遅いので、急いで行きましょう。
赶快	早く; すぐに	早くドアを閉めてください。
干活儿	仕事をする; 作業する	彼は庭で作業しています。
钢铁	鋼鉄	この橋は鋼鉄でできています。
高档	高級な	これは高級ホテルです。
高级	高級な; 上級の	彼女は上級中国語クラスに参加しました。
搞	する; 手がける	あなたはどんな活動を企画しているのですか。
告别	別れを告げる	私たちは空港で友人に別れを告げました。
格外	とりわけ; 特に	今日の空は特に青いです。
隔壁	隣	隣に先生が一人住んでいます。
个别	個別の; 一部の	一部の学生はまだ宿題を提出していません。
个人	個人; 個人的な	これは私の個人的な見方です。
个性	個性; 性格	彼女はとても個性があります。
各自	それぞれ; 各自	皆がそれぞれ自分の任務を完成させます。
根	根; 本	机の下に線が一本あります。
根本	根本的な; まったく	この問題はまったく難しくありません。
公布	発表する; 公開する	学校は試験の成績を発表しました。
公开	公開の; 公開する	今回の会議は公開です。
公平	公平な	試合は公平であるべきです。
公寓	アパート; マンション	彼女は小さなアパートを借りました。
公元	西暦	今年は西暦二〇二六年です。
公主	王女; お姫様	小さな女の子はお姫様の物語が好きです。
功能	機能	このソフトには多くの機能があります。
工厂	工場	この工場は自動車を生産しています。
工程师	エンジニア; 技師	私の兄はエンジニアです。
工具	道具; 工具	自転車を修理するには道具が必要です。
工人	労働者; 作業員	作業員たちが道路を修理しています。
工业	工業; 産業	この都市は工業が中心です。
恭喜	おめでとう	試験に合格しておめでとうございます。
贡献	貢献する; 貢献	彼は会社に貢献しました。
沟通	コミュニケーションを取る; 意思疎通	よいコミュニケーションはとても重要です。
构成	構成する	これらの部分が一つの全体を構成しています。
姑姑	父方のおば	週末に父方のおばに会いに行きます。
姑娘	若い女性; 娘	あの若い女性はとても親切です。
古代	古代	古代には携帯電話がありませんでした。
古典	古典的な; クラシック	私はクラシック音楽が好きです。
股票	株; 株式	彼はいくつか株を買いました。
骨头	骨	この骨はとても硬いです。
鼓舞	励ます; 鼓舞する	この知らせはとても人を励ますものです。
鼓掌	拍手する	観客は俳優たちに拍手しました。
固定	固定した; 決まった	私には決まった勤務時間があります。
挂号	受付する; 登録する	診察を受ける前にまず受付をしなければなりません。
乖	おとなしい; いい子の	この子はとてもおとなしいです。
拐弯	曲がる	前の交差点で右に曲がってください。
怪不得	道理で	道理でそんなに疲れているのですね。
关闭	閉じる; シャットダウンする	出る前にパソコンをシャットダウンしてください。
官	役人; 官僚	彼は若い役人です。
观察	観察する	医者は患者の状態を観察しています。
观点	観点; 見方	私はあなたの見方に同意します。
观念	考え方; 観念	若者の考え方は変化しています。
管子	管; パイプ	このパイプは水漏れしています。
冠军	優勝者; チャンピオン	彼女は試合で優勝しました。
光滑	滑らかな	この机の表面はとても滑らかです。
光临	ご来店; お越し	またのお越しをお待ちしております。
光明	明るい; 光明	前途は明るいです。
光盘	ディスク; CD	資料をディスクに保存してください。
广场	広場	広場にはたくさんの人がいます。
广大	広大な; 多くの	この知らせは多くの学生に歓迎されました。
广泛	広範な	この本は広く影響を与えています。
归纳	まとめる; 要約する	先生は私たちが重点をまとめるのを手伝ってくれました。
规矩	規則; 作法	子どもは規則をわきまえるべきです。
规律	規則性; リズム	生活には規則正しいリズムが必要です。
规模	規模	この会社は規模が大きいです。
规则	規則; ルール	試合のルールはとても明確です。
柜台	カウンター	カウンターで支払ってください。
滚	沸く; 転がる	水はもう沸いています。
锅	鍋	鍋の中に熱いスープがあります。
国庆节	国慶節	国慶節は休みです。
国王	国王	国王は宮殿に住んでいます。
果然	やはり; 案の定	彼はやはり時間どおりに到着しました。
果实	果実; 成果	木には果実がいっぱい実っています。
过分	過度な; やりすぎの	彼の要求は少し行き過ぎです。
过敏	アレルギーがある; 過敏	私は花粉にアレルギーがあります。
过期	期限が切れる	この牛乳はもう期限が切れています。
哈	はは; ああ	はは、やっと分かりました。
海关	税関	私たちは税関で検査の列に並びました。
海鲜	海鮮; シーフード	このレストランの海鮮はとても新鮮です。
喊	叫ぶ; 呼ぶ	教室で大声で叫ばないでください。
行业	業界; 産業	観光業は急速に発展しています。
豪华	豪華な	彼らは豪華なホテルに泊まっています。
好客	客好きな; もてなしがよい	現地の人々はとても客をもてなします。
好奇	好奇心がある	子どもは世界にとても好奇心を持っています。
何必	〜する必要がどこにあるのか	小さなことで怒る必要がどこにありますか。
何况	まして; そのうえ	今日は寒いですし、まして雨も降っています。
合法	合法的な	この契約は合法です。
合理	合理的な	この価格は合理的です。
合同	契約; 契約書	彼らは契約書に署名しました。
合影	集合写真	卒業のとき、私たちは集合写真を撮りました。
合作	協力する; 協力	私たちは協力してプロジェクトを完成させました。
和平	平和	誰もが平和を望んでいます。
核心	核心; 中心	信頼は協力の核心です。
恨	恨む; 後悔する	彼はもっと早く努力しなかったことを後悔しています。
猴子	猿	動物園には猿が数匹います。
后背	背中	彼は背中が少し痛いです。
后果	結果; 後果	結果を考えなければなりません。
呼吸	呼吸する	深呼吸してください。
忽然	突然	空が突然暗くなりました。
忽视	無視する; 軽視する	この問題を軽視しないでください。
壶	ポット; 急須	机の上にお茶のポットがあります。
糊涂	混乱した; ぼんやりした	今日は少し頭がぼんやりしています。
胡说	でたらめを言う	でたらめを言わないでください。これは本当ではありません。
胡同	路地; 胡同	北京には古い路地がたくさんあります。
蝴蝶	蝶	庭に蝶が一匹います。
花生	ピーナッツ; 落花生	彼はピーナッツを食べるのが好きです。
华裔	華人系; 中国系	彼女は中国系の作家です。
滑	滑る; 滑りやすい	床が滑りやすいので、気をつけてください。
划	こぐ	船に乗るとき、彼が船をこぐ担当です。
化学	化学	彼女は大学で化学を学びました。
话题	話題	この話題はとてもおもしろいです。
怀念	懐かしく思う; 恋しく思う	大学生活がとても懐かしいです。
怀孕	妊娠する; 妊娠している	彼女は妊娠三か月です。
缓解	和らげる; 緩和する	休息はストレスを和らげます。
幻想	空想する; 幻想	彼はよく宇宙旅行を空想します。
慌张	慌てる	問題に出会っても慌てないでください。
黄金	金; 黄金	金の価格がまた上がりました。
恢复	回復する; 復旧する	彼の体は回復しつつあります。
挥	振る	彼女は手を振りました。
灰	灰色; 灰	空は灰色です。
灰尘	ほこり	机の上にほこりがたくさんあります。
灰心	気落ちする; がっかりする	失敗しても気落ちしないでください。
汇率	為替レート	今日の為替レートはいくらですか。
婚礼	結婚式	彼らの結婚式はとても簡素でした。
婚姻	結婚; 婚姻	結婚には互いの理解が必要です。
活跃	活発な	彼は授業でとても活発です。
伙伴	仲間; パートナー	彼は私のいちばんよい仲間です。
火柴	マッチ	箱の中にはマッチが一本だけ残っています。
或许	もしかすると; おそらく	もしかすると明日は雨が降るかもしれません。
基本	基本的な	これらは基本的な要求です。
机器	機械	この機械は壊れています。
激烈	激しい	試合はとても激しく進みました。
肌肉	筋肉	運動のあと、筋肉が少し痛いです。
及格	合格する	彼は今回の試験に合格しました。
急忙	急いで; 慌てて	彼は急いで教室を走り出ました。
急诊	救急外来; 救急診療	患者は救急外来に運ばれました。
极其	極めて; 非常に	この問題は極めて重要です。
集合	集合する; 集合	皆さん、八時に入口に集合してください。
集体	集団; グループ	これは集団活動です。
集中	集中する	授業中は注意力を集中させるべきです。
寂寞	寂しい	一人暮らしは時々寂しくなります。
系领带	ネクタイを締める	彼は毎日出勤前にネクタイを締めます。
纪录	記録	彼は学校の記録を破りました。
纪律	規律	教室の規律はとても重要です。
纪念	記念する	私たちはこの日を記念して写真を撮りました。
计算	計算する	総費用を計算してください。
记录	記録する; メモを取る	会議の内容を記録してください。
记忆	記憶	この記憶はとても大切です。
嘉宾	ゲスト; 来賓	今日のゲストは作家です。
夹子	クリップ; はさむ道具	クリップで書類を留めてください。
家庭	家庭; 家族	家庭は子どもにとってとても重要です。
家务	家事	週末は家事をしなければなりません。
家乡	故郷	故郷がとても恋しいです。
假如	もし	もし明日雨が降ったら、私たちは行きません。
假设	仮定する; 仮説	もしあなたが先生だったら、どうしますか。
假装	ふりをする	彼は聞こえなかったふりをしました。
甲	甲; 甲方	甲方は時間どおりに支払う必要があります。
价值	価値	この本はとても価値があります。
嫁	嫁ぐ; 結婚する	彼女は来年、彼氏と結婚します。
驾驶	運転する; 操縦する	車を運転するときは慎重に運転してください。
兼职	アルバイト; 兼職	彼は夜にアルバイトをしています。
坚决	断固とした	彼はこの決定に断固として同意しません。
坚强	強い; しっかりした	彼女は強い人です。
肩膀	肩	彼は肩をけがしています。
艰巨	困難な; たいへんな	これは困難な任務です。
艰苦	厳しい; 苦しい	彼らは厳しい生活を経験しました。
剪刀	はさみ	はさみを私に渡してください。
捡	拾う	彼は地面の財布を拾いました。
简历	履歴書	求職の前に履歴書を準備しなければなりません。
简直	まったく; 本当に	この知らせは本当に驚くべきものです。
健身	体を鍛える; フィットネス	彼は毎週三回体を鍛えに行きます。
建立	築く; 設立する	私たちは新しい関係を築きました。
建设	建設; 建設する	都市建設は急速に発展しています。
建筑	建物; 建築	この建物には特色があります。
键盘	キーボード	私のキーボードは掃除が必要です。
讲究	こだわる; 重んじる	中国人は食事にとてもこだわります。
讲座	講座; 講演	今夜、中国語の講座があります。
酱油	しょうゆ	料理にしょうゆを少し加えてください。
交换	交換する	私たちは電話番号を交換しました。
交际	交際; コミュニケーション	言語を学ぶときはコミュニケーションも練習する必要があります。
交往	付き合う; 交流する	彼らは二年間付き合っています。
浇	水をやる; 注ぐ	毎日花に水をやってください。
胶水	接着剤	私は接着剤で写真を貼りました。
狡猾	ずる賢い	あのキツネはとてもずる賢いです。
角度	角度; 見方	別の角度から問題を見てみましょう。
教材	教材	この教材はとても実用的です。
教练	コーチ; 指導者	コーチは私たちに時間どおり到着するよう求めました。
教训	教訓	今回の失敗は教訓です。
接触	接触する; 触れる	中国文化に触れるのはこれが初めてです。
接待	接待する; 迎える	会社は客を迎える専任者を手配しました。
接近	近づく	春節がますます近づいています。
结实	丈夫な	このスーツケースはとても丈夫です。
阶段	段階	学習は三つの段階に分かれています。
结构	構造	この文章は構造が明確です。
结合	結びつける; 組み合わせる	学習は実践と結びつける必要があります。
结论	結論	彼の結論にはとても説得力があります。
结账	会計する	食事のあと、私たちは会計に行きました。
节省	節約する	地下鉄に乗ると時間を節約できます。
借口	言い訳	もう言い訳を探すのはやめてください。
届	回; 期	これは第三回の大会です。
戒	やめる; 戒める	医者は彼に禁煙を勧めました。
戒指	指輪	彼女は指輪を一つつけています。
金属	金属	鉄は金属の一種です。
尽快	できるだけ早く	できるだけ早くメールに返信してください。
紧急	緊急の	これは緊急事態です。
谨慎	慎重な	投資する前には慎重でなければなりません。
尽力	全力を尽くす	私は全力で手伝います。
尽量	できるだけ	できるだけ早く到着してください。
近代	近代	近代中国には多くの変化が起こりました。
进步	進歩; 上達する	彼の中国語は速く上達しています。
进口	輸入する; 輸入の	この車は輸入車です。
精力	精力; エネルギー	子どもたちはとてもエネルギーにあふれています。
精神	精神; 元気	彼は今日はとても元気です。
经典	名作; 古典的な	これは名作映画です。
经商	商売をする	彼の父は海外で商売をしています。
经营	経営する; 営む	彼女は小さな店を経営しています。
酒吧	バー	夜、彼らはバーに行きました。
救	救う	医者は彼の命を救いました。
救护车	救急車	救急車はすぐに到着しました。
舅舅	母方のおじ	私の母方のおじは南京に住んでいます。
居然	なんと; 意外にも	彼はなんと自分の誕生日を忘れました。
桔子	みかん	机の上にみかんがいくつかあります。
俱乐部	クラブ	彼女は水泳クラブに入りました。
具备	備えている; 持っている	彼には管理経験があります。
具体	具体的な	もう少し具体的に話してください。
巨大	巨大な	このプロジェクトには巨額の投資が必要です。
据说	聞くところによると	聞くところによると、彼はもう帰国したそうです。
捐	寄付する	皆がお金を寄付するつもりです。
决赛	決勝	明日はサッカーの決勝です。
