source_headword	MS	example_MS
threaten	mengancam	Ribut itu mungkin mengancam tanaman.
thus	oleh itu	Jalan itu ditutup; oleh itu, kami menunggu.
tone	nada	Nadanya kedengaran tenang.
tough	sukar	Temu duga itu sukar.
transfer	memindahkan	Mereka memindahkan data setiap malam.
transform	mengubah	Dasar baharu itu akan mengubah perkhidmatan.
transition	peralihan	Peralihan itu mengambil masa beberapa bulan.
trial	perbicaraan	Perbicaraan akan bermula minggu depan.
tropical	tropika	Ribut tropika biasa berlaku di sini.
truly	benar-benar	Saya benar-benar menghargai bantuan anda.
trust	kepercayaan	Kepercayaan memerlukan masa untuk dibina.
tune	lagu	Kugiran itu memainkan lagu yang ceria.
tunnel	terowong	Terowong itu merentasi bawah sungai.
ultimately	akhirnya	Akhirnya, rancangan itu berjaya.
unconscious	tidak sedarkan diri	Pesakit itu masih tidak sedarkan diri.
unexpected	tidak dijangka	Kelewatan itu adalah tidak dijangka.
unique	unik	Setiap rekaan adalah unik.
universe	alam semesta	Alam semesta sedang mengembang.
unknown	tidak diketahui	Nama itu masih tidak diketahui.
upper	atas	Rak atas itu kosong.
upwards	ke atas	Asap itu bergerak ke atas.
urban	bandar	Kawasan bandar memerlukan pengangkutan yang lebih baik.
urge	menggesa	Doktor menggesa orang ramai untuk bersenam.
vary	berbeza-beza	Harga berbeza-beza mengikut wilayah.
vast	luas	Gurun itu meliputi kawasan yang luas.
venue	tempat	Tempat itu memuatkan lima ratus orang.
via	melalui	Hantar dokumen tersebut melalui e-mel.
victory	kemenangan	Pasukan itu meraikan kemenangan mereka.
violence	keganasan	Bandar itu mengalami keganasan politik.
virtual	maya	Mesyuarat itu adalah secara maya.
vision	visi	Visinya membentuk syarikat tersebut.
visual	visual	Laporan itu menyertakan contoh visual.
vital	penting	Air adalah penting untuk kehidupan.
vitamin	vitamin	Oren mengandungi vitamin C.
volume	kelantangan	Perlahankan kelantangan.
wage	upah	Para pekerja menuntut upah yang lebih tinggi.
weakness	kelemahan	Rancangan itu mempunyai satu kelemahan.
wealth	kekayaan	Kekayaannya datang daripada perdagangan.
wealthy	kaya	Keluarga kaya itu membiayai muzium tersebut.
whereas	manakala	Dia suka teh, manakala saya lebih suka kopi.
wherever	di mana sahaja	Duduk di mana sahaja anda berasa selesa.
whisper	berbisik	Sila berbisik semasa upacara tersebut.
whom	siapa	Siapa yang anda jemput?
widely	meluas	Buku itu dibaca secara meluas.
wildlife	hidupan liar	Taman itu melindungi hidupan liar tempatan.
willing	sanggup	Dia sanggup membantu.
wind2	melilit	Lilitkan kabel itu pada gelendong.
wire	wayar	Wayar itu menyambungkan kedua-dua peranti tersebut.
wise	bijak	Itu adalah pilihan yang bijak.
witness	saksi	Seorang saksi menceritakan kemalangan itu.
wound	luka	Bersihkan luka itu dengan berhati-hati.
wrap	membalut	Balut hadiah itu dengan kertas.
zone	zon	Zon ini ditutup untuk lalu lintas.
