source_headword	RO	example_RO
destination	o destinație	Parisul a fost destinația lor finală.
determine	a determina	Testele îți vor determina nivelul.
determined	hotărât	Era hotărâtă să reușească.
development	dezvoltare	Dezvoltarea orașului a fost rapidă.
diagram	o diagramă	Desenează o diagramă simplă.
diamond	un diamant	Inelul avea un diamant mic.
difficulty	o dificultate	A avut dificultăți să deschidă ușa.
directly	direct	Te rog să vorbești direct cu mine.
dirt	murdărie	Pantofii lui erau acoperiți de murdărie.
disadvantage	un dezavantaj	Drumul lung este un dezavantaj.
disappointed	dezamăgit	A fost dezamăgită de rezultat.
disappointing	dezamăgitor	Sfârșitul a fost dezamăgitor.
discount	o reducere	Studenții primesc reducere aici.
dislike	a nu-i plăcea	Nu-mi place muzica foarte tare.
divide	a împărți	Împarte tortul în bucăți.
documentary	un documentar	Am văzut un documentar despre spațiu.
donate	a dona	Mulți oameni donează haine vechi.
doubt	o îndoială	Nu am nicio îndoială despre asta.
dressed	îmbrăcat	Era îmbrăcat în negru.
drum	o tobă	Toba se auzea în toată camera.
drunk	beat	Șoferul era beat.
due	scadent	Raportul este scadent mâine.
dust	praf	Cărțile vechi erau acoperite de praf.
duty	o datorie	Este datoria mea să ajut.
earthquake	un cutremur	Cutremurul a avariat podul.
eastern	estic	Coasta estică este vântoasă.
economic	economic	Țara se confruntă cu probleme economice.
economy	o economie	Economia a crescut anul acesta.
edge	o margine	Stai mai departe de margine.
editor	un editor	Editorul a verificat articolul.
educate	a educa	Școlile educă tinerii.
educated	educat	Este foarte educată.
educational	educațional	Jocul este educațional.
effective	eficient	Acest medicament este eficient.
effectively	eficient	A explicat regula eficient.
effort	un efort	Efortul tău a contat.
election	alegeri	Rezultatul alegerilor a fost strâns.
element	un element	Încrederea este un element important.
embarrassed	stânjenit	S-a simțit stânjenit după cădere.
embarrassing	jenant	A fost o greșeală jenantă.
emergency	o urgență	Într-o urgență, sună la acest număr.
emotion	o emoție	Frica este o emoție puternică.
employment	ocupare	Ocuparea a crescut luna aceasta.
encourage	a încuraja	Profesorii îi încurajează pe elevi să citească.
enemy	un dușman	Cele două țări erau dușmani.
engaged	logodit	S-au logodit primăvara trecută.
engineering	inginerie	Studiază inginerie la universitate.
entertain	a distra	Cântărețul va distra oaspeții.
entertainment	divertisment	Orașul oferă divertisment seara.
entrance	o intrare	Ne întâlnim la intrare.
entry	o intrare	Intrarea este gratuită pentru copii.
environmental	de mediu	Am discutat probleme de mediu.
episode	un episod	Ultimul episod a fost captivant.
equal	egal	Primesc salariu egal.
equally	în mod egal	Munca este împărțită în mod egal.
escape	a scăpa	Prizonierii au încercat să scape.
essential	esențial	Apa este esențială pentru viață.
eventually	în cele din urmă	În cele din urmă am găsit hotelul.
examine	a examina	Doctorul mi-a examinat brațul.
exchange	un schimb	Am făcut un schimb la magazin.
excitement	entuziasm	Jocul a fost plin de entuziasm.
exhibition	o expoziție	Expoziția de artă se deschide mâine.
expand	a se extinde	Compania plănuiește să se extindă.
expected	așteptat	Costurile așteptate sunt mari.
expedition	o expediție	Expediția a traversat deșertul.
experienced	experimentat	Este o asistentă experimentată.
explode	a exploda	Sticla poate exploda la căldură.
explore	a explora	Am explorat orașul vechi.
explosion	o explozie	Explozia a spart mai multe ferestre.
export	un export	Cafeaua este un export important.
fairly	destul de	Testul a fost destul de ușor.
familiar	familiar	Fața ei părea familiară.
fancy	a avea chef	Ai chef de o cafea?
fascinating	fascinant	Povestea a fost fascinantă.
fashionable	la modă	Pantofii aceia sunt la modă.
fasten	a fixa	Fixează-ți centura de siguranță.
favour	o favoare	Îmi poți face o favoare?
fence	un gard	Gardul înconjoară grădina.
fighting	lupte	Luptele s-au încheiat în zori.
file	un fișier	Salvează fișierul înainte să închizi.
financial	financiar	Are nevoie de sfaturi financiare.
fitness	condiție fizică	Alergarea îți îmbunătățește condiția fizică.
fixed	fix	Prețul este fix.
flag	un steag	Steagul flutura deasupra școlii.
flood	o inundație	Inundația a avariat multe case.
flour	făină	Adaugă făina în bol.
flow	a curge	Râul curge prin oraș.
fold	a împături	Împăturește hârtia pe jumătate.
folk	folk	Muzica folk a umplut sala.
force	o forță	Vântul avea o forță mare.
forever	pentru totdeauna	Îmi voi aminti asta pentru totdeauna.
frame	o ramă	Fotografia are nevoie de o ramă.
freeze	a îngheța	Apa va îngheța peste noapte.
frequently	frecvent	Își vizitează părinții frecvent.
friendship	o prietenie	Prietenia lor a durat ani.
frighten	a speria	Zgomotele puternice sperie copilul.
frightened	speriat	Copilul părea speriat.
frightening	înfricoșător	Furtuna a fost înfricoșătoare.
frozen	înghețat	Lacul era înghețat.
fry	a prăji	Prăjește ceapa cinci minute.
fuel	combustibil	Mașina are nevoie de mai mult combustibil.
function	o funcție	Acest buton are o singură funcție.
fur	blană	Pisica are blană moale.
garage	un garaj	Mașina este în garaj.
gather	a se aduna	Ne-am adunat în jurul mesei.
generally	în general	În general ajunge devreme.
generation	o generație	Fiecare generație se confruntă cu probleme noi.
generous	generos	Este generos cu timpul lui.
gentle	blând	Folosește o voce blândă.
gentleman	un domn	Domnul a deschis ușa.
ghost	o fantomă	Povestea menționează o fantomă.
giant	uriaș	Ecranul uriaș a umplut scena.
glad	bucuros	Mă bucur că ai venit.
global	global	Schimbarea climatică este o problemă globală.
glove	o mănușă	Am pierdut o mănușă.
goods	bunuri	Bunurile au sosit târziu.
grade	o notă	A primit o notă mare.
graduate	un absolvent	Este un absolvent recent.
grain	un bob	Un bob de orez a căzut.
grateful	recunoscător	Sunt recunoscător pentru sprijinul tău.
growth	o creștere	Planta a arătat o creștere constantă.
guard	un paznic	Paznicul ne-a verificat biletele.
guilty	vinovat	S-a simțit vinovat pentru minciună.
hang	a agăța	Agăță-ți haina aici.
happiness	fericire	Banii nu pot cumpăra fericirea.
hardly	abia	Abia te-am auzit.
headline	un titlu	Titlul mi-a atras atenția.
heating	încălzire	Încălzirea a încetat să funcționeze.
heavily	puternic	A plouat puternic toată noaptea.
helicopter	un elicopter	Un elicopter a aterizat în apropiere.
highlight	a evidenția	Evidențiază ideea principală.
highly	foarte	Este foarte respectată.
hire	a închiria	Trebuie să închiriem o mașină.
historic	istoric	Am vizitat o clădire istorică.
historical	istoric	Îi plac romanele istorice.
honest	sincer	Te rog să dai un răspuns sincer.
horrible	groaznic	Mirosul era groaznic.
horror	horror	Îi plac filmele de horror.
host	o gazdă	Gazda a salutat fiecare oaspete.
