source_headword	KO	example_KO
uphold	유지하다	우리는 원래의 결정을 유지한다.
utility	공공시설	그 아파트는 모든 공과금을 포함한다.
utilize	활용하다	그 팀은 이용 가능한 데이터를 활용했다.
utterly	완전히	그 설명은 완전히 혼란스러웠다.
vacuum	공백	리더십의 공백이 긴장을 조성했다.
vague	모호한	그의 대답은 모호하고 설득력이 없었다.
validity	타당성	그 연구는 테스트의 타당성에 의문을 제기했다.
vanish	사라지다	폴더에서 파일이 사라졌다.
variable	변수	가격은 하나의 중요한 변수다.
varied	다양한	그 코스는 다양한 과제를 제공한다.
vein	정맥	간호사는 혈관을 빨리 찾았다.
venture	벤처 사업	그 새로운 벤처 사업은 투자자들을 끌어들였다.
verbal	구두의	그들은 구두 합의에 도달했다.
verdict	평결	배심원단은 평결을 내렸다.
verify	확인하다	이메일 주소를 확인해 주세요.
verse	구절	그녀는 그 시의 한 구절을 인용했다.
versus	대	토론은 사생활 대 보안이었다.
vessel	선박	그 선박은 바다를 건너 곡물을 운반했다.
veteran	베테랑	그 베테랑이 신입 직원을 훈련시켰다.
viable	실행 가능한	그 제안은 재정적으로 실행 가능하다.
vibrant	활기찬	그 도시는 활기찬 예술계가 있다.
vice	악덕	탐욕은 그의 가장 큰 악덕이었다.
vicious	잔인한	그 잔인한 공격은 마을을 충격에 빠뜨렸다.
villager	마을 사람	한 마을 사람이 우리를 강으로 안내했다.
violate	위반하다	그 회사는 안전 규칙을 위반할지도 모른다.
violation	위반	검사관은 심각한 위반 사항을 보고했다.
virtue	미덕	인내는 중요한 미덕이다.
vocal	소리를 높이는	그녀는 그 결정에 대해 목소리를 높였다.
vow	맹세하다	그는 일을 끝내겠다고 맹세했다.
vulnerability	취약성	감사 결과 보안 취약성이 드러났다.
vulnerable	취약한	아이들은 극심한 더위에 취약하다.
ward	병동	환자가 다른 병동으로 옮겼다.
warehouse	창고	그 창고에는 예비 부품을 보관한다.
warfare	전쟁	현대의 전쟁은 기술에 의존한다.
warrant	영장	경찰은 수색 영장을 보여주었다.
warrior	전사	그 전사는 마을을 보호했다.
weaken	약화시키다	부상으로 인해 그의 악력이 약해졌다.
weave	엮다	그녀는 바구니 엮는 법을 배웠다.
weed	잡초	돌 사이에 잡초가 자랐다.
well	우물	마을 우물이 말랐다.
well-being	웰빙	수면은 웰빙에 필수적이다.
whatsoever	전혀	그는 전혀 관심을 보이지 않았다.
whereby	그것에 의하여	그 법은 가족들이 항소할 수 있는 제도를 만들었다.
whilst	~하는 동안	그가 쉬는 동안 그녀는 일했다.
whip	펄럭이게 하다	바람이 깃발을 세차게 흔들 수 있다.
wholly	완전히	그 결정은 완전히 예상치 못한 것이었다.
widen	넓히다	시는 도로를 넓힐 계획이다.
widow	과부	그 과부는 학교 근처에 산다.
width	너비	문의 너비를 측정하세요.
willingness	의지	기꺼이 돕고자 하는 그녀의 태도는 모두에게 깊은 인상을 주었다.
wipe	닦다	천으로 화면을 닦으세요.
wit	재치	그의 재치로 연설이 생기를 띠었다.
withdrawal	철회	자금 지원 철회로 프로젝트가 지연되었다.
workout	운동	운동은 40분 동안 계속되었다.
worship	예배	사람들은 새벽 예배를 위해 모였다.
worthwhile	가치 있는	그 여행은 가치 있었다.
worthy	자격이 있는	그 자선 단체는 지원받을 자격이 있다.
yell	소리치다	직원들에게 소리치지 마세요.
yield	수확량	이번 시즌 농장의 수확량이 향상되었다.
youngster	젊은이	그 젊은이는 많은 질문을 했다.
