source_headword	KA	example_KA
brand	ბრენდი	ეს ბრენდი ახალგაზრდებში პოპულარულია.
brave	მამაცი	მამაცმა მეხანძრემ ბავშვი გადაარჩინა.
breath	სუნთქვა	მან ღრმა სუნთქვა აიღო.
breathe	სუნთქვა	ღრმად სუნთქვას ეცადე.
breathing	სუნთქვა	მისი სუნთქვა შენელდა.
bride	პატარძალი	პატარძალს თეთრი კაბა ეცვა.
bubble	ბუშტი	წყალში ბუშტი გაჩნდა.
bury	დამარხვა	მათ თესლი მიწაში დამარხეს.
calm	მშვიდი	კრიზისის დროს მშვიდი იყავი.
campaign	კამპანია	ახალი კამპანია დღეს დაიწყო.
campus	კამპუსი	კამპუსი ქალაქის ცენტრთან ახლოსაა.
candidate	კანდიდატი	კანდიდატმა კითხვებს უპასუხა.
cap	ქუდი	მას ლურჯი ქუდი ეხურა.
captain	კაპიტანი	კაპიტანმა გუნდი მოედანზე გამოიყვანა.
careless	უყურადღებო	უყურადღებო შეცდომამ ქულა დააკლო.
category	კატეგორია	ეს სიტყვა სხვა კატეგორიას ეკუთვნის.
ceiling	ჭერი	ოთახის ჭერი მაღალია.
celebration	დღესასწაული	დღესასწაული საღამომდე გაგრძელდა.
central	ცენტრალური	ცენტრალურ მოედანზე ბევრი ხალხია.
ceremony	ცერემონია	ცერემონია დილით გაიმართა.
chain	ჯაჭვი	კარზე რკინის ჯაჭვი ეკიდა.
challenge	გამოწვევა	ეს დავალება დიდი გამოწვევა იყო.
champion	ჩემპიონი	ჩემპიონმა თასი ასწია.
channel	არხი	ბავშვებმა არხი შეცვალეს.
chapter	თავი	შემდეგი თავი წაიკითხე.
charge	გადასახადი	მიტანისთვის დამატებითი გადასახადია.
cheat	მოტყუება	გამოცდაზე მოტყუება არ შეიძლება.
cheerful	მხიარული	მისმა მხიარულმა ხმამ ოთახი გააცოცხლა.
chemical	ქიმიური ნივთიერება	ლაბორატორიაში საშიში ქიმიური ნივთიერებაა.
chest	მკერდი	ვარჯიშის შემდეგ მკერდი ამტკივდა.
childhood	ბავშვობა	მან ბავშვობა სოფელში გაატარა.
claim	პრეტენზია	კომპანიამ მისი პრეტენზია შეამოწმა.
clause	პუნქტი	ხელშეკრულების ბოლო პუნქტი წაიკითხე.
click	დაჭერა	ბმულს ერთხელ დააჭირე.
client	კლიენტი	კლიენტმა დოკუმენტს ხელი მოაწერა.
cloth	ქსოვილი	მაგიდა რბილი ქსოვილით გაწმინდე.
clue	მინიშნება	ამ მინიშნებამ პასუხთან მიგვიყვანა.
coal	ნახშირი	ღუმელში ნახშირი ჩაყარეს.
coin	მონეტა	ბავშვმა მიწაზე მონეტა იპოვა.
collection	კოლექცია	მისი მარკების კოლექცია დიდია.
coloured	ფერადი	ყუთში ფერადი ფანქრებია.
combine	შეერთება	ორმა ჯგუფმა ძალები შეაერთა.
commercial	კომერციული	ეს კომერციული პროექტი არ არის.
commit	ვალდებულების აღება	მან პროექტის დასრულების ვალდებულება აიღო.
communication	კომუნიკაცია	კარგი კომუნიკაცია საქმეს ამარტივებს.
comparison	შედარება	შედარებამ განსხვავება აჩვენა.
competitive	კონკურენტული	ბაზარი ძალიან კონკურენტული იყო.
competitor	კონკურენტი	ახალმა კონკურენტმა ფასი შეამცირა.
complaint	საჩივარი	კლიენტმა საჩივარი დაწერა.
complex	რთული	საკითხი ძალიან რთულად ჩანდა.
concentrate	ყურადღების კონცენტრირება	გაკვეთილზე ყურადღების კონცენტრირება რთული იყო.
conclude	დასკვნის გაკეთება	მასწავლებელმა განხილვიდან დასკვნა გააკეთა.
conclusion	დასკვნა	მისი დასკვნა ლოგიკური იყო.
confident	დარწმუნებული	პასუხის გაცემისას ის დარწმუნებული ჩანდა.
confirm	დადასტურება	შეხვედრა წერილით დაადასტურე.
confuse	დაბნევა	მსგავსი სახელები ადამიანებს აბნევს.
confused	დაბნეული	მოსწავლე ახალი წესით დაბნეული იყო.
connection	კავშირი	ინტერნეტ კავშირი სუსტი იყო.
consequence	შედეგი	ამ გადაწყვეტილების შედეგი მძიმეა.
consist	შედგება	გუნდი ხუთი ადამიანისგან შედგება.
consume	მოხმარება	ეს მანქანა ნაკლებ საწვავს მოიხმარს.
consumer	მომხმარებელი	მომხმარებელი ხარისხიან პროდუქტს ელოდება.
contact	კონტაქტი	თუ საჭიროა, ჩემთან კონტაქტი დაამყარე.
container	კონტეინერი	საჭმელი დახურულ კონტეინერში ჩადე.
content1	შინაარსი	სტატიის შინაარსი სასარგებლოა.
continuous	უწყვეტი	უწყვეტმა წვიმამ გზა ჩაკეტა.
contrast	კონტრასტი	ორ სურათს შორის აშკარა კონტრასტია.
convenient	მოსახერხებელი	ეს გაჩერება ჩვენთვის მოსახერხებელია.
convince	დარწმუნება	მან ჯგუფი ახალ გეგმაში დაარწმუნა.
costume	კოსტიუმი	ბავშვმა დღესასწაულზე კოსტიუმი ჩაიცვა.
cottage	პატარა სახლი	მათ ტბასთან პატარა სახლი იქირავეს.
cotton	ბამბა	ეს პერანგი ბამბისგან არის შეკერილი.
countryside	სოფლად	შვებულებაში სოფლად წავედით.
court	სასამართლო	საქმე სასამართლოში განიხილეს.
covered	დაფარული	მაგიდა თეთრი ქსოვილით იყო დაფარული.
cruel	სასტიკი	სასტიკმა სიტყვებმა ის გაანაწყენა.
cultural	კულტურული	ქალაქში ბევრი კულტურული ღონისძიებაა.
currency	ვალუტა	მგზავრობამდე ვალუტა გადაცვალე.
current	მიმდინარე	მიმდინარე ფასი ძალიან მაღალია.
currently	ამჟამად	ამჟამად ახალ ოფისში ვმუშაობთ.
curtain	ფარდა	ფარდა საღამოს დახურე.
custom	ჩვეულება	ეს ძველი ჩვეულება ჯერ კიდევ არსებობს.
damage	ზიანი	ქარიშხალმა სახურავს ზიანი მიაყენა.
decade	ათწლეული	ბოლო ათწლეულში ქალაქი გაიზარდა.
decorate	მორთვა	ჩვენ ოთახი ყვავილებით მოვრთეთ.
define	განსაზღვრა	წესი უნდა განვსაზღვროთ.
definite	ზუსტი	ზუსტი პასუხი მჭირდება.
definition	განმარტება	სიტყვის განმარტება რვეულში ჩაწერე.
deliver	მიტანა	მაღაზია შეკვეთას საღამოს მიიტანს.
departure	გამგზავრება	თვითმფრინავის გამგზავრება დაგვიანდა.
despite	მიუხედავად	წვიმის მიუხედავად, ჩვენ გავედით.
destination	დანიშნულების ადგილი	ჩვენი დანიშნულების ადგილი შორს არ არის.
determine	დადგენა	შემოწმება მიზეზს დაადგენს.
determined	მტკიცე	ის მიზნის მისაღწევად მტკიცე იყო.
development	განვითარება	სოფლის განვითარება სწრაფად მიმდინარეობდა.
diagram	დიაგრამა	დიაგრამა პროცესს ნათლად აჩვენებს.
diamond	ალმასი	ბეჭედში პატარა ალმასი არის.
difficulty	სირთულე	მას დავალებაში სირთულე შეექმნა.
directly	პირდაპირ	სახლში პირდაპირ წადი.
dirt	ჭუჭყი	ფეხსაცმელზე ჭუჭყი დარჩა.
disadvantage	ნაკლი	ამ მეთოდს ერთი ნაკლი აქვს.
disappointed	იმედგაცრუებული	ის შედეგით იმედგაცრუებული დარჩა.
disappointing	იმედგამაცრუებელი	თამაში იმედგამაცრუებელი იყო.
discount	ფასდაკლება	მაღაზია სტუდენტებს ფასდაკლებას აძლევს.
dislike	არ მოწონება	მე ძლიერ ხმაურს არ ვიწონებ.
divide	გაყოფა	ტორტი ექვს ნაწილად გაყავი.
documentary	დოკუმენტური ფილმი	ჩვენ ბუნებაზე დოკუმენტური ფილმი ვნახეთ.
donate	შეწირვა	მათ სკოლას წიგნები შესწირეს.
doubt	ეჭვი	ამ გეგმასთან დაკავშირებით ეჭვი მაქვს.
dressed	ჩაცმული	ის დღესასწაულისთვის ლამაზად იყო ჩაცმული.
drum	დოლი	ბავშვმა დოლს ძლიერად დაარტყა.
drunk	მთვრალი	მთვრალი მძღოლი გზაზე არ გავიდა.
due	დასადგენი	ანგარიში ხვალ უნდა ჩაბარდეს.
dust	მტვერი	თაროზე მტვერი დაგროვდა.
duty	მოვალეობა	ბავშვების დაცვა ჩვენი მოვალეობაა.
earthquake	მიწისძვრა	მიწისძვრა ღამით მოხდა.
eastern	აღმოსავლეთი	აღმოსავლეთ სანაპიროზე ძლიერი ქარია.
economic	ეკონომიკური	ეკონომიკური მდგომარეობა უმჯობესდება.
economy	ეკონომიკა	ქვეყნის ეკონომიკა ნელა გაიზარდა.
edge	კიდე	მაგიდის კიდეზე ნუ დაჯდები.
editor	რედაქტორი	რედაქტორმა ტექსტი შეამოკლა.
educate	განათლება	სკოლა ბავშვებს განათლებას აძლევს.
educated	განათლებული	განათლებული ადამიანი ბევრ კითხვას სვამს.
educational	საგანმანათლებლო	ეს საგანმანათლებლო პროგრამა სასარგებლოა.
effective	ეფექტური	ეს მეთოდი ძალიან ეფექტური აღმოჩნდა.
effectively	ეფექტურად	გუნდი ეფექტურად მუშაობდა.
effort	ძალისხმევა	მისმა ძალისხმევამ შედეგი გამოიღო.
election	არჩევნები	არჩევნები მომავალ თვეში გაიმართება.
element	ელემენტი	წყალი მნიშვნელოვანი ელემენტია.
embarrassed	შერცხვენილი	ის თავისი შეცდომის გამო შერცხვენილი იყო.
embarrassing	უხერხული	ეს ძალიან უხერხული მომენტი იყო.
emergency	საგანგებო მდგომარეობა	საგანგებო მდგომარეობაში ამ ნომერზე დარეკე.
emotion	ემოცია	მან ემოცია ვერ დამალა.
employment	დასაქმება	რეგიონში დასაქმება გაიზარდა.
encourage	გამხნევება	მასწავლებელმა მოსწავლეები გაამხნევა.
enemy	მტერი	ძველმა მტერმა მშვიდობა შესთავაზა.
engaged	დანიშნული	ისინი გასულ კვირას დაინიშნენ.
engineering	ინჟინერია	ინჟინერიის გაკვეთილი რთული იყო.
entertain	გართობა	მუსიკოსებმა სტუმრები გაართეს.
entertainment	გასართობი	ქალაქში საღამოს გასართობი ბევრია.
entrance	შესასვლელი	შესასვლელი მარცხენა მხარესაა.
entry	შესვლა	მუზეუმში შესვლა უფასოა.
environmental	ეკოლოგიური	ეკოლოგიური პრობლემა ყველას გვეხება.
episode	ეპიზოდი	ახალი ეპიზოდი დღეს გამოვა.
equal	თანაბარი	ორ გუნდს თანაბარი ქულა ჰქონდა.
equally	თანაბრად	ყველა მოსწავლე თანაბრად მნიშვნელოვანია.
escape	გაქცევა	პატიმარი ფანჯრიდან გაქცევას ცდილობდა.
essential	აუცილებელი	წყალი სიცოცხლისთვის აუცილებელია.
eventually	საბოლოოდ	საბოლოოდ მათ სწორი გზა იპოვეს.
examine	გასინჯვა	ექიმმა პაციენტი ყურადღებით გასინჯა.
exchange	გაცვლა	ჩვენ მაღაზიაში პერანგი გავცვალეთ.
excitement	აღფრთოვანება	ბავშვების აღფრთოვანება აშკარად ჩანდა.
exhibition	გამოფენა	გამოფენა კვირამდე ღიაა.
expand	გაფართოება	კომპანია მომსახურების გაფართოებას გეგმავს.
expected	მოსალოდნელი	მოსალოდნელი შედეგი კარგი იყო.
expedition	ექსპედიცია	ექსპედიცია მთისკენ გაემართა.
experienced	გამოცდილი	გამოცდილმა ექიმმა სწრაფად მიიღო გადაწყვეტილება.
explode	აფეთქება	ძველი მილი მოულოდნელად აფეთქდა.
explore	გამოკვლევა	ბავშვებმა მღვიმე გამოიკვლიეს.
explosion	აფეთქება	აფეთქება შორიდან ისმოდა.
export	ექსპორტი	ქარხანა ხორბალს ექსპორტზე აგზავნის.
fairly	სამართლიანად	მსაჯმა თამაში სამართლიანად წარმართა.
familiar	ნაცნობი	ეს ხმა ჩემთვის ნაცნობია.
fancy	მდიდრული	ისინი მდიდრულ რესტორანში შეხვდნენ.
fascinating	მომხიბვლელი	ლექცია ძალიან მომხიბვლელი იყო.
fashionable	მოდური	ეს ქურთუკი ახლა მოდურია.
fasten	შეკვრა	უსაფრთხოების ღვედი შეიკარი.
favour	სიკეთე	შეგიძლია პატარა სიკეთე გამიკეთო?
fence	ღობე	ბაღის გარშემო ღობეა.
fighting	ჩხუბი	ქუჩის ჩხუბი სწრაფად შეწყდა.
file	ფაილი	ფაილი ახლა გახსენი.
financial	ფინანსური	ფინანსური ანგარიში მზად იყო.
fitness	ფიზიკური ფორმა	ფიზიკური ფორმა ჯანმრთელობისთვის სასარგებლოა.
fixed	ფიქსირებული	ფასი ერთი წლით ფიქსირებულია.
flag	დროშა	დროშა შენობის წინ ფრიალებს.
flood	წყალდიდობა	წყალდიდობამ ხიდი ჩაკეტა.
flour	ფქვილი	პურისთვის ორი ჭიქა ფქვილი საჭიროა.
flow	დინება	მდინარე ნელა მიედინება.
fold	დაკეცვა	წერილი ფრთხილად დაკეცე.
folk	ხალხური	საღამოზე ხალხური სიმღერა შესრულდა.
force	ძალა	კარი ძალით არ გააღო.
forever	სამუდამოდ	ეს მოგონება სამუდამოდ დარჩება.
frame	ჩარჩო	სურათი ლამაზ ჩარჩოშია.
freeze	გაყინვა	წყალი ღამით გაიყინა.
frequently	ხშირად	ის ამ სიტყვას ხშირად იყენებს.
friendship	მეგობრობა	მათი მეგობრობა სკოლაში დაიწყო.
frighten	შეშინება	ძლიერმა ხმამ ბავშვი შეაშინა.
frightened	შეშინებული	შეშინებული ბავშვი დედასთან გაიქცა.
frightening	შემაშინებელი	ღამის ხმა შემაშინებელი იყო.
frozen	გაყინული	გაყინული ბოსტნეული იაფი იყო.
fry	შეწვა	ხახვი ზეთში უნდა შეწვა.
fuel	საწვავი	მანქანაში საწვავი ჩავასხით.
function	ფუნქცია	ამ ღილაკის ფუნქცია მარტივია.
fur	ბეწვი	კატის ბეწვი რბილია.
garage	გარაჟი	მანქანა გარაჟში დგას.
gather	შეკრება	ადამიანები მოედანზე შეიკრიბნენ.
generally	ზოგადად	ზოგადად, შედეგი კარგია.
generation	თაობა	ახალი თაობა ტექნოლოგიას სწრაფად სწავლობს.
generous	გულუხვი	გულუხვი მეზობელი დაგვეხმარა.
gentle	ნაზი	მისი ხმა ნაზი იყო.
gentleman	ჯენტლმენი	ჯენტლმენმა კარი გააღო.
ghost	მოჩვენება	ბავშვებმა თქვეს, რომ ძველ სახლში მოჩვენება ნახეს.
giant	გიგანტური	გიგანტური ხე გზის პირას იზრდება.
glad	მოხარული	მე შენი ნახვით მოხარული ვარ.
global	გლობალური	ეს გლობალური პრობლემაა.
glove	ხელთათმანი	სიცივეში ხელთათმანი ჩაიცვი.
goods	საქონელი	მაღაზიამ ახალი საქონელი მოიტანა.
grade	ნიშანი	მან გამოცდაზე კარგი ნიშანი მიიღო.
graduate	კურსდამთავრებული	ახალგაზრდა კურსდამთავრებული სამსახურს ეძებს.
grain	მარცვალი	ტომარაში ხორბლის მარცვალია.
grateful	მადლიერი	მე შენი დახმარებისთვის მადლიერი ვარ.
growth	ზრდა	კომპანიის ზრდა სტაბილურია.
guard	მცველი	მცველი კართან იდგა.
guilty	დამნაშავე	სასამართლომ ის დამნაშავედ ცნო.
hang	დაკიდება	პალტო საკიდზე დაკიდე.
happiness	ბედნიერება	ოჯახი მას ბედნიერებას აძლევს.
hardly	ძლივს	მე ის ძლივს ვიცანი.
headline	სათაური	გაზეთის სათაური დიდი იყო.
heating	გათბობა	ზამთარში გათბობის სისტემა მნიშვნელოვანია.
heavily	ძლიერად	გუშინ წვიმა ძლიერად მოდიოდა.
helicopter	ვერტმფრენი	ვერტმფრენმა მთას გადაუფრინა.
highlight	გამოკვეთა	მნიშვნელოვანი სტრიქონი გამოკვეთე.
highly	მაღალ დონეზე	ეს წიგნი მაღალ დონეზე ფასდება.
hire	ქირაობა	ჩვენ მანქანა ერთი დღით ვიქირავეთ.
historic	ისტორიული მნიშვნელობის	ეს ისტორიული მნიშვნელობის შენობაა.
historical	ისტორიული	ის ისტორიულ ფილმს უყურებდა.
honest	პატიოსანი	პატიოსანი პასუხი ნდობას ქმნის.
horrible	საშინელი	სუნი ძალიან საშინელი იყო.
horror	საშინელება	ფილმმა მაყურებელს საშინელება აგრძნობინა.
host	მასპინძელი	მასპინძელმა სტუმრები თბილად მიიღო.
