source_headword	TA	example_TA
annoy	எரிச்சலூட்டு	சத்தமான இசை அயலவர்களை எரிச்சலூட்டலாம்.
annoyed	எரிச்சலடைந்த	தாமதத்திற்கு பிறகு அவன் எரிச்சலடைந்ததாக தெரிந்தான்.
annoying	எரிச்சலூட்டும்	அந்த சத்தம் உண்மையில் எரிச்சலூட்டும்.
apart	பிரிந்து	இரண்டு வீடுகள் இரண்டு மீட்டர் பிரிந்து உள்ளன.
apologize	மன்னிப்பு கேள்	தாமதத்திற்கு நான் மன்னிப்பு கேட்கிறேன்.
application	விண்ணப்பம்	தயவுசெய்து விண்ணப்பத்தை இணையத்தில் நிரப்புங்கள்.
appointment	நேர ஒதுக்கீடு	எனக்கு நாளை பல் மருத்துவர் நேர ஒதுக்கீடு உள்ளது.
appreciate	மதித்து பாராட்டு	உங்கள் உதவியை நான் மதித்து பாராட்டுகிறேன்.
approximately	சுமார்	நடக்க சுமார் இருபது நிமிடங்கள் ஆகும்.
arrest	கைது செய்	காவல்துறை ஓட்டுநரை கைது செய்தது.
arrival	வருகை	எங்கள் வருகை எதிர்பார்த்ததை விட தாமதமானது.
assignment	பணி	பணி வெள்ளிக்கிழமை சமர்ப்பிக்கப்பட வேண்டும்.
assist	உதவி செய்	செவிலியர்கள் மருத்துவருக்கு உதவி செய்கிறார்கள்.
atmosphere	சூழ்நிலை	கஃபேவில் அமைதியான சூழ்நிலை உள்ளது.
attach	இணை	கோப்பை உங்கள் மின்னஞ்சலில் இணைக்கவும்.
attitude	அணுகுமுறை	கூட்டத்திற்குப் பிறகு அவளின் அணுகுமுறை மாறியது.
attract	ஈர்க்க	பிரகாசமான மலர்கள் தேனீக்களை ஈர்க்கின்றன.
attraction	ஈர்ப்பு	கோட்டை பிரபலமான ஈர்ப்பு இடம்.
authority	அதிகாரம்	உள்ளூர் அதிகாரம் சாலையை சீரமைத்தது.
aware	அறிந்த	அவள் ஆபத்தை அறிந்திருக்கிறாள்.
backwards	பின்னோக்கி	அவன் கவனமாக பின்னோக்கி நடந்தான்.
bake	சுட்டு தயாரி	நான் ஒவ்வொரு ஞாயிறும் ரொட்டியை சுட்டு தயாரிக்கிறேன்.
balance	சமநிலை	நல்ல காலணிகள் உங்கள் சமநிலைக்கு உதவும்.
ban	தடை செய்	நகரம் கார்களை தடை செய்யும்.
bank (river)	ஆற்றங்கரை	நாங்கள் ஆற்றங்கரையில் அமர்ந்தோம்.
base	அடித்தளம்	குழு அடித்தளத்துக்கு திரும்பியது.
basic	அடிப்படை	அனைவருக்கும் அடிப்படை கணினி திறன்கள் தேவை.
basis	அடிப்படை	நம்பிக்கை நட்பின் அடிப்படை.
battery	மின்கலம்	என் தொலைபேசி மின்கலம் குறைவாக உள்ளது.
battle	போர்	போர் முழு இரவும் நீடித்தது.
beauty	அழகு	மலைகளின் அழகை நாங்கள் ரசித்தோம்.
bee	தேனீ	தேனீ ஒன்று மலரில் இறங்கியது.
belief	நம்பிக்கை	அவனின் நம்பிக்கை அவனுக்கு துணிவு கொடுத்தது.
bell	மணி	பள்ளி மணி சத்தமாக ஒலித்தது.
bend	வளை	எடையை தூக்கும் போது முழங்கால்களை வளை.
bite	கடி	நாய் வருகையாளர்களைக் கடிக்கலாம்.
block	தடு	விழுந்த மரம் சாலையை தடுத்தது.
bomb	குண்டு	குண்டு சில கட்டிடங்களுக்கு சேதம் செய்தது.
border	எல்லை	அவர்கள் இரவில் எல்லையை கடந்தனர்.
bother	தொந்தரவு செய்	தயவுசெய்து உன் சகோதரியை தொந்தரவு செய்யாதே.
branch	கிளை	புயலில் ஒரு கிளை முறிந்தது.
brand	வணிக முத்திரை	இந்த வணிக முத்திரை மாணவர்களிடம் பிரபலமானது.
brave	தைரியமான	தைரியமான மனிதன் குழந்தையை காப்பாற்றினான்.
breath	மூச்சு	ஆழமான மூச்சை எடு.
breathe	மூச்சு விடு	இந்த புகையில் நான் மூச்சு விட முடியாது.
breathing	மூச்சுவிடுதல்	அவளின் மூச்சுவிடுதல் மெதுவானது.
bride	மணமகள்	மணமகள் வெள்ளை உடை அணிந்திருந்தாள்.
bubble	குமிழி	ஒரு குமிழி கண்ணாடியின் மேல் மிதந்தது.
bury	புதை	அவர்கள் பெட்டியை மணலில் புதைத்தனர்.
calm	அமைதி	தேர்வின் போது அமைதியாக இரு.
campaign	பிரச்சாரம்	பிரச்சாரம் பள்ளிகளுக்காக பணம் திரட்டியது.
campus	வளாகம்	மாணவர்கள் வளாகத்திற்கு அருகில் வாழ்கிறார்கள்.
candidate	வேட்பாளர்	ஒவ்வொரு வேட்பாளரும் மூன்று கேள்விகளுக்கு பதிலளித்தார்.
cap	தொப்பி	அவன் விளையாட்டு தொப்பி அணிந்திருந்தான்.
captain	தலைவர்	தலைவர் அணியிடம் பேசினார்.
careless	கவனக்குறைவான	கவனக்குறைவான தவறு எங்கள் நேரத்தை வீணாக்கியது.
category	வகை	சரியான வகையை தேர்ந்தெடு.
ceiling	மேற்கூரை	மேற்கூரை வெள்ளையாக பூசப்பட்டிருந்தது.
celebration	கொண்டாட்டம்	கொண்டாட்டம் முழு மாலையும் நீடித்தது.
central	மத்திய	விடுதிக்கு மத்திய இடம் உள்ளது.
ceremony	விழா	விழா மதியம் தொடங்கியது.
chain	சங்கிலி	அவள் வெள்ளி சங்கிலி அணிந்திருந்தாள்.
challenge	சவால்	இந்த திட்டம் உண்மையான சவால்.
champion	சாம்பியன்	சாம்பியன் தனது பயிற்சியாளருக்கு நன்றி கூறினாள்.
channel	அலைவரிசை	தயவுசெய்து அலைவரிசையை மாற்றுங்கள்.
chapter	அத்தியாயம்	இன்றிரவு அடுத்த அத்தியாயத்தை படி.
charge	கட்டணம்	குழந்தைகளுக்கு கட்டணம் இல்லை.
cheat	ஏமாற்று	தேர்வில் ஏமாற்றாதே.
cheerful	மகிழ்ச்சியான	அவள் இன்று காலை மகிழ்ச்சியாக கேட்டாள்.
chemical	இரசாயன	இரசாயன வாசனை கடுமையாக இருந்தது.
chest	மார்பு	ஓடிய பிறகு அவனின் மார்பு வலித்தது.
childhood	குழந்தைப் பருவம்	எனக்கு என் குழந்தைப் பருவ வீடு நினைவில் உள்ளது.
claim	கூறுதல்	அவர்கள் தயாரிப்பு பாதுகாப்பானது என்று கூறுகிறார்கள்.
clause	துணை வாக்கியம்	இந்த துணை வாக்கியம் அர்த்தத்தை மாற்றுகிறது.
click	சொடுக்கி	நீல பொத்தானை சொடுக்கி அழுத்து.
client	வாடிக்கையாளர்	வாடிக்கையாளர் மேலும் விவரங்களை கேட்டார்.
cloth	துணி	இந்த துணியால் மேசையை துடை.
clue	துப்பு	துப்பு அதை தீர்க்க எங்களுக்கு உதவியது.
coal	நிலக்கரி	பழைய ரயில் நிலக்கரியை பயன்படுத்தியது.
coin	நாணயம்	அவன் தரையில் ஒரு நாணயத்தை கண்டான்.
collection	தொகுப்பு	அவளின் அஞ்சல் முத்திரை தொகுப்பு பெரியது.
coloured	நிறமுள்ள	அவள் நிறமுள்ள துண்டை அணிந்திருந்தாள்.
combine	இணை	மாவையும் நீரையும் இணை.
commercial	வணிக	வணிக இடைவேளை ஐந்து நிமிடங்கள் நீடித்தது.
commit	உறுதி ஏற்று	நாம் திட்டத்திற்கு உறுதி ஏற்க வேண்டும்.
communication	தொடர்பு	நல்ல தொடர்பு தவறுகளைத் தடுக்கிறது.
comparison	ஒப்பீடு	இந்த ஒப்பீடு பயனுள்ளதாக உள்ளது.
competitive	போட்டித்தன்மையுள்ள	சந்தை மிகவும் போட்டித்தன்மையுடையது.
competitor	போட்டியாளர்	எங்கள் முக்கிய போட்டியாளர் விலையை குறைத்தார்.
complaint	புகார்	அவள் சத்தம் பற்றி புகார் செய்தாள்.
complex	சிக்கலான	வழிமுறைகள் மிகவும் சிக்கலானவை.
concentrate	கவனம் செலுத்து	இசை ஒலிக்கும்போது நான் கவனம் செலுத்த முடியாது.
conclude	முடிவு செய்	நாம் கூட்டத்தை இப்போது முடிவு செய்வோம்.
conclusion	முடிவு	அவனின் முடிவு நியாயமானதாக தோன்றியது.
confident	நம்பிக்கையுள்ள	நேர்காணலுக்கு முன் அவள் நம்பிக்கையுடன் இருந்தாள்.
confirm	உறுதி செய்	தயவுசெய்து உங்கள் மின்னஞ்சல் முகவரியை உறுதி செய்யுங்கள்.
confuse	குழப்பம் செய்	இந்த இரண்டு பெயர்கள் என்னை குழப்புகின்றன.
confused	குழப்பமடைந்த	வரைபடம் காரணமாக நான் குழப்பமடைந்தேன்.
connection	இணைப்பு	இணைய இணைப்பு மெதுவாக உள்ளது.
consequence	விளைவு	குறைந்த தூக்கத்திற்கு விளைவு உள்ளது.
consist	கொண்டிரு	உணவு மூன்று பகுதிகளை கொண்டுள்ளது.
consume	நுகர்	பெரிய கார்கள் அதிக எரிபொருளை நுகர்கின்றன.
consumer	நுகர்வோர்	நுகர்வோர் தெளிவான தகவலை விரும்புகிறார்.
contact	தொடர்பு கொள்	மதிய உணவுக்குப் பிறகு என்னை தொடர்பு கொள்.
container	கொள்கலம்	சூப்பை கொள்கலனில் வை.
content1	உள்ளடக்கம்	பாடநெறியின் உள்ளடக்கம் பயனுள்ளதாக உள்ளது.
continuous	தொடர்ச்சியான	இயந்திரம் தொடர்ச்சியான சத்தம் செய்தது.
contrast	வேறுபாடு	அவர்களுக்கிடையிலான வேறுபாடு தெளிவாக உள்ளது.
convenient	வசதியான	இடம் மிகவும் வசதியானது.
convince	நம்ப வை	அவள் அவனை மீண்டும் முயற்சிக்க நம்ப வைத்தாள்.
costume	வேடம்	அவன் கடற்கொள்ளையன் வேடம் அணிந்திருந்தான்.
cottage	சிறிய வீடு	அவர்கள் சிறிய வீட்டை வாடகைக்கு எடுத்தனர்.
cotton	பருத்தி	இந்த சட்டை பருத்தியால் செய்யப்பட்டது.
countryside	கிராமப்புறம்	நாங்கள் கிராமப்புறம் வழியாக நடந்தோம்.
court	நீதிமன்றம்	வழக்கு நீதிமன்றத்துக்கு சென்றது.
covered	மூடப்பட்ட	மேசை காகிதங்களால் மூடப்பட்டிருந்தது.
cruel	கொடூரமான	சிரித்தது கொடூரமாக இருந்தது.
cultural	பண்பாட்டு	அருங்காட்சியகம் பண்பாட்டு நிகழ்ச்சிகளை வழங்குகிறது.
currency	நாணய முறை	உள்ளூர் நாணய முறை யூரோ.
current	தற்போதைய	தற்போதைய நிலை கடினமானது.
currently	தற்போது	அவள் தற்போது வெளிநாட்டில் படிக்கிறாள்.
curtain	திரைச்சீலை	இரவில் திரைச்சீலையை மூடு.
custom	வழக்கம்	இந்த வழக்கம் மிகவும் பழமையானது.
damage	சேதம்	புயல் கடுமையான சேதம் செய்தது.
decade	தசாப்தம்	அவர்கள் அங்கு ஒரு தசாப்தம் வாழ்ந்தனர்.
decorate	அலங்கரி	நாம் அறையை சேர்ந்து அலங்கரிப்போம்.
define	வரையறு	நீ இந்த சொல்லை வரையறுக்க முடியுமா?
definite	திட்டவட்டமான	எங்களுக்கு திட்டவட்டமான பதில் தேவை.
definition	வரையறை	வரையறையை உன் குறிப்பேட்டில் எழுது.
deliver	ஒப்படை	அவர்கள் எங்கள் வீட்டுக்கு உணவை ஒப்படைக்கிறார்கள்.
departure	புறப்பாடு	புறப்பாட்டு நேரம் மாறியது.
despite	இருந்தபோதிலும்	மழை இருந்தபோதிலும் நாங்கள் நடந்தோம்.
destination	இலக்கு இடம்	பாரிஸ் அவர்களின் இறுதி இலக்கு இடம்.
determine	தீர்மானி	சோதனைகள் உங்கள் நிலையை தீர்மானிக்கும்.
determined	உறுதியான	அவள் வெற்றி பெற உறுதியுடன் இருந்தாள்.
development	வளர்ச்சி	நகரின் வளர்ச்சி வேகமாக இருந்தது.
diagram	வரைபடம்	எளிய வரைபடத்தை வரை.
diamond	வைரம்	மோதிரத்தில் சிறிய வைரம் இருந்தது.
difficulty	சிரமம்	அவனுக்கு கதவை திறப்பதில் சிரமம் இருந்தது.
directly	நேரடியாக	தயவுசெய்து என்னிடம் நேரடியாக பேசுங்கள்.
dirt	அழுக்கு	அவனின் காலணிகள் அழுக்கால் மூடப்பட்டிருந்தன.
disadvantage	பாதகம்	நீண்ட பயணம் ஒரு பாதகம்.
disappointed	ஏமாற்றமடைந்த	அவள் முடிவால் ஏமாற்றமடைந்தாள்.
disappointing	ஏமாற்றமளிக்கும்	முடிவு ஏமாற்றமளிப்பதாக இருந்தது.
discount	தள்ளுபடி	மாணவர்களுக்கு இங்கு தள்ளுபடி கிடைக்கும்.
dislike	விரும்பாதிரு	மிக சத்தமான இசையை நான் விரும்பவில்லை.
divide	பிரி	கேக்கை துண்டுகளாக பிரி.
documentary	ஆவணப்படம்	நாங்கள் விண்வெளி பற்றிய ஆவணப்படம் பார்த்தோம்.
donate	நன்கொடை கொடு	பலர் பழைய ஆடைகளை நன்கொடை கொடுக்கிறார்கள்.
doubt	சந்தேகம்	அதைப் பற்றி எனக்கு சந்தேகம் இல்லை.
dressed	உடை அணிந்த	அவன் கருப்பு உடை அணிந்திருந்தான்.
drum	முரசு	முரசு ஒலி அறை முழுவதும் கேட்டது.
drunk	மதுபோதையில்	ஓட்டுநர் மதுபோதையில் இருந்தார்.
due	காலக்கெடு உள்ள	அறிக்கைக்கு நாளை காலக்கெடு உள்ளது.
dust	தூசி	பழைய புத்தகங்கள் தூசியில் மூடப்பட்டிருந்தன.
duty	கடமை	உதவுவது என் கடமை.
earthquake	நிலநடுக்கம்	நிலநடுக்கம் பாலத்திற்கு சேதம் செய்தது.
eastern	கிழக்கு	கிழக்கு கடற்கரை காற்றாக உள்ளது.
economic	பொருளாதார	நாடு பொருளாதார பிரச்சினைகளை எதிர்கொள்கிறது.
economy	பொருளாதாரம்	பொருளாதாரம் இந்த ஆண்டு வளர்ந்தது.
edge	விளிம்பு	விளிம்பிலிருந்து விலகி நில்.
editor	ஆசிரியர்	ஆசிரியர் கட்டுரையை சரிபார்த்தார்.
educate	கல்வி கொடு	பள்ளிகள் இளைஞர்களுக்கு கல்வி கொடுக்கின்றன.
educated	கல்வியறிவு பெற்ற	அவள் மிகவும் கல்வியறிவு பெற்றவர்.
educational	கல்வி சார்ந்த	விளையாட்டு கல்வி சார்ந்தது.
effective	பயனுள்ள	இந்த மருந்து பயனுள்ளது.
effectively	பயனுள்ளதாக	அவள் விதியை பயனுள்ளதாக விளக்கினாள்.
effort	முயற்சி	உன் முயற்சி மாற்றத்தை ஏற்படுத்தியது.
election	தேர்தல்	தேர்தல் முடிவு நெருக்கமாக இருந்தது.
element	கூறு	நம்பிக்கை முக்கிய கூறு.
embarrassed	வெட்கப்பட்ட	விழுந்த பிறகு அவன் வெட்கப்பட்டான்.
embarrassing	வெட்கப்படுத்தும்	அது வெட்கப்படுத்தும் தவறு.
emergency	அவசரநிலை	அவசரநிலையில் இந்த எண்ணை அழை.
emotion	உணர்ச்சி	பயம் வலுவான உணர்ச்சி.
employment	வேலைவாய்ப்பு	இந்த மாதம் வேலைவாய்ப்பு அதிகரித்தது.
encourage	ஊக்குவி	ஆசிரியர்கள் மாணவர்களை வாசிக்க ஊக்குவிக்கிறார்கள்.
enemy	எதிரி	இரண்டு நாடுகள் எதிரிகளாக இருந்தன.
engaged	நிச்சயதார்த்தமான	அவர்கள் கடந்த வசந்தத்தில் நிச்சயதார்த்தமானார்கள்.
engineering	பொறியியல்	அவள் பல்கலைக்கழகத்தில் பொறியியல் படிக்கிறாள்.
entertain	மகிழ்வி	பாடகர் விருந்தினர்களை மகிழ்விப்பார்.
entertainment	பொழுதுபோக்கு	நகரம் மாலை பொழுதுபோக்கை வழங்குகிறது.
entrance	நுழைவு	நுழைவின் அருகில் என்னை சந்தி.
entry	நுழைவு	குழந்தைகளுக்கு நுழைவு இலவசம்.
environmental	சுற்றுச்சூழல்	நாங்கள் சுற்றுச்சூழல் பிரச்சினைகளை விவாதித்தோம்.
episode	அத்தியாயம்	இறுதி அத்தியாயம் பரபரப்பாக இருந்தது.
equal	சமமான	அவர்களுக்கு சமமான ஊதியம் கிடைக்கிறது.
equally	சமமாக	வேலை சமமாக பகிரப்பட்டுள்ளது.
escape	தப்பிச் செல்	கைதிகள் தப்பிச் செல்ல முயன்றனர்.
essential	அத்தியாவசிய	நீர் வாழ்க்கைக்கு அத்தியாவசியமானது.
eventually	இறுதியில்	இறுதியில் நாங்கள் விடுதியைக் கண்டோம்.
examine	பரிசோதனை செய்	மருத்துவர் என் கையை பரிசோதனை செய்தார்.
exchange	பரிமாற்றம்	நாங்கள் கடையில் பரிமாற்றம் செய்தோம்.
excitement	உற்சாகம்	விளையாட்டு உற்சாகத்தால் நிரம்பியிருந்தது.
exhibition	கண்காட்சி	கலை கண்காட்சி நாளை திறக்கிறது.
expand	விரிவாக்கு	நிறுவனம் விரிவாக்க திட்டமிடுகிறது.
expected	எதிர்பார்க்கப்பட்ட	எதிர்பார்க்கப்பட்ட செலவு அதிகம்.
expedition	ஆய்வுப் பயணம்	ஆய்வுப் பயணம் பாலைவனத்தை கடந்தது.
experienced	அனுபவமுள்ள	அவள் அனுபவமுள்ள செவிலியர்.
explode	வெடிக்க	வெப்பத்தில் பாட்டில் வெடிக்கலாம்.
explore	ஆராய்	நாங்கள் பழைய நகரத்தை ஆராய்ந்தோம்.
explosion	வெடிப்பு	வெடிப்பு சில சாளரங்களை உடைத்தது.
export	ஏற்றுமதி	காபி முக்கிய ஏற்றுமதி.
fairly	மிகவும்	தேர்வு மிகவும் எளிதாக இருந்தது.
familiar	பழக்கமான	அவளின் முகம் பழக்கமானதாக தோன்றியது.
fancy	விரும்பு	உனக்கு ஒரு காபி வேண்டுமா?
fascinating	மிக சுவாரஸ்யமான	கதை மிக சுவாரஸ்யமாக இருந்தது.
fashionable	நாகரிகமான	அந்த காலணிகள் நாகரிகமானவை.
fasten	கட்டு	உன் இருக்கை பட்டையை கட்டு.
favour	உதவி	நீ எனக்கு ஒரு உதவி செய்ய முடியுமா?
fence	வேலி	வேலி தோட்டத்தை சுற்றுகிறது.
fighting	சண்டை	சண்டை காலை நிறுத்தப்பட்டது.
file	கோப்பு	மூடும் முன் கோப்பை சேமி.
financial	நிதி	அவளுக்கு நிதி ஆலோசனை தேவை.
fitness	உடற்தகுதி	ஓடுதல் உன் உடற்தகுதியை மேம்படுத்தும்.
fixed	நிலையான	விலை நிலையானது.
flag	கொடி	கொடி பள்ளியின் மேல் பறந்தது.
flood	வெள்ளம்	வெள்ளம் பல வீடுகளுக்கு சேதம் செய்தது.
flour	மாவு	கிண்ணத்தில் மாவை சேர்க்கவும்.
flow	பாய்	நதி நகரம் வழியாக பாய்கிறது.
fold	மடி	காகிதத்தை பாதியாக மடி.
folk	நாட்டு	நாட்டு இசை மண்டபத்தை நிரப்பியது.
force	சக்தி	காற்றுக்கு பெரிய சக்தி இருந்தது.
forever	என்றென்றும்	நான் இதை என்றென்றும் நினைவில் வைத்திருப்பேன்.
frame	சட்டகம்	புகைப்படத்திற்கு சட்டகம் தேவை.
freeze	உறை	இரவில் நீர் உறையும்.
frequently	அடிக்கடி	அவன் அடிக்கடி பெற்றோரை பார்க்க செல்கிறான்.
friendship	நட்பு	அவர்களின் நட்பு பல ஆண்டுகள் நீடித்தது.
frighten	பயமுறுத்து	சத்தமான ஒலிகள் குழந்தையை பயமுறுத்தும்.
frightened	பயந்த	குழந்தை பயந்ததாக தோன்றியது.
frightening	பயமுறுத்தும்	புயல் பயமுறுத்தியது.
frozen	உறைந்த	ஏரி உறைந்திருந்தது.
fry	வறுத்து செய்	வெங்காயத்தை ஐந்து நிமிடங்கள் வறுத்து செய்.
fuel	எரிபொருள்	காருக்கு மேலும் எரிபொருள் தேவை.
function	செயல்பாடு	இந்த பொத்தானுக்கு ஒரு செயல்பாடு உள்ளது.
fur	மயிர்	பூனைக்கு மென்மையான மயிர் உள்ளது.
garage	வாகன நிறுத்தகம்	கார் வாகன நிறுத்தகத்தில் உள்ளது.
gather	கூடு	நாங்கள் மேசையைச் சுற்றி கூடினோம்.
generally	பொதுவாக	அவள் பொதுவாக சீக்கிரம் வருகிறாள்.
generation	தலைமுறை	ஒவ்வொரு தலைமுறையும் புதிய பிரச்சினைகளை எதிர்கொள்கிறது.
generous	தாராளமான	அவன் தனது நேரத்தில் தாராளமானவர்.
gentle	மென்மையான	மென்மையான குரலை பயன்படுத்து.
gentleman	நல்லவர்	நல்லவர் கதவை திறந்தார்.
ghost	பேய்	கதை ஒரு பேயைப் பற்றி சொல்கிறது.
giant	மிகப்பெரிய	மிகப்பெரிய திரை மேடையை நிரப்பியது.
glad	மகிழ்ச்சி	நீ வந்ததில் நான் மகிழ்ச்சி அடைகிறேன்.
global	உலகளாவிய	காலநிலை மாற்றம் உலகளாவிய பிரச்சினை.
glove	கையுறை	நான் ஒரு கையுறையை இழந்தேன்.
goods	பொருட்கள்	பொருட்கள் தாமதமாக வந்தன.
grade	மதிப்பெண்	அவளுக்கு உயர்ந்த மதிப்பெண் கிடைத்தது.
graduate	பட்டதாரி	அவன் புதிய பட்டதாரி.
grain	தானியம்	ஒரு அரிசி தானியம் விழுந்தது.
grateful	நன்றியுள்ள	உங்கள் ஆதரவுக்கு நான் நன்றியுள்ளவன்.
growth	வளர்ச்சி	செடி நிலையான வளர்ச்சியை காட்டியது.
guard	காவலர்	காவலர் எங்கள் சீட்டுகளை சரிபார்த்தார்.
guilty	குற்ற உணர்வுள்ள	பொய் சொன்னதால் அவன் குற்ற உணர்வுடன் இருந்தான்.
hang	தொங்கு	உன் கோட்டை இங்கே தொங்கு.
happiness	மகிழ்ச்சி	பணம் மகிழ்ச்சியை வாங்க முடியாது.
hardly	அரிதாக	நான் உன்னை அரிதாகவே கேட்டேன்.
headline	தலைப்பு	தலைப்பு என் கவனத்தை ஈர்த்தது.
heating	வெப்பமூட்டல்	வெப்பமூட்டல் வேலை செய்வதை நிறுத்தியது.
heavily	கனமாக	முழு இரவும் கனமாக மழை பெய்தது.
helicopter	ஹெலிகாப்டர்	ஒரு ஹெலிகாப்டர் அருகில் தரையிறங்கியது.
highlight	முன்னிறுத்து	தயவுசெய்து முக்கிய கருத்தை முன்னிறுத்து.
highly	மிகவும்	அவள் மிகவும் மதிக்கப்படுகிறாள்.
hire	வாடகைக்கு எடு	நமக்கு ஒரு கார் வாடகைக்கு எடுக்க வேண்டும்.
historic	வரலாற்றுச் சிறப்புமிக்க	நாங்கள் வரலாற்றுச் சிறப்புமிக்க கட்டிடத்தை பார்த்தோம்.
historical	வரலாற்று	அவள் வரலாற்று நாவல்களை விரும்புகிறாள்.
honest	நேர்மையான	தயவுசெய்து நேர்மையான பதிலை கொடு.
horrible	பயங்கரமான	வாசனை பயங்கரமாக இருந்தது.
horror	திகில்	அவன் திகில் திரைப்படங்களை ரசிக்கிறான்.
host	விருந்தோம்புநர்	விருந்தோம்புநர் ஒவ்வொரு விருந்தினரையும் வரவேற்றார்.
