source_headword	CS	example_CS
shot	střela	Vítězná střela všechny překvapila.
significant	významný	Ten objev byl významný.
significantly	významně	Náklady se loni významně zvýšily.
silence	ticho	Místnost se propadla do ticha.
silk	hedvábí	Šaty byly vyrobeny z hedvábí.
sincere	upřímný	Přijměte prosím mé upřímné díky.
slave	otrok	Zákon osvobodil každého otroka.
slide	klouzat se	Dítě jelo dolů po skluzavce.
slight	mírný	Došlo k mírnému zpoždění.
slip	uklouznnout	Neuklouzni na mokré podlaze.
slope	svah	Cesta sleduje strmý svah.
solar	solární	Dům využívá solární energii.
somewhat	poněkud	Pokyny byly poněkud matoucí.
soul	duše	Hudba povznesla její duši.
specialist	specialista	Specialista vyšetřil pacienta.
species	druh	Tento druh žije poblíž řek.
spiritual	duchovní	Popsala duchovní zážitek.
split	rozdělit	Rozdělili si účet rovným dílem.
sponsor	sponzorovat	Společnost bude sponzorovat událost.
stable	stabilní	Pacient je stabilní.
stare	zírat	Nezírej na cizí lidi.
status	status	Jeho status se změnil přes noc.
steady	stálý	Udržuj stálou rychlost.
steel	ocel	Most je vyroben z oceli.
steep	strmý	Kopec je strmý.
sticky	lepkavý	Podlaha je na dotek lepkavá.
stiff	ztuhlý	Jeho rameno bylo ztuhlé.
stock	zásoba	Obchod už nemá žádné zásoby.
stream	potok	Malý potok křižuje pole.
stretch	protáhnout	Po letu si protáhněte nohy.
strict	přísný	Škola má přísná pravidla.
strike	stávkovat	Pracovníci mohou zítra stávkovat.
struggle	potýkat se	Mnoho rodin se potýká s nájmem.
submit	odevzdat	Odevzdejte formulář do pátku.
sum	částka	Částka byla vyšší, než se očekávalo.
surgery	operace	Operace trvala dvě hodiny.
surround	obklopovat	Dům obklopují vysoké stromy.
surrounding	okolní	Okolní oblast je tichá.
suspect	podezřívat	Policie podezřívá místního muže.
swear	mluvit sprostě	Nemluv sprostě ve třídě.
sweep	zamést	Zameťte podlahu před příjezdem hostů.
sympathy	soucit	Vyjádřila soucit s oběťmi.
tale	příběh	Babička vyprávěla podivný příběh.
tank	nádrž	Nádrž obsahuje čistou vodu.
tear1	trhat	Netrhejte ten dokument.
tear2	slza	Po tváři jí stekla slza.
temporary	dočasný	Kancelář je dočasným útočištěm.
therapy	terapie	Fyzikální terapie pomohla jeho zotavení.
threat	hrozba	Zpráva obsahovala hrozbu.
threaten	ohrozit	Bouře může ohrozit úrodu.
thus	tak	Silnice byla zavřená; tak jsme čekali.
tone	tón	Jeho tón zněl klidně.
tough	náročný	Pohovor byl náročný.
transfer	přenést	Přenášejí data každou noc.
transform	přeměnit	Nová politika přemění služby.
transition	přechod	Přechod trval několik měsíců.
trial	soud	Soud začíná příští týden.
tropical	tropický	Tropické bouře jsou zde běžné.
truly	opravdu	Opravdu si vážím vaší pomoci.
trust	důvěra	Budování důvěry vyžaduje čas.
tune	melodie	Kapela hrála veselou melodii.
tunnel	tunel	Tunel vede pod řekou.
ultimately	nakonec	Plán nakonec uspěl.
unconscious	v bezvědomí	Pacient zůstal v bezvědomí.
unexpected	nečekaný	Zpoždění bylo nečekané.
unique	jedinečný	Každý design je jedinečný.
universe	vesmír	Vesmír se rozpíná.
unknown	neznámý	Jméno zůstává neznámé.
upper	horní	Horní police je prázdná.
upwards	nahoru	Kouř stoupal nahoru.
urban	městský	Městské oblasti potřebují lepší dopravu.
urge	nabádat	Lékaři nabádají lidi ke cvičení.
vary	lišit se	Ceny se liší podle regionu.
vast	rozlehlý	Poušť pokrývá rozlehlou oblast.
venue	místo konání	Místo konání pojme pět set lidí.
via	prostřednictvím	Pošlete dokument prostřednictvím e-mailu.
victory	vítězství	Tým oslavil své vítězství.
violence	násilí	Město trpělo politickým násilím.
virtual	virtuální	Schůzka je virtuální.
vision	vize	Její vize formovala společnost.
visual	vizuální	Zpráva obsahuje vizuální příklady.
vital	životně důležitý	Voda je pro život životně důležitá.
vitamin	vitamín	Pomeranče obsahují vitamín C.
volume	hlasitost	Snižte hlasitost.
wage	mzda	Dělníci požadovali vyšší mzdu.
weakness	slabina	Plán má jednu slabinu.
wealth	bohatství	Jeho bohatství pocházelo z obchodu.
wealthy	bohatý	Bohatá rodina financovala muzeum.
whereas	zatímco	Ona má ráda čaj, zatímco já dávám přednost kávě.
wherever	kdekoli	Sedněte si kdekoli, kde se cítíte pohodlně.
whisper	šeptat	Během obřadu prosím šeptejte.
whom	koho	Koho jste pozvali?
widely	hojně	Kniha je hojně čtená.
wildlife	divoká zvěř	Park chrání místní divokou zvěř.
willing	ochotný	Je ochotná pomoci.
wind2	namotat	Namotejte kabel na cívku.
wire	kabel	Kabel spojuje dvě zařízení.
wise	moudrý	Byla to moudrá volba.
witness	svědek	Svědek popsal nehodu.
wound	rána	Pečlivě vyčistěte ránu.
wrap	zabalit	Zabalte dárek do papíru.
zone	zóna	Tato zóna je pro dopravu uzavřena.
