source_headword	NE	example_NE
ease	सहजता	नयाँ सडकले यातायातलाई सहज बनाउनेछ।
echo	गुञ्जनु	हलमा उनको आवाज गुञ्जियो।
ecological	पारिस्थितिक	पारिस्थितिक प्रभाव अनिश्चित छ।
educator	शिक्षक	शिक्षकले नयाँ पाठ्यक्रम तयार पारे।
effectiveness	प्रभावकारिता	अध्ययनले खोपको प्रभावकारिता नाप्यो।
efficiency	दक्षता	राम्रो सफ्टवेयरले दक्षता सुधार गर्यो।
ego	अहंकार	उसको अहंकारले काममा समस्या निम्त्यायो।
elaborate	विस्तृत	विस्तृत पोशाक तयार गर्न हप्ताहरू लाग्यो।
electoral	चुनावी	गत वर्ष चुनावी प्रणाली परिवर्तन भयो।
elevate	माथि उठाउनु	पुरस्कारले उनको प्रोफाइल माथि उठाउनेछ।
eligible	योग्य	केवल बासिन्दाहरू मात्र छुटको लागि योग्य छन्।
elite	सम्भ्रान्त	सम्भ्रान्तहरूले निजी एकेडेमीमा प्रशिक्षण लिए।
embark	सुरु गर्नु	तिनीहरू लामो यात्रा सुरु गर्नेछन्।
embarrassment	लाज	उसले आफ्नो लाज लुकाउन हाँस्यो।
embassy	दूतावास	दूतावासले नयाँ यात्रा सल्लाह जारी गर्यो।
embed	सम्मिलित गर्नु	पत्रकार उक्त इकाईमा सम्मिलित हुनेछन्।
embody	मूर्त रूप दिनु	मूर्तिले साहसलाई मूर्त रूप दिएको जस्तो देखिन्छ।
emergence	उदय	फोनको उदयले दैनिक जीवन परिवर्तन गर्यो।
empirical	अनुभवजन्य	यो शोधपत्र अनुभवजन्य प्रमाणमा निर्भर गर्दछ।
empower	सशक्त बनाउनु	शिक्षाले स्थानीय समुदायलाई सशक्त बनाउन सक्छ।
enact	कानुन बनाउनु	संसदले सुधार लागू गर्न मतदान गर्यो।
encompass	समेट्नु	पाठ्यक्रमले आधुनिक इतिहासलाई समेट्नेछ।
encouragement	प्रोत्साहन	उनको प्रोत्साहनले उसलाई निरन्तरता दिन मद्दत गर्यो।
encouraging	उत्साहजनक	प्रारम्भिक परिणामहरू उत्साहजनक देखिन्छन्।
endeavour	प्रयास	उद्धार एक कठिन प्रयास थियो।
endless	अनन्त	मरुभूमि अनन्त देखिन्थ्यो।
endorse	समर्थन गर्नु	युनियनले उम्मेदवारलाई समर्थन गर्न अस्वीकार गर्यो।
endorsement	समर्थन	उसको समर्थनले उनको अभियानलाई बढायो।
endure	सहनु	बोटबिरुवाहरूले कडा जाडो सहन सक्छन्।
enforce	लागू गर्नु	प्रहरीले गति सीमा लागू गर्दछ।
enforcement	कार्यान्वयन	बलियो कार्यान्वयनले अवैध फोहोर फाल्ने काम घटायो।
engagement	संलग्नता	यस सेमेस्टरमा विद्यार्थीको संलग्नतामा सुधार आयो।
engaging	आकर्षक	वक्ताले आकर्षक भाषण दिए।
enquire	सोधपुछ गर्नु	कृपया अगाडिको डेस्कमा सोधपुछ गर्नुहोस्।
enrich	समृद्ध बनाउनु	यात्राले तपाईको बुझाइलाई समृद्ध बनाउन सक्छ।
enrol	भर्ना हुनु	विद्यार्थीहरूले सेप्टेम्बर अघि भर्ना हुनुपर्छ।
ensue	पछि आउनु	घोषणा पछि अराजकता आउन सक्छ।
enterprise	उद्यम	उद्यमले स्थानीय कलाकारहरूलाई रोजगारी दिन्छ।
enthusiast	उत्साही	साइकल चलाउने हरेक उत्साहीलाई यो बाटो थाहा छ।
entitle	अधिकार दिनु	टिकटले तपाईंलाई प्रवेशको अधिकार दिनेछ।
entity	अस्तित्व	कम्पनी छुट्टै कानुनी अस्तित्व हो।
epidemic	महामारी	महामारी धेरै क्षेत्रहरूमा फैलियो।
equality	समानता	आन्दोलनले समानताको लागि लड्यो।
equation	समीकरण	समीकरणमा दुई अज्ञात कुराहरू छन्।
erect	निर्माण गर्नु	कामदारहरूले नयाँ बार निर्माण गर्नेछन्।
escalate	बढाउनु	द्वन्द्व द्रुत रूपमा बढ्न सक्छ।
essence	सार	कविताले बाल्यकालको सारलाई समेट्छ।
establishment	संस्था	संस्थाले सुधारको विरोध गर्यो।
eternal	अनन्त	तिनीहरूले अनन्त मित्रताको वाचा गरे।
evacuate	खाली गर्नु	अग्नि नियन्त्रकहरूले बासिन्दाहरूलाई सुरक्षित रूपमा खाली गर्न मद्दत गरे।
evoke	सम्झाउनु	गीतले बलियो सम्झनाहरू जगाउन सक्छ।
evolutionary	विकासवादी	जीवाश्मले विकासवादी परिवर्तन देखाउँछ।
exaggerate	बढाइचढाइ गर्नु	आफ्नो अनुभवलाई बढाइचढाइ नगर्नुहोस्।
excellence	उत्कृष्टता	विद्यालयले शैक्षिक उत्कृष्टतालाई पुरस्कृत गर्छ।
exceptional	असाधारण	उनले असाधारण सीप देखाइन्।
excess	अतिरिक्त	अतिरिक्त पानीले तहखानेमा बाढी ल्यायो।
exclusion	बहिष्कार	सामाजिक बहिष्कारले युवाहरूलाई हानि पुर्याउँछ।
exclusive	विशेष	क्लबले विशेष पहुँच प्रदान गर्दछ।
exclusively	विशेष रूपमा	यो कोठा विशेष रूपमा कर्मचारीहरूद्वारा प्रयोग गरिन्छ।
execute	कार्यान्वयन गर्नु	टोलीले योजनालाई ध्यानपूर्वक कार्यान्वयन गर्नेछ।
execution	कार्यान्वयन	रणनीतिको कार्यान्वयनमा महिनौं लाग्यो।
exert	प्रयोग गर्नु	तपाईंले थप दबाब दिनुपर्छ।
exile	निर्वासन	लेखक निर्वासित जीवन बिताउँथे।
expenditure	खर्च	गत वर्ष सार्वजनिक खर्च बढ्यो।
experimental	प्रयोगात्मक	उपचार अझै प्रयोगात्मक छ।
expire	म्याद सकिनु	मेरो राहदानी छिट्टै म्याद सकिँदैछ।
explicit	स्पष्ट	निर्देशनहरू स्पष्ट थिए।
explicitly	स्पष्ट रूपमा	नियमहरूले स्पष्ट रूपमा धुम्रपान गर्न निषेध गर्दछ।
exploitation	शोषण	प्रतिवेदनले कामदार शोषणलाई उजागर गर्यो।
explosive	विस्फोटक	विस्फोटक यन्त्र सुरक्षित रूपमा हटाइयो।
extremist	अतिवादी	अतिवादी समूहले समर्थन गुमायो।
facilitate	सहज बनाउनु	एपले टाढाको शिक्षालाई सहज बनाउनेछ।
faction	गुट	एउटा गुटले नेताको विरोध गर्यो।
faculty	संकाय	संकायले प्रस्ताव स्वीकृत गर्यो।
fade	फिक्का हुनु	रंग घाममा फिक्का हुनेछ।
fairness	निष्पक्षता	निष्पक्षता हरेक प्रतियोगितामा महत्त्वपूर्ण हुन्छ।
fatal	घातक	दुर्घटनाले घातक चोटहरू निम्त्यायो।
fate	भाग्य	उसको भाग्य कसैलाई थाहा थिएन।
favourable	अनुकूल	समीक्षा अनुकूल थियो।
feat	उपलब्धि	त्यो चुचुरो चढ्नु एउटा उपलब्धि थियो।
feminist	नारीवादी	नारीवादी आन्दोलनले सार्वजनिक बहसलाई परिवर्तन गर्यो।
fibre	फाइबर	यस रोटीमा अतिरिक्त फाइबर हुन्छ।
fierce	भयंकर	भयंकर आँधीले छानाहरूलाई नोक्सान पुर्यायो।
film-maker	चलचित्र निर्माता	चलचित्र निर्माताले त्यसपछि प्रश्नहरूको जवाफ दिए।
filter	फिल्टर	फिल्टरले हावाबाट धुलो हटाउँछ।
fine	जरिवाना	कम्पनीले जरिवाना तिर्यो।
firearm	बन्दुक	अधिकारीले चोरी भएको बन्दुक फेला पारे।
fit	ठिक	नयाँ जुत्ता ठिक मिलेको छ।
fixture	स्थिर वस्तु	यो बत्ती एक स्थिर वस्तु हो।
flaw	खोट	यो डिजाइनमा एउटा गम्भीर खोट छ।
flawed	त्रुटिपूर्ण	त्रुटिपूर्ण अध्ययनले गलत परिणाम दियो।
flee	भाग्नु	परिवारहरू लडाइँबाट भाग्नुपर्यो।
fleet	जहाजको समूह	एयरलाइनले आफ्नो जहाजको समूह नवीकरण गर्यो।
flesh	मासु	काँडाले उसको मासु छेड्यो।
flexibility	लचकता	टाढाको कामले बढी लचकता दिन्छ।
flourish	फस्टाउनु	साना व्यवसायहरू यहाँ फस्टाउन सक्छन्।
fluid	तरल पदार्थ	व्यायामपछि प्रशस्त तरल पदार्थ पिउनुहोस्।
footage	फुटेज	फुटेजमा दुर्घटना देखाइएको थियो।
foreigner	विदेशी	फारमले तपाईं विदेशी हुनुहुन्छ कि भनेर सोध्छ।
forge	बनाउनु	तिनीहरूले नयाँ गठबन्धन बनाउन प्रयास गरे।
formula	सूत्र	यो सूत्रले समस्या हल गर्यो।
formulate	तर्जुमा गर्नु	वैज्ञानिकहरूले नयाँ सिद्धान्त तर्जुमा गर्छन्।
forth	अगाडि	नदीले डुङ्गालाई अगाडि बगायो।
forthcoming	आउँदो	आउँदो रिपोर्टले सबै कुरा स्पष्ट पार्नेछ।
foster	बढावा दिनु	कार्यक्रमले स्वतन्त्रतालाई बढावा दिन मद्दत गर्छ।
fragile	कमजोर	कमजोर फूलदानीलाई ध्यानपूर्वक सम्हाल्नुपर्छ।
franchise	फ्रेन्चाइज	यो रेस्टुरेन्ट ग्लोबल फ्रेन्चाइज बन्यो।
frankly	स्पष्ट रूपमा	स्पष्ट रूपमा भन्दा हामीलाई थप समय चाहिन्छ।
frustrated	निराश	ढिलाइले कामदारहरू निराश भए।
frustrating	निराशाजनक	ढिलो इन्टरनेट जडान निराशाजनक थियो।
frustration	निराशा	बैठकको समयमा निराशा बढ्यो।
functional	कार्यात्मक	पुरानो भान्सा अझै कार्यात्मक छ।
fundraising	चन्दा संकलन	चन्दा संकलन अर्को हप्ता सुरु हुन्छ।
funeral	अन्त्येष्टि	अन्त्येष्टि शुक्रबार भयो।
gallon	ग्यालन	ट्याङ्कीमा एक ग्यालन अट्छ।
gambling	जुवा	जुवा कानुनद्वारा प्रतिबन्धित छ।
gathering	भेला	भेला शान्तिपूर्ण रूपमा समाप्त भयो।
gaze	हेराइ	उनले छोटो समयको लागि उसको हेराइलाई समातिन्।
gear	उपकरण	आरोहण गर्नुअघि सुरक्षा उपकरण प्याक गर्नुहोस्।
generic	सामान्य	सामान्य संस्करणको मूल्य कम छ।
genocide	नरसंहार	नरसंहारले गहिरो राष्ट्रिय आघात छोड्यो।
glance	झलक	उसले छिटो झलक दियो।
glimpse	झलक	मैले समुद्रको एक झलक पाएँ।
glorious	गौरवशाली	टोलीले गौरवशाली जितको आनन्द लियो।
glory	गौरव	उनले ओलम्पिक गौरवको सपना देखिन्।
governance	शासन	सुशासनका लागि पारदर्शिता आवश्यक छ।
grace	कृपा	उनले कृपाका साथ हार स्वीकार गरिन्।
grasp	बुझ्नु	उसले अवधारणा बुझ्न सकेन।
grave (for dead person)	चिहान	चिहान फूलहरूले ढाकिएको थियो।
grave (serious)	गम्भीर	स्थिति अझै गम्भीर छ।
gravity	गुरुत्वाकर्षण	गुरुत्वाकर्षणले वस्तुहरूलाई पृथ्वीतिर तान्छ।
grid	ग्रिड	नक्साले साधारण ग्रिड प्रयोग गर्छ।
grief	शोक	शोकले उसको पूरै परिवारलाई परिवर्तन गर्यो।
grin	मुस्कान	केटाले फराकिलो मुस्कान दियो।
grind	पिध्नु	कामदारहरूले हरेक बिहान कफीको गेडा पिध्छन्।
grip	पकड	डोरीमा बलियो पकड राख्नुहोस्।
gross	कुल	कुल आम्दानी तीव्र रूपमा बढ्यो।
guerrilla	गुरिल्ला	गुरिल्ला लडाकुहरू पहाडहरूमा लुकेका थिए।
guidance	मार्गदर्शन	गाइडले व्यावहारिक मार्गदर्शन प्रदान गर्दछ।
guilt	दोष	झूट बोलेपछि उनलाई दोषको महसुस भयो।
gut	आन्द्रा	कठिन छनौटहरूमा आफ्नो अन्तर्ज्ञानमा विश्वास गर्नुहोस्।
hail	जयजयकार गर्नु	गाउँलेहरूले डाक्टरलाई नायकको रूपमा जयजयकार गरे।
halfway	आधा बाटो	हामी आधा बाटोमा रोकियौं।
halt	रोकिनु	ट्रेन अचानक रोकियो।
handful	मुठीभर	मुठीभर स्वयंसेवकहरू अबेरसम्म बसे।
handling	ह्यान्डलिङ	उचित ह्यान्डलिङले क्षतिलाई रोक्छ।
handy	उपयोगी	यो उपकरण मर्मतको लागि उपयोगी छ।
harassment	उत्पीडन	कम्पनीले उत्पीडनका गुनासोहरूको अनुसन्धान गर्यो।
hardware	हार्डवेयर	पसलले कम्प्युटर हार्डवेयर बेच्छ।
harmony	सद्भाव	गायक समूहले पूर्ण सद्भावमा गीत गायो।
harsh	कठोर	न्यायाधीशले कठोर सजाय दिए।
harvest	फसल	फसल सेप्टेम्बरमा सुरु हुन्छ।
haunt	सताउनु	त्यो सम्झनाले उसलाई सताइरह्यो।
hazard	खतरा	बरफ सडकको लागि गम्भीर खतरा हो।
heighten	बढाउनु	भाषणले तनाव बढाउन सक्छ।
heritage	सम्पदा	महल स्थानीय सम्पदाको एक भाग हो।
hierarchy	पदानुक्रम	कार्यालयको पदानुक्रम स्पष्ट रूपमा परिभाषित छ।
high-profile	उच्च-प्रोफाइल	उच्च-प्रोफाइल परीक्षणले रिपोर्टरहरूलाई आकर्षित गर्यो।
hint	संकेत	उनले मलाई उपयोगी संकेत दिइन्।
homeland	मातृभूमि	ऊ आफ्नो मातृभूमि फर्कियो।
hopeful	आशावादी	डाक्टरहरू निको हुने कुरामा आशावादी छन्।
horizon	क्षितिज	सूर्य क्षितिज मुनि हरायो।
horn	हर्न	गाडीको हर्नले सबैलाई ब्युँझायो।
hostage	बन्धक	बन्धक घर फर्कियो।
hostile	शत्रुतापूर्ण	भीड शत्रुतापूर्ण भयो।
hostility	शत्रुता	खुला शत्रुताले वार्ता समाप्त भयो।
humanitarian	मानवीय	मानवीय मिसनले खाना पुर्यायो।
humanity	मानवता	मानवताले साझा चुनौतीहरूको सामना गर्दछ।
humble	नम्र	सफलतापछि पनि उनी नम्र रहिन्।
hydrogen	हाइड्रोजन	हाइड्रोजन धेरै सजिलै जल्दछ।
identification	पहिचान	प्रवेशद्वारमा पहिचान आवश्यक छ।
ideological	वैचारिक	विवादको वैचारिक जरा थियो।
ideology	विचारधारा	उनको विचारधाराले प्रत्येक भाषणलाई आकार दियो।
idiot	मूर्ख	कसैलाई पनि मूर्ख नभन्नुहोस्।
ignorance	अज्ञानता	अज्ञानताले डर फैलाउन सक्छ।
imagery	इमेजरी	कविताले जीवन्त इमेजरी प्रयोग गर्छ।
immense	विशाल	परियोजनालाई विशाल प्रयासको आवश्यकता थियो।
imminent	आसन्न	आँधी आसन्न देखिन्थ्यो।
implementation	कार्यान्वयन	कानुनको कार्यान्वयन सुस्त थियो।
imprison	जेल हाल्नु	सरकारले आलोचकहरूलाई जेल हाल्ने प्रयास गर्यो।
imprisonment	कैद	उसको कैद पाँच वर्ष लामो थियो।
inability	अक्षमता	उनको ध्यान केन्द्रित गर्ने अक्षमताले शिक्षकहरूलाई चिन्तित बनायो।
inadequate	अपर्याप्त	आश्रयस्थलमा अपर्याप्त तताउने व्यवस्था थियो।
inappropriate	अनुपयुक्त	उसको ठट्टा अनुपयुक्त थियो।
incidence	घटना	फ्लूको घटना बढ्यो।
inclined	प्रवृत्त	उनी सहमत हुन प्रवृत्त छिन्।
inclusion	समावेशीकरण	विद्यालयले समावेशीकरणलाई प्रवर्द्धन गर्दछ।
