simplified	KA	example_KA	HY	example_HY
不管	მიუხედავად; რაც არ უნდა იყოს	როგორიც არ უნდა იყოს ამინდი, მთაზე უნდა ავიდე.	անկախ; ինչ էլ որ լինի	Ինչպիսին էլ լինի եղանակը, ես պետք է լեռ բարձրանամ։
不仅	არა მხოლოდ	მე იმ ქალაქში არა მხოლოდ ვყოფილვარ, არამედ ბევრჯერაც ვყოფილვარ.	ոչ միայն	Ես ոչ միայն եղել եմ այդ քաղաքում, այլև շատ անգամ եմ եղել։
部分	ნაწილი; მონაკვეთი	სტატიის ყველაზე მნიშვნელოვანი ნაწილი მესამე აბზაცია.	մաս; բաժին	Հոդվածի ամենակարևոր մասը երրորդ պարբերությունն է։
擦	წმენდა; წაშლა	ფანჯრები უკვე გავწმინდე.	սրբել; մաքրել; ջնջել	Ես արդեն մաքրել եմ պատուհանները։
猜	გამოცნობა; ვარაუდი	გამოიცანით, დაბადების დღისთვის რა საჩუქარი მოგიმზადეთ?	գուշակել	Գուշակիր՝ ծննդյանդ օրվա համար ինչ նվեր եմ պատրաստել։
材料	მასალა; დოკუმენტები	რეგისტრაციისთვის რა მასალებია საჭირო?	նյութ; փաստաթղթեր	Գրանցման համար ի՞նչ նյութեր են անհրաժեշտ։
参观	დათვალიერება; მონახულება	შაბათ-კვირას დიდი ჩინეთის კედლის მონახულება მინდა.	այցելել; դիտել	Հանգստյան օրերին ուզում եմ այցելել Չինական մեծ պատը։
餐厅	რესტორანი; სასადილო	სკოლის ახლოს ახალი რესტორანი გაიხსნა.	ռեստորան; ճաշարան	Դպրոցի մոտ նոր ռեստորան է բացվել։
厕所	ტუალეტი	კაცების ტუალეტი პირველ სართულზეა.	զուգարան	Տղամարդկանց զուգարանը առաջին հարկում է։
差不多	თითქმის; დაახლოებით	ყოველდღე დაახლოებით შვიდ საათზე ვდგები.	գրեթե; մոտավորապես	Ես ամեն օր մոտավորապես ժամը յոթին եմ արթնանում։
尝	გასინჯვა; დაგემოვნება	მოდით და ჩემი მომზადებული კერძები გასინჯეთ. როგორი გემო აქვს?	համտեսել; փորձել	Եկեք համտեսեք իմ պատրաստած ուտեստները։ Ինչպե՞ս է համը։
长城	დიდი ჩინეთის კედელი	შაბათ-კვირას დიდი ჩინეთის კედლის მონახულება მინდა.	Չինական մեծ պատ	Հանգստյան օրերին ուզում եմ այցելել Չինական մեծ պատը։
长江	იანძის მდინარე	იანძის მდინარე ჩინეთის უდიდესი მდინარეა.	Յանցզի գետ	Յանցզի գետը Չինաստանի ամենամեծ գետն է։
场	ღონისძიებების სათვლელი სიტყვა; მოედანი; ადგილი	ეს წვიმა ზუსტად დროზე მოვიდა.	իրադարձությունների հաշվիչ բառ; դաշտ; տեղ	Այս անձրևը ճիշտ ժամանակին եկավ։
超过	გადაჭარბება; გასწრება	აქედან ყოველდღე სამასზე მეტი რეისი გადის.	գերազանցել; անցնել	Այստեղից ամեն օր երեք հարյուրից ավելի թռիչք է մեկնում։
乘坐	ტრანსპორტით მგზავრობა; ჩაჯდომა	კეთილი იყოს თქვენი მობრძანება ამ რეისზე.	նստել; երթևեկել	Բարի գալուստ այս թռիչքին։
成功	წარმატება; წარმატების მიღწევა	შრომა წარმატების გარანტიაა.	հաջողություն; հաջողել	Ջանքերը հաջողության երաշխիքն են։
成为	გახდომა; გადაქცევა	ბავშვობიდან პოლიციელობა მინდოდა.	դառնալ; վերածվել	Մանկուց ուզում էի ոստիկան դառնալ։
诚实	პატიოსანი; პატიოსნება	პატიოსანი ადამიანები ჩვენს პატივისცემას იმსახურებენ.	ազնիվ; ազնվություն	Ազնիվ մարդիկ արժանի են մեր հարգանքին։
吃惊	გაკვირვება; შეძრწუნება	ამ ამბის გაგონებაზე ის ძალიან გაკვირდა.	զարմանալ; ապշել	Այդ լուրը լսելով՝ նա շատ զարմացավ։
重新	ხელახლა; ისევ	მან ეს ამბავი კიდევ ერთხელ გაიმეორა.	նորից; կրկին	Նա այդ հարցը ևս մեկ անգամ կրկնեց։
抽烟	მოწევა	უკაცრავად, საავადმყოფოში მოწევა არ შეიძლება.	ծխել	Ներեցեք, հիվանդանոցում ծխել չի կարելի։
出差	სამსახურებრივ მივლინებაში წასვლა	მამა ერთ თვეზე მეტია მივლინებაშია.	գործուղման մեկնել	Հայրս մեկ ամսից ավելի է գործուղման մեջ է։
出发	გამგზავრება; გზას დადგომა	პეკინიდან შანხაისკენ გავემგზავრე.	ճանապարհ ընկնել; մեկնել	Ես Պեկինից Շանհայ մեկնեցի։
出生	დაბადება	მე პატარა ქალაქში დავიბადე.	ծնվել	Ես ծնվել եմ փոքր քաղաքում։
出现	გამოჩენა; წარმოქმნა	ჩვენს სამუშაოში ბევრი პრობლემა გაჩნდა.	հայտնվել; առաջանալ	Մեր աշխատանքում շատ խնդիրներ են առաջացել։
厨房	სამზარეულო	ხილის დანა სამზარეულოშია.	խոհանոց	Մրգի դանակը խոհանոցում է։
传真	ფაქსი	გთხოვთ, ფაქსი გამომიგზავნეთ.	ֆաքս	Խնդրում եմ, ինձ ֆաքս ուղարկեք։
窗户	ფანჯარა	ფანჯრები უკვე გავწმინდე.	պատուհան	Ես արդեն մաքրել եմ պատուհանները։
词语	სიტყვა; გამოთქმა	გთხოვთ, ამ სიტყვებით რამდენიმე წინადადება შეადგინეთ.	բառ; արտահայտություն	Խնդրում եմ, այս բառերով մի քանի նախադասություն կազմեք։
从来	ყოველთვის; არასდროს აქამდე	მე ის არასდროს მინახავს.	միշտ; երբեք նախկինում	Ես նրան երբեք չեմ տեսել։
粗心	უყურადღებო; დაუდევარი	თქვენ ძალიან უყურადღებო ხართ.	անուշադիր; անփույթ	Դուք շատ անուշադիր եք։
存	შენახვა; ბანკში შეტანა	ფული ბანკში შევიტანე.	պահել; բանկում ավանդ դնել	Ես գումարը բանկում ավանդ դրեցի։
错误	შეცდომა; მცდარი	მადლობა, რომ ჩემი შეცდომა მიმითითეთ.	սխալ; սխալված	Շնորհակալություն, որ մատնացույց արեցիք իմ սխալը։
答案	პასუხი; გადაწყვეტა	თქვენი პასუხი სწორია.	պատասխան; լուծում	Ձեր պատասխանը ճիշտ է։
打扮	გამოწყობა; თავის მოწესრიგება	ის უბრალოდ გამოეწყო და გავიდა.	հագնվել; հարդարվել	Նա պարզապես հագնվեց և դուրս եկավ։
打扰	შეწუხება; ხელის შეშლა	უკაცრავად, ერთი წუთით შეგაწუხებთ.	անհանգստացնել; խանգարել	Ներեցեք, մի պահ ձեզ անհանգստացնեմ։
打印	დაბეჭდვა	ეს მასალები უკვე დაბეჭდილია.	տպել	Այս նյութերն արդեն տպվել են։
打招呼	მისალმება	მან ღიმილით მომესალმა.	բարևել; ողջունել	Նա ժպիտով բարևեց ինձ։
打折	ფასდაკლების გაკეთება	გაზაფხულის დღესასწაულამდე სავაჭრო ცენტრებში ფასდაკლებებია.	զեղչ անել	Գարնան տոնից առաջ առևտրի կենտրոններում զեղչեր են լինում։
打针	ნემსის გაკეთება; ინექციის მიღება	ბიჭს ნემსების ძალიან ეშინია.	սրսկում անել; սրսկում ստանալ	Տղան շատ է վախենում սրսկումներից։
大概	ალბათ; დაახლოებით	ის ალბათ არ მოვა.	հավանաբար; մոտավորապես	Նա հավանաբար չի գա։
大使馆	საელჩო	ხვალ საელჩოში ვიზის გასაფორმებლად მივდივარ.	դեսպանատուն	Վաղը դեսպանատուն եմ գնալու՝ վիզայի համար դիմելու։
大约	დაახლოებით	ის დაახლოებით ოცდაათი წლისაა.	մոտավորապես; մոտ	Նա մոտ երեսուն տարեկան է։
大夫	ექიმი	ექიმო ლი, ხვალ დილით საავადმყოფოში იქნებით?	բժիշկ	Բժիշկ Լի, վաղը առավոտյան հիվանդանոցում կլինե՞ք։
戴	ტარება; გაკეთება	მას შავი სათვალე უკეთია.	կրել; դնել	Նա սև ակնոց է կրում։
当	ყოფნა; მუშაობა როგორც	ექიმობა მინდა.	լինել; աշխատել որպես	Ես ուզում եմ բժիշկ լինել։
当时	მაშინ; იმ დროს	იმდროინდელი სიტუაცია კარგად არ მახსოვს.	այն ժամանակ; այդ պահին	Ես լավ չեմ հիշում այն ժամանակվա իրավիճակը։
刀	დანა	ხილის დანა სამზარეულოშია.	դանակ	Մրգի դանակը խոհանոցում է։
导游	გიდი; ექსკურსიის გაძღოლა	ჩემი და გიდია.	զբոսավար; էքսկուրսիա վարել	Քույրս զբոսավար է։
倒	დაცემა; წაქცევა	ძლიერმა ქარმა ხე წააქცია.	ընկնել; փլվել; տապալել	Ուժեղ քամին ծառը տապալեց։
到处	ყველგან	პარკში ყველგან ყვავილებია.	ամենուր; ամեն տեղ	Այգում ամենուր ծաղիկներ կան։
到底	ბოლოს და ბოლოს; ზუსტად	ეს წინადადება ზუსტად რას ნიშნავს?	ի վերջո; ճիշտն ասած	Այս նախադասությունն ի վերջո ի՞նչ է նշանակում։
道歉	ბოდიშის მოხდა	მე მას უკვე ბოდიში მოვუხადე.	ներողություն խնդրել	Ես արդեն նրանից ներողություն եմ խնդրել։
得	უნდა; საჭიროება	ხვალ გამოცდა მაქვს, ამიტომ ადრე უნდა დავიძინო.	պետք է; ստիպված լինել	Վաղը քննություն ունեմ, ուստի պետք է շուտ քնեմ։
得意	თავით კმაყოფილი; ამაყი	ყველა ძალიან ამაყობს სამუშაოს წარმატებით.	ինքնագոհ; հպարտ	Բոլորը շատ հպարտ են աշխատանքի հաջողությամբ։
登机牌	ჩასხდომის ბარათი	გთხოვთ, აიღეთ ჩასხდომის ბარათი და თვითმფრინავში ასასვლელად მოემზადეთ.	նստեցման կտրոն	Խնդրում եմ, վերցրեք ձեր նստեցման կտրոնը և պատրաստվեք ինքնաթիռ նստել։
等	და ასე შემდეგ; და სხვა	მაგიდაზე არის ხილი, მაგალითად ვაშლი, ბანანი და სხვა.	և այլն; այլ բաներ	Սեղանի վրա կան մրգեր՝ խնձոր, բանան և այլն։
低	დაბალი	უფრო მაღლა, ახლა ძალიან დაბალია.	ցածր	Ավելի բարձր, հիմա շատ ցածր է։
底	ძირი; საფუძველი	ჭიქის ძირი სუფთაა.	հատակ; հիմք	Բաժակի հատակը մաքուր է։
地点	ადგილი; მდებარეობა	შეხვედრის ადგილი მესამე სართულის საკონფერენციო ოთახშია.	տեղ; վայր	Հանդիպման վայրը երրորդ հարկի նիստերի սենյակում է։
地球	დედამიწა; პლანეტა	დედამიწის ზედაპირის დიდი ნაწილი ოკეანეა.	Երկիր; մոլորակ	Երկրի մակերեսի մեծ մասը օվկիանոս է։
地址	მისამართი	გთხოვთ, თქვენი მისამართი ჩაიწერეთ.	հասցե	Խնդրում եմ, գրեք ձեր հասցեն։
掉	დავარდნა; ჩამოგდება	გასაღები მიწაზე დაეცა.	ընկնել; գցել	Բանալին գետնին ընկավ։
调查	გამოძიება; გამოკვლევა	პოლიცია გამოძიებას აწარმოებს.	հետաքննություն; ուսումնասիրել	Ոստիկանությունը հետաքննություն է անցկացնում։
丢	დაკარგვა	სკოლის ჩანთა დაკარგე?	կորցնել	Դպրոցական պայուսակդ կորցրե՞լ ես։
动作	მოძრაობა; მოქმედება	ნება მომეცი ცეკვა გასწავლო, მოძრაობები ძალიან მარტივია.	շարժում; գործողություն	Թույլ տուր քեզ պարել սովորեցնեմ, շարժումները շատ պարզ են։
堵车	საცობი	გზაში ვიყავი და ისევ საცობი იყო.	խցանում; երթևեկության խցանում	Ճանապարհին էի, և կրկին խցանում էր։
肚子	მუცელი	მუცელი მტკივა.	փոր; որովայն; ստամոքս	Փորս ցավում է։
短信	მოკლე ტექსტური შეტყობინება	რამე თუ დაგჭირდეთ, მოკლე შეტყობინება გამომიგზავნეთ ან დამირეკეთ.	կարճ հաղորդագրություն	Եթե որևէ բան լինի, խնդրում եմ կարճ հաղորդագրություն ուղարկեք կամ զանգեք ինձ։
对话	დიალოგი	ეს დიალოგი შედარებით მარტივია, მესმის.	երկխոսություն	Այս երկխոսությունը համեմատաբար պարզ է, հասկանում եմ։
对面	მოპირდაპირე მხარე	მე ზუსტად სკოლის მოპირდაპირე მხარეს ვცხოვრობ.	դիմաց; հակառակ կողմ	Ես ապրում եմ հենց դպրոցի դիմաց։
对于	რაც შეეხება; მიმართ	ამ საკითხთან დაკავშირებით განსხვავებული აზრი მაქვს.	վերաբերյալ; ինչ վերաբերում է	Այս հարցի վերաբերյալ այլ կարծիք ունեմ։
儿童	ბავშვი; ბავშვები	სიმაღლით 1.2 მეტრზე დაბალ ბავშვებს საბავშვო ბილეთის ყიდვა შეუძლიათ.	երեխա; երեխաներ	1.2 մետրից ցածր հասակ ունեցող երեխաները կարող են մանկական տոմս գնել։
而	და; მაგრამ	ეს ტანსაცმელი იაფიც არის და ლამაზიც.	և; իսկ; սակայն	Այս հագուստը թե էժան է, թե գեղեցիկ։
发生	მოხდენა; წარმოქმნა	სიტუაცია ძალიან შეიცვალა.	տեղի ունենալ; պատահել	Իրավիճակը շատ է փոխվել։
发展	განვითარება; განვითარება	ბოლო წლებში ეკონომიკა სწრაფად განვითარდა.	զարգացում; զարգանալ	Վերջին տարիներին տնտեսությունը արագ է զարգացել։
法律	კანონი; სამართალი	უნივერსიტეტში სამართალს ვსწავლობ.	օրենք; իրավունք	Համալսարանում իրավունք եմ սովորում։
翻译	თარგმნა; თარჯიმანი	გთხოვთ, ეს სტატია ჩინურად თარგმნეთ.	թարգմանել; թարգմանիչ	Խնդրում եմ, այս հոդվածը թարգմանեք չինարեն։
烦恼	წუხილი; საზრუნავი	ამაზე აღარ ინერვიულოთ.	անհանգստություն; հոգս	Այլևս այս մասին մի անհանգստացեք։
反对	წინააღმდეგობა; წინააღმდეგი ყოფნა	ყველა ამ გეგმას ეწინააღმდეგება.	հակադրվել; դեմ լինել	Բոլորը դեմ են այս պլանին։
方法	მეთოდი; გზა	ჩვენ აუცილებლად ვიპოვით პრობლემის გადაწყვეტის გზას.	մեթոդ; միջոց	Մենք անպայման կգտնենք խնդրի լուծման միջոցը։
方面	მხარე; სფერო	მამას ისტორიის შესახებ წიგნების კითხვა უყვარს.	կողմ; ոլորտ	Հայրս սիրում է պատմության մասին գրքեր կարդալ։
方向	მიმართულება	ეს მიმართულებაა? მგონი დავიკარგეთ.	ուղղություն	Այս ուղղությո՞ւնն է։ Կարծում եմ՝ մենք մոլորվել ենք։
房东	ბინის მეპატრონე; გამქირავებელი	ჩემი ბინის მეპატრონე ძალიან მეგობრულია და ხშირად მეხმარება.	տանտեր; վարձատու	Իմ տանտերը շատ բարեհամբույր է և հաճախ օգնում է ինձ։
放弃	დათმობა; უარის თქმა	საზღვარგარეთ სწავლის შესაძლებლობაზე უარი ვთქვი.	հրաժարվել; թողնել	Ես հրաժարվեցի արտասահմանում սովորելու հնարավորությունից։
放暑假	ზაფხულის არდადეგებზე გასვლა	ხვალ ზაფხულის არდადეგები იწყება.	ամառային արձակուրդ գնալ	Վաղը սկսվում են ամառային արձակուրդները։
放松	მოდუნება; დასვენება	გამოცდა დასრულდა, დასვენება გვჭირდება.	թուլանալ; հանգստանալ	Քննությունը ավարտվել է, պետք է հանգստանանք։
份	სათვლელი სიტყვა დოკუმენტებისა და პორციებისთვის	გთხოვთ, ერთი ფაქსი გამომიგზავნეთ.	հաշվիչ բառ փաստաթղթերի և բաժինների համար	Խնդրում եմ, ինձ մեկ ֆաքս ուղարկեք։
丰富	მდიდარი; უხვი	კითხვას შეუძლია ჩვენი ცხოვრება გაამდიდროს.	հարուստ; առատ	Ընթերցանությունը կարող է հարստացնել մեր կյանքը։
否则	წინააღმდეგ შემთხვევაში; თორემ	ახლავე წავიდეთ, თორემ დავაგვიანებთ.	այլապես; հակառակ դեպքում	Հիմա գնանք, այլապես կուշանանք։
符合	შესაბამისობა; დაკმაყოფილება	ის ჩვენს დასაქმების კრიტერიუმებს ძალიან კარგად შეესაბამება.	համապատասխանել; բավարարել	Նա շատ լավ համապատասխանում է մեր աշխատանքի ընդունման չափանիշներին։
付款	გადახდა	შოპინგის საფასურის გადახდა ონლაინ შეიძლება.	վճարել; վճարում	Գնումների համար կարելի է վճարել առցանց։
复印	ასლის გადაღება; დოკუმენტის გამრავლება	გთხოვთ, ამ მასალის ორი ასლი გადაიღეთ.	պատճենահանել; փաստաթուղթ կրկնօրինակել	Խնդրում եմ, այս նյութից երկու պատճեն արեք։
复杂	რთული; კომპლექსური	ეს რთული ტექნიკური საკითხია.	բարդ; համալիր	Սա բարդ տեխնիկական հարց է։
富	მდიდარი	ხალხის ცხოვრება სულ უფრო მდიდრდება.	հարուստ	Մարդկանց կյանքը գնալով ավելի հարուստ է դառնում։
父亲	მამა	მამაჩემი წელს ოთხმოცდასამი წლისაა.	հայր	Հայրս այս տարի ութսուներեք տարեկան է։
负责	პასუხისმგებელი ყოფნა; ხელმძღვანელობა	სიაო ლი ძალიან პასუხისმგებლიანია.	պատասխանատու լինել; ղեկավարել	Սյաո Լին շատ պատասխանատու է։
改变	შეცვლა; გარდაქმნა	გეგმა შევცვალე.	փոխել; փոփոխել	Ես փոխել եմ իմ պլանը։
干杯	გაუმარჯოს; სადღეგრძელოს დალევა	ყველას გილოცავთ დღესასწაულს, გაუმარჯოს!	կենաց; կենաց խմել	Շնորհավոր տոն բոլորին, կենաց։
感动	გულის აჩუყება; შეძვრა	მისმა სიტყვებმა ძალიან ამაღელვა.	հուզել; հուզիչ	Նրա խոսքերը ինձ շատ հուզեցին։
感觉	გრძნობა; შეგრძნება	დღეს ცოტა მცივა.	զգալ; զգացում	Այսօր մի քիչ մրսում եմ։
感情	გრძნობა; ემოცია; ურთიერთობა	მათ შორის ურთიერთობა ძალიან კარგია.	զգացմունք; հարաբերություն	Նրանց հարաբերությունները շատ լավ են։
感谢	მადლობის გადახდა; მადლიერება	მადლობა თქვენი დახმარებისთვის.	շնորհակալություն հայտնել; երախտապարտ լինել	Շնորհակալություն ձեր օգնության համար։
敢	გაბედვა	მარტო წასვლას ვერ ვბედავ.	համարձակվել	Ես չեմ համարձակվում մենակ գնալ։
赶	ჩქარობა; სწრაფად მისვლა	მადლობა, რომ დროულად მოხვედით დასახმარებლად.	շտապել; հասցնել	Շնորհակալություն, որ ժամանակին եկաք ինձ օգնելու։
干	კეთება; მუშაობა	რას აკეთებ?	անել; աշխատել	Ի՞նչ ես անում։
刚	ახლახან; ზუსტად	გთხოვთ, მაპატიეთ ის, რაც ახლახან ვთქვი.	հենց նոր; ճիշտ	Խնդրում եմ, ներեք այն, ինչ հենց նոր ասացի։
高速公路	ჩქაროსნული გზა; ავტომაგისტრალი	აქ ახალი ავტომაგისტრალი აშენდა.	մայրուղի; արագընթաց ճանապարհ	Այստեղ նոր մայրուղի է կառուցվել։
胳膊	მკლავი	მას მკლავი ცოტა სტკივა.	թև	Նրա թևը մի քիչ ցավում է։
各	თითოეული; ყოველი	სუპერმარკეტში სხვადასხვა ხილია.	յուրաքանչյուր; ամեն	Սուպերմարկետում տարբեր մրգեր կան։
公里	კილომეტრი	ორ ქალაქს შორის მანძილი სამასი კილომეტრია.	կիլոմետր	Երկու քաղաքների միջև հեռավորությունը երեք հարյուր կիլոմետր է։
功夫	კუნგფუ; უნარი	ბოლო დროს ჩინურ კუნგფუს ვსწავლობ.	կունգֆու; հմտություն	Վերջերս չինական կունգֆու եմ սովորում։
工资	ხელფასი; ანაზღაურება	მის ახალ სამსახურში ხელფასი კარგია.	աշխատավարձ; վճար	Նրա նոր աշխատանքում աշխատավարձը լավ է։
共同	საერთო; ერთობლივი	ჩვენ საერთო მიზანი გვაქვს.	ընդհանուր; համատեղ	Մենք ընդհանուր նպատակ ունենք։
够	საკმარისი; საკმაოდ	დღეს საკმაოდ ცივა.	բավական; բավականաչափ	Այսօր բավական ցուրտ է։
购物	შოპინგი; საყიდლებზე სიარული	შოპინგის საფასურის გადახდა ონლაინ შეიძლება.	գնումներ	Գնումների համար կարելի է վճարել առցանց։
估计	ვარაუდი; შეფასება	ვფიქრობ, ისინი უკვე აეროპორტში მივიდნენ.	գնահատել; ենթադրել	Կարծում եմ՝ նրանք արդեն օդանավակայան են հասել։
鼓励	გამხნევება; წახალისება	მშობლებმა შვილებს მეტი გამხნევება უნდა მისცენ.	խրախուսել	Ծնողները պետք է երեխաներին ավելի շատ խրախուսեն։
故意	განზრახ; სპეციალურად	ბოდიში, განზრახ არ გამიკეთებია.	դիտմամբ; հատուկ	Ներեցեք, ես դիտմամբ չեմ արել։
顾客	კლიენტი; მომხმარებელი	მომხმარებლების რაოდენობა ერთი მესამედით შემცირდა.	հաճախորդ	Հաճախորդների թիվը մեկ երրորդով պակասել է։
挂	დაკიდება; ყურმილის დაკიდება	გთხოვთ, ყურმილს ნუ დაკიდებთ.	կախել; հեռախոսը անջատել	Խնդրում եմ, հեռախոսը մի անջատեք։
关键	მთავარი წერტილი; გასაღები	ეს პრობლემის მთავარი საკითხი არ არის.	առանցքային կետ; բանալի	Սա խնդրի առանցքային կետը չէ։
观众	მაყურებელი; აუდიტორია	გამარჯობა, ტელევიზორის წინ მყოფო მეგობრებო.	հանդիսատես; լսարան	Բարև ձեզ, հեռուստացույցի առջև գտնվող ընկերներ։
管理	მართვა; ზედამხედველობა	ახლა ამ სახლს ვინ მართავს?	կառավարել; տնօրինել	Հիմա ո՞վ է կառավարում այս տունը։
光	სინათლე; ნათება	დღეს მზის სინათლე ძლიერია.	լույս; պայծառություն	Այսօր արևի լույսը ուժեղ է։
广播	რადიო; მაუწყებლობა	ბაბუა რადიოს უსმენს.	ռադիո; հեռարձակում	Պապիկը ռադիո է լսում։
广告	რეკლამა	თქვენი რეკლამა გაზეთში ვნახე.	գովազդ	Ես ձեր գովազդը թերթում տեսա։
逛	სეირნობა; დათვალიერება	ამ შაბათ-კვირას სავაჭრო ცენტრში გავიაროთ.	զբոսնել; շրջել	Այս հանգստյան օրերին գնանք առևտրի կենտրոնում շրջենք։
规定	წესი; რეგულაცია	სკოლას თავისი წესები აქვს.	կանոն; կարգադրություն	Դպրոցն ունի իր կանոնները։
